活动ID(期数)	索引	需要经验(总值)	奖励	高级奖励标识
22	19	96000	{5,29,5,1,20}	
22	20	100000	{4,3,1,1,6000}	
				
23	1	6000	{5,29,6,1,10}	
23	2	12000	{4,3,1,1,6000}	
23	3	18000	{5,29,6,1,10}	
23	4	24000	{4,3,1,1,6000}	
23	5	30000	{5,29,6,1,10}	
23	6	36000	{4,3,1,1,6000}	
23	7	42000	{5,29,6,1,10}	
23	8	48000	{4,3,1,1,6000}	
23	9	54000	{5,29,6,1,10}	
23	10	60000	{4,3,1,1,6000}	
23	11	64000	{5,29,6,1,10}	
23	12	68000	{4,3,1,1,6000}	
23	13	72000	{5,29,6,1,10}	
23	14	76000	{4,3,1,1,6000}	
23	15	80000	{5,29,6,1,10}	
23	16	84000	{4,3,1,1,6000}	
23	17	88000	{5,29,6,1,20}	
23	18	92000	{4,3,1,1,6000}	
23	19	96000	{5,29,6,1,20}	
23	20	100000	{4,3,1,1,6000}	
				
24	1	6000	{5,29,6,1,10}	
24	2	12000	{4,3,1,1,6000}	
24	3	18000	{5,29,6,1,10}	
24	4	24000	{4,3,1,1,6000}	
24	5	30000	{5,29,6,1,10}	
24	6	36000	{4,3,1,1,6000}	
24	7	42000	{5,29,6,1,10}	
24	8	48000	{4,3,1,1,6000}	
24	9	54000	{5,29,6,1,10}	
24	10	60000	{4,3,1,1,6000}	
24	11	64000	{5,29,6,1,10}	
24	12	68000	{4,3,1,1,6000}	
24	13	72000	{5,29,6,1,10}	
24	14	76000	{4,3,1,1,6000}	
24	15	80000	{5,29,6,1,10}	
24	16	84000	{4,3,1,1,6000}	
24	17	88000	{5,29,6,1,20}	
24	18	92000	{4,3,1,1,6000}	
24	19	96000	{5,29,6,1,20}	
24	20	100000	{4,3,1,1,6000}	
				
25	1	6000	{5,29,7,1,10}	
25	2	12000	{4,3,1,1,6000}	
25	3	18000	{5,29,7,1,10}	
25	4	24000	{4,3,1,1,6000}	
25	5	30000	{5,29,7,1,10}	
25	6	36000	{4,3,1,1,6000}	
25	7	42000	{5,29,7,1,10}	
25	8	48000	{4,3,1,1,6000}	
25	9	54000	{5,29,7,1,10}	
25	10	60000	{4,3,1,1,6000}	
25	11	64000	{5,29,7,1,10}	
25	12	68000	{4,3,1,1,6000}	
25	13	72000	{5,29,7,1,10}	
25	14	76000	{4,3,1,1,6000}	
25	15	80000	{5,29,7,1,10}	
25	16	84000	{4,3,1,1,6000}	
25	17	88000	{5,29,7,1,20}	
25	18	92000	{4,3,1,1,6000}	
25	19	96000	{5,29,7,1,20}	
25	20	100000	{4,3,1,1,6000}	
				
26	1	6000	{5,29,7,1,10}	
26	2	12000	{4,3,1,1,6000}	
26	3	18000	{5,29,7,1,10}	
26	4	24000	{4,3,1,1,6000}	
26	5	30000	{5,29,7,1,10}	
26	6	36000	{4,3,1,1,6000}	
26	7	42000	{5,29,7,1,10}	
26	8	48000	{4,3,1,1,6000}	
26	9	54000	{5,29,7,1,10}	
26	10	60000	{4,3,1,1,6000}	
26	11	64000	{5,29,7,1,10}	
26	12	68000	{4,3,1,1,6000}	
26	13	72000	{5,29,7,1,10}	
26	14	76000	{4,3,1,1,6000}	
26	15	80000	{5,29,7,1,10}	
26	16	84000	{4,3,1,1,6000}	
26	17	88000	{5,29,7,1,20}	
26	18	92000	{4,3,1,1,6000}	
26	19	96000	{5,29,7,1,20}	
26	20	100000	{4,3,1,1,6000}	
				
27	1	6000	{5,29,8,1,10}	
27	2	12000	{4,3,1,1,6000}	
27	3	18000	{5,29,8,1,10}	
27	4	24000	{4,3,1,1,6000}	
27	5	30000	{5,29,8,1,10}	
27	6	36000	{4,3,1,1,6000}	
27	7	42000	{5,29,8,1,10}	
27	8	48000	{4,3,1,1,6000}	
27	9	54000	{5,29,8,1,10}	
27	10	60000	{4,3,1,1,6000}	
27	11	64000	{5,29,8,1,10}	
27	12	68000	{4,3,1,1,6000}	
27	13	72000	{5,29,8,1,10}	
27	14	76000	{4,3,1,1,6000}	
27	15	80000	{5,29,8,1,10}	
27	16	84000	{4,3,1,1,6000}	
27	17	88000	{5,29,8,1,20}	
27	18	92000	{4,3,1,1,6000}	
27	19	96000	{5,29,8,1,20}	
27	20	100000	{4,3,1,1,6000}	
				
28	1	6000	{5,29,8,1,10}	
28	2	12000	{4,3,1,1,6000}	
28	3	18000	{5,29,8,1,10}	
28	4	24000	{4,3,1,1,6000}	
28	5	30000	{5,29,8,1,10}	
28	6	36000	{4,3,1,1,6000}	
28	7	42000	{5,29,8,1,10}	
28	8	48000	{4,3,1,1,6000}	
28	9	54000	{5,29,8,1,10}	
28	10	60000	{4,3,1,1,6000}	
28	11	64000	{5,29,8,1,10}	
28	12	68000	{4,3,1,1,6000}	
28	13	72000	{5,29,8,1,10}	
28	14	76000	{4,3,1,1,6000}	
28	15	80000	{5,29,8,1,10}	
28	16	84000	{4,3,1,1,6000}	
28	17	88000	{5,29,8,1,20}	
28	18	92000	{4,3,1,1,6000}	
28	19	96000	{5,29,8,1,20}	
28	20	100000	{4,3,1,1,6000}	
				
29	1	6000	{5,29,9,1,10}	
29	2	12000	{4,3,1,1,6000}	
29	3	18000	{5,29,9,1,10}	
29	4	24000	{4,3,1,1,6000}	
29	5	30000	{5,29,9,1,10}	
29	6	36000	{4,3,1,1,6000}	
29	7	42000	{5,29,9,1,10}	
29	8	48000	{4,3,1,1,6000}	
29	9	54000	{5,29,9,1,10}	
29	10	60000	{4,3,1,1,6000}	
29	11	64000	{5,29,9,1,10}	
29	12	68000	{4,3,1,1,6000}	
29	13	72000	{5,29,9,1,10}	
29	14	76000	{4,3,1,1,6000}	
29	15	80000	{5,29,9,1,10}	
29	16	84000	{4,3,1,1,6000}	
29	17	88000	{5,29,9,1,20}	
29	18	92000	{4,3,1,1,6000}	
29	19	96000	{5,29,9,1,20}	
29	20	100000	{4,3,1,1,6000}	
				
30	1	6000	{5,29,9,1,10}	
30	2	12000	{4,3,1,1,6000}	
30	3	18000	{5,29,9,1,10}	
30	4	24000	{4,3,1,1,6000}	
30	5	30000	{5,29,9,1,10}	
30	6	36000	{4,3,1,1,6000}	
30	7	42000	{5,29,9,1,10}	
30	8	48000	{4,3,1,1,6000}	
30	9	54000	{5,29,9,1,10}	
30	10	60000	{4,3,1,1,6000}	
30	11	64000	{5,29,9,1,10}	
30	12	68000	{4,3,1,1,6000}	
30	13	72000	{5,29,9,1,10}	
30	14	76000	{4,3,1,1,6000}	
30	15	80000	{5,29,9,1,10}	
30	16	84000	{4,3,1,1,6000}	
30	17	88000	{5,29,9,1,20}	
30	18	92000	{4,3,1,1,6000}	
30	19	96000	{5,29,9,1,20}	
30	20	100000	{4,3,1,1,6000}	
				
31	1	6000	{5,29,10,1,10}	
31	2	12000	{4,3,1,1,6000}	
31	3	18000	{5,29,10,1,10}	
31	4	24000	{4,3,1,1,6000}	
31	5	30000	{5,29,10,1,10}	
31	6	36000	{4,3,1,1,6000}	
31	7	42000	{5,29,10,1,10}	
31	8	48000	{4,3,1,1,6000}	
31	9	54000	{5,29,10,1,10}	
31	10	60000	{4,3,1,1,6000}	
31	11	64000	{5,29,10,1,10}	
31	12	68000	{4,3,1,1,6000}	
31	13	72000	{5,29,10,1,10}	
31	14	76000	{4,3,1,1,6000}	
31	15	80000	{5,29,10,1,10}	
31	16	84000	{4,3,1,1,6000}	
31	17	88000	{5,29,10,1,20}	
31	18	92000	{4,3,1,1,6000}	
31	19	96000	{5,29,10,1,20}	
31	20	100000	{4,3,1,1,6000}	
				
32	1	6000	{5,29,10,1,10}	
32	2	12000	{4,3,1,1,6000}	
32	3	18000	{5,29,10,1,10}	
32	4	24000	{4,3,1,1,6000}	
32	5	30000	{5,29,10,1,10}	
32	6	36000	{4,3,1,1,6000}	
32	7	42000	{5,29,10,1,10}	
32	8	48000	{4,3,1,1,6000}	
32	9	54000	{5,29,10,1,10}	
32	10	60000	{4,3,1,1,6000}	
32	11	64000	{5,29,10,1,10}	
32	12	68000	{4,3,1,1,6000}	
32	13	72000	{5,29,10,1,10}	
32	14	76000	{4,3,1,1,6000}	
32	15	80000	{5,29,10,1,10}	
32	16	84000	{4,3,1,1,6000}	
32	17	88000	{5,29,10,1,20}	
32	18	92000	{4,3,1,1,6000}	
32	19	96000	{5,29,10,1,20}	
32	20	100000	{4,3,1,1,6000}	
				
33	1	6000	{5,29,11,1,10}	
33	2	12000	{4,3,1,1,6000}	
33	3	18000	{5,29,11,1,10}	
33	4	24000	{4,3,1,1,6000}	
33	5	30000	{5,29,11,1,10}	
33	6	36000	{4,3,1,1,6000}	
33	7	42000	{5,29,11,1,10}	
33	8	48000	{4,3,1,1,6000}	
33	9	54000	{5,29,11,1,10}	
33	10	60000	{4,3,1,1,6000}	
33	11	64000	{5,29,11,1,10}	
33	12	68000	{4,3,1,1,6000}	
33	13	72000	{5,29,11,1,10}	
33	14	76000	{4,3,1,1,6000}	
33	15	80000	{5,29,11,1,10}	
33	16	84000	{4,3,1,1,6000}	
33	17	88000	{5,29,11,1,20}	
33	18	92000	{4,3,1,1,6000}	
33	19	96000	{5,29,11,1,20}	
33	20	100000	{4,3,1,1,6000}	
				
34	1	6000	{5,29,11,1,10}	
34	2	12000	{4,3,1,1,6000}	
34	3	18000	{5,29,11,1,10}	
34	4	24000	{4,3,1,1,6000}	
34	5	30000	{5,29,11,1,10}	
34	6	36000	{4,3,1,1,6000}	
34	7	42000	{5,29,11,1,10}	
34	8	48000	{4,3,1,1,6000}	
34	9	54000	{5,29,11,1,10}	
34	10	60000	{4,3,1,1,6000}	
34	11	64000	{5,29,11,1,10}	
34	12	68000	{4,3,1,1,6000}	
34	13	72000	{5,29,11,1,10}	
34	14	76000	{4,3,1,1,6000}	
34	15	80000	{5,29,11,1,10}	
34	16	84000	{4,3,1,1,6000}	
34	17	88000	{5,29,11,1,20}	
34	18	92000	{4,3,1,1,6000}	
34	19	96000	{5,29,11,1,20}	
34	20	100000	{4,3,1,1,6000}	
				
35	1	6000	{5,29,12,1,10}	
35	2	12000	{4,3,1,1,6000}	
35	3	18000	{5,29,12,1,10}	
35	4	24000	{4,3,1,1,6000}	
35	5	30000	{5,29,12,1,10}	
35	6	36000	{4,3,1,1,6000}	
35	7	42000	{5,29,12,1,10}	
35	8	48000	{4,3,1,1,6000}	
35	9	54000	{5,29,12,1,10}	
35	10	60000	{4,3,1,1,6000}	
35	11	64000	{5,29,12,1,10}	
35	12	68000	{4,3,1,1,6000}	
35	13	72000	{5,29,12,1,10}	
35	14	76000	{4,3,1,1,6000}	
35	15	80000	{5,29,12,1,10}	
35	16	84000	{4,3,1,1,6000}	
35	17	88000	{5,29,12,1,20}	
35	18	92000	{4,3,1,1,6000}	
35	19	96000	{5,29,12,1,20}	
35	20	100000	{4,3,1,1,6000}	
				
36	1	6000	{5,29,12,1,10}	
36	2	12000	{4,3,1,1,6000}	
36	3	18000	{5,29,12,1,10}	
36	4	24000	{4,3,1,1,6000}	
36	5	30000	{5,29,12,1,10}	
36	6	36000	{4,3,1,1,6000}	
36	7	42000	{5,29,12,1,10}	
36	8	48000	{4,3,1,1,6000}	
36	9	54000	{5,29,12,1,10}	
36	10	60000	{4,3,1,1,6000}	
36	11	64000	{5,29,12,1,10}	
36	12	68000	{4,3,1,1,6000}	
36	13	72000	{5,29,12,1,10}	
36	14	76000	{4,3,1,1,6000}	
36	15	80000	{5,29,12,1,10}	
36	16	84000	{4,3,1,1,6000}	
36	17	88000	{5,29,12,1,20}	
36	18	92000	{4,3,1,1,6000}	
36	19	96000	{5,29,12,1,20}	
36	20	100000	{4,3,1,1,6000}	
				
37	1	6000	{5,29,13,1,10}	
37	2	12000	{4,3,1,1,6000}	
37	3	18000	{5,29,13,1,10}	
37	4	24000	{4,3,1,1,6000}	
37	5	30000	{5,29,13,1,10}	
37	6	36000	{4,3,1,1,6000}	
37	7	42000	{5,29,13,1,10}	
37	8	48000	{4,3,1,1,6000}	
37	9	54000	{5,29,13,1,10}	
37	10	60000	{4,3,1,1,6000}	
37	11	64000	{5,29,13,1,10}	
37	12	68000	{4,3,1,1,6000}	
37	13	72000	{5,29,13,1,10}	
37	14	76000	{4,3,1,1,6000}	
37	15	80000	{5,29,13,1,10}	
37	16	84000	{4,3,1,1,6000}	
37	17	88000	{5,29,13,1,20}	
37	18	92000	{4,3,1,1,6000}	
37	19	96000	{5,29,13,1,20}	
37	20	100000	{4,3,1,1,6000}	
				
38	1	6000	{5,29,13,1,10}	
38	2	12000	{4,3,1,1,6000}	
38	3	18000	{5,29,13,1,10}	
38	4	24000	{4,3,1,1,6000}	
38	5	30000	{5,29,13,1,10}	
38	6	36000	{4,3,1,1,6000}	
38	7	42000	{5,29,13,1,10}	
38	8	48000	{4,3,1,1,6000}	
38	9	54000	{5,29,13,1,10}	
38	10	60000	{4,3,1,1,6000}	
38	11	64000	{5,29,13,1,10}	
38	12	68000	{4,3,1,1,6000}	
38	13	72000	{5,29,13,1,10}	
38	14	76000	{4,3,1,1,6000}	
38	15	80000	{5,29,13,1,10}	
38	16	84000	{4,3,1,1,6000}	
38	17	88000	{5,29,13,1,20}	
38	18	92000	{4,3,1,1,6000}	
38	19	96000	{5,29,13,1,20}	
38	20	100000	{4,3,1,1,6000}	
				
39	1	6000	{5,29,14,1,10}	
39	2	12000	{4,3,1,1,6000}	
39	3	18000	{5,29,14,1,10}	
39	4	24000	{4,3,1,1,6000}	
39	5	30000	{5,29,14,1,10}	
39	6	36000	{4,3,1,1,6000}	
39	7	42000	{5,29,14,1,10}	
39	8	48000	{4,3,1,1,6000}	
39	9	54000	{5,29,14,1,10}	
39	10	60000	{4,3,1,1,6000}	
39	11	64000	{5,29,14,1,10}	
39	12	68000	{4,3,1,1,6000}	
39	13	72000	{5,29,14,1,10}	
39	14	76000	{4,3,1,1,6000}	
39	15	80000	{5,29,14,1,10}	
39	16	84000	{4,3,1,1,6000}	
39	17	88000	{5,29,14,1,20}	
39	18	92000	{4,3,1,1,6000}	
39	19	96000	{5,29,14,1,20}	
39	20	100000	{4,3,1,1,6000}	
				
40	1	6000	{5,29,14,1,10}	
40	2	12000	{4,3,1,1,6000}	
40	3	18000	{5,29,14,1,10}	
40	4	24000	{4,3,1,1,6000}	
40	5	30000	{5,29,14,1,10}	
40	6	36000	{4,3,1,1,6000}	
40	7	42000	{5,29,14,1,10}	
40	8	48000	{4,3,1,1,6000}	
40	9	54000	{5,29,14,1,10}	
40	10	60000	{4,3,1,1,6000}	
40	11	64000	{5,29,14,1,10}	
40	12	68000	{4,3,1,1,6000}	
40	13	72000	{5,29,14,1,10}	
40	14	76000	{4,3,1,1,6000}	
40	15	80000	{5,29,14,1,10}	
40	16	84000	{4,3,1,1,6000}	
40	17	88000	{5,29,14,1,20}	
40	18	92000	{4,3,1,1,6000}	
40	19	96000	{5,29,14,1,20}	
40	20	100000	{4,3,1,1,6000}	
				
41	1	6000	{5,29,15,1,10}	
41	2	12000	{4,3,1,1,6000}	
41	3	18000	{5,29,15,1,10}	
41	4	24000	{4,3,1,1,6000}	
41	5	30000	{5,29,15,1,10}	
41	6	36000	{4,3,1,1,6000}	
41	7	42000	{5,29,15,1,10}	
41	8	48000	{4,3,1,1,6000}	
41	9	54000	{5,29,15,1,10}	
41	10	60000	{4,3,1,1,6000}	
41	11	64000	{5,29,15,1,10}	
41	12	68000	{4,3,1,1,6000}	
41	13	72000	{5,29,15,1,10}	
41	14	76000	{4,3,1,1,6000}	
41	15	80000	{5,29,15,1,10}	
41	16	84000	{4,3,1,1,6000}	
41	17	88000	{5,29,15,1,20}	
41	18	92000	{4,3,1,1,6000}	
41	19	96000	{5,29,15,1,20}	
41	20	100000	{4,3,1,1,6000}	
				
42	1	6000	{5,29,15,1,10}	
42	2	12000	{4,3,1,1,6000}	
42	3	18000	{5,29,15,1,10}	
42	4	24000	{4,3,1,1,6000}	
42	5	30000	{5,29,15,1,10}	
42	6	36000	{4,3,1,1,6000}	
42	7	42000	{5,29,15,1,10}	
42	8	48000	{4,3,1,1,6000}	
42	9	54000	{5,29,15,1,10}	
42	10	60000	{4,3,1,1,6000}	
42	11	64000	{5,29,15,1,10}	
42	12	68000	{4,3,1,1,6000}	
42	13	72000	{5,29,15,1,10}	
42	14	76000	{4,3,1,1,6000}	
42	15	80000	{5,29,15,1,10}	
42	16	84000	{4,3,1,1,6000}	
42	17	88000	{5,29,15,1,20}	
42	18	92000	{4,3,1,1,6000}	
42	19	96000	{5,29,15,1,20}	
42	20	100000	{4,3,1,1,6000}	
				
43	1	6000	{5,29,16,1,10}	
43	2	12000	{4,3,1,1,6000}	
43	3	18000	{5,29,16,1,10}	
43	4	24000	{4,3,1,1,6000}	
43	5	30000	{5,29,16,1,10}	
43	6	36000	{4,3,1,1,6000}	
43	7	42000	{5,29,16,1,10}	
43	8	48000	{4,3,1,1,6000}	
43	9	54000	{5,29,16,1,10}	
43	10	60000	{4,3,1,1,6000}	
43	11	64000	{5,29,16,1,10}	
43	12	68000	{4,3,1,1,6000}	
43	13	72000	{5,29,16,1,10}	
43	14	76000	{4,3,1,1,6000}	
43	15	80000	{5,29,16,1,10}	
43	16	84000	{4,3,1,1,6000}	
43	17	88000	{5,29,16,1,20}	
43	18	92000	{4,3,1,1,6000}	
43	19	96000	{5,29,16,1,20}	
43	20	100000	{4,3,1,1,6000}	
				
44	1	6000	{5,29,16,1,10}	
44	2	12000	{4,3,1,1,6000}	
44	3	18000	{5,29,16,1,10}	
44	4	24000	{4,3,1,1,6000}	
44	5	30000	{5,29,16,1,10}	
44	6	36000	{4,3,1,1,6000}	
44	7	42000	{5,29,16,1,10}	
44	8	48000	{4,3,1,1,6000}	
44	9	54000	{5,29,16,1,10}	
44	10	60000	{4,3,1,1,6000}	
44	11	64000	{5,29,16,1,10}	
44	12	68000	{4,3,1,1,6000}	
44	13	72000	{5,29,16,1,10}	
44	14	76000	{4,3,1,1,6000}	
44	15	80000	{5,29,16,1,10}	
44	16	84000	{4,3,1,1,6000}	
44	17	88000	{5,29,16,1,20}	
44	18	92000	{4,3,1,1,6000}	
44	19	96000	{5,29,16,1,20}	
44	20	100000	{4,3,1,1,6000}	
				
45	1	6000	{5,29,17,1,10}	
45	2	12000	{4,3,1,1,6000}	
45	3	18000	{5,29,17,1,10}	
45	4	24000	{4,3,1,1,6000}	
45	5	30000	{5,29,17,1,10}	
45	6	36000	{4,3,1,1,6000}	
45	7	42000	{5,29,17,1,10}	
45	8	48000	{4,3,1,1,6000}	
45	9	54000	{5,29,17,1,10}	
45	10	60000	{4,3,1,1,6000}	
45	11	64000	{5,29,17,1,10}	
45	12	68000	{4,3,1,1,6000}	
45	13	72000	{5,29,17,1,10}	
45	14	76000	{4,3,1,1,6000}	
45	15	80000	{5,29,17,1,10}	
45	16	84000	{4,3,1,1,6000}	
45	17	88000	{5,29,17,1,20}	
45	18	92000	{4,3,1,1,6000}	
45	19	96000	{5,29,17,1,20}	
45	20	100000	{4,3,1,1,6000}	
				
46	1	6000	{5,29,17,1,10}	
46	2	12000	{4,3,1,1,6000}	
46	3	18000	{5,29,17,1,10}	
46	4	24000	{4,3,1,1,6000}	
46	5	30000	{5,29,17,1,10}	
46	6	36000	{4,3,1,1,6000}	
46	7	42000	{5,29,17,1,10}	
46	8	48000	{4,3,1,1,6000}	
46	9	54000	{5,29,17,1,10}	
46	10	60000	{4,3,1,1,6000}	
46	11	64000	{5,29,17,1,10}	
46	12	68000	{4,3,1,1,6000}	
46	13	72000	{5,29,17,1,10}	
46	14	76000	{4,3,1,1,6000}	
46	15	80000	{5,29,17,1,10}	
46	16	84000	{4,3,1,1,6000}	
46	17	88000	{5,29,17,1,20}	
46	18	92000	{4,3,1,1,6000}	
46	19	96000	{5,29,17,1,20}	
46	20	100000	{4,3,1,1,6000}	
				
47	1	6000	{5,29,18,1,10}	
47	2	12000	{4,3,1,1,6000}	
47	3	18000	{5,29,18,1,10}	
47	4	24000	{4,3,1,1,6000}	
47	5	30000	{5,29,18,1,10}	
47	6	36000	{4,3,1,1,6000}	
47	7	42000	{5,29,18,1,10}	
47	8	48000	{4,3,1,1,6000}	
47	9	54000	{5,29,18,1,10}	
47	10	60000	{4,3,1,1,6000}	
47	11	64000	{5,29,18,1,10}	
47	12	68000	{4,3,1,1,6000}	
47	13	72000	{5,29,18,1,10}	
47	14	76000	{4,3,1,1,6000}	
47	15	80000	{5,29,18,1,10}	
47	16	84000	{4,3,1,1,6000}	
47	17	88000	{5,29,18,1,20}	
47	18	92000	{4,3,1,1,6000}	
47	19	96000	{5,29,18,1,20}	
47	20	100000	{4,3,1,1,6000}	
				
48	1	6000	{5,29,18,1,10}	
48	2	12000	{4,3,1,1,6000}	
48	3	18000	{5,29,18,1,10}	
48	4	24000	{4,3,1,1,6000}	
48	5	30000	{5,29,18,1,10}	
48	6	36000	{4,3,1,1,6000}	
48	7	42000	{5,29,18,1,10}	
48	8	48000	{4,3,1,1,6000}	
48	9	54000	{5,29,18,1,10}	
48	10	60000	{4,3,1,1,6000}	
48	11	64000	{5,29,18,1,10}	
48	12	68000	{4,3,1,1,6000}	
48	13	72000	{5,29,18,1,10}	
48	14	76000	{4,3,1,1,6000}	
48	15	80000	{5,29,18,1,10}	
48	16	84000	{4,3,1,1,6000}	
48	17	88000	{5,29,18,1,20}	
48	18	92000	{4,3,1,1,6000}	
48	19	96000	{5,29,18,1,20}	
48	20	100000	{4,3,1,1,6000}	
				
49	1	6000	{5,29,19,1,10}	
49	2	12000	{4,3,1,1,6000}	
49	3	18000	{5,29,19,1,10}	
49	4	24000	{4,3,1,1,6000}	
49	5	30000	{5,29,19,1,10}	
49	6	36000	{4,3,1,1,6000}	
49	7	42000	{5,29,19,1,10}	
49	8	48000	{4,3,1,1,6000}	
49	9	54000	{5,29,19,1,10}	
49	10	60000	{4,3,1,1,6000}	
49	11	64000	{5,29,19,1,10}	
49	12	68000	{4,3,1,1,6000}	
49	13	72000	{5,29,19,1,10}	
49	14	76000	{4,3,1,1,6000}	
49	15	80000	{5,29,19,1,10}	
49	16	84000	{4,3,1,1,6000}	
49	17	88000	{5,29,19,1,20}	
49	18	92000	{4,3,1,1,6000}	
49	19	96000	{5,29,19,1,20}	
49	20	100000	{4,3,1,1,6000}	
				
50	1	6000	{5,29,19,1,10}	
50	2	12000	{4,3,1,1,6000}	
50	3	18000	{5,29,19,1,10}	
50	4	24000	{4,3,1,1,6000}	
50	5	30000	{5,29,19,1,10}	
50	6	36000	{4,3,1,1,6000}	
50	7	42000	{5,29,19,1,10}	
50	8	48000	{4,3,1,1,6000}	
50	9	54000	{5,29,19,1,10}	
50	10	60000	{4,3,1,1,6000}	
50	11	64000	{5,29,19,1,10}	
50	12	68000	{4,3,1,1,6000}	
50	13	72000	{5,29,19,1,10}	
50	14	76000	{4,3,1,1,6000}	
50	15	80000	{5,29,19,1,10}	
50	16	84000	{4,3,1,1,6000}	
50	17	88000	{5,29,19,1,20}	
50	18	92000	{4,3,1,1,6000}	
50	19	96000	{5,29,19,1,20}	
50	20	100000	{4,3,1,1,6000}	
				
51	1	6000	{5,29,20,1,10}	
51	2	12000	{4,3,1,1,6000}	
51	3	18000	{5,29,20,1,10}	
51	4	24000	{4,3,1,1,6000}	
51	5	30000	{5,29,20,1,10}	
51	6	36000	{4,3,1,1,6000}	
51	7	42000	{5,29,20,1,10}	
51	8	48000	{4,3,1,1,6000}	
51	9	54000	{5,29,20,1,10}	
51	10	60000	{4,3,1,1,6000}	
51	11	64000	{5,29,20,1,10}	
51	12	68000	{4,3,1,1,6000}	
51	13	72000	{5,29,20,1,10}	
51	14	76000	{4,3,1,1,6000}	
51	15	80000	{5,29,20,1,10}	
51	16	84000	{4,3,1,1,6000}	
51	17	88000	{5,29,20,1,20}	
51	18	92000	{4,3,1,1,6000}	
51	19	96000	{5,29,20,1,20}	
51	20	100000	{4,3,1,1,6000}	
				
52	1	6000	{5,29,20,1,10}	
52	2	12000	{4,3,1,1,6000}	
52	3	18000	{5,29,20,1,10}	
52	4	24000	{4,3,1,1,6000}	
52	5	30000	{5,29,20,1,10}	
52	6	36000	{4,3,1,1,6000}	
52	7	42000	{5,29,20,1,10}	
52	8	48000	{4,3,1,1,6000}	
52	9	54000	{5,29,20,1,10}	
52	10	60000	{4,3,1,1,6000}	
52	11	64000	{5,29,20,1,10}	
52	12	68000	{4,3,1,1,6000}	
52	13	72000	{5,29,20,1,10}	
52	14	76000	{4,3,1,1,6000}	
52	15	80000	{5,29,20,1,10}	
