编号	名称	说明	备注	说明中的数值	插槽类型(-1仅能被关卡机制调用,0局内随机保底,1智械,2核心,3分支）	功能类型(0局内随机保底1轨道轰炸2集群打击3钢铁防线)	能力效果类型(1智械续航，2角色增幅，3智械增幅，4物品破坏，5控制强化，6范围强化)	图标	智械使用间隔	品质上限	自动分解代币	关联智械表Id	关联Skillfix表中的Id	关联Modifier中的Id	Modifier依赖智械召唤id	关联局内机制1(填写方式参考《进击行动芯片局内机制类型说明》)	局内机制参数1	关联局内机制2(填写方式参考《进击行动芯片局内机制类型说明》)	局内机制参数2	额外属性类型1	额外属性数值1	额外属性类型2	额外属性数值2
121	assaultops.Chips_MainName9	assaultops.Chips_MainDescription9	核心：所有炮台部署后，增加50%的射程与索敌距离，所有炮塔的攻击间隔缩短25%	{50,25}	2	3	{4}	1001782		5	{62,{20,60,100,200,300}}					21	{{7,8,9},{354908201,354908201}}	6	{{7,8,9},3520908}	Attack	{70,140,280,420,700}	CriticalDamageAddtion	{3,6,12,18,30}
122	assaultops.Chips_BranchName13	assaultops.Chips_BranchDescription13	分支：为电磁炮增加磁轨，大幅度提升炮弹飞行速度，并且使命中时造成的伤害提高35/50%	{{35,50}}	3	3	{4}	1001786		5	{62,{20,60,100,200,300}}					21	{{7},{354908202,354908203}}			HealthMax	{163,325,650,975,1625}	Defence	{8,16,32,48,80}
123	assaultops.Chips_BranchName14	assaultops.Chips_BranchDescription14	分支：电磁炮发射间隔缩短35/50%	{{35,50}}	3	3	{4}	1001787		5	{62,{20,60,100,200,300}}					6	{{7},3520902}			Attack	{14,27,54,81,135}	Defence	{11,22,45,67,112}
124	assaultops.Chips_BranchName15	assaultops.Chips_BranchDescription15	分支：大地碎裂炮的覆盖范围和爆炸范围增加50%，造成的伤害增加35/50%	{50,{35,50}}	3	3	{4}	1001788		5	{62,{20,60,100,200,300}}					21	{{8},{354908221,354908222}}			Attack	{32,63,126,189,315}	HealthMax	{98,195,390,585,975}
125	assaultops.Chips_BranchName16	assaultops.Chips_BranchDescription16	分支：每发炮弹爆炸后，在落点留下燃烧区域，持续对范围内的敌人造成每秒5000/7500点伤害		3	3	{4}	1001789		5	{62,{20,60,100,200,300}}					6	{{8},3520904}	21	{{8},{0,354908223}}	Attack	{23,45,90,135,225}	Defence	{8,16,32,48,80}
126	assaultops.Chips_BranchName17	assaultops.Chips_BranchDescription17	分支：爆裂弹造成的物品破坏效果增加70/100%，如果命中目标没有装甲，则使目标防御力降低3.5/5%，最多降低35/50%	{{70,100},{3.5,5},{35,50}}	3	3	{4}	1001790		5	{62,{20,60,100,200,300}}					21	{{9},{354908211,354908212}}			Attack	{18,36,72,108,180}	HealthMax	{195,390,780,1170,1950}
127	assaultops.Chips_BranchName18	assaultops.Chips_BranchDescription18	分支：爆裂弹造成的伤害提高35/50%	{{35,50}}	3	3	{4}	1001791		5	{62,{20,60,100,200,300}}					21	{{9},{354908213,354908214}}			HealthMax	{195,390,780,1170,1950}	Defence	{6,13,26,38,64}
																							
301	assaultops.Chips_PlayerBuffName1	assaultops.Chips_PlayerBuffDescription1	角色-防御力提提升10%	{15}	0	0		1001250		1				{3520001}									
302	assaultops.Chips_PlayerBuffName2	assaultops.Chips_PlayerBuffDescription2	角色-攻击力提升10%	{15}	0	0		1001248		1				{3520002}									
303	assaultops.Chips_PlayerBuffName3	assaultops.Chips_PlayerBuffDescription3	角色-最大生命提升10%	{15}	0	0		1001246		1				{3520003}									
304	assaultops.Chips_PlayerBuffName4	assaultops.Chips_PlayerBuffDescription4	角色-受到伤害降低10%	{15}	0	0		1001331		1				{3520004}									
305	assaultops.Chips_PlayerBuffName5	assaultops.Chips_PlayerBuffDescription5	角色-技能伤害提升10%	{20}	0	0		1001330		1				{3520005}									
306	assaultops.Chips_PlayerBuffName6	assaultops.Chips_PlayerBuffDescription6	角色-射击伤害提升10%	{20}	0	0		1001332		1				{3520006}									
																							
401	assaultops.Chips_TitanDebuffName1	assaultops.Chips_TitanDebuffDescription1	环境负面-敌人等级+5(可叠加)	{5}	-1	0				1						8	{5}						
402	assaultops.Chips_TitanDebuffName1	assaultops.Chips_TitanDebuffDescription1	环境负面-敌人等级+5(可叠加)	{5}	-1	0				1						8	{5}						
403	assaultops.Chips_TitanDebuffName1	assaultops.Chips_TitanDebuffDescription1	环境负面-敌人等级+5(可叠加)	{5}	-1	0				1						8	{5}						
404	assaultops.Chips_TitanDebuffName2	assaultops.Chips_TitanDebuffDescription2	环境负面-污染值变化速度提升+100%	{100}	-1	0				1						11	{1}						
405	assaultops.Chips_TitanDebuffName3	assaultops.Chips_TitanDebuffDescription3	环境负面-灾害结束后，敌人的泰坦强化效果不会消失		-1	0				1						12	{1}						
406	assaultops.Chips_TitanDebuffName4	assaultops.Chips_TitanDebuffDescription4	环境负面-灾害爆发时，敌人的强化效果增加50%(可叠加)	{50}	-1	0				1						13	{1}						
407	assaultops.Chips_TitanDebuffName4	assaultops.Chips_TitanDebuffDescription4	环境负面-灾害爆发时，敌人的强化效果增加50%(可叠加)	{50}	-1	0				1						13	{1}						
408	assaultops.Chips_TitanDebuffName4	assaultops.Chips_TitanDebuffDescription4	环境负面-灾害爆发时，敌人的强化效果增加50%(可叠加)	{50}	-1	0				1						13	{1}						
409	assaultops.Chips_TitanDebuffName5	assaultops.Chips_TitanDebuffDescription5	环境负面-灾害爆发时，会额外生成泰坦结晶(发tag)		-1	0				1						14	{"level1"}						
410	assaultops.Chips_TitanDebuffName6	assaultops.Chips_TitanDebuffDescription6	环境负面-灾害状态下，晶体破坏时间缩短50%		-1	0				1						16	{-0.5}						
411	assaultops.Chips_TitanDebuffName7	assaultops.Chips_TitanDebuffDescription7	环境负面-成功对抗灾害后，不再能强化智械		-1	0				1						9	{-99}						
412	assaultops.Chips_TitanDebuffName8	assaultops.Chips_TitanDebuffDescription8	环境负面-所有智械使用间隔延长300%	{300}	-1	0				1						18	{{1,2,3},3}						
413	assaultops.Chips_TitanDebuffName9	assaultops.Chips_TitanDebuffDescription9	环境负面-所有天启者技能伤害降低50%	{50}	-1	0				1				{3520021}									
414	assaultops.Chips_TitanDebuffName10	assaultops.Chips_TitanDebuffDescription10	环境负面-所有天启者射击伤害降低50%	{50}	-1	0				1				{3520022}									
415	assaultops.Chips_TitanDebuffName11	assaultops.Chips_TitanDebuffDescription11	环境负面-灾害状态下，每次环境泰坦污染攻击的数量增加1次(可叠加)	{1}	-1	0				1						15	{0,1,0}						
416	assaultops.Chips_TitanDebuffName11	assaultops.Chips_TitanDebuffDescription11	环境负面-灾害状态下，每次环境泰坦污染攻击的数量增加1次(可叠加)	{1}	-1	0				1						15	{0,1,0}						
417	assaultops.Chips_TitanDebuffName12	assaultops.Chips_TitanDebuffDescription12	环境负面-灾害状态下，每次环境泰坦污染攻击的伤害提升50%(可叠加)	{50}	-1	0				1						15	{0,0,1}						
418	assaultops.Chips_TitanDebuffName12	assaultops.Chips_TitanDebuffDescription12	环境负面-灾害状态下，每次环境泰坦污染攻击的伤害提升50%(可叠加)	{50}	-1	0				1						15	{0,0,1}						
419	assaultops.Chips_TitanDebuffName13	assaultops.Chips_TitanDebuffDescription13	环境负面-灾害状态下，环境泰坦污染攻击的攻击频率提高50%	{50}	-1	0				1						15	{-0.33,0,0}						
																							
501	assaultops.Chips_TitanBuffName1	assaultops.Chips_TitanBuffDescription1	每次成功对抗灾害，智械强化次数额外增加1次	{1}	-1	0				1						9	{1}						
502	assaultops.Chips_TitanBuffName2	assaultops.Chips_TitanBuffDescription2	所有智械充能额外+2，当前可使用次数+2	{2,2}	-1	0				1						3	{{1,2,3},2}						
503	assaultops.Chips_TitanBuffName3	assaultops.Chips_TitanBuffDescription3	每次成功对抗灾害，恢复全部生命并使接下来的60秒造成的伤害+100%	{60,100}	-1	0				1						10	{3520024}						
504	assaultops.Chips_TitanBuffName4	assaultops.Chips_TitanBuffDescription4	个人增益-天启者常规能量恢复速度提升200%，爆发能量为满时，每秒可消耗5%爆发能量，使自身造成的所有伤害提升100%	{200,5,100}	-1	0				1				{3520025}									
505	assaultops.Chips_TitanBuffName5	assaultops.Chips_TitanBuffDescription5	天启者造成的物品破坏力提升300%	{300}	-1	0				1				{3520026}									
506	assaultops.Chips_TitanBuffName6	assaultops.Chips_TitanBuffDescription6	队员获得芙提雅科技支援，射击命中时有15%概率激活【余怒流火】，对目标周围至多5个目标造成队员攻击力25%的高热类型伤害	{15,5,25}	-1	0				1				{3520027}									
507	assaultops.Chips_TitanBuffName7	assaultops.Chips_TitanBuffDescription7	对目标造成伤害时，叠加冰冷效果，10层后将其冰冻，冰冻持续3秒，冰冻期间无法叠层。	{10,3}	-1	0				1				{3520028}									
508	assaultops.Chips_TitanBuffName8	assaultops.Chips_TitanBuffDescription8	灾害状态下，可获得敌人的强化增益		-1	0				1						22							
509	assaultops.Chips_TitanBuffName9	assaultops.Chips_TitanBuffDescription9	重回瓦尔基里赛场，黄金狮子前来助战！多次选择可强化芬妮·黄金狮子的实力		-1	0				1						20	{"fenny1","fenny2","fenny3"}						
510	assaultops.Chips_TitanBuffName10	assaultops.Chips_TitanBuffDescription10	重回瓦尔基里赛场，星期三前来助战！多次选择可强化里芙·星期三的实力		-1	0				1						20	{"lyfe1","lyfe2","lyfe3"}						
