随机组	备注	芯片ID	对应权重	品质权重
1		126	150	{0,0,0,0,200}
1		127	150	{0,0,0,0,200}
6	轰炸随机包	101	100	{1000,800,600,400,200}
6		102	100	{1000,800,600,400,200}
6		103	100	{1000,800,600,400,200}
6		104	150	{1000,800,600,400,200}
6		105	150	{1000,800,600,400,200}
6		106	150	{1000,800,600,400,200}
6		107	150	{1000,800,600,400,200}
6		108	150	{1000,800,600,400,200}
6		109	150	{1000,800,600,400,200}
7	无人机随机包	110	100	{1000,800,600,400,200}
7		111	100	{1000,800,600,400,200}
7		112	100	{1000,800,600,400,200}
7		113	150	{1000,800,600,400,200}
7		114	150	{1000,800,600,400,200}
7		115	150	{1000,800,600,400,200}
7		116	150	{1000,800,600,400,200}
7		117	150	{1000,800,600,400,200}
7		118	150	{1000,800,600,400,200}
8	炮台随机包	119	100	{1000,800,600,400,200}
8		120	100	{1000,800,600,400,200}
8		121	100	{1000,800,600,400,200}
8		122	150	{1000,800,600,400,200}
8		123	150	{1000,800,600,400,200}
8		124	150	{1000,800,600,400,200}
8		125	150	{1000,800,600,400,200}
8		126	150	{1000,800,600,400,200}
8		127	150	{1000,800,600,400,200}
