任务类型	程序内使用类型	注释（程序内不使用 注意使用场景）	检查值含义	参数含义	参数信息备注	追踪规则	弹窗类型(0默认非战斗1只战斗)		作用域（公测+DLC1)		作用域（DLC3新增)	作用域（DLC4新增)
54	1	联机使用购物机的次数(有购买行为)	需求次数			追踪次数						
55	1	联机激活购物机次数	需求次数			追踪次数						
56	1	联机购买增益消耗的金币总数	需求数量			追踪数量						
57	3	联机触发特殊NPC次数	需求次数	{1,2,3}	特殊npc的id，不填不限制	追踪次数						
58	3	联机购买BUFF类型次数	需求次数	{1,2,3}	buff的id，不填不限制	追踪次数						
59	1	联机收集金币的数量	需求数量			追踪数量						
60	3	完成指定类型关卡次数	需求次数	{关卡类型}	launch.lua定义的关卡类型(0指引1主线2每日3爬塔4碎片5boss6开放7联机12dlc1复刷本)	追踪次数			主线，扭蛋试玩,DCL1复刷本，常规，爬塔，boss挑战，碎片本，联机		DLC3主线/复刷/元素塔/DLC3联机	DLC4主线/复刷关/DLC4联机/巴别塔
61	1	赠送好友体力点数	需求数量			追踪数量						
62	3	完成活动任务个数	需求数量	{活动任务id}	任务id，对应activity_quest.txt中的id,不填不限制	需求数量						
63	7	达到x个好友	需求数量			追踪数量						
64	7	爬塔达到x层	需求层数			追踪层数			爬塔			
65	2	boss挑战人格稳定值达到x	需求积分	{积分}		追踪积分			boss关			
66	7	联机精神协作值达到x	需求积分	{积分}		追踪积分			联机			
67	5	完成任意(指定)角色碎片本行为-1次数	需求次数	{角色gdpl}	不填不限制	追踪次数			碎片本			
68	5	通关任意(指定)角色碎片本次数	需求次数	{角色gdpl}	不填不限制	追踪次数			碎片本			
69	1	角色累计提升X等级	需求数量			追踪数量						
70	1	武器累计提升X等级	需求数量			追踪数量						
71	1	后勤累计提升X等级	需求数量			追踪数量						
72	3	任意X个角色完成同步率认证Y阶段	需求数量	{阶段}	不填不限制	追踪角色数量						
73	14	通关荣誉冲突难度X防御Y波	需求波数	{难度}	不填不限制	追踪最大波数			防御活动			
74	13	战术考核通关X阶段Y关卡的次数	需求次数	{阶段,关卡id}	对应challenge/tower_event/chapter.txt	追踪次数			战术考核			
75	7	装备武器配件X个	需求数量		不适用于短期的限时活动	追踪数量						
76	6	完成神经阶段个数(可指定少女Y)	需求数量	{角色gdpl}	不限制不填	追踪数量						
77	1	累计击杀怪物X只	需求数量			追踪数量			主线，boss关，肉鸽，常规，dlc1复刷，区域压制，碎片本，爬塔，战术考核，联机，防御活动		DLC3主线/复刷/元素塔/DLC3联机	DLC4主线/复刷关/DLC4联机/巴别塔
78	5	购买道具(商城,区别8)	需求数量	{G,D,P,L}	不限制的填-1	追踪数量						
79	1	累计领取体力次数	需求数量			追踪数量						
80	3	通关棋盘x	需求次数	{棋盘地图id}		追踪次数						
81	14	棋盘x探索度达到y	需求数量	{棋盘地图id}	不填不限制	追踪数量						
82	3	完成活动任务个数	需求数量	{dlc任务id}	任务id，对应dlc_mission.txt中的id,不填不限制	需求数量						
83	1	消耗x次行动力（肉鸽）	需求次数			追踪次数						
84	1	完成x个战斗节点（肉鸽）	需求次数			追踪次数						
85	1	完成x次天降奇遇（肉鸽）	需求次数			追踪次数						
86	1	完成x次商店（肉鸽）	需求次数			追踪次数						
87	1	完成x次休息点（肉鸽）	需求次数			追踪次数						
88	2	获得x个增益（肉鸽）	需求次数			追踪次数						
89	1	累计完成死斗X次(荣誉冲突改版后，废弃)	需求次数			追踪次数						
90	1	累计完成死斗星级任务X次(荣誉冲突改版后，废弃)	需求次数			追踪次数						
91	3	完成常规行动关卡次数(只是教学关卡)	需求次数	{1,2,3}	关卡id，对应daily/level.txt,不填不限制	追踪次数			常规(教学关卡)			
92	1	通关常规行动所有教学关	需求次数			追踪次数			常规(教学关卡)			
93	1	进行一次好友申请	需求次数			追踪次数						
94	1	拥有任意一名神经全激活的角色	需求次数			追踪次数						
95	1	在商店购买X次商品（肉鸽）	需求次数			追踪次数						
96	1	完成x个节点（肉鸽）	需求次数			追踪次数						
97	1	队伍中有试用角色时完成X次战斗(肉鸽)	需求次数			追踪次数						
98	17	使用含x个特定词条通BOSS关	需求数量	{数量,{词条id,词条id...},bossid}	词条不填时，bossid也不填；如果需要bossid，词条想空可以填：{}	追踪数量						
99	16	使用含角色中任意X人的队伍通关(BOSS挑战)	需求数量	{数量,{{g,d,p,l},{g,d,p,l}..},是否满词条(1),bossid}	满词条都必须填，不限制填0或者-1;bossid不限制可以不填	追踪数量						
100	16	使用含角色中任意X人的队伍通关(地下清理)	需求数量	{数量,{{g,d,p,l},{g,d,p,l}..},层数}		追踪数量						
101	16	使用含角色中任意X人的队伍通关(战术考核通关X阶段Y关卡的次数)	需求数量	{数量,{{g,d,p,l},{g,d,p,l}..},阶段,关卡id}		追踪数量						
102	7	同一天领取体力次数	需求数量			追踪数量						
103	1	累积激活神经次数	需求数量			追踪数量						
104	18	X个不同角色完成神经阶段Y个(可限制角色卡)	需求数量	{阶段个数,{{g,d,p,l},{g,d,p,l}..}}	角色gdpl不限制不填	追踪数量						
105	6	指定角色完成同步率认证X阶段	需求数量	{阶段}	角色gdpl	追踪次数						
106	1	不购买试用角色的情况下通关X次（肉鸽）	需求数量			追踪次数						
107	19	BUFF数量少于X通关（肉鸽）	需求数量			追踪次数						
108	1	角色未退场的情况下通关一次（肉鸽）	需求数量			追踪次数						
109	2	每日日常任务达到X活跃度	需求数量			追踪数量						
110	20	集齐指定数量（限定）图鉴内容	需求数量	{图鉴id,图鉴id}	图鉴id列表	追踪数量			一般图鉴			
111	21	棋盘中通过x区域重置次数小于y	需求数量	{区域id}		追踪数量						
112	20	触发指定数量(限定)解谜彩蛋	需求数量	{彩蛋id，彩蛋id}		追踪数量						
113	12	地下清理完成X个关卡目标	需求数量	{1}限定追踪废弃区域{2}限定追踪约顿隧道{3}都追踪		追踪数量						
114	13	被Boss用技能击杀x次	需求数量	{bossid,技能id}	不限制不填(若只限制技能id，bossid填-1)	追踪次数			BOSS挑战			
115	13	无伤挑战X难度下的BOSS关卡	需求次数	{难度id,bossid}	不限制不填	追踪次数			BOSS挑战			
116	1	击破可破坏物X个(主线，DLC ，教学关)	需求数量			追踪数量			主线，DLC1复刷，常规		DLC3主线/复刷/元素塔/DLC3联机	DLC4主线/复刷关/DLC4联机/巴别塔
117	4	(宿舍)收集X个碎片	需求数量	{1特殊碎片}	不限制不填	追踪数量						
118	1	(宿舍)完成X次拼图	需求数量			追踪数量						
119	1	(宿舍)进行X次碎片赠送	需求数量			追踪数量						
120	1	(宿舍)触发X次随机事件	需求数量			追踪数量						
121	10	(宿舍)X名角色信赖度X级	需求数量	{等级}		追踪数量						
122	4	(宿舍)收集X个家具	需求数量	{限制少女id}	不限制不填	追踪数量						
123	1	(宿舍)宿舍入住X个角色	需求数量			追踪数量						
124	2	(宿舍)宿舍等级达到x级	需求数量			追踪数量						
125	1	赠送好友体力次数	需求数量			追踪数量						
126	1	通关肉鸽X层	需求数量			追踪数量						
127	13	角色未退场挑战X难度下的BOSS关卡	需求数量	{难度id,bossid}	不限制不填	追踪次数						
128	22	通关某类型关卡【不可累计复刷，不包含主线】	需求数量	{类型,{关卡id1...}}	launch.lua定义的关卡类型(10棋盘外层mapid 12dlc1复刷本)	追踪次数						
129	4	(宿舍)获得X个碎片	需求数量	{1特殊碎片}	不限制不填	追踪数量						
130	4	爬塔通过x层Y次	需求次数	{层数}		追踪次数						
131	23	x秒内通关Y玩法联机	需求次数	{时间秒,玩法id}		追踪次数						
132	24	(联机困难)在x(>=)难度坚守y波以上	需求波次	{难度,武器类型}	难度要配，武器类型不限制不配	追踪波次						
133	25	(联机困难)阵亡次数小于x次通关Y难度	需求波次	{难度，死亡次数}		需求波次						
134	24	(联机困难)在x(>=)难度，累计造成Y点伤害	需求数量	{难度}		追踪数量						
135	3	暗区累计完成X类型任务Y次	需求数量	{任务类型}	1:区域任务，2:晶簇任务 不限制不填	追踪数量						
136	1	暗区累计击破小型水晶X个	需求数量	{数量}		追踪数量						
137	1	跳转到绑定界面，绑定Seasun Games账号	需求次数			追踪次数						
138	1	使用PC登陆游戏	需求次数			追踪次数						
139	4	打开某个链接	需求次数	{活动任务id}	任务id，每个链接都有一个全局唯一的id	追踪次数						
140	4	【废弃，勿用】加入Discord服务器	需求次数			追踪次数						
141	7	迷城积分达到x	需求积分	{积分}		追踪积分						
142	26	指定关卡高于条件值的次数(剩余血量/击杀数量/时间，对应不同关卡类型计算的前面的内容是不同的，仅大关卡生效;且只能配置单关）	需求数量	{关卡ID,条件值}		追踪数量						
143	27	指定关卡累计击杀数量（可配置多关）	需求数量	{关卡ID,..}		追踪数量						
144	28	指定关卡累通关次数【累计】	需求数量	{类型,{关卡id1...}}		追踪数量						
145	1	暗区累计击获得激励点数X个	需求数量	{数量}		追踪数量						
146	1	累计完成全部日常任务X次	需求数量	{数量}		追踪数量						
147	13	通关大富翁第x张地图	需求次数	{大富翁地图id,期数}	chess_map.txt里的mapid 和 id;只有1次	追踪次数					大富翁	
148	1	累计应援次数	需求数量			追踪数量					大富翁	
149	3	累计获得各类代币x枚	需求数量	{代币id,代币id..}具体请查看cash表中的ID		追踪数量					元素塔	
150	3	完成大地图任务个数	需求数量	{任务id}	任务id，对应darkzone/mission.txt中的id,不填不限制	追踪数量					DLC3探索	
151	3	完成大地图委托任务个数	需求数量	{任务id}	任务id，对应darkzone/mission.txt中的id,不填不限制	追踪数量					DLC3探索	
152	3	完成大地图石板收集(领奖)x个	需求数量	{石板id}	任务id，对应darkzone/handbook.txt中的id,不填不限制	追踪数量					DLC3探索	
153	14	单人第X关伤害达到Y点(OnlineBoss模块)	需求数量	{关卡id}	关卡id，对应online_boss/level.txt中的id,不填不限制	追踪数量					DLC3联机	
154	15	拥有X级房屋y个(大富翁)	需求数量	{房屋等级,地图id}	不限制不填	追踪数量					大富翁	
155	1	抽X次奖	需求数量			追踪数量					元素塔	
156	14	每关累计获得代币X枚	需求数量	{地图id}		追踪数量					大富翁	
157	7	探索等级达到X	需求等级			追踪等级					DLC3探索	
158	13	完成指定位置的boss指定难度x次	需求次数	{boss位置,难度}		追踪次数						
159	1	(大肉鸽)通过休整点的装置解除X次诅咒(战斗中)	需求次数			追踪次数					大肉鸽	
160	1	(大肉鸽)使用过X次诅咒解除道具(战斗中)	需求次数			追踪次数					大肉鸽	
161	11	(大肉鸽)没有遭受诅咒通过X难度及以上Y次(结算时)	需求次数	{难度}		追踪次数					大肉鸽	
162	11	(大肉鸽)每个上阵队员都遭受诅咒通过X难度及以上Y次(结算时)	需求次数	{难度}		追踪次数					大肉鸽	
163	1	(大肉鸽)成功抵挡X次诅咒(战斗中)	需求次数			追踪次数					大肉鸽	
164	29	(大肉鸽)只上阵(不大于)x个队员通关Y难度及以上n次(结算时)	需求次数	{难度,队员个数}		追踪次数					大肉鸽	
165	26	(大肉鸽)只上阵x武器类型队员通关Y难度及以上n次(结算时)	需求次数	{队员类型,难度}		追踪次数					大肉鸽	
166	14	(大肉鸽)X个科技达到Y级及以上	需求数量	{等级}		追踪数量					大肉鸽	
167	7	(大肉鸽)冒险等级达到X级(结算时)	需求等级			追踪等级					大肉鸽	
168	1	(大肉鸽)获得X个道具(战斗中)	需求数量			追踪数量					大肉鸽	
169	7	(大肉鸽)通关时，持有的局内货币达到X(结算时)	需求数量			追踪数量					大肉鸽	
170	11	(大肉鸽)累计完成X次战斗事件(战斗中)	需求次数			追踪次数					大肉鸽	
171	11	(大肉鸽)累计开启X个宝箱(战斗中)	需求数量			追踪数量					大肉鸽	
172	11	(大肉鸽)累计在商店事件中购买过X个buff(战斗中)	需求数量			追踪数量					大肉鸽	
173	11	(大肉鸽)累计刷新X次商店(战斗中)	需求次数			追踪次数					大肉鸽	
174	29	(大肉鸽)获得(不大于)X个buff的情况下，通关Y难度及以上N次(结算时)	需求次数	{难度,buff数量}		追踪次数					大肉鸽	
175	11	(大肉鸽)在不装备任何个人buff的情况下，通关Y难度及以上N次(结算时)	需求次数	{难度}		追踪次数					大肉鸽	
176	7	(大肉鸽)任意队员装备x个以上个人buff(战斗中)	需求数量			追踪数量					大肉鸽	
177	7	(大肉鸽)通关时，获得x种及以上的套装属性的buff(结算时)	需求数量			追踪数量					大肉鸽	
178	11	(大肉鸽)获得了x个Y级及以上buff(结算时)	需求数量	{buff等级}		追踪数量					大肉鸽	
179	26	(大肉鸽)使用X天赋通关Y难度及以上n次(结算时)	需求次数	{天赋id,难度}		追踪次数					大肉鸽	
180	1	(大肉鸽)在激活天赋的最高级效果的情况下通关Y次(结算时)	需求次数			追踪次数					大肉鸽	
181	4	(大肉鸽)通关X难度的迷宫Y次(结算时)	需求次数	{难度}		追踪次数					大肉鸽	
182	11	(大肉鸽)通关X难度及以上的迷宫Y次(结算时)	需求次数	{难度}		追踪次数					大肉鸽	
183	4	(大肉鸽)在威胁度达到X级的情况下通关y次任意难度迷宫(结算时)	需求次数	{威胁度}		追踪次数					大肉鸽	
184	29	(大肉鸽)在威胁度不高于X级的情况下通关Y难度及以上迷宫n次(结算时)	需求次数	{难度,威胁度}		追踪次数					大肉鸽	
185	11	(大肉鸽)在没有阵亡过的情况下通关X难度及以上难度Y次(结算时)	需求次数	{难度}		追踪次数					大肉鸽	
186	1	(大肉鸽)累计复活过x次队员(战斗中)	需求次数			追踪次数					大肉鸽	
187	2	分析员升级(升级和登录触发),应对账号等级奖励的等级变化	需求等级			追踪等级						
188	24	(联机塔防)在x(>=)难度坚守y波以上	需求波次	{难度,武器类型}	难度要配，武器类型不限制不配	追踪波次						
189	25	(联机塔防)阵亡次数小于x次通关Y难度	需求波次	{难度，死亡次数}		需求波次						
190	24	(联机塔防)在x(>=)难度，累计造成Y点伤害	需求数量	{难度}		追踪数量						
191	4	(联机塔防)累计捐献X个Y资源	需求数量	{资源类型}	资源类型:1A2B3V	追踪数量						
192	11	(联机塔防)通关Yx(>=)难度X次	需求次数	{难度}		追踪次数						
193	4	(联机塔防)X天赋树强化到满级Y次	需求次数	{天赋类型}	天赋类型:1A2B3C	追踪次数						
194	3	发送X次聊天消息	需求次数	{频道1,频道2,...}	1世界 2队伍 3好友 4招募	追踪次数						
195	1	触发看板娘动作	需求次数			追踪次数						
196	26	（大肉鸽）上阵x个不同武器类型的队员通关y次z难度(结算时)	需求次数	{武器类型数量,难度}		追踪次数					大肉鸽	
197	29	（大肉鸽）上阵角色均不高于x星通关y次z难度(结算时)	需求次数	{难度,角色最高星}		追踪次数					大肉鸽	
198	11	（大肉鸽）上阵的队员中，存在同一队员的不同战术套装的情况下通关x次迭战射影(结算时)	需求次数	{难度}		追踪次数					大肉鸽	
199	30	（大肉鸽）使用天赋【xx】完成一次z难度战局，且深入至x层以上（通关也算）(战斗中)	需求次数	{天赋id,难度,层数}		追踪次数					大肉鸽	
200	1	（大肉鸽）累计进行x次抽奖	需求次数			追踪次数					大肉鸽	
201	13	（新星开拓）累计捕捉x只怪物	需求数量	{品质,阵营}	品质必须填，可以填-1	追踪数量					新星开拓	
202	1	（新星开拓）开拓进程达到X	需求数量			追踪数量					新星开拓	
203	2	（新星开拓）在试炼关卡达到X积分	需求积分			追踪积分					新星开拓	
204	7	（新星开拓）开拓等级达到X级	需求等级			追踪等级					新星开拓	
205	24	(联机塔防)使用z职业在x(>=)难度坚守y波以上	需求波次	{难度,职业}	难度要配，职业不限制不配	追踪波次						
206	7	死斗总积分达到XXX	需求积分			需求积分						
207	9	死斗XX难度连续击杀YY只怪	需求数量	{难度，连杀数量}	难度配成最小的，完全不限就配0	追踪数量						
208	7	(联机绝地)BP等级达到X级	需求等级			追踪最大	1				联机bp	
209	2	（大肉鸽）buff图鉴累计收集数量	需求数量			追踪数量					大肉鸽	
210	2	（大肉鸽）buff图鉴角色专属buff累计收集数量	需求数量			追踪数量					大肉鸽	
211	12	（大肉鸽）buff图鉴XX套装buff累计收集数量	需求数量	{套装，数量}		追踪数量					大肉鸽	
212	13	钓鱼次数累积X次	需求数量	{品质,昼夜}	不限制不填,如果有昼夜(1or2)，品质不限制填-1	追踪数量					新星开拓	
213	1	技能升阶累积X次	需求数量			追踪数量					新星开拓	
214	1	解雇伙伴累积X个	需求数量			追踪数量					新星开拓	
215	1	伙伴扭蛋累积抽奖X次	需求数量			追踪数量					新星开拓	
216	1	抓捕区域累积击杀x只敌人	需求数量			追踪数量					新星开拓	
217	1	累计完成大富翁玩法X次	需求数量			追踪数量					新大富翁	
218	4	富翁玩法完成X结局Y次	需求次数	{结局id}		追踪次数					新大富翁	
219	4	累积拾取(激活)x个宝箱(能量块礼盒传送点)	需求数量	{区域类型}	region_info.txt 里的RegionType	追踪数量					新星开拓	
220	1	火线突进完成次数	需求次数			追踪次数					噩梦联机/火线突击	
221	3	火线突击完成X次Y关卡	需求次数	{关卡id1，关卡id2}		追踪次数					噩梦联机/火线突击	
222	1	火线突进额外任务完成次数	需求次数			追踪次数					噩梦联机/火线突击	
223	12	(联机综合)BP等级达到X级	需求等级			追踪最大	1				联机综合BP	
224	1	（大肉鸽）累计解锁X个节点	需求次数			追踪次数					大肉鸽	
225	3	获得任意一种代币的数量	需求数量	{代币id1,代币id2,代币id3}1:钻石,2:金币,3:体力		追踪数量						
226	1	(联机塔防2)累计收集X个资源	需求数量			追踪数量					联机	
227	1	(联机塔防2)天赋树强化到满级Y次	需求次数			追踪次数					联机	
228	1	(联机塔防2)累计收集X个弹药	需求数量			追踪数量					联机	
229	1	(联机塔防2)累计消耗X个资源	需求数量			追踪数量					联机	
230	13	(联机通用)通关某个类型X的Y难度Z次	需求次数	{联机类型,难度}	可两个都不配；或者要配类型	追踪次数					联机	
231	14	(联机禁域)单局智械兵器使用次数达到x次	需求数量	{难度}	难度可不配	追踪数量					联机	
232	4	(联机禁域)智械兵器使用次数累计达到x次	需求数量	{难度}	难度可不配	追踪数量					联机	
233	1	(联机禁域)累计解锁智械兵器达到x次	需求数量			追踪数量					联机	
234	1	(联机禁域)累计升级智械兵器到满级x次	需求数量			追踪数量					联机	
235	4	(联机禁域)使用智械兵器累计击杀达到x	需求数量	{难度}	难度可不配	追踪数量					联机	
236	4	(联机禁域)使用智械兵器累计伤害达到x	需求数量	{难度}	难度可不配	追踪数量					联机	
237	13	(联机禁域)只携带X类型智械兵器通关达到x次	需求次数	{武器类型,难度}	可两个都不配；或者要配类型	追踪次数					联机	
238	31	(联机禁域)携带智械兵器数量少于x次通关达到Y次	需求次数	{个数,难度}	个数要配	追踪次数					联机	
239	31	(联机通用)死亡次数少于O次时通关某个类型X的Y难度Z次	需求次数	{死亡次数，联机类型,难度}	第一个必现配,后两个都不配，或者要配类型	追踪次数					联机	
240	14	(联机禁域)单局使用智械兵器累计击杀达到Y	需求数量	{难度}	难度可不配	追踪数量					联机	
241	3	海姆向前冲完成关卡类型多少次	需求次数	{关卡类型}	1竞速 2生存 3积分 4捉迷藏 5优化 6决战哈姆	追踪次数					联机	
242	32	海姆向前冲获得X次Y名次以上	需求数量	{关卡名次}	名次	需求数量					联机	
243	1	累计合成物件x次	需求数量			需求数量					背包肉鸽	
244	4	收集Y级物件x次	需求数量	{物件等级}		需求数量					背包肉鸽	
245	7	背包格子扩充达到x格	需求数量			需求数量					背包肉鸽	
246	7	同时持有x个以上的临时buff	需求数量			需求数量					背包肉鸽	
247	1	成功通关x次	需求数量			需求数量					背包肉鸽	
248	4	达成过Y结局X次数	需求数量	{结局id}		需求数量					背包肉鸽	
249	7	在一局中，使X个天赋达到最高级	需求数量			需求数量					背包肉鸽	
250	1	获得过X种物件	需求数量			需求数量					背包肉鸽	
251	7	在一局中，同时激活了X个天赋(天赋至少达到1级)	需求数量			需求数量					背包肉鸽	
252	4	在一局中，使X天赋达到最高级	需求数量	{天赋id}		需求数量					背包肉鸽	
253	1	火线突进累计造成伤害	需求数量			需求数量					噩梦联机/火线突击	
254	33	(联机禁域)只携带X种类型智械兵器通关达到x次	需求次数	{{类型列表},难度}	难度可以不配	追踪次数					联机	
255	35	(联机禁域)单局智械兵器使用次数达到x次(包含智械类型)	需求数量	{难度,智械类型}	可两个都不配；或者要配难度(-1不限制)	追踪数量					联机	
256	34	(联机禁域)智械兵器使用次数累计达到x次(包含智械类型)	需求数量	{难度,智械类型}	可两个都不配；或者要配难度(-1不限制)	追踪数量					联机	
257	4	(弑神斗场)参与弑神斗场战斗次数	需求数量	{Levelid}	失败成功都记录，放弃不记录	追踪数量					弑神斗场	
258	1	(异星守护)累计解锁伙伴数量	需求数量			追踪数量					异星守护	
259	3	(异星守护)解锁伙伴x技能类型y次	需求次数	{技能类型}	1主动 2被动	追踪次数					异星守护	
260	1	(异星守护)累计解锁所有技能伙伴数量	需求数量			追踪数量					异星守护	
261	4	累积制作X个鱼饵	需求数量	{鱼饵id}	可不配	追踪数量					新星开拓	
262	7	钓鱼评分达到x	需求数量			追踪数量					新星开拓	
263	14	某种鱼得钓鱼评分达到x	需求数量	{鱼id}		追踪数量					新星开拓	
264	14	少女通关轮盘赌剧情	需求数量	{少女Id}							宿舍	
265	14	在轮盘赌某模式失败	需求数量	{模式Id}							宿舍	
266	2	无尽模式连胜数量	需求数量								宿舍	
267	2	轮盘赌历史最佳金币	需求数量								宿舍	
268	2	无尽模式输掉金币	需求数量								宿舍	
269	2	被询问是否翻倍继续时，选择立即离开	需求数量								宿舍	
270	1	轮盘赌功能道具图鉴解锁数量	需求数量								宿舍	
271	2	当枪中剩余水弹、空弹各一发时，对自己开枪且是空弹	需求数量								宿舍	
272	2	看破墨镜实弹打自己	需求数量								宿舍	
273	2	剩余两点生命时翻倍器击毙自己	需求数量								宿舍	
274	2	怪盗之手偷怪盗之手	需求数量								宿舍	
275	2	重置之锤随重置之锤	需求数量								宿舍	
276	1	轮盘赌彩蛋道具图鉴解锁数量	需求数量								宿舍	
277	2	(纷愿绮梦）累计解锁x个完整流派	需求数量			追踪数量					纷愿绮梦	
278	7	(纷愿绮梦）在任意1局关卡内累计获得x个棋子	需求数量			追踪数量					纷愿绮梦	
279	7	(纷愿绮梦）在任意1局关卡内累计消除x个棋子	需求数量			追踪数量					纷愿绮梦	
280	4	(纷愿绮梦）在对局中累计获取x个y星棋子	需求数量	{星级}	星级可不配	追踪数量					纷愿绮梦	
281	4	(纷愿绮梦）在对局中累计获取x个y星宝物	需求数量	{星级}	星级可不配	追踪数量					纷愿绮梦	
282	1	(纷愿绮梦）在对局中累计消灭x个敌人	需求数量			追踪数量					纷愿绮梦	
