成就唯一ID	注释（程序内不使用）	任务名	任务介绍	任务或成就图标	分组（1-日常,2-周常,3-成就,4-主线,5-支线任务额外奖励）	所属章节（支线任务才配）	章节抬头图（支线任务额外奖励才配）	需要【本阶段内】完成的任务	排序	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	前置任务id	领取奖励后是否在列表中显示	任务类型	检查值	扩展参数 不填为不限制	可执行次数,0或不填为不限制	奖励列表,格式{{g,d,p,l,n},...}	系统解锁条件（对应function.txt表）	跳转界面	条件跳转	跳转参数	开始时间,格式：年月日时分秒,如201601010200或20160101（时分秒可省略）	结束时间,格式桶开始时间	重置周期【仅天,周常用】；配置模式：固定刷新：开启时间也需要配+这列配{1,天数}/地下清理：开启时间不需要配+这列配{2}（climb_tower_time)/	活动ID	任务点数	弹窗({类型:1,主线2,目标})	标签分类(仅目标成就3-成就)	刷新标签{"颜色ID","表.key"})
110	通关曜日关卡1次	achievement.Name8	achievement.Describe8_2		1					{{{2,11427}},{{2,10202}}}		1	60	1	{2}			13	DungeonsResourse							10			
111	进行一次宿舍随机对话	achievement.Name67	achievement.Describe67		1					{{{2,11501}},{{2,10306}}}		1	120	1				48		HouseLogic.LoadHouse						10			
																													
201	【超元链接】完成任意2次联机关卡	achievement.Name30	achievement.Describe30		2					{{{2,11506}},{{2,10309}}}		1	52	2			{{4,3,2,1,30}}	14	DungeonsOnline										{"FFC500","achievement.icon2"}
202	【超元链接】精神协作值达到1000点（一次保底50点）	achievement.Name32	achievement.Describe32		2					{{{2,11506}},{{2,10309}}}		1	66	1000			{{4,3,2,1,80}}	14	DungeonsOnline										{"FFC500","achievement.icon2"}
203	【地下清理】在约顿隧道中通过第15层	achievement.Name25_1	achievement.Describe25_15		2					{{{2,11514}},{{2,10503}}}		1	130	1	{15}		{{4,3,2,1,100}}	16		ClimbTowerLogic.CheckCycleLevel				{2}					{"46DBD9","achievement.icon3"}
204	【地下清理】在约顿隧道中通过第16层	achievement.Name25_2	achievement.Describe25_16		2					{{{2,11514}},{{2,10503}}}		1	130	1	{16}		{{4,3,2,1,100}}	16		ClimbTowerLogic.CheckCycleLevel				{2}					{"46DBD9","achievement.icon3"}
205	【地下清理】在约顿隧道中通过第17层	achievement.Name25_3	achievement.Describe25_17		2					{{{2,11514}},{{2,10503}}}		1	130	1	{17}		{{4,3,2,1,100}}	16		ClimbTowerLogic.CheckCycleLevel				{2}					{"46DBD9","achievement.icon3"}
206	【地下清理】在约顿隧道中通过第18层	achievement.Name25_4	achievement.Describe25_18		2					{{{2,11514}},{{2,10503}}}		1	130	1	{18}		{{4,3,2,1,100}}	16		ClimbTowerLogic.CheckCycleLevel				{2}					{"46DBD9","achievement.icon3"}
207	【地下清理】在约顿隧道中累计完成24个关卡目标	achievement.Name89_1	achievement.Describe89_2		2					{{{2,11514}},{{2,10503}}}		1	113	24	{2}		{{4,3,2,1,80}}	16		ClimbTowerLogic.CheckCycleLevel				{2}					{"46DBD9","achievement.icon3"}
208	【地下清理】在约顿隧道中累计完成36个关卡目标	achievement.Name89_2	achievement.Describe89_2		2					{{{2,11514}},{{2,10503}}}		1	113	36	{2}		{{4,3,2,1,80}}	16		ClimbTowerLogic.CheckCycleLevel				{2}					{"46DBD9","achievement.icon3"}
209	【地下清理】在约顿隧道中累计完成48个关卡目标	achievement.Name89_3	achievement.Describe89_2		2					{{{2,11514}},{{2,10503}}}		1	113	48	{2}		{{4,3,2,1,80}}	16		ClimbTowerLogic.CheckCycleLevel				{2}					{"46DBD9","achievement.icon3"}
210	【地下清理】在约顿隧道中累计完成60个关卡目标	achievement.Name89_4	achievement.Describe89_2		2					{{{2,11514}},{{2,10503}}}		1	113	60	{2}		{{4,3,2,1,80}}	16		ClimbTowerLogic.CheckCycleLevel				{2}					{"46DBD9","achievement.icon3"}
211	【精神拟境】击败任意一个boss一次	achievement.Name90_1	achievement.Describe90_3		2					{{{2,11512}},{{2,10406}}}		1	40	1			{{4,3,2,1,50}}	17				[202306011000]	[202311060400]						{"FFC500","achievement.icon2"}
212	【精神拟境】击败任意boss2次	achievement.Name90_2	achievement.Describe90_3		2					{{{2,11512}},{{2,10406}}}		1	40	2			{{4,3,2,1,50}}	17				[202306011000]	[202311060400]						{"FFC500","achievement.icon2"}
213	【精神拟境】稳定值达到500	achievement.Name33_1	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	500	{500}		{{4,3,2,1,50}}	17				[202306011000]	[202311060400]						{"FFC500","achievement.icon2"}
214	【精神拟境】稳定值达到1000	achievement.Name33_2	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	1000	{1000}		{{4,3,2,1,50}}	17				[202306011000]	[202311060400]						{"FFC500","achievement.icon2"}
215	【精神拟境】稳定值达到2000	achievement.Name33_3	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	2000	{2000}		{{4,3,2,1,50}}	17				[202306011000]	[202311060400]						{"FFC500","achievement.icon2"}
216	【精神拟境】稳定值达到3000	achievement.Name33_4	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	3000	{3000}		{{4,3,2,1,50}}	17				[202306011000]	[202311060400]						{"FFC500","achievement.icon2"}
217	【精神拟境】稳定值达到5000	achievement.Name33_5	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	5000	{5000}		{{4,3,2,1,40}}	17				[202306011000]	[202311060400]						{"FFC500","achievement.icon2"}
218	【精神拟境】稳定值达到7000	achievement.Name33_6	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	7000	{7000}		{{4,3,2,1,40}}	17				[202306011000]	[202311060400]						{"FFC500","achievement.icon2"}
																													
219	【精神拟境】稳定值达到1200	achievement.Name33_1	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	1200	{1200}		{{4,3,2,1,50}}	17		BossPvpLogic.GetOpenID()		[202311060400]							{"FFC500","achievement.icon2"}
220	【精神拟境】稳定值达到2400	achievement.Name33_2	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	2400	{2400}		{{4,3,2,1,50}}	17		BossPvpLogic.GetOpenID()		[202311060400]							{"FFC500","achievement.icon2"}
221	【精神拟境】稳定值达到4200	achievement.Name33_3	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	4200	{4200}		{{4,3,2,1,50}}	17		BossPvpLogic.GetOpenID()		[202311060400]							{"FFC500","achievement.icon2"}
222	【精神拟境】稳定值达到6000	achievement.Name33_4	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	6000	{6000}		{{4,3,2,1,50}}	17		BossPvpLogic.GetOpenID()		[202311060400]							{"FFC500","achievement.icon2"}
223	【精神拟境】稳定值达到12000	achievement.Name33_5	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	12000	{12000}		{{4,3,2,1,40}}	17		BossPvpLogic.GetOpenID()		[202311060400]							{"FFC500","achievement.icon2"}
224	【精神拟境】稳定值达到20000	achievement.Name33_6	achievement.Describe33		2					{{{2,11512}},{{2,10406}}}		1	65	20000	{20000}		{{4,3,2,1,40}}	17		BossPvpLogic.GetOpenID()		[202311060400]							{"FFC500","achievement.icon2"}
225	【精神拟境】击败任意一个boss一次	achievement.Name90_1	achievement.Describe90_3		2					{{{2,11512}},{{2,10406}}}		1	40	1			{{4,3,2,1,50}}	17		BossPvpLogic.GetOpenID()		[202311060400]							{"FFC500","achievement.icon2"}
226	【精神拟境】击败任意boss2次	achievement.Name90_2	achievement.Describe90_3		2					{{{2,11512}},{{2,10406}}}		1	40	2			{{4,3,2,1,50}}	17		BossPvpLogic.GetOpenID()		[202311060400]							{"FFC500","achievement.icon2"}
																													
10101	第一章额外奖励	achievement.Story01			5	1	1800101										{{4,3,2,1,100},{2,3,12,1,1},{5,1,1,3,3},{5,2,1,3,3}}												
10102	通关2.5-4	achievement.Name10	ui.TxtPrologueLevelTips		4	1						1	350	1	{1,{11424}}		{{2,1,10,1,1},{4,3,1,1,4000},{4,3,3,1,20}}	1	Dlc25Story		{11424,false,20}						{1}		
10103	通关2.5-6	achievement.Name10	ui.TxtPrologueLevelTips		4	1						1	350	1	{1,{11426}}		{{5,2,1,2,2},{4,3,1,1,4000},{4,3,3,1,20}}	1	Dlc25Story		{11426,false,20}						{1}		
10104	拥有任意1个7级角色	achievement.Name13	achievement.Describe13_7		4	1						1	30	1	{7}		{{5,1,1,2,2},{4,3,1,1,4000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10105	拥有任意1个7级武器	achievement.Name12	achievement.Describe12_7		4	1						1	31	1	{7}		{{5,2,1,2,2},{4,3,1,1,4000},{4,3,3,1,20}}	6	Bag								{1}		
10106	商店购买道具1次	achievement.Name16	achievement.Describe16		4	1						1	8	1			{{5,1,1,2,2},{4,3,1,1,4000},{4,3,3,1,20}}	7	Shop								{1}		
10107	进行一次好友申请	achievement.Name54	achievement.Describe54		4	1						1	93	1			{{5,2,1,2,2},{4,3,1,1,4000},{4,3,3,1,20}}	23	Friend		{3,true}						{1}		
																													
																													
10201	第二章额外奖励	achievement.Story12			5	2	1800101										{{4,3,2,1,100},{2,4,4,1,1},{5,4,2,1,6},{5,1,1,4,5}}												
10202	通关2.5-8	achievement.Name10	ui.TxtPrologueLevelTips		4	2						1	350	1	{1,{11428}}		{{5,1,1,3,2},{4,3,1,1,4000},{4,3,3,1,20}}	1	Dlc25Story		{11428,false,20}						{1}		
10203	拥有任意2个15级角色	achievement.Name13	achievement.Describe13_15		4	2						1	30	2	{15}		{{5,2,1,3,2},{4,3,1,1,4000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10204	拥有任意2个15级武器	achievement.Name12	achievement.Describe12_15		4	2						1	31	2	{15}		{{5,1,1,3,2},{4,3,1,1,4000},{4,3,3,1,20}}	6	Bag								{1}		
10205	通关以下任意常规行动1次：角色经验（百足之市）、武器经验（止战之人）、金币（富饶之壶）	achievement.Name8	achievement.Describe8_16		4	2						1	10	1	{221,222,223,224,225,226,231,232,233,234,235,236,211,212,213,214,215,216}		{{5,2,1,3,2},{4,3,1,1,4000},{4,3,3,1,20}}	13	DungeonsResourse								{1}		
10206	通关“实战训练”任意关卡1次	achievement.Name55	achievement.Describe55_1		4	2						1	91	1	{901,902,903,904,905,906,907}		{{5,1,1,3,2},{4,3,1,1,4000},{4,3,3,1,20}}	13	DungeonsResourse								{1}		
10207	分析员等级到达10级	achievement.Name2001	achievement.Describe2001		4	2						1	1	10			{{5,2,1,3,2},{4,3,1,1,4000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
10301	第三章额外奖励	achievement.Story02			5	3	1800102										{{4,3,2,1,100},{4,5,7,5,1},{5,4,2,1,6},{5,2,1,4,5}}												
10302	通关2.5-9	achievement.Name10	ui.TxtPrologueLevelTips		4	3						1	350	1	{1,{11429}}		{{5,1,1,3,4},{4,3,1,1,5000},{4,3,3,1,20}}	1	Dlc25Story		{11429,false,20}						{1}		
10303	拥有任意2个20级角色	achievement.Name13	achievement.Describe13_20		4	3						1	30	2	{20}		{{5,2,1,3,4},{4,3,1,1,5000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10304	拥有任意2个20级武器	achievement.Name12	achievement.Describe12_20		4	3						1	31	2	{20}		{{5,1,1,3,4},{4,3,1,1,5000},{4,3,3,1,20}}	6	Bag								{1}		
10305	【累计】进行任意1次天启操作	achievement.Name23	achievement.Describe23		4	3						1	47	1			{{5,2,1,3,4},{4,3,1,1,5000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10306	【累计】完成任意1个角色的行为-1	achievement.Name43	achievement.Describe42		4	3						1	67	1			{{5,1,1,3,4},{4,3,1,1,5000},{4,3,3,1,20}}	21		Role.GetOPenTime							{1}		
10307	【累计】进行1次联机活动	achievement.Name30	achievement.Describe30		4	3						1	52	1			{{5,2,1,3,4},{4,3,1,1,5000},{4,3,3,1,20}}	14	DungeonsOnline								{1}		
10308	宿舍入驻2名队员	achievement.Name88	achievement.Describe88		4	3						1	123	2			{{5,1,1,3,4},{4,3,1,1,5000},{4,3,3,1,20}}	48		HouseLogic.LoadHouse							{1}		
10309	分析员等级到达18级	achievement.Name2001	achievement.Describe2001		4	3						1	1	18			{{5,2,1,3,4},{4,3,1,1,5000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
10401	第四章额外奖励	achievement.Story13			5	4	1800102										{{4,3,2,1,100},{3,1,20,1,1},{3,2,20,1,1},{3,3,20,1,1}}												
10402	通关2.7-2	achievement.Name10	ui.TxtPrologueLevelTips		4	4						1	350	1	{1,{11502}}		{{5,1,1,3,5},{4,3,1,1,5000},{4,3,3,1,20}}	1	Dlc27Story		{21,11502}						{1}		
10403	通关2.7-4	achievement.Name10	ui.TxtPrologueLevelTips		4	4						1	350	1	{1,{11504}}		{{5,2,1,3,5},{4,3,1,1,5000},{4,3,3,1,20}}	1	Dlc27Story		{21,11504}						{1}		
10404	拥有任意3个25级角色	achievement.Name13	achievement.Describe13_25		4	4						1	30	3	{25}		{{5,3,1,3,8},{4,3,1,1,5000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10405	【累计】任意2次武器进行突破	achievement.Name37	achievement.Describe37		4	4						1	23	2			{{5,2,1,3,5},{4,3,1,1,5000},{4,3,3,1,20}}	6	Bag								{1}		
10406	【累计】任意升级2次神经	achievement.Name22	achievement.Describe22		4	4						1	50	2			{{5,2,1,3,5},{4,3,1,1,5000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10407	完成任意一次神经曜日本	achievement.Name8	achievement.Describe8_2_3		4	4						1	10	1	{261,262,263,264,265,266}		{{5,3,1,3,8},{4,3,1,1,5000},{4,3,3,1,20}}	13	DungeonsResourse								{1}		
10408	【累计】完成任意1次BOSS挑战	achievement.Name90	achievement.Describe90_3		4	4						1	48	1			{{5,3,1,3,8},{4,3,1,1,5000},{4,3,3,1,20}}	17		BossPvpLogic.GetOpenID()							{1}		
10409	分析员等级到达25级	achievement.Name2001	achievement.Describe2001		4	4						1	1	25			{{5,1,1,3,5},{4,3,1,1,5000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
10501	第五章额外奖励	achievement.Story03			5	5	1800103										{{4,3,2,1,100},{3,1,11,1,1},{3,2,11,1,1},{3,3,11,1,1}}												
10502	通关2.7-6	achievement.Name10	ui.TxtPrologueLevelTips		4	5						1	350	1	{1,{11506}}		{{5,1,1,3,8},{4,3,1,1,6000},{4,3,3,1,20}}	1	Dlc27Story		{21,11506}						{1}		
10503	通关2.7-8	achievement.Name10	ui.TxtPrologueLevelTips		4	5						1	350	1	{1,{11508}}		{{6,1,3,1,1},{5,2,1,3,8},{4,3,1,1,6000},{4,3,3,1,20}}	1	Dlc27Story		{21,11508}						{1}		
10504	拥有任意3个30级角色	achievement.Name13	achievement.Describe13_30		4	5						1	30	3	{30}		{{5,1,1,3,8},{4,3,1,1,6000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10505	拥有任意3个30级武器	achievement.Name12	achievement.Describe12_30		4	5						1	31	3	{30}		{{6,2,3,1,1},{5,2,1,3,8},{4,3,1,1,6000},{4,3,3,1,20}}	6	Bag								{1}		
10506	拥有1个神格同调·2阶角色	achievement.Name49	achievement.Describe49_1		4	5						1	72	1	{1}		{{5,1,1,3,8},{4,3,1,1,6000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10507	拥有3个养成+3的后勤	achievement.Name14	achievement.Describe14_10		4	5						1	46	3	{3}		{{5,3,1,3,12},{4,3,1,1,6000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
10508	地下清理通关2段	achievement.Name25	achievement.Describe25_2		4	5						1	130	1	{2}		{{5,3,1,3,12},{4,3,1,1,6000},{4,3,3,1,20}}	16		ClimbTowerLogic.CheckCycleLevel							{1}		
10509	分析员等级到达30级	achievement.Name2001	achievement.Describe2001		4	5						1	1	30			{{6,5,3,1,1},{5,1,1,3,8},{4,3,1,1,6000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
10601	第六章额外奖励	achievement.Story04			5	6	1800104										{{4,3,2,1,100},{5,9,1,3,3},{5,3,1,4,10},{5,4,2,1,12}}												
10602	通关2.8-2	achievement.Name10	ui.TxtPrologueLevelTips		4	6						1	350	1	{1,{11512}}		{{5,1,1,4,3},{4,3,1,1,6000},{4,3,3,1,20}}	1	Dlc28Story		{22,11512}						{1}		
10603	通关2.8-4	achievement.Name10	ui.TxtPrologueLevelTips		4	6						1	350	1	{1,{11514}}		{{6,1,2,1,1},{5,2,1,4,3},{4,3,1,1,6000},{4,3,3,1,20}}	1	Dlc28Story		{22,11514}						{1}		
10604	拥有任意3个40级角色	achievement.Name13	achievement.Describe13_40		4	6						1	30	3	{40}		{{5,1,1,4,3},{4,3,1,1,6000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10605	拥有任意3个40级武器	achievement.Name12	achievement.Describe12_40		4	6						1	31	3	{40}		{{6,2,2,1,1},{5,2,1,4,3},{4,3,1,1,6000},{4,3,3,1,20}}	6	Bag								{1}		
10606	拥有3个神格同调·2阶角色	achievement.Name49	achievement.Describe49_1		4	6						1	72	3	{1}		{{5,1,1,4,3},{4,3,1,1,6000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10607	拥有3个养成+6的后勤	achievement.Name14	achievement.Describe14_30		4	6						1	46	3	{6}		{{5,3,1,4,5},{4,3,1,1,6000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
10608	地下清理通关4段	achievement.Name25	achievement.Describe25_4		4	6						1	130	1	{4}		{{6,4,2,1,1},{5,3,1,4,5},{4,3,1,1,6000},{4,3,3,1,20}}	16		ClimbTowerLogic.CheckCycleLevel							{1}		
10609	通关战术考核任意关卡一次	achievement.Name51	achievement.Describe51_0		4	6						1	74	1	{-1,-1}		{{5,2,1,4,3},{4,3,1,1,6000},{4,3,3,1,20}}	28		TowerEvent.CheckOpenAct()							{1}		
10610	分析员等级到达40级	achievement.Name2001	achievement.Describe2001		4	6						1	1	40			{{6,5,2,1,1},{5,1,1,4,3},{4,3,1,1,6000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
10701	第七章额外奖励	achievement.Story05			5	7	1800105										{{4,3,2,1,100},{5,5,1,4,3},{5,9,1,3,3},{5,4,2,1,12}}												
10702	通关2.8-6	achievement.Name10	ui.TxtPrologueLevelTips		4	7						1	350	1	{1,{11516}}		{{6,1,13,1,1},{5,1,1,4,4},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc28Story		{22,11516}						{1}		
10703	通关2.8-8	achievement.Name10	ui.TxtPrologueLevelTips		4	7						1	350	1	{1,{11518}}		{{5,2,1,4,4},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc28Story		{22,11518}						{1}		
10704	拥有任意3个50级角色	achievement.Name13	achievement.Describe13_50		4	7						1	30	3	{50}		{{6,2,13,1,1},{5,1,1,4,4},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10705	拥有任意3个50级武器	achievement.Name12	achievement.Describe12_50		4	7						1	31	3	{50}		{{5,2,1,4,4},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
10706	拥有1个神格同调·3阶角色	achievement.Name49	achievement.Describe49_2		4	7						1	72	1	{2}		{{5,1,1,4,4},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10707	拥有3个养成+9的后勤	achievement.Name14	achievement.Describe14_60		4	7						1	46	3	{9}		{{6,4,13,1,1},{5,3,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
10708	装配武器配件15个	achievement.Name52	achievement.Describe52		4	7						1	75	15			{{5,2,1,4,4},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
10709	地下清理通关7段	achievement.Name25	achievement.Describe25_7		4	7						1	130	1	{7}		{{5,3,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	16		ClimbTowerLogic.CheckCycleLevel							{1}		
10710	分析员等级到达50级	achievement.Name2001	achievement.Describe2001		4	7						1	1	50			{{6,5,13,1,1},{5,1,1,4,4},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
10801	第八章额外奖励	achievement.Story06			5	8	1800106										{{4,3,2,1,100},{5,5,1,4,1},{5,9,1,3,1},{5,4,2,1,12}}												
10802	通关3.0-1	achievement.Name10	ui.TxtPrologueLevelTips		4	8						1	350	1	{1,{11531}}		{{6,1,7,1,1},{5,1,1,4,5},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc30Story		{23,11531}						{1}		
10803	通关3.0-3	achievement.Name10	ui.TxtPrologueLevelTips		4	8						1	350	1	{1,{11533}}		{{5,2,1,4,5},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc30Story		{23,11533}						{1}		
10804	拥有任意3个55级角色	achievement.Name13	achievement.Describe13_55		4	8						1	30	3	{55}		{{5,1,1,4,5},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10805	拥有任意3个55级武器	achievement.Name12	achievement.Describe12_55		4	8						1	31	3	{55}		{{6,2,7,1,1},{5,2,1,4,5},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
10806	拥有3个神格同调·3阶角色	achievement.Name49	achievement.Describe49_2		4	8						1	72	3	{2}		{{5,1,1,4,5},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10807	拥有6个养成+9的后勤	achievement.Name14	achievement.Describe14_60		4	8						1	46	6	{9}		{{5,3,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
10808	累计进行10次天启	achievement.Name23	achievement.Describe23		4	8						1	47	10			{{6,4,7,1,1},{5,2,1,4,5},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10809	完成精神拟境2难度 1次	achievement.Name26	achievement.Describe26_2		4	8						1	48	1	{2}		{{5,3,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	17		BossPvpLogic.GetOpenID()							{1}		
10810	分析员等级到达55级	achievement.Name2001	achievement.Describe2001		4	8						1	1	55			{{6,5,7,1,1},{5,1,1,4,5},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
10901	第九章额外奖励	achievement.Story07			5	9	1800107										{{4,3,2,1,100},{5,5,1,4,1},{5,9,1,3,1},{5,4,2,1,12}}												
10902	通关3.0-4	achievement.Name10	ui.TxtPrologueLevelTips		4	9						1	350	1	{1,{11534}}		{{6,1,8,1,1},{5,1,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc30Story		{23,11534}						{1}		
10903	通关3.0-6	achievement.Name10	ui.TxtPrologueLevelTips		4	9						1	350	1	{1,{11536}}		{{5,2,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc30Story		{23,11536}						{1}		
10904	拥有任意3个60级角色	achievement.Name13	achievement.Describe13_60		4	9						1	30	3	{60}		{{5,1,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10905	拥有任意3个60级武器	achievement.Name12	achievement.Describe12_60		4	9						1	31	3	{60}		{{6,5,8,1,1},{5,2,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag								{1}		
10906	拥有4个神格同调·3阶角色	achievement.Name49	achievement.Describe49_2		4	9						1	72	4	{2}		{{5,1,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
10907	拥有6个养成+12的后勤	achievement.Name14	achievement.Describe14_75		4	9						1	46	6	{12}		{{5,3,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	6	Bag		{2}						{1}		
10908	宿舍2名队员信赖度达到10级	achievement.Name68	achievement.Describe68_8		4	9						1	121	2	{10}		{{6,2,8,1,1},{5,2,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	48		HouseLogic.LoadHouse							{1}		
10909	通关战术考核章节6	achievement.Name51	achievement.Describe51_6		4	9						1	74	1	{6,6060}		{{5,3,1,4,8},{4,3,1,1,8000},{4,3,3,1,20}}	28		TowerEvent.CheckOpenAct()							{1}		
10910	分析员等级到达60级	achievement.Name2001	achievement.Describe2001		4	9						1	1	60			{{5,1,1,4,6},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dungeons								{1}		
																													
																													
11001	第十章额外奖励	achievement.Story08			5	10	1800108										{{4,3,2,1,100},{5,5,1,4,1},{5,9,1,3,1},{5,4,2,1,12}}												
11002	通关3.0-8	achievement.Name10	ui.TxtPrologueLevelTips		4	10						1	350	1	{1,{11538}}		{{6,1,4,1,1},{5,1,1,4,7},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc30Story		{23,11538}						{1}		
11003	通关3.0-9	achievement.Name10	ui.TxtPrologueLevelTips		4	10						1	350	1	{1,{11539}}		{{5,2,1,4,7},{4,3,1,1,8000},{4,3,3,1,20}}	1	Dlc30Story		{23,11539}						{1}		
11004	拥有任意5个60级角色	achievement.Name13	achievement.Describe13_60		4	10						1	30	5	{60}		{{5,1,1,4,7},{4,3,1,1,8000},{4,3,3,1,20}}	2	Role		{1}						{1}		
