基础流程关卡ID	备注	默认少女	图标ID	名称Key	描述Key	解锁条件	难度	探险等级	敌人强度倍率	怪物列表	回合数量	流派ID	附加buffID	初始棋子ID	初始宝物ID	星级目标ID（{{id,{配置数值1,配置数值2}},{id,{	奖励ID	初始道具({道具id,数量})
5	A5-凛雪斗场	11	4104008	dreamcard.level_name05	dreamcard.level_desc05	{4}	1	3	1	{{15,1},{15,1},{15,1},{15,3}}	{6,6,6,7}	{8,1}	{}	{2,109,109,110,110,113,115}	{121}	{{2,{1}},{3,{3}},{12,{40}}}	8	{{101,1},{102,1},{103,20},{104,10},{105,20}}
5	A5	11	4104008	dreamcard.level_name05	dreamcard.level_desc05	{4}	2	5	1	{{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,7,7}	{8,1,4,5}	{}	{6,6,62,62,51,118,113,117}	{122,12}	{{3,{4}},{6,{8,50000}},{12,{50}}}	9	{{101,1},{102,1},{103,20},{104,10},{105,20}}
5	A5	11	4104008	dreamcard.level_name05	dreamcard.level_desc05	{4}	3	6	1.2	{{15,1},{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,6,7,7}	{8,1,4,5,11}	{}	{6,156,62,62,51,118,113,154}	{122}	{{1,{}},{3,{4}},{6,{8,70000}}}	40	{{101,1},{102,1},{103,20},{104,10},{105,20}}
6	A6-指尖挑战	7	4104003	dreamcard.level_name06	dreamcard.level_desc06	{2}	1	2	1.5	{{12,1},{12,1},{12,3}}	{6,6,7}	{3,1}	{}	{2,36,42,44,35}	{12}	{{2,{1}},{4,{3000}},{3,{2}}}	10	{{101,1},{102,1},{103,10},{104,5},{105,10}}
6	A6	7	4104003	dreamcard.level_name06	dreamcard.level_desc06	{2}	2	4	1.2	{{13,1},{13,1},{13,2},{13,3}}	{6,6,6,7}	{3,1,2}	{}	{43,34,34,35,35,36,80,83}	{10}	{{3,{3}},{7,{1000}},{6,{3,30000}}}	11	{{101,1},{102,1},{103,20},{104,10},{105,20}}
6	A6	7	4104003	dreamcard.level_name06	dreamcard.level_desc06	{2}	3	5	1.4	{{13,1},{13,1},{13,1},{13,2},{13,3}}	{6,6,6,6,7}	{3,1,2,6}	{}	{43,34,34,35,78,36,80,77,77}	{11}	{{3,{4}},{7,{1200}},{6,{3,50000}}}	36	{{101,1},{102,1},{103,20},{104,10},{105,20}}
7	A7-独家演出	1	4104002	dreamcard.level_name07	dreamcard.level_desc07	{6}	1	2	1	{{14,1},{14,1},{14,1},{14,3}}	{6,6,6,7}	{2,1}	{}	{1,19,19,19,22,23,26,21}	{33}	{{2,{1}},{4,{5000}},{13,{2,24}}}	12	{{101,1},{102,1},{103,20},{104,10},{105,20}}
7	A7	1	4104002	dreamcard.level_name07	dreamcard.level_desc07	{6}	2	4	1.4	{{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,7,7}	{2,1,7}	{}	{1,2,21,24,26,30,19,19}	{12,13}	{{3,{4}},{6,{2,40000}},{13,{2,27}}}	13	{{101,1},{102,1},{103,20},{104,10},{105,20}}
7	A7	1	4104002	dreamcard.level_name07	dreamcard.level_desc07	{6}	3	5	1.6	{{14,1},{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,6,7,7}	{2,1,7,10}	{}	{1,2,21,24,26,30,139,19,141}	{12,9}	{{2,{2}},{6,{2,60000}},{13,{3,27}}}	30	{{101,1},{102,1},{103,20},{104,10},{105,20}}
8	A8-幽怡采风	8	4104007	dreamcard.level_name08	dreamcard.level_desc08	{7}	1	3	1	{{15,1},{15,1},{15,1},{15,3}}	{6,6,6,7}	{7,1}	{}	{1,2,94,96,92,92,97,93}	{106}	{{2,{1}},{3,{3}},{7,{2000}}}	14	{{101,1},{102,1},{103,20},{104,10},{105,20}}
8	A8	8	4104007	dreamcard.level_name08	dreamcard.level_desc08	{7}	2	5	1	{{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,7,7}	{7,1,2,3}	{}	{1,104,92,92,94,102,100}	{108,12}	{{3,{4}},{6,{7,50000}},{13,{15,93}}}	15	{{101,1},{102,1},{103,20},{104,10},{105,20}}
8	A8	8	4104007	dreamcard.level_name08	dreamcard.level_desc08	{7}	3	6	1.2	{{15,1},{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,6,7,7}	{7,1,2,3,14}	{}	{1,104,92,92,94,195,100,199}	{106}	{{2,{2}},{6,{7,60000}},{13,{15,93}}}	37	{{101,1},{102,1},{103,20},{104,10},{105,20}}
9	A9-柔情烘焙	13	4104006	dreamcard.level_name09	dreamcard.level_desc09	{6,8}	1	2	1	{{14,1},{14,1},{14,1},{14,3}}	{6,6,6,7}	{6,1}	{}	{1,2,77,77,77,79,80,81,84}	{13}	{{2,{1}},{4,{5000}},{7,{2000}}}	16	{{101,1},{102,1},{103,20},{104,10},{105,20}}
9	A9	13	4104006	dreamcard.level_name09	dreamcard.level_desc09	{6,8}	2	4	1.4	{{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,7,7}	{6,1,9}	{}	{1,2,8,85,77,77,80,80}	{88,90}	{{3,{4}},{6,{6,40000}},{13,{2,79}}}	17	{{101,1},{102,1},{103,20},{104,10},{105,20}}
9	A9	13	4104006	dreamcard.level_name09	dreamcard.level_desc09	{6,8}	3	5	1.6	{{14,1},{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,6,7,7}	{6,1,9,13}	{}	{1,2,8,85,77,181,80,185}	{90}	{{2,{2}},{6,{6,50000}},{13,{4,79}}}	42	{{101,1},{102,1},{103,20},{104,10},{105,20}}
10	A10-占卜问愿	12	4104009	dreamcard.level_name10	dreamcard.level_desc10	{9}	1	3	1	{{15,1},{15,1},{15,1},{15,3}}	{6,6,6,7}	{9,1}	{}	{1,133,124,123,123,123,125,135}	{136,9}	{{2,{1}},{3,{3}},{11,{1,4}}}	18	{{101,1},{102,1},{103,20},{104,10},{105,20}}
10	A10	12	4104009	dreamcard.level_name10	dreamcard.level_desc10	{9}	2	5	1	{{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,7,7}	{9,1,3,6}	{}	{126,133,131,128,123,123,8,44}	{138,12}	{{3,{4}},{6,{9,50000}},{14,{4,127}}}	19	{{101,1},{102,1},{103,20},{104,10},{105,20}}
10	A10	12	4104009	dreamcard.level_name10	dreamcard.level_desc10	{9}	3	6	1.2	{{15,1},{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,6,7,7}	{9,1,3,6,14}	{}	{126,133,195,128,123,123,8,44,200}	{138,9}	{{6,{9,60000}},{11,{1,4}},{14,{5,127}}}	41	{{101,1},{102,1},{103,20},{104,10},{105,20}}
11	B1-小老师	2	4104010	dreamcard.level_name11	dreamcard.level_desc11	{12}	1	2	1.5	{{12,1},{12,1},{12,3}}	{6,6,6,7}	{10,1}	{}	{2,139,139,140,142,141}	{208}	{{2,{2}},{3,{3}},{4,{1000}}}	20	{{101,1},{102,1},{103,20},{104,10},{105,20}}
11	B1	2	4104010	dreamcard.level_name11	dreamcard.level_desc11	{12}	2	4	1.2	{{13,1},{13,1},{13,2},{13,3}}	{6,6,6,7,7}	{10,1,4}	{}	{145,145,150,153,139,1,51}	{209}	{{10,{1,4}},{6,{10,50000}},{3,{4}}}	21	{{101,1},{102,1},{103,20},{104,10},{105,20}}
11	B1	2	4104010	dreamcard.level_name11	dreamcard.level_desc11	{12}	3	5	1.2	{{15,1},{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,6,7,7}	{10,1,4,8}	{}	{145,109,153,139,51,110}	{208}	{{10,{2,4}},{6,{10,80000}},{4,{3000}}}	31	{{101,1},{102,1},{103,20},{104,10},{105,20}}
12	B2-苔丝	3	4104011	dreamcard.level_name12	dreamcard.level_desc12	{5}	1	2	1	{{14,1},{14,1},{14,1},{14,3}}	{6,6,6,7}	{11,1}	{}	{1,154,156,155,160,154}	{211}	{{2,{2}},{3,{3}},{4,{1500}}}	22	{{101,1},{102,1},{103,20},{104,10},{105,20}}
12	B2	3	4104011	dreamcard.level_name12	dreamcard.level_desc12	{5}	2	4	1.4	{{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,7,7}	{11,1,8}	{}	{1,2,163,164,160,161,109,109}	{210}	{{1,{}},{6,{11,40000}},{3,{4}}}	23	{{101,1},{102,1},{103,20},{104,10},{105,20}}
12	B2	3	4104011	dreamcard.level_name12	dreamcard.level_desc12	{5}	3	5	1.6	{{14,1},{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,6,7,7}	{11,1,8,10}	{}	{163,160,161,139,109,146}	{211}	{{1,{}},{6,{11,80000}},{4,{3000}}}	32	{{101,1},{102,1},{103,20},{104,10},{105,20}}
13	B3-克罗	4	4104012	dreamcard.level_name13	dreamcard.level_desc13	{4}	1	3	1	{{15,1},{15,1},{15,1},{15,3}}	{6,6,6,7}	{12,1}	{}	{1,2,169,174,175,171}	{212}	{{2,{2}},{3,{3}},{4,{1500}}}	24	{{101,1},{102,1},{103,20},{104,10},{105,20}}
13	B3	4	4104012	dreamcard.level_name13	dreamcard.level_desc13	{4}	2	4	1	{{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,7,7}	{12,1,5}	{}	{1,177,178,179,180,4,62,62}	{213,214}	{{1,{}},{6,{12,40000}},{3,{4}}}	25	{{101,1},{102,1},{103,20},{104,10},{105,20}}
13	B3	4	4104012	dreamcard.level_name13	dreamcard.level_desc13	{4}	3	5	1.2	{{15,1},{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,6,7,7}	{12,1,5,4}	{}	{1,177,178,179,180,4,62,50,53}	{213,10}	{{1,{}},{6,{12,60000}},{4,{3000}}}	33	{{101,1},{102,1},{103,20},{104,10},{105,20}}
14	B4-瑟瑞斯	6	4104014	dreamcard.level_name14	dreamcard.level_desc14	{9}	1	3	1	{{15,1},{15,1},{15,1},{15,3}}	{6,6,6,7}	{14,1}	{}	{1,195,196,199,197,198,204,6}	{218}	{{2,{2}},{3,{3}},{4,{1500}}}	28	{{101,1},{102,1},{103,20},{104,10},{105,20}}
14	B4	6	4104014	dreamcard.level_name14	dreamcard.level_desc14	{9}	2	4	1	{{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,7,7}	{14,1,3}	{}	{1,205,206,207,201,36,38,40}	{219}	{{1,{}},{6,{14,40000}},{3,{4}}}	29	{{101,1},{102,1},{103,20},{104,10},{105,20}}
14	B4	6	4104014	dreamcard.level_name14	dreamcard.level_desc14	{9}	3	5	1.2	{{15,1},{15,1},{15,1},{15,1},{15,2},{15,3}}	{6,6,6,6,7,7}	{14,1,3,13}	{}	{1,185,186,206,207,201,36,38,40}	{218,11}	{{1,{}},{6,{14,60000}},{4,{3000}}}	35	{{101,1},{102,1},{103,20},{104,10},{105,20}}
15	B5-猫汐尔	5	4104013	dreamcard.level_name15	dreamcard.level_desc15	{14}	1	2	1	{{14,1},{14,1},{14,1},{14,3}}	{6,6,6,7}	{13,1}	{}	{1,181,181,184,186,183,184,187}	{215}	{{2,{2}},{3,{3}},{4,{1000}}}	26	{{101,1},{102,1},{103,20},{104,10},{105,20}}
15	B5	5	4104013	dreamcard.level_name15	dreamcard.level_desc15	{14}	2	4	1.4	{{14,1},{14,1},{14,1},{14,2},{14,3}}	{6,6,6,7,7}	{13,1,6}	{}	{1,2,8,187,190,191,190,77,77}	{216}	{{10,{1,4}},{6,{13,50000}},{3,{4}}}	27	{{101,1},{102,1},{103,20},{104,10},{105,20}}
15	B5	5	4104013	dreamcard.level_name15	dreamcard.level_desc15	{14}	3	5	1.6	{{14,1},{14,1},{14,1},{14,2},{14,2},{14,3}}	{6,6,6,6,7,7}	{13,1,6,3}	{}	{1,2,8,187,190,191,34,34,37}	{215,9}	{{10,{3,4}},{6,{13,60000}},{4,{2000}}}	34	{{101,1},{102,1},{103,20},{104,10},{105,20}}
