效果类型	备注	参数说明
64	X回合后，转变为对应ID棋子，产出+Y	{回合数,棋子ID,能量数值}
65	X回合后，转变为对应ID棋子,且转变时收益提升Y%，且转化后棋子继承当前棋子的漫溯能量	{回合数,棋子ID,提升数值}
66	对应ID的棋子额外获得X回合	{{棋子ID,棋子ID},回合数}
67	每X回合，对应ID的棋子和棋盘上的所有棋子视为相邻	{回合数,棋子ID}
68	每拥有1个棋子，自身产出+X	{能量数值}
69	位于棋盘角落时，自身获得X能量	{能量数值}
70	消除棋盘上的所有对应标签的棋子后消除自身	{标签ID}
71	棋盘上的对应标签ID的棋子被消除时，使棋盘上所有对应标签的棋子产出+X	{{标签ID,标签ID},标签ID,能量数值}
72	X回合后消除自身,并使棋盘上的对应标签的棋子收益提升至Y%	{回合数,标签ID,提升数值}
73	被消除后，获得X个对应ID的棋子，且棋盘上的对应标签的棋子产出+Y	{个数,棋子ID,标签ID,能量数值}
74	对应标签的棋子被消除时的收益提升X%	{标签ID,提升数值}
75	若背包中没有对应标签的棋子，获得X个对应ID的棋子	{标签ID,个数,棋子ID}
76	消除相邻的对应ID棋子，每消除X个，自身产出+Y	{{棋子ID,棋子ID},个数,能量数值}
77	和自身相连的对应标签的棋子收益提升X%	{标签ID,提升数值}
78	多个对应ID的棋子的效果可以叠加	{棋子ID}
79	消除相邻的对应ID棋子，每消除X个，自身获得Y能量	{{棋子ID,棋子ID},个数,能量数值}
80	每减少X回合，自身获得Y能量	{回合数,能量数值}
81	每减少X回合，自身产出+Y	{回合数,能量数值}
82	棋盘上没有对应ID的棋子时，获得X个对应ID的棋子	{棋子ID,个数,棋子ID}
83	每拥有1个棋子，自身获得X能量	{能量数值}
84	每拥有1个对应ID的棋子，自身获得X能量	{棋子ID,能量数值}
85	每拥有1个宝物，自身获得X能量	{能量数值}
86	棋盘上的对应ID棋子产出+X	{棋子ID,能量数值}
87	和对应ID的棋子相邻时消除自身，并使对应ID棋子的回合数+X	{棋子ID,棋子ID,回合数}
88	相邻的X个棋子产出+Y	{个数,能量数值}
89	和对应ID棋子相邻时，自身获得X能量	{棋子ID,能量数值}
90	和对应ID棋子不相邻时，获得X个对应ID棋子	{棋子ID,个数,棋子ID}
91	相邻对应ID棋子的转变几率变为X%	{棋子ID,概率}
92	每有X个棋子被消除,自身额外获得Y%收益	{个数,能量数值}
93	棋盘上每存在X个对应标签或者对应ID的棋子，对应ID的棋子额外获得Y%收益	{个数,标签ID,棋子ID,棋子ID,能量数值}
94	若棋盘上每有另外1个对应ID的棋子，自身获得X能量（最多Y能量）	{棋子ID,能量数值,能量数值}
95	消除相邻的对应ID棋子，每消除X个，使场上随机Y个对应ID棋子产出+Z	{棋子ID,个数,个数,棋子ID,能量数值}
96	棋子被转变为对应ID的棋子时，产出翻倍	{棋子ID}
97	X回合后消除自身，并使相邻的Y个随机棋子产出+Z	{回合数,个数,能量数值}
98	X回合后消除自身，并有Y%概率获得Z能量	{回合数,概率,能量数值}
99	对应效果ID触发时可以获得X个对应ID的棋子	{效果ID,个数,棋子ID}
100	消除相邻的低于X星的棋子	{星级}
101	每X回合在所有空棋格上放置对应ID的棋子，并复制自身的产出	{回合数,棋子ID}
102		
103	棋盘上每存在1个对应ID的棋子，自身收益提升X%	{{棋子ID,棋子ID},提升数值}
104	X回合后消除自身，并获得Y能量，棋盘上的对应ID的棋子回合数减少Z	{回合数,能量数值,{棋子ID,棋子ID},回合数}
105	使相邻的对应ID的棋子回合数减半后消除自身	{棋子ID}
106	棋盘上的对应ID的棋子回合数减X	{{棋子ID,棋子ID},回合数}
107	棋盘上的对应ID的棋子产出+X	{{棋子ID,棋子ID},能量数值}
108	相邻的对应ID棋子产出+X	{{棋子ID,棋子ID},能量数值}
109	重置相邻的对应ID棋子的回合数	{棋子ID}
110	收集X个对应ID的棋子后消除自身，并获得Y能量	{个数,棋子ID,能量数值}
111	每消除1个对应ID的棋子，自身产出+X	{棋子ID,能量数值}
112	每X回合，使棋盘上的随机Y个对应ID的棋子进度+Z	{回合数,个数,棋子ID,数值}
113	X回合后，自身色彩+1（色彩最多为X）	{回合数,数值}
114	每增加1种颜色，自身产出+X	{能量数值}
115	棋盘上以及背包中的对应ID的棋子产出+X	{{棋子ID,棋子ID,棋子ID},能量数值}
116	每击败敌人后，获得X个对应ID的棋子	{个数,棋子ID}
117	每X回合棋盘上的对应流派的棋子收提升为Y%	{回合数,流派ID,提升数值}
118	对应ID的棋子所需回合数减半	{棋子ID}
119	对应ID的棋子色彩为X时收益提升X%	{棋子ID,数值,提升数值}
120	对应ID的棋子转变为对应ID的棋子时，额外获得X个对应ID的棋子	{棋子ID,棋子ID,个数,棋子ID}
121	将相邻的其他非流派的棋子转变为对应ID的棋子	{流派ID,棋子ID}
122	每拥有1棋子，相邻的棋子额外获得X%收益加成，最大计算Y个棋子	{提升数值，最大数量}
123	升级探梦等级至X级后，获得Y个对应ID的道具	{等级,个数,道具ID}
124	对应ID的棋子额外获得X回合，后续获取的棋子也会生效	{{棋子ID,棋子ID},回合数}
125	消除X个相邻的对应ID棋子或者对应ID棋子，自身产出+Y，可分别触发Z次	{个数,棋子ID,棋子ID,能量数值,次数}
126	相邻的对应ID棋子收益提升X%	{{棋子ID,棋子ID},提升数值}
127	棋盘上的对应ID棋子收益提升X%	{{棋子ID,棋子ID},提升数值}
128	棋盘上每存在X个对应标签或者对应ID的棋子，自身额外获得Y%收益	{个数,标签ID,棋子ID,能量数值}
129	使场上随机X个对应标签的棋子产出+Y	{棋子数量，标签ID，提升数值}
130	被转变后，获得生成过的所有能量	{}
131	棋子被转变为对应ID的棋子时，漫溯能量产出提升X%（多个生效时走加法计算）	{棋子ID,提升数值}
132	充能后，获得X能量	{能量数值}
133	消除相邻的对应ID棋子，每消除1个，为X格范围内的格子充能Y回合	{棋子ID，充能范围，充能回合}
134	充能后，为X格范围内的格子充能	{充能范围}
135	为X格范围内的格子充能，消除自身	{充能范围}
136	充能后，相邻的ID为X的棋子获得产出Y	{棋子ID，产出数值}
137	将最多X个ID为Y的棋子转化为ID为Z的棋子，而后消除自身	{转化数量，转化目标，转化后棋子}
138	充能后，获得X次选棋,然后消除自身	{选棋次数}
139	消除自身，并消除周围所有棋子，获得其能量总和*X的能量	{能量倍率}
140	每拥有1个对应ID的棋子，自身获得*X能量	{棋子ID，能量倍率}
141	每回合为周围充能	{}
142	消除相邻的对应ID棋子，而后消除自身	{棋子ID}
143	X回合后消除自身，并获得Y次选棋	{回合数，选棋次数}
144	使得ID为X的棋子对其他棋子的增益提升Z，而后消除自身	{棋子ID1，增益提升数值}
145	获得X个ID为Y1Y2Y3...的不高于当前探梦等级的棋子（从中随机），然后消除自身	{棋子数量，{棋子ID1，棋子ID2...}}
146	每Y个回合，获得X个ID为Y1Y2Y3...的不高于当前探梦等级的棋子（从中随机）	{回合数，棋子数量，{棋子ID1，棋子ID2...}}
147	每回合施加X层毒，Y回合后消除自身	{毒层数，消除自身回合数}
148	升级探梦等级后，获得X能量并消除自身	{获得能量}
149	若怪物至少有X层毒，获得Y能量并消除自身	{毒层数，获得能量}
150	每X回合，获得Y个ID为Z1Z2Z3...(从中随机)的棋子	{回合数，获得棋子数，{棋子ID1，棋子ID2...}}
151	敌人每有1层毒，获得X点能量	{获得能量数}
152	使得当前毒层数提升为X，本回合额外触发Y次毒效果，消除自身	{毒提升数值，额外触发次数}
153	敌人每有X层毒，本棋子基础能量+Y（最多增加Z）	{毒层数，能量增加，能量上限}
154	每个怪物最后X回合，将毒层数提升至当前层数*Y	{回合数，毒提升数}
155	消除X个上场ID为X的棋子中产出最低的一个（如果有多个一样低的，按左右上下顺序），然后消除自身	{数量，棋子ID}
156	不可删除	{}
157	拾取：获得X个ID为Y的棋子	{数量，棋子ID}
158	每回合有X的概率获得Y能量，触发该效果后有Z的概率消除自身	{触发概率，能量，消除概率}
159	距离Z以内（最低为1）的ID为X的棋子额外获得Y的触发概率（暂时效果），多个该效果可叠加，触发后有A概率消除自身	{距离，{棋子ID1，棋子ID2...}，额外概率，消除概率}
160	每回合有X的概率产出增加Y	{触发概率，产出增加数值}
161	删除该棋子后，获得X次删除的机会	{次数}
162	拾取:获得X能量	{能量数值}
163	消除棋盘上所有星级为X的棋子，获得其产出*Y的收益，然后消除自身	{{星级1，星级2}，收益倍率}
164	消除X个ID为Y的棋子，获得Z个随机星级为A的棋子，并消除自身	{消除数量，消除棋子ID，获得棋子数量，获得棋子星级}
165	消除同排非本流派棋子，产出增加被消除的棋子的产出*X	{吸收倍率}
166	棋子能量每X回合*Y	{回合数，倍率}
167	消除同列非本流派棋子，产出增加被消除的棋子的产出*X	{吸收倍率}
168	场上有棋子因流派ID为X的棋子被消除后，获得Y能量，并有Z的概率消除自身	{流派ID，获得能量，消除概率}
169	没消除1个棋子，获得X能量	{获得能量}
170	单个棋子一次性消除X个或以上棋子时，获得Y能量，并有Z的概率消除自身	{消除数量，获得能量，消除概率}
171	场上每有1个空格，获得X能量	{获得能量}
172	每回合随机获得X个星级为Y的棋子(不高于当前等级)，Z回合后消除自身。(随机时，不会随机到流派ID为A的棋子，也不会随机到ID为B的棋子)	{消除回合，数量，{星级1，星级2...}，{剔除的流派ID1，ID2...},{剔除的棋子ID1，ID2...}}
173	ID为X的棋子的供能范围增加到全场	{棋子ID1，棋子ID2...}
174	将ID为X的棋子转化为ID为Y的棋子	{{转化前棋子ID1，转化前棋子ID2...}，转化后棋子ID}
175	场上ID为X的棋子，产出提升Y	{{棋子ID1，棋子ID2...}，提升比例}
176	场上ID为X的棋子，影响范围+Y格	{{棋子ID1，棋子ID2...}，范围增加}
177	ID为X的棋子触发获得棋子的效果时，可以额外获得Y个，效果可叠加	{{棋子ID1，棋子ID2...}，额外数量}
178	有棋子施加毒时，额外施加X层	{额外层数}
179	毒的*X会传递给下一个怪物	{传递比例}
180	场上ID为X的棋子，触发概率额外+Y	{{棋子ID1，棋子ID2...}，额外概率}
181	抵挡1次扣血，并获得X能量，触发Y次后损坏	{获得能量，损坏次数}
182	场上存在某一行/列棋子数量少于X时，获得Y能量	{棋子数量，获得能量}
183	一次前进消除至少X个棋子时，获得Y个星级为Z的随机棋子	{消除回合，数量，{星级1，星级2...}，{剔除的流派ID1，ID2...},{剔除的棋子ID1，ID2...}}
184	被消除后，获得X个不高于当前探梦等级的对应ID的棋子	{数量，{棋子ID1，棋子ID2...}}
185	棋盘上的对应ID的棋子回合数上限永久减X	{{棋子ID,棋子ID},回合数}
186	将自身的额外产出转移给ID为X的相邻棋子	{棋子ID}
187	局内每消除一个棋子X，提升Y能量，最多提升Z能量	{{棋子ID1，棋子ID2...}，单个提升能量，提升上限}
1001	获得失去能量的X%能量	{倍率}
1002	获得X次选棋，Y能量	{次数,能量数值}
1003	获得X能量，Y次额外的转动机会	{能量数值,次数}
1004	获得X个对应ID的棋子	{数量,棋子ID}
1005	获得X能量，获得1次3星选棋	{能量数值}
1006	选择一个棋盘上的棋子，固定它在棋盘上的位置	
1007	选择1个棋盘上的棋子，使它必定出现在棋盘上	
1008	选择一个棋盘上的棋子，获得1个它的复制棋子	
