id	//备注	//备注2	类型	//启用备注	skillid	fixid	modifierid	名称	描述	各等级描述中的数值	图标	等级上限	品质	满级后转化为货币
47		生命每降低1%，则造成的伤害提升1%	3		{3810167}			buff_online.buff_1330_name	buff_online.buff_1330_dec	{{1,1},{1,1.5},{1,2}}	1001000	3	5	{59,80}
48		换弹后，你的下4发子弹伤害提高50%	1	1	{3810168}			buff_online.buff_1331_name	buff_online.buff_1331_dec	{{4,20},{4,30},{4,40}}	1001731	3	2	{59,15}
49		5米范围内，每存在1个敌对目标，暴击伤害提升20%	3	1	{3810169}			buff_online.buff_1334_name	buff_online.buff_1334_dec	{{8},{12},{16}}	1001000	3	3	{59,25}
50		当前生命2%转化为额外攻击力	5	1	{3810170}			buff_online.buff_1401_name	buff_online.buff_1401_dec	{{5},{7.5},{10}}	1001007	3	5	{59,80}
51		当前生命越低，防御力越高，防御力最多提升30%	3		{3810171}			buff_online.buff_1402_name	buff_online.buff_1402_dec	{{20},{30},{40}}	1001005	3	2	{59,15}
52		拥有护盾时，射击不消耗子弹，同时射击伤害提升30%	2		{3810172}			buff_online.buff_1403_name	buff_online.buff_1403_dec	{{40},{60},{80}}	1001005	3	5	{59,80}
53		受治疗效果提升14%	3	1	{3810173}			buff_online.buff_1404_name	buff_online.buff_1404_dec	{{10},{15},{20}}	1001006	3	1	{59,8}
54		射击命中处于被控制状态的目标时，可无视其50%的防御	5	1	{3810174}			buff_online.buff_1408_name	buff_online.buff_1408_dec	{{25},{37.5},{50}}	1001730	3	4	{59,50}
55		使用爆发技后，周围10米范围内的敌方目标攻击力降低35%，持续6秒	5		{3810175}			buff_online.buff_1412_name	buff_online.buff_1412_dec	{{30,6},{45,6},{60,6}}	1001009	3	5	{59,80}
56		以自身为中心释放1次震荡波，对周围目标造成队员攻击力{1}%的动能类型伤害，触发间隔{2}秒	3	1	{3810176}			buff_online.buff_1414_name	online.SpeedScoreBuffDes7	{{120,5},{180,5},{240,5}}	1001725	3	4	{59,50}
57		召唤落雷攻击距离自身最近的目标，对一定范围内的目标造成队员攻击力{1}%的电击类型伤害，触发间隔{2}秒	3		{3810177}			buff_online.buff_1416_name	online.SpeedScoreBuffDes8	{{120,5},{180,5},{240,5}}	1001729	3	4	{59,50}
58		5米范围内的目标受到的伤害提升20%	3	1	{3810178}			buff_online.buff_1417_name	buff_online.buff_1417_dec	{{15},{22.5},{30}}	1001000	3	3	{59,25}
59		使用爆发技后，获得霸体效果，持续6秒，期间造成的伤害提升20%，受到的伤害降低20%	3		{3810179}			buff_online.buff_1419_name	buff_online.buff_1419_dec	{{6,40,20},{6,60,30},{6,80,40}}	1001008	3	5	{59,80}
60		暴击时，该次伤害无视目标40%的防御力	1	1	{3810180}			buff_online.buff_1420_name	buff_online.buff_1420_dec	{{25},{37.5},{50}}	1001730	3	4	{59,50}
61		使用狙击枪、霰弹枪和手枪的队员，造成的伤害提升15%	5	1	{3810181}			buff_online.buff_1421_name	buff_online.buff_1421_dec	{{20},{30},{40}}	1001000	3	3	{59,25}
62		5米范围内，每有1个目标，攻击力和防御力均提升2.5%，最多叠加5层	3	1	{3810182}			buff_online.buff_1422_name	buff_online.buff_1422_dec	{{3,5},{3.75,5},{5,5}}	1001000	3	2	{59,15}
63		射击命中目标后，有15%的概率攻击力提升1%，持续8秒，最多叠加50层	2		{3810183}			buff_online.buff_1425_name	buff_online.buff_1425_dec	{{15,2,8,50},{15,3,8,50},{15,4,8,50}}	1001000	3	5	{59,80}
64		射击速度提升10%	2	1	{3810184}			buff_online.buff_1426_name	buff_online.buff_1426_dec	{{6},{9},{12}}	1001000	3	2	{59,15}
65		移动速度提升20%	5	1	{3810185}			buff_online.buff_1428_name	buff_online.buff_1428_dec	{{10},{15},{20}}	1001012	3	2	{59,15}
66		击杀15米外的敌人后，将增加0.2%攻击力，持续时间无限，可叠加999层	1				{3810104}	online.SpeedScoreBuffName1	online.SpeedScoreBuffDes1	{{15,0.2,999},{15,0.3,999},{15,0.4,999}}	1001003	3	5	{59,80}
67		射击伤害增加30%，进入持续射击状态后，每秒增加5%攻击力和防御力，最多增加到100%。退出射击状态后每秒衰减20%。	2	1			{3810105}	online.SpeedScoreBuffName2	online.SpeedScoreBuffDes2	{{20,3,100,20},{30,4.5,100,20},{40,6,100,20}}	1001000	3	5	{59,80}
68		对5米范围内的敌人造成伤害时，降低敌人10%的全元素伤害抗性，持续6秒，可叠加5层	3	1			{3810106}	online.SpeedScoreBuffName3	online.SpeedScoreBuffDes3	{{5,6,6,5},{5,9,6,5},{5,12,6,5}}	1001730	3	5	{59,80}
69		技能伤害增加30%，释放技能后，将额外提升全体队员1%的技能伤害，持续时间10秒，可叠加99层	4	1			{3810107}	online.SpeedScoreBuffName4	online.SpeedScoreBuffDes4	{{20,1,10,99},{30,1.5,10,99},{40,2,10,99}}	1001009	3	5	{59,80}
70		全体队员受治疗效率提升50%，携带者进行治疗时，会使被治疗目标提升20%伤害并获得20%的受伤减免效果，持续5秒（重复治疗时刷新持续时间）	5	1			{3810108}	online.SpeedScoreBuffName5	online.SpeedScoreBuffDes5	{{30,20,20,5},{45,30,30,5},{60,40,40,5}}	1001006	3	5	{59,80}
71		全自动水枪：每间隔20秒角色射击速度提高100%但射击的最终伤害降低30%，持续10秒，且持续时间内角色射击不消耗弹药	2	1	{3810186}			rogue3.reward_buff_name1	rogue3.reward_buff_des1	{{20,50,10,10,30},{20,75,10,10,30},{20,100,10,10,30}}	1001731	3	5	{59,80}
72		清爽凉饮：击败任意敌人在敌人死亡的位置召唤一个生命补给或能量补给，生命补给回复5%最大血量，能量补给回复10点爆发能量，补给15秒后消失	5		{7016002}			rogue3.reward_buff_name2	rogue3.reward_buff_des2	{{1,10,5,15},{1,10,7.5,15},{1,10,10,15}}	1001006	3	4	{59,50}
73		高温防晒：每1秒获得一层可以叠加的减伤效果，每层效果使角色收到的伤害降低10%，至多叠加5层，受到伤害会减少一层	3		{3810188}			rogue3.reward_buff_name3	rogue3.reward_buff_des3	{{1,6,5,1},{1,9,5,1},{1,12,5,1}}	1001005	3	4	{59,50}
74		急速冲浪：常规技命中敌人时给敌人添加一层【水渍】，【水渍】叠加至5层时冰冻当前敌人，持续5秒，期间不叠加【水渍】，敌人处于冰冻期间受到的技伤害提升50%	4	1	{7016004}			rogue3.reward_buff_name4	rogue3.reward_buff_des4	{{1,5,5,50},{1,5,5,75},{1,5,5,100}}	1001727	3	5	{59,80}
75		溅射水泡：爆发技对敌人造成伤害时为敌人附加一个持续爆炸的水泡，单个敌人最多持有一个水泡且无法刷新，每次爆炸造成角色攻击力10%的低温伤害，共爆炸10次，水泡的爆炸速度会逐渐加快，每有水泡爆炸一次角色爆发技冷却减少1%且爆发能量回复1点，目标处于水泡期间死亡则水泡提前消失	4		{7016005}			rogue3.reward_buff_name5	rogue3.reward_buff_des5	{{1,10,10,1,1,1},{1,15,10,1,1,1},{1,20,10,1,1,1}}	1001733	3	5	{59,80}
76		轮盘技能1					{3810193}		online.SpeedScoreBuffDes9	{{30,15,10,5,20}}		1	4	
77		轮盘技能2					{3810194}		online.SpeedScoreBuffDes10	{{30,30,30,30,10}}		1	4	
78		轮盘技能3					{3810195}		online.SpeedScoreBuffDes11	{{20,20,20,15,10}}		1	4	
