ID	//备注	定义（11=后勤 12=角色 13=武器 14=武器配件 15=道具 18=家具）	Logo	道具130*130	大图200*200	货币50*50	礼包400*400
1811401	圆形藏书角	18		110307000	110307001		
1811402	呼吸训练套组	18		110307100	110307101		
1811404	悬浮投影装饰	18		110307200	110307201		
1811406	红木长案	18		110307300	110307301		
1811409	禽鸟戏挂饰	18		110307400	110307401		
1811403	山水造景	18		110307500	110307501		
1811405	真丝摹竹屏风	18		110307600	110307601		
1811407	高透明置物架	18		110307700	110307701		
1811408	燃火熏香炉	18		110307800	110307801		
1811410	绳结顶饰	18		110307900	110307901		
1811411	精装藏书角	18		110310620	110310621		
1811420	柔荑纾倦	18		110311690	110311691		
1811421	辰星恒约照	18		110311190	110311191		
							
1810501	时尚茶几	18		110306000	110306001		
1810503	花艺练习桌组	18		110306100	110306101		
1810504	科技布艺术沙发	18		110306200	110306201		
1810507	壁挂式梳妆台	18		110306400	110306401		
1810505	射击训练吊顶	18		110306300	110306301		
1810502	自组式展示墙	18		110306500	110306501		
1810506	电子相框组	18		110306600	110306601		
1810508	实体门票收藏夹	18		110306700	110306701		
1810509	手工打制摩卡壶	18		110306800	110306801		
1810510	电影蓝光碟	18		110306900	110306901		
1810511	科技布轻奢沙发	18		110310140	110310141		
1810520	蒙眼辨物	18		110310990	110310991		
1810521	茉莉安恒约照	18		110312140	110312141		
							
1810601	多功能维护立柱	18		110308000	110308001		
1810602	花卉培养套装	18		110308100	110308101		
1810603	机械维护组合	18		110308200	110308201		
1810604	吊顶式沙袋	18		110308300	110308301		
1810605	家用自律套组	18		110310000	110310001		
1810606	奖章展示柜	18		110308500	110308501		
1810607	座式投影装饰	18		110308600	110308601		
1810608	腹肌轮	18		110308700	110308701		
1810609	修护液套装	18		110308800	110308801		
1810610	合金首饰盒	18		110308900	110308901		
1810611	家用互助套组	18		110308400	110308401		
1810620	晴膝枕	18		110311040	110311041		
							
1811001	储物区	18		110309000	110309001		
1811002	室内养成装置	18		110309100	110309101		
1811003	暖被炉	18		110309200	110309201		
1811004	瑜伽垫	18		110309300	110309301		
1811005	躺椅	18		110309400	110309401		
1811006	休闲区	18		110309500	110309501		
1811007	排班表	18		110309600	110309601		
1811008	好运区	18		110309700	110309701		
1811009	准时下班地垫	18		110309800	110309801		
1811010	旅游海报	18		110309900	110309901		
1811011	付费暖炉	18		110310010	110310011		
1811020	懒日偷闲	18		110311680	110311681		
1811021	肴恒约照	18		110311180	110311181		
							
1811201	多层收纳架	18		110310030	110310031		
1811202	全息扫描分析仪	18		110310040	110310041		
1811203	零区地图投影仪	18		110310050	110310051		
1811204	精美的天秤	18		110310060	110310061		
1811205	帕特拉风格地毯	18		110310080	110310081		
1811206	《开拓者》	18		110310090	110310091		
1811207	帕特拉猫木雕	18		110310100	110310101		
1811208	电子日志	18		110310110	110310111		
1811209	《古拉利卡之谜》	18		110310120	110310121		
1811210	小型投影仪	18		110310130	110310131		
1811211	帕特拉王室地毯	18		110310070	110310071		
							
1811101	家用烘焙套组	18		110310150	110310151		
1811102	乐尔牌积木	18		110310160	110310161		
1811103	熊熊玩偶	18		110310170	110310171		
1811104	生态箱	18		110310180	110310181		
1811105	星球云朵灯	18		110310190	110310191		
1811106	大型不倒翁	18		110310200	110310201		
1811107	扫描投影仪	18		110310210	110310211		
1811108	磁吸式防尘架	18		110310220	110310221		
1811109	墨迹测试挂画	18		110310230	110310231		
1811110	《两千夜》	18		110310240	110310241		
1811111	豪华烘焙套组	18		110310020	110310021		
1811120	恩雅膝枕	18		110311210	110311211		
							
1811701	万能魔术屋	18		110310250	110310251		
1811702	温馨茶组	18		110310260	110310261		
1811703	手工制作套装	18		110310270	110310271		
1811704	智能隔板	18		110310280	110310281		
1811705	大空间冰箱	18		110310290	110310291		
1811706	磁吸式展板	18		110310310	110310311		
1811707	惊吓盒子	18		110310320	110310321		
1811708	兔子小窝	18		110310330	110310331		
1811709	悬挂式衣帽架	18		110310340	110310341		
1811710	手作道具	18		110310350	110310351		
1811711	精致茶组	18		110310300	110310301		
1811720	苔丝膝枕	18		110311220	110311221		
1811721	苔丝恒约照	18		110311560	110311561		
							
1811501	贝斯套组	18		110310360	110310361		
1811502	电鼓套组	18		110310370	110310371		
1811503	小型吧台	18		110310380	110310381		
1811504	磁浮冲浪板	18		110310390	110310391		
1811505	飘窗垫	18		110310400	110310401		
1811506	唱片挂饰	18		110310410	110310411		
1811507	家用酒柜	18		110310420	110310421		
1811508	竞速冲浪板	18		110310430	110310431		
1811509	飞行器钥匙	18		110310440	110310441		
1811510	打碟机	18		110310450	110310451		
1811513	智能吧台	18		110310460	110310461		
1811520	独家留影	18		110310980	110310981		
1811521	凯茜娅恒约照	18		110311570	110311571		
							
1811601	轻便帐篷	18		110310490	110310491		
1811602	教学黑板套组	18		110310500	110310501		
1811603	秋千	18		110310510	110310511		
1811604	武器保险箱	18		110310520	110310521		
1811605	室内攀爬架	18		110310530	110310531		
1811606	布幔吊顶	18		110310550	110310551		
1811607	攀岩墙	18		110310560	110310561		
1811608	野炊三件套	18		110310570	110310571		
1811609	小型暖炉	18		110310580	110310581		
1811610	鹿角模型	18		110310590	110310591		
1811611	智能黑板套组	18		110310540	110310541		
							
1810301	复合保险柜	18		110310650	110310651		
1810302	训练沙袋	18		110310630	110310631		
1810303	健身辅助机	18		110310640	110310641		
1810304	蝴蝶机	18		110310660	110310661		
1810305	股票走势图	18		110310670	110310671		
1810306	冲孔板	18		110310680	110310681		
1810307	骰子摆件	18		110310690	110310691		
1810308	“招财”猫猫	18		110310700	110310701		
1810309	抑制剂收纳盒	18		110310710	110310711		
1810310	智能回收桶	18		110310720	110310721		
1810311	健身器械组合	18		110310770	110310771		
1810312	超大纯金招财猫	18		110311240	110311241		
1810313	新妮塔Q版图	18		110311260	110311261		
							
1899001	钓鱼之王雕像	18		110007501	110007502		
1899002	“灵蹄”全息模型	18		110007701	110007702		
1899003	幻之假面	18		110007901	110007902		
1899004	星盘徽章	18		110008301	110008302		
1899005	悖论之影	18		110008401	110008402		
1899006	小型透墨索斯	18		110008501	110008502		
1899007	溯时沙漏	18		110310600	110310601		
1899008	汉诺幻方	18		110310730	110310731		
1899009	辅助机	18		110310800	110310801		
1899010	麻辣火锅营地	18		110310790	110310791		
1899011	雪落之梦	18		110310780	110310781		
1899014	特制胶片盘	18		110310850	110310851		
1899015	尘白恶魔号模型	18		110310970	110310971		
1899016	仿石装饰摆件	18		110311000	110311001		
1899017	轻舟溯忆	18		110311030	110311031		
1899020	战影之卷	18		110311200	110311201		
1899025	dlc15玻璃球纪念品	18		110311230	110311231		
1899030	dlc16鱼缸纪念品	18		110311380	110311381		
1899031	dlc2.8法槌纪念品	18		110311520	110311521		
1899032	dlc3.0大肉鸽纪念品	18		110311530	110311531		
1899033	dlc3.0版本纪念品	18		110311550	110311551		
1899034	dlc3.1版本纪念品	18		110311670	110311671		
1899035	dlc3.2版本纪念品	18		110311780	110311781		
1899036	dlc3.3版本纪念品	18		110311790	110311791		
1899037	dlc3.4版本纪念品	18		110311910	110311911		
1899038	dlc3.4跨年纪念品	18		110311920	110311921		
1899039	dlc3.5版本纪念品	18		110312040	110312041		
1899040	dlc3.5全家福纪念品	18		110312050	110312051		
1899041	dlc3.5创维联动纪念品	18		110312150	110312151		
1899042	dlc3.5乐事联动纪念品	18		110312160	110312161		
1899043	dlc3.5线下活动纪念品	18		110312190	110312191		
1899044	dlc3.6版本纪念品	18		110312200	110312201		
1899045	dlc3.7版本纪念品	18		110312300	110312301		
1899046	dlc3.7阿华田联动纪念品	18		110312400	110312401		
1899047	dlc3.7端午联动纪念品	18		110312500	110312501		
							
1851001	身高体重测量仪	18		110310810	110310811		
1851002	自动贩卖机	18		110310820	110310821		
1851003	全身体检室	18		110310840	110310841		
1851004	按摩仪	18		110310830	110310831		
1851005	dlc14春节舞狮头纪念品	18		110311070	110311071		
1851006	dlc14饼干联动纪念品1	18		110311061	110311062		
1851007	dlc14饼干联动纪念品2	18		110311050	110311051		
1851008	dlc14全家福纪念品	18		110311080	110311081		
1851009	dlc17燕麦奶联动纪念品1	18		110311400	110311401		
1851010	dlc17燕麦奶联动纪念品2	18		110311390	110311391		
1851011	dlc3.0虎邦联动纪念品	18		110311640	110311641		
1851012	dlc3.0健力宝联动纪念品1	18		110311660	110311661		
1851013	dlc3.0健力宝联动纪念品2	18		110311650	110311651		
1851014	dlc3.2格力高联动纪念品1	18		110311700	110311701		
1851015	dlc3.2格力高联动纪念品2	18		110311710	110311711		
							
1811801	单人观影区	18		110310860	110310861		
1811802	阅读创作角	18		110310870	110310871		
1811803	香氛浴缸	18		110310880	110310881		
1811804	带镜衣帽架	18		110310890	110310891		
1811805	唱片播放柜	18		110310900	110310901		
1811806	海报挂画	18		110310910	110310911		
1811807	海报贴图	18		110310920	110310921		
1811808	落地灯	18		110310930	110310931		
1811809	复古机械吊扇	18		110310940	110310941		
1811810	造型绿植	18		110310950	110310951		
1811811	双人观影套组	18		110310960	110310961		
							
1860001	温泉-桑拿房家具	18		110311090	110311091		
1860002	温泉-茶室家具	18		110311100	110311101		
1860003	温泉-水桶家具	18		110311110	110311111		
1860004	温泉-鱼疗池家具	18		110311120	110311121		
1860005	温泉-三人池家具	18		110311130	110311131		
1860006	温泉-天上的树	18		110311140	110311141		
1860007	温泉-大厅的造景	18		110311150	110311151		
							
1812001	衣柜区	18		110311270	110311271		
1812002	皮影区	18		110311280	110311281		
1812003	百宝柜	18		110311290	110311291		
1812004	面具区	18		110311300	110311301		
1812005	单人茶几区	18		110311310	110311311		
1812006	香炉	18		110311330	110311331		
1812007	悬吊类家具	18		110311340	110311341		
1812008	墙面装饰1	18		110311350	110311351		
1812009	墙面装饰2	18		110311360	110311361		
1812010	绿植	18		110311370	110311371		
1812011	双人茶几区	18		110311320	110311321		
							
1812101	沙发与玩偶	18		110311410	110311411		
1812102	钢琴流体墙	18		110311420	110311421		
1812103	居家训练装置	18		110311430	110311431		
1812104	巨大贴墙鱼缸	18		110311440	110311441		
1812105	全息氛围灯	18		110311450	110311451		
1812106	加湿器	18		110311470	110311471		
1812107	冥河水母灯	18		110311480	110311481		
1812108	鲸鱼骨模型	18		110311490	110311491		
1812109	室内生物萃取香氛装置	18		110311500	110311501		
1812110	标本	18		110311510	110311511		
1812111	双人氛围灯	18		110311460	110311461		
							
1870021	小酒馆-卡座区	18		110311580	110311581		
1870022	小酒馆-小舞台区	18		110311590	110311591		
1870023	小酒馆-舞池区	18		110311600	110311601		
1870024	小酒馆-吧台区	18		110311610	110311611		
1870025	小酒馆-纪念展区	18		110311620	110311621		
1870026	小酒馆-射灯	18		110311630	110311631		
							
1880001	沙滩-堆沙堡	18		110311720	110311721		
1880002	沙滩-香蕉船	18		110311730	110311731		
1880003	沙滩-吊床	18		110311740	110311741		
1880004	沙滩-敲西瓜	18		110311750	110311751		
1880005	沙滩-秋千	18		110311760	110311761		
1880006	沙滩-西瓜台	18		110311770	110311771		
							
1812201	餐桌	18		110311800	110311801		
1812202	贵妃榻读书角	18		110311810	110311811		
1812203	壁炉	18		110311820	110311821		
1812204	梳妆台	18		110311830	110311831		
1812205	伞架	18		110311840	110311841		
1812206	立式钟表	18		110311860	110311861		
1812207	装饰相框	18		110311870	110311871		
1812208	台灯	18		110311880	110311881		
1812209	花台	18		110311890	110311891		
1812210	床帘	18		110311900	110311901		
1812211	双人餐桌	18		110311850	110311851		
							
1812301	单人照片墙	18		110311930	110311931		
1812302	吊椅风铃组	18		110311940	110311941		
1812303	冰箱	18		110311950	110311951		
1812304	水果盘	18		110311960	110311961		
1812305	门口小帘子	18		110311970	110311971		
1812306	毛绒墙面	18		110311990	110311991		
1812307	情侣拖鞋	18		110312000	110312001		
1812308	装饰物件2	18		110312010	110312011		
1812309	装饰物件3	18		110312020	110312021		
1812310	装饰物件4	18		110312030	110312031		
1812311	照片墙区	18		110311980	110311981		
							
1890001	电玩城1-滑雪区	18		110312060	110312061		
1890002	电玩城2-体感游戏区	18		110312070	110312071		
1890003	电玩城3-跳舞区	18		110312080	110312081		
1890004	电玩城4-射击区	18		110312090	110312091		
1890005	电玩城5-老虎机	18		110312100	110312101		
1890006	电玩城6-打拳机	18		110312110	110312111		
