主键ID	//注释	图标	名字	物品描述	机制效果	额外参数	基础分值	品质1绿2蓝3紫4橙	类型1基础币2彩蛋币3特殊币4坏币	标签	未解锁提示	解锁条件	购买价格	出售价格
112	特殊币-给我钱-结算时，额外获得x~y票券（参数：{1}票券数量下限；{2}票券数量上限）	1545414	house.Coinpusher_CoinName112	house.Coinpusher_CoinDesc112	{17,[2,10]}		1	1	3	4,5			4	2
113	特殊币-钱串-每回合开始时，自身分数+x（参数：{1}分值）	1545415	house.Coinpusher_CoinName113	house.Coinpusher_CoinDesc113	{3,25}	{"ptchange",25}	2	1	3	4,5			4	2
114	特殊币-陨石-在落点爆炸，将范围内其他硬币大力推开（额外参数：冲力，生效范围）	1545416	house.Coinpusher_CoinName114	house.Coinpusher_CoinDesc114		{"force",200},{"radius",10}	2	2	3	3,5			8	4
115	特殊币-双行星-吸引范围内的随机1枚基础分值＜自身的硬币，使对方基础分值与自身相等（参数：{1}数量；额外参数：吸引范围）	1545417	house.Coinpusher_CoinName115	house.Coinpusher_CoinDesc115	{18,1}	{"radius",30}	25	3	3	2,5			25	13
														
201	坏币-钻头-存在场上时，累计能量点要求的连击数+2（参数：{1}连击数增值）	1545501	house.Coinpusher_CoinName201	house.Coinpusher_CoinDesc201	{19,2}		0	1	4	4,6				
202	坏币-盒子-存在场上时，彩蛋币转化率-2%（参数：{1}变化百分比）	1545502	house.Coinpusher_CoinName202	house.Coinpusher_CoinDesc202	{1,-2}		0	1	4	4,6				
203	坏币-无人机-存在场上时，每回合开始时，失去10x票券倍率数量的票券（参数：{1}基础数量）	1545503	house.Coinpusher_CoinName203	house.Coinpusher_CoinDesc203	{20,-10}		0	1	4	4,6				
204	坏币-噬咬球-存在场上时，无法兑币	1545504	house.Coinpusher_CoinName204	house.Coinpusher_CoinDesc204	{21}		0	1	4	4,6				
205	坏币-大眼-存在场上时，所有镀层无法生效	1545505	house.Coinpusher_CoinName205	house.Coinpusher_CoinDesc205	{22}		0	1	4	4,6				
206	坏币-三角-存在场上时，所有幸运礼物无法发挥作用	1545506	house.Coinpusher_CoinName206	house.Coinpusher_CoinDesc206	{23}		0	1	4	4,6				
