BufferID	描述备注	流派备注	强度备注	归属流派	第1波概率	第2波概率	第3波概率	第4波概率	第5波概率	第6波概率	第7波概率	第8波概率	第9波概率	第10波概率	第11波概率	第12波概率
1201	冲刺状态时每%s秒可获取%s点大招能量	{技能}	3	{5}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1204	击倒目标后,伤害提升%s%%,持续%s秒	{攻击}	5	{1}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1205	动能类型伤害提升%s%%	{攻击}	2	{1}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1206	弹匣内子弹数量大于%s%%时,射击的伤害提升%s%%	{攻击}	3	{1}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1207	最大生命降低%s%%,所有伤害提升%s%%	{攻击}	4	{1}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1208	最大生命降低%s%%,常规技能伤害提升%s%%	{技能}	2	{5}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1209	高温类型伤害提升%s%%	{攻击}	2	{1}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1210	低温类型伤害提升%s%%	{攻击}	2	{1}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1211	异能类型伤害提升%s%%	{攻击}	2	{1}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1212	电击类型伤害提升%s%%	{攻击}	2	{1}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1213	所有元素类型的伤害增加%s%%	{攻击,控制}	5	{1,6}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1214	射击命中时恢复%s%%最大生命值,触发间隔%s秒	{防御}	4	{2}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1215	暴击后射击速度提升%s%%,持续%s秒	{快速射击}	4	{3}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1216	最大爆发能量和当前已获取爆发能量均提升%s%%	{技能}	3	{5}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1217	击倒敌方目标后,常规技能使用间隔减少%s秒	{技能}	3	{5}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1301	爆发能量值为100后每秒减少%s点,期间射击伤害提高%s%%,且期间无法获得爆发能量直至爆发能量完全消耗	{攻击,快速射击}	3	{1,3}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1302	弹匣内第一发子弹的伤害提升%s%%	{慢速射击}	4	{4}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1303	技能急速增加%s%	{技能}	5	{5}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1304	常规技能伤害降低%s%%,瞄准射击伤害提升%s%%	{快速射击,慢速射击}	4	{3,4}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1305	受到极大伤害时,全伤害提高%s%%并获得无敌,持续%s秒,每秒恢复%s%%最大生命值。冷却时间%s秒	{防御}	5	{2}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1306	爆发能量值为100时,常规技能伤害提升%s%%	{技能}	4	{5}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1309	每击败1个敌方目标，暴击率提升%s%%	{攻击}	4	{1}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1310	闪避后常规技能伤害提升%s%%，持续%s秒，该效果最多叠加%s层，使用技能后层数清零	{技能}	2	{5}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1311	每击败1个敌方目标，暴击伤害提升%s%%	{慢速射击,特效}	4	{4,7}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1312	爆发能量为100时，暴击伤害提升%s%%	{攻击}	1	{1}	0	1500	500	0	0	0	0	0	0	0	0	0
1314	暴击后射击伤害提升%s%%，持续%s秒，该效果最多叠加5层	{快速射击}	2	{3}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1315	暴击后可恢复少量爆发能量	{技能}	3	{5}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1316	冲刺状态下，每秒回复%s%%的最大生命	{防御}	4	{2}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1317	击败敌方目标后，射击速度提升%s%%，持续%s秒	{快速射击}	2	{3}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1321	生命低于%s%%时，获得一个最大生命%s%%的护盾，触发间隔%s秒	{防御}	3	{2}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1322	射击命中目标时，有%s%%的概率对其施加【灼烧】状态，持续造成高热类型伤害	{特效}	2	{7}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1323	命中目标时，添加1层【电气】印记，当印记达到%s层时触发1次电击类型伤害，并施加麻痹状态，持续%s秒	{控制}	4	{6}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1324	射击暴击后，有%s%%概率额外造成1次特异类型伤害，触发间隔%s秒	{特效}	3	{7}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1325	射击命中目标时，有%s%%概率额外造成1次低温类型伤害	{特效}	2	{7}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1327	射击命中目标时，有%s%%概率引发1次特异震荡波，对范围内的所有地方目标造成特异类型伤害	{特效}	4	{7}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1328	命中目标时为其施加易伤效果，使其受到的射击伤害提升%s%%，持续%s秒，最多叠加%s层	{快速射击}	4	{3}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1329	对目标造成最后一击时，引发一次范围低温伤害，并添加冻结效果，持续%s秒，触发间隔%s秒	{控制}	4	{6}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1330	生命每降低%s%%，则造成的伤害提升%s%%	{攻击}	3	{1}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1331	换弹后，你的下%s发子弹伤害提高%s%%	{慢速射击}	4	{4}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1334	5米范围内，每存在1个敌对目标，暴击伤害提升%s%%	{慢速射击,特效}	3	{4,7}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1401	当前生命值的10%转化为额外攻击力	{防御}	5	{2}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1402	生命值越低，防御力越高，最多增加50%防御力	{防御}	3	{2}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1403	拥有护盾时，射击不消耗子弹，同时射击伤害提升30%	{防御}	4	{2}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1404	受治疗效果提升10%	{防御}	2	{2}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1405	释放爆发技后，使5m范围内的敌人迟缓，持续5秒	{控制}	4	{6}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1406	对处于麻痹状态的敌人，射击造成的伤害提升15%	{控制}	2	{6}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1407	射击命中处于眩晕状态的敌人时，该次射击必定造成暴击	{控制}	3	{6}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1408	射击命中处于控制状态的敌人时，该次射击无视40%防御	{控制}	5	{6}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1409	射击命中处于控制状态的敌人时，回复1%最大生命，触发间隔1秒	{控制}	3	{6}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1410	射击命中处于冻结状态的敌人时，有20%概率恢复1点爆发能量，触发间隔1秒	{控制}	3	{6}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1411	击败敌人时，有50%概率使敌人爆炸，造成攻击力100%的范围动能伤害并使周围的敌人眩晕2秒	{控制}	5	{6}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1412	释放爆发技能后，降低10米范围内敌人50%的攻击力，持续6秒	{控制}	3	{6}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1413	射击命中处于控制状态的敌人时，有10%概率返还子弹	{控制}	2	{6}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1414	每10秒原地释放一次震荡波半径5米，对周围的敌人造成攻击力100%的动能类型伤害	{特效}	4	{7}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1415	射击时有40%的概率对3米范围内的其他敌人造成原伤害60%的动能溅射伤害，该伤害会再次计算防御	{慢速射击,特效}	4	{4,7}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1416	每5秒会生成一道闪电，攻击30米范围内最近的敌人，造成100%的电击类型伤害，伤害范围3米	{特效}	5	{7}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1417	5米范围内的敌人受到的伤害提升20%	{特效}	5	{7}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1418	射击命中目标后，使目标的移动速度降低20%，持续4秒，此期间敌人被击败则会发生爆炸，造成角色攻击力50%的动能类型伤害	{控制}	4	{6}	6000	0	1000	2000	3000	2000	3900	5000	4500	4000	4000	3500
1419	释放爆发技能后，6s霸体，造成的伤害提升30%，受到的最终伤害降低30%	{技能}	5	{5}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1420	暴击时，该次伤害无视目标40%防御力	{慢速射击}	5	{4}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1421	使用狙击枪、霰弹枪和手枪时造成的伤害提升15%	{慢速射击}	2	{4}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1422	5米内每存在1个敌人，增加5%攻击力和5%防御力，最多叠加5层	{慢速射击,特效}	2	{4,7}	0	4500	3000	2000	500	500	100	10	10	10	10	10
1423	暴击后有15%概率增加1枚弹药	{快速射击}	3	{3}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1424	对敌人造成伤害后，将降低敌人50%跳弹率，持续4s	{快速射击}	5	{3}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1425	射击命中目标后，有10%概率增加1%攻击，持续8s，可叠加50次	{快速射击}	5	{3}	0	0	0	0	1000	1500	2500	2500	4000	5500	4000	5000
1426	射击速度提升25%	{快速射击}	3	{3}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1427	射击时，有20%概率额外发射1颗弹丸，该弹丸不会消耗弹药	{快速射击}	3	{3}	4000	4000	5500	6000	5500	6000	3500	2490	1490	490	1990	1490
1428	移动速度提升15%	{特效}	2	{7}	0	4500	3000	2000	500	500	100	10	10	10	10	10
2105	瞄准射击的伤害提升%s%%	{慢速射击,快速射击}	3	{4,3}	0	0	0	0	0	0	0	0	0	0	0	0
2106	常规技能伤害提升%s%%	{技能}	4	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2108	暴击率提升%s%%	{攻击}	1	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2114	暴击伤害提升%s%%	{慢速射击}	5	{4}	0	0	0	0	0	0	0	0	0	0	0	0
2121	与目标距离越远，瞄准射击伤害提升	{慢速射击}	3	{4}	0	0	0	0	0	0	0	0	0	0	0	0
2123	%s秒未受伤害,常规技能伤害提升%s%%	{技能}	3	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2125	爆发技能量获取效率提升%s%%	{技能}	3	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2126	弹匣容量提升%s%%	{快速射击}	4	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2205	动能类型伤害提升%s%%	{攻击}	2	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2206	弹匣内子弹数量大于%s%%时,射击的伤害提升%s%%	{攻击}	3	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2207	最大生命降低%s%%,所有伤害提升%s%%	{攻击}	4	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2208	最大生命降低%s%%,常规技能伤害提升%s%%	{技能}	2	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2209	高温类型伤害提升%s%%	{攻击}	2	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2210	低温类型伤害提升%s%%	{攻击}	2	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2211	异能类型伤害提升%s%%	{攻击}	2	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2212	电击类型伤害提升%s%%	{攻击}	2	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2213	所有元素类型的伤害增加%s%%	{攻击,控制}	5	{1,6}	0	0	0	0	0	0	0	0	0	0	0	0
2215	暴击后射击速度提升%s%%,持续%s秒	{快速射击}	4	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2216	最大爆发能量和当前已获取爆发能量均提升%s%%	{技能}	3	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2302	弹匣内第一发子弹的伤害提升%s%%	{慢速射击}	4	{4}	0	0	0	0	0	0	0	0	0	0	0	0
2303	技能急速增加%s%	{技能}	5	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2304	常规技能伤害降低%s%%,瞄准射击伤害提升%s%%	{快速射击,慢速射击}	4	{3,4}	0	0	0	0	0	0	0	0	0	0	0	0
2306	爆发能量值为100时,常规技能伤害提升%s%%	{技能}	4	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2309	每击败1个敌方目标，暴击率提升%s%%	{攻击}	4	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2311	每击败1个敌方目标，暴击伤害提升%s%%	{慢速射击,特效}	4	{4,7}	0	0	0	0	0	0	0	0	0	0	0	0
2312	爆发能量为100时，暴击伤害提升%s%%	{攻击}	1	{1}	0	0	0	0	0	0	0	0	0	0	0	0
2314	暴击后射击伤害提升%s%%，持续%s秒，该效果最多叠加5层	{快速射击}	2	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2315	暴击后可恢复少量爆发能量	{技能}	3	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2317	击败敌方目标后，射击速度提升%s%%，持续%s秒	{快速射击}	2	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2322	射击命中目标时，有%s%%的概率对其施加【灼烧】状态，持续造成高热类型伤害	{特效}	2	{7}	0	0	0	0	0	0	0	0	0	0	0	0
2323	命中目标时，添加1层【电气】印记，当印记达到%s层时触发1次电击类型伤害，并施加麻痹状态，持续%s秒	{控制}	4	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2324	射击暴击后，有%s%%概率额外造成1次特异类型伤害，触发间隔%s秒	{特效}	3	{7}	0	0	0	0	0	0	0	0	0	0	0	0
2325	射击命中目标时，有%s%%概率额外造成1次低温类型伤害	{特效}	2	{7}	0	0	0	0	0	0	0	0	0	0	0	0
2327	射击命中目标时，有%s%%概率引发1次特异震荡波，对范围内的所有地方目标造成特异类型伤害	{特效}	4	{7}	0	0	0	0	0	0	0	0	0	0	0	0
2328	命中目标时为其施加易伤效果，使其受到的射击伤害提升%s%%，持续%s秒，最多叠加%s层	{快速射击}	4	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2329	对目标造成最后一击时，引发一次范围低温伤害，并添加冻结效果，持续%s秒，触发间隔%s秒	{控制}	4	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2331	换弹后，你的下%s发子弹伤害提高%s%%	{慢速射击}	4	{4}	0	0	0	0	0	0	0	0	0	0	0	0
2334	5米范围内，每存在1个敌对目标，暴击伤害提升%s%%	{慢速射击,特效}	3	{4,7}	0	0	0	0	0	0	0	0	0	0	0	0
2403	拥有护盾时，射击不消耗子弹，同时射击伤害提升30%	{防御}	4	{2}	0	0	0	0	0	0	0	0	0	0	0	0
2405	释放爆发技后，使5m范围内的敌人迟缓，持续5秒	{控制}	4	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2406	对处于麻痹状态的敌人，射击造成的伤害提升15%	{控制}	2	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2407	射击命中处于眩晕状态的敌人时，该次射击必定造成暴击	{控制}	3	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2408	射击命中处于控制状态的敌人时，该次射击无视40%防御	{控制}	5	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2409	射击命中处于控制状态的敌人时，回复1%最大生命，触发间隔1秒	{控制}	3	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2410	射击命中处于冻结状态的敌人时，有20%概率恢复1点爆发能量，触发间隔1秒	{控制}	3	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2411	击败敌人时，有50%概率使敌人爆炸，造成攻击力100%的范围动能伤害并使周围的敌人眩晕2秒	{控制}	5	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2413	射击命中处于控制状态的敌人时，有10%概率返还子弹	{控制}	2	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2414	每10秒原地释放一次震荡波半径5米，对周围的敌人造成攻击力100%的动能类型伤害	{特效}	4	{7}	0	0	0	0	0	0	0	0	0	0	0	0
2415	射击时有40%的概率对3米范围内的其他敌人造成原伤害60%的动能溅射伤害，该伤害会再次计算防御	{慢速射击,特效}	4	{4,7}	0	0	0	0	0	0	0	0	0	0	0	0
2416	每5秒会生成一道闪电，攻击30米范围内最近的敌人，造成100%的电击类型伤害，伤害范围3米	{特效}	5	{7}	0	0	0	0	0	0	0	0	0	0	0	0
2417	5米范围内的敌人受到的伤害提升20%	{特效}	5	{7}	0	0	0	0	0	0	0	0	0	0	0	0
2418	射击命中目标后，使目标的移动速度降低20%，持续4秒，此期间敌人被击败则会发生爆炸，造成角色攻击力50%的动能类型伤害	{控制}	4	{2,6}	0	0	0	0	0	0	0	0	0	0	0	0
2419	释放爆发技能后，6s霸体，造成的伤害提升30%，受到的最终伤害降低30%	{技能}	5	{5}	0	0	0	0	0	0	0	0	0	0	0	0
2420	暴击时，该次伤害无视目标40%防御力	{慢速射击}	5	{4}	0	0	0	0	0	0	0	0	0	0	0	0
2421	使用狙击枪、霰弹枪和手枪时造成的伤害提升15%	{慢速射击}	2	{4}	0	0	0	0	0	0	0	0	0	0	0	0
2422	5米内每存在1个敌人，增加5%攻击力和5%防御力，最多叠加5层	{慢速射击,特效}	2	{4,7}	0	0	0	0	0	0	0	0	0	0	0	0
2423	暴击后有15%概率增加1枚弹药	{快速射击}	3	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2424	对敌人造成伤害后，将降低敌人50%跳弹率，持续4s	{快速射击}	5	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2425	射击命中目标后，有10%概率增加1%攻击，持续8s，可叠加50次	{快速射击}	5	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2426	射击速度提升25%	{快速射击}	3	{3}	0	0	0	0	0	0	0	0	0	0	0	0
2427	射击时，有20%概率额外发射1颗弹丸，该弹丸不会消耗弹药	{快速射击}	3	{3}	0	0	0	0	0	0	0	0	0	0	0	0

