ID	//备注	名称	图标	所属技能	分支类型（0基础技能 1分支a 2分支b）	分支等级和激活条件{等级,{需要的二级类型,数量}}	描述	//描述备注	描述中的数值	buff分组（同组覆盖）	buff等级	效果id（modified,添加对象1.无人机 2.玩家）	效果id2（skillfix,添加对象1.无人机 2.玩家）
21	3技能分支1-2			3	1	{2,{2,8}}	rogue3.uav_SkillDes3_1_lv2	被动提高玩家{1}%的常规技伤害	{50}			{{7010427,2}}	
22	3技能分支1-3			3	1	{3,{2,12}}	rogue3.uav_SkillDes3_1_lv3	玩家击杀敌人永久提升{1}%高热伤害	{0.2}			{{7010428,2}}	
24	3技能分支2-1			3	2	{1,{3,4}}	rogue3.uav_SkillDes3_2_lv1	被动提高玩家{1}%防御	{20}			{{7010430,2}}	
25	3技能分支2-2			3	2	{2,{3,8}}	rogue3.uav_SkillDes3_2_lv2	被动提高玩家{1}%的奥义技伤害	{50}			{{7010431,2}}	
26	3技能分支2-3			3	2	{3,{3,12}}	rogue3.uav_SkillDes3_2_lv3	玩家每次释放技能提升{1}%攻击力	{0.2}			{{7010432,2}}	
27	4技能初始效果！！注意！！这条挂载了玩家射击附带额外伤害的标记触发	rogue3.uav_SkillName4	1001571	4	0		rogue3.uav_SkillDes4_0	每间隔{1}秒，发射{2}枚冰棱攻击单个目标，造成无人机攻击力{3}%的低温伤害并降低敌人{4}%的移动速度	{7.5,3,500,30}			{{7010435,1}}	
28	4技能分支1-1			4	1	{1,{2,4}}	rogue3.uav_SkillDes4_1_lv1	技能释放间隔减少至{1}秒	{5}				{{520311611,1}}
29	4技能分支1-2			4	1	{2,{2,8}}	rogue3.uav_SkillDes4_1_lv2	冰棱击中后还将减少敌人{1}%攻击，可叠加{2}层，持续时间无限	{2,20}				{{520311612,1}}
30	4技能分支1-3			4	1	{3,{2,12}}	rogue3.uav_SkillDes4_1_lv3	冰棱击中后还将降低目标{1}%防御，可叠加{2}层，持续时间无限	{3,20}				{{520311613,1}}
31	4技能分支2-1			4	2	{1,{1,4}}	rogue3.uav_SkillDes4_2_lv1	减速效果提升至{1}%(fix已经做了覆盖）	{60}				{{520311621,1}}
32	4技能分支2-2			4	2	{2,{1,8}}	rogue3.uav_SkillDes4_2_lv2	敌人被击中{1}次后会冻结{2}秒	{6,3}				{{520311622,1}}
33	4技能分支2-3			4	2	{3,{1,12}}	rogue3.uav_SkillDes4_2_lv3	冰棱数量增加至{1}枚	{6}				{{520311623,1}}
34	5技能初始效果	rogue3.uav_SkillName5	1001572	5	0		rogue3.uav_SkillDes5_0	每间隔{1}秒，发射一道冰冻射线持续照射敌人，每{2}秒对目标造成无人机攻击力{3}%的低温伤害，射线最多持续{4}秒，击杀敌人或但超过一定范围会断开	{24,0.5,450,5}				
35	5技能分支1-1			5	1	{1,{3,4}}	rogue3.uav_SkillDes5_1_lv1	射线的最大持续时间增加至{1}秒	{7}				{{520311711,1}}
36	5技能分支1-2			5	1	{2,{3,8}}	rogue3.uav_SkillDes5_1_lv2	射线的破坏值提升{1}%	{100}				{{520311712,1}}
37	5技能分支1-3			5	1	{3,{3,12}}	rogue3.uav_SkillDes5_1_lv3	【寒冰束】每次造成的伤害提升至{1}%	{750}				{{520311713,1}}
38	5技能分支2-1			5	2	{1,{1,4}}	rogue3.uav_SkillDes5_2_lv1	射线造成伤害的间隔提升至{1}秒触发一次	{0.33}				{{520311721,1}}
39	5技能分支2-2			5	2	{2,{1,8}}	rogue3.uav_SkillDes5_2_lv2	射线可以折射1次，以目标最近的目标作为折射对象，折射的断链范围更小，但依然造成全额伤害（主目标断开后，次目标也会断开）					{{520311722,1}}
40	5技能分支2-3			5	2	{3,{1,12}}	rogue3.uav_SkillDes5_2_lv3	每次造成伤害时，还会降低目标{1}%的低温抗性，持续{2}秒，可叠加{3}层	{4,10,20}				{{520311723,1}}
41	6技能初始效果	rogue3.uav_SkillName6	1001081	6	0		rogue3.uav_SkillDes6_0	被动提升玩家{1}%的射击伤害	{25}	2	1	{{7010414,2}}	
42	6技能分支1-1			6	1	{1,{3,4}}	rogue3.uav_SkillDes6_1_lv1	提升数值提高至{1}%	{50}	2	2	{{7010415,2}}	
43	6技能分支1-2			6	1	{2,{3,8}}	rogue3.uav_SkillDes6_1_lv2	玩家射击暴击时恢复{1}%最大生命值，触发间隔{2}	{0.1,0.05}			{{7010416,2}}	
44	6技能分支1-3			6	1	{3,{3,12}}	rogue3.uav_SkillDes6_1_lv3	被动提升玩家{1}%电击伤害加成	{100}			{{7010417,2}}	
45	6技能分支2-1			6	2	{1,{2,4}}	rogue3.uav_SkillDes6_2_lv1	被动提升玩家{1}%的射击速度	{10}			{{7010418,2}}	
46	6技能分支2-2			6	2	{2,{2,8}}	rogue3.uav_SkillDes6_2_lv2	玩家进入射击状态时，受到的伤害减少{1}%	{15}			{{7010419,2}}	
47	6技能分支2-3			6	2	{3,{2,12}}	rogue3.uav_SkillDes6_2_lv3	玩家对boss造成的射击伤害增加{1}%	{100}			{{7010421,2}}	
