任务id	区域id	任务类型（1:区域任务，2:晶簇任务）	失败情况(1:重置状态重新激活任务;2:只重置状态)	货币掉落量	怪物等级偏移	任务文件路径(Content/Blueprints/LevelTask/Tasks/)	任务点名	子关卡逻辑，父目录(/Game/Blueprints/LevelTask/Level/)	触发期数（对应level_time.txt)
206	26	1		800		DLC2Task/Level_Task/02/Level_Task_26.Level_Task_26	point_task_26	DLC2Level/OpenWorldLevel/Level_Task/02/Task_02_06.Task_02_06	3
									
401	41	2		200		DLC2Task/Level_Task/04/Level_Task_41.Level_Task_41	point_task_41	DLC2Level/OpenWorldLevel/Level_Task/04/Task_04_01.Task_04_01	1
402	42	2		200		DLC2Task/Level_Task/04/Level_Task_42.Level_Task_42	point_task_42	DLC2Level/OpenWorldLevel/Level_Task/04/Task_04_02.Task_04_02	3
403	43	1	1	800		DLC2Task/Level_Task/04/Level_Task_43.Level_Task_43	point_task_43	DLC2Level/OpenWorldLevel/Level_Task/04/Task_04_03.Task_04_03	1
404	44	1		800		DLC2Task/Level_Task/04/Level_Task_44.Level_Task_44	point_task_44	DLC2Level/OpenWorldLevel/Level_Task/04/Task_04_04.Task_04_04	2
405	45	2	2	200		DLC2Task/Level_Task/04/Level_Task_45.Level_Task_45	point_task_45	DLC2Level/OpenWorldLevel/Level_Task/04/Task_04_05.Task_04_05	2
406	46	2		200		DLC2Task/Level_Task/04/Level_Task_46.Level_Task_46	point_task_46	DLC2Level/OpenWorldLevel/Level_Task/04/Task_04_06.Task_04_06	3
									
601	61	1		800		DLC2Task/Level_Task/06/Level_Task_61.Level_Task_61	point_task_61	DLC2Level/OpenWorldLevel/Level_Task/06/Task_06_01.Task_06_01	1
602	62	2	2	200		DLC2Task/Level_Task/06/Level_Task_62.Level_Task_62	point_task_62	DLC2Level/OpenWorldLevel/Level_Task/06/Task_06_02.Task_06_02	1
603	63	2	2	200		DLC2Task/Level_Task/06/Level_Task_63.Level_Task_63	point_task_63	DLC2Level/OpenWorldLevel/Level_Task/06/Task_06_03.Task_06_03	2
604	64	2		200		DLC2Task/Level_Task/06/Level_Task_64.Level_Task_64	point_task_64	DLC2Level/OpenWorldLevel/Level_Task/06/Task_06_04.Task_06_04	2
605	65	2		200		DLC2Task/Level_Task/06/Level_Task_65.Level_Task_65	point_task_65	DLC2Level/OpenWorldLevel/Level_Task/06/Task_06_05.Task_06_05	3
606	66	2		200		DLC2Task/Level_Task/06/Level_Task_66.Level_Task_66	point_task_66	DLC2Level/OpenWorldLevel/Level_Task/06/Task_06_06.Task_06_06	3
									
901	91	2		200		DLC2Task/Level_Task/09/Level_Task_91.Level_Task_91	point_task_91	DLC2Level/OpenWorldLevel/Level_Task/09/Task_09_01.Task_09_01	2
902	92	2		200		DLC2Task/Level_Task/09/Level_Task_92.Level_Task_92	point_task_92	DLC2Level/OpenWorldLevel/Level_Task/09/Task_09_02.Task_09_02	2
903	93	2		200		DLC2Task/Level_Task/09/Level_Task_93.Level_Task_93	point_task_93	DLC2Level/OpenWorldLevel/Level_Task/09/Task_09_03.Task_09_03	1
904	94	2		200		DLC2Task/Level_Task/09/Level_Task_94.Level_Task_94	point_task_94	DLC2Level/OpenWorldLevel/Level_Task/09/Task_09_04.Task_09_04	3
905	95	1		800		DLC2Task/Level_Task/09/Level_Task_95.Level_Task_95	point_task_95	DLC2Level/OpenWorldLevel/Level_Task/09/Task_09_05.Task_09_05	1
906	96	1		800		DLC2Task/Level_Task/09/Level_Task_96.Level_Task_96	point_task_96	DLC2Level/OpenWorldLevel/Level_Task/09/Task_09_06.Task_09_06	3
									
1101	111	2		200		DLC2Task/Level_Task/11/Level_Task_111.Level_Task_111	point_task_111	DLC2Level/OpenWorldLevel/Level_Task/11/Task_11_01.Task_11_01	1
1102	112	1		800		DLC2Task/Level_Task/11/Level_Task_112.Level_Task_112	point_task_112	DLC2Level/OpenWorldLevel/Level_Task/11/Task_11_02.Task_11_02	2
1103	113	2		200		DLC2Task/Level_Task/11/Level_Task_113.Level_Task_113	point_task_113	DLC2Level/OpenWorldLevel/Level_Task/11/Task_11_03.Task_11_03	3
									
1201	121	2	2	200		DLC2Task/Level_Task/12/Level_Task_121.Level_Task_121	point_task_121	DLC2Level/OpenWorldLevel/Level_Task/12/Task_12_01.Task_12_01	1
1202	122	2		200		DLC2Task/Level_Task/12/Level_Task_122.Level_Task_122	point_task_122	DLC2Level/OpenWorldLevel/Level_Task/12/Task_12_02.Task_12_02	1
1203	123	1		800		DLC2Task/Level_Task/12/Level_Task_123.Level_Task_123	point_task_123	DLC2Level/OpenWorldLevel/Level_Task/12/Task_12_03.Task_12_03	2
1204	124	1		800		DLC2Task/Level_Task/12/Level_Task_124.Level_Task_124	point_task_124	DLC2Level/OpenWorldLevel/Level_Task/12/Task_12_04.Task_12_04	3
1205	125	2		200		DLC2Task/Level_Task/12/Level_Task_125.Level_Task_125	point_task_125	DLC2Level/OpenWorldLevel/Level_Task/12/Task_12_05.Task_12_05	2
1206	126	2	2	200		DLC2Task/Level_Task/12/Level_Task_126.Level_Task_126	point_task_126	DLC2Level/OpenWorldLevel/Level_Task/12/Task_12_06.Task_12_06	3
									
1301	131	2		200		DLC2Task/Level_Task/13/Level_Task_131.Level_Task_131	point_task_1301	DLC2Level/OpenWorldLevel/Level_Task/13/Task_13_01.Task_13_01	3
1302	132	2		200		DLC2Task/Level_Task/13/Level_Task_132.Level_Task_132	point_task_1302	DLC2Level/OpenWorldLevel/Level_Task/13/Task_13_02.Task_13_02	2
1303	133	2		200		DLC2Task/Level_Task/13/Level_Task_133.Level_Task_133	point_task_1303	DLC2Level/OpenWorldLevel/Level_Task/13/Task_13_03.Task_13_03	2
1304	134	1		800		DLC2Task/Level_Task/13/Level_Task_134.Level_Task_134	point_task_1304	DLC2Level/OpenWorldLevel/Level_Task/13/Task_13_04.Task_13_04	1
1305	135	2		200		DLC2Task/Level_Task/13/Level_Task_135.Level_Task_135	point_task_1305	DLC2Level/OpenWorldLevel/Level_Task/13/Task_13_05.Task_13_05	1
1306	136	1		800		DLC2Task/Level_Task/13/Level_Task_136.Level_Task_136	point_task_1306	DLC2Level/OpenWorldLevel/Level_Task/13/Task_13_06.Task_13_06	3
									
1401	141	2		200		DLC2Task/Level_Task/14/Level_Task_141.Level_Task_141	point_task_141	DLC2Level/OpenWorldLevel/Level_Task/14/Task_14_01.Task_14_01	1
1402	142	2	2	200		DLC2Task/Level_Task/14/Level_Task_142.Level_Task_142	point_task_142	DLC2Level/OpenWorldLevel/Level_Task/14/Task_14_02.Task_14_02	1
1403	143	2		200		DLC2Task/Level_Task/14/Level_Task_143.Level_Task_143	point_task_143	DLC2Level/OpenWorldLevel/Level_Task/14/Task_14_03.Task_14_03	1
1404	144	2	2	200		DLC2Task/Level_Task/14/Level_Task_144.Level_Task_144	point_task_144	DLC2Level/OpenWorldLevel/Level_Task/14/Task_14_04.Task_14_04	3
1405	145	2		200		DLC2Task/Level_Task/14/Level_Task_145.Level_Task_145	point_task_145	DLC2Level/OpenWorldLevel/Level_Task/14/Task_14_05.Task_14_05	2
1406	146	1		800		DLC2Task/Level_Task/14/Level_Task_146.Level_Task_146	point_task_146	DLC2Level/OpenWorldLevel/Level_Task/14/Task_14_06.Task_14_06	2
1407	147	1	1	800		DLC2Task/Level_Task/14/Level_Task_147.Level_Task_147	point_task_147	DLC2Level/OpenWorldLevel/Level_Task/14/Task_14_07.Task_14_07	3
