Id	点名	位置	任务区域	怪物Id	所属设计区域	特殊奖励	任务ID(对应task开启时不刷）
193	mon13_3_2	{5053.4,-40696.1,974.0}	0	4001003	13	0	
194	mon09_16_2	{-14800.8,-16854.8,354.3}	95	4001002	9	0	
195	mon13_4_1	{2032.4,-44769.1,623.1}	0	4001002	13	0	{1301}
196	mon13_4_2	{2505.4,-45580.6,831.0}	0	4001004	13	0	{1301}
197	mon13_5_1	{5276.4,-44769.1,1604.9}	131	5001001	13	0	{1301}
198	mon13_6_1	{5662.5,-49929.9,60.0}	0	4001112	13	0	
199	mon13_6_2	{6231.8,-49531.3,60.0}	0	4001112	13	0	
200	mon13_7_1	{11549.4,-42974.0,247.0}	132	4001108	13	0	{1302,1306}
201	mon13_7_2	{13280.1,-40698.1,247.0}	132	4001108	13	0	{1302,1306}
202	mon13_7_3	{10493.5,-42367.9,247.0}	132	4001108	13	0	{1302,1306}
204	mon13_8_1	{13835.4,-43383.1,860.0}	132	4001114	13	0	{1302,1306}
206	mon13_9_1	{12936.4,-46765.1,938.0}	136	4001102	13	0	{1302,1306}
209	mon14_13_1	{183.1,-66953.9,1192.3}	147	4001108	14	0	{1401,1407}
210	mon14_13_2	{-319.7,-66953.9,1192.3}	147	4001108	14	0	{1401,1407}
211	mon14_14_1	{-3298.7,-73994.2,90.4}	147	4001112	14	0	{1407}
212	mon14_14_2	{-1338.7,-74564.9,1380.4}	147	4001114	14	0	{1407}
213	mon14_15_1	{2226.6,-73414.9,1380.4}	0	4001103	14	0	{1407}
214	mon14_15_2	{1665.7,-73414.9,1380.4}	0	4001112	14	0	{1407}
215	mon14_16_1	{5611.5,-69795.0,780.4}	142	4001103	14	0	{1402}
216	mon14_16_2	{6230.5,-69795.0,780.4}	142	4001112	14	0	{1402}
218	mon14_1_1	{-0.1,-66347.7,60.0}	141	5001101	14	0	{1401,1407}
221	mon14_21_1	{1416.5,-71602.1,-1736.3}	143	4001104	14	0	{1403,1406}
222	mon14_21_2	{1262.0,-71992.7,-1736.3}	143	4001104	14	0	{1403,1406}
224	mon14_22_1	{-4467.4,-69683.3,-1829.4}	144	5001206	14	0	{1404,1406}
226	mon14_23_2	{-5055.4,-74822.5,-2014.6}	146	4001112	14	0	{1406}
227	mon14_23_3	{-5491.3,-74463.7,-2014.6}	146	5003110	14	0	{1406}
228	mon14_2_1	{3699.9,-68368.7,90.4}	0	4001114	14	0	{1401}
229	mon14_2_2	{4099.4,-68150.3,90.4}	0	4001108	14	0	{1401}
230	mon14_3_1	{-5515.3,-69172.7,90.4}	147	4001112	14	0	{1401,1407}
231	mon14_3_2	{-5390.0,-69365.2,90.4}	147	4001114	14	0	{1401,1407}
232	mon14_4_1	{-7985.0,-71366.8,90.4}	147	500110902	14	0	{1407}
235	mon09_6_1	{-12231.7,252.5,80.4}	0	5001001	9	0	
237	mon09_6_3	{-14471.1,1568.3,80.4}	61	4001004	9	0	
238	mon13_12_1	{-461.1,-59038.4,80.4}	0	4001104	13	0	
239	mon13_12_2	{-461.1,-58368.4,80.4}	0	4001104	13	0	
240	mon13_13_1	{288.9,-58198.4,80.4}	0	5002010	13	0	
241	mon13_13_2	{288.9,-58518.4,80.4}	0	4001004	13	0	
242	mon13_13_3	{288.9,-58858.4,80.4}	0	4001004	13	0	
243	mon13_13_4	{288.9,-59188.4,80.4}	0	4001004	13	0	
244	mon13_13_5	{668.9,-58778.4,80.4}	0	4001004	13	0	
