区域名	位置	盒体范围	旋转	顶点A	顶点B	顶点C	顶点D	半径	类型(见region_type_define.txt)	对应的配置Id	形状(1-矩形;2-圆)	区域Id
darkzonetaskregionentry131_1	{5833.58,-43893.94,1637.66}	{2000.0,2000.0,500.0}	{0.0,0.0,0.0}	{7833.58,-41893.94,2137.66}	{3833.58,-41893.94,1637.66}	{3833.58,-45893.94,1137.66}	{7833.58,-45893.94,1637.66}	0.000000	1	131	1	131
darkzonetaskregionentry131_2	{4283.58,-42969.03,1734.88}	{2000.0,1000.0,500.0}	{0.0,0.0,0.0}	{6283.58,-41969.03,2234.88}	{2283.58,-41969.03,1734.88}	{2283.58,-43969.03,1234.88}	{6283.58,-43969.03,1734.88}	0.000000	1	131	1	131
darkzonetaskregionentry132	{13274.32,-42926.46,1146.12}	{3500.0,2750.0,1000.0}	{0.0,0.0,0.0}	{16774.32,-40176.46,2146.12}	{9774.32,-40176.46,1146.12}	{9774.32,-45676.46,146.12}	{16774.32,-45676.46,1146.12}	0.000000	1	132	1	132
darkzonetaskregionentry133	{13024.32,-52128.46,994.12}	{3000.0,2500.0,1000.0}	{0.0,0.0,0.0}	{16024.32,-49628.46,1994.12}	{10024.32,-49628.46,994.12}	{10024.32,-54628.46,-5.87}	{16024.32,-54628.46,994.12}	0.000000	1	133	1	133
darkzonetaskregionentry134_1	{3510.32,-49185.46,-1193.87}	{3500.0,4500.0,1000.0}	{0.0,0.0,0.0}	{7010.32,-44685.46,-193.87}	{10.32,-44685.46,-1193.87}	{10.32,-53685.46,-2193.87}	{7010.32,-53685.46,-1193.87}	0.000000	1	134	1	134
darkzonetaskregionentry134_2	{4727.32,-54383.46,-1193.87}	{1500.0,1000.0,1000.0}	{0.0,0.0,0.0}	{6227.32,-53383.46,-193.87}	{3227.32,-53383.46,-1193.87}	{3227.32,-55383.46,-2193.87}	{6227.32,-55383.46,-1193.87}	0.000000	1	134	1	134
darkzonetaskregionentry134_3	{3670.32,-50685.46,756.12}	{1000.0,1000.0,1000.0}	{0.0,0.0,0.0}	{4670.32,-49685.46,1756.12}	{2670.32,-49685.46,756.12}	{2670.32,-51685.46,-243.87}	{4670.32,-51685.46,756.12}	0.000000	1	134	1	134
darkzonetaskregionentry134_4	{5060.32,-42615.46,-113.87}	{1250.0,2000.0,1000.0}	{0.0,0.0,0.0}	{6310.32,-40615.46,886.12}	{3810.32,-40615.46,-113.87}	{3810.32,-44615.46,-1113.87}	{6310.32,-44615.46,-113.87}	0.000000	1	134	1	134
darkzonetaskregionentry135	{7883.58,-37799.46,460.56}	{3500.0,2500.0,500.0}	{0.0,0.0,0.0}	{11383.58,-35299.46,960.56}	{4383.58,-35299.46,460.56}	{4383.58,-40299.46,-39.43}	{11383.58,-40299.46,460.56}	0.000000	1	135	1	135
darkzonetaskregionentry136	{13064.32,-44516.46,1246.12}	{4250.0,4500.0,1250.0}	{0.0,0.0,0.0}	{17314.32,-40016.46,2496.12}	{8814.32,-40016.46,1246.12}	{8814.32,-49016.46,-3.87}	{17314.32,-49016.46,1246.12}	0.000000	1	136	1	136
darkzonetaskregionentry14	{-42386.62,37152.42,-1114.57}	{2125.0,2000.0,975.0}	{0.0,0.0,0.0}	{-40261.62,39152.42,-139.57}	{-44511.62,39152.42,-1114.57}	{-44511.62,35152.42,-2089.57}	{-40261.62,35152.42,-1114.57}	0.000000	1	14	1	14
darkzonetaskregionentry141	{-8.65,-68191.97,76.26}	{2525.0,1937.5,600.0}	{0.0,0.0,0.0}	{2516.34,-66254.47,676.26}	{-2533.65,-66254.47,76.26}	{-2533.65,-70129.47,-523.73}	{2516.34,-70129.47,76.26}	0.000000	1	141	1	141
darkzonetaskregionentry142	{6608.24,-70474.94,1254.0}	{1675.0,2162.5,862.5}	{0.0,0.0,0.0}	{8283.24,-68312.44,2116.5}	{4933.24,-68312.44,1254.0}	{4933.24,-72637.44,391.5}	{8283.24,-72637.44,1254.0}	0.000000	1	142	1	142
darkzonetaskregionentry143	{1452.69,-68848.22,-1378.78}	{2587.5,3162.5,625.0}	{0.0,0.0,0.0}	{4040.19,-65685.72,-753.78}	{-1134.8,-65685.72,-1378.78}	{-1134.8,-72010.72,-2003.78}	{4040.19,-72010.72,-1378.78}	0.000000	1	143	1	143
darkzonetaskregionentry144	{-4458.94,-68766.98,-1345.0}	{1475.0,1712.5,750.0}	{0.0,0.0,0.0}	{-2983.94,-67054.48,-595.0}	{-5933.94,-67054.48,-1345.0}	{-5933.94,-70479.48,-2095.0}	{-2983.94,-70479.48,-1345.0}	0.000000	1	144	1	144
darkzonetaskregionentry145	{-1946.47,-80481.13,-1313.8}	{2362.5,2662.5,750.0}	{0.0,0.0,0.0}	{416.02,-77818.63,-563.8}	{-4308.97,-77818.63,-1313.8}	{-4308.97,-83143.63,-2063.8}	{416.02,-83143.63,-1313.8}	0.000000	1	145	1	145
darkzonetaskregionentry146	{-5893.02,-76260.36,-1706.12}	{4462.5,5200.0,675.0}	{0.0,0.0,0.0}	{-1430.52,-71060.36,-1031.12}	{-10355.52,-71060.36,-1706.12}	{-10355.52,-81460.36,-2381.12}	{-1430.52,-81460.36,-1706.12}	0.000000	1	146	1	146
darkzonetaskregionentry147	{-5278.87,-67858.23,1009.42}	{5925.0,7075.0,1250.0}	{0.0,0.0,0.0}	{646.12,-60783.23,2259.42}	{-11203.87,-60783.23,1009.42}	{-11203.87,-74933.23,-240.57}	{646.12,-74933.23,1009.42}	0.000000	1	147	1	147
darkzonetaskregionentry15_1	{-44803.58,31472.15,1695.4}	{4825.0,5862.5,2000.0}	{0.0,0.0,0.0}	{-39978.57,37334.65,3695.4}	{-49628.58,37334.65,1695.4}	{-49628.58,25609.65,-304.59}	{-39978.57,25609.65,1695.4}	0.000000	1	15	1	15
darkzonetaskregionentry15_2	{-45373.05,22982.69,1695.39}	{4825.0,6022.11,2000.0}	{0.0,0.0,0.0}	{-40548.05,29004.8,3695.39}	{-50198.05,29004.8,1695.39}	{-50198.05,16960.57,-304.6}	{-40548.05,16960.57,1695.39}	0.000000	1	15	1	15
darkzonetaskregionentry21	{-24568.99,18245.94,1643.14}	{2650.0,1362.5,2012.5}	{0.0,0.0,0.0}	{-21918.99,19608.44,3655.64}	{-27218.99,19608.44,1643.14}	{-27218.99,16883.44,-369.35}	{-21918.99,16883.44,1643.14}	0.000000	1	21	1	21
darkzonetaskregionentry22	{-33028.86,26847.0,476.14}	{1850.0,1000.0,1037.5}	{0.0,0.0,0.0}	{-31178.86,27847.0,1513.64}	{-34878.86,27847.0,476.14}	{-34878.86,25847.0,-561.35}	{-31178.86,25847.0,476.14}	0.000000	1	22	1	22
darkzonetaskregionentry23_1	{-30399.42,20637.8,824.0}	{2587.5,1800.0,1000.0}	{0.0,0.0,0.0}	{-27811.92,22437.8,1824.0}	{-32986.92,22437.8,824.0}	{-32986.92,18837.8,-176.0}	{-27811.92,18837.8,824.0}	0.000000	1	23	1	23
darkzonetaskregionentry23_2	{-34253.63,18801.33,823.98}	{2362.5,1800.0,1000.0}	{0.0,0.0,0.0}	{-31891.13,20601.33,1823.98}	{-36616.13,20601.33,823.98}	{-36616.13,17001.33,-176.01}	{-31891.13,17001.33,823.98}	0.000000	1	23	1	23
darkzonetaskregionentry23_3	{-37132.07,18114.55,823.97}	{1412.5,1100.0,1000.0}	{0.0,0.0,0.0}	{-35719.57,19214.55,1823.97}	{-38544.57,19214.55,823.97}	{-38544.57,17014.55,-176.02}	{-35719.57,17014.55,823.97}	0.000000	1	23	1	23
darkzonetaskregionentry24_1	{-34219.78,22181.6,1720.32}	{2475.0,1562.5,650.0}	{0.0,0.0,0.0}	{-31744.78,23744.1,2370.32}	{-36694.78,23744.1,1720.32}	{-36694.78,20619.1,1070.32}	{-31744.78,20619.1,1720.32}	0.000000	1	24	1	24
darkzonetaskregionentry24_2	{-35841.33,20740.85,1720.31}	{912.5,375.0,650.0}	{0.0,0.0,0.0}	{-34928.83,21115.85,2370.31}	{-36753.83,21115.85,1720.31}	{-36753.83,20365.85,1070.31}	{-34928.83,20365.85,1720.31}	0.000000	1	24	1	24
darkzonetaskregionentry25	{-31300.94,23335.74,1939.0}	{9250.0,6350.0,2000.0}	{0.0,0.0,0.0}	{-22050.94,29685.74,3939.0}	{-40550.94,29685.74,1939.0}	{-40550.94,16985.74,-61.0}	{-22050.94,16985.74,1939.0}	0.000000	1	25	1	25
darkzonetaskregionentry26_1	{-30095.55,23345.74,1750.55}	{8262.5,6350.0,2000.0}	{0.0,0.0,0.0}	{-21833.05,29695.74,3750.55}	{-38358.04,29695.74,1750.55}	{-38358.04,16995.74,-249.44}	{-21833.05,16995.74,1750.55}	0.000000	1	26	1	26
darkzonetaskregionentry41	{-24033.08,4864.91,1046.38}	{625.0,1200.0,287.5}	{0.0,0.0,0.0}	{-23408.08,6064.91,1333.88}	{-24658.08,6064.91,1046.38}	{-24658.08,3664.91,758.88}	{-23408.08,3664.91,1046.38}	0.000000	1	41	1	41
darkzonetaskregionentry42	{-33771.76,6061.73,838.0}	{2325.0,1612.5,775.0}	{0.0,0.0,0.0}	{-31446.76,7674.23,1613.0}	{-36096.76,7674.23,838.0}	{-36096.76,4449.23,63.0}	{-31446.76,4449.23,838.0}	0.000000	1	42	1	42
darkzonetaskregionentry43	{-30381.92,7594.04,144.64}	{6325.0,4962.5,1987.5}	{0.0,0.0,0.0}	{-24056.92,12556.54,2132.14}	{-36706.92,12556.54,144.64}	{-36706.92,2631.54,-1842.85}	{-24056.92,2631.54,144.64}	0.000000	1	43	1	43
darkzonetaskregionentry44	{-37986.27,9962.79,144.64}	{2275.0,2450.0,1987.5}	{0.0,0.0,0.0}	{-35711.27,12412.79,2132.14}	{-40261.27,12412.79,144.64}	{-40261.27,7512.79,-1842.85}	{-35711.27,7512.79,144.64}	0.000000	1	43	1	43
darkzonetaskregionentry44_1	{-29916.78,7578.4,370.86}	{6062.5,5462.5,2000.0}	{0.0,0.0,0.0}	{-23854.28,13040.9,2370.86}	{-35979.28,13040.9,370.86}	{-35979.28,2115.9,-1629.13}	{-23854.28,2115.9,370.86}	0.000000	1	44	1	44
darkzonetaskregionentry44_2	{-21389.26,4986.53,370.86}	{2687.5,3050.0,2000.0}	{0.0,0.0,0.0}	{-18701.76,8036.53,2370.86}	{-24076.76,8036.53,370.86}	{-24076.76,1936.53,-1629.13}	{-18701.76,1936.53,370.86}	0.000000	1	44	1	44
darkzonetaskregionentry45	{-31882.17,11725.73,1199.44}	{1637.5,1100.0,487.5}	{0.0,0.0,0.0}	{-30244.67,12825.73,1686.94}	{-33519.68,12825.73,1199.44}	{-33519.68,10625.73,711.94}	{-30244.67,10625.73,1199.44}	0.000000	1	45	1	45
darkzonetaskregionentry46	{-26387.63,7236.79,829.84}	{1825.0,2362.5,950.0}	{0.0,0.0,0.0}	{-24562.63,9599.29,1779.84}	{-28212.63,9599.29,829.84}	{-28212.63,4874.29,-120.15}	{-24562.63,4874.29,829.84}	0.000000	1	46	1	46
darkzonetaskregionentry61	{-12404.55,7932.47,130.41}	{7000.0,7000.0,2500.0}	{0.0,0.0,0.0}	{-5404.55,14932.47,2630.41}	{-19404.55,14932.47,130.41}	{-19404.55,932.47,-2369.58}	{-5404.55,932.47,130.41}	0.000000	1	61	1	61
darkzonetaskregionentry62	{-9267.92,6626.85,-996.58}	{2250.0,2500.0,2000.0}	{0.0,0.0,0.0}	{-7017.92,9126.85,1003.41}	{-11517.92,9126.85,-996.58}	{-11517.92,4126.85,-2996.58}	{-7017.92,4126.85,-996.58}	0.000000	1	62	1	62
darkzonetaskregionentry64	{-6790.05,13127.08,0.0}	{2250.0,2500.0,2000.0}	{0.0,0.0,0.0}	{-4540.05,15627.08,1999.99}	{-9040.05,15627.08,0.0}	{-9040.05,10627.08,-2000.0}	{-4540.05,10627.08,0.0}	0.000000	1	64	1	64
darkzonetaskregionentry65	{-2584.88,3075.4,0.0}	{2250.0,2500.0,2000.0}	{0.0,0.0,0.0}	{-334.88,5575.4,1999.99}	{-4834.88,5575.4,0.0}	{-4834.88,575.4,-2000.0}	{-334.88,575.4,0.0}	0.000000	1	65	1	65
darkzonetaskregionentry66	{-17369.71,11188.45,-1333.33}	{2250.0,2500.0,2000.0}	{0.0,0.0,0.0}	{-15119.71,13688.45,666.66}	{-19619.71,13688.45,-1333.33}	{-19619.71,8688.45,-3333.33}	{-15119.71,8688.45,-1333.33}	0.000000	1	66	1	66
darkzonetaskregionentry67	{-12927.66,9395.1,-1182.73}	{2250.0,2500.0,2000.0}	{0.0,0.0,0.0}	{-10677.66,11895.1,817.26}	{-15177.66,11895.1,-1182.73}	{-15177.66,6895.1,-3182.73}	{-10677.66,6895.1,-1182.73}	0.000000	1	63	1	63
darkzonetaskregionentry91_1	{-15547.0,-8276.0,-1230.0}	{2000.0,2000.0,250.0}	{0.0,0.0,0.0}	{-13547.0,-6276.0,-980.0}	{-17547.0,-6276.0,-1230.0}	{-17547.0,-10276.0,-1480.0}	{-13547.0,-10276.0,-1230.0}	0.000000	1	91	1	91
darkzonetaskregionentry92_1	{-15051.99,-3420.99,868.24}	{2500.0,2500.0,1000.0}	{0.0,0.0,0.0}	{-12551.99,-920.99,1868.24}	{-17551.99,-920.99,868.24}	{-17551.99,-5920.99,-131.75}	{-12551.99,-5920.99,868.24}	0.000000	1	92	1	92
darkzonetaskregionentry93_1	{-9605.99,-3204.99,-640.75}	{2250.0,2000.0,500.0}	{0.0,0.0,0.0}	{-7355.99,-1204.99,-140.75}	{-11855.99,-1204.99,-640.75}	{-11855.99,-5204.99,-1140.75}	{-7355.99,-5204.99,-640.75}	0.000000	1	93	1	93
darkzonetaskregionentry94_1	{-3712.99,-4719.99,640.24}	{2000.0,4000.0,750.0}	{0.0,0.0,0.0}	{-1712.99,-719.99,1390.24}	{-5712.99,-719.99,640.24}	{-5712.99,-8719.99,-109.75}	{-1712.99,-8719.99,640.24}	0.000000	1	94	1	94
darkzonetaskregionentry95_1	{-12031.99,-11679.99,1261.24}	{6000.0,5000.0,1250.0}	{0.0,0.0,0.0}	{-6031.99,-6679.99,2511.24}	{-18031.99,-6679.99,1261.24}	{-18031.99,-16679.99,11.24}	{-6031.99,-16679.99,1261.24}	0.000000	1	95	1	95
darkzonetaskregionentry95_2	{-14451.99,-16664.99,479.24}	{750.0,500.0,500.0}	{0.0,0.0,0.0}	{-13701.99,-16164.99,979.24}	{-15201.99,-16164.99,479.24}	{-15201.99,-17164.99,-20.75}	{-13701.99,-17164.99,479.24}	0.000000	1	95	1	95
darkzonetaskregionentry96	{-10031.99,-5859.99,851.24}	{3500.0,5500.0,2000.0}	{0.0,0.0,0.0}	{-6531.99,-359.99,2851.24}	{-13531.99,-359.99,851.24}	{-13531.99,-11359.99,-1148.75}	{-6531.99,-11359.99,851.24}	0.000000	1	96	1	96
darkzonetaskregionentry96_1	{-12611.99,-7809.99,851.24}	{6000.0,3500.0,2000.0}	{0.0,0.0,0.0}	{-6611.99,-4309.99,2851.24}	{-18611.99,-4309.99,851.24}	{-18611.99,-11309.99,-1148.75}	{-6611.99,-11309.99,851.24}	0.000000	1	96	1	96
darkzonetaskregionexit111_1	{34.9,-33537.34,-0.05}	{3162.5,3475.0,1637.5}	{0.0,0.0,0.0}	{3197.4,-30062.34,1637.44}	{-3127.59,-30062.34,-0.05}	{-3127.59,-37012.34,-1637.55}	{3197.4,-37012.34,-0.05}	0.000000	2	111	1	111
darkzonetaskregionexit112_1	{-2306.27,-24334.92,920.28}	{8237.5,7687.5,2500.0}	{0.0,0.0,0.0}	{5931.22,-16647.42,3420.28}	{-10543.77,-16647.42,920.28}	{-10543.77,-32022.42,-1579.71}	{5931.22,-32022.42,920.28}	0.000000	2	112	1	112
darkzonetaskregionexit112_2	{22.11,-34074.84,920.28}	{4500.0,6125.0,2500.0}	{0.0,0.0,0.0}	{4522.11,-27949.84,3420.28}	{-4477.88,-27949.84,920.28}	{-4477.88,-40199.84,-1579.71}	{4522.11,-40199.84,920.28}	0.000000	2	112	1	112
darkzonetaskregionexit112_3	{-1757.88,-12944.84,920.28}	{1000.0,1000.0,2500.0}	{0.0,0.0,0.0}	{-757.88,-11944.84,3420.28}	{-2757.88,-11944.84,920.28}	{-2757.88,-13944.84,-1579.71}	{-757.88,-13944.84,920.28}	0.000000	2	112	1	112
darkzonetaskregionexit112_4	{1127.07,-16508.5,920.28}	{2500.0,4996.12,2500.0}	{0.0,0.0,0.0}	{3627.07,-11512.37,3420.28}	{-1372.92,-11512.37,920.28}	{-1372.92,-21504.62,-1579.71}	{3627.07,-21504.62,920.28}	0.000000	2	112	1	112
darkzonetaskregionexit112_5	{-7081.67,-15667.22,920.28}	{1225.0,1375.0,2500.0}	{0.0,0.0,0.0}	{-5856.67,-14292.22,3420.28}	{-8306.67,-14292.22,920.28}	{-8306.67,-17042.22,-1579.71}	{-5856.67,-17042.22,920.28}	0.000000	2	112	1	112
darkzonetaskregionexit113_1	{-53.17,-21983.63,-0.05}	{3162.5,3500.0,1637.5}	{0.0,0.0,0.0}	{3109.32,-18483.63,1637.44}	{-3215.67,-18483.63,-0.05}	{-3215.67,-25483.63,-1637.55}	{3109.32,-25483.63,-0.05}	0.000000	2	113	1	113
darkzonetaskregionexit11_1	{-43158.15,30950.86,15.0}	{5000.0,3687.5,2500.0}	{0.0,0.0,0.0}	{-38158.15,34638.36,2515.0}	{-48158.15,34638.36,15.0}	{-48158.15,27263.36,-2484.99}	{-38158.15,27263.36,15.0}	0.000000	2	11	1	11
darkzonetaskregionexit1211	{-4216.56,-43089.58,0.0}	{3500.0,3750.0,2000.0}	{0.0,0.0,0.0}	{-716.56,-39339.58,1999.99}	{-7716.57,-39339.58,0.0}	{-7716.57,-46839.58,-2000.0}	{-716.56,-46839.58,0.0}	0.000000	2	121	1	121
darkzonetaskregionexit1221	{-5329.84,-50599.7,0.0}	{4750.0,3750.0,2000.0}	{0.0,0.0,0.0}	{-579.84,-46849.7,1999.99}	{-10079.84,-46849.7,0.0}	{-10079.84,-54349.7,-2000.0}	{-579.84,-54349.7,0.0}	0.000000	2	122	1	122
darkzonetaskregionexit1231	{-12576.52,-51707.19,0.0}	{5000.0,4000.0,2500.0}	{0.0,0.0,0.0}	{-7576.52,-47707.19,2499.99}	{-17576.52,-47707.19,0.0}	{-17576.52,-55707.19,-2500.0}	{-7576.52,-55707.19,0.0}	0.000000	2	123	1	123
darkzonetaskregionexit1241	{-9793.35,-45080.06,-1526.33}	{7000.0,6000.0,4000.0}	{0.0,0.0,0.0}	{-2793.35,-39080.06,2473.66}	{-16793.35,-39080.06,-1526.33}	{-16793.35,-51080.06,-5526.33}	{-2793.35,-51080.06,-1526.33}	0.000000	2	124	1	124
darkzonetaskregionexit1251	{-12866.57,-47899.58,0.0}	{4000.0,4500.0,2500.0}	{0.0,0.0,0.0}	{-8866.57,-43399.58,2499.99}	{-16866.57,-43399.58,0.0}	{-16866.57,-52399.58,-2500.0}	{-8866.57,-52399.58,0.0}	0.000000	2	125	1	125
darkzonetaskregionexit1261	{-13836.57,-54089.58,0.0}	{4000.0,4500.0,2500.0}	{0.0,0.0,0.0}	{-9836.57,-49589.58,2499.99}	{-17836.57,-49589.58,0.0}	{-17836.57,-58589.58,-2500.0}	{-9836.57,-58589.58,0.0}	0.000000	2	126	1	126
darkzonetaskregionexit12_1	{-44294.1,19823.97,14.96}	{4887.5,3025.0,2500.0}	{0.0,0.0,0.0}	{-39406.6,22848.97,2514.96}	{-49181.6,22848.97,14.96}	{-49181.6,16798.97,-2485.03}	{-39406.6,16798.97,14.96}	0.000000	2	12	1	12
darkzonetaskregionexit131_1	{5223.58,-44066.77,2055.55}	{3600.0,2500.0,1000.0}	{0.0,0.0,0.0}	{8823.58,-41566.77,3055.55}	{1623.58,-41566.77,2055.55}	{1623.58,-46566.77,1055.55}	{8823.58,-46566.77,2055.55}	0.000000	2	131	1	131
darkzonetaskregionexit132_1	{13374.46,-43326.02,1003.42}	{4500.0,3250.0,1000.0}	{0.0,0.0,0.0}	{17874.46,-40076.02,2003.42}	{8874.46,-40076.02,1003.42}	{8874.46,-46576.02,3.42}	{17874.46,-46576.02,1003.42}	0.000000	2	132	1	132
darkzonetaskregionexit133_1	{13264.46,-52153.02,1003.42}	{3500.0,3250.0,1000.0}	{0.0,0.0,0.0}	{16764.46,-48903.02,2003.42}	{9764.46,-48903.02,1003.42}	{9764.46,-55403.02,3.42}	{16764.46,-55403.02,1003.42}	0.000000	2	133	1	133
darkzonetaskregionexit134_1	{4934.46,-49775.02,-944.57}	{5000.0,5000.0,750.0}	{0.0,0.0,0.0}	{9934.46,-44775.02,-194.57}	{-65.53,-44775.02,-944.57}	{-65.53,-54775.02,-1694.57}	{9934.46,-54775.02,-944.57}	0.000000	2	134	1	134
darkzonetaskregionexit134_2	{5060.32,-43265.46,-403.87}	{2000.0,3000.0,1500.0}	{0.0,0.0,0.0}	{7060.32,-40265.46,1096.12}	{3060.32,-40265.46,-403.87}	{3060.32,-46265.46,-1903.87}	{7060.32,-46265.46,-403.87}	0.000000	2	134	1	134
darkzonetaskregionexit135_1	{8304.46,-38035.02,485.42}	{5000.0,3000.0,500.0}	{0.0,0.0,0.0}	{13304.46,-35035.02,985.42}	{3304.46,-35035.02,485.42}	{3304.46,-41035.02,-14.57}	{13304.46,-41035.02,485.42}	0.000000	2	135	1	135
darkzonetaskregionexit136_1	{13674.46,-44345.02,885.42}	{5000.0,5000.0,1500.0}	{0.0,0.0,0.0}	{18674.46,-39345.02,2385.42}	{8674.46,-39345.02,885.42}	{8674.46,-49345.02,-614.57}	{18674.46,-49345.02,885.42}	0.000000	2	136	1	136
darkzonetaskregionexit13_1	{-42687.67,26856.96,493.25}	{1975.0,2775.0,2500.0}	{0.0,0.0,0.0}	{-40712.66,29631.96,2993.25}	{-44662.67,29631.96,493.25}	{-44662.67,24081.96,-2006.74}	{-40712.66,24081.96,493.25}	0.000000	2	13	1	13
darkzonetaskregionexit141_1	{-36.24,-67477.1,602.84}	{3025.0,2987.5,587.5}	{0.0,0.0,0.0}	{2988.75,-64489.6,1190.34}	{-3061.24,-64489.6,602.84}	{-3061.24,-70464.6,15.34}	{2988.75,-70464.6,602.84}	0.000000	2	141	1	141
darkzonetaskregionexit142_1	{6608.24,-70319.25,1092.35}	{1937.5,3737.5,1100.0}	{0.0,0.0,0.0}	{8545.74,-66581.75,2192.35}	{4670.74,-66581.75,1092.35}	{4670.74,-74056.75,-7.64}	{8545.74,-74056.75,1092.35}	0.000000	2	142	1	142
