所属区域	Id(程序自动生成)	点名	位置	旋转	类型	对应的配置Id	自定义参数	所属设计区域
	70	int01_104_2	{-42352.0,17113.98,120.69}	{0.0,0.0,0.0}	1	104		1
	71	int01_104_3	{-42776.06,25354.95,421.7}	{0.0,0.0,0.0}	1	104		1
	72	int01_104_4	{-40345.57,21428.95,543.85}	{0.0,0.0,165.0}	1	104		1
	73	int01_104_5	{-41378.0,25276.98,681.0}	{0.0,0.0,0.0}	1	104		1
	74	int01_104_6	{-42442.82,23199.78,521.67}	{0.0,0.0,90.0}	1	104		1
	75	int01_104_7	{-40635.55,28740.13,496.83}	{0.0,0.0,0.0}	1	104		1
	76	int01_104_8	{-40908.78,33513.67,145.13}	{0.0,0.0,0.0}	1	104		1
	77	int01_104_9	{-41731.53,29495.93,79.1}	{0.0,0.0,0.0}	1	104		1
	78	int01_110_1	{-40066.02,17617.44,15.24}	{0.0,0.0,0.0}	1	110	{7129}	1
	79	int01_110_2	{-44342.06,40592.59,15.24}	{0.0,0.0,0.0}	1	110	{7505}	1
	80	int01_110_3	{-35165.16,33016.88,-1618.03}	{0.0,0.0,70.0}	1	110	{7132}	1
	81	int01_111_1	{-35618.89,32736.95,-1710.24}	{0.0,0.0,-60.0}	1	111	{7611}	1



Int02	82	int02_101_1	{-24686.48,19044.77,14.84}	{0.0,0.0,-143.22}	1	101	{21}	2
	83	int02_101_2	{-34209.75,27005.99,14.84}	{0.0,0.0,0.0}	1	101	{22}	2
	84	int02_101_3	{-28426.57,22073.39,620.0}	{0.0,0.0,-46.28}	1	101	{23}	2
	85	int02_101_4	{-35435.36,22823.27,1130.18}	{0.0,0.0,-51.03}	1	101	{24}	2
	86	int02_102_10	{-38140.0,20589.19,26.04}	{-5.72,29.49,78.49}	1	102		2
	87	int02_102_11	{-31930.85,25238.91,613.66}	{-20.0,0.0,0.0}	1	102		2
	88	int02_102_12	{-33850.1,22940.99,1064.56}	{166.61,-36.29,-100.96}	1	102		2
	89	int02_102_13	{-35811.9,18405.22,1065.53}	{5.23,11.15,0.0}	1	102		2
	90	int02_102_14	{-25245.36,19929.49,18.91}	{-19.53,-16.15,-9.06}	1	102		2
	91	int02_102_15	{-30388.87,17421.54,12.1}	{10.56,1.77,0.0}	1	102		2
	92	int02_102_16	{-33704.53,17062.38,14.84}	{20.97,-13.63,38.09}	1	102		2
	93	int02_102_17	{-30382.8,22365.99,20.09}	{0.0,-35.63,0.0}	1	102		2
	94	int02_102_18	{-32352.39,24323.99,28.81}	{-32.55,0.0,0.0}	1	102		2
	95	int02_102_19	{-24005.43,29614.55,585.97}	{-80.59,3.4,-19.71}	1	102		2
	96	int02_102_20	{-28516.2,26233.2,33.55}	{41.05,0.0,0.0}	1	102		2
	97	int02_102_22	{-35716.75,22780.73,576.24}	{7.61,34.13,0.63}	1	102		2
	98	int02_102_23	{-28978.71,20323.05,628.91}	{11.17,28.02,92.79}	1	102		2
	99	int02_102_24	{-35086.69,24425.1,14.84}	{0.0,8.6,63.69}	1	102		2
	100	int02_102_25	{-29205.0,25430.43,222.08}	{0.0,20.0,90.0}	1	102		2
	101	int02_102_27	{-26459.09,17113.82,13.24}	{21.16,15.95,89.99}	1	102		2
	102	int02_102_28	{-28672.98,27891.12,12.57}	{0.0,-29.99,90.0}	1	102		2
	103	int02_102_29	{-25232.28,27012.36,131.53}	{15.86,0.0,90.0}	1	102		2
	104	int02_102_3	{-33825.15,18707.9,1153.98}	{30.0,0.0,10.0}	1	102		2
	105	int02_102_31	{-27057.57,23174.05,555.84}	{38.25,0.0,0.0}	1	102		2
	106	int02_102_32	{-32155.0,28959.99,338.0}	{0.0,-17.54,0.0}	1	102		2
	107	int02_102_33	{-27149.93,28524.99,1.19}	{0.0,-32.52,0.0}	1	102		2
	108	int02_102_34	{-30301.58,29605.76,562.78}	{-55.43,-15.63,-25.83}	1	102		2
	109	int02_102_36	{-38005.86,23491.7,17.08}	{6.18,-5.91,0.3}	1	102		2
	110	int02_102_37	{-31777.69,22769.98,481.73}	{-179.99,-29.99,-179.99}	1	102		2
	112	int02_102_39	{-37547.68,29362.0,207.39}	{4.01,-18.07,-1.24}	1	102		2
	113	int02_102_40	{-38668.63,27214.99,1.36}	{0.0,-10.56,0.0}	1	102		2
	115	int02_102_42	{-32287.31,18266.65,1070.25}	{-2.8,-8.67,0.9}	1	102		2
	116	int02_102_43	{-38303.15,22712.03,53.97}	{6.44,10.24,2.86}	1	102		2
	117	int02_102_44	{-34775.66,18845.75,26.85}	{0.0,-30.31,0.0}	1	102		2
	118	int02_102_45	{-33460.9,24417.0,619.96}	{0.0,30.0,0.0}	1	102		2
	119	int02_102_46	{-30454.06,24368.17,1214.14}	{0.0,-14.14,-52.51}	1	102		2
	120	int02_102_47	{-29077.58,22387.53,1220.93}	{-40.28,3.4,-29.4}	1	102		2
	121	int02_102_48	{-27223.21,22376.63,1217.26}	{-16.09,-11.45,3.27}	1	102		2
	122	int02_102_49	{-29051.15,18895.89,1217.26}	{13.09,16.54,3.79}	1	102		2
	123	int02_102_5	{-37900.31,17640.42,18.25}	{4.54,-7.18,-0.56}	1	102		2
	124	int02_102_50	{-25792.49,19066.34,24.98}	{-12.18,-10.22,2.19}	1	102		2
	125	int02_102_51	{-32163.75,27654.85,19.33}	{30.75,0.0,-10.23}	1	102		2
	126	int02_102_53	{-32285.58,26249.92,24.06}	{43.23,0.0,0.0}	1	102		2
	127	int02_102_54	{-38921.0,19598.33,298.37}	{14.02,-24.91,-94.26}	1	102		2
	128	int02_102_55	{-34800.36,20807.11,1125.26}	{-17.47,-1.91,175.26}	1	102		2
	129	int02_102_56	{-34819.51,19925.9,1068.76}	{-17.47,-1.91,-114.47}	1	102		2
	130	int02_102_57	{-31981.42,21197.55,24.11}	{-28.34,-20.49,-9.57}	1	102		2
	131	int02_102_60	{-35019.27,25753.99,1227.36}	{0.0,36.34,0.0}	1	102		2
	132	int02_102_7	{-36678.58,25961.86,21.73}	{8.29,-39.27,117.03}	1	102		2
	133	int02_102_9	{-33898.54,27452.06,727.64}	{30.0,0.0,0.0}	1	102		2
	134	int02_103_1	{-38346.0,15107.98,393.85}	{0.0,0.0,0.0}	1	103	{7208}	2
	135	int02_103_2	{-29650.96,17557.39,91.92}	{0.0,0.0,0.0}	1	103	{7216}	2
	136	int02_103_3	{-29690.6,19653.0,14.83}	{0.0,0.0,0.0}	1	103	{7218}	2
	137	int02_104_1	{-26258.0,24671.98,388.64}	{0.0,0.0,90.0}	1	104		2
	138	int02_104_10	{-32593.47,29409.82,40.33}	{0.0,0.0,90.0}	1	104		2
	139	int02_104_11	{-22324.73,18256.77,46.54}	{0.0,0.0,90.0}	1	104		2
	140	int02_104_12	{-36745.49,27233.99,168.05}	{0.0,0.0,90.0}	1	104		2
	141	int02_104_2	{-36202.0,20744.98,786.24}	{0.0,0.0,90.0}	1	104		2
	142	int02_104_3	{-28091.59,27376.23,176.84}	{0.0,0.0,90.0}	1	104		2
	143	int02_104_4	{-36207.3,19133.2,436.24}	{0.0,0.0,90.0}	1	104		2
	144	int02_104_5	{-34767.29,24852.56,645.03}	{0.0,0.0,90.0}	1	104		2
	145	int02_104_6	{-36693.85,17205.94,34.37}	{0.0,0.0,90.0}	1	104		2
	146	int02_104_7	{-30750.1,21452.94,311.64}	{0.0,0.0,90.0}	1	104		2
	147	int02_104_8	{-33053.72,22229.76,584.24}	{0.0,0.0,90.0}	1	104		2
	148	int02_104_9	{-27045.44,19382.85,571.1}	{0.0,0.0,90.0}	1	104		2
	149	int02_110_1	{-37705.0,18143.98,375.19}	{0.0,0.0,0.0}	1	110	{7137}	2
	150	int02_110_2	{-24476.0,17207.98,90.62}	{0.0,0.0,0.0}	1	110	{7141}	2



Int04	151	int04_101_1	{-34675.79,7296.54,294.82}	{0.0,0.0,-50.08}	1	101	{42}	4
	152	int04_101_2	{-24364.24,5771.44,918.12}	{0.0,0.0,-41.01}	1	101	{41}	4
	153	int04_101_3	{-32634.86,11284.33,897.27}	{0.0,0.0,90.16}	1	101	{45}	4
	154	int04_101_4	{-26512.65,6897.71,144.57}	{0.0,0.0,-138.08}	1	101	{46}	4
	155	int04_102_1	{-35273.25,8500.57,30.92}	{20.0,-39.99,0.0}	1	102		4
	156	int04_102_10	{-25235.9,11543.97,167.61}	{-39.99,0.0,-70.0}	1	102		4
	157	int04_102_11	{-25235.9,10333.97,1327.61}	{-129.99,19.99,-59.99}	1	102		4
	158	int04_102_12	{-29623.5,2609.84,1777.33}	{119.85,1.72,30.14}	1	102		4
	159	int04_102_13	{-29603.41,5125.93,939.57}	{0.0,-49.99,-50.0}	1	102		4
	160	int04_102_14	{-29385.22,9172.93,163.55}	{33.73,6.67,41.11}	1	102		4
	161	int04_102_15	{-25748.55,6054.02,166.3}	{-49.56,7.64,46.46}	1	102		4
	162	int04_102_16	{-26255.78,3655.53,484.57}	{-179.99,-39.99,-139.99}	1	102		4
	163	int04_102_17	{-34035.78,11365.53,34.25}	{5.22,47.1,63.14}	1	102		4
	164	int04_102_18	{-34015.78,8795.53,34.25}	{5.22,47.1,-46.85}	1	102		4
	165	int04_102_19	{-33890.78,12947.91,443.16}	{-3.61,39.43,27.06}	1	102		4
	166	int04_102_2	{-36023.81,8850.1,860.93}	{76.09,45.24,-131.72}	1	102		4
	167	int04_102_20	{-31947.27,10665.88,899.23}	{19.71,-3.4,-50.59}	1	102		4
	168	int04_102_21	{-31531.85,12344.5,976.67}	{-25.68,-28.3,-105.76}	1	102		4
	169	int04_102_22	{-29984.53,12362.48,493.87}	{-25.68,-28.3,-5.76}	1	102		4
	170	int04_102_23	{-27968.37,12582.19,819.04}	{-168.6,-54.93,-53.57}	1	102		4
	171	int04_102_24	{-25267.17,11698.77,1811.36}	{-133.08,52.64,-136.09}	1	102		4
	172	int04_102_25	{-30076.2,8436.07,972.04}	{47.71,21.41,24.55}	1	102		4
	173	int04_102_26	{-32587.92,7477.92,306.01}	{8.01,-33.48,66.67}	1	102		4
	174	int04_102_27	{-34255.36,5114.08,306.01}	{-7.09,-18.74,61.17}	1	102		4
	175	int04_102_28	{-32091.19,4491.53,1113.57}	{-99.03,21.19,-140.75}	1	102		4
	176	int04_102_29	{-29488.68,4493.06,435.65}	{-37.12,11.03,-161.77}	1	102		4
	177	int04_102_3	{-36049.55,5982.73,787.6}	{-107.13,-70.34,141.98}	1	102		4
	178	int04_102_30	{-28141.12,6112.62,949.45}	{88.21,-4.56,-126.73}	1	102		4
	179	int04_102_31	{-31825.91,2867.03,950.81}	{17.67,-12.77,-166.92}	1	102		4
	180	int04_102_32	{-29600.71,2473.27,938.42}	{-9.44,19.05,41.74}	1	102		4
	181	int04_102_33	{-26614.59,2116.89,1487.29}	{0.0,-39.99,170.0}	1	102		4
	182	int04_102_34	{-23880.03,3053.28,953.33}	{0.0,-39.99,-159.99}	1	102		4
	183	int04_102_35	{-24656.8,6023.76,873.52}	{70.07,13.35,110.92}	1	102		4
	184	int04_102_36	{-23767.72,3940.96,916.9}	{27.03,-0.28,-100.05}	1	102		4
	185	int04_102_37	{-23617.48,5587.4,39.69}	{24.16,-14.61,-139.35}	1	102		4
	186	int04_102_38	{-27186.55,3328.42,1001.08}	{10.0,-39.99,30.0}	1	102		4
	187	int04_102_39	{-27577.21,8321.34,182.15}	{-22.79,-28.02,11.17}	1	102		4
	188	int04_102_4	{-36010.37,11992.71,774.94}	{-118.34,-29.49,67.6}	1	102		4
	189	int04_102_40	{-36902.04,9380.28,17.0}	{-10.64,31.23,-87.01}	1	102		4
	190	int04_102_41	{-35370.09,9345.0,17.0}	{16.29,-28.89,101.74}	1	102		4
	191	int04_102_42	{-25690.78,12909.72,636.7}	{-30.0,0.0,0.0}	1	102		4
	192	int04_102_5	{-32019.67,12975.39,854.49}	{171.71,-53.19,-27.15}	1	102		4
	193	int04_102_6	{-33149.51,11074.44,24.24}	{-42.5,9.84,61.51}	1	102		4
	194	int04_102_7	{-32019.51,10734.44,584.24}	{-127.89,42.28,-104.26}	1	102		4
	195	int04_102_8	{-26112.6,8442.5,164.57}	{0.0,-49.99,100.0}	1	102		4
	196	int04_102_9	{-26995.9,12183.97,167.61}	{-53.16,15.18,58.23}	1	102		4
	197	int04_104_1	{-33604.95,11813.06,441.4}	{0.0,0.0,0.0}	1	104		4
	198	int04_104_10	{-26393.4,3646.69,943.38}	{0.0,0.0,0.0}	1	104		4
	199	int04_104_11	{-24994.96,11952.68,636.7}	{0.0,0.0,0.0}	1	104		4
	200	int04_104_12	{-23466.4,5076.97,922.88}	{0.0,0.0,0.0}	1	104		4
	201	int04_104_2	{-29658.2,12897.95,483.18}	{0.0,0.0,0.0}	1	104		4
	202	int04_104_3	{-21934.5,11373.02,14.25}	{0.0,0.0,0.0}	1	104		4
	203	int04_104_4	{-25587.33,8901.26,144.57}	{0.0,0.0,0.0}	1	104		4
	204	int04_104_5	{-27228.37,10684.23,636.7}	{0.0,0.0,0.0}	1	104		4
	205	int04_104_7	{-31353.84,8473.44,917.5}	{0.0,0.0,0.0}	1	104		4
	206	int04_104_8	{-28653.68,5604.85,939.99}	{0.0,0.0,0.0}	1	104		4
	207	int04_104_9	{-34478.42,3314.11,937.33}	{0.0,0.0,0.0}	1	104		4
	208	int04_107_1	{-39043.54,12057.23,0.0}	{0.0,0.0,-90.0}	1	107		4
	209	int04_110_1	{-30046.0,10737.98,896.44}	{0.0,0.0,-90.0}	1	110	{7125}	4
	210	int04_110_2	{-33036.0,2857.98,937.33}	{0.0,0.0,0.0}	1	110	{7126}	4
	211	int04_110_3	{-27236.0,3247.98,1469.15}	{0.0,0.0,0.0}	1	110	{7127}	4
	212	int04_110_4	{-24116.0,12378.44,636.7}	{0.0,0.0,-90.0}	1	110	{7130}	4
	213	int04_110_5	{-36636.0,7387.98,457.6}	{0.0,0.0,0.0}	1	110	{7131}	4



Int06	214	int06_101_1	{-9079.11,5576.37,543.2}	{0.0,0.0,90.0}	1	101	{62}	6
	215	int06_101_2	{-13357.06,8195.82,-1156.84}	{0.0,0.0,44.99}	1	101	{63}	6
	216	int06_101_3	{-6308.42,13018.52,544.92}	{0.0,0.0,90.0}	1	101	{64}	6
	217	int06_101_4	{-2383.06,4117.16,10.66}	{0.0,0.0,90.0}	1	101	{65}	6
	1	int06_101_5	{-17169.54,11013.14,15.14}	{0.0,0.0,90.0}	1	101	{66}	6
	218	int06_102_1	{-17056.0,1305.4,771.07}	{0.0,0.0,179.99}	1	102		6
	219	int06_102_10	{-12783.43,7535.57,-1151.66}	{0.0,0.0,90.0}	1	102		6
	220	int06_102_11	{-13801.5,6565.02,-1153.05}	{0.0,0.0,90.0}	1	102		6
	221	int06_102_12	{-14688.83,9070.99,-1154.24}	{0.0,0.0,-45.0}	1	102		6
	222	int06_102_13	{-6317.36,12317.91,1012.48}	{0.0,0.0,90.0}	1	102		6
	223	int06_102_14	{-5685.2,13126.79,1008.1}	{0.0,0.0,90.0}	1	102		6
	224	int06_102_15	{-3137.41,9814.83,539.73}	{0.0,0.0,0.0}	1	102		6
	225	int06_102_16	{-17500.91,3709.58,15.14}	{0.0,0.0,179.99}	1	102		6
	248	int06_102_17	{-15605.24,935.59,146.3}	{0.0,0.0,179.99}	1	102		6
	337	int06_102_18	{-14071.73,880.96,0.0}	{0.0,0.0,179.99}	1	102		6
	583	int06_102_19	{-8496.15,3491.93,544.84}	{0.0,0.0,179.99}	1	102		6
	226	int06_102_2	{-14430.58,987.73,278.1}	{0.0,0.0,90.0}	1	102		6
	584	int06_102_20	{-12126.04,2404.69,330.53}	{173.27,90.0,-6.72}	1	102		6
	585	int06_102_21	{-11920.04,3156.47,521.75}	{0.0,0.0,179.99}	1	102		6
	586	int06_102_22	{-12739.74,10187.98,-512.94}	{0.0,0.0,179.99}	1	102		6
	587	int06_102_23	{-9804.47,12144.68,-130.57}	{0.0,0.0,179.99}	1	102		6
	588	int06_102_24	{-9126.45,10111.03,-129.65}	{0.0,0.0,179.99}	1	102		6
	589	int06_102_25	{-7611.95,12763.59,411.14}	{0.0,0.0,179.99}	1	102		6
	590	int06_102_26	{-4886.62,15586.84,955.92}	{179.99,0.0,179.99}	1	102		6
	591	int06_102_27	{-3858.2,12085.03,870.14}	{179.99,0.0,179.99}	1	102		6
	592	int06_102_28	{-2012.28,12622.62,15.14}	{0.0,0.0,179.99}	1	102		6
	593	int06_102_29	{-2694.68,9960.29,15.14}	{0.0,0.0,179.99}	1	102		6
	227	int06_102_3	{-18702.5,4258.19,15.23}	{0.0,0.0,90.0}	1	102		6
	594	int06_102_30	{-1443.27,6776.23,351.49}	{0.0,0.0,179.99}	1	102		6
	595	int06_102_31	{-4350.38,6358.73,15.14}	{0.0,0.0,179.99}	1	102		6
	596	int06_102_32	{-5517.52,3945.3,1007.79}	{0.0,0.0,179.99}	1	102		6
	597	int06_102_33	{-6949.23,2021.38,273.09}	{0.0,0.0,179.99}	1	102		6
	598	int06_102_34	{-9192.88,4023.96,917.13}	{0.0,0.0,179.99}	1	102		6
	599	int06_102_35	{-9849.99,5431.26,484.92}	{179.99,0.0,179.99}	1	102		6
	600	int06_102_36	{-11685.93,8412.64,197.3}	{0.0,0.0,179.99}	1	102		6
	601	int06_102_37	{-14675.4,9425.63,197.3}	{0.0,0.0,179.99}	1	102		6
	602	int06_102_38	{-17677.08,12546.03,1707.53}	{0.0,0.0,179.99}	1	102		6
	603	int06_102_39	{-12419.22,12748.11,-129.65}	{0.0,0.0,179.99}	1	102		6
	228	int06_102_4	{-16096.41,5753.54,-129.23}	{0.0,0.0,5.0}	1	102		6
	604	int06_102_40	{-8855.93,14541.7,62.5}	{0.0,0.0,179.99}	1	102		6
	605	int06_102_41	{-7849.5,7954.84,15.14}	{0.0,0.0,179.99}	1	102		6
	606	int06_102_42	{-7604.55,7068.76,543.6}	{0.0,0.0,179.99}	1	102		6
	607	int06_102_43	{-16193.58,3659.85,423.81}	{0.0,0.0,179.99}	1	102		6
	608	int06_102_44	{-18679.74,5385.86,15.14}	{0.0,0.0,179.99}	1	102		6
	609	int06_102_45	{-18519.12,2286.45,15.14}	{0.0,0.0,179.99}	1	102		6
	229	int06_102_5	{-13512.53,3943.44,11.16}	{0.0,0.0,90.0}	1	102		6
	230	int06_102_6	{-11714.18,5692.44,-128.64}	{0.0,0.0,90.0}	1	102		6
	231	int06_102_7	{-7948.93,7418.12,1059.42}	{0.0,0.0,90.0}	1	102		6
	232	int06_102_8	{-19070.36,6814.06,383.03}	{0.0,0.0,90.0}	1	102		6
	233	int06_102_9	{-16120.4,11403.25,476.61}	{0.0,0.0,90.0}	1	102		6
	234	int06_103_1	{-16985.6,4125.4,281.71}	{0.0,0.0,0.0}	1	103	{7210}	6
	235	int06_103_2	{-11720.42,3478.24,265.07}	{0.0,0.0,0.0}	1	103	{7212}	6
	236	int06_103_3	{-14404.97,7758.25,-332.2}	{0.0,0.0,0.0}	1	103	{7219}	6
	237	int06_103_4	{-18608.76,10199.81,256.31}	{0.0,0.0,0.0}	1	103	{7220}	6
	238	int06_103_5	{74.4,835.4,0.0}	{0.0,0.0,0.0}	1	103	{7222}	6
	239	int06_104_1	{-14743.32,3349.97,834.12}	{0.0,0.0,90.0}	1	104		6
	610	int06_104_10	{-18650.7,4869.23,15.14}	{0.0,0.0,169.99}	1	104		6
	611	int06_104_11	{-18542.27,13319.13,15.14}	{0.0,0.0,169.99}	1	104		6
	612	int06_104_12	{-8628.55,13253.64,15.14}	{0.0,0.0,169.99}	1	104		6
	613	int06_104_13	{-3970.81,12848.27,15.14}	{0.0,0.0,169.99}	1	104		6
	240	int06_104_2	{-15039.64,3982.1,98.01}	{0.0,0.0,90.0}	1	104		6
	241	int06_104_3	{-13975.5,7931.63,-843.4}	{0.0,0.0,50.0}	1	104		6
	242	int06_104_4	{-17147.91,12660.03,325.85}	{0.0,0.0,50.0}	1	104		6
	243	int06_104_5	{-9491.78,6096.14,544.84}	{0.0,0.0,50.0}	1	104		6
	244	int06_104_6	{-6738.95,11553.33,88.63}	{0.0,0.0,-159.99}	1	104		6
	245	int06_104_7	{-4339.08,15768.85,206.74}	{0.0,0.0,169.99}	1	104		6
	246	int06_104_8	{-10218.45,3021.12,268.22}	{0.0,0.0,169.99}	1	104		6
	247	int06_104_9	{-7317.16,2437.81,101.59}	{0.0,0.0,169.99}	1	104		6
	249	int06_110_2	{-3221.0,9699.51,15.14}	{0.0,0.0,0.0}	1	110	{7133}	6
	250	int06_110_3	{-7531.0,13169.51,15.14}	{0.0,0.0,0.0}	1	110	{7134}	6
	251	int06_110_4	{-7251.0,7749.51,543.6}	{0.0,0.0,0.0}	1	110	{7135}	6



Int09	252	int09_101_1	{-15250.99,-7738.0,-1449.99}	{0.0,0.0,90.0}	1	101	{91}	9
	253	int09_101_2	{-14611.99,-4420.99,975.24}	{0.0,0.0,0.0}	1	101	{92}	9
	254	int09_101_3	{-9426.99,-3494.0,-561.67}	{0.0,0.0,90.0}	1	101	{93}	9
	255	int09_101_4	{-4225.99,-4997.99,15.24}	{0.0,0.0,90.0}	1	101	{94}	9
