道具大类	道具子类	道具ID	等级	//注释	武器分类	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	初始星数（初始突破次数=星数-1）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠	是否可培养（1：可培养 0：不可培养）	技能升级	升星材料配置ID,与break.txt中配置ID对应	等级限制配置ID,与level_limit.txt中配置ID对应	突破次数限制配置ID,与break_level_limit.txt中配置ID对应	附加参数1	附加参数2	附加参数3	成长属性ID	外观ID	额外外观ID	界面是否有特殊武器蓝图（没有默认不配置，有配1，比如安卡的蓝图）	皮肤分类ID	武器默认技能(数组）	替换技能（skillfix）	提供经验值	消耗金币	进化消耗金币	武器配件插槽显示{1,1,1,1,1,1}(枪口,上导轨,枪托,供弹,下导轨,扳机，握把,瞄具，配重)	分解回收配置，对应recycle.txt中得ID列	奖励配件	GM投放	换弹tips文本	弹容tips文本	暴击伤害tips文本	射速tips文本	推荐角色的GDPL	可查看时间限制
2	1	14	1	浮浪	1		weapon_card	weapon.gun1014	4	1	13110015			1	10002	2002	1006	1001				1014	13451			101	{2134511}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,63,1}	1						
2	1	15	1	隧蜂	1	1	weapon_card	weapon.gun1015	4	1	13110018			1	10002	2002	1006	1001				1015	11402			101	{2114021}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,83,1}	1						
2	1	16	1	锈色幸运	1	1	weapon_card	weapon.gun1016	4	1	13110019			1	10002	2002	1006	1001				1016	11452			101	{2114521}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,5,84,1}	1						
2	1	17	1	星尘回忆	1		weapon_card	weapon.gun1017	5	1	13110011			1	10003	2001	1006	1001				1017	11501			101	{2115011,2115012,2115013}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,5,26,1}	1					{1,2,2,1}	
2	1	18	1	百战老兵	1		weapon_card	weapon.gun1018	5	1	13110012			1	10003	2001	1006	1001				1018	12501			101	{2125011,2125012}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,1,22,1}	1						
2	1	19	1	天鹅座之心	1	1	weapon_card	weapon.gun1019	5	1	13110016			1	10003	2001	1006	1001				1019	13501			101	{2135011,2135012}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,5,62,1}	1						
2	1	20	1	秘密永恒	1	1	weapon_card	weapon.gun1020	5	1	13110020			1	10003	2001	1006	1001				1020	11502			101	{2115021,2115022}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,2,85,1}	1						
2	1	21	1	中庭前线	1		weapon_card	weapon.gun1021	4	1	13110021			1	10002	2002	1006	1001				1021	12402			101	{2124021}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,86,1}	1						
2	1	22	1	卫兵	1		weapon_card	weapon.gun1022	4	1	13110022			1	10002	2002	1006	1001				1022	12403			101	{2124031}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,4,110,1}	1						
2	1	23	1	浅蓝触碰	1		weapon_card	weapon.gun1023	4	1	13110023			1	10002	2002	1006	1001				1023	14402			101	{2144021}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,119,1}	1						
2	1	24	1	阳光水纹	1		weapon_card	weapon.gun1024	4	1	13110024			1	10002	2002	1006	1001				1024	14403			101	{2144031}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,120,1}	1						
2	1	25	1	合金真理	1		weapon_card	weapon.gun1025	5	1	13110025			1	10003	2001	1006	1001				1025	13502			101	{2135021,2135022,2135023}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,4,122,1}	1					{1,12,2,1}	
2	1	26	1	洁白之环	1		weapon_card	weapon.gun1026	4	1	13110026			1	10002	2002	1006	1001				1026	12404			101	{2124041}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,131,1}	1						
2	1	27	1	白夜别诗	1		weapon_card	weapon.gun1027	5	1	13110027			1	10003	2001	1006	1001				1027	12502			101	{2125021,2125022,2125023}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,5,132,1}	1					{1,7,2,1}	
2	1	28	1	正法	1		weapon_card	weapon.gun1028	4	1	13110028			1	10002	2002	1006	1001				1028	11403			101	{2114031,2114032,2114033}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,166,1}	1						
2	1	29	1	星熔靛夜	1		weapon_card	weapon.gun1029	5	1	13110029			1	10003	2001	1006	1001				1029	11503			101	{2115031,2115032,2115033,2115034}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,2,167,1}	1					{1,10,3,1}	
2	1	30	1	枯萎蔓延	1		weapon_card	weapon.gun1030	4	1	13110030			1	10002	2002	1006	1001				1030	13402			101	{2134021,2134022}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,4,188,1}	1						
2	1	31	1	瑰翼	1		weapon_card	weapon.gun1031	5	1	13110031			1	10003	2001	1006	1001				1031	13503			101	{2135031,2135032,2135033}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,2,189,1}	1					{1,22,1,1}	
2	1	32	1	完美结构	1		weapon_card	weapon.gun1032	4	1	13110032			1	10002	2002	1006	1001				1032	14404			101	{2144041}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,190,1}	1						
2	1	33	1	净空炙星	1		weapon_card	weapon.gun1033	5	1	13110033			1	10003	2001	1006	1001				1033	14502			101	{2145021,2145022,2145023}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,2,191,1}	1					{1,8,4,1}	
2	1	34	1	绶礼荣辉	1		weapon_card	weapon.gun1034	4	1	13110034			1	10002	2002	1006	1001				1034	12405			101	{2124051}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,5,209,1}	1						[202602121000]
2	1	35	1	棱光核心	1		weapon_card	weapon.gun1035	5	1	13110035			1	10003	2001	1006	1001				1035	12503			101	{2125031,2125032}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,4,210,1}	1					{1,5,4,1}	[202602121000]
																																									
																																									
2	2	255	1	初勇者	1		weapon_card	weapon.gun2256	2	1	13210001			1	10001	2002	1006	1001				2256	21300			202	{2213001}		600	150	5000	{1,1,0,1,1,0,0,0,0}	12		1						
2	2	1	1	简易扳手	1		weapon_card	weapon.gun2001	3	1	13210001			1	10001	2002	1006	1001				2001	21301			202	{2213011}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	2	2	1	冬青木	1		weapon_card	weapon.gun2002	3	1	13210002			1	10001	2002	1006	1001				2002	21302			201	{2213021}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	2	3	1	深海呼唤	1		weapon_card	weapon.gun2003	4	1	13210003			1	10002	2002	1006	1001				2003	21402			201	{2214021}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,5,35,1}	1						
2	2	4	1	奥林匹斯	1		weapon_card	weapon.gun2004	5	1	13210004			1	10003	2001	1006	1001				2004	21502			201	{2215021,2215022}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,2,28,1}	1						
2	2	5	1	喧哗现场	1		weapon_card	weapon.gun2005	4	1	13210005			1	10002	2002	1006	1001				2005	21401			202	{2214011}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,4,29,1}	1						
2	2	6	1	黄蜂	1		weapon_card	weapon.gun2006	4	1	13210006			1	10002	2002	1006	1001				2006	21451			202	{2214511,2214512}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,30,1}	1						
2	2	7	1	湖中女神	1		weapon_card	weapon.gun2007	3	1	13210007			1	10001	2002	1006	1001				2007	21303			202	{2213031}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	2	8	1	甜甜灵魂	1		weapon_card	weapon.gun2008	4	1	13210008			1	10002	2002	1006	1001				2008	21403			202	{2214031}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,5,32,1}	1						
2	2	9	1	现代文明	1	1	weapon_card	weapon.gun2009	4	1	13210009			1	10002	2002	1006	1001				2009	21453			202	{2214531}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,33,1}	1						
2	2	10	1	朗姆风暴	1		weapon_card	weapon.gun2010	3	1	13210010			1	10001	2002	1006	1001				2010	21304			201	{2213041}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	2	11	1	钢之白桦林	1		weapon_card	weapon.gun2011	3	1	13210014			1	10001	2002	1006	1001				2011	22301			202	{2223011}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	2	12	1	魅惑爪痕	1		weapon_card	weapon.gun2012	4	1	13210015			1	10002	2002	1006	1001				2012	21452			201	{2214521}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,4,67,1}	1						
2	2	13	1	湿地公园	1		weapon_card	weapon.gun2013	4	1	13210018			1	10002	2002	1006	1001				2013	21404			201	{2214041}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,5,88,1}	1						
2	2	14	1	红锈	1	1	weapon_card	weapon.gun2014	4	1	13210019			1	10002	2002	1006	1001				2014	21454			201	{2214541}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,89,1}	1						
2	2	15	1	炙热年代	1		weapon_card	weapon.gun2015	4	1	13210016			1	10002	2002	1006	1001				2015	22401			202	{2224011}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,65,1}	1						
2	2	16	1	迷乱迪斯科	1		weapon_card	weapon.gun2016	4	1	13210017			1	10002	2002	1006	1001				2016	22451			202	{2224511}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,66,1}	1						
2	2	17	1	虎鲸号角	1		weapon_card	weapon.gun2017	5	1	13210011			1	10003	2001	1006	1001				2017	21501			201	{2215011,2215012,2215013}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,5,31,1}	1					{1,5,2,1}	
2	2	18	1	夹心巧克力	1		weapon_card	weapon.gun2018	5	1	13210012			1	10003	2001	1006	1001				2018	21503			202	{2215031,2215032}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	13	{6,4,34,1}	1						
2	2	19	1	太空骑手	1		weapon_card	weapon.gun2019	5	1	13210013			1	10003	2001	1006	1001				2019	21504			201	{2215041,2215042}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,1,64,1}	1					{1,10,2,1}	
2	2	20	1	维京斧	1	1	weapon_card	weapon.gun2020	5	1	13210020			1	10003	2001	1006	1001				2020	22501			202	{2225011,2225012}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,2,90,1}	1						
2	2	21	1	结晶凿	1		weapon_card	weapon.gun2021	4	1	13210021			1	10002	2002	1006	1001				2021	21405			202	{2214051}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,91,1}	1						
2	2	22	1	王牌怪诞	1		weapon_card	weapon.gun2022	5	1	13210022			1	10003	2001	1006	1001				2022	22502			202	{2225021,2225022}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,4,124,1}	1					{1,17,1,1}	
2	2	23	1	梦幻捷径	1		weapon_card	weapon.gun2023	4	1	13210023			1	10002	2002	1006	1001				2023	22402			202	{2224021,2224022,2224023}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,4,158,1}	1						
2	2	24	1	极速烈闪	1		weapon_card	weapon.gun2024	5	1	13210024			1	10003	2001	1006	1001				2024	22503			202	{2225031,2225032,2225033}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,5,157,1}	1					{1,4,3,1}	
2	2	25	1	嵌合	1		weapon_card	weapon.gun2025	4	1	13210025			1	10002	2002	1006	1001				2025	22403			201	{2224031}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,179,1}	1						
2	2	26	1	真实之空	1		weapon_card	weapon.gun2026	5	1	13210026			1	10003	2001	1006	1001				2026	22504			201	{2225041,2225042,2225043}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,2,180,1}	1					{1,18,2,1}	
2	2	27	1	净空启迪	1		weapon_card	weapon.gun2027	5	1	13210027			1	10003	2001	1006	1001				2027	21505			202	{2225051,2225052}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}		{6,1,204,1}	1					{1,12,3,1}	[202601011000]
2	2	28	1	3.7连狙SSR临时	1		weapon_card	weapon.gun2028	5	1	13220028			1	10003	2001	1006	1001				2027	22505			202	{2145011,2145012}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10		1					{1,10,4,1}	
																																									
2	3	255	1	压路机	1		weapon_card	weapon.gun3256	2	1	13310001			1	10001	2002	1006	1001				3256	31300			301	{2313001}		600	150	5000	{1,1,0,0,1,0,0,0,0}	12		1						
2	3	1	1	有人在吗	1		weapon_card	weapon.gun3001	3	1	13310001			1	10001	2002	1006	1001				3001	31301			301	{2313011}		1200	300	5000	{1,1,0,0,1,0,0,0,0}	8		1						
2	3	2	1	无礼之辈	1		weapon_card	weapon.gun3002	3	1	13310002			1	10001	2002	1006	1001				3002	31302			301	{2313021}		1200	300	5000	{1,1,0,0,1,0,0,0,0}	8		1						
2	3	3	1	瓦尔基里2056	1		weapon_card	weapon.gun3003	4	1	13310003			1	10002	2002	1006	1001				3003	31402			301	{2314021}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,1,38,1}	1						
2	3	4	1	小粮食	1		weapon_card	weapon.gun3004	5	1	13310004			1	10003	2001	1006	1001				3004	31502			301	{2315021,2315022}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,1,36,1}	1						
2	3	5	1	龙涎香	1		weapon_card	weapon.gun3005	4	1	13310005			1	10002	2002	1006	1001				3005	31452			301	{2314521}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,5,37,1}	1						
2	3	6	1	群鸟仇人	2		weapon_card	weapon.gun3006	3	1	13310009			1	10001	2002	1006	1001				3006	32301			302	{2323011}		1200	300	5000	{1,1,0,0,1,0,0,0,0}	8		1						
2	3	7	1	沉默的真相	1		weapon_card	weapon.gun3007	3	1	13310010			1	10001	2002	1006	1001				3007	32302			301	{2323021}		1200	300	5000	{1,1,0,0,1,0,0,0,0}	8		1						
2	3	8	1	马尔贝克	1		weapon_card	weapon.gun3008	3	1	13310021			1	10001	2002	1006	1001				3008	32303			301	{2323031}		1200	300	5000	{1,1,0,0,1,0,0,0,0}	8		1						
2	3	9	1	青金石	1		weapon_card	weapon.gun3009	4	1	13310006			1	10002	2002	1006	1001				3009	31401			301	{2314011}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,2,39,1}	1						
2	3	10	1	绿色卫士	1	1	weapon_card	weapon.gun3010	4	1	13310007			1	10002	2002	1006	1001				3010	31451			301	{2314511}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,2,40,1}	1						
2	3	11	1	机械警官	2		weapon_card	weapon.gun3011	4	1	13310011			1	10002	2002	1006	1001				3011	32401			302	{2324011}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,2,68,1}	1						
2	3	12	1	霓虹灯管	1		weapon_card	weapon.gun3012	4	1	13310012			1	10002	2002	1006	1001				3012	32451			301	{2324511}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,5,69,1}	1						
2	3	13	1	不协和音	1		weapon_card	weapon.gun3013	4	1	13310013			1	10002	2002	1006	1001				3013	32402			301	{2324021}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,5,71,1}	1						
2	3	14	1	大宝贝儿	1		weapon_card	weapon.gun3014	4	1	13310014			1	10002	2002	1006	1001				3014	32452			301	{2324521}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,5,72,1}	1						
2	3	15	1	岩蟒	1		weapon_card	weapon.gun3015	4	1	13310017			1	10002	2002	1006	1001				3015	32403			301	{2324031,2324032}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,2,92,1}	1						
2	3	16	1	冰原	1	1	weapon_card	weapon.gun3016	4	1	13310018			1	10002	2002	1006	1001				3016	32453			301	{2324531}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,5,93,1}	1						
2	3	17	1	太阳酬金	1		weapon_card	weapon.gun3017	5	1	13310008			1	10003	2001	1006	1001				3017	31501			301	{2315011,2315012}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,2,41,1}	1					{1,8,2,1}	
2	3	18	1	红夜行	1	1	weapon_card	weapon.gun3018	5	1	13310015			1	10003	2001	1006	1001				3018	32501			301	{2325011,2325012}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,5,70,1}	1						
2	3	19	1	送葬者	1	1	weapon_card	weapon.gun3019	5	1	13310016			1	10003	2001	1006	1001				3019	32502			301	{2325021,2325022}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,1,73,1}	1						
2	3	20	1	紫花地丁	1	1	weapon_card	weapon.gun3020	5	1	13310019			1	10003	2001	1006	1001				3020	32503			301	{2325031,2325032}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,5,94,1}	1						
2	3	21	1	全体警戒	1		weapon_card	weapon.gun3021	4	1	13310020			1	10002	2002	1006	1001				3021	31403			301	{2314031}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,1,95,1}	1						
2	3	22	1	正在播出	1		weapon_card	weapon.gun3022	4	1	13310022			1	10002	2002	1006	1001				3022	31404			301	{2314041}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,1,111,1}	1						
2	3	23	1	海洋童子军	1		weapon_card	weapon.gun3023	4	1	13310023			1	10002	2002	1006	1001				3023	31405			301	{2314051}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,1,112,1}	1						
2	3	24	1	镭射风虎	1		weapon_card	weapon.gun3024	5	1	13310024			1	10003	2001	1006	1001				3024	31503			301	{2315031,2315032,2315033,2315034}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,5,128,1}	1					{1,16,1,1}	
2	3	25	1	圣甲	1		weapon_card	weapon.gun3025	4	1	13310025			1	10002	2002	1006	1001				3025	32404			301	{2324041}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,1,137,1}	1						
2	3	26	1	王权连枷	1		weapon_card	weapon.gun3026	5	1	13310026			1	10003	2001	1006	1001				3026	32504			301	{2325041,2325042,2325043}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,2,136,1}	1					{1,13,2,1}	
2	3	27	1	晶棱	1		weapon_card	weapon.gun3027	4	1	13310027			1	10002	2002	1006	1001				3027	31406			301	{2314061,2314062}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,5,153,1}	1						
2	3	28	1	深渊幽灵	1		weapon_card	weapon.gun3028	5	1	13310028			1	10003	2001	1006	1001				3028	31504			301	{2315041,2315042,2315043,2315044,2315045}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,1,152,1}	1					{1,5,3,1}	
2	3	29	1	沼泽之主	1		weapon_card	weapon.gun3029	4	1	13310029			1	10002	2002	1006	1001				3029	31407			301	{2314071}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,5,171,1}	1						
2	3	30	1	紫棘	1		weapon_card	weapon.gun3030	5	1	13310030			1	10003	2001	1006	1001				3030	31505			301	{2315051,2315052}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,1,172,1}	1					{1,11,3,1}	
2	3	31	1	悠古节拍	1		weapon_card	weapon.gun3031	5	1	13310031			1	10003	2001	1006	1001				3031	31506			301	{2315061,2315062,2315064}	{210301001}	9000	2250	30000	{1,1,0,0,1,0,0,0,0}		{6,5,175,1}	1					{1,3,2,1}	
2	3	32	1	爆裂甜蜜	1		weapon_card	weapon.gun3032	4	1	13310032			1	10002	2002	1006	1001				3032	31408			301	{2314081,2314082}		3000	750	10000	{1,1,0,0,1,0,0,0,0}	9	{6,2,198,1}	1						
2	3	33	1	织心秘语	1		weapon_card	weapon.gun3033	5	1	13310033			1	10003	2001	1006	1001				3033	31507			301	{2315071,2315072,2315073,2315074,2315075}		9000	2250	30000	{1,1,0,0,1,0,0,0,0}	10	{6,1,199,1}	1					{1,23,1,1}	
																																									
2	4	255	1	倔强老者	1		weapon_card	weapon.gun4256	2	1	13410001			1	10001	2002	1006	1001				4256	41300			401	{2413001}		600	150	5000	{1,1,0,1,1,0,0,0,0}	12		1						
2	4	1	1	锤击	1		weapon_card	weapon.gun4001	3	1	13410001			1	10001	2002	1006	1001				4001	41301			401	{2413011}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	4	2	1	烂橘子	1		weapon_card	weapon.gun4002	4	1	13410002			1	10002	2002	1006	1001				4002	41401			401	{2414011}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,5,42,1}	1						
2	4	3	1	星辰大海	1		weapon_card	weapon.gun4003	5	1	13410003			1	10003	2001	1006	1001				4003	41501			401	{2415011,2415012}		9000	2250	30000	{1,1,0,1,1,0,0,0,0}	10	{6,4,43,1}	1						
2	4	4	1	小小工具	1		weapon_card	weapon.gun4004	4	1	13410004			1	10002	2002	1006	1001				4004	41451			401	{2414511}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,4,47,1}	1						
2	4	5	1	泥雪	1		weapon_card	weapon.gun4005	3	1	13410009			1	10001	2002	1006	1001				4005	41302			401	{2413021}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	4	6	1	皮斯科	2		weapon_card	weapon.gun4006	3	1	13410005			1	10001	2002	1006	1001				4006	42302			402	{2423021}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	4	7	1	天空墙	2		weapon_card	weapon.gun4007	3	1	13410010			1	10001	2002	1006	1001				4007	42303			402	{2423031}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	4	8	1	半根火炬	2		weapon_card	weapon.gun4008	3	1	13410017			1	10001	2002	1006	1001				4008	42301			402	{2423011}		1200	300	5000	{1,1,0,1,1,0,0,0,0}	8		1						
2	4	9	1	关键点	1		weapon_card	weapon.gun4009	4	1	13410011			1	10002	2002	1006	1001				4009	41402			401	{2414021}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,74,1}	1						
2	4	10	1	彩虹打火机	1		weapon_card	weapon.gun4010	4	1	13410012			1	10002	2002	1006	1001				4010	41452			401	{2414521}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,75,1}	1						
2	4	11	1	野蜂尾针	2		weapon_card	weapon.gun4011	4	1	13410006			1	10002	2002	1006	1001				4011	42402			402	{2424021}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,1,44,1}	1						
2	4	12	1	幸运时刻	2		weapon_card	weapon.gun4012	4	1	13410007			1	10002	2002	1006	1001				4012	42452			402	{2424521}		3000	750	10000	{1,1,0,1,1,0,0,0,0}	9	{6,2,45,1}	1						
