道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	获得条件说明	地区区分	排序（越大越前）	是否可预览（1：可以 0：不可以 不填为0）	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	特殊头像框UMG	封面Spine	封面Spine的偏移	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	附加参数1		附加参数2	附加参数3	成长属性ID	外观ID	最早可使用时间	最晚可使用时间，格式：相对日期直接填天数；绝对日期填2024-04-28T04:00:00(年-月-日T时:分:秒)	分解回收配置，对应recycle.txt中得ID列	GM投放
9	1	10	4	肴-神		profile_face	card.girl103_suits	card.girl103_suits	0	80	0	5	1210057																
9	1	11	1	恩雅		profile_face	card.girl111_suits	card.girl111_suits	0	79	0	4	1210013																
9	1	12	1	猫汐尔		profile_face	card.girl121_suits	card.girl121_suits	0	78	0	4	1210017																
9	1	12	2	猫汐尔-溯影		profile_face	card.girl122_suits	card.girl122_suits	0	77	0	5	1210023																
9	1	12	3	猫汐尔-莲驱		profile_face	card.girl123_suits	card.girl123_suits	0	77	0	5	1210052																
9	1	13	1	瑟瑞斯		profile_face	card.girl131_suits	card.girl131_suits	0	76	0	4	1210019																
9	1	14	1	辰星		profile_face	card.girl141_suits	card.girl141_suits	0	75	0	4	1210020																
9	1	14	2	辰星-云篆		profile_face	card.girl142_suits	card.girl142_suits	0	74	0	5	1210021																
9	1	14	3	辰星-琼弦		profile_face	card.girl143_suits	card.girl143_suits	0	73	0	5	1210039																
9	1	17	1	苔丝-魔术师		profile_face	card.girl171_suits	card.girl171_suits	0	72	0	5	1210024																
9	1	17	2	苔丝-绮幻		profile_face	card.girl172_suits	card.girl172_suits	0	71	0	5	1210045																
9	1	15	1	凯茜娅-蓝闪		profile_face	card.girl151_suits	card.girl151_suits	0	70	0	5	1210025																
9	1	15	2	凯茜娅-朝翼		profile_face	card.girl152_suits	card.girl152_suits	0	69	0	5	1210033																
9	1	15	3	凯茜娅-狂诗		profile_face	card.girl153_suits	card.girl153_suits	0	68	0	5	1210044																
9	1	16	1	伊切尔-豹豹		profile_face	card.girl161_suits	card.girl161_suits	0	67	0	5	1210026																
9	1	7	2	琴诺-悖谬		profile_face	card.girl072_suits	card.girl072_suits	0	66	0	5	1210027																
9	1	11	2	恩雅-羽蜕		profile_face	card.girl112_suits	card.girl112_suits	0	65	0	5	1210028																
9	1	11	3	恩雅-澜风		profile_face	card.girl113_suits	card.girl113_suits	0	64	0	5	1210040																
9	1	13	2	瑟瑞斯-瞬刻		profile_face	card.girl132_suits	card.girl132_suits	0	63	0	5	1210029																
9	1	13	3	瑟瑞斯-悠游		profile_face	card.girl133_suits	card.girl133_suits	0	62	0	5	1210048																
9	1	2	3	里芙-无限之视		profile_face	card.girl023_suits	card.girl023_suits	0	61	0	5	1210031																
9	1	8	3	芬妮-辉耀		profile_face	card.girl083_suits	card.girl083_suits	0	60	0	5	1210030																
9	1	18	1	薇蒂雅-龙舌兰		profile_face	card.girl181_suits	card.girl181_suits	0	59	0	5	1210032																
9	1	18	2	薇蒂雅-天鹅座		profile_face	card.girl182_suits	card.girl182_suits	0	58	0	5	1210043																
9	1	20	1	卜卜-小天师		profile_face	card.girl201_suits	card.girl201_suits	0	57	0	5	1210037																
9	1	20	2	卜卜-灵鉴		profile_face	card.girl202_suits	card.girl202_suits	0	57	0	5	1210051																
9	1	21	1	奈丽德角色头像		profile_face	card.girl211_suits	card.girl211_suits	0	56	0	5	1210042																
9	1	22	1	克罗瑞娜角色头像		profile_face	card.girl221_suits	card.girl221_suits	0	55	0	5	1210046																
9	1	23	1	米娅角色头像		profile_face	card.girl231_suits	card.girl231_suits	0	55	0	5	1210049																
9	1	24	1	胧嫣角色头像		profile_face	card.girl241_suits	card.girl241_suits	0	55	0	5	1210056																
9	2	1	1	迷你分析员		profile_face	profile.draw001	profile.draw001_source	0	300	1	5	1900002																1
9	2	2	1	自爆纸盒		profile_face	profile.draw002	profile.draw002_source	0	299	1	5	1900003																1
9	2	3	1	迷你尤弥尔		profile_face	profile.draw003	profile.draw003_source	0	298	1	5	1900004																1
9	2	4	1	优质小吉		profile_face	profile.draw004	profile.draw004_source	0	297	1	5	1900005																1
9	2	5	1	迷你安卡希雅		profile_face	profile.draw005	profile.draw005_source	0	296	1	5	1900006																1
9	2	6	1	迷你芬妮		profile_face	profile.draw006	profile.draw006_source	0	295	1	5	1900007																1
9	2	7	1	迷你芙提雅		profile_face	profile.draw007	profile.draw007_source	0	294	1	5	1900008																1
9	2	8	1	迷你里芙		profile_face	profile.draw008	profile.draw008_source	0	293	1	5	1900009																1
9	2	9	1	迷你肴		profile_face	profile.draw009	profile.draw009_source	0	292	1	5	1900010																1
9	2	10	1	迷你琴诺		profile_face	profile.draw010	profile.draw010_source	0	291	1	5	1900022																1
9	2	11	1	迷你瑟瑞斯		profile_face	profile.draw011	profile.draw011_source	0	290	1	5	1900023																1
9	2	12	1	迷你辰星		profile_face	profile.draw012	profile.draw012_source	0	289	1	5	1900024																1
9	2	13	1	迷你晴		profile_face	profile.draw013	profile.draw013_source	0	288	1	5	1900025																1
9	2	14	1	迷你茉莉安		profile_face	profile.draw014	profile.draw014_source	0	287	1	5	1900026																1
9	2	15	1	迷你猫汐尔		profile_face	profile.draw015	profile.draw015_source	0	286	1	5	1900027																1
9	2	16	1	迷你恩雅		profile_face	profile.draw016	profile.draw016_source	0	285	1	5	1900028																1
9	2	17	1	迷你妮塔		profile_face	profile.draw017	profile.draw017_source	0	284	1	5	1900029																1
9	2	18	1	迷你透墨索斯		profile_face	profile.drawrich006	profile.drawrich006_source	0	283	1	5	1900030																1
9	2	19	1	迷你泳装安卡希雅		profile_face	profile.drawrich005	profile.drawrich005_source	0	282	1	5	1900031																1
9	2	20	1	迷你泳装芙提雅		profile_face	profile.drawrich007	profile.drawrich007_source	0	281	1	5	1900032																1
9	2	21	1	迷你泳装恩雅		profile_face	profile.drawrich008	profile.drawrich008_source	0	280	1	5	1900033																1
9	2	22	1	迷你泳装猫汐尔		profile_face	profile.drawrich003	profile.drawrich003_source	0	279	1	5	1900034																1
9	2	23	1	迷你泳装瑟瑞斯		profile_face	profile.drawrich004	profile.drawrich004_source	0	278	1	5	1900035																1
9	2	24	1	迷你泳装辰星		profile_face	profile.drawrich002	profile.drawrich002_source	0	277	1	5	1900036																1
9	2	25	1	迷你泳装分析员		profile_face	profile.drawrich001	profile.drawrich001_source	0	276	1	5	1900037																1
9	2	26	1	埃达-微笑练习		profile_face	profile.draw018	profile.draw018_source	0	275	1	5	1900038																1
9	2	27	1	迷你苔丝		profile_face	profile.draw019	profile.draw019_source	0	274	1	5	1900039																1
9	2	28	1	雪境回响		profile_face	profile.draw020	profile.draw020_source	0	273	1	5	1900040																1
9	2	29	1	迷你凯茜娅		profile_face	profile.draw021	profile.draw021_source	0	272	1	5	1900041																1
9	2	30	1	律动之星		profile_face	profile.draw022	profile.draw022_source	0	271	1	5	1900042																1
9	2	31	1	洞察者		profile_face	profile.draw023	profile.draw023_source	0	270	1	5	1900043																1
9	2	32	1	聊门纪念·胜利		profile_face	profile.draw024	profile.draw024_source	0	269	0	5	1900044																1
9	2	33	1	聊门纪念·数数		profile_face	profile.draw025	profile.draw025_source	0	268	0	5	1900045																1
9	2	34	1	迷你伊切尔		profile_face	profile.draw026	profile.draw026_source	0	267	1	5	1900046																1
9	2	35	1	耶洛沙星图		profile_face	profile.draw027	profile.draw027_source	0	266	0	5	1900047																1
9	2	36	1	好运蒸蒸		profile_face	profile.draw028	profile.draw028_source	0	265	0	5	1900048																1
9	2	37	1	月轨星蚀		profile_face	profile.draw029	profile.draw029_source	0	264	1	5	1900049																1
9	2	38	1	一键登录		profile_face	profile.draw030	profile.draw030_source	0	263	1	5	1900050																1
9	2	39	1	循环加载		profile_face	profile.draw031	profile.draw031_source	0	262	1	5	1900051																1
9	2	40	2	最佳方案		profile_face	profile.draw032	profile.draw032_source	0	261	1	5	1900052																1
9	2	41	3	到碗里来		profile_face	profile.draw033	profile.draw033_source	0	260	1	5	1900053																1
9	2	42	4	麻辣爱心火锅		profile_face	profile.draw034	profile.draw034_source	0	259	0	5	1900054																1
9	2	43	5	心动里芙		profile_face	profile.draw035	profile.draw035_source	0	258	1	5	1900055																1
9	2	44	6	心动芬妮		profile_face	profile.draw036	profile.draw036_source	0	257	1	5	1900056																1
9	2	45	7	心动茉莉安		profile_face	profile.draw037	profile.draw037_source	0	256	1	5	1900057																1
9	2	46	1	胶片映像		profile_face	profile.draw038	profile.draw038_source	0	255	1	5	1900058																1
9	2	47	1	迷你薇蒂雅		profile_face	profile.draw039	profile.draw039_source	0	254	1	5	1900059																1
9	2	48	1	最终赢家		profile_face	profile.draw041	profile.draw041_source	0	253	1	5	1900060																1
9	2	49	1	高歌勇进		profile_face	profile.draw042	profile.draw042_source	0	252	1	5	1900061																1
9	2	50	1	凯茜娅-起舞		profile_face	profile.draw040	profile.draw040_source	0	251	0	5	1900062																1
9	2	51	1	旷漠诡境		profile_face	profile.draw043	profile.draw043_source	0	250	1	5	1900063																1
9	2	56	1	芬妮辉耀-初心之舞		profile_face	profile.draw048	profile.draw048_source	0	245	0	5	1900068																1
9	2	57	1	逐流深呓		profile_face	profile.draw049	profile.draw049_source	0	244	1	5	1900069																1
9	2	59	1	分析员的认可		profile_face	profile.draw050	profile.draw050_source	0	242	0	5	1900071																1
9	2	61	1	来条大的		profile_face	profile.draw052	profile.draw052_source	0	240	1	5	1900073																1
9	2	62	1	鹊引春归		profile_face	profile.draw053	profile.draw053_source	0	239	1	5	1900074																1
9	2	63	1	瞄准目标		profile_face	profile.draw054	profile.draw054_source	0	238	1	5	1900075																1
9	2	64	1	迷你恒约里芙		profile_face	profile.draw055	profile.draw055_source	0	237	1	5	1900076																1
9	2	65	1	迷你恒约芬妮		profile_face	profile.draw056	profile.draw056_source	0	236	1	5	1900077																1
9	2	66	1	迷你恒约辰星		profile_face	profile.draw057	profile.draw057_source	0	235	1	5	1900078																1
9	2	67	1	迷你恒约肴		profile_face	profile.draw058	profile.draw058_source	0	234	1	5	1900079																1
9	2	68	1	再尝亿口纳宝帝		profile_face	profile.draw059	profile.draw059_source	0	233	0	5	1900080																1
9	2	69	1	摸鱼必备纳宝帝		profile_face	profile.draw060	profile.draw060_source	0	232	0	5	1900081																1
9	2	70	1	模因洞悉		profile_face	profile.draw061	profile.draw061_source	0	231	1	5	1900082																1
9	2	71	1	绚丽乐园		profile_face	profile.draw062	profile.draw062_source	0	230	1	5	1900083																1
9	2	60	1	迷你卜卜		profile_face	profile.draw063	profile.draw063_source	0	229	1	5	1900072																1
9	2	72	1	渊海孤芒		profile_face	profile.draw064	profile.draw064_source	0	228	1	5	1900084																1
9	2	74	1	活力滋味-OATLY		profile_face	profile.draw066	profile.draw066_source	0	226	0	5	1900086																1
9	2	75	1	优雅品尝-OATLY		profile_face	profile.draw067	profile.draw067_source	0	225	0	5	1900087																1
9	2	77	1	藏好了吗		profile_face	profile.draw069	profile.draw069_source	0	223	1	5	1900089																1
9	2	78	1	碎隙回响		profile_face	profile.draw070	profile.draw070_source	0	222	1	5	1900090																1
9	2	79	1	迷你奈丽德		profile_face	profile.draw071	profile.draw071_source	0	221	1	5	1900091																1
9	2	84	1	哧溜解渴健力宝		profile_face	profile.draw072	profile.draw072_source	0	220	0	5	1900093																1
9	2	85	1	咕咚爽喝健力宝		profile_face	profile.draw073	profile.draw073_source	0	219	0	5	1900094																1
9	2	86	1	辣么上头虎邦		profile_face	profile.draw074	profile.draw074_source	0	218	0	5	1900095																1
9	2	87	1	辣么下饭虎邦		profile_face	profile.draw075	profile.draw075_source	0	217	0	5	1900096																1
9	2	88	1	辣么得劲虎邦		profile_face	profile.draw076	profile.draw076_source	0	216	0	5	1900097																1
9	2	89	1	分析员的24K真理		profile_face	profile.draw077	profile.draw077_source	0	215	0	5	1900098																1
9	2	83	1	分析员的推理		profile_face	profile.draw078	profile.draw078_source	0	214	0	5	1900092																1
9	2	90	1	星迹吟游		profile_face	profile.draw079	profile.draw079_source	0	213	1	5	1900099																1
9	2	91	1	蓝图岛岛主		profile_face	profile.draw080	profile.draw080_source	0	212	1	5	1900100																1
9	2	92	1	迷你恒约凯茜娅		profile_face	profile.draw081	profile.draw081_source	0	211	1	5	1900101																1
9	2	93	1	迷你恒约苔丝		profile_face	profile.draw082	profile.draw082_source	0	210	1	5	1900102																1
9	2	94	1	月缦缠蕊		profile_face	profile.draw083	profile.draw083_source	0	209	1	5	1900103																1
9	2	95	1	心悦之旅		profile_face	profile.draw084	profile.draw084_source	0	208	1	5	1900104																1
9	2	96	1	海姆优化大狂欢		profile_face	profile.draw085	profile.draw085_source	0	207	1	5	1900105																1
9	2	97	1	糖芬补充时间		profile_face	profile.draw086	profile.draw086_source	0	206	0	5	1900106																1
9	2	98	1	畅享瑞趣时光		profile_face	profile.draw087	profile.draw087_source	0	205	0	5	1900107																1
9	2	99	1	星旋织命		profile_face	profile.draw088	profile.draw088_source	0	204	1	5	1900108																1
9	2	100	1	迷你克罗瑞娜		profile_face	profile.draw089	profile.draw089_source	0	203	1	5	1900109																1
9	2	101	1	掌心挚爱-闪魂		profile_face	profile.draw090	profile.draw090_source	0	202	0	5	1900110																1
9	2	102	1	满额宠爱-闪魂		profile_face	profile.draw091	profile.draw091_source	0	201	0	5	1900111																1
9	2	103	1	红炉蕴爱-闪魂		profile_face	profile.draw092	profile.draw092_source	0	200	0	5	1900112																1
9	2	104	1	迷你米娅		profile_face	profile.draw093	profile.draw093_source	0	199	1	5	1900113																1
9	2	105	1	渊火织镜		profile_face	profile.draw094	profile.draw094_source	0	198	1	5	1900114																1
9	2	106	1	海姆海姆干杯		profile_face	profile.draw095	profile.draw095_source	0	197	0	5	1900115																1
9	2	107	1	今昔存忆		profile_face	profile.draw096	profile.draw096_source	0	196	1	5	1900116																1
9	2	108	1	哈姆全家福		profile_face	profile.draw097	profile.draw097_source	0	195	1	5	1900117																1
9	2	109	1	酥脆纯享-乐事		profile_face	profile.draw098	profile.draw098_source	0	194	0	5	1900118																1
9	2	110	1	净爽理容-创维		profile_face	profile.draw099	profile.draw099_source	0	193	0	5	1900119																1
9	2	111	1	迷你恒约茉莉安		profile_face	profile.draw100	profile.draw100_source	0	192	1	5	1900120																1
9	2	112	1	迷你恒约安卡希雅		profile_face	profile.draw101	profile.draw101_source	0	191	1	5	1900121																1
9	2	113	1	线下纪念		profile_face	profile.draw102	profile.draw102_source	0	190	0	5	1900122																1
9	2	114	1	版本总头像		profile_face	profile.draw103	profile.draw103_source	0	189	1	5	1900123																1
9	2	115	1	海姆特别篇		profile_face	profile.draw104	profile.draw104_source	0	188	1	5	1900124																1
9	2	116	1	分析员-狮狮如意		profile_face	profile.draw105	profile.draw105_source	0	187	0	5	1900125																1
9	2	117	1	卡罗琳头像		profile_face	profile.draw106	profile.draw106_source	0	186	0	5	1900126																1
9	2	118	1	版本总头像		profile_face	profile.draw107	profile.draw107_source	0	185	1	5	1900127																1
9	2	119	1	海姆头像		profile_face	profile.draw108	profile.draw108_source	0	184	1	5	1900128																1
9	2	120	1	阿华田-里芙		profile_face	profile.draw109	profile.draw109_source	0	183	0	5	1900129																1
9	2	121	1	阿华田-肴		profile_face	profile.draw110	profile.draw110_source	0	182	0	5	1900130																1
9	2	122	1	泸溪河端午-茉莉安		profile_face	profile.draw111	profile.draw111_source	0	181	0	5	1900131																1
9	2	123	1	泸溪河端午-卜卜		profile_face	profile.draw112	profile.draw112_source	0	180	0	5	1900132																1
9	2	124	1	状态全开		profile_face	profile.draw113	profile.draw113_source	0	179	0	5	1900133																1
9	3	1	1	陶		profile_face	profile.npc001	profile.npc001	0	50	0	5	1900011																
9	3	2	1	爱思特		profile_face	profile.npc002	profile.npc002	0	51	0	5	1900012																
9	3	3	1	贝翠斯		profile_face	profile.npc003	profile.npc003	0	52	0	5	1900013																
9	3	4	1	降临团会员		profile_face	profile.npc004	profile.npc004	0	53	0	5	1900014																
9	3	5	1	卡罗琳		profile_face	profile.npc005	profile.npc005	0	54	0	5	1900015																
9	3	6	1	李秋雪		profile_face	profile.npc006	profile.npc006	0	55	0	5	1900016																
9	3	7	1	小女孩		profile_face	profile.npc007	profile.npc007	0	56	0	5	1900017																
9	3	8	1	拾荒者		profile_face	profile.npc008	profile.npc008	0	57	0	5	1900018																
9	3	9	1	接引使		profile_face	profile.npc009	profile.npc009	0	58	0	5	1900019																
9	3	10	1	“妹妹”		profile_face	profile.npc010	profile.npc010	0	59	0	5	1900020																
9	3	11	1	逐光者少女		profile_face	profile.npc011	profile.npc011	0	60	0	5	1900021																
9	4	1	1	辉夜-次元追忆		profile_face	profile.cardskin001	profile.cardskin_source	0	200	0	5	1901022																
9	4	2	1	里芙-星宇巡游		profile_face	profile.cardskin002	profile.cardskin_source	0	199	0	5	1902012																
9	4	3	1	芬妮-妄想新星		profile_face	profile.cardskin003	profile.cardskin_source	0	198	0	5	1908012																
9	4	4	1	肴-工作宗旨		profile_face	profile.cardskin004	profile.cardskin_source	0	197	0	5	1910012																
9	4	5	1	猫汐尔-魂灵缚痕		profile_face	profile.cardskin005	profile.cardskin_source	0	196	0	5	1912012																
9	4	6	1	狂猎-宵宴绯盏		profile_face	profile.cardskin006	profile.cardskin_source	0	195	0	5	1902022																
9	4	7	1	云篆-丹翎野鹤		profile_face	profile.cardskin007	profile.cardskin_source	0	194	0	5	1914022																
9	4	8	1	芙提雅-炽热御护		profile_face	profile.cardskin008	profile.cardskin_source	0	193	0	5	1904012																
9	4	9	1	藏锋-凛冽冬花		profile_face	profile.cardskin009	profile.cardskin_source	0	192	0	5	1906022																
9	4	10	1	缄默-行疾脱兔		profile_face	profile.cardskin010	profile.cardskin_source	0	191	0	5	1904022																
9	4	11	1	咎冠-蜂刺蔷薇		profile_face	profile.cardskin011	profile.cardskin_source	0	190	0	5	1908022																
9	4	12	1	溯影-灼阳假期		profile_face	profile.cardskin012	profile.cardskin_source	0	189	0	5	1912022																
9	4	13	1	云篆-波光倩影		profile_face	profile.cardskin013	profile.cardskin_source	0	188	0	5	1914032																
9	4	14	1	恩雅-情迷炎日		profile_face	profile.cardskin014	profile.cardskin_source	0	187	0	5	1911012																
9	4	15	1	雨燕-一掷千金		profile_face	profile.cardskin015	profile.cardskin_source	0	186	0	5	1905012																
9	4	16	1	冬至-粼粼尾浪		profile_face	profile.cardskin016	profile.cardskin_source	0	185	0	5	1910022																
9	4	17	1	肴-不灭残辉		profile_face	profile.cardskin017	profile.cardskin_source	0	184	0	5	1910032																
9	4	18	1	咎冠-初晴金雪		profile_face	profile.cardskin018	profile.cardskin_source	0	183	0	5	1908023																
9	4	19	1	狂猎-霜舞盛典		profile_face	profile.cardskin019	profile.cardskin_source	0	182	0	5	1902023																
9	4	20	1	苔丝-流放欢愉		profile_face	profile.cardskin020	profile.cardskin_source	0	181	0	5	1917012																
9	4	21	1	冬至-雪岭焰行		profile_face	profile.cardskin021	profile.cardskin_source	0	180	0	5	1910023																
9	4	22	1	凯茜娅-远曲独舞		profile_face	profile.cardskin022	profile.cardskin_source	0	179	0	5	1915012																
9	4	23	1	缄默-狂曲雅跃		profile_face	profile.cardskin023	profile.cardskin_source	0	178	0	5	1904023																
9	4	24	1	藏锋-循风谍舞		profile_face	profile.cardskin024	profile.cardskin_source	0	177	0	5	1906023																
9	4	25	1	芬妮-不灭傲姿		profile_face	profile.cardskin025	profile.cardskin_source	0	176	0	5	1908013																
9	4	26	1	辉夜-东流映荷		profile_face	profile.cardskin026	profile.cardskin_source	0	175	0	5	1901023																
9	4	27	1	咎冠-甜蜜统治		profile_face	profile.cardskin027	profile.cardskin_source	0	174	0	5	1908024																
9	4	28	1	伊切尔-迟到花蕾		profile_face	profile.cardskin028	profile.cardskin_source	0	173	0	5	1916012																
9	4	29	1	狂猎-街头规则		profile_face	profile.cardskin029	profile.cardskin_source	0	172	0	5	1902024																
9	4	30	1	悖谬-见习侍奉		profile_face	profile.cardskin030	profile.cardskin_source	0	171	0	5	1907021																
9	4	31	1	羽蜕-轻语疗法		profile_face	profile.cardskin031	profile.cardskin_source	0	170	0	5	1911021																
9	4	32	1	苔丝-秘密约会		profile_face	profile.cardskin032	profile.cardskin_source	0	169	0	5	1917013																
9	4	33	1	瞬刻-须臾蹁跹		profile_face	profile.cardskin033	profile.cardskin_source	0	168	0	5	1913012																
9	4	34	1	凯茜娅-贴身特助		profile_face	profile.cardskin034	profile.cardskin_source	0	167	0	5	1915022																
9	4	35	1	溯影-喵步巧跃		profile_face	profile.cardskin035	profile.cardskin_source	0	166	0	5	1912032																
9	4	36	1	芙提雅-不灭耀心		profile_face	profile.cardskin036	profile.cardskin_source	0	165	0	5	1904013																
9	4	37	1	无限之视-爱意凝晶		profile_face	profile.cardskin037	profile.cardskin_source	0	164	0	5	1902031																
9	4	38	1	辉耀-绽于恋时		profile_face	profile.cardskin038	profile.cardskin_source	0	163	0	5	1908031																
9	4	39	1	雨燕-绯染夜幕		profile_face	profile.cardskin039	profile.cardskin_source	0	162	0	5	1905021																
9	4	40	1	伊切尔-绒绒漫步		profile_face	profile.cardskin040	profile.cardskin_source	0	161	0	5	1916021																
9	4	41	1	里芙-归航一心		profile_face	profile.cardskin041	profile.cardskin_source	0	160	0	5	1902013																
9	4	42	1	云篆-点墨化龙		profile_face	profile.cardskin042	profile.cardskin_source	0	159	0	5	1914042																
9	4	43	1	薇蒂雅-翠翎倩姿		profile_face	profile.cardskin043	profile.cardskin_source	0	158	0	5	1918012																
9	4	44	1	安卡希雅-不灭榜首		profile_face	profile.cardskin044	profile.cardskin_source	0	157	0	5	1901012																
9	4	45	1	羽蜕浅憩之处		profile_face	profile.cardskin045	profile.cardskin_source	0	156	0	5	1911022																
9	4	46	1	茉莉安灿阳一刻		profile_face	profile.cardskin046	profile.cardskin_source	0	155	0	5	1905031																
9	4	47	1	凯茜娅沐浪倦姿		profile_face	profile.cardskin047	profile.cardskin_source	0	154	0	5	1915031																
9	4	48	1	悖谬静聆潮韵		profile_face	profile.cardskin048	profile.cardskin_source	0	153	0	5	1907011																
9	4	49	1	2.3芙提雅-毛绒派对		profile_face	profile.cardskin049	profile.cardskin_source	0	152	0	5	1904031																
9	4	50	1	瞬刻-斑斓水色		profile_face	profile.cardskin050	profile.cardskin_source	0	151	0	5	1913013																
9	4	51	1	辰星-不灭守望		profile_face	profile.cardskin051	profile.cardskin_source	0	150	0	5	1914012																
9	4	52	1	羽蜕-专属教练		profile_face	profile.cardskin052	profile.cardskin_source	0	149	0	5	1911023																
9	4	54	1	伊切尔-捕猎演习		profile_face	profile.cardskin054	profile.cardskin_source	0	147	0	5	1916022																
9	4	55	1	悖谬-清荷雅弈		profile_face	profile.cardskin055	profile.cardskin_source	0	146	0	5	1907022																
9	4	56	1	朝翼-秘密彩蛋		profile_face	profile.cardskin056	profile.cardskin_source	0	145	0	5	1915032																
9	4	57	1	芙提雅-青叶密裹		profile_face	profile.cardskin057	profile.cardskin_source	0	144	0	5	1904014																
9	4	58	1	凯茜娅-幽闪魅踪		profile_face	profile.cardskin058	profile.cardskin_source	0	143	0	5	1915023																
9	4	59	1	琼弦-欣描红妆		profile_face	profile.cardskin059	profile.cardskin_source	0	142	0	5	1914052																
9	4	60	1	夜天光-暖夜情醺		profile_face	profile.cardskin060	profile.cardskin_source	0	141	0	5	1910042																
9	4	61	1	辉耀-金狮舞瑞		profile_face	profile.cardskin061	profile.cardskin_source	0	140	0	5	1908032																
9	4	62	1	芬妮-璨夜华彩		profile_face	profile.cardskin062	profile.cardskin_source	0	139	0	5	1908014																
9	4	63	1	瞬刻-纯白午后		profile_face	profile.cardskin063	profile.cardskin_source	0	138	0	5	1913014																
9	4	64	1	澜风-望云清咏		profile_face	profile.cardskin064	profile.cardskin_source	0	137	0	5	1904064																
9	4	65	1	龙舌兰-舞夜与焰		profile_face	profile.cardskin065	profile.cardskin_source	0	136	0	5	1904065																
