道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	附加参数1	附加参数2（自选礼包该参数配置1则开启2次确认提示）	附加参数3	成长属性ID	外观ID	最早可使用时间	最晚可使用时间，格式：相对日期直接填天数；绝对日期填2024-04-28T04:00:00(年-月-日T时:分:秒)	分解回收配置，对应recycle.txt中得ID列	GM投放
4	5	1	3	每周物资配给箱		itembox	supplies.giftbox4	4	1510060	1			4		{4,5,1,3,1}						0
4	5	1	4	每月人员补给包		itembox	supplies.giftbox5	5	1510061	1			5		{4,5,1,4,1}						0
4	5	2	4	角色强化材料包		itembox	supplies.giftbox6	5	1510062	1			6		{4,5,2,4,1}						0
																					
4	5	1	5	钒花·每日物资包		itembox	supplies.giftbox28	4	1520039	1			19		{4,5,1,5,1}						0
4	5	1	6	镜影·每周聘任包		itembox	supplies.giftbox29	4	1520040	1			18		{4,5,1,6,1}						0
																					
4	5	3	4	武器突破材料包		itembox	supplies.giftbox7	5	1510063	1			7		{4,5,3,4,1}						0
4	8	1	4	超值聘任包		itembox	supplies.giftbox8	5	1510064	1			8		{4,8,1,4,1}						0
4	8	1	5	每日邮件送		cyclegift_box	supplies.gacha1	5	1510031	1			302		{4,8,1,5,1}						0
4	5	4	4	优惠天启者聘任包		itembox	supplies.giftbox9	5	1510065	1			9		{4,5,4,4,1}						0
4	5	5	4	优惠武器申请包		itembox	supplies.giftbox10	5	1510066	1			10		{4,5,5,4,1}						0
4	5	5	5	天启者精英聘任包		itembox	supplies.giftbox20	5	1520022	1			17		{4,5,5,5,1}						0
4	5	6	1	10级激励物资箱		itembox	supplies.giftbox11	5	1510091	1			11		{4,5,6,1,1}						0
4	5	6	2	20级激励物资箱		itembox	supplies.giftbox12	5	1510092	1			12		{4,5,6,2,1}						0
4	5	6	3	30级激励物资箱		itembox	supplies.giftbox13	5	1510093	1			13		{4,5,6,3,1}						0
4	5	6	4	40级激励物资箱		itembox	supplies.giftbox14	5	1510094	1			14		{4,5,6,4,1}						0
4	5	6	5	50级激励物资箱		itembox	supplies.giftbox15	5	1510095	1			15		{4,5,6,5,1}						0
4	5	6	6	60级激励物资箱		itembox	supplies.giftbox16	5	1510096	1	1		16		{4,5,6,6,1}						0
4	5	6	7	烨途·天启者聘任包		itembox	supplies.giftbox18	5	1520026	1			601		{4,5,6,7,1}						0
4	5	6	8	烁夜·武器定制包		itembox	supplies.giftbox19	5	1520028	1			602		{4,5,6,8,1}						0
4	5	6	9	星灯·资金包		itembox	supplies.giftbox21	5	1520027	1			604		{4,5,6,9,1}						0
4	5	6	10	熠空·顶级物资包		itembox	supplies.giftbox22	5	1520029	1			605		{4,5,6,10,1}						0
4	5	6	11	煜街·物资补给包		itembox	supplies.giftbox23	5	1520035	1			606		{4,5,6,11,1}						0
4	5	6	12	灿歌·天启者聘任包		itembox	supplies.giftbox24	5	1520036	1			607		{4,5,6,12,1}						0
																					
4	5	6	13	暗梦·天启者聘任包		itembox	supplies.giftbox25	5	1520032	1			608		{4,5,6,13,1}						0
4	5	6	14	钨息·天启者聘任包		itembox	supplies.giftbox26	5	1520033	1			609		{4,5,6,14,1}						0
4	5	6	15	灰岩·资金包		itembox	supplies.giftbox27	5	1520034	1			610		{4,5,6,15,1}						0
4	5	6	16	钢心·武器定制包		itembox	supplies.giftbox30	5	1520038	1			611		{4,5,6,16,1}						0
																					
4	5	6	17	溢晴·天启者聘任包		itembox	supplies.giftbox31	5	1510121	1			612		{4,5,6,17,1}						0
4	5	6	18	汐金·武器定制包		itembox	supplies.giftbox32	5	1510122	1			613		{4,5,6,18,1}						0
4	5	6	19	沉鎏·资金包		itembox	supplies.giftbox33	5	1510123	1			614		{4,5,6,19,1}						0
4	5	6	20	漪云·顶级物资包		itembox	supplies.giftbox34	5	1510124	1			615		{4,5,6,20,1}						0
4	5	6	21	涓曲·每日物资包		itembox	supplies.giftbox35	5	1510125	1			616		{4,5,6,21,1}						0
4	5	6	22	潮花·每周天启者聘任包		itembox	supplies.giftbox36	5	1510126	1			617		{4,5,6,22,1}						0
4	5	6	23	浮星·天启者聘任包		itembox	supplies.giftbox37	5	1510127	1			618		{4,5,6,23,1}						0
																					
4	5	6	24	锢隙·天启者聘任包		itembox	supplies.giftbox38	5	1510130	1			619		{4,5,6,24,1}						0
4	5	6	25	铠山·武器定制包		itembox	supplies.giftbox39	5	1510131	1			620		{4,5,6,25,1}						0
4	5	6	26	锈雪·资金包		itembox	supplies.giftbox40	5	1510132	1			621		{4,5,6,26,1}						0
4	5	6	27	锋啸·豪华物资包		itembox	supplies.giftbox55	5	1510133	1			622		{4,5,6,27,1}						0
4	5	6	28	镐音·每日物资包		itembox	supplies.giftbox42	5	1510134	1			623		{4,5,6,28,1}						0
4	5	6	29	铸曜·每周天启者聘任包		itembox	supplies.giftbox43	5	1510135	1			624		{4,5,6,29,1}						0
4	5	6	30	钧步·每周天启者聘任包		itembox	supplies.giftbox44	5	1510136	1			625		{4,5,6,30,1}						0
																					
4	5	6	31	纷舞·天启者聘任包		itembox	supplies.giftbox56	5	1510137	1			636		{4,5,6,31,1}						0
4	5	6	32	缀刃·武器定制包		itembox	supplies.giftbox57	5	1510138	1			637		{4,5,6,32,1}						0
4	5	6	33	绚空·顶级物资包		itembox	supplies.giftbox58	5	1510139	1			638		{4,5,6,33,1}						0
4	5	6	34	绅语·资金包		itembox	supplies.giftbox59	5	1510140	1			639		{4,5,6,34,1}						0
4	5	6	35	循武·每日物资包		itembox	supplies.giftbox60	5	1510141	1			640		{4,5,6,35,1}						0
4	5	6	36	新缘·每周天启者聘任包		itembox	supplies.giftbox61	5	1510142	1			641		{4,5,6,36,1}						0
4	5	6	37	续行·每周天启者聘任包		itembox	supplies.giftbox62	5	1510143	1			642		{4,5,6,37,1}						0
4	5	6	38	织运·成长物资包		itembox	supplies.giftbox63	5	1510144	1			643		{4,5,6,38,1}						0
4	5	6	39	绮梦·成长物资包		itembox	supplies.giftbox64	5	1510145	1			644		{4,5,6,39,1}						0
4	5	6	40	缚思·成长物资包		itembox	supplies.giftbox65	5	1510146	1			645		{4,5,6,40,1}						0
4	5	6	41	绣程·后勤提升包		itembox	supplies.giftbox66	5	1510147	1			646		{4,5,6,41,1}						0
4	5	6	42	绾春·天启者聘任包		itembox	supplies.giftbox67	5	1510148	1			647		{4,5,6,42,1}						0
																					
4	5	6	43	炎逢·每周天启者聘任包		itembox	supplies.giftbox68	5	1510149	1			648		{4,5,6,43,1}						0
4	5	6	44	炬魂·天启者聘任包		itembox	supplies.giftbox69	5	1510150	1			649		{4,5,6,44,1}						0
4	5	6	45	熔骨·武器定制包		itembox	supplies.giftbox70	5	1510151	1			650		{4,5,6,45,1}						0
4	5	6	46	熳原·豪华物资包		itembox	supplies.giftbox71	5	1510152	1			651		{4,5,6,46,1}						0
4	5	6	47	炯径·资金包		itembox	supplies.giftbox72	5	1510153	1			652		{4,5,6,47,1}						0
4	5	6	48	烽灵·成长物资包		itembox	supplies.giftbox73	5	1510154	1			653		{4,5,6,48,1}						0
4	5	6	49	焰道·成长物资包		itembox	supplies.giftbox74	5	1510155	1			654		{4,5,6,49,1}						0
4	5	6	50	焕想·成长物资包		itembox	supplies.giftbox75	5	1510156	1			655		{4,5,6,50,1}						0
4	5	6	51	烁才·后勤提升包		itembox	supplies.giftbox76	5	1510157	1			656		{4,5,6,51,1}						0
																					
4	5	6	52	涅荫·每周天启者聘任包		itembox	supplies.giftbox77	5	1510158	1			683		{4,5,6,52,1}						0
4	5	6	53	灏夜·天启者聘任包		itembox	supplies.giftbox78	5	1510159	1			684		{4,5,6,53,1}						0
4	5	6	54	浣锋·武器定制包		itembox	supplies.giftbox79	5	1510160	1			685		{4,5,6,54,1}						0
4	5	6	55	澄镜·顶级物资包		itembox	supplies.giftbox80	5	1510161	1			686		{4,5,6,55,1}						0
4	5	6	56	渥圃·资金包		itembox	supplies.giftbox81	5	1510162	1			687		{4,5,6,56,1}						0
4	5	6	57	渺念·成长物资包		itembox	supplies.giftbox82	5	1510163	1			688		{4,5,6,57,1}						0
4	5	6	58	深忆·成长物资包		itembox	supplies.giftbox83	5	1510164	1			689		{4,5,6,58,1}						0
4	5	6	59	浚虑·成长物资包		itembox	supplies.giftbox84	5	1510165	1			690		{4,5,6,59,1}						0
4	5	6	60	澹学·后勤提升包		itembox	supplies.giftbox85	5	1510166	1			691		{4,5,6,60,1}						0
4	5	6	61	蔓桥·天启者聘任包		itembox	supplies.giftbox86	5	1510167	1			692		{4,5,6,61,1}						0
4	5	6	62	荆丛·武器定制包		itembox	supplies.giftbox87	5	1510168	1			693		{4,5,6,62,1}						0
4	5	6	63	蓑羽·资金包		itembox	supplies.giftbox88	5	1510169	1			694		{4,5,6,63,1}						0
4	5	6	64	荧魂·成长物资包		itembox	supplies.giftbox89	5	1510170	1			695		{4,5,6,64,1}						0
4	5	6	65	萱思·成长物资包		itembox	supplies.giftbox90	5	1510171	1			696		{4,5,6,65,1}						0
4	5	6	66	苇绪·成长物资包		itembox	supplies.giftbox91	5	1510172	1			697		{4,5,6,66,1}						0
4	5	6	67	萃肄·后勤提升包		itembox	supplies.giftbox92	5	1510173	1			698		{4,5,6,67,1}						0
4	5	6	68	焕月·每月天启者聘任包		itembox	supplies.giftbox93	5	1510174	1			699		{4,5,6,68,1}						0
																					
4	5	6	69	藏墟·每周天启者聘任包		itembox	supplies.giftbox94	5	1510176	1			750		{4,5,6,69,1}						0
4	5	6	70	厚壤·天启者聘任包		itembox	supplies.giftbox95	5	1510177	1			751		{4,5,6,70,1}						0
4	5	6	71	宝域·武器定制包		itembox	supplies.giftbox96	5	1510178	1			752		{4,5,6,71,1}						0
4	5	6	72	耀城·豪华物资包		itembox	supplies.giftbox97	5	1510179	1			753		{4,5,6,72,1}						0
4	5	6	73	饶境·资金包		itembox	supplies.giftbox98	5	1510180	1			754		{4,5,6,73,1}						0
4	5	6	74	巧坞·成长物资包		itembox	supplies.giftbox99	5	1510181	1			755		{4,5,6,74,1}						0
4	5	6	75	妙垣·成长物资包		itembox	supplies.giftbox100	5	1510182	1			756		{4,5,6,75,1}						0
4	5	6	76	悬坻·成长物资包		itembox	supplies.giftbox101	5	1510183	1			757		{4,5,6,76,1}						0
4	5	6	77	晶坯·后勤提升包		itembox	supplies.giftbox102	5	1510184	1			758		{4,5,6,77,1}						0
																					
4	5	6	78	风羽·每周天启者聘任包		itembox	supplies.giftbox103	5	1510186	1			761		{4,5,6,78,1}						0
4	5	6	79	飓啸·顶级物资包		itembox	supplies.giftbox104	5	1510187	1			762		{4,5,6,79,1}						0
4	5	6	80	飙尘·天启者聘任包		itembox	supplies.giftbox105	5	1510188	1			763		{4,5,6,80,1}						0
4	5	6	81	飕鸣·武器定制包		itembox	supplies.giftbox106	5	1510189	1			764		{4,5,6,81,1}						0
4	5	6	82	飘盈·资金包		itembox	supplies.giftbox107	5	1510190	1			765		{4,5,6,82,1}						0
4	5	6	83	飒行·成长物资包		itembox	supplies.giftbox108	5	1510191	1			766		{4,5,6,83,1}						0
4	5	6	84	簌翎·成长物资包		itembox	supplies.giftbox109	5	1510192	1			767		{4,5,6,84,1}						0
4	5	6	85	逸翔·成长物资包		itembox	supplies.giftbox110	5	1510193	1			768		{4,5,6,85,1}						0
4	5	6	86	岚霏·后勤提升包		itembox	supplies.giftbox111	5	1510194	1			769		{4,5,6,86,1}						0
4	5	6	87	跃霄·天启者聘任包		itembox	supplies.giftbox112	5	1510195	1			770		{4,5,6,87,1}						0
4	5	6	88	蔚霞·武器定制包		itembox	supplies.giftbox113	5	1510196	1			771		{4,5,6,88,1}						0
4	5	6	89	氤雾·资金包		itembox	supplies.giftbox114	5	1510197	1			772		{4,5,6,89,1}						0
4	5	6	90	氲霁·成长物资包		itembox	supplies.giftbox115	5	1510198	1			773		{4,5,6,90,1}						0
4	5	6	91	晴霭·成长物资包		itembox	supplies.giftbox116	5	1510199	1			774		{4,5,6,91,1}						0
4	5	6	92	层霓·成长物资包		itembox	supplies.giftbox117	5	1510200	1			775		{4,5,6,92,1}						0
4	5	6	93	野氛·后勤提升包		itembox	supplies.giftbox118	5	1510201	1			776		{4,5,6,93,1}						0
																					
4	5	6	94	轻诉·每周天启者聘任包		itembox	supplies.giftbox119	5	1510203	1			797		{4,5,6,94,1}						0
4	5	6	95	归诏·天启者聘任包		itembox	supplies.giftbox120	5	1510204	1			798		{4,5,6,95,1}						0
4	5	6	96	戎谱·武器定制包		itembox	supplies.giftbox121	5	1510205	1			799		{4,5,6,96,1}						0
4	5	6	97	智谋·豪华物资包		itembox	supplies.giftbox122	5	1510206	1			800		{4,5,6,97,1}						0
4	5	6	98	默访·资金包		itembox	supplies.giftbox123	5	1510207	1			801		{4,5,6,98,1}						0
4	5	6	99	鉴证·成长物资包		itembox	supplies.giftbox124	5	1510208	1			802		{4,5,6,99,1}						0
4	5	6	100	战记·成长物资包		itembox	supplies.giftbox125	5	1510209	1			803		{4,5,6,100,1}						0
4	5	6	101	捷讯·成长物资包		itembox	supplies.giftbox126	5	1510210	1			804		{4,5,6,101,1}						0
4	5	6	102	围议·后勤提升包		itembox	supplies.giftbox127	5	1510211	1			805		{4,5,6,102,1}						0
																					
4	5	6	103	凉抚·每周天启者聘任包		itembox	supplies.giftbox128	5	1510212	1			806		{4,5,6,103,1}						0
4	5	6	104	凝珠·顶级物资包		itembox	supplies.giftbox129	5	1510213	1			807		{4,5,6,104,1}						0
4	5	6	105	冰酪·天启者聘任包		itembox	supplies.giftbox130	5	1510214	1			808		{4,5,6,105,1}						0
4	5	6	106	冻冻·武器定制包		itembox	supplies.giftbox131	5	1510215	1			809		{4,5,6,106,1}						0
4	5	6	107	凛翠·资金包		itembox	supplies.giftbox132	5	1510216	1			810		{4,5,6,107,1}						0
4	5	6	108	甜冽·成长物资包		itembox	supplies.giftbox133	5	1510217	1			811		{4,5,6,108,1}						0
4	5	6	109	净泉·成长物资包		itembox	supplies.giftbox134	5	1510218	1			812		{4,5,6,109,1}						0
4	5	6	110	冷蜜·成长物资包		itembox	supplies.giftbox135	5	1510219	1			813		{4,5,6,110,1}						0
4	5	6	111	糖凇·后勤提升包		itembox	supplies.giftbox136	5	1510220	1			814		{4,5,6,111,1}						0
4	5	6	112	涛湍·天启者聘任包		itembox	supplies.giftbox137	5	1510221	1			815		{4,5,6,112,1}						0
4	5	6	113	浪涌·武器定制包		itembox	supplies.giftbox138	5	1510222	1			816		{4,5,6,113,1}						0
4	5	6	114	流念·资金包		itembox	supplies.giftbox139	5	1510223	1			817		{4,5,6,114,1}						0
4	5	6	115	泓隐·成长物资包		itembox	supplies.giftbox140	5	1510224	1			818		{4,5,6,115,1}						0
4	5	6	116	沫散·成长物资包		itembox	supplies.giftbox141	5	1510225	1			819		{4,5,6,116,1}						0
4	5	6	117	汀奏·成长物资包		itembox	supplies.giftbox142	5	1510226	1			820		{4,5,6,117,1}						0
4	5	6	118	溪旅·后勤提升包		itembox	supplies.giftbox143	5	1510227	1			821		{4,5,6,118,1}						0
																					
4	5	6	119	辟垦·每周天启者聘任包		itembox	supplies.giftbox144	5	1510229	1			823		{4,5,6,119,1}						0
4	5	6	120	晖坠·天启者聘任包		itembox	supplies.giftbox145	5	1510230	1			824		{4,5,6,120,1}						0
4	5	6	121	琢圭·武器定制包		itembox	supplies.giftbox146	5	1510231	1			825		{4,5,6,121,1}						0
4	5	6	122	峰壑·豪华物资包		itembox	supplies.giftbox147	5	1510232	1			826		{4,5,6,122,1}						0
4	5	6	123	崖堑·资金包		itembox	supplies.giftbox148	5	1510233	1			827		{4,5,6,123,1}						0
4	5	6	124	观壁·成长物资包		itembox	supplies.giftbox149	5	1510234	1			828		{4,5,6,124,1}						0
4	5	6	125	砂垒·成长物资包		itembox	supplies.giftbox150	5	1510235	1			829		{4,5,6,125,1}						0
4	5	6	126	荒垄·成长物资包		itembox	supplies.giftbox151	5	1510236	1			830		{4,5,6,126,1}						0
4	5	6	127	摧坚·后勤提升包		itembox	supplies.giftbox152	5	1510237	1			831		{4,5,6,127,1}						0
																					
4	5	6	128	炙阳·每周天启者聘任包		itembox	supplies.giftbox153	5	1510239	1			832								0
4	5	6	129	灵现·天启者聘任包		itembox	supplies.giftbox154	5	1510240	1			833								0
4	5	6	130	焚铄·武器定制包		itembox	supplies.giftbox155	5	1510241	1			834								0
4	5	6	131	焱勇·豪华物资包		itembox	supplies.giftbox156	5	1510242	1			835								0
4	5	6	132	燎金·资金包		itembox	supplies.giftbox157	5	1510243	1			836								0
4	5	6	133	燃犀·成长物资包		itembox	supplies.giftbox158	5	1510244	1			837								0
4	5	6	134	炽盛·成长物资包		itembox	supplies.giftbox159	5	1510245	1			838								0
4	5	6	135	烬腾·成长物资包		itembox	supplies.giftbox160	5	1510246	1			839								0
4	5	6	136	炼骨·后勤提升包		itembox	supplies.giftbox161	5	1510247	1			840								0
																					
4	5	6	137	琳秀·每周天启者聘任包		itembox	supplies.giftbox162	5	1510250	1			842								0
4	5	6	138	华琅·顶级物资包		itembox	supplies.giftbox163	5	1510251	1			843								0
4	5	6	139	璇姿·天启者聘任包		itembox	supplies.giftbox164	5	1510252	1			844								0
4	5	6	140	琼枝·武器定制包		itembox	supplies.giftbox165	5	1510253	1			845								0
4	5	6	141	锦瑰·资金包		itembox	supplies.giftbox166	5	1510254	1			846								0
4	5	6	142	稀珍·成长物资包		itembox	supplies.giftbox167	5	1510255	1			847								0
4	5	6	143	绯玑·成长物资包		itembox	supplies.giftbox168	5	1510256	1			848								0
4	5	6	144	彤珠·成长物资包		itembox	supplies.giftbox169	5	1510257	1			849								0
4	5	6	145	香璎·后勤提升包		itembox	supplies.giftbox170	5	1510258	1			850								0
4	5	6	146	琉彩·天启者聘任包		itembox	supplies.giftbox171	5	1510259	1			851								0
4	5	6	147	琢器·武器定制包		itembox	supplies.giftbox172	5	1510260	1			852								0
4	5	6	148	玫印·资金包		itembox	supplies.giftbox173	5	1510261	1			853								0
4	5	6	149	素珞·成长物资包		itembox	supplies.giftbox174	5	1510262	1			854								0
4	5	6	150	赤瑶·成长物资包		itembox	supplies.giftbox175	5	1510263	1			855								0
4	5	6	151	丹瑾·成长物资包		itembox	supplies.giftbox176	5	1510264	1			856								0
4	5	6	152	花珀·后勤提升包		itembox	supplies.giftbox177	5	1510265	1			857								0
																					
4	5	6	153	风绻·每周天启者聘任包		itembox	supplies.giftbox178	5	1510267	1			859								0
4	5	6	154	飘寻·天启者聘任包		itembox	supplies.giftbox179	5	1510268	1			860								0
4	5	6	155	飒影·武器定制包		itembox	supplies.giftbox180	5	1510269	1			861								0
4	5	6	156	幻翼·豪华物资包		itembox	supplies.giftbox181	5	1510270	1			862								0
4	5	6	157	星翌·资金包		itembox	supplies.giftbox182	5	1510271	1			863								0
4	5	6	158	渺岚·成长物资包		itembox	supplies.giftbox183	5	1510272	1			864								0
4	5	6	159	翎光·成长物资包		itembox	supplies.giftbox184	5	1510273	1			865								0
4	5	6	160	翩舞·成长物资包		itembox	supplies.giftbox185	5	1510274	1			866								0
4	5	6	161	羽盈·后勤提升包		itembox	supplies.giftbox186	5	1510275	1			867								0
																					
4	5	6	162	湄迹·每周天启者聘任包		itembox	supplies.giftbox187	5	1510283	1			869								0
4	5	6	163	洄觅·天启者聘任包		itembox	supplies.giftbox188	5	1510284	1			870								0
4	5	6	164	澄械·武器定制包		itembox	supplies.giftbox189	5	1510285	1			871								0
4	5	6	165	漩能·豪华物资包		itembox	supplies.giftbox190	5	1510286	1			872								0
4	5	6	166	溟镞·资金包		itembox	supplies.giftbox191	5	1510287	1			873								0
4	5	6	167	沫迁·成长物资包		itembox	supplies.giftbox192	5	1510288	1			874								0
4	5	6	168	涟狩·成长物资包		itembox	supplies.giftbox193	5	1510289	1			875								0
4	5	6	169	漪震·成长物资包		itembox	supplies.giftbox194	5	1510290	1			876								0
4	5	6	170	湫闻·后勤提升包		itembox	supplies.giftbox195	5	1510291	1			877								0
																					
4	5	6	171	幻钥·每周天启者聘任包		itembox	supplies.giftbox196	5	1510292	1			878								0
4	5	6	172	虚键·天启者聘任包		itembox	supplies.giftbox197	5	1510293	1			879								0
4	5	6	173	谶迹·武器定制包		itembox	supplies.giftbox198	5	1510294	1			880								0
4	5	6	174	邃理·豪华物资包		itembox	supplies.giftbox199	5	1510295	1			881								0
4	5	6	175	悖码·资金包		itembox	supplies.giftbox200	5	1510296	1			882								0
4	5	6	176	谜蜕·成长物资包		itembox	supplies.giftbox201	5	1510297	1			883								0
4	5	6	177	伪序·成长物资包		itembox	supplies.giftbox202	5	1510298	1			884								0
4	5	6	178	逆因·成长物资包		itembox	supplies.giftbox203	5	1510299	1			885								0
4	5	6	179	诡契·后勤提升包		itembox	supplies.giftbox204	5	1510300	1			886								0
																					
4	5	6	180	题献·每周天启者聘任包		itembox	supplies.giftbox205	5	1510301	1			842								0
4	5	6	181	智辩·顶级物资包		itembox	supplies.giftbox206	5	1510302	1			843								0
4	5	6	182	誓曲·天启者聘任包		itembox	supplies.giftbox207	5	1510303	1			844								0
4	5	6	183	证冕·武器定制包		itembox	supplies.giftbox208	5	1510304	1			845								0
4	5	6	184	谶序·资金包		itembox	supplies.giftbox209	5	1510305	1			846								0
4	5	6	185	赋格·成长物资包		itembox	supplies.giftbox210	5	1510306	1			847								0
4	5	6	186	哲颂·成长物资包		itembox	supplies.giftbox211	5	1510307	1			848								0
4	5	6	187	夜理·成长物资包		itembox	supplies.giftbox212	5	1510308	1			849								0
4	5	6	188	阈契·后勤提升包		itembox	supplies.giftbox213	5	1510309	1			850								0
4	5	6	189	星绎·天启者聘任包		itembox	supplies.giftbox214	5	1510310	1			851								0
4	5	6	190	思曜·武器定制包		itembox	supplies.giftbox215	5	1510311	1			852								0
4	5	6	191	秘谕·资金包		itembox	supplies.giftbox216	5	1510312	1			853								0
4	5	6	192	梦谒·成长物资包		itembox	supplies.giftbox217	5	1510313	1			854								0
4	5	6	193	典钥·成长物资包		itembox	supplies.giftbox218	5	1510314	1			855								0
4	5	6	194	律锚·成长物资包		itembox	supplies.giftbox219	5	1510315	1			856								0
4	5	6	195	箴言·后勤提升包		itembox	supplies.giftbox220	5	1510316	1			857								0
																					
4	5	6	196	夜礼·每周天启者聘任包		itembox	supplies.giftbox221	5	1510317	1			878								0
4	5	6	197	夜礼·天启者聘任包		itembox	supplies.giftbox222	5	1510318	1			879								0
4	5	6	198	夜礼·武器定制包		itembox	supplies.giftbox223	5	1510319	1			880								0
4	5	6	199	夜礼·豪华物资包		itembox	supplies.giftbox224	5	1510320	1			881								0
4	5	6	200	夜礼·成长资金包		itembox	supplies.giftbox225	5	1510321	1			882								0
4	5	6	201	夜礼·神经突破包		itembox	supplies.giftbox226	5	1510322	1			883								0
4	5	6	202	夜礼·等级提升包		itembox	supplies.giftbox227	5	1510323	1			884								0
4	5	6	203	夜礼·神经通导包		itembox	supplies.giftbox228	5	1510324	1			885								0
4	5	6	204	夜礼·后勤提升包		itembox	supplies.giftbox229	5	1510325	1			886								0
																					
4	5	6	205	悦汐·每周天启者聘任包		itembox	supplies.giftbox230	5	1510326	1			842								0
4	5	6	206	悦汐·顶级物资包		itembox	supplies.giftbox231	5	1510327	1			843								0
4	5	6	207	悦汐·天启者聘任包		itembox	supplies.giftbox232	5	1510328	1			844								0
4	5	6	208	悦汐·武器定制包		itembox	supplies.giftbox233	5	1510329	1			845								0
