道具大类	道具子类	道具ID	等级	//注释	禁用道具	类名	排序分类(1角色碎片2角色养成素材3武器养成素材4后勤养成素材5其他）	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	图标	脚标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	附加参数1	附加参数2	附加参数3	提供经验值	消耗金币	最早可使用时间，格式：年月日，如201601010200	最晚可使用时间，格式：相对日期直接填天数；绝对日期填2024-04-28T04:00:00	分解回收配置，对应recycle.txt中得ID列	GM投放
5	20	1	3	智能合金	1		3	supplies.weaponbreak007	4	1510020			1										999
5	6	1	1	人事档案1	1		3	supplies.supportbreak001	4	1510021			1										999
5	6	1	2	重修申请			4	supplies.supportbreak002	5	1510022			1										999
5	6	2	1	重修额度			4	supplies.supportbreak003	5	1510238			1										999
5	6	3	1	特定重修额度			4	supplies.supportbreak004	5	1510248			1										999
5	7	1	1	人事额度			4	supplies.supporttoken001	4	1510023			1										999
5	7	1	2	精英人事额度			4	supplies.supporttoken002	5	1510175			1										999
5	8	1	1	过氧胆碱	1		4	supplies.spineskill001	2	1510024			1										999
5	8	1	2	甲基单胺	1		4	supplies.spineskill002	3	1510025			1										999
5	8	1	3	异氨酸	1		4	supplies.spineskill003	4	1510026			1										999
5	8	1	4	神格肽	1		4	supplies.spineskill004	5	1510027			1										999
5	9	1	1	高通量树突	1		2	supplies.spineskill005	2	1510028			1										999
5	9	1	2	光纤轴突			2	supplies.spineskill006	3	1510029			1										999
5	9	1	3	量子胞体			2	supplies.spineskill007	5	1510030			1										999
5	9	2	2	配型光纤轴突			2	supplies.spineskill008	3	1510029			1										999
5	9	2	3	配型量子胞体			2	supplies.spineskill009	5	1510030			1										999
5	21	1	4	天启者共鸣凭证			5	supplies.gacha1	5	1510031			1										999
5	21	2	4	武器申请书			5	supplies.gacha2	5	1510032			1										999
5	21	1	5	天启者共鸣誓约			5	supplies.gacha3	5	1510098			1										999
5	21	2	5	武器定制合约			5	supplies.gacha4	5	1510099			1										999
5	21	3	5	活动抽卡券			5	supplies.gacha5	5	1520071			1								2024-08-10T04:00:00		999
5	21	4	5	3.6限定抽卡券			5	supplies.gacha3	5	1510098			1								2026-06-19T04:00:00		999
5	21	5	5	3.6限定武器抽卡券			5	supplies.gacha4	5	1510099			1								2026-06-19T04:00:00		999
5	10	1	1	动能溶胶			3	supplies.weaponskill001	4	1510033			1						10000				999
5	10	1	2	全向溶胶			3	supplies.weaponskill002	5	1510034			1						30000				999
5	11	1	4	世界树员工惠利		itembox	5	supplies.month_card	5	1510035		1	1		99								1
5	12	1	1	共鸣增幅剂			5	supplies.other1	4	1510036			1										
5	13	1	4	嘉奖识别码			5	supplies.identificationCodeA	5	1510037			1										1
5	13	1	3	配给识别码			5	supplies.identificationCodeB	4	1510038			1										1
5	14	1	1	浓缩泰坦结晶			5	supplies.towertoken	4	1510039			1										999
5	15	1	1	虚构内啡肽			5	supplies.bosstoken	4	1510040			1										999
5	13	2	1	武器组件			5	supplies.weaponModule	5	1510109			1										999
5	13	2	2	通用武器组件			5	supplies.weaponModule_2	4	1510185			1										999
5	13	2	3	能量方晶			5	supplies.weaponModule_3	5	1510202			1										999
5	13	3	1	回馈点		recharge_box	5	supplies.requite	5	1510202		1	1		1								
5	13	3	2	回馈点		recharge_box	5	supplies.requite	5	1510202		1	1		1	1							
																							
5	17	1	1	通用R后勤展示			5		3	1510041													0
5	17	1	2	通用SR后勤展示			5		4	1510041													0
5	17	1	3	通用SSR后勤展示			5		5	1510041													0
																							
5	18	1	1	共鸣增幅剂			5	supplies.augment	4	1510042			1										0
5	19	1	1	原初思念片段			5	supplies.cut1	4	1510043			1										1
5	19	1	2	新选思念片段			5	supplies.cut2	5	1510044			1										1
5	22	1	1	龙角勋章			5	supplies.fighttoken	4	1510097			1										999
																							
5	23	1	1	吉语币			5	supplies.dlc101	4	1510100			1								2023-09-21T04:00:00		999
5	23	1	2	纳福签			5	supplies.dlc102	5	1510101			1								2023-09-21T04:00:00		999
4	1	6	2	先驱铭牌			5	supplies.dlc2.token1	5	1510106			1								2023-11-02T04:00:00		999
4	1	6	3	激励点数			5	supplies.dlc2.token2	4	1510103			1								2023-11-02T04:00:00		999
5	24	1	1	激励点数		itembox	5	supplies.darkzone1	4	1510103		1	1		20						2023-11-02T04:00:00		999
5	24	3	1	数据样本		darkzone_datasimple	5	supplies.darkzone3	4	1510105		1	1										999
5	25	1	1	粗切鱼肉			5	supplies.fishmeat1	3	110400650			1										999
5	25	1	2	精致鱼肉			5	supplies.fishmeat2	4	110400660			1										999
5	25	1	3	顶级鱼肉			5	supplies.fishmeat3	5	110400670			1										999
5	25	1	4	月溶草			5	supplies.herb1	3	1520300			1										999
5	25	1	5	紫绒球			5	supplies.herb2	3	1520301			1										999
5	25	1	6	夜莲花			5	supplies.herb3	3	1520302			1										999
5	25	1	7	铃铛花			5	supplies.herb4	3	1520303			1										999
5	25	1	8	灯芯果			5	supplies.herb5	4	1520304			1								2025-03-06T04:00:00		999
																							
																							
																							
5	25	2	1	临时技能证书I			5	supplies.vircapture.skillexp1	1	1520066			1										999
5	25	2	2	初级技能证书			5	supplies.vircapture.skillexp2	2	1520067			1										999
5	25	2	3	中级技能证书			5	supplies.vircapture.skillexp3	3	1520068			1										999
5	25	2	4	高级技能证书			5	supplies.vircapture.skillexp4	4	1520069			1										999
5	25	2	5	特级技能证书			5	supplies.vircapture.skillexp5	5	1520070			1										999
5	25	2	6	好伙伴券			5	supplies.vircapture.token2	5	1520057			1										999
																							
5	25	4	1	翠星应援棒			5	supplies.dlc3RichMan	4	110400011			1								2023-12-14T04:00:00		
																							
5	25	5	1	智械通用组件			5	supplies.forbidzone.weaponexp1	4	1520093			1										999
5	25	5	2	智械改进组件			5	supplies.forbidzone.weaponexp2	5	1520094			1										999
																							
5	26	1	4	虹膜录入证明			5	supplies.IrisCertificate	5	1520024			1										20
																							
5	27	1	1	真之碎片其一			5	supplies.Slate_01_01	5	1004050			1										
5	27	2	1	真之碎片其二			5	supplies.Slate_01_02	5	1004050			1										
5	27	3	1	真之碎片其三			5	supplies.Slate_01_03	5	1004050			1										
5	27	4	1	真之碎片其四			5	supplies.Slate_02_01	5	1004050			1										
5	27	5	1	真之碎片其五			5	supplies.Slate_02_02	5	1004050			1										
5	27	6	1	真之碎片其六			5	supplies.Slate_02_03	5	1004050			1										
5	27	7	1	真之碎片其七			5	supplies.Slate_03_01	5	1004050			1										
5	27	8	1	真之碎片其八			5	supplies.Slate_03_02	5	1004050			1										
5	27	9	1	真之碎片其九			5	supplies.Slate_03_03	5	1004050			1										
5	27	10	1	鱼之碎片其一			5	supplies.Slate_04_01	5	1004051			1										
5	27	11	1	鱼之碎片其二			5	supplies.Slate_04_02	5	1004051			1										
5	27	12	1	鱼之碎片其三			5	supplies.Slate_04_03	5	1004051			1										
5	27	13	1	莲之碎片其一			5	supplies.Slate_05_01	5	1004051			1										
5	27	14	1	莲之碎片其二			5	supplies.Slate_05_02	5	1004051			1										
5	27	15	1	痛之碎片其一			5	supplies.Slate_06_01	5	1004051			1										
5	27	16	1	痛之碎片其二			5	supplies.Slate_06_02	5	1004051			1										
5	27	17	1	法之碎片其一			5	supplies.Slate_07_01	5	1004051			1										
5	27	18	1	法之碎片其二			5	supplies.Slate_07_02	5	1004051			1										
5	27	19	1	法之碎片其三			5	supplies.Slate_07_03	5	1004051			1										
5	27	20	1	壳之碎片其一			5	supplies.Slate_08_01	5	1004051			1										
5	27	21	1	壳之碎片其二			5	supplies.Slate_08_02	5	1004051			1										
5	27	22	1	壳之碎片其三			5	supplies.Slate_08_03	5	1004051			1										
5	27	23	1	影之碎片其一			5	supplies.Slate_09_01	5	1004051			1										
5	27	24	1	影之碎片其二			5	supplies.Slate_09_02	5	1004051			1										
5	27	25	1	影之碎片其三			5	supplies.Slate_09_03	5	1004051			1										
5	27	26	1	遗言其一			5	supplies.Slate_10_01	5	1004051			1										
5	27	27	1	遗言其二			5	supplies.Slate_11_01	5	1004051			1										
5	27	28	1	遗言其三			5	supplies.Slate_12_01	5	1004051			1										
																							
5	28	1	1	萤星卡券			5	supplies.skinTicket	5	1510120			1										999
																							
5	29	1	1	配给凭据			5	supplies.dlc401	4	1510128			1								2024-01-18T04:00:00		999
5	29	1	2	雪境功勋			5	supplies.dlc402	5	1510129			1								2024-01-18T04:00:00		999
5	29	2	1	暗雪拉环			5	supplies.dlc501	4	1520047			1								2024-03-07T04:00:00		999
5	29	2	2	星芒徽记			5	supplies.dlc502	5	1520048			1								2024-03-07T04:00:00		999
5	29	3	1	赐福凭据			5	supplies.dlc701	4	1520055			1								2024-05-30T04:00:00		999
5	29	3	2	皎月之证			5	supplies.dlc702	5	1520056			1								2024-05-30T04:00:00		999
5	29	3	3	赐福凭据-DLC28复刻			5	supplies.dlc703	4	1520055			1								2025-07-10T04:00:00		999
5	29	3	4	皎月之证-DLC28复刻			5	supplies.dlc704	5	1520056			1								2025-07-10T04:00:00		999
5	29	4	1	汉诺票根			5	supplies.dlc801	4	1520061			1								2024-07-11T04:00:00		999
5	29	4	2	超验样本			5	supplies.dlc802	5	1520060			1								2024-07-11T04:00:00		999
5	29	5	1	恒沙信用点			5	supplies.dlc901	4	1520064			1								2024-08-22T04:00:00		999
5	29	5	2	恒沙嘉奖码			5	supplies.dlc902	5	1520065			1								2024-08-22T04:00:00		999
5	29	6	1	复古胶卷			5	supplies.dlc10_01	4	1520090			1								2024-09-26T04:00:00		999
5	29	6	2	沃坦遗骸			5	supplies.dlc10_02	5	1520091			1								2024-09-26T04:00:00		999
5	29	7	1	乐园奖劵			5	supplies.dlc11_01	4	1520096			1								2024-11-07T04:00:00		999
5	29	7	2	炫彩水枪			5	supplies.dlc11_02	5	1520097			1								2024-11-07T04:00:00		999
5	29	8	1	古金属			5	supplies.dlc23_01	4	1520098			1								2024-12-19T04:00:00		999
5	29	8	2	月鸢花			5	supplies.dlc23_02	5	1520099			1								2024-12-19T04:00:00		999
5	29	9	1	辉光蕈			5	supplies.dlc24_01	4	1520102			1								2025-01-23T04:00:00		999
5	29	9	2	彩绯岩			5	supplies.dlc24_02	5	1520103			1								2025-01-23T04:00:00		999
5	29	10	1	并蒂莲			5	supplies.dlc25_01	4	1522005			1								2025-03-06T04:00:00		999
5	29	10	2	如意牌			5	supplies.dlc25_02	5	1522006			1								2025-03-06T04:00:00		999
5	29	11	1	银蔷薇纪念币			5	supplies.dlc26_01	4	1520105			1								2025-04-17T04:00:00		999
5	29	11	2	金蔷薇纪念币			5	supplies.dlc26_02	5	1520106			1								2025-04-17T04:00:00		999
5	29	12	1	补给凭据			5	supplies.dlc27_01	4	1520107			1								2025-05-29T04:00:00		999
5	29	12	2	渊底珍珠			5	supplies.dlc27_02	5	1520108			1								2025-05-29T04:00:00		999
5	29	13	1	调查金章			5	supplies.dlc28_01	4	1520109			1								2025-07-10T04:00:00		999
5	29	13	2	三角金章			5	supplies.dlc28_02	5	1520110			1								2025-07-10T04:00:00		999
5	29	14	1	智识之花			5	supplies.dlc30_01	4	1520111			1								2025-08-21T04:00:00		999
5	29	14	2	理想之星			5	supplies.dlc30_02	5	1520112			1								2025-08-21T04:00:00		999
5	29	15	1	吉诺拉红蔷薇			5	supplies.dlc31_01	4	1520113			1								2025-09-25T04:00:00		999
5	29	15	2	实验数据			5	supplies.dlc31_02	5	1520114			1								2025-09-25T04:00:00		999
5	29	15	3	翠星宝螺-DLC31复刻			5	supplies.dlc31_03	4	1510111			1								2025-09-25T04:00:00		999
5	29	15	4	碧月星壳-DLC31复刻			5	supplies.dlc31_04	5	1510119			1								2025-09-25T04:00:00		999
5	29	16	1	熙澜徽章			5	supplies.dlc32_01	4	1520401			1								2025-11-06T04:00:00		999
5	29	16	2	琥珀骰子			5	supplies.dlc32_02	5	1520402			1								2025-11-06T04:00:00		999
5	29	17	1	乐土票根			5	supplies.dlc33_01	4	1520401			1								2025-12-18T04:00:00		999
5	29	17	2	权限密钥			5	supplies.dlc33_02	5	1520402			1								2025-12-18T04:00:00		999
5	29	17	3	乐园奖劵-DLC33复刻			5	supplies.dlc33_03	4	1520096			1								2025-12-18T04:00:00		999
5	29	17	4	炫彩水枪-DLC33复刻			5	supplies.dlc33_04	5	1520097			1								2025-12-18T04:00:00		999
5	29	18	1	树叶书签			5	supplies.dlc34_01	4	1520502			1								2026-01-29T04:00:00		999
5	29	18	2	黄金松塔			5	supplies.dlc34_02	5	1520501			1								2026-01-29T04:00:00		999
5	29	19	1	天狐木雕			5	supplies.dlc35_01	4	1520150			1								2026-05-15T04:00:00		999
5	29	19	2	玫瑰花窗			5	supplies.dlc35_02	5	1520151			1								2026-05-15T04:00:00		999
5	29	20	1	鸢晶石			5	supplies.dlc36_01	4	1520152			1								2026-06-19T04:00:00		999
5	29	20	2	研究日志			5	supplies.dlc36_02	5	1520153			1								2026-06-19T04:00:00		999
5	29	20	3	银蔷薇纪念币-DLC36复刻			5	supplies.dlc36_03	4	1520105			1								2026-06-19T04:00:00		999
5	29	20	4	金蔷薇纪念币-DLC36复刻			5	supplies.dlc36_04	5	1520106			1								2026-06-19T04:00:00		999
5	29	21	1	元合金			5	supplies.dlc37_01	4	1520601			1								2026-07-02T04:00:00		999
5	29	21	2	稳态思念体			5	supplies.dlc37_02	5	1520602			1								2026-07-02T04:00:00		999
																							
5	30	2	1	模型板件			5	supplies.dlc601	5	1520049			1								2024-04-18T04:00:00		999
5	30	2	2	北风票券			5	supplies.dlc602	4	1520050			1								2024-04-18T04:00:00		999
5	30	2	3	模型板件DLC6额外补发版			5	supplies.dlc601	5	1520049			1								2024-04-28T04:00:00		999
5	30	2	4	北风票券DLC6额外补发版			5	supplies.dlc602	4	1520050			1								2024-04-28T04:00:00		999
																							
5	31	1	1	乐透卡			5	supplies.series1	5	1510276			1										0
5	31	1	2	紫金葫芦			5	supplies.series2	5	1510277			1										0
5	31	1	3	几枚铜钱			5	supplies.series3	5	1510278			1										0
5	31	1	4	三个物流箱			5	supplies.series4	5	1510279			1										0
5	31	1	5	《极夜行动》设定集			5	supplies.series5	5	1510280			1										0
5	31	1	6	茶话会邀请函			5	supplies.series6	5	1510281			1										0
																							
5	32	1	1	武格启芯·妮塔-悸响			1	supplies.chip001	5	1530016			1										999
5	32	2	1	武格启芯·晴-霆光			1	supplies.chip002	5	1530024			1										999
5	32	3	1	武格启芯·猫汐尔-莲驱			1	supplies.chip003	5	1530026			1										999
5	32	4	1	武格启芯·芙提雅-炬芯			1	supplies.chip004	5	1530030			1										999
5	32	5	1	武格启芯·肴-金乌			1	supplies.chip005	5	1530032			1										999
