道具大类	道具子类	道具ID	等级	注释	禁用道具	类名	名字key	稀有度（1=白，2=绿，3=蓝，4=紫，5=橙）	初始星数（初始突破次数=星数-1）	图标	图标	使用方式，0不可使用，1自动，2手动  不填为0	是否可堆叠（1：可堆叠 0：不可堆叠 不填为0）	是否可培养（1：可培养 0：不可培养 不填为0）	等级限制配置ID,与level_limit.txt中配置ID对应	附加参数1	附加参数2	附加参数3	成长属性ID	外观ID	后勤卡默认技能ID(数组）	套装技能对应ID	词缀池{A,B}	单次洗炼消耗	一二词条洗炼消耗	保底洗炼消耗	提供经验值	消耗金币	分解回收配置，对应recycle.txt中得ID列	档案解锁条件	GM投放	掉落途径	可查看时间限制
3	1	4	1	梵灵-露茜娅		support_card	support.name010	3	1	11100041	11100041			1	1007				10020			10004	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	2	4	1	梵灵-瓦茜		support_card	support.name011	3	1	11100042	11100042			1	1007				10021			10004	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	3	4	1	梵灵-纳芙		support_card	support.name012	3	1	11100043	11100043			1	1007				10022			10004	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	1	5	1	“守梦人”-玛蒂娜		support_card	support.name013	3	1	11100051	11100051			1	1007				10023			10005	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	2	5	1	“守梦人”-塞奎特		support_card	support.name014	3	1	11100052	11100052			1	1007				10024			10005	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	3	5	1	“守梦人”-海法		support_card	support.name015	3	1	11100053	11100053			1	1007				10025			10005	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	1	6	1	“信使”-格娜		support_card	support.name016	3	1	11100061	11100061			1	1007				10026			10006	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	2	6	1	“信使”-阿花		support_card	support.name017	3	1	11100062	11100062			1	1007				10027			10006	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
3	3	6	1	“信使”-瓦力		support_card	support.name018	3	1	11100063	11100063			1	1007				10028			10006	{1,1}	{5,6,1,2,1}			1200	300	5	{4,7}	1		
																																	
3	1	7	1	梵音-洛迦		support_card	support.name019	4	1	11200011	11400011			1	1008				10029			10007	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	7	1	梵音-欧白芷		support_card	support.name020	4	1	11200012	11400012			1	1008				10030			10007	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	7	1	梵音-莎罗		support_card	support.name021	4	1	11200013	11400013			1	1008				10031			10007	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	8	1	“锻造者”-蕾西亚		support_card	support.name022	4	1	11200021	11400021			1	1008				10032			10008	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	8	1	“锻造者”-缇坦尼娅		support_card	support.name023	4	1	11200022	11400022			1	1008				10033			10008	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	8	1	“锻造者”-白猎		support_card	support.name024	4	1	11200023	11400023			1	1008				10034			10008	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	9	1	阿尔戈-鸽子		support_card	support.name025	4	1	11200031	11400031			1	1008				10035			10009	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	9	1	阿尔戈-乐手		support_card	support.name026	4	1	11200032	11400032			1	1008				10036			10009	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	9	1	阿尔戈-箭头		support_card	support.name027	4	1	11200033	11400033			1	1008				10037			10009	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	10	1	鬼怪-安提娜		support_card	support.name028	4	1	11200041	11400041			1	1008				10038			10010	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	10	1	鬼怪-薇兹		support_card	support.name029	4	1	11200042	11400042			1	1008				10039			10010	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	10	1	鬼怪-瓦莲		support_card	support.name030	4	1	11200043	11400043			1	1008				10040			10010	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	11	1	“诗人”-奥伊辛		support_card	support.name031	4	1	11200051	11400051			1	1008				10041			10011	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	11	1	“诗人”-凯特琳		support_card	support.name032	4	1	11200052	11400052			1	1008				10042			10011	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	11	1	“诗人”-科洛		support_card	support.name033	4	1	11200053	11400053			1	1008				10043			10011	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	12	1	绿灵-格伦茨		support_card	support.name034	4	1	11200061	11400061			1	1008				10044			10012	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	12	1	绿灵-艾娃		support_card	support.name035	4	1	11200062	11400062			1	1008				10045			10012	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	12	1	绿灵-格蕾丝		support_card	support.name036	4	1	11200063	11400063			1	1008				10046			10012	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	13	1	达摩-红线		support_card	support.name037	5	1	11300011	11500011			1	1009				10059			10017	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	13	1	达摩-佐香		support_card	support.name038	5	1	11300012	11500012			1	1009				10060			10017	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	13	1	达摩-浮沐		support_card	support.name039	5	1	11300013	11500013			1	1009				10061			10017	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	14	1	底比斯-暮影		support_card	support.name040	5	1	11300021	11500021			1	1009				10062			10018	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	14	1	底比斯-孔苏		support_card	support.name041	5	1	11300022	11500022			1	1009				10063			10018	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	14	1	底比斯-穆特		support_card	support.name042	5	1	11300023	11500023			1	1009				10064			10018	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	14	2	底比斯-暮影-定制	1	support_card	support.name040	5	1	11300021	11500021			1	1009				10062			10018	{8,8,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	14	2	底比斯-孔苏-定制	1	support_card	support.name041	5	1	11300022	11500022			1	1009				10063			10018	{8,8,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	14	2	底比斯-穆特-定制	1	support_card	support.name042	5	1	11300023	11500023			1	1009				10064			10018	{8,8,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	1	15	1	芬尼亚-夏洛特		support_card	support.name043	5	1	11300031	11500031			1	1009				10065			10019	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	15	1	芬尼亚-红心		support_card	support.name044	5	1	11300032	11500032			1	1009				10066			10019	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	15	1	芬尼亚-罗茜		support_card	support.name045	5	1	11300033	11500033			1	1009				10067			10019	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	15	2	芬尼亚-夏洛特-定制	1	support_card	support.name043	5	1	11300031	11500031			1	1009				10065			10019	{7,7,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	15	2	芬尼亚-红心-定制	1	support_card	support.name044	5	1	11300032	11500032			1	1009				10066			10019	{7,7,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	15	2	芬尼亚-罗茜-定制	1	support_card	support.name045	5	1	11300033	11500033			1	1009				10067			10019	{7,7,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	1	16	1	摩伊拉-拉克西丝		support_card	support.name046	5	1	11300041	11500041			1	1009				10068			10020	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	16	1	摩伊拉-贝拉		support_card	support.name047	5	1	11300042	11500042			1	1009				10069			10020	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	16	1	摩伊拉-克萝伊		support_card	support.name048	5	1	11300043	11500043			1	1009				10070			10020	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	17	1	梵星-瓦卡斯帕		support_card	support.name049	5	1	11300051	11500051			1	1009				10071			10021	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
3	2	17	1	梵星-苏卡拉		support_card	support.name050	5	1	11300052	11500052			1	1009				10072			10021	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
3	3	17	1	梵星-玛瑞尔		support_card	support.name051	5	1	11300053	11500053			1	1009				10073			10021	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
																																	
3	1	18	1	“鸦眼”-安		support_card	support.name052	4	1	11200071	11400071			1	1008				10047			10013	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	18	1	“鸦眼”-穆林		support_card	support.name053	4	1	11200072	11400072			1	1008				10048			10013	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	18	1	“鸦眼”-海基		support_card	support.name054	4	1	11200073	11400073			1	1008				10049			10013	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	19	1	布里吉-菲儿		support_card	support.name055	4	1	11200081	11400081			1	1008				10050			10014	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	19	1	布里吉-金吉拉		support_card	support.name056	4	1	11200082	11400082			1	1008				10051			10014	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	19	1	布里吉-瓦莱莉		support_card	support.name057	4	1	11200083	11400083			1	1008				10052			10014	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	20	1	精灵-露莎卡		support_card	support.name058	4	1	11200091	11400091			1	1008				10053			10015	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	20	1	精灵-斯涅妮卡		support_card	support.name059	4	1	11200092	11400092			1	1008				10054			10015	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	20	1	精灵-邦妮		support_card	support.name060	4	1	11200093	11400093			1	1008				10055			10015	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	21	1	达努-班西		support_card	support.name061	4	1	11200101	11400101			1	1008				10056			10016	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	2	21	1	达努-温蒂		support_card	support.name062	4	1	11200102	11400102			1	1008				10057			10016	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	3	21	1	达努-银臂		support_card	support.name063	4	1	11200103	11400103			1	1008				10058			10016	{2,2}	{5,6,1,2,1}			3000	750	6	{4,7}	1		
3	1	22	1	凯夫曼-哈尔芙		support_card	support.name066	5	1	11300063	11500063			1	1009				10074			10022	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	22	1	凯夫曼-雅尔哈康		support_card	support.name064	5	1	11300061	11500061			1	1009				10075			10022	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	22	1	凯夫曼-斯卡德肯		support_card	support.name065	5	1	11300062	11500062			1	1009				10076			10022	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
																																	
3	1	23	1	领航者-芳泽		support_card	support.name067	5	1	11300064	11500064			1	1009				10077			10023	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
3	2	23	1	领航者-雅里洛		support_card	support.name068	5	1	11300065	11500065			1	1009				10078			10023	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
3	3	23	1	领航者-玛拉		support_card	support.name069	5	1	11300066	11500066			1	1009				10079			10023	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
3	1	24	1	天岩户-岳间泽		support_card	support.name070	5	1	11300067	11500067			1	1009				10080			10024	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	24	1	天岩户-鹤一		support_card	support.name071	5	1	11300068	11500068			1	1009				10081			10024	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	24	1	天岩户-赤		support_card	support.name072	5	1	11300069	11500069			1	1009				10082			10024	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	25	1	曙光-库米		support_card	support.name073	5	1	11300070	11500070			1	1009				10083			10025	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	25	1	曙光-艾尔维娅		support_card	support.name074	5	1	11300071	11500071			1	1009				10084			10025	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	25	1	曙光-斯维特拉娜		support_card	support.name075	5	1	11300072	11500072			1	1009				10085			10025	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	26	1	水穗-早见悠		support_card	support.name076	5	1	11300073	11500073			1	1009				10086			10026	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
3	2	26	1	水穗-耳长		support_card	support.name077	5	1	11300074	11500074			1	1009				10087			10026	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
3	3	26	1	水穗-布都		support_card	support.name078	5	1	11300075	11500075			1	1009				10088			10026	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1	ui.TxtDungeonsTowerName	
3	1	27	1	新叶-伊玛		support_card	support.name079	5	1	11300076	11500076			1	1009				10089			10027	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	27	1	新叶-伊甸		support_card	support.name080	5	1	11300077	11500077			1	1009				10090			10027	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	27	1	新叶-葛芬		support_card	support.name081	5	1	11300078	11500078			1	1009				10091			10027	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	28	1	明夷-赭毫		support_card	support.name082	5	1	11300079	11500079			1	1009				10092			10028	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	28	1	明夷-朱鹤		support_card	support.name083	5	1	11300080	11500080			1	1009				10093			10028	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	28	1	明夷-金琅		support_card	support.name084	5	1	11300081	11500081			1	1009				10094			10028	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	29	1	秋津-伏雷		support_card	support.name085	5	1	11300083	11500083			1	1009				10095			10029	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	29	1	秋津-夷越		support_card	support.name086	5	1	11300082	11500082			1	1009				10096			10029	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	29	1	秋津-末末		support_card	support.name087	5	1	11300084	11500084			1	1009				10097			10029	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	30	1	阿玛纳-阿赫莫特		support_card	support.name088	5	1	11300085	11500085			1	1009				10098			10030	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	30	1	阿玛纳-卜内菲尔		support_card	support.name089	5	1	11300086	11500086			1	1009				10099			10030	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	30	1	阿玛纳-梅克塔腾		support_card	support.name090	5	1	11300087	11500087			1	1009				10100			10030	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	31	1	心园-伊蓓		support_card	support.name091	5	1	11300088	11500088			1	1009				10101			10031	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	31	1	心园-苏诺		support_card	support.name092	5	1	11300089	11500089			1	1009				10102			10031	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	31	1	心园-吉菲尔		support_card	support.name093	5	1	11300090	11500090			1	1009				10103			10031	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	32	1	伊莱-安提		support_card	support.name094	5	1	11300091	11500091			1	1009				10104			10032	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	32	1	伊莱-斯特拉		support_card	support.name095	5	1	11300092	11500092			1	1009				10105			10032	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	32	1	伊莱-伊达米娅		support_card	support.name096	5	1	11300093	11500093			1	1009				10106			10032	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	32	2	伊莱-安提		support_card	support.name094	5	1	11300091	11500091			1	1009				10104			10032	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	32	2	伊莱-斯特拉		support_card	support.name095	5	1	11300092	11500092			1	1009				10105			10032	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	32	2	伊莱-伊达米娅		support_card	support.name096	5	1	11300093	11500093			1	1009				10106			10032	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	33	1	极光-维塔利娜		support_card	support.name097	5	1	11300094	11500094			1	1009				10107			10033	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	33	1	极光-格洛莉娅		support_card	support.name099	5	1	11300096	11500096			1	1009				10108			10033	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	33	1	极光-伊芙尼卡		support_card	support.name098	5	1	11300095	11500095			1	1009				10109			10033	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
																																	
3	1	34	1	祖灵-穆希娜		support_card	support.name100	5	1	11300097	11500097			1	1009				10110			10034	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	34	1	祖灵-斯卡特		support_card	support.name101	5	1	11300098	11500098			1	1009				10111			10034	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	34	1	祖灵-艾丽娅		support_card	support.name102	5	1	11300099	11500099			1	1009				10112			10034	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	34	2	祖灵-穆希娜		support_card	support.name100	5	1	11300097	11500097			1	1009				10110			10034	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	34	2	祖灵-斯卡特		support_card	support.name101	5	1	11300098	11500098			1	1009				10111			10034	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	34	2	祖灵-艾丽娅		support_card	support.name102	5	1	11300099	11500099			1	1009				10112			10034	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	35	1	沙叶-阿什叶		support_card	support.name103	5	1	11300100	11500100			1	1009				10113			10035	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	35	1	沙叶-娜姆		support_card	support.name104	5	1	11300101	11500101			1	1009				10114			10035	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	3	35	1	沙叶-帕斯特		support_card	support.name105	5	1	11300102	11500102			1	1009				10115			10035	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	1	35	2	沙叶-阿什叶-定制		support_card	support.name103	5	1	11300100	11500100			1	1009				10113			10035	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	2	35	2	沙叶-娜姆-定制		support_card	support.name104	5	1	11300101	11500101			1	1009				10114			10035	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
3	3	35	2	沙叶-帕斯特-定制		support_card	support.name105	5	1	11300102	11500102			1	1009				10115			10035	{9,9,6}	{5,6,1,2,1}			9000	2250	7	{4,7,10}	1		
																																	
3	1	36	1	金甲-菈普克		support_card	support.name106	5	1	11300103	11500103			1	1009				10116			10036	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
3	2	36	1	金甲-莫尔德莉		support_card	support.name107	5	1	11300104	11500104			1	1009				10117			10036	{3,3,6}	{5,6,1,2,1}	{{5,6,2,1,1},{5,7,1,1,50}}	{5,6,3,1,1}	9000	2250	7	{4,7,10}	1		
