商店Id(不配置就不显示)	商品Id(不重复 100以内给bp)	是否是BP皮	前置商品Id	角标（礼包特惠角标=1，不显示=0或不配）	IOS后台id	安卓后台id	Pc后台id	//备注	类型，用于判断和购买，1充值货币2月卡3bp道具4礼包5皮肤6数据金	商品gdpl	DIY道具（关联diy_item表ID）	限购类型，0或不填为无限制，1日限制，2周限制,3月限制,4总计限购	限购次数	价格	价格2（只能填比特金、数据金价格）	显示价格(1=比特价、2=数据金、100=人民币，不填默认读Cost字段配置的类型)	商品名称	美宣图（只有捆绑包和武器皮肤会配置）	预览缩略图（只有互动情景道具和带有互动情景道具的组合包会配置）	列表图标（只有捆绑包和武器皮肤会配置）	解锁条件	折扣百分比(0-100)	折扣开始时间	折扣结束时间	上架时间	下架时间	显示时间（客户端显示商品）	结束显示时间（客户端显示商品）	是否提示防沉迷(1提示)	扩展参数(通行证{期数,类型};月卡{拥有限制数量};数据金{首次赠送数量,常规赠送数量};皮肤{{需要购买时同时判断的皮肤GDPL}}礼包{1=未达到解锁条件时隐藏})	排序(从小到大)	互斥商品ID	互斥商品列表	试玩ID	对应版本	DMM点数
	56							DLC31凭证差价	3	{4,1,5,1,1}		4	1		{1,60}															{19,2}						
	57							DLC31特级凭证	3	{4,1,5,3,1}		4	1		{1,128}															{19,3}						
	58							DLC32高级凭证	3	{4,1,5,2,1}		4	1		{1,68}															{20,1}						
	59							DLC32凭证差价	3	{4,1,5,1,1}		4	1		{1,60}															{20,2}						
	60							DLC32特级凭证	3	{4,1,5,3,1}		4	1		{1,128}															{20,3}						
	61							DLC32BP额外购买礼包	3	{4,11,20,1,1}		4	1		{1,48}															{20,4}						
	62							DLC33高级凭证	3	{4,1,5,2,1}		4	1		{1,68}															{21,1}						
	63							DLC33凭证差价	3	{4,1,5,1,1}		4	1		{1,60}															{21,2}						
	64							DLC33特级凭证	3	{4,1,5,3,1}		4	1		{1,128}															{21,3}						
	65							DLC33BP额外购买礼包	3	{4,11,21,1,1}		4	1		{1,48}															{21,4}						
	66							DLC34高级凭证	3	{4,1,5,2,1}		4	1		{1,68}															{22,1}						
	67							DLC34凭证差价	3	{4,1,5,1,1}		4	1		{1,60}															{22,2}						
	68							DLC34特级凭证	3	{4,1,5,3,1}		4	1		{1,128}															{22,3}						
	69							DLC34BP额外购买礼包	3	{4,11,22,1,1}		4	1		{1,48}															{22,4}						
	70							DLC35高级凭证	3	{4,1,5,2,1}		4	1		{1,68}															{23,1}						
	71							DLC35凭证差价	3	{4,1,5,1,1}		4	1		{1,60}															{23,2}						
	72							DLC35特级凭证	3	{4,1,5,3,1}		4	1		{1,128}															{23,3}						
	73							DLC35BP额外购买礼包	3	{4,11,23,1,1}		4	1		{1,48}															{23,4}						
	74							DLC36高级凭证	3	{4,1,5,2,1}		4	1		{1,68}															{24,1}						
	75							DLC36凭证差价	3	{4,1,5,1,1}		4	1		{1,60}															{24,2}						
	76							DLC36特级凭证	3	{4,1,5,3,1}		4	1		{1,128}															{24,3}						
	77							DLC36BP额外购买礼包	3	{4,11,24,1,1}		4	1		{1,48}															{24,4}						
																																				
																																				
6	101				com.seasun.ios.item1	com.seasun.gp.item1	com.seasun.pc.item1	snowtestitem1-0.99usd	1	{4,9,1,4,6}				{100,6}																						120
6	102				com.seasun.ios.item2	com.seasun.gp.item2	com.seasun.pc.item2	snowtestitem2-4.99usd	1	{4,9,2,4,30}				{100,30}																						610
6	103				com.seasun.ios.item3	com.seasun.gp.item3	com.seasun.pc.item3	snowtestitem3-14.99usd	1	{4,9,3,4,98}				{100,98}																						1840
6	104				com.seasun.ios.item4	com.seasun.gp.item4	com.seasun.pc.item4	snowtestitem4-29.99usd	1	{4,9,4,4,198}				{100,198}																						3680
6	105				com.seasun.ios.item5	com.seasun.gp.item5	com.seasun.pc.item5	snowtestitem5-49.99usd	1	{4,9,5,4,328}				{100,328}																						6100
6	106				com.seasun.ios.item6	com.seasun.gp.item6	com.seasun.pc.item6	snowtestitem6-99.99usd	1	{4,9,6,4,648}				{100,648}																						12000
																																				
	107				com.seasun.web.item1	com.seasun.web.item1	com.seasun.web.item1	snowtestitem1-0.99usd	1	{4,9,1,4,6}				{100,6}																						
	108				com.seasun.web.item2	com.seasun.web.item2	com.seasun.web.item2	snowtestitem2-4.99usd	1	{4,9,2,4,30}				{100,30}																						
	109				com.seasun.web.item3	com.seasun.web.item3	com.seasun.web.item3	snowtestitem3-14.99usd	1	{4,9,3,4,98}				{100,98}																						
	110				com.seasun.web.item4	com.seasun.web.item4	com.seasun.web.item4	snowtestitem4-29.99usd	1	{4,9,4,4,198}				{100,198}																						
	111				com.seasun.web.item5	com.seasun.web.item5	com.seasun.web.item5	snowtestitem5-49.99usd	1	{4,9,5,4,328}				{100,328}																						
	112				com.seasun.web.item6	com.seasun.web.item6	com.seasun.web.item6	snowtestitem6-99.99usd	1	{4,9,6,4,648}				{100,648}																						
																																				
	113				com.seasun.web.item1_30	com.seasun.web.item1_30	com.seasun.web.item1_30	比特金*5	1	{4,9,1,4,5}				{100,5}																						
	114				com.seasun.web.item2_50	com.seasun.web.item2_50	com.seasun.web.item2_50	比特金*9	1	{4,9,2,4,9}				{100,9}																						
	115				com.seasun.web.item3_1000	com.seasun.web.item3_1000	com.seasun.web.item3_1000	比特金*190	1	{4,9,3,4,190}				{100,190}																						
	116				com.seasun.web.item4_1150	com.seasun.web.item4_1150	com.seasun.web.item4_1150	比特金*230	1	{4,9,4,4,230}				{100,230}																						
	117				com.seasun.web.item5_5000	com.seasun.web.item5_5000	com.seasun.web.item5_5000	比特金*1100	1	{4,9,5,4,1100}				{100,1100}																						
	118				com.seasun.web.item6_10000	com.seasun.web.item6_10000	com.seasun.web.item6_10000	比特金*2200	1	{4,9,6,4,2200}				{100,2200}																						
																																				
	119				com.seasun.web.item7_90	com.seasun.web.item7_90	com.seasun.web.item7_90	比特金*15	1	{4,9,1,4,15}				{100,15}																						
	120				com.seasun.web.item8_150	com.seasun.web.item8_150	com.seasun.web.item8_150	比特金*27	1	{4,9,1,4,27}				{100,27}																						
	121				com.seasun.web.item9_300	com.seasun.web.item9_300	com.seasun.web.item9_300	比特金*54	1	{4,9,1,4,54}				{100,54}																						
	122				com.seasun.web.item10_350	com.seasun.web.item10_350	com.seasun.web.item10_350	比特金*63	1	{4,9,1,4,63}				{100,63}																						
	123				com.seasun.web.item11_400	com.seasun.web.item11_400	com.seasun.web.item11_400	比特金*72	1	{4,9,1,4,72}				{100,72}																						
	124				com.seasun.web.item12_450	com.seasun.web.item12_450	com.seasun.web.item12_450	比特金*81	1	{4,9,1,4,81}				{100,81}																						
	125				com.seasun.web.item13_500	com.seasun.web.item13_500	com.seasun.web.item13_500	比特金*93	1	{4,9,1,4,93}				{100,93}																						
	126				com.seasun.web.item14_750	com.seasun.web.item14_750	com.seasun.web.item14_750	比特金*140	1	{4,9,1,4,140}				{100,140}																						
	127				com.seasun.web.item15_1490	com.seasun.web.item15_1490	com.seasun.web.item15_1490	比特金*300	1	{4,9,1,4,300}				{100,300}																						
	128				com.seasun.web.item16_1690	com.seasun.web.item16_1690	com.seasun.web.item16_1690	比特金*350	1	{4,9,1,4,350}				{100,350}																						
	129				com.seasun.web.item17_2000	com.seasun.web.item17_2000	com.seasun.web.item17_2000	比特金*420	1	{4,9,1,4,420}				{100,420}																						
	130				com.seasun.web.item18_2500	com.seasun.web.item18_2500	com.seasun.web.item18_2500	比特金*530	1	{4,9,1,4,530}				{100,530}																						
	131				com.seasun.web.item19_3000	com.seasun.web.item19_3000	com.seasun.web.item19_3000	比特金*650	1	{4,9,1,4,650}				{100,650}																						
	132				com.seasun.web.item20_3290	com.seasun.web.item20_3290	com.seasun.web.item20_3290	比特金*720	1	{4,9,1,4,720}				{100,720}																						
																																				
																																				
5	201							月卡	2	{5,11,1,4,1}					{1,30}														1	{2,30}						
																																				
																																				
7	210							数据金	6	{4,3,2,2,60}					{1,6}															{60,0}					2	
7	211							数据金	6	{4,3,2,3,300}					{1,30}															{300,30}					2	
7	212							数据金	6	{4,3,2,4,980}					{1,98}															{980,110}					2	
7	213							数据金	6	{4,3,2,5,1980}					{1,198}															{1980,260}					2	
7	214							数据金	6	{4,3,2,6,3280}					{1,328}															{3280,600}					2	
7	215							数据金	6	{4,3,2,7,6480}					{1,648}															{6480,1600}					2	
3	301							免费礼包	4	{4,4,1,1,1}		1	1		{1,0}																1					
8	302							超值礼包	4	{4,8,1,4,1}		4	1		{1,6}																8					
8	303							新手角色抽卡礼包	4	{4,5,4,4,1}		4	1		{1,68}																9					
8	304							新手武器抽卡礼包	4	{4,5,5,4,1}		4	1		{1,68}																10					
8	305							天启者精英聘任包	4	{4,5,5,5,1}		4	1		{1,98}																11					
8	306							养成礼包	4	{4,5,1,3,1}		2	1		{1,68}																15					
8	343							循武·每日物资包	4	{4,5,6,35,1}		1	1		{2,80}		supplies.giftbox60														13					
8	344							新缘·每周天启者聘任包	4	{4,5,6,36,1}		2	1		{1,30}		supplies.giftbox61														14					
8	360							焕月·每月天启者聘任包	4	{4,5,6,68,1}		3	1		{1,98}		supplies.giftbox93														12					
																																				
8	307							等级礼包1	4	{4,5,6,1,1}		4	1		{2,120}		supplies.giftbox11				{{1,10}}										11					
8	308		307					等级礼包2	4	{4,5,6,2,1}		4	1		{2,260}		supplies.giftbox12				{{1,20}}										11					
8	309		308					等级礼包3	4	{4,5,6,3,1}		4	1		{2,560}		supplies.giftbox13				{{1,30}}										11					
8	310		309					等级礼包4	4	{4,5,6,4,1}		4	1		{2,680}		supplies.giftbox14				{{1,40}}										11					
8	311		310					等级礼包5	4	{4,5,6,5,1}		4	1		{2,880}		supplies.giftbox15				{{1,50}}										11					
8	312		311					等级礼包6	4	{4,5,6,6,1}		4	1		{2,1060}		supplies.giftbox16				{{1,60}}										11					
3	313							烨途·天启者聘任包	4	{4,5,6,7,1}		4	1		{1,128}		supplies.giftbox18								[202308070400]	[202309210400]					4				1	
																																				
3	315							星灯·资金包	4	{4,5,6,9,1}		4	1		{1,68}		supplies.giftbox21								[202308070400]	[202309210400]					3				1	
3	316							熠空·顶级物资包	4	{4,5,6,10,1}		4	1		{1,328}		supplies.giftbox22								[202308070400]	[202309210400]					5				1	
3	317							煜街·物资补给包	4	{4,5,6,11,1}		4	1		{1,68}		supplies.giftbox23								[202308310400]	[202309210400]					2				1	
3	318							灿歌·天启者聘任包	4	{4,5,6,12,1}		4	1		{1,12}		supplies.giftbox24								[202308310400]	[202309210400]					1				1	
3	319							暗梦·天启者聘任包	4	{4,5,6,13,1}		4	1		{1,128}		supplies.giftbox25								[202309211000]	[202311020400]					4				2	
3	320							钨息·天启者聘任包	4	{4,5,6,14,1}		4	1		{1,16}		supplies.giftbox26								[202309211000]	[202311020400]					3				2	
3	321							灰岩·资金包	4	{4,5,6,15,1}		4	1		{1,68}		supplies.giftbox27								[202309211000]	[202311020400]					3				2	
3	324							钢心·武器定制包	4	{4,5,6,16,1}		4	1		{1,128}		supplies.giftbox30								[202309211000]	[202311020400]					4				2	
3	322							钒花·每日物资包	4	{4,5,1,5,1}		1	1		{2,80}		supplies.giftbox28								[202309211000]	[202311020400]					1				2	
3	323							镜影·每周聘任包	4	{4,5,1,6,1}		2	1		{1,30}		supplies.giftbox29								[202309211000]	[202311020400]					2				2	
3	325							溢晴·天启者聘任包	4	{4,5,6,17,1}		4	1		{1,128}		supplies.giftbox31								[202311021000]	[202312140400]					4				3	
3	331							汐金·武器定制包	4	{4,5,6,18,1}		4	1		{1,128}		supplies.giftbox32								[202311021000]	[202312140400]					4				3	
3	328							沉鎏·资金包	4	{4,5,6,19,1}		4	1		{1,68}		supplies.giftbox33								[202311021000]	[202312140400]					3				3	
3	326							漪云·顶级物资包	4	{4,5,6,20,1}		4	1		{1,328}		supplies.giftbox34								[202311021000]	[202312140400]					5				3	
3	329							涓曲·每日物资包	4	{4,5,6,21,1}		1	1		{2,80}		supplies.giftbox35								[202311021000]	[202312140400]					1				3	
3	330							潮花·每周天启者聘任包	4	{4,5,6,22,1}		2	1		{1,30}		supplies.giftbox36								[202311021000]	[202312140400]					2				3	
3	327							浮星·天启者聘任包	4	{4,5,6,23,1}		4	1		{1,16}		supplies.giftbox37								[202311021000]	[202312140400]					3				3	
3	332							锢隙·天启者聘任包	4	{4,5,6,24,1}		4	1		{1,128}		supplies.giftbox38								[202312141000]	[202401180400]					4				4	
3	333							铠山·武器定制包	4	{4,5,6,25,1}		4	1		{1,128}		supplies.giftbox39								[202312141000]	[202401180400]					4				4	
3	338							锈雪·资金包	4	{4,5,6,26,1}		4	1		{1,68}		supplies.giftbox40								[202312141000]	[202401180400]					3				4	
3	335							锋啸·豪华物资包	4	{4,5,6,27,1}		4	1		{1,228}		supplies.giftbox55								[202312141000]	[202401180400]					5				4	
3	336							镐音·每日物资包	4	{4,5,6,28,1}		1	1		{2,80}		supplies.giftbox42								[202312141000]	[202401180400]					1				4	
3	337							铸曜·每周天启者聘任包	4	{4,5,6,29,1}		2	1		{1,30}		supplies.giftbox43								[202312141000]	[202401180400]					2				4	
3	334							钧步·每周天启者聘任包	4	{4,5,6,30,1}		2	1		{1,16}		supplies.giftbox44								[202312141000]	[202401180400]					3				4	
3	339							纷舞·天启者聘任包	4	{4,5,6,31,1}		4	1		{1,128}		supplies.giftbox56								[202401181000]	[202403070400]					4				5	
3	340							缀刃·武器定制包	4	{4,5,6,32,1}		4	1		{1,128}		supplies.giftbox57								[202401181000]	[202403070400]					4				5	
3	341							绚空·顶级物资包	4	{4,5,6,33,1}		4	1		{1,328}		supplies.giftbox58								[202401181000]	[202403070400]					4				5	
3	342							绅语·资金包	4	{4,5,6,34,1}		4	1		{1,68}		supplies.giftbox59								[202401181000]	[202403070400]					4				5	
3	345							续行·天启者聘任包	4	{4,5,6,37,1}		2	1		{1,16}		supplies.giftbox62								[202401181000]	[202403070400]					3				5	
3	346							织运·成长物资包	4	{4,5,6,38,1}		4	1		{1,38}		supplies.giftbox63								[202401181000]	[202403070400]					5				5	
3	347							绮梦·成长物资包	4	{4,5,6,39,1}		4	1		{1,38}		supplies.giftbox64								[202401181000]	[202403070400]					5				5	
3	348							缚思·成长物资包	4	{4,5,6,40,1}		4	1		{1,68}		supplies.giftbox65								[202401181000]	[202403070400]					4				5	
3	349							绣程·后勤提升包	4	{4,5,6,41,1}		4	1		{1,32}		supplies.giftbox66								[202401181000]	[202403070400]					5				5	
3	350							绾春·天启者聘任包	4	{4,5,6,42,1}		4	1		{1,198}		supplies.giftbox67								[202402081000]	[202402260400]					2				5	
3	351							炎逢·每周天启者聘任包	4	{4,5,6,43,1}		2	1		{1,16}		supplies.giftbox68								[202403071000]	[202404180400]					1				6	
3	352							炬魂·天启者聘任包	4	{4,5,6,44,1}		4	1		{1,128}		supplies.giftbox69								[202403071000]	[202404180400]					2				6	
3	353							熔骨·武器定制包	4	{4,5,6,45,1}		4	1		{1,128}		supplies.giftbox70								[202403071000]	[202404180400]					3				6	
3	354							熳原·豪华物资包	4	{4,5,6,46,1}		4	1		{1,228}		supplies.giftbox71								[202403071000]	[202404180400]					4				6	
3	355							炯径·资金包	4	{4,5,6,47,1}		4	1		{1,68}		supplies.giftbox72								[202403071000]	[202404180400]					5				6	
3	356							烽灵·成长物资包	4	{4,5,6,48,1}		4	1		{1,68}		supplies.giftbox73								[202403071000]	[202404180400]					6				6	
3	357							焰道·成长物资包	4	{4,5,6,49,1}		4	1		{1,38}		supplies.giftbox74								[202403071000]	[202404180400]					7				6	
3	358							焕想·成长物资包	4	{4,5,6,50,1}		4	1		{1,38}		supplies.giftbox75								[202403071000]	[202404180400]					8				6	
3	359							烁才·后勤提升包	4	{4,5,6,51,1}		4	1		{1,32}		supplies.giftbox76								[202403071000]	[202404180400]					9				6	
																																				
9	1002							捆绑包（只有甜蜜统治）	5	{4,8,1,2,1}		4	1		{1,156}			142300006		142300005		58	[202403071000]	[202404180400]	[202403071000]	[202404180400]						1001	{1001,613}	91	6	
9	1003							捆绑包（只有全糖蜜令）	5	{4,8,1,3,1}		4	1		{1,156}			142300006		142300005		13	[202403071000]	[202404180400]	[202403071000]	[202404180400]						1001	{1001,801}	91	6	
																																				
3	361							涅荫·每周天启者聘任包	4	{4,5,6,52,1}		2	1		{1,16}		supplies.giftbox77								[202404181000]	[202405300400]					1					
3	362							灏夜·天启者聘任包	4	{4,5,6,53,1}		4	1		{1,128}		supplies.giftbox78								[202404181000]	[202405160400]					4					
3	363							浣锋·武器定制包	4	{4,5,6,54,1}		4	1		{1,128}		supplies.giftbox79								[202404181000]	[202405160400]					5					
3	364							澄镜·顶级物资包	4	{4,5,6,55,1}		4	1		{1,328}		supplies.giftbox80								[202404181000]	[202405300400]					6					
3	365							渥圃·资金包	4	{4,5,6,56,1}		4	1		{1,68}		supplies.giftbox81								[202404181000]	[202405160400]					12					
3	366							渺念·成长物资包	4	{4,5,6,57,1}		4	1		{1,68}		supplies.giftbox82								[202404181000]	[202405160400]					13					
3	367							深忆·成长物资包	4	{4,5,6,58,1}		4	1		{1,38}		supplies.giftbox83								[202404181000]	[202405160400]					14					
3	368							浚虑·成长物资包	4	{4,5,6,59,1}		4	1		{1,38}		supplies.giftbox84								[202404181000]	[202405160400]					15					
3	369							澹学·后勤提升包	4	{4,5,6,60,1}		4	1		{1,32}		supplies.giftbox85								[202404181000]	[202405160400]					16					
3	370							蔓桥·天启者聘任包	4	{4,5,6,61,1}		4	1		{1,128}		supplies.giftbox86								[202405021000]	[202405300400]					2					
3	371							荆丛·武器定制包	4	{4,5,6,62,1}		4	1		{1,128}		supplies.giftbox87								[202405021000]	[202405300400]					3					
3	372							蓑羽·资金包	4	{4,5,6,63,1}		4	1		{1,68}		supplies.giftbox88								[202405021000]	[202405300400]					7					
3	373							荧魂·成长物资包	4	{4,5,6,64,1}		4	1		{1,68}		supplies.giftbox89								[202405021000]	[202405300400]					8					
3	374							萱思·成长物资包	4	{4,5,6,65,1}		4	1		{1,38}		supplies.giftbox90								[202405021000]	[202405300400]					9					
3	375							苇绪·成长物资包	4	{4,5,6,66,1}		4	1		{1,38}		supplies.giftbox91								[202405021000]	[202405300400]					10					
3	376							萃肄·后勤提升包	4	{4,5,6,67,1}		4	1		{1,32}		supplies.giftbox92								[202405021000]	[202405300400]					11					
3	377							藏墟·每周天启者聘任包	4	{4,5,6,69,1}		2	1		{1,16}		supplies.giftbox94								[202405021000]	[202405300400]					1					
3	378							厚壤·天启者聘任包	4	{4,5,6,70,1}		4	1		{1,128}		supplies.giftbox95								[202405021000]	[202405300400]					2					
3	379							宝域·武器定制包	4	{4,5,6,71,1}		4	1		{1,128}		supplies.giftbox96								[202405021000]	[202405300400]					3					
3	380							耀城·豪华物资包	4	{4,5,6,72,1}		4	1		{1,228}		supplies.giftbox97								[202405021000]	[202405300400]					4					
3	381							饶境·资金包	4	{4,5,6,73,1}		4	1		{1,68}		supplies.giftbox98								[202405021000]	[202405300400]					5					
3	382							巧坞·成长物资包	4	{4,5,6,74,1}		4	1		{1,68}		supplies.giftbox99								[202405021000]	[202405300400]					6					
3	383							妙垣·成长物资包	4	{4,5,6,75,1}		4	1		{1,38}		supplies.giftbox100								[202405021000]	[202405300400]					7					
3	384							悬坻·成长物资包	4	{4,5,6,76,1}		4	1		{1,38}		supplies.giftbox101								[202405021000]	[202405300400]					8					
3	385							晶坯·后勤提升包	4	{4,5,6,77,1}		4	1		{1,32}		supplies.giftbox102								[202405021000]	[202405300400]					9					
																																				
9	1005							捆绑包（只有恩雅皮肤互动道具）	5	{4,8,2,2,1}		4	1		{1,198}			1601100	1601102	1601101		25.5	[202405301000]	[202406060400]	[202405301000]	[202406060400]						1004	{1004,802}			
																																				
3	386							风羽·每周天启者聘任包	4	{4,5,6,78,1}		2	1		{1,16}		supplies.giftbox103								[202407110400]	[202408220400]					1					
3	387							飓啸·顶级物资包	4	{4,5,6,79,1}		4	1		{1,328}		supplies.giftbox104								[202407110400]	[202408220400]					6					
3	388							飙尘·天启者聘任包	4	{4,5,6,80,1}		4	1		{1,128}		supplies.giftbox105								[202407110400]	[202408080400]					4					
3	389							飕鸣·武器定制包	4	{4,5,6,81,1}		4	1		{1,128}		supplies.giftbox106								[202407110400]	[202408080400]					5					
3	390							飘盈·资金包	4	{4,5,6,82,1}		4	1		{1,68}		supplies.giftbox107								[202407110400]	[202408080400]					12					
3	391							飒行·成长物资包	4	{4,5,6,83,1}		4	1		{1,68}		supplies.giftbox108								[202407110400]	[202408080400]					13					
3	392							簌翎·成长物资包	4	{4,5,6,84,1}		4	1		{1,38}		supplies.giftbox109								[202407110400]	[202408080400]					14					
3	393							逸翔·成长物资包	4	{4,5,6,85,1}		4	1		{1,38}		supplies.giftbox110								[202407110400]	[202408080400]					15					
3	394							岚霏·后勤提升包	4	{4,5,6,86,1}		4	1		{1,32}		supplies.giftbox111								[202407110400]	[202408080400]					16					
3	395							跃霄·天启者聘任包	4	{4,5,6,87,1}		4	1		{1,128}		supplies.giftbox112								[202407251000]	[202408220400]					2					
3	396							蔚霞·武器定制包	4	{4,5,6,88,1}		4	1		{1,128}		supplies.giftbox113								[202407251000]	[202408220400]					3					
3	397							氤雾·资金包	4	{4,5,6,89,1}		4	1		{1,68}		supplies.giftbox114								[202407251000]	[202408220400]					7					
3	398							氲霁·成长物资包	4	{4,5,6,90,1}		4	1		{1,68}		supplies.giftbox115								[202407251000]	[202408220400]					8					
3	399							晴霭·成长物资包	4	{4,5,6,91,1}		4	1		{1,38}		supplies.giftbox116								[202407251000]	[202408220400]					9					
3	400							层霓·成长物资包	4	{4,5,6,92,1}		4	1		{1,38}		supplies.giftbox117								[202407251000]	[202408220400]					10					
