商店Id(不配置就不显示)	商品Id(不重复 100以内给bp)	是否是BP皮	前置商品Id	角标（礼包特惠角标=1，不显示=0或不配）	IOS后台id	安卓后台id	PC后台id	//备注	类型，用于判断和购买，1充值货币2月卡3bp道具4礼包5皮肤6数据金	商品gdpl	DIY道具（关联diy_item表ID）	限购类型，0或不填为无限制，1日限制，2周限制,3月限制,4总计限购	限购次数	价格（只能填人民币价格）	价格2（只能填比特金、数据金价格）	显示价格(1=比特价、2=数据金、100=人民币，不填默认读Cost字段配置的类型)	商品名称	美宣图（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	预览缩略图（只有互动情景道具和带有互动情景道具的组合包会配置）	列表图标（只有捆绑包、武器皮肤、互动道具、皮肤部件会配置）	解锁条件	折扣百分比(0-100)	折扣开始时间	折扣结束时间	上架时间	下架时间	显示时间（客户端显示商品）	结束显示时间（客户端显示商品）	是否提示防沉迷(1提示)	扩展参数(通行证{期数,类型};月卡{拥有限制数量};数据金{首次赠送数量,常规赠送数量};皮肤{{需要购买时同时判断的皮肤GDPL}}礼包{1=未达到解锁条件时隐藏})	排序(从小到大)	互斥商品ID	互斥商品列表	试玩ID	对应版本
	55				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC31高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{19,1}					
	56				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC31凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{19,2}					
	57				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC31特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{19,3}					
	58				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC32高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{20,1}					
	59				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC32凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{20,2}					
	60				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC32特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{20,3}					
	61				com.kingsoft.battlepass5	com.kingsoft.battlepass5	com.kingsoft.battlepass5	DLC32BP额外购买礼包	3	{4,11,20,1,1}		4	1	{100,48}																{20,4}					
	62				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC33高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{21,1}					
	63				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC33凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{21,2}					
	64				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC33特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{21,3}					
	65				com.kingsoft.battlepass5	com.kingsoft.battlepass5	com.kingsoft.battlepass5	DLC33BP额外购买礼包	3	{4,11,21,1,1}		4	1	{100,48}																{21,4}					
	66				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC34高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{22,1}					
	67				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC34凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{22,2}					
	68				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC34特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{22,3}					
	69				com.kingsoft.battlepass5	com.kingsoft.battlepass5	com.kingsoft.battlepass5	DLC34BP额外购买礼包	3	{4,11,22,1,1}		4	1	{100,48}																{22,4}					
	70				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC35高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{23,1}					
	71				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC35凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{23,2}					
	72				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC35特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{23,3}					
	73				com.kingsoft.battlepass5	com.kingsoft.battlepass5	com.kingsoft.battlepass5	DLC35BP额外购买礼包	3	{4,11,23,1,1}		4	1	{100,48}																{23,4}					
	74				com.kingsoft.battlepass1	com.kingsoft.battlepass1	com.kingsoft.battlepass1	DLC36高级凭证	3	{4,1,5,2,1}		4	1	{100,68}																{24,1}					
	75				com.kingsoft.battlepass4	com.kingsoft.battlepass4	com.kingsoft.battlepass4	DLC36凭证差价	3	{4,1,5,1,1}		4	1	{100,60}																{24,2}					
	76				com.kingsoft.battlepass3	com.kingsoft.battlepass3	com.kingsoft.battlepass3	DLC36特级凭证	3	{4,1,5,3,1}		4	1	{100,128}																{24,3}					
	77				com.kingsoft.battlepass5	com.kingsoft.battlepass5	com.kingsoft.battlepass5	DLC36BP额外购买礼包	3	{4,11,24,1,1}		4	1	{100,48}																{24,4}					
																																			
																																			
6	101				com.kingsoft.currency1	com.kingsoft.currency1	com.kingsoft.currency1	6比特金	1	{4,9,1,4,6}				{100,6}																					
6	102				com.kingsoft.currency2	com.kingsoft.currency2	com.kingsoft.currency2	30比特金	1	{4,9,2,4,30}				{100,30}																					
6	103				com.kingsoft.currency3	com.kingsoft.currency3	com.kingsoft.currency3	68比特金	1	{4,9,3,4,98}				{100,98}																					
6	104				com.kingsoft.currency4	com.kingsoft.currency4	com.kingsoft.currency4	128比特金	1	{4,9,4,4,198}				{100,198}																					
6	105				com.kingsoft.currency5	com.kingsoft.currency5	com.kingsoft.currency5	328比特金	1	{4,9,5,4,328}				{100,328}																					
6	106				com.kingsoft.currency6	com.kingsoft.currency6	com.kingsoft.currency6	648比特金	1	{4,9,6,4,648}				{100,648}																					
																																			
																																			
5	201							月卡	2	{5,11,1,4,1}					{1,30}														1	{2,30}					
																																			
																																			
7	210							数据金	6	{4,3,2,2,60}					{1,6}															{60,0}					2
7	211							数据金	6	{4,3,2,3,300}					{1,30}															{300,30}					2
7	212							数据金	6	{4,3,2,4,980}					{1,98}															{980,110}					2
7	213							数据金	6	{4,3,2,5,1980}					{1,198}															{1980,260}					2
7	214							数据金	6	{4,3,2,6,3280}					{1,328}															{3280,600}					2
7	215							数据金	6	{4,3,2,7,6480}					{1,648}															{6480,1600}					2
																																			
3	301							免费礼包	4	{4,4,1,1,1}		1	1		{1,0}																1				
8	302				com.kingsoft.bundle1	com.kingsoft.bundle1	com.kingsoft.bundle1	超值礼包	4	{4,8,1,4,1}		4	1	{100,6}																	8				
8	303				com.kingsoft.bundle2	com.kingsoft.bundle2	com.kingsoft.bundle2	新手角色抽卡礼包	4	{4,5,4,4,1}		4	1	{100,68}																	9				
8	304				com.kingsoft.bundle3	com.kingsoft.bundle3	com.kingsoft.bundle3	新手武器抽卡礼包	4	{4,5,5,4,1}		4	1	{100,68}																	10				
8	305				com.kingsoft.bundle4	com.kingsoft.bundle4	com.kingsoft.bundle4	天启者精英聘任包	4	{4,5,5,5,1}		4	1	{100,98}																	11				
8	306							养成礼包	4	{4,5,1,3,1}		2	1		{1,68}																15				
8	343							循武·每日物资包	4	{4,5,6,35,1}		1	1		{2,80}		supplies.giftbox60														13				
8	344							新缘·每周天启者聘任包	4	{4,5,6,36,1}		2	1		{1,30}		supplies.giftbox61														14				
8	360				com.kingsoft.bundle35	com.kingsoft.bundle35	com.kingsoft.bundle35	焕月·每月天启者聘任包	4	{4,5,6,68,1}		3	1	{100,98}			supplies.giftbox93														12				
																																			
8	307							等级礼包1	4	{4,5,6,1,1}		4	1		{2,120}		supplies.giftbox11				{{1,10}}										11				
8	308		307					等级礼包2	4	{4,5,6,2,1}		4	1		{2,260}		supplies.giftbox12				{{1,20}}										11				
8	309		308					等级礼包3	4	{4,5,6,3,1}		4	1		{2,560}		supplies.giftbox13				{{1,30}}										11				
8	310		309					等级礼包4	4	{4,5,6,4,1}		4	1		{2,680}		supplies.giftbox14				{{1,40}}										11				
8	311		310					等级礼包5	4	{4,5,6,5,1}		4	1		{2,880}		supplies.giftbox15				{{1,50}}										11				
8	312		311					等级礼包6	4	{4,5,6,6,1}		4	1		{2,1060}		supplies.giftbox16				{{1,60}}										11				
3	313				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	烨途·天启者聘任包	4	{4,5,6,7,1}		4	1	{100,128}			supplies.giftbox18								[202308070400]	[202309210400]					4				1
																																			
3	315				com.kingsoft.bundle7	com.kingsoft.bundle7	com.kingsoft.bundle7	星灯·资金包	4	{4,5,6,9,1}		4	1	{100,68}			supplies.giftbox21								[202308070400]	[202309210400]					3				1
3	316				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	熠空·顶级物资包	4	{4,5,6,10,1}		4	1	{100,328}			supplies.giftbox22								[202308070400]	[202309210400]					5				1
3	317							煜街·物资补给包	4	{4,5,6,11,1}		4	1		{1,68}		supplies.giftbox23								[202308310400]	[202309210400]					2				1
3	318							灿歌·天启者聘任包	4	{4,5,6,12,1}		4	1		{1,12}		supplies.giftbox24								[202308310400]	[202309210400]					1				1
3	319				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	暗梦·天启者聘任包	4	{4,5,6,13,1}		4	1	{100,128}			supplies.giftbox25								[202309211000]	[202311020400]					4				2
3	320				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	钨息·天启者聘任包	4	{4,5,6,14,1}		4	1	{100,16}			supplies.giftbox26								[202309211000]	[202311020400]					3				2
3	321				com.kingsoft.bundle7	com.kingsoft.bundle7	com.kingsoft.bundle7	灰岩·资金包	4	{4,5,6,15,1}		4	1	{100,68}			supplies.giftbox27								[202309211000]	[202311020400]					3				2
3	324				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	钢心·武器定制包	4	{4,5,6,16,1}		4	1	{100,128}			supplies.giftbox30								[202309211000]	[202311020400]					4				2
3	322							钒花·每日物资包	4	{4,5,1,5,1}		1	1		{2,80}		supplies.giftbox28								[202309211000]	[202311020400]					1				2
3	323							镜影·每周聘任包	4	{4,5,1,6,1}		2	1		{1,30}		supplies.giftbox29								[202309211000]	[202311020400]					2				2
3	325				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	溢晴·天启者聘任包	4	{4,5,6,17,1}		4	1	{100,128}			supplies.giftbox31								[202311021000]	[202312140400]					4				3
3	331				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	汐金·武器定制包	4	{4,5,6,18,1}		4	1	{100,128}			supplies.giftbox32								[202311021000]	[202312140400]					4				3
3	328				com.kingsoft.bundle7	com.kingsoft.bundle7	com.kingsoft.bundle7	沉鎏·资金包	4	{4,5,6,19,1}		4	1	{100,68}			supplies.giftbox33								[202311021000]	[202312140400]					3				3
3	326				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	漪云·顶级物资包	4	{4,5,6,20,1}		4	1	{100,328}			supplies.giftbox34								[202311021000]	[202312140400]					5				3
3	329							涓曲·每日物资包	4	{4,5,6,21,1}		1	1		{2,80}		supplies.giftbox35								[202311021000]	[202312140400]					1				3
3	330							潮花·每周天启者聘任包	4	{4,5,6,22,1}		2	1		{1,30}		supplies.giftbox36								[202311021000]	[202312140400]					2				3
3	327				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	浮星·天启者聘任包	4	{4,5,6,23,1}		4	1	{100,16}			supplies.giftbox37								[202311021000]	[202312140400]					3				3
3	332				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	锢隙·天启者聘任包	4	{4,5,6,24,1}		4	1	{100,128}			supplies.giftbox38								[202312141000]	[202401180400]					4				4
3	333				com.kingsoft.bundle6	com.kingsoft.bundle6	com.kingsoft.bundle6	铠山·武器定制包	4	{4,5,6,25,1}		4	1	{100,128}			supplies.giftbox39								[202312141000]	[202401180400]					4				4
3	338				com.kingsoft.bundle7	com.kingsoft.bundle7	com.kingsoft.bundle7	锈雪·资金包	4	{4,5,6,26,1}		4	1	{100,68}			supplies.giftbox40								[202312141000]	[202401180400]					3				4
3	335				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	锋啸·豪华物资包	4	{4,5,6,27,1}		4	1	{100,228}			supplies.giftbox55								[202312141000]	[202401180400]					5				4
3	336							镐音·每日物资包	4	{4,5,6,28,1}		1	1		{2,80}		supplies.giftbox42								[202312141000]	[202401180400]					1				4
3	337							铸曜·每周天启者聘任包	4	{4,5,6,29,1}		2	1		{1,30}		supplies.giftbox43								[202312141000]	[202401180400]					2				4
3	334				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	钧步·每周天启者聘任包	4	{4,5,6,30,1}		2	1	{100,16}			supplies.giftbox44								[202312141000]	[202401180400]					3				4
3	339				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	纷舞·天启者聘任包	4	{4,5,6,31,1}		4	1	{100,128}			supplies.giftbox56								[202401181000]	[202403070400]					4				5
3	340				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	缀刃·武器定制包	4	{4,5,6,32,1}		4	1	{100,128}			supplies.giftbox57								[202401181000]	[202403070400]					4				5
3	341				com.kingsoft.bundle8	com.kingsoft.bundle8	com.kingsoft.bundle8	绚空·顶级物资包	4	{4,5,6,33,1}		4	1	{100,328}			supplies.giftbox58								[202401181000]	[202403070400]					4				5
3	342				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	绅语·资金包	4	{4,5,6,34,1}		4	1	{100,68}			supplies.giftbox59								[202401181000]	[202403070400]					4				5
3	345				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	续行·天启者聘任包	4	{4,5,6,37,1}		2	1	{100,16}			supplies.giftbox62								[202401181000]	[202403070400]					3				5
3	346				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	织运·成长物资包	4	{4,5,6,38,1}		4	1	{100,38}			supplies.giftbox63								[202401181000]	[202403070400]					5				5
3	347				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	绮梦·成长物资包	4	{4,5,6,39,1}		4	1	{100,38}			supplies.giftbox64								[202401181000]	[202403070400]					5				5
3	348				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	缚思·成长物资包	4	{4,5,6,40,1}		4	1	{100,68}			supplies.giftbox65								[202401181000]	[202403070400]					4				5
3	349				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	绣程·后勤提升包	4	{4,5,6,41,1}		4	1	{100,32}			supplies.giftbox66								[202401181000]	[202403070400]					5				5
3	350				com.kingsoft.bundle19	com.kingsoft.bundle19	com.kingsoft.bundle19	绾春·天启者聘任包	4	{4,5,6,42,1}		4	1	{100,198}			supplies.giftbox67								[202402081000]	[202402260400]					2				5
3	351				com.kingsoft.bundle11	com.kingsoft.bundle11	com.kingsoft.bundle11	炎逢·每周天启者聘任包	4	{4,5,6,43,1}		2	1	{100,16}			supplies.giftbox68								[202403071000]	[202404180400]					1				6
3	352				com.kingsoft.bundle5	com.kingsoft.bundle5	com.kingsoft.bundle5	炬魂·天启者聘任包	4	{4,5,6,44,1}		4	1	{100,128}			supplies.giftbox69								[202403071000]	[202404180400]					2				6
3	353				com.kingsoft.bundle15	com.kingsoft.bundle15	com.kingsoft.bundle15	熔骨·武器定制包	4	{4,5,6,45,1}		4	1	{100,128}			supplies.giftbox70								[202403071000]	[202404180400]					3				6
3	354				com.kingsoft.bundle14	com.kingsoft.bundle14	com.kingsoft.bundle14	熳原·豪华物资包	4	{4,5,6,46,1}		4	1	{100,228}			supplies.giftbox71								[202403071000]	[202404180400]					4				6
3	355				com.kingsoft.bundle9	com.kingsoft.bundle9	com.kingsoft.bundle9	炯径·资金包	4	{4,5,6,47,1}		4	1	{100,68}			supplies.giftbox72								[202403071000]	[202404180400]					5				6
3	356				com.kingsoft.bundle10	com.kingsoft.bundle10	com.kingsoft.bundle10	烽灵·成长物资包	4	{4,5,6,48,1}		4	1	{100,68}			supplies.giftbox73								[202403071000]	[202404180400]					6				6
3	357				com.kingsoft.bundle17	com.kingsoft.bundle17	com.kingsoft.bundle17	焰道·成长物资包	4	{4,5,6,49,1}		4	1	{100,38}			supplies.giftbox74								[202403071000]	[202404180400]					7				6
3	358				com.kingsoft.bundle18	com.kingsoft.bundle18	com.kingsoft.bundle18	焕想·成长物资包	4	{4,5,6,50,1}		4	1	{100,38}			supplies.giftbox75								[202403071000]	[202404180400]					8				6
3	359				com.kingsoft.bundle16	com.kingsoft.bundle16	com.kingsoft.bundle16	烁才·后勤提升包	4	{4,5,6,51,1}		4	1	{100,32}			supplies.giftbox76								[202403071000]	[202404180400]					9				6
																																			
