Id	China (CNY)	United States (USD)	Taiwan (TWD)	Hong Kong(HKD)	Eurozone(EUR)	UK(GBP)	Korea(KRW)	Japan(JPY)	Thailand(THB)	Indonesia(IDR)	Brazil(BRL)
Tier 27	178	26.99	890	209	31.19	21.69	29130	3210	873.79	449000	149.9
Tier 28	188	27.99	930	217	32.39	22.49	30210	3330	906.19	459000	154.9
Tier 29	193	28.99	970	225	33.49	23.29	31290	3450	938.59	469000	159.9
Tier 30	198	29.99	990	238	29.99	25.99	37000	3680	999	479000	169.9
Tier 31	208	30.99	1020	240	35.79	24.89	33450	3690	1003.39	499000	174.9
Tier 32	218	31.99	1050	248	36.99	25.69	34530	3810	1035.69	519000	179.9
Tier 33	223	32.99	1090	256	38.09	26.49	35610	3930	1068.09	529000	184.9
Tier 34	228	33.99	1120	263	39.29	27.29	36690	4050	1100.49	549000	189.9
Tier 35	233	34.99	1170	271	40.39	28.09	37770	4170	1132.89	569000	194.9
Tier 36	238	35.99	1190	279	41.59	28.89	38850	4290	1165.19	579000	199.9
Tier 37	243	36.99	1230	287	42.79	29.69	39930	4400	1197.59	599000	204.9
Tier 38	248	37.99	1260	294	43.89	30.49	41000	4520	1229.99	619000	209.9
Tier 39	253	38.99	1290	302	45.09	31.29	42080	4640	1262.39	629000	219.9
Tier 40	258	39.99	1320	310	46.19	32.09	43160	4760	1294.69	649000	224.9
Tier 41	263	40.99	1350	318	47.39	32.89	44240	4880	1327.09	669000	229.9
Tier 42	268	41.99	1390	326	48.49	33.69	45320	5000	1359.49	679000	234.9
Tier 43	273	42.99	1420	333	49.69	34.59	46400	5120	1391.89	699000	239.9
Tier 44	278	43.99	1470	341	50.79	35.39	47480	5240	1424.29	719000	244.9
Tier 45	283	44.99	1490	349	51.99	36.19	48560	5360	1456.59	729000	249.9
Tier 46	288	45.99	1530	357	53.19	36.99	49640	5480	1488.99	749000	259.9
Tier 47	298	46.99	1560	364	54.29	37.79	50720	5600	1521.39	759000	264.9
Tier 48	308	47.99	1590	372	55.49	38.59	51800	5710	1553.79	769000	269.9
Tier 49	318	48.99	1630	380	56.59	39.39	52880	5830	1586.09	779000	274.9
Tier 50	328	49.99	1690	398	49.99	42.99	65000	6100	1990	799000	279.9
Tier 51	348	54.99	1790	426	63.59	44.19	59350	6550	1780.39	899000	299.9
Tier 52	388	59.99	1990	465	69.29	48.19	64750	7140	1942.29	999000	329.9
Tier 53	418	64.99	2190	504	75.09	52.19	70150	7740	2104.19	1099000	349.9
Tier 54	448	69.99	2290	543	80.89	56.29	75540	8330	2265.99	1199000	399.9
Tier 55	488	74.99	2490	581	86.69	60.29	80940	8930	2427.89	1249000	429.9
Tier 56	518	79.99	2690	620	92.49	64.29	86340	9520	2589.79	1299000	449.9
Tier 57	548	84.99	2790	659	98.19	68.29	91730	10120	2751.69	1399000	479.9
Tier 58	588	89.99	2990	698	103.99	72.29	97130	10720	2913.59	1449000	499.9
Tier 59	618	94.99	3190	736	109.79	76.29	102530	11310	3075.49	1499000	529.9
Tier 60	648	99.99	3290	788	99.99	86.99	119000	12000	3990	1599000	549.9
Tier 61	698	109.99	3690	853	127.09	88.39	118720	13100	3561.09	1799000	599.9
Tier 62	798	119.99	3990	930	138.69	96.39	129510	14290	3884.89	1899000	649.9
Tier 63	818	124.99	4190	1008	150.19	104.49	140300	15480	4208.59	1999000	699.9
Tier 64	848	129.99	4290	1085	161.79	112.49	151100	16670	4532.39	2099000	749.9
Tier 65	898	139.99	4790	1163	173.39	120.59	161890	17860	4856.19	2299000	799.9
Tier 66	998	149.99	4990	1240	184.89	128.59	172690	19050	5179.89	2499000	849.9
Tier 67	1048	159.99	5390	1318	196.49	136.59	183480	20240	5503.69	2599000	899.9
Tier 68	1098	169.99	5490	1395	207.99	144.69	194270	21430	5827.49	2699000	949.9
Tier 69	1148	174.99	5690	1473	219.59	152.69	205070	22620	6151.19	2799000	979.9
Tier 70	1198	179.99	5990	1550	231.09	160.69	215860	23810	6474.99	2999000	999.9
Tier 71	1248	189.99	6290	1628	242.69	168.79	226650	25000	6798.79	3099000	1049.9
Tier 72	1298	199.99	6590	1705	254.29	176.79	237450	26190	7122.59	3299000	1099.9
Tier 73	1398	209.99	6890	1783	265.79	184.89	248240	27380	7446.29	3499000	1149.9
Tier 74	1448	219.99	7190	1860	277.39	192.89	259030	28580	7770.09	3599000	1199.9
Tier 75	1498	229.99	7490	1938	288.89	200.89	269830	29770	8093.89	3699000	1299.9
Tier 76	1598	239.99	7790	2326	346.69	241.09	323790	35720	9712.69	3899000	1399.9
Tier 77	1648	249.99	8390	2713	404.49	281.29	377760	41670	11331.49	3999000	1499.9
Tier 78	1998	299.99	9990	3101	462.29	321.49	431730	47630	12950.39	4999000	1699.9
Tier 79	2298	349.99	11900	3488	520.09	361.69	485700	53580	14569.19	5499000	1999.9
Tier 80	2598	399.99	12900	3876	577.89	401.89	539660	59530	16187.99	6599000	2299.9
Tier 81	2998	449.99	14900	4651	693.49	482.19	647600	71440	19425.69	7399000	2499.9
Tier 82	3298	499.99	16900	5426	808.99	562.59	755530	83350	22663.39	7999000	2999.9
Tier 83	3998	599.99	19900	6202	924.59	642.99	863470	95250	25900.99	9999000	3499.9
Tier 84	4498	699.99	22900	6977	1040.19	723.39	971400	107160	29138.69	10999000	3999.9
Tier 85	4998	799.99	26900	7752	1155.79	803.69	1079340	119070	32376.39	12999000	4499.9
Tier 86	5898	899.99	29900							14999000	4999.9
Tier 87	6498	999.99	32900							15999000	5499.9
Tier 88	5	0.76									
Tier 89	9	1.37									
Tier 90	180	27.43									
Tier 91	207	31.55									
Tier 92	1000	152.41									
Tier 93	2000	304.82									
Tier 94	15	2.29									
Tier 95	27	4.12									
Tier 96	54	8.23									
Tier 97	63	9.6									
Tier 98	72	10.97									
Tier 99	81	12.35									
Tier 100	90	13.72									
Tier 101	135	20.58									
Tier 102	270	41.15									
Tier 103	485	73.92									
Tier 104	583	88.85									
Tier 105	190	27.43									
Tier 106	230	31.55									
Tier 107	1100	152.41									
Tier 108	2200	304.82									
Tier 109	93	13.72									
Tier 110	140	20.58									
Tier 111	300	41.15									
Tier 112	350	49.99									
Tier 113	420	59.13									
Tier 114	530	73.92									
Tier 115	650	88.85									
Tier 116	720	99.99									
