国家和地区	缩写	对应语言版本	对应货币缩写	对应货币符号
斯里兰卡	LK	en_US	USD	USD
新加坡	SG	en_US	USD	USD
日本	JP	ja_JP	JPY	JPY
巴哈马	BS	en_US	USD	USD
菲律宾	PH	en_US	USD	USD
马尔代夫	MV	en_US	USD	USD
朝鲜	KP	en_US	USD	USD
柬埔寨	KH	en_US	USD	USD
格鲁吉亚	GE	en_US	USD	USD
沙特阿拉伯	SA	en_US	USD	USD
泰国	TH	en_US	THB	THB
科威特	KW	en_US	USD	USD
科科斯群岛	CC	en_US	USD	USD
约旦	JO	en_US	USD	USD
缅甸	MM	en_US	USD	USD
老挝	LA	en_US	USD	USD
英属印度洋领地	IO	en_US	USD	USD
蒙古	MN	en_US	USD	USD
越南	VN	en_US	USD	USD
阿塞拜疆	AZ	en_US	USD	USD
阿富汗	AF	en_US	USD	USD
阿曼	OM	en_US	USD	USD
阿联酋	AE	en_US	USD	USD
韩国	KR	ko_KR	KRW	KRW
马来西亚	MY	en_US	USD	USD
黎巴嫩	LB	en_US	USD	USD
伯利兹	BZ	en_US	USD	USD
危地马拉	GT	en_US	USD	USD
古巴	CU	en_US	USD	USD
圣卢西亚	LC	en_US	USD	USD
圣基茨和尼维斯	KN	en_US	USD	USD
圣巴泰勒米岛	BL	en_US	USD	USD
圣文森特和格林纳丁斯	VC	en_US	USD	USD
圣皮埃尔和密克隆群岛	PM	en_US	USD	USD
墨西哥	MX	en_US	USD	USD
新西兰	NZ	en_US	USD	USD
澳大利亚	AU	en_US	USD	USD
多米尼克	DM	en_US	USD	USD
多米尼加共和国	DO	en_US	USD	USD
安圭拉	AI	en_US	USD	USD
安提瓜和巴布达	AG	en_US	USD	USD
尼加拉瓜	NI	en_US	USD	USD
巴巴多斯	BB	en_US	USD	USD
巴拿马	PA	en_US	USD	USD
库拉索岛	CW	en_US	USD	USD
开曼群岛	KY	en_US	USD	USD
格林纳达	GD	en_US	USD	USD
格陵兰	GL	en_US	USD	USD
法属圣马丁	MF	en_US	USD	USD
瓜德罗普	GP	en_US	USD	USD
马提尼克	MQ	en_US	USD	USD
波多黎各	PR	en_US	USD	USD
洪都拉斯	HN	en_US	USD	USD
海地	HT	en_US	USD	USD
牙买加	JM	en_US	USD	USD
特克斯和凯科斯群岛	TC	en_US	USD	USD
特立尼达和多巴哥	TT	en_US	USD	USD
百慕大	BM	en_US	USD	USD
意大利	IT	en_US	EUR	EUR
俄罗斯	RU	en_US	RUB	RUB
波兰	PL	en_US	USD	USD
斯威士兰	SZ	en_US	USD	USD
英国	GB	en_US	GBP	GBP
瑞典	SE	en_US	EUR	EUR
西班牙	ES	en_US	EUR	EUR
美国本土外小岛屿	UM	en_US	USD	USD
美属维尔京群岛	VI	en_US	USD	USD
英属维尔京群岛	VG	en_US	USD	USD
荷兰加勒比区	BQ	en_US	EUR	EUR
圣马丁岛	SX	en_US	USD	USD
萨尔瓦多	SV	en_US	USD	USD
蒙塞拉特岛	MS	en_US	USD	USD
阿鲁巴	AW	en_US	USD	USD
南乔治亚岛与南桑威奇群岛	GS	en_US	USD	USD
布韦岛	BV	en_US	USD	USD
乌拉圭	UY	en_US	USD	USD
厄瓜多尔	EC	en_US	USD	USD
哥伦比亚	CO	en_US	USD	USD
圭亚那	GY	en_US	USD	USD
委内瑞拉	VE	en_US	USD	USD
巴拉圭	PY	en_US	USD	USD
巴西	BR	pt_BR	BRL	BRL
智利	CL	en_US	USD	USD
法属圭亚那	GF	en_US	USD	USD
玻利维亚	BO	en_US	USD	USD
秘鲁	PE	en_US	USD	USD
苏里南	SR	en_US	USD	USD
福克兰群岛	FK	en_US	USD	USD
美属萨摩亚	AS	en_US	USD	USD
关岛	GU	en_US	USD	USD
北马里亚纳群岛	MP	en_US	USD	USD
图瓦卢	TV	en_US	USD	USD
基里巴斯	KI	en_US	USD	USD
巴布亚新几内亚	PG	en_US	USD	USD
帕劳	PW	en_US	USD	USD
库克群岛	CK	en_US	USD	USD
所罗门群岛	SB	en_US	USD	USD
托克劳群岛	TK	en_US	USD	USD
斐济	FJ	en_US	USD	USD
新喀里多尼亚	NC	en_US	USD	USD
汤加	TO	en_US	USD	USD
法属波利尼西亚	PF	en_US	USD	USD
瑙鲁	NR	en_US	USD	USD
瓦利斯和富图纳群岛	WF	en_US	USD	USD
瓦努阿图	VU	en_US	USD	USD
皮特凯恩群岛	PN	en_US	USD	USD
密克罗尼西亚联邦	FM	en_US	USD	USD
纽埃	NU	en_US	USD	USD
萨摩亚	WS	en_US	USD	USD
诺福克岛	NF	en_US	USD	USD
马绍尔群岛	MH	en_US	USD	USD
乌克兰	UA	en_US	USD	USD
埃塞俄比亚	ET	en_US	USD	USD
塞内加尔	SN	en_US	USD	USD
塞尔维亚	RS	en_US	USD	USD
法国	FR	en_US	EUR	EUR
比利时	BE	en_US	EUR	EUR
希腊	GR	en_US	EUR	EUR
奥地利	AT	en_US	EUR	EUR
保加利亚	BG	en_US	EUR	EUR
克罗地亚	HR	en_US	EUR	EUR
冰岛	IS	en_US	USD	USD
列支敦士登	LI	en_US	USD	USD
匈牙利	HU	en_US	EUR	EUR
圣马力诺	SM	en_US	USD	USD
塞拉利昂	SL	en_US	USD	USD
奥兰群岛	AX	en_US	USD	USD
安道尔	AD	en_US	USD	USD
白俄罗斯	BY	en_US	USD	USD
塞浦路斯	CY	en_US	EUR	EUR
乍得	TD	en_US	USD	USD
赤道几内亚	GQ	en_US	USD	USD
摩尔多瓦	MD	en_US	USD	USD
摩纳哥	MC	en_US	USD	USD
斯洛伐克	SK	en_US	EUR	EUR
斯瓦尔巴群岛和扬马延岛	SJ	en_US	USD	USD
根西岛	GG	en_US	USD	USD
梵蒂冈	VA	en_US	USD	USD
法罗群岛	FO	en_US	USD	USD
波黑	BA	en_US	USD	USD
泽西岛	JE	en_US	USD	USD
爱尔兰	IE	en_US	EUR	EUR
爱沙尼亚	EE	en_US	EUR	EUR
直布罗陀	GI	en_US	USD	USD
立陶宛	LT	en_US	EUR	EUR
尼日利亚	NG	en_US	USD	USD
芬兰	FI	en_US	EUR	EUR
荷兰	NL	en_US	EUR	EUR
葡萄牙	PT	en_US	EUR	EUR
阿尔巴尼亚	AL	en_US	USD	USD
马恩岛	IM	en_US	USD	USD
马耳他	MT	en_US	EUR	EUR
中非	CF	en_US	USD	USD
冈比亚	GM	en_US	USD	USD
几内亚	GN	en_US	USD	USD
几内亚比绍	GW	en_US	USD	USD
刚果共和国	CG	en_US	USD	USD
刚果民主共和国	CD	en_US	USD	USD
利比亚	LY	en_US	USD	USD
加纳	GH	en_US	USD	USD
加蓬	GA	en_US	USD	USD
南苏丹	SS	en_US	USD	USD
南非	ZA	en_US	USD	USD
卢旺达	RW	en_US	USD	USD
厄立特里亚	ER	en_US	USD	USD
吉布提	DJ	en_US	USD	USD
喀麦隆	CM	en_US	USD	USD
圣赫勒拿岛	SH	en_US	USD	USD
坦桑尼亚	TZ	en_US	USD	USD
埃及	EG	en_US	USD	USD
多哥	TG	en_US	USD	USD
尼日尔	NE	en_US	USD	USD
布隆迪	BI	en_US	USD	USD
摩洛哥	MA	en_US	USD	USD
毛里塔尼亚	MR	en_US	USD	USD
毛里求斯	MU	en_US	USD	USD
留尼汪岛	RE	en_US	USD	USD
津巴布韦	ZW	en_US	USD	USD
科摩罗	KM	en_US	USD	USD
科特迪瓦	CI	en_US	USD	USD
突尼斯	TN	en_US	USD	USD
索马里	SO	en_US	USD	USD
纳米比亚	NA	en_US	USD	USD
肯尼亚	KE	en_US	USD	USD
莫桑比克	MZ	en_US	USD	USD
莱索托	LS	en_US	USD	USD
西撒哈拉	EH	en_US	USD	USD
贝宁	BJ	en_US	USD	USD
马约特	YT	en_US	USD	USD
马达加斯加	MG	en_US	USD	USD
马里	ML	en_US	USD	USD
赫德岛和麦克唐纳群岛	HM	en_US	USD	USD
法属南部领地	TF	en_US	USD	USD
科索沃	XK	en_US	USD	USD
欧盟	EU	en_US	EUR	EUR
中国香港	HK	zh_TW	HKD	HKD
中国澳门	MO	zh_TW	USD	USD
中国台湾	TW	zh_TW	TWD	TWD
