ID	活动名称	玩法描述	活动开启时间	活动关闭时间	奖励结算时间	任务ID 对应activity_quest.txt	对应boss.txt中的ID								BUFFid																																																																															
ID	Name	Desc	StartTime	EndTime	RewardTime	tbTaskID	Boss1	Boss2	Boss3	Boss4	Boss5	Boss6	Boss7	Boss8	tbBuffID1	tbBuffID2	tbBuffID3	tbBuffID4	tbBuffID5	tbBuffID6	tbBuffID7	tbBuffID8	Boss9	tbBuffID9	Boss10	tbBuffID10	Boss11	tbBuffID11	Boss12	tbBuffID12	Boss13	tbBuffID13	Boss14	tbBuffID14	Boss15	tbBuffID15	Boss16	tbBuffID16	Boss17	tbBuffID17	Boss18	tbBuffID18	Boss19	tbBuffID19	Boss20	tbBuffID20	Boss21	tbBuffID21	Boss22	tbBuffID22	Boss23	tbBuffID23	Boss24	tbBuffID24	Boss25	tbBuffID25	Boss26	tbBuffID26	Boss27	tbBuffID27	Boss28	tbBuffID28	Boss29	tbBuffID29	Boss30	tbBuffID30	Boss31	tbBuffID31	Boss32	tbBuffID32	Boss33	tbBuffID33	Boss34	tbBuffID34	Boss35	tbBuffID35	Boss36	tbBuffID36	Boss37	tbBuffID37	Boss38	tbBuffID38	Boss39	tbBuffID39	Boss40	tbBuffID40	Boss41	tbBuffID41	Boss42	tbBuffID42	Boss43	tbBuffID43	Boss44	tbBuffID44
11	bossentries.Name1	Desc1	[202401091000]	[202401150400]	[202401160400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	19	20							{8230018}	{8230018}																																																																														
12	bossentries.Name1	Desc1	[202401161000]	[202401220400]	[202401230400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	21	22							{8230010}	{8230010}																																																																														
13	bossentries.Name1	Desc1	[202401231000]	[202401290400]	[202401300400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	23	24							{8230023}	{8230023}																																																																														
14	bossentries.Name1	Desc1	[202401301000]	[202402050400]	[202402060400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	25	26							{8230024}	{8230024}																																																																														
15	bossentries.Name1	Desc1	[202402061000]	[202402120400]	[202402130400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	27	28							{8230026}	{8230026}																																																																														
16	bossentries.Name1	Desc1	[202402131000]	[202402190400]	[202402200400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	29	30							{8230028}	{8230028}																																																																														
17	bossentries.Name1	Desc1	[202402201000]	[202402260400]	[202402270400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	31	32							{8230030}	{8230030}																																																																														
18	bossentries.Name1	Desc1	[202402271000]	[202403040400]	[202403050400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	33	34							{8230011}	{8230011}																																																																														
19	bossentries.Name1	Desc1	[202403051000]	[202403110400]	[202403120400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	35	36							{8230012}	{8230012}																																																																														
20	bossentries.Name1	Desc1	[202403121000]	[202403180400]	[202403190400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	37	38							{8230032}	{8230032}																																																																														
21	bossentries.Name1	Desc1	[202403191000]	[202403250400]	[202403260400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	39	40							{8230034}	{8230034}																																																																														
22	bossentries.Name1	Desc1	[202403261000]	[202404010400]	[202404020400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	41	42							{8230035}	{8230035}																																																																														
23	bossentries.Name1	Desc1	[202404021000]	[202404080400]	[202404090400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	43	44							{8230037}	{8230037}																																																																														
24	bossentries.Name1	Desc1	[202404091000]	[202404150400]	[202404160400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	45	46							{8230024}	{8230024}																																																																														
25	bossentries.Name1	Desc1	[202404161000]	[202404220400]	[202404230400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	47	48							{8230002}	{8230002}																																																																														
26	bossentries.Name1	Desc1	[202404231000]	[202404290400]	[202404300400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	49	50							{8230038}	{8230038}																																																																														
27	bossentries.Name1	Desc1	[202404301000]	[202405060400]	[202405070400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	51	52							{8230039}	{8230039}																																																																														
28	bossentries.Name1	Desc1	[202405071000]	[202405130400]	[202405140400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	53	54							{8230009}	{8230009}																																																																														
29	bossentries.Name1	Desc1	[202405141000]	[202405200400]	[202405210400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	55	56							{8230011}	{8230011}																																																																														
30	bossentries.Name1	Desc1	[202405211000]	[202405270400]	[202405280400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	57	58							{8230015}	{8230015}																																																																														
31	bossentries.Name1	Desc1	[202405281000]	[202406030400]	[202406040400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	59	60							{8230014}	{8230014}																																																																														
32	bossentries.Name1	Desc1	[202406041000]	[202406100400]	[202406110400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	61	62							{8230005}	{8230005}																																																																														
33	bossentries.Name1	Desc1	[202406111000]	[202406170400]	[202406180400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	63	64							{8230009}	{8230009}																																																																														
34	bossentries.Name1	Desc1	[202406181000]	[202406240400]	[202406250400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	65	66							{8230012}	{8230012}																																																																														
35	bossentries.Name1	Desc1	[202406251000]	[202407010400]	[202407020400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	67	68							{8230004}	{8230004}																																																																														
36	bossentries.Name1	Desc1	[202407021000]	[202407080400]	[202407090400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	69	70							{8230006}	{8230006}																																																																														
37	bossentries.Name1	Desc1	[202407091000]	[202407150400]	[202407160400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	71	72							{8230007}	{8230007}																																																																														
38	bossentries.Name1	Desc1	[202407161000]	[202407220400]	[202407230400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	73	74							{8230048,8230049}	{8230048,8230049}																																																																														
39	bossentries.Name1	Desc1	[202407231000]	[202407290400]	[202407300400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	75	76							{8230010}	{8230010}																																																																														
40	bossentries.Name1	Desc1	[202407301000]	[202408050400]	[202408060400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	77	78							{8230044,8230045}	{8230044,8230045}																																																																														
41	bossentries.Name1	Desc1	[202408061000]	[202408120400]	[202408130400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	79	80							{8230034}	{8230034}																																																																														
42	bossentries.Name1	Desc1	[202408131000]	[202408190400]	[202408200400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	81	82							{8230006}	{8230006}																																																																														
43	bossentries.Name1	Desc1	[202408201000]	[202408260400]	[202408270400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	83	84							{8230012}	{8230012}																																																																														
44	bossentries.Name1	Desc1	[202408271000]	[202409020400]	[202409030400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	85	86							{8230003}	{8230003}																																																																														
45	bossentries.Name1	Desc1	[202409031000]	[202409090400]	[202409100400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	87	88							{8230011}	{8230011}																																																																														
46	bossentries.Name1	Desc1	[202409101000]	[202409160400]	[202409170400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	89	90							{8230012}	{8230012}																																																																														
47	bossentries.Name1	Desc1	[202409171000]	[202409230400]	[202409240400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	91	92							{8230003}	{8230003}																																																																														
48	bossentries.Name1	Desc1	[202409241000]	[202409300400]	[202410010400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	93	94							{8230044,8230045}	{8230044,8230045}																																																																														
49	bossentries.Name1	Desc1	[202410011000]	[202410070400]	[202410080400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	95	96							{8230009}	{8230009}																																																																														
50	bossentries.Name1	Desc1	[202410081000]	[202410140400]	[202410150400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	97	98							{8230011}	{8230011}																																																																														
51	bossentries.Name1	Desc1	[202410151000]	[202410210400]	[202410220400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	99	100							{8230024}	{8230024}																																																																														
52	bossentries.Name1	Desc1	[202410221000]	[202410280400]	[202410290400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	101	102							{8230004}	{8230004}																																																																														
53	bossentries.Name1	Desc1	[202410291000]	[202411040400]	[202411050400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	103	104							{8230048,8230049}	{8230048,8230049}																																																																														
54	bossentries.Name1	Desc1	[202411051000]	[202411110400]	[202411120400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	105	106							{8230006}	{8230006}																																																																														
55	bossentries.Name1	Desc1	[202411121000]	[202411180400]	[202411190400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	107	108							{8230012}	{8230012}																																																																														
56	bossentries.Name1	Desc1	[202411191000]	[202411250400]	[202411260400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	109	110							{8230038}	{8230038}																																																																														
57	bossentries.Name1	Desc1	[202411261000]	[202412020400]	[202412030400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	111	112							{8230010}	{8230010}																																																																														
58	bossentries.Name1	Desc1	[202412031000]	[202412090400]	[202412100400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	113	114							{8230018}	{8230018}																																																																														
59	bossentries.Name1	Desc1	[202412101000]	[202412160400]	[202412170400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	115	116							{8230048,8230049}	{8230048,8230049}																																																																														
60	bossentries.Name1	Desc1	[202412171000]	[202412230400]	[202412240400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	117	118							{8230032}	{8230032}																																																																														
61	bossentries.Name1	Desc1	[202412241000]	[202412300400]	[202412310400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	119	120							{8230015}	{8230015}																																																																														
62	bossentries.Name1	Desc1	[202412311000]	[202501060400]	[202501070400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	121	122							{8230048,8230049}	{8230048,8230049}																																																																														
63	bossentries.Name1	Desc1	[202501071000]	[202501130400]	[202501140400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	123	124							{8230056}	{8230056}																																																																														
64	bossentries.Name1	Desc1	[202501141000]	[202501200400]	[202501210400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	125	126							{8230054}	{8230054}																																																																														
65	bossentries.Name1	Desc1	[202501211000]	[202501270400]	[202501280400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	127	128							{8230010}	{8230010}																																																																														
66	bossentries.Name1	Desc1	[202501281000]	[202502030400]	[202502040400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	129	130							{8230048,8230049}	{8230048,8230049}																																																																														
67	bossentries.Name1	Desc1	[202502041000]	[202502100400]	[202502110400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	131	132							{8230003}	{8230003}																																																																														
68	bossentries.Name1	Desc1	[202502111000]	[202502170400]	[202502180400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	133	134							{8230054}	{8230054}																																																																														
69	bossentries.Name1	Desc1	[202502181000]	[202502240400]	[202502250400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	135	136							{8230056}	{8230056}																																																																														
70	bossentries.Name1	Desc1	[202502251000]	[202503030400]	[202503040400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	137	138							{8230015}	{8230015}																																																																														
71	bossentries.Name1	Desc1	[202503041000]	[202503100400]	[202503110400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	139	140							{8230009}	{8230009}																																																																														
72	bossentries.Name1	Desc1	[202503111000]	[202503170400]	[202503180400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	141	142							{8230054}	{8230054}																																																																														
73	bossentries.Name1	Desc1	[202503181000]	[202503240400]	[202503250400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	143	144							{8230011}	{8230011}																																																																														
74	bossentries.Name1	Desc1	[202503251000]	[202503310400]	[202504010400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	145	146							{8230012}	{8230012}																																																																														
75	bossentries.Name1	Desc1	[202504011000]	[202504070400]	[202504080400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	147	148							{8230038}	{8230038}																																																																														
76	bossentries.Name1	Desc1	[202504081000]	[202504140400]	[202504150400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	149	150							{8230018}	{8230018}																																																																														
77	bossentries.Name1	Desc1	[202504151000]	[202504210400]	[202504220400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	151	152							{8230006}	{8230006}																																																																														
78	bossentries.Name1	Desc1	[202504221000]	[202504280400]	[202504290400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	153	154							{8230011}	{8230011}																																																																														
79	bossentries.Name1	Desc1	[202504291000]	[202505050400]	[202505060400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	155	156							{8230054}	{8230054}																																																																														
80	bossentries.Name1	Desc1	[202505061000]	[202505120400]	[202505130400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	157	158							{8230012}	{8230012}																																																																														
81	bossentries.Name1	Desc1	[202505131000]	[202505190400]	[202505200400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	159	160							{8230015}	{8230015}																																																																														
82	bossentries.Name1	Desc1	[202505201000]	[202505260400]	[202505270400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	161	162							{8230018}	{8230018}																																																																														
83	bossentries.Name1	Desc1	[202505271000]	[202506020400]	[202506030400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	163	164							{8230007}	{8230007}																																																																														
84	bossentries.Name1	Desc1	[202506031000]	[202506090400]	[202506100400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	165	166							{8230012}	{8230012}																																																																														
85	bossentries.Name1	Desc1	[202506101000]	[202506160400]	[202506170400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	167	168							{8230056}	{8230056}																																																																														
86	bossentries.Name1	Desc1	[202506171000]	[202506230400]	[202506240400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	169	170							{8230010}	{8230010}																																																																														
87	bossentries.Name1	Desc1	[202506241000]	[202506300400]	[202507010400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	171	172							{8230048,8230049}	{8230048,8230049}																																																																														
88	bossentries.Name1	Desc1	[202507011000]	[202507070400]	[202507080400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	173	174							{8230009}	{8230009}																																																																														
89	bossentries.Name1	Desc1	[202507081000]	[202507140400]	[202507150400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	175	176							{8230012}	{8230012}																																																																														
90	bossentries.Name1	Desc1	[202507151000]	[202507210400]	[202507220400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	177	178							{8230010}	{8230010}																																																																														
91	bossentries.Name1	Desc1	[202507221000]	[202507280400]	[202507290400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	179	180							{8230038}	{8230038}																																																																														
92	bossentries.Name1	Desc1	[202507291000]	[202508040400]	[202508050400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	181	182							{8230007}	{8230007}																																																																														
93	bossentries.Name1	Desc1	[202508051000]	[202508110400]	[202508120400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	183	184							{8230003}	{8230003}																																																																														
94	bossentries.Name1	Desc1	[202508121000]	[202508180400]	[202508190400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	185	186							{8230006}	{8230006}																																																																														
95	bossentries.Name1	Desc1	[202508191000]	[202508250400]	[202508260400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	187	188							{8230012}	{8230012}																																																																														
96	bossentries.Name1	Desc1	[202508261000]	[202509010400]	[202509020400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	189	190							{8230032}	{8230032}																																																																														
97	bossentries.Name1	Desc1	[202509021000]	[202509080400]	[202509090400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	191	192							{8230009}	{8230009}																																																																														
98	bossentries.Name1	Desc1	[202509091000]	[202509150400]	[202509160400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	193	194							{8230048,8230049}	{8230048,8230049}																																																																														
99	bossentries.Name1	Desc1	[202509161000]	[202509220400]	[202509230400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	195	196							{8230011}	{8230011}																																																																														
100	bossentries.Name1	Desc1	[202509231000]	[202509290400]	[202509300400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	197	198							{8230006}	{8230006}																																																																														
101	bossentries.Name1	Desc1	[202509301000]	[202510060400]	[202510070400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	199	200							{8230009}	{8230009}																																																																														
102	bossentries.Name1	Desc1	[202510071000]	[202510130400]	[202510140400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	201	202							{8230012}	{8230012}																																																																														
103	bossentries.Name1	Desc1	[202510141000]	[202510200400]	[202510210400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	203	204							{8230048,8230049}	{8230048,8230049}																																																																														
104	bossentries.Name1	Desc1	[202510211000]	[202510270400]	[202510280400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	205	206							{8230011}	{8230011}																																																																														
105	bossentries.Name1	Desc1	[202510281000]	[202511030400]	[202511040400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	207	208							{8230054}	{8230054}																																																																														
106	bossentries.Name1	Desc1	[202511041000]	[202511100400]	[202511110400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	209	210							{8230007}	{8230007}																																																																														
107	bossentries.Name1	Desc1	[202511111000]	[202511170400]	[202511180400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	211	212							{8230010}	{8230010}																																																																														
108	bossentries.Name1	Desc1	[202511181000]	[202511240400]	[202511250400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	213	214							{8230018}	{8230018}																																																																														
109	bossentries.Name1	Desc1	[202511251000]	[202512010400]	[202512020400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	215	216							{8230003}	{8230003}																																																																														
110	bossentries.Name1	Desc1	[202512021000]	[202512080400]	[202512090400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	217	218							{8230006}	{8230006}																																																																														
111	bossentries.Name1	Desc1	[202512091000]	[202512150400]	[202512160400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	219	220							{8230015}	{8230015}																																																																														
112	bossentries.Name1	Desc1	[202512161000]	[202512220400]	[202512230400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	221	222							{8230039}	{8230039}																																																																														
113	bossentries.Name1	Desc1	[202512231000]	[202512290400]	[202512300400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	223	224							{8230010}	{8230010}																																																																														
114	bossentries.Name1	Desc1	[202512301000]	[202601050400]	[202601060400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	225	226							{8230007}	{8230007}																																																																														
115	bossentries.Name1	Desc1	[202601061000]	[202601120400]	[202601130400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	227	228							{8230012}	{8230012}																																																																														
116	bossentries.Name1	Desc1	[202601131000]	[202601190400]	[202601200400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	229	230							{8230018}	{8230018}																																																																														
117	bossentries.Name1	Desc1	[202601201000]	[202601260400]	[202601270400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	231	232							{8230011}	{8230011}																																																																														
118	bossentries.Name1	Desc1	[202601271000]	[202602020400]	[202602030400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	233	234							{8230002}	{8230002}																																																																														
119	bossentries.Name1	Desc1	[202602031000]	[202602090400]	[202602100400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	235	236							{8230012}	{8230012}																																																																														
120	bossentries.Name1	Desc1	[202602101000]	[202602160400]	[202602170400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	237	238							{8230011}	{8230011}																																																																														
121	bossentries.Name1	Desc1	[202602171000]	[202602230400]	[202602240400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	239	240							{8230007}	{8230007}																																																																														
122	bossentries.Name1	Desc1	[202602241000]	[202603020400]	[202603030400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	241	242							{8230015}	{8230015}																																																																														
123	bossentries.Name1	Desc1	[202603031000]	[202603300400]	[202603310400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	243	244							{8230009}	{8230009}																																																																														
124	bossentries.Name1	Desc1	[202605051000]	[202605110400]	[202605120400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	245	246							{8230010}	{8230010}																																																																														
125	bossentries.Name1	Desc1	[202605121000]	[202605180400]	[202605190400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	247	248							{8230012}	{8230012}																																																																														
126	bossentries.Name1	Desc1	[202605191000]	[202605250400]	[202605260400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	249	250							{8230018}	{8230018}																																																																														
127	bossentries.Name1	Desc1	[202605261000]	[202606010400]	[202606020400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	251	252							{8230004}	{8230004}																																																																														
128	bossentries.Name1	Desc1	[202606021000]	[202606080400]	[202606090400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	253	254							{8230007}	{8230007}																																																																														
129	bossentries.Name1	Desc1	[202606091000]	[202606150400]	[202606160400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	255	256							{8230015}	{8230015}																																																																														
130	bossentries.Name1	Desc1	[202606161000]	[202606220400]	[202606230400]	{9601,9602,9603,9604,9605,9606,9607,9608,9609,9610}	257	258							{8230006}	{8230006}																																																																														
