ID	备注	"关卡类型(0、通常关,1、Boss关,2、剧情,3、重要,4、爬塔关,5、Boss挑战关,6、联机)"	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	体力消耗(包含进入和通关)	"星级条件 {{1,300},{1,180},{2,2}}"	"出场怪物信息{{G,D,P,L}}"	怪物强度模板	推荐战力	是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	"UI展示物品{{G,D,P,L,N}}"	"UI展示首通物品{{G,D,P,L,N}}"	Boss概念图	关卡概念图	任务资源
522	凯茜娅覆霜		522						6																BossChallengeTask/Task_BossChallenge_Boss505b.Task_BossChallenge_Boss505b
523	派		523						6																BossChallengeTask/Task_BossChallenge_Boss401.Task_BossChallenge_Boss401
524	沃坦		524						6																BossChallengeTask/Task_BossChallenge_Boss502.Task_BossChallenge_Boss502
525	尼亚尔2型		525						6																BossChallengeTask/Task_BossChallenge_Boss206_b_2.Task_BossChallenge_Boss206_b_2
526	狄俄尼索斯		526						6																BossChallengeTask/Task_BossChallenge_Boss503.Task_BossChallenge_Boss503
527	刻耳柏洛斯亚种		527						6																BossChallengeTask/Task_BossChallenge_Boss301b.Task_BossChallenge_Boss301b
528	尘白恶魔号		528						6																BossChallengeTask/Task_BossChallenge_Boss303.Task_BossChallenge_Boss303
529	玉节天龙		529						6																BossChallengeTask/Task_BossChallenge_Boss601.Task_BossChallenge_Boss601
530	食影血兽		530						6																BossChallengeTask/Task_BossChallenge_Boss602.Task_BossChallenge_Boss602
531	舍塔无正觉		531						6																BossChallengeTask/Task_BossChallenge_Boss603.Task_BossChallenge_Boss603
532	墨菲斯·徒花		532						6																BossChallengeTask/Task_BossChallenge_Boss506.Task_BossChallenge_Boss506
533	墨菲斯·徒花（删除表演技能版）		533						6																BossChallengeTask/Task_BossChallenge_Boss506_2.Task_BossChallenge_Boss506_2
534	海底观测者		534						6																BossChallengeTask/Task_BossChallenge_Boss402.Task_BossChallenge_Boss402
535	噬孽机·卡律布狄斯		535						6																BossChallengeTask/Task_BossChallenge_Boss403.Task_BossChallenge_Boss403
536	尼亚尔·磐石		536						6																BossChallengeTask/Task_BossChallenge_Boss206_c.Task_BossChallenge_Boss206_c
537	文明守护者		537						6																BossChallengeTask/Task_BossChallenge_Boss404.Task_BossChallenge_Boss404
538	祟超越		538						6																BossChallengeTask/Task_BossChallenge_Boss205_3.Task_BossChallenge_Boss205_3
539	米拉猩红武装		539						6																BossChallengeTask/Task_BossChallenge_Boss405.Task_BossChallenge_Boss405
540	SpH-L12		540						6																BossChallengeTask/Task_BossChallenge_Boss304.Task_BossChallenge_Boss304
541	起源物种		541						6																BossChallengeTask/Task_BossChallenge_Boss210.Task_BossChallenge_Boss210
542	埃吉尔		542						6																BossChallengeTask/Task_BossChallenge_Boss209.Task_BossChallenge_Boss209
543	西西弗斯		543						6																BossChallengeTask/Task_BossChallenge_Boss507.Task_BossChallenge_Boss507
544	瑟茜		544						6																BossChallengeTask/Task_BossChallenge_Boss508.Task_BossChallenge_Boss508
545	九尾		545						6																BossChallengeTask/Task_BossChallenge_Boss406.Task_BossChallenge_Boss406
546	苏菲		546						6																BossChallengeTask/Task_BossChallenge_Boss104.Task_BossChallenge_Boss104
