ID（1至6500之间）	备注	关卡ID（对应Level.txt中的ID）	索引到具体BOSS	索引到具体BOSS2	难度对应等级{难度,等级,倍率,基础分,时间分（1秒）}	词条库ID	对应scene_data.txt中的ID	对应scene_data.txt中的ID
23	波伏娃13	504	6003101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,9,14,27,28,106}	4	
24	约瑟夫-顽骨	517	6001006		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,16,29,35,122}	16	
25	凯茜娅	515	6001505		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,12,17,27,33,119}	14	
26	二型验证机甲	501	6002002		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,11,13,25,31,101}	1	
27	威尔·安德森	514	600150101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,7,20,26,27,117}	13	
28	二型验证机甲·荒猎	505	6002005		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,15,26,27,107}	5	
29	爱思特	510	6001004		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,14,25,31,114}	10	
30	祟·焚风	512	600120502		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,13,25,31,123}	11	
31	加文	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,8,18,28,29,111}	7	
32	海拉·怒棘	508	6001204		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,10,19,28,30,112}	8	
33	让·苏瑞安·萨特	506	6002103		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,11,15,25,27,110}	6	
34	刻耳柏洛斯	509	6001301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,20,25,27,113}	9	
35	祟·寒潮	513	600120503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,19,21,124}	12	
36	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,18,21,120}	15	
37	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,8,15,22,125}	17	
38	二型验证机甲	501	6002002		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,19,22,101}	1	
39	“野牛”约瑟夫	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,10,13,21,103}	2	
40	耶洛沙之泪	519	6001207		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,8,16,31,35,126}	18	
41	波伏娃13	504	6003101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,16,23,106}	4	
42	海拉	503	6003201		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,8,20,23,104}	3	
43	约瑟夫-顽骨	517	6001006		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,17,21,122}	16	
44	祟·焚风	512	600120502		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,12,18,24,123}	11	
45	让·苏瑞安·萨特	506	6002103		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,20,29,30,109}	6	
46	威尔·安德森	514	600150101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,10,15,29,30,117}	13	
47	祟·寒潮	513	600120503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,9,13,28,33,124}	12	
48	二型验证机甲·荒猎	505	6002005		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,17,22,108}	5	
49	二律背反的盟约	520	6001208		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,13,24,127}	19	
50	波伏娃13	504	6003101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,7,14,23,106}	4	
51	海拉	503	6003201		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,15,22,105}	3	
52	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,13,24,121}	15	
53	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,4,10,16,21,125}	17	
54	“野牛”约瑟夫	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,16,28,33,102}	2	
55	祟·焚风	512	600120502		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,19,23,123}	11	
56	加文	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,11,18,21,111}	7	
57	约瑟夫顽骨	517	6001006		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,10,15,21,122}	16	
58	刻耳柏洛斯	509	6001301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,20,21,113}	9	
59	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,7,13,25,26,120}	15	
60	祟·寒潮	513	600120503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,9,13,28,30,124}	12	
61	凯茜娅	515	6001505		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,9,16,27,29,118}	14	
62	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,15,26,31,129}	20	
63	刻耳柏洛斯	509	6001301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,10,15,25,28,113}	9	
64	加文	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,11,17,30,31,111}	7	
65	二型验证机甲	501	6002002		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,10,14,25,29,101}	1	
66	让·苏瑞安·萨特	506	6002103		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,12,19,28,30,109}	6	
67	“野牛”约瑟夫	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,11,13,21,103}	2	
68	耶洛沙之泪	519	6001207		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,16,31,35,126}	18	
69	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,15,25,26,125}	17	
70	祟·焚风	512	600120502		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,18,29,31,123}	11	
71	凯茜娅·覆霜	522	6002505		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,20,26,29,128}	14	
72	波伏娃13	504	6003101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,7,13,26,28,106}	4	
73	初诞的沃坦	524	6001502	6002502	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,15,25,28,132}	22	21
74	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,7,14,25,26,120}	15	
75	爱思特	510	6001004		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,10,20,28,31,114}	10	
76	二型验证机甲·荒猎	505	6002005		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,17,29,30,108}	5	
77	加文	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,14,28,29,111}	7	
78	二律背反的盟约	520	6001208		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,11,16,25,27,127}	19	
79	“野牛”约瑟夫	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,12,18,26,28,103}	2	
80	祟·寒潮	513	600120503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,9,13,28,33,124}	12	
81	“炎刃”威尔	521	600150102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,10,15,29,31,131}	13	
82	海拉·怒棘	508	6001204		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,10,19,28,30,112}	8	
83	波伏娃13	504	6003101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,7,13,26,28,106}	4	
84	约瑟夫-顽骨	517	6001006		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,17,26,31,122}	16	
85	耶洛沙之泪	519	6001207		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,14,31,35,126}	18	
86	极夜幽影	526	6001503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,13,25,30,134}	23	
87	刻耳柏洛斯	509	6001301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,11,20,26,27,113}	9	
88	海拉	503	6003201		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,10,15,28,29,105}	3	
89	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,19,25,27,120}	15	
90	二律背反的盟约	520	6001208		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,17,26,31,127}	19	
91	祟·焚风	512	600120502		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,17,29,30,123}	11	
92	让·苏瑞安·萨特	506	6002103		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,16,29,30,109}	6	
93	凯茜娅·覆霜	522	6002505		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,9,15,27,30,128}	14	
94	尼亚尔浊流	525	6002206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,14,26,29,133}	17	
95	“炎刃”威尔	521	600150102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,13,30,31,131}	13	
96	爱思特	510	6001004		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,17,25,31,114}	10	
97	加文	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,18,28,30,111}	7	
98	尘白恶魔号	528	6001303		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,13,30,31,136}	24	
99	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,9,16,26,28,125}	17	
100	刻耳柏洛斯·灼痕	527	6002301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,20,28,31,135}	9	
101	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,15,28,31,129}	20	
102	海拉·怒棘	508	6001204		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,10,19,28,30,112}	8	
103	耶洛沙之泪	519	6001207		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,8,16,27,30,126}	18	
104	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,7,13,28,31,121}	15	
105	尼亚尔浊流	525	6002206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,7,14,28,29,133}	17	
106	祟·寒潮	513	600120503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,9,13,28,30,124}	12	
107	“野牛”约瑟夫	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,12,18,27,29,103}	2	
108	波伏娃13	504	6003101		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,7,13,28,31,106}	4	
109	加文	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,14,28,29,111}	7	
110	玉节天龙	529	6001601		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,10,14,26,28,137}	25	
111	二型验证机甲	501	6002002		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,10,18,25,29,101}	1	
112	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,14,29,31,120}	15	
113	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,6,8,16,26,28,125}	17	
114	爱思特	510	6001004		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,12,17,25,31,114}	10	
115	二型验证机甲·荒猎	505	6002005		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,8,18,29,31,108}	5	
116	初诞的沃坦	524	6001502	6002502	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,8,15,25,28,132}	22	21
117	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,20,26,29,121}	15	
118	凯茜娅·覆霜	522	6002505		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,9,18,27,30,128}	14	
119	海拉·怒棘	508	6001204		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,11,19,28,29,112}	8	
120	食夜影兽	530	6001602		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,5,8,14,26,29,138}	26	
121	尼亚尔浊流	525	6002206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,7,14,26,31,133}	17	
122	耶洛沙之泪	519	6001207		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,8,16,27,29,126}	18	
123	刻耳柏洛斯·灼痕	527	6002301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,11,18,25,28,135}	9	
124	尘白恶魔号	528	6001303		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,20,28,31,136}	24	
125	祟·焚风	512	600120502		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,15,25,27,123}	11	
126	二型验证机甲·荒猎	505	6002005		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,10,19,30,31,108}	5	
127	爱思特	510	6001004		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,12,14,27,29,114}	10	
128	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,7,20,25,29,125}	17	
129	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,14,27,31,120}	15	
130	凯茜娅·覆霜	522	6002505		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,14,25,26,128}	14	
131	祟·寒潮	513	600120503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,9,20,28,31,124}	12	
132	舍塔	531	6001603	6002603	{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{38,2,8,15,26,29,139}	27	27
133	刻耳柏洛斯·灼痕	527	6002301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,11,16,25,28,135}	9	
134	极夜幽影	526	6001503		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,8,15,25,31,134}	23	
135	二型验证机甲	501	6002002		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,10,18,25,29,101}	1	
136	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,15,26,28,129}	20	
137	二型验证机甲·荒猎	505	6002005		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,8,18,29,30,108}	5	
138	尼亚尔浊流	525	6002206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,7,14,26,31,133}	17	
139	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,9,18,27,30,121}	15	
140	耶洛沙之泪	519	6001207		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,2,8,16,27,31,126}	18	
141	祟·焚风	512	600120502		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,9,15,25,27,123}	11	
142	墨菲斯·徒花	533	6002506		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,9,13,26,30,140}	28	
143	刻耳柏洛斯·灼痕	527	6002301		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,5,11,18,25,28,135}	9	
144	派	523	6002401		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,17,28,31,129}	20	
145	“野牛”约瑟夫	502	6002003		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,3,12,18,26,28,103}	2	
146	墨菲斯·徒花	533	6002506		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,12,17,28,30,140}	28	
147	加文	507	6002102		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,4,8,20,28,30,111}	7	
148	玉节天龙	529	6001601		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,2,10,14,26,28,137}	25	
149	尼亚尔	518	6001206		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{37,3,9,16,26,28,125}	17	
150	二型验证机甲	501	6002002		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,10,18,25,29,101}	1	
151	透墨索斯	516	6001302		{{1,25,1,1200},{2,40,1,3000},{3,60,1,6000},{4,80,1,10000},{5,90,1,10000,100}}	{1,6,9,18,27,30,121}	15	
