ID	注释	索引到具体词条技能	解锁条件（1:积分 2:等级,不填表示不需要解锁）	难度限制	显示优先级	类型（1：时间限制类  2：角色存活限制 3：更换地图 0或不配表示其他类）	扩展参数{}	具体描述
2060	祟的熔岩火柱持续时间延长			{3,4,5}	4			bossentries.boss2060
2061	祟在大招期间会持续召唤熔岩火柱攻击			{5}	4			bossentries.boss2061
2062	祟的地面弹幕数量增加，引爆时间加快			{5}	4			bossentries.boss2062
2063	祟的空中弹幕移动速度加快			{4,5}	4			bossentries.boss2063
2064	祟的坠落冰柱追踪时长延长50%			{2,3,4,5}	4			bossentries.boss2064
2065	祟发射的冰刺会额外发射2簇			{4,5}	4			bossentries.boss2065
2066	祟的追踪弹幕会替换为更强的冰锥弹幕			{5}	4			bossentries.boss2066
2067	祟跳跃时会额外发射4枚弹幕			{5}	4			bossentries.boss2067
2068	祟的飞扑落地时会额外触发一次坠落冰柱			{3,4,5}	4			bossentries.boss2068
2069	透墨索斯的星星子弹自主爆炸时，会产生一圈弹幕			{2,3,4,5}	4			bossentries.boss2069
2070	透墨索斯冲锋时每间隔一段时间就会释放一颗跟踪的星星子弹			{4,5}	4			bossentries.boss2070
2071	透墨索斯摔倒生成的星星子弹全部具有跟踪性能			{5}	4			bossentries.boss2071
2072	透墨索斯跃起坐地、俯冲落地时，额外生成弹幕			{3,4,5}	4			bossentries.boss2072
2073	透墨索斯大招爆炸后会生成若干下落的星星子弹			{4,5}	4			bossentries.boss2073
2074	透墨索斯召唤的炮台数量增加			{5}	4			bossentries.boss2074
2075	透墨索斯锁血阶段每隔一段时间会在身边随机召唤下落星星子弹			{5}	4			bossentries.boss2075
2076	凯茜娅的站立射击从313变成535			{2,3,4,5}	4			bossentries.boss2076
2077	凯茜娅的箭雨射击路径添加中间一路			{3,4,5}	4			bossentries.boss2077
2078	凯茜娅的跳跃射击变成3根扩散箭			{4,5}	4			bossentries.boss2078
2079	凯茜娅蹲射单发伤害提高，射击次数增加			{4,5}	4			bossentries.boss2079
2080	凯茜娅新增二阶段，转阶段释放包围箭雨，二阶段主动瞬移时留下自机狙爆炸箭			{5}	4			bossentries.boss2080
2081	凯茜娅免疫击退、受击硬直、击飞			{5}	4			bossentries.boss2081
2082	强化状态下威尔获得额外连段			{2,3,4,5}	4			bossentries.boss2082
2083	威尔的强化装置减伤50% 2084			{3,4,5}	4			bossentries.boss2083
2084	威尔的强化装置每次被击破时额外召唤2个幻影队员			{4,5}	4			bossentries.boss2084
2085	转场召唤的队员会额外重复一次轰炸和攻击技能			{5}	4			bossentries.boss2085
2086	常规召唤幻影小队成员时召唤数量+1			{5}	4			bossentries.boss2086
2087	祟每5秒降低5%低温类型抗性，最多降低100%，但其飞鳞受到的伤害降低50%			{3,4,5}	4			bossentries.boss2087
2088	祟每5秒降低5%高热类型抗性，最多降低100%，但其飞鳞受到的伤害降低50%			{3,4,5}	4			bossentries.boss2088
2089	约瑟夫·顽骨一阶段召唤可击破导弹舱时额外召唤两个			{5}	4			bossentries.boss2089
2090	约瑟夫·顽骨爆风火箭筒命中地面爆炸后会产生球形扩散弹幕			{2,3,4,5}	4			bossentries.boss2090
2091	约瑟夫·顽骨导弹齐射技能增加一波			{3,4,5}	4			bossentries.boss2091
2092	约瑟夫·顽骨旋转突进时，会额外生成扩散弹幕			{4,5}	4			bossentries.boss2092
2093	约瑟夫·顽骨释放俯冲飞踢前会释放电网封锁目标			{5}	4			bossentries.boss2093
2095	弹幕方块释放部分弹幕技能时会持续将玩家往自己吸			{2,3,4,5}	4			bossentries.boss2095
2096	弹幕方块延迟跟踪弹数量增加			{4,5}	4			bossentries.boss2096
2097	弹幕方块蓄力狙击射击命中时会额外产生一圈弹幕			{3,4,5}	4			bossentries.boss2097
2098	弹幕方块轰炸射击增加波次			{5}	4			bossentries.boss2098
2099	弹幕方块砸地冲击波技能增强为连续砸地三次			{5}	4			bossentries.boss2099
2101	耶洛沙之泪召唤浮游炮第三段，浮游炮释放强力光束时，由一次提升为重复三次			{2,3,4,5}	4			bossentries.boss2101
2102	耶洛沙之泪的轰炸技能在轰炸结束后会留下一个持续十秒的小型毒潭			{4,5}	4			bossentries.boss2102
2103	耶洛沙之泪狙击技能一二阶段波次分别提升一次/两次			{3,4,5}	4			bossentries.boss2103
2104	耶洛沙之泪蓄力机制召唤雕像的数量从四个提升到六个			{5}	4			bossentries.boss2104
2105	耶洛沙之泪二阶段释放黑球拍地板时会附带释放一轮扩散弹幕			{5}	4			bossentries.boss2105
2107	二律背反的盟约瞬移近战会组合地刺			{5}	4			bossentries.boss2107
2108	二律背反的盟约每次使用阶段技能时，会在原地生成一个扩散圈			{5}	4			bossentries.boss2108
2109	二律背反的盟约每次使用扩散圈时会附带扩散弹幕			{4,5}	4			bossentries.boss2109
2110	二律背反的盟约产生的场景陷阱会产生吸力且更快爆炸			{3,4,5}	4			bossentries.boss2110
2111	二律背反的盟约锥形弹幕的数量增加，速度加快			{2,3,4,5}	4			bossentries.boss2111
2112	凯茜娅覆霜免疫击退、受击硬直、击飞			{2,3,4,5}	4			bossentries.boss2112
2113	凯茜娅覆霜新增二阶段，转阶段释放扩散箭雨，二阶段主动瞬移时留下自机狙爆炸箭			{3,4,5}	4			bossentries.boss2113
2114	凯茜娅覆霜蹲射单发伤害提高，射击次数增加			{4,5}	4			bossentries.boss2114
2115	凯茜娅覆霜的站立射击从313变成535			{4,5}	4			bossentries.boss2115
2116	凯茜娅覆霜的跳跃射击变成3根扩散箭			{3,4,5}	4			bossentries.boss2116
2117	凯茜娅的箭雨射击路径添加旁边两路			{5}	4			bossentries.boss2117
2118	派·纯净释放砸地地波攻击时会额外生成跟踪弹			{2,3,4,5}	4			bossentries.boss2118
2119	派·纯净释放扩散落雨弹幕后会额外生成跟踪弹			{3,4,5}	4			bossentries.boss2119
2120	派·纯净释放十字旋转激光的激光转动速度加快			{4,5}	4			bossentries.boss2120
2121	派·纯净释放电击陷阱造成的麻痹效果时间增加，伤害提高			{4,5}	4			bossentries.boss2121
2122	派·纯净附带的治疗装置将拥有极高的跳弹率			{5}	4			bossentries.boss2122
2123	威尔进行蓄力射击时会召唤两名幻影队员发动一次射击			{5}	4			bossentries.boss2123
2124	威尔的蓄力射击与斩击的爆炸命中后会附带灼烧			{3,4,5}	4			bossentries.boss2124
2125	威尔在杂兵战阶段召唤的杂兵数量会增加			{5}	4			bossentries.boss2125
2126	威尔主动瞬移时会召唤一名幻影队员			{5}	4			bossentries.boss2126
2127	强化状态下威尔获得额外连段			{2,3,4,5}	4			bossentries.boss2127
2128	常规召唤幻影小队成员时召唤数量+1			{4,5}	4			bossentries.boss2128
2129	沃坦召唤的水晶在进入爆炸预警前会慢速持续接近目标			{2,3,4,5}	4			bossentries.boss2129
2130	沃坦使用转身横扫近战攻击时，会沿当前面向落下三颗立即进入爆炸预警的蓝色水晶			{3,4,5}	4			bossentries.boss2130
2131	沃坦使用狙击光束攻击蓄力时，会在身边召唤两颗立即进入爆炸预警的黄色水晶			{4,5}	4			bossentries.boss2131
2132	沃坦使用红色技能时，会在场上固定点位召唤四颗立即进入爆炸预警的红色水晶			{5}	4			bossentries.boss2132
2133	沃坦释放环境变化落雷时，只有在不命中目标时才会生成安全区域			{5}	4			bossentries.boss2133
2134	尼亚尔外壳破碎时，自动释放一圈弹幕			{2,3,4,5}	4			bossentries.boss2134
2135	尼亚尔坠地冲击波增强为连续使用三次			{3,4,5}	4			bossentries.boss2135
2136	尼亚尔喷射的轰雷陷阱技能，陷阱数量&覆盖范围增加			{5}	4			bossentries.boss2136
2137	尼亚尔激光的旋转速度增加			{4,5}	4			bossentries.boss2137
2138	尼亚尔的区块收束弹幕波次增加			{5}	4			bossentries.boss2138
2139	极夜幽影远程刀光数量增加2			{2,3,4,5}	4			bossentries.boss2139
2140	极夜幽影初次转阶段会生成水柱，再次转阶段时会在中心生成一个方形陷阱			{3,4,5}	4			bossentries.boss2140
2141	极夜幽影的武器会使自身逐渐恢复能量，极夜幽影的蓝色护甲会使自身获得霸体及30%减伤			{5}	4			bossentries.boss2141
2142	极夜幽影的陷阱弹幕技能范围扩大			{4,5}	4			bossentries.boss2142
2143	极夜幽影的攻击命中都会附加与陷阱相同的异常状态			{5}	4			bossentries.boss2143
2144	刻耳柏洛斯亚种人形后跳会衔接修正地波，犬形后跳会衔接墙形弹幕			{2,3,4,5}	4			bossentries.boss2144
2145	刻耳柏洛斯亚种开场时会以犬形态进入战斗，并立即获取仇恨			{3,4,5}	4			bossentries.boss2145
2146	刻耳柏洛斯亚种人形前冲爆炸攻击后，会产生额外的爆炸效果			{5}	4			bossentries.boss2146
2147	刻耳柏洛斯亚种犬形蓄力跳跃砸地后会造成额外的大范围地震波			{4,5}	4			bossentries.boss2147
2148	刻耳柏洛斯人形蓄力连续砸地大招的砸地次数由3次提升至5次			{5}	4			bossentries.boss2148
2149	尘白恶魔号词条1			{2,3,4,5}	4			bossentries.boss2149
2150	尘白恶魔号词条2			{3,4,5}	4			bossentries.boss2150
2151	尘白恶魔号词条3			{5}	4			bossentries.boss2151
2152	尘白恶魔号词条4			{4,5}	4			bossentries.boss2152
2153	尘白恶魔号词条5			{5}	4			bossentries.boss2153
2155	玉节天龙的地刺攻击附加弹幕			{2,3,4,5}	4			bossentries.boss2155
2156	玉节天龙喷口水留下陷阱			{3,4,5}	4			bossentries.boss2156
2157	玉节天龙2阶段钻地时召唤自爆盒			{5}	4			bossentries.boss2157
2158	玉节天龙2阶段吸取龙卷风时恢复部分血量			{4,5}	4			bossentries.boss2158
2159	玉节天龙2阶段近身头槌时附加弹幕			{5}	4			bossentries.boss2159
2160	食夜影兽开局就进入战斗且必定使用兽势冲撞攻击，兽势冲撞强化为连续3次			{5}	4			bossentries.boss2160
2161	食夜影兽在使用臂刃攻击时会伴随古晶弹幕攻击			{4,5}	4			bossentries.boss2161
2162	食夜影兽在使用尾部扫地攻击时会附带古晶尖刺刺弹幕攻击			{3,4,5}	4			bossentries.boss2162
2163	食夜影兽尾部插地发射聚气地风的数量增多，食夜影兽发射的凝神光团会具备更强的追踪性			{2,3,4,5}	4			bossentries.boss2163
2164	食夜影兽的攀爬和兽势冲撞攻击成功落地后攻击力提升50%，持续10s，冲撞攻击撞到石柱导致失败后，受到的暴击伤害提升30%，持续10s			{5}	4			bossentries.boss2164
2165	Boss会以怒面进入战斗，并立即发起进攻			{4,5}	4			bossentries.boss2165
2166	转形态表演期间会发射弹幕			{2,3,4,5}	4			bossentries.boss2166
2167	两个形态的戳刺攻击会生成更多飞刀，覆盖更大范围			{3,4,5}	4			bossentries.boss2167
2168	激光扫过的区域一段延迟后会发生爆炸			{5}	4			bossentries.boss2168
2169	冲刺闪回技能会进行来回两次冲刺，随后瞬移回玩家身边			{5}	4			bossentries.boss2169
2170	墨菲斯·徒花的大梦天光技能，身体额外释放弹幕			{2,3,4,5}	4			bossentries.boss2170
2171	墨菲斯·徒花的异梦迷踪技能，左右方向额外增加弹幕			{4,5}	4			bossentries.boss2171
2172	墨菲斯·徒花的召唤仆从技能，仆从的占位更加分散且数量+1			{3,4,5}	4			bossentries.boss2172
2173	墨菲斯·徒花的天网梦眼技能，梦眼数量&持续时间增加			{5}	4			bossentries.boss2173
2174	墨菲斯·徒花的绮梦垣墙技能，墙体数量增加			{5}	4			bossentries.boss2174
2175	海底观测者每次召唤阶段会同时召唤出卫城一型机兵&卫城二型机兵，击破两个精英才能解除无敌状态			{5}	4			bossentries.boss2175
2176	海底观测者的弹幕攻击数量增加			{4,5}	4			bossentries.boss2176
2177	海底观测者召唤的卫城一型机兵&卫城二型机兵死亡后场上随机生成其技能skill05的子弹			{3,4,5}	4			bossentries.boss2177
2178	海底观测者召唤的卫城试作型机兵数量增加			{2,3,4,5}	4			bossentries.boss2178
2179	海底观测者使用的信息态地波数量增加			{5}	4			bossentries.boss2179
2180	噬孽机·卡律布狄斯的侧身撞桥会生成海浪将角色推远			{4,5}	4			bossentries.boss2180
2181	噬孽机·卡律布狄斯召唤的爪型触手在拍击前会喷射激光			{5}	4			bossentries.boss2181
2182	噬孽机·卡律布狄斯发射额外一发轰炸落地后会生成大范围冲击波			{3,4,5}	4			bossentries.boss2182
2183	噬孽机·卡律布狄斯召唤的哨兵飞艇会三连发电磁炮			{2,3,4,5}	4			bossentries.boss2183
2184	噬孽机·卡律布狄斯在蓄力吸引期间会对桥面进行飞弹轰炸			{5}	4			bossentries.boss2184
2185	尼亚尔的坠地冲击波增强为3次			{2,3,4,5}	4			bossentries.boss2185
2186	尼亚尔弹出外壳时还会释放地雷，并且不再掉落能量瓶			{3,4,5}	4			bossentries.boss2186
2187	尼亚尔的落雨弹幕技能最外圈子弹下落后会向内移动，并且尼亚尔会额外衔接一段坠地冲击波			{4,5}	4			bossentries.boss2187
2188	尼亚尔部分弹幕技能子弹数增加			{5}	4			bossentries.boss2188
2189	尼亚尔释放的激光自转速度加快，同时开始旋转和停止旋转时会在原地留下一个地雷			{5}	4			bossentries.boss2189
2190	文明守护者1			{4,5}	4			bossentries.boss2190
2191	文明守护者2			{5}	4			bossentries.boss2191
2192	文明守护者3			{3,4,5}	4			bossentries.boss2192
2193	文明守护者4			{2,3,4,5}	4			bossentries.boss2193
2194	文明守护者5			{5}	4			bossentries.boss2194
2195	祟的后置爆破弹幕距离增长并且范围扩展为一圈			{2,3,4,5}	4			bossentries.boss2195
2196	祟在近战三连击后会在玩家四周释放火焰柱和一枚坠落冰锥			{3,4,5}	4			bossentries.boss2196
2197	祟在发射弹幕的同时会在玩家周围生成一圈火焰柱			{4,5}	4			bossentries.boss2197
2198	祟在冲击的准备阶段会额外发射数枚弹幕			{5}	4			bossentries.boss2198
2199	祟发射的突进冰刺会在路过的地面留下冰			{5}	4			bossentries.boss2199
2200	米拉1			{2,3,4,5}	4			bossentries.boss2200
2201	米拉2			{3,4,5}	4			bossentries.boss2201
2202	米拉3			{4,5}	4			bossentries.boss2202
2203	米拉4			{5}	4			bossentries.boss2203
2204	米拉5			{5}	4			bossentries.boss2204
2205	SpH-L12词条1			{2,3,4,5}	4			bossentries.boss2205
2206	SpH-L12词条2			{3,4,5}	4			bossentries.boss2206
2207	SpH-L12词条3			{4,5}	4			bossentries.boss2207
2208	SpH-L12词条4			{5}	4			bossentries.boss2208
2209	SpH-L12词条5			{5}	4			bossentries.boss2209
2210	起源物种词条1			{2,3,4,5}	4			bossentries.boss2210
2211	起源物种词条2			{3,4,5}	4			bossentries.boss2211
2212	起源物种词条3			{4,5}	4			bossentries.boss2212
2213	起源物种词条4			{5}	4			bossentries.boss2213
2214	起源物种词条5			{5}	4			bossentries.boss2214
2215	埃吉尔词条1			{2,3,4,5}	4			bossentries.boss2215
2216	埃吉尔词条2			{3,4,5}	4			bossentries.boss2216
2217	埃吉尔词条3			{4,5}	4			bossentries.boss2217
2218	埃吉尔词条4			{5}	4			bossentries.boss2218
2219	埃吉尔词条5			{5}	4			bossentries.boss2219
2220	西西弗斯词条1			{2,3,4,5}	4			bossentries.boss2220
2221	西西弗斯词条2			{3,4,5}	4			bossentries.boss2221
2222	西西弗斯词条3			{4,5}	4			bossentries.boss2222
2223	西西弗斯词条4			{5}	4			bossentries.boss2223
2224	西西弗斯词条5			{5}	4			bossentries.boss2224
2225	阿帕忒词条1			{2,3,4,5}	4			bossentries.boss2225
2226	阿帕忒词条2			{3,4,5}	4			bossentries.boss2226
2227	阿帕忒词条3			{4,5}	4			bossentries.boss2227
2228	阿帕忒词条4			{5}	4			bossentries.boss2228
2229	阿帕忒词条5			{5}	4			bossentries.boss2229
2230	九尾词条1			{2,3,4,5}	4			bossentries.boss2230
2231	九尾词条2			{3,4,5}	4			bossentries.boss2231
2232	九尾词条3			{4,5}	4			bossentries.boss2232
2233	九尾词条4			{5}	4			bossentries.boss2233
2234	九尾词条5			{5}	4			bossentries.boss2234
2235	苏菲词条1			{2,3,4,5}	4			bossentries.boss2235
2236	苏菲词条2			{3,4,5}	4			bossentries.boss2236
2237	苏菲词条3			{4,5}	4			bossentries.boss2237
2238	苏菲词条4			{5}	4			bossentries.boss2238
2239	苏菲词条5			{5}	4			bossentries.boss2239
								
								
1	【必出词条】首领最大生命提升7%	{8210001}		{6}				bossentries.pvp1
2	【必出词条】首领最大生命提升15%	{8210002}		{6}				bossentries.pvp2
3	【必出词条】首领最大生命提升25%	{8210003}		{6}				bossentries.pvp3
4	【必出词条】首领攻击力提升6%	{8210004}		{1,2}	1			bossentries.pvp4
5	【必出词条】首领攻击力提升12%	{8210005}		{3,4}	1			bossentries.pvp5
6	【必出词条】首领攻击力提升20%	{8210006}		{5}	1			bossentries.pvp6
7	【必出词条】通关限制：600秒			{6}		1	{600}	
8	【必出词条】通关限制：420秒			{6}		1	{420}	
9	【必出词条】通关限制：300秒			{5}		1	{300}	
10	【必出词条】没有角色撤退			{3,4,5}	1	2	{1}	bossentries.pvp10
11	【必出词条】角色攻击力降低6%	{8220001}		{1,2}	3			bossentries.pvp11
12	【必出词条】角色攻击力降低12%	{8220002}		{3,4}	3			bossentries.pvp12
13	【必出词条】角色攻击力降低20%	{8220003}		{5}	3			bossentries.pvp13
14	【必出词条】角色受到伤害增加12%	{8220005}		{4,5}	3			bossentries.pvp14
15	【难度2词条-1】敌人获得25%高热类型伤害抗性	{8210007}		{2,3,4,5}	2			bossentries.pvp15
16	【难度2词条-1】敌人获得25%低温类型伤害抗性	{8210008}		{2,3,4,5}	2			bossentries.pvp16
17	【难度2词条-1】敌人获得25%电击类型伤害抗性	{8210009}		{2,3,4,5}	2			bossentries.pvp17
18	【难度2词条-1】敌人获得25%特异类型伤害抗性	{8210010}		{2,3,4,5}	2			bossentries.pvp18
19	【难度2词条-1】敌人获得25%动能类型伤害抗性	{8210011}		{2,3,4,5}	2			bossentries.pvp19
20	【难度3词条-1】角色移动速度降低10%	{8220004}		{3,4,5}	3			bossentries.pvp20
21	【难度3词条-1】角色最大生命降低10%	{8220007}		{3,4,5}	3			bossentries.pvp21
22	【难度3词条-1】角色疾跑时，耐力消耗提升15%	{8220008}		{3,4,5}	3			bossentries.pvp22
23	【难度3词条-1】常规能量回复速度降低15%	{8220010}		{3,4,5}	3			bossentries.pvp23
24	【难度3词条-1】全队受治疗效果降低15%	{8220011}		{3,4,5}	3			bossentries.pvp24
25	【难度3词条-1】全队防御力降低12%	{8220012}		{3,4,5}	3			bossentries.pvp25
26	【难度7词条-1】角色造成的射击伤害降低10%	{8220006}		{4,5}	3			bossentries.pvp26
27	【难度7词条-1】角色造成的技能伤害降低10%	{8220009}		{4,5}	3			bossentries.pvp27
28	【难度7词条-1】全队换弹速度降低10%	{8220013}		{4,5}	3			bossentries.pvp28
29	【难度7词条-1】全队暴击率降低10%	{8220014}		{4,5}	3			bossentries.pvp29
30	【难度7词条-1】全队暴击伤害增幅降低20%	{8220015}		{4,5}	3			bossentries.pvp30
31	【难度7词条-1】全队瞄准射击伤害降低20%	{8220016}		{4,5}	3			bossentries.pvp31
32	【难度7词条-1】全队非瞄准射击伤害降低20%	{8220017}		{4,5}	3			bossentries.pvp32
33	【难度7词条-1】全队爆发能量获取率降低20%	{8220018}		{4,5}	3			bossentries.pvp33
34	【难度8词条-2】切换角色后，全队造成的伤害降低4%，持续15秒，最多叠加5层	{8220019}		{5}	3			bossentries.pvp34
35	【难度8词条-2】切换角色后，全队受到的伤害提升4%，持续15秒，最多叠加5层	{8220021}		{5}	3			bossentries.pvp35
36	【难度8词条-2】全队角色生命高于50%时，造成的伤害降低18%	{8220023}		{5}	3			bossentries.pvp36
37	【难度8词条-2】全队角色生命低于50%时，受到的伤害提升18%	{8220024}		{5}	3			bossentries.pvp37
38	【难度8词条-2】战术闪避后，技能伤害降低18%，持续5秒	{8220025}		{5}	3			bossentries.pvp38
39	【难度8词条-2】战术闪避后，射击伤害降低18%，持续5秒	{8220027}		{5}	3			bossentries.pvp39
40	【难度8词条-2】战术闪避后，受到的伤害提升15%，持续5秒	{8220029}		{5}	3			bossentries.pvp40
41	【必出词条】首领最大生命提升20%	{8210012}		{1,2}	1			bossentries.pvp41
42	【必出词条】首领最大生命提升35%	{8210013}		{3,4}	1			bossentries.pvp42
43	【必出词条】首领最大生命提升50%	{8210014}		{5}	1			bossentries.pvp43
44	首领受到伤害减少50%，每经过10秒，首领受到伤害提升20%，最多叠加5层	{8210015}		{5}	3			bossentries.pvp44
45	首领前30秒免疫控制	{8210017}		{5}	3			bossentries.pvp45
46	首领生命值高于50%时，受到的伤害降低50%同时每秒损失2%最大护盾或最大生命，优先扣除护盾	{8210018}		{5}	3			bossentries.pvp46
47	战斗开始后20秒内，首领受到超过自身50%最大生命的伤害后，获得80%的伤害减免，持续20秒	{8210024}		{5}	3			bossentries.pvp47
48	首领受到射击伤害时，如果是暴击伤害则降低30%受到伤害；如果是非暴击伤害，则提升20%受到伤害	{8210023}		{5}	3			bossentries.pvp48
49	【必出词条】首领最大护盾提升20%	{8210026}		{1,2}	1			bossentries.pvp49
