地图Id	总Npc数量	Npc数据
3040	13	{{5001110,1},{4001104,1},{4001108,3},{4001116,3},{4002103,2},{4002104,1},{4003103,2}}
3041	11	{{5001111,1},{5002110,1},{4001108,3},{4001116,5},{4003102,1}}
3042	12	{{5001110,1},{500110901,1},{4001103,2},{4001108,3},{4001116,5}}
3043	13	{{5001019,1},{4001002,1},{4001017,1},{4002004,6},{4002006,2},{4003003,2}}
3044	10	{{5001101,1},{5001110,1},{5002110,1},{4001103,2},{4001114,2},{4001116,3}}
3045	13	{{5001402,1},{5001403,1},{400130103,7},{400130403,3},{400150602,1}}
3046	12	{{5001402,1},{400150602,4},{400250602,7}}
3047	28	{{5001601,1},{400801301,9},{400901302,18}}
3048	14	{{5001214,1},{4001215,1},{400121102,5},{400121203,7}}
3049	10	{{500100902,2},{400150602,5},{400350602,3}}
3050	18	{{4001602,6},{4001605,2},{400101602,1},{400101603,1},{400160302,2},{400160401,2},{400901302,4}}
3051	13	{{4001215,13}}
3052	8	{{5001214,2},{4001212,6}}
3053	13	{{5001307,1},{4001301,6},{4001303,2},{4001304,4}}
3054	24	{{400130103,17},{400130403,7}}
3055	4	{{500100901,1},{4001404,3}}
4001	2	{{6001003,1},{500101002,1}}
4002	1	{{6001005,1}}
4003	1	{{6001206,1}}
4004	1	{{6002101,1}}
4005	1	{{6001004,1}}
4006	1	{{6001006,1}}
4007	3	{{6002102,1},{5001110,1},{5003110,1}}
4008	1	{{600120502,1}}
4009	1	{{6001301,1}}
5001	0	{}
5002	0	{}
5003	0	{}
6001	11	{{5001018,1},{5001019,1},{4002003,2},{4002004,6},{4002016,1}}
6002	11	{{5001010,1},{4001004,3},{4001008,3},{4001016,1},{4001017,1},{4002004,2}}
6051	8	{{5001214,2},{4001212,6}}
6052	13	{{5001307,1},{4001301,6},{4001303,2},{4001304,4}}
6053	24	{{400130103,17},{400130403,7}}
6054	4	{{500100901,1},{4001404,3}}
7001	113	{{6001003,1},{6001004,1},{6001005,1},{6001102,1},{6001206,1},{6002101,1},{600120502,1},{5001001,2},{5001009,2},{5001010,2},{5001018,2},{5001019,2},{5001101,2},{5001111,4},{5001113,2},{5001117,2},{5001118,1},{5002010,2},{5003110,1},{500110901,1},{500110902,1},{4001002,2},{4001005,4},{4001006,4},{4001015,2},{4001017,2},{4001104,6},{4001108,2},{4001112,6},{4001114,6},{4001116,6},{4003003,8},{4003004,8},{4003006,8},{4003007,8},{4003102,2},{4003103,2},{4003106,2},{400160202,2}}
7002	113	{{6001003,1},{6001004,1},{6001005,1},{6001102,1},{6001206,1},{6002101,1},{600120502,1},{5001001,2},{5001009,2},{5001010,2},{5001018,2},{5001019,2},{5001101,2},{5001111,4},{5001113,2},{5001117,2},{5001118,1},{5002010,2},{5003110,1},{500110901,1},{500110902,1},{4001002,2},{4001005,4},{4001006,4},{4001015,2},{4001017,2},{4001104,6},{4001108,2},{4001112,6},{4001114,6},{4001116,6},{4003003,8},{4003004,8},{4003006,8},{4003007,8},{4003102,2},{4003103,2},{4003106,2},{400160202,2}}
7051	0	{}
7052	0	{}
7053	0	{}
7054	0	{}
7055	0	{}
7070	1	{{4001003,1}}
