地图Id	总Npc数量	Npc数据
6051	20	{{5001311,2},{500130201,1},{500130701,3},{4001310,4},{400130101,7},{400130301,2},{400130601,1}}
6052	20	{{5001009,1},{5001010,1},{5001018,1},{5002010,1},{4001002,2},{4001003,1},{4001004,2},{4001005,1},{4001007,1},{4001008,3},{4001016,1},{4001017,1},{4002004,2},{4003003,1},{400100403,1}}
6053	20	{{5001110,1},{5001111,1},{5001113,1},{5002110,1},{5003110,1},{500110902,1},{4001102,1},{4001108,2},{4001112,2},{4001114,2},{4001116,4},{400110802,3}}
6054	20	{{5001203,1},{5001205,1},{5001207,1},{5001214,1},{4001211,1},{4001212,9},{4001213,1},{4001215,1},{400121102,4}}
7001	113	{{6001003,1},{6001004,1},{6001005,1},{6001102,1},{6001206,1},{6002101,1},{600120502,1},{5001001,2},{5001009,2},{5001010,2},{5001018,2},{5001019,2},{5001101,2},{5001111,4},{5001113,2},{5001117,2},{5001118,1},{5002010,2},{5003110,1},{500110901,1},{500110902,1},{4001002,2},{4001005,4},{4001006,4},{4001015,2},{4001017,2},{4001104,6},{4001108,2},{4001112,6},{4001114,6},{4001116,6},{4003003,8},{4003004,8},{4003006,8},{4003007,8},{4003102,2},{4003103,2},{4003106,2},{400160202,2}}
7002	65	{{5001001,2},{5001010,1},{5001018,1},{5001019,1},{4001002,2},{4001005,4},{4001006,4},{4001015,2},{4001017,2},{4002016,2},{4003003,12},{4003004,8},{4003006,10},{4003007,8},{400160202,6}}
7003	97	{{5001111,1},{5001113,1},{5001117,1},{5001118,1},{5003110,1},{4001104,12},{4001108,14},{4001112,12},{4001114,14},{4001116,24},{4003102,4},{4003103,10},{4003106,2}}
7004	65	{{5001001,2},{5001010,1},{5001018,1},{5001019,1},{4001002,2},{4001005,4},{4001006,4},{4001015,2},{4001017,2},{4002016,2},{4003003,12},{4003004,8},{4003006,10},{4003007,8},{400160202,6}}
7005	97	{{5001111,1},{5001113,1},{5001117,1},{5001118,1},{5003110,1},{4001104,12},{4001108,14},{4001112,12},{4001114,14},{4001116,24},{4003102,4},{4003103,10},{4003106,2}}
7006	59	{{5001302,1},{5001305,1},{5001307,1},{5001308,1},{5001311,1},{4001301,12},{4001303,12},{4001304,4},{4001306,14},{4001310,12}}
7007	55	{{5001601,1},{5001607,1},{5003010,1},{4001602,6},{4001604,6},{4001605,12},{4001606,3},{4002603,4},{4002604,2},{4002605,15},{4003002,2},{400101602,2}}
7008	46	{{5001204,1},{5001205,1},{5001206,1},{5001207,1},{5001208,1},{5001209,1},{4001211,12},{4001212,6},{4001213,6},{4001215,4},{4001216,12}}
7051	0	{}
7052	0	{}
7053	0	{}
7054	0	{}
7055	0	{}
7056	0	{}
7057	0	{}
