装备ID	装备名称	装备描述	装备类型（1.武器 2.防线）	装备解锁	装备实际关联武器ID	装备升级花销	装备升级获取内容（1.属性(属性ID，具体数值) 2.buff（buffID） 3.武器插槽（插槽给与数量））	升级获取描述	升级描述标红（0.黑 1.红）	装备图片	枪械备注						
1068	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,8500}	{1,3002}	armoredrider.ArmoredRiderWeaponUpgrade53	0	5274011							
1069	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,12000}	{2,29}	armoredrider.ArmoredRiderWeaponUpgrade54	1	5274011							
1070	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,19000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade55	0	5274011							
1071	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,28800}	{1,3010}	armoredrider.ArmoredRiderWeaponUpgrade56	0	5274011							
1072	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,43200}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade57	1	5274011							
1073	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,65000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade58	0	5274011							
1074	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,97000}	{1,3013}	armoredrider.ArmoredRiderWeaponUpgrade59	0	5274011							
1075	armoredrider.ArmoredRiderWeaponName04	armoredrider.ArmoredRiderWeaponDes04	1		1004	{64,146000}	{2,59}	armoredrider.ArmoredRiderWeaponUpgrade60	1	5274011							
1076	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1	1004	1007		{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade61	0	5274012	火箭弹						
1077	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,750}	{1,3004}	armoredrider.ArmoredRiderWeaponUpgrade62	0	5274012							
1078	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,1100}	{2,9}	armoredrider.ArmoredRiderWeaponUpgrade63	1	5274012							 
1079	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,1700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade64	0	5274012							
1080	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,2500}	{1,3010}	armoredrider.ArmoredRiderWeaponUpgrade65	0	5274012							
1081	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,3800}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade66	1	5274012							
1082	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,5700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade67	0	5274012							
1083	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,8500}	{1,3004}	armoredrider.ArmoredRiderWeaponUpgrade68	0	5274012							
1084	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,12000}	{2,26}	armoredrider.ArmoredRiderWeaponUpgrade69	1	5274012							
1085	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,19000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade70	0	5274012							
1086	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,28800}	{1,3010}	armoredrider.ArmoredRiderWeaponUpgrade71	0	5274012							
1087	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,43200}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade72	1	5274012							
1088	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,65000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade73	0	5274012							
1089	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,97000}	{1,3012}	armoredrider.ArmoredRiderWeaponUpgrade74	0	5274012							
1090	armoredrider.ArmoredRiderWeaponName05	armoredrider.ArmoredRiderWeaponDes05	1		1007	{64,146000}	{2,39}	armoredrider.ArmoredRiderWeaponUpgrade75	1	5274012							
1091	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1	1005	1008		{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade91	0	5274014	燃烧弹						
1092	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,750}	{1,3006}	armoredrider.ArmoredRiderWeaponUpgrade92	0	5274014							
1093	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,1100}	{2,18}	armoredrider.ArmoredRiderWeaponUpgrade93	1	5274014							
1094	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,1700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade94	0	5274014							
1095	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,2500}	{1,3006}	armoredrider.ArmoredRiderWeaponUpgrade95	0	5274014							
1096	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,3800}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade96	1	5274014							
1097	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,5700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade97	0	5274014							
1098	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,8500}	{1,3006}	armoredrider.ArmoredRiderWeaponUpgrade98	0	5274014							
1099	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,12000}	{2,35}	armoredrider.ArmoredRiderWeaponUpgrade99	1	5274014							
1100	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,19000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade100	0	5274014							
1101	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,28800}	{1,3006}	armoredrider.ArmoredRiderWeaponUpgrade101	0	5274014							
1102	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,43200}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade102	1	5274014							
1103	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,65000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade103	0	5274014							
1104	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,97000}	{1,3014}	armoredrider.ArmoredRiderWeaponUpgrade104	0	5274014							
1105	armoredrider.ArmoredRiderWeaponName07	armoredrider.ArmoredRiderWeaponDes07	1		1008	{64,146000}	{2,74}	armoredrider.ArmoredRiderWeaponUpgrade105	1	5274014							
1106	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1	1006	1006		{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade106	0	5274015	弩箭						
1107	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,750}	{1,3002}	armoredrider.ArmoredRiderWeaponUpgrade107	0	5274015							
1108	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,1100}	{2,11}	armoredrider.ArmoredRiderWeaponUpgrade108	1	5274015							
1109	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,1700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade109	0	5274015							
1110	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,2500}	{1,3011}	armoredrider.ArmoredRiderWeaponUpgrade110	0	5274015							
1111	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,3800}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade111	1	5274015							
1112	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,5700}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade112	0	5274015							
1113	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,8500}	{1,3002}	armoredrider.ArmoredRiderWeaponUpgrade113	0	5274015							
1114	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,12000}	{2,20}	armoredrider.ArmoredRiderWeaponUpgrade114	1	5274015							
1115	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,19000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade115	0	5274015							
1116	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,28800}	{1,3011}	armoredrider.ArmoredRiderWeaponUpgrade116	0	5274015							
1117	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,43200}	{3,1}	armoredrider.ArmoredRiderWeaponUpgrade117	1	5274015							
1118	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,65000}	{1,3001}	armoredrider.ArmoredRiderWeaponUpgrade118	0	5274015							
1119	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,97000}	{1,3009}	armoredrider.ArmoredRiderWeaponUpgrade119	0	5274015							
1120	armoredrider.ArmoredRiderWeaponName08	armoredrider.ArmoredRiderWeaponDes08	1		1006	{64,146000}	{2,53}	armoredrider.ArmoredRiderWeaponUpgrade120	1	5274015							
																	
																	
2001	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2	0	2001		{1,3101}	armoredrider.ArmoredRiderTowerUpgrade01	0	5272004	普通电塔						
2002	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,750}	{1,3102}	armoredrider.ArmoredRiderTowerUpgrade02	0	5272004							
2003	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,1100}	{1,3103}	armoredrider.ArmoredRiderTowerUpgrade03	0	5272004							
2004	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,1700}	{1,3101}	armoredrider.ArmoredRiderTowerUpgrade04	0	5272004							
2005	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,2500}	{1,3102}	armoredrider.ArmoredRiderTowerUpgrade05	0	5272004							
2006	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,3800}	{1,3103}	armoredrider.ArmoredRiderTowerUpgrade06	0	5272004							
2007	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,5700}	{1,3101}	armoredrider.ArmoredRiderTowerUpgrade07	0	5272004							
2008	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,8500}	{1,3102}	armoredrider.ArmoredRiderTowerUpgrade08	0	5272004							
2009	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,12000}	{1,3103}	armoredrider.ArmoredRiderTowerUpgrade09	0	5272004							
2010	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,19000}	{1,3101}	armoredrider.ArmoredRiderTowerUpgrade10	0	5272004							
2011	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,28800}	{1,3102}	armoredrider.ArmoredRiderTowerUpgrade11	0	5272004							
2012	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,43200}	{1,3103}	armoredrider.ArmoredRiderTowerUpgrade12	0	5272004							
2013	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,65000}	{1,3101}	armoredrider.ArmoredRiderTowerUpgrade13	0	5272004							
2014	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,97000}	{1,3102}	armoredrider.ArmoredRiderTowerUpgrade14	0	5272004							
2015	armoredrider.ArmoredRiderDefenceName01	armoredrider.ArmoredRiderDefenceDes01	2		2001	{64,146000}	{1,3103}	armoredrider.ArmoredRiderTowerUpgrade15	0	5272004							
2016	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2	1002	2002		{1,3110}	armoredrider.ArmoredRiderTowerUpgrade46	0	5272005	火焰电塔						
2017	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,750}	{1,3111}	armoredrider.ArmoredRiderTowerUpgrade47	0	5272005							
2018	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,1100}	{1,3112}	armoredrider.ArmoredRiderTowerUpgrade48	0	5272005							
2019	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,1700}	{1,3113}	armoredrider.ArmoredRiderTowerUpgrade49	0	5272005							
2020	armoredrider.ArmoredRiderDefenceName02	armoredrider.ArmoredRiderDefenceDes02	2		2002	{64,2500}	{1,3114}	armoredrider.ArmoredRiderTowerUpgrade50	0	5272005							
