活动Id	累签天数	重点标记	颜色	奖励	提示信息	额外参数	额外参数
164	4			{{5,21,1,5,1}}			
164	5			{{5,21,1,5,1}}			
164	6			{{5,21,1,5,1}}			
164	7	2		{{5,21,1,5,3}}		1602428	
171	1			{{5,21,1,5,1}}			
171	2			{{5,21,1,5,1}}			
171	3	1		{{5,21,1,5,2}}			
171	4			{{5,21,1,5,1}}			
171	5			{{5,21,1,5,1}}			
171	6			{{5,21,1,5,1}}			
171	7	2		{{5,21,1,5,3}}		1602484	
172	1			{{5,21,2,5,1}}			
172	2			{{5,21,2,5,1}}			
172	3	1		{{5,21,2,5,2}}			
172	4			{{5,21,2,5,1}}			
172	5			{{5,21,2,5,1}}			
172	6			{{5,21,2,5,1}}			
172	7	2		{{5,21,2,5,3}}		1602487	
189	1			{{5,21,1,5,1}}			
189	2			{{5,21,1,5,1}}			
189	3	1		{{5,21,1,5,2}}			
189	4			{{5,21,1,5,1}}			
189	5			{{5,21,1,5,1}}			
189	6			{{5,21,1,5,1}}			
189	7	2		{{5,21,1,5,3}}		1602531	
203	1			{{5,21,1,5,1}}			
203	2			{{5,21,1,5,1}}			
203	3	1		{{5,21,1,5,2}}			
203	4			{{5,21,1,5,1}}			
203	5			{{5,21,1,5,1}}			
203	6			{{5,21,1,5,1}}			
203	7	2		{{5,21,1,5,3}}		1602572	
233	1	2		{{7,8,1,5,1}}			
233	2	1		{{5,21,1,5,2}}			
233	3	1		{{5,21,1,5,2}}			
233	4			{{5,21,1,5,1}}			
233	5			{{5,21,1,5,1}}			
233	6			{{5,21,1,5,1}}			
233	7	2		{{5,21,1,5,3}}		1602616	
234	1			{{5,21,2,5,1}}			
234	2			{{5,21,2,5,1}}			
234	3	1		{{5,21,2,5,2}}			
234	4			{{5,21,2,5,1}}			
234	5			{{5,21,2,5,1}}			
234	6			{{5,21,2,5,1}}			
234	7	2		{{5,21,2,5,3}}		1602618	
252	1			{{5,21,1,5,1}}			
252	2			{{5,21,1,5,1}}			
252	3	1		{{5,21,1,5,2}}			
252	4			{{5,21,1,5,1}}			
252	5			{{5,21,1,5,1}}			
252	6			{{5,21,1,5,1}}			
252	7	2		{{5,21,1,5,3}}		1602664	
282	1			{{5,21,1,5,1}}			
282	2			{{5,21,1,5,1}}			
282	3	1		{{5,21,1,5,2}}			
282	4			{{5,21,1,5,1}}			
282	5			{{5,21,1,5,1}}			
282	6			{{5,21,1,5,1}}			
282	7	2		{{5,21,1,5,3}}		1602717	
289	1			{{5,21,1,5,1}}			
289	2			{{5,21,1,5,1}}			
289	3	1		{{5,21,1,5,2}}			
289	4			{{5,21,1,5,1}}			
289	5			{{5,21,1,5,1}}			
289	6			{{5,21,1,5,1}}			
289	7	2		{{5,21,1,5,3}}		1602768	
328	1	2		{{7,4,1,6,1}}			
328	2	1		{{5,21,1,5,2}}			
328	3	1		{{5,21,1,5,2}}			
328	4			{{5,21,1,5,1}}			
328	5			{{5,21,1,5,1}}			
328	6			{{5,21,1,5,1}}			
328	7	2		{{5,21,1,5,3}}		1602804	
329	1			{{5,21,2,5,1}}			
329	2			{{5,21,2,5,1}}			
329	3	1		{{5,21,2,5,2}}			
329	4			{{5,21,2,5,1}}			
329	5			{{5,21,2,5,1}}			
329	6			{{5,21,2,5,1}}			
329	7	2		{{5,21,2,5,3}}		1602807	
350	1			{{5,21,1,5,1}}			
350	2			{{5,21,1,5,1}}			
350	3	1		{{5,21,1,5,2}}			
350	4			{{5,21,1,5,1}}			
350	5			{{5,21,1,5,1}}			
350	6			{{5,21,1,5,1}}			
350	7	2		{{5,21,1,5,3}}		1602839	
383	1			{{4,5,13,1,1}}			1
383	2			{{4,5,13,2,1}}			1
383	3			{{5,21,1,4,10}}			
383	4			{{5,21,1,4,10}}			
383	5			{{5,21,1,4,10}}			
383	6			{{5,21,1,4,10}}			
383	7			{{7,10,1,2,1}}			1
384	1	2		{{7,1,1,2,1}}			
384	2	1		{{5,21,1,5,2}}			
384	3	1		{{5,21,1,5,2}}			
384	4			{{5,21,1,5,1}}			
384	5			{{5,21,1,5,1}}			
384	6			{{5,21,1,5,1}}			
384	7	2		{{5,21,1,5,3}}		1602878	
385	1			{{5,21,2,5,1}}			
385	2			{{5,21,2,5,1}}			
385	3	1		{{5,21,2,5,2}}			
385	4			{{5,21,2,5,1}}			
385	5			{{5,21,2,5,1}}			
385	6			{{5,21,2,5,1}}			
385	7	2		{{5,21,2,5,3}}		1602881	
392	1			{{5,21,1,5,1}}			
392	2			{{5,21,1,5,1}}			
392	3	1		{{5,21,1,5,2}}			
392	4			{{5,21,1,5,1}}			
392	5			{{5,21,1,5,1}}			
392	6			{{5,21,1,5,1}}			
392	7	2		{{5,21,1,5,3}}		1602950	
406	1			{{5,21,1,5,1}}			
406	2			{{5,21,1,5,1}}			
406	3	1		{{5,21,1,5,2}}			
406	4			{{5,21,1,5,1}}			
406	5			{{5,21,1,5,1}}			
406	6			{{5,21,1,5,1}}			
406	7	2		{{5,21,1,5,3}}		1603072	
558	1	2		{{7,10,1,4,1}}			
558	2	1		{{5,21,1,5,2}}			
558	3	1		{{5,21,1,5,2}}			
558	4			{{5,21,1,5,1}}			
558	5			{{5,21,1,5,1}}			
558	6			{{5,21,1,5,1}}			
558	7	2		{{5,21,1,5,3}}		1603144	
559	1			{{5,21,2,5,1}}			
559	2			{{5,21,2,5,1}}			
559	3	1		{{5,21,2,5,2}}			
559	4			{{5,21,2,5,1}}			
559	5			{{5,21,2,5,1}}			
559	6			{{5,21,2,5,1}}			
559	7	2		{{5,21,2,5,3}}		1603143	
603	1			{{5,21,1,5,1}}			
603	2			{{5,21,1,5,1}}			
603	3	1		{{5,21,1,5,2}}			
603	4			{{5,21,1,5,1}}			
603	5			{{5,21,1,5,1}}			
603	6			{{5,21,1,5,1}}			
603	7	2		{{5,21,1,5,3}}		1603190	
618	1	2		{{4,14,1,1,1}}			
618	2			{{5,21,1,5,1}}			
618	3	2		{{7,12,1,4,1}}			
618	4			{{5,21,1,5,1}}			
618	5	1		{{5,21,1,5,2}}			
618	6	2		{{5,21,1,5,2}}			
618	7	2		{{5,21,1,5,4}}		1603246	
