ID	备注	类型	地图资产路劲	玩法	LuaClass	Loading图	背景音乐	背景环境音	加载额外参数
31	剧情测试场景	0	/Game/Maps/cartoon/Cartoon	BP_CartoonGameMode			BGM|UI|Dorm		
33	掩体测试	0	Level00/Bunker_testing	BP_GameBaseMode			BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01		
34	材质测试	0	Level00/MaterialsTestMap	BP_GameBaseMode					
35	大世界02-Dlc3	0	DLC3Level/DLC3_OpenWorld	BP_DarkZoneGameMode			BGM|Fight|Openworld|DLC03,Battle|Off	Amb_2D|DLC3	
36	大肉鸽-悖论迷宫		DLC5Level/DLC5_Rogue3D	BP_GameBaseMode			BGM|Fight|Tower|Tower05		
37	大肉鸽-悖论迷宫2		DLC5Level/DLC5_Rogue3DReal	BP_GameBaseMode					
38	异绪消解		GirlRush/GirlRushMain	BP_GirlRushGameMode					
40	臀摇测试用	0	AssShakeLevel/Level_AssShakeMap	BP_GameBaseMode			BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01		
41	栈道测试		/Game/Blueprints/LevelTask/Level/Level14/Level14_06	BP_GameBaseMode			BGM|Fight|Tower|Tower05		
42	GirlRush性能测试场景	0	GirlRush/Level_GirlRush_Test	BP_GameBaseMode			BGM|Fight|Chapter|Chapter01,Level|Level00,Stage|Stage01		
43	2.8祖玛无限电梯测试场景	0	InfinityStream_Test/InfinityStream	BP_InfinityStreamGameMode					
44	2.8传送门性能测试	0	PortalLevel/PortalLevel_Test	BP_GameBaseMode					
45	3.0轻量化战斗测试	0	Level00/ComplexFightTest	BP_GameBaseMode					
									
47	ProceduralMesh测试		ProceduralMesh/ProceduralMesh						
48	对照测试		ProceduralMesh/NormalLevel						
49	3.4七日排队神秘玩法		Subway/SubwayLevel						
50	DLC35的神秘主线测试		/Game/Blueprints/LevelTask/Level/Level16/Level16_25	BP_GameBaseMode	FightMap		BGM|Fight|Activity|DLC07,DLC|Fight01,Battle|Off		
51	装甲战骑测试		/Game/Blueprints/LevelTask/Level/ArmoredRider/ArmoredRider_Leveldemo	BP_ArmoredRiderMode					
									
101	multi01	0	MultiLevel/Multi_01	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter02,Level|Level01,Stage|Stage01,Battle|Off		
102	multi02	0	MultiLevel/Multi_02	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off		
103	multi03	0	MultiLevel/Multi_03	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off		
104	multi04	0	MultiLevel/Multi_04	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off		
105	bug测试	0	MultiLevel/02test	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off		
106	技能效果测试（联机）	0	MultiLevel/Online_Test	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter02,Level|Level01,Stage|Stage01,Battle|Off		
110	multi110（联机）	0	MultiLevel/Multi_110	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter02,Level|Level01,Stage|Stage01,Battle|Off		
111	multi111（联机）	0	MultiLevel/Multi_111	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter02,Level|Level02,Stage|Stage01,Battle|Off		
120	multi120（联机）	0	MultiLevel/Multi_120	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off		
121	multi121（联机）	0	MultiLevel/Multi_121	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off		
122	multi122（联机）	0	MultiLevel/Multi_122	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter03,Level|Level01,Stage|Stage01,Battle|Off		
130	multi130（联机）	0	MultiLevel/Multi_130	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter08,Level|Level01,Stage|Stage01,Battle|Off		
131	multi131（联机）	0	MultiLevel/Multi_131	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter08,Level|Level01,Stage|Stage01,Battle|Off		
132	multi132（联机）	0	MultiLevel/Multi_132	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter08,Level|Level01,Stage|Stage01,Battle|Off		
133	multi133（联机）	0	MultiLevel/Multi_133	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter08,Level|Level01,Stage|Stage01,Battle|Off		
140	multi140（联机）	0	MultiLevel/Multi_140	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level01,Stage|Stage01,Battle|Off		
141	multi141（联机）	0	MultiLevel/Multi_141	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level02,Stage|Stage01,Battle|Off		
142	multi142（联机）	0	MultiLevel/Multi_142	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level03,Stage|Stage01,Battle|Off		
143	multi143（联机）	0	MultiLevel/Multi_143	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level05,Stage|Stage01,Battle|Off		
144	multi144（联机）	0	MultiLevel/Multi_144	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level06,Stage|Stage01,Battle|Off		
150	multi150（联机）	0	MultiLevel/Multi_150	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level03,Stage|Stage01,Battle|Off		
151	multi151（联机）	0	MultiLevel/Multi_151	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level03,Stage|Stage01,Battle|Off		
152	multi152（联机）	0	MultiLevel/Multi_152	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level03,Stage|Stage01,Battle|Off		
153	multi153（联机）	0	MultiLevel/Multi_153	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level03,Stage|Stage01,Battle|Off		
160	multi160（联机）	0	MultiLevel/Multi_160	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level09,Stage|Stage01,Battle|Off		
161	multi161（联机）	0	MultiLevel/Multi_161	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level10,Stage|Stage01,Battle|Off		
162	multi162（联机）	0	MultiLevel/Multi_162	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
170	multi170（联机）	0	MultiLevel/Multi_170	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
171	multi171（联机）	0	MultiLevel/Multi_171	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
180	永续连战180	0	MultiLevel/Multi_180	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
181	永续连战181	0	MultiLevel/Multi_181	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
182	DLC4永续连战182	0	MultiLevel/Multi_182	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
183	DLC4永续连战183	0	MultiLevel/Multi_183	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
184	DLC5永续连战184	0	MultiLevel/Multi_184	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
185	DLC5永续连战185	0	MultiLevel/Multi_185	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
186	DLC7永续连战186	0	MultiLevel/Multi_180	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
187	DLC7永续连战187	0	MultiLevel/Multi_181	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
189	永续连战测试189	0	MultiLevel/Multi_180Test	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9901	DLC9永续连战	0	MultiLevel/Multi_9901	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off		
9902	DLC9永续连战	0	MultiLevel/Multi_9902	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off		
9903	DLC11永续连战	0	MultiLevel/Multi_186	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC10,DLC|Fight01,Battle|Off		
9904	DLC11永续连战	0	MultiLevel/Multi_187	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC10,DLC|Fight02,Battle|Off		
9905	DLC26永续连战	0	MultiLevel/Multi_9905	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC06,DLC|Fight02,Battle|Off		
9906	DLC26永续连战	0	MultiLevel/Multi_9906	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC10,DLC|Fight03,Battle|Off		
9907	DLC28永续连战	0	MultiLevel/Multi_9907	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC15,DLC|Fight01,Battle|Off		
9908	DLC28永续连战	0	MultiLevel/Multi_9908	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC15,DLC|Fight02,Battle|Off		
9909	DLC28永续连战	0	MultiLevel/Multi_9909	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC31,DLC|Fight03,Stage|Stage01		
9910	DLC28永续连战	0	MultiLevel/Multi_9910	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC31,DLC|Fight03,Stage|Stage01		
									
9911	DLC33联合清剿	0	MultiLevel/Multi_9911	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC13,DLC|Fight03,Stage|Stage01		
9912	DLC33联合清剿	0	MultiLevel/Multi_9912	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC28,DLC|Fight01,Stage|Stage01		
9913	DLC36联合清剿	0	MultiLevel/Multi_9913	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC13,DLC|Fight01,Stage|Stage01		
9914	DLC36联合清剿	0	MultiLevel/Multi_9914	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC06,DLC|Fight01,Battle|Off		
									
9800	DLC9联机噩梦-深水区	0	MultiLevel/NightMare_01/9800/Multi_N_9801	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter01,Level|Level01,Stage|Stage01,Battle|Off		
9810	DLC9联机噩梦-空岛	0	MultiLevel/NightMare_01/9810/Multi_N_9810	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC09,DLC|Fight03,Battle|Off		
9820	DLC9联机噩梦-零区	0	MultiLevel/NightMare_01/9820/Multi_N_9820	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level03,Stage|Stage01,Battle|Off		
9830	DLC9联机噩梦-雪地	0	MultiLevel/NightMare_01/9830/Multi_N_9830	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC04,DLC|Fight01,Battle|Off		
9840	DLC9联机噩梦-污染区	0	MultiLevel/NightMare_01/9840/Multi_N_9840	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC02,DLC|Fight01,Battle|Off		
9850	DLC9联机噩梦-商场	0	MultiLevel/NightMare_01/9850/Multi_N_9850	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC08,DLC|Fight02,Battle|Off		
									
9860	DLC2.2--联机噩梦2期-推车1	0	MultiLevel/NightMare_01/9851/Multi_N_9851	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC04,DLC|Fight01,Battle|Off		
9861	DLC2.2--联机噩梦2期-推车2	0	MultiLevel/NightMare_01/9851/Multi_N_9852	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight03,Stage|Stage01		
9870	DLC2.2--联机噩梦2期-死斗1	0	MultiLevel/NightMare_01/9851/Multi_N_9855	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off		
9871	DLC2.2--联机噩梦2期-死斗2	0	MultiLevel/NightMare_01/9851/Multi_N_9856	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight03,Stage|Stage01		
9880	DLC2.2--联机噩梦2期-拯救人质1	0	MultiLevel/NightMare_01/9851/Multi_N_9861	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC07,DLC|Fight01,Battle|Off		
9881	DLC2.2--联机噩梦2期-拯救人质2	0	MultiLevel/NightMare_01/9851/Multi_N_9862	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC05,DLC|Fight01,Battle|Off		
9890	DLC2.2--联机噩梦2期-双BOSS1	0	MultiLevel/NightMare_01/9851/Multi_N_9865	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC05,DLC|BOSS01,Stage|Stage01		
9891	DLC2.2--联机噩梦2期-双BOSS2	0	MultiLevel/NightMare_01/9851/Multi_N_9866	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|BOSS01,Stage|Stage01		
9894	DLC2.2--联机噩梦2期-波次战斗1	0	MultiLevel/NightMare_01/9851/Multi_N_9871	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC04,DLC|Fight02,Battle|Off		
9895	DLC2.2--联机噩梦2期-波次战斗2	0	MultiLevel/NightMare_01/9851/Multi_N_9872	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter01,Level|Level02,Stage|Stage01,Battle|Off		
									
									
									
190	BOSS测试关卡	0	MultiLevel/Multi_999	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter02,Level|Level01,Stage|Stage01		
191	性能测试关卡	0	MultiLevel/Multi_998	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter02,Level|Level01,Stage|Stage01		
192	怪潮测试地图	0	MultiLevel/Multi_Herd_01	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter02,Level|Level01,Stage|Stage01		
									
9000	multi9000（联机）	0	MultiLevel/Multi_9000	BP_GameBaseMode	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9004	multi9005（联机）	0	MultiLevel/Multi_9004	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9010	multi9010（热浪激战2期-单机）	0	MultiLevel/Multi_9010	BP_GameBaseMode	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9014	multi9011（热浪激战2期-联机）	0	MultiLevel/Multi_9011	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9020	multi9020（热浪激战3期-单机）	0	MultiLevel/Multi_9020	BP_GameBaseMode	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9024	multi9024（热浪激战3期-联机）	0	MultiLevel/Multi_9024	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9030	multi9030（热浪激战3期-单机）	0	MultiLevel/Multi_9030	BP_GameBaseMode	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9034	multi9034（热浪激战3期-联机）	0	MultiLevel/Multi_9034	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9040	multi9040（热浪激战5期-单机）	0	MultiLevel/Multi_9040	BP_GameBaseMode	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9044	multi9044（热浪激战5期-联机）	0	MultiLevel/Multi_9044	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9050	multi9050（热浪激战6期-单机）	0	MultiLevel/Multi_9050	BP_GameBaseMode	MultiMap		BGM|Fight|Activity|DLC08,DLC|BOSS01,Stage|Stage01		
9054	multi9054（热浪激战6期-联机）	0	MultiLevel/Multi_9054	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC08,DLC|BOSS01,Stage|Stage01		
9060	multi9060（热浪激战7期-单机）	0	MultiLevel/Multi_9060	BP_GameBaseMode	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9064	multi9064（热浪激战7期-联机）	0	MultiLevel/Multi_9064	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
									
9100	multi9100（联机塔防-掉落物测试）	0	MultiLevel/Multi_9100	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9101	multi9100（联机塔防）	0	MultiLevel/Multi_9101	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9102	multi9100（联机塔防）	0	MultiLevel/Multi_9102	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter09,Level|Level11,Stage|Stage01,Battle|Off		
9105	multi9100（联机塔防-DLC8）	0	MultiLevel/Multi_9105	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level03,Stage|Stage01,Battle|Off		
9106	multi9100（联机塔防-DLC8）	0	MultiLevel/Multi_9106	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter07,Level|Level04,Stage|Stage01,Battle|Off		
9107	multi9100（联机塔防-DLC10）	0	MultiLevel/Multi_9107	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC10,DLC|Fight03,Battle|Off		
9108	multi9100（联机塔防-DLC10困难）	0	MultiLevel/Multi_9108	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC10,DLC|Fight03,Battle|Off		
9109	multi9100（联机塔防-DLC 2.3）	0	MultiLevel/Multi_9109	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight04,Stage|Stage01		
9110	multi9100（联机塔防-DLC 2.3困难）	0	MultiLevel/Multi_9110	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC12,DLC|Fight04,Stage|Stage01		
9111	multi9100（联机塔防-DLC 2.5）	0	MultiLevel/Multi_9111	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter05,Level|Level12,Stage|Stage01,Battle|Off		
9112	multi9100（联机塔防-DLC 2.5困难）	0	MultiLevel/Multi_9112	BP_GameOnline	MultiMap		BGM|Fight|Chapter|Chapter05,Level|Level12,Stage|Stage01,Battle|Off		
9113	multi9100（联机塔防-DLC 2.7）	0	MultiLevel/Multi_9113	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC09,DLC|Fight02,Battle|Off		
9114	multi9100（联机塔防-DLC 2.7困难）	0	MultiLevel/Multi_9114	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC09,DLC|Fight02,Battle|Off		
9115	multi9100（联机塔防-DLC 3.1）	0	MultiLevel/Multi_9115	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC09,DLC|Fight02,Battle|Off		
9116	multi9100（联机塔防-DLC 3.1困难）	0	MultiLevel/Multi_9116	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC09,DLC|Fight02,Battle|Off		
9117	multi9100（联机塔防-DLC 3.4）	0	MultiLevel/Multi_9117	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC32,DLC|Fight05,Stage|Stage01		
9119	multi9100（联机塔防-DLC 3.4）	0	MultiLevel/Multi_9113	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC09,DLC|Fight02,Battle|Off		
9118	multi9100（联机塔防-DLC 3.4困难）	0	MultiLevel/Multi_9118	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC09,DLC|Fight02,Battle|Off		
9120	multi9100（联机塔防-DLC 3.4困难）	0	MultiLevel/Multi_9114	BP_GameOnline	MultiMap		BGM|Fight|Activity|DLC09,DLC|Fight02,Battle|Off		
									
210	Daily金币	0	DailyLevel/Dlevel01_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily01		
220	Daily角色经验	0	DailyLevel/Dlevel02_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily02		
230	Daily武器经验	0	DailyLevel/Dlevel03_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily03		
240	Daily后勤突破（拾荒者）	0	DailyLevel/Dlevel04_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily04		
250	Daily后勤突破（降临团）	0	DailyLevel/Dlevel05_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily05		
260	Daily后勤突破（泰坦）	0	DailyLevel/Dlevel06_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily06		
270	Daily武器突破（近程）	0	DailyLevel/Dlevel07_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily07		
280	Daily武器突破（中程）	0	DailyLevel/Dlevel08_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily08		
290	Daily武器突破（远程）	0	DailyLevel/Dlevel09_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily09		
291	新后勤本	0	DailyLevel/Dlevel10_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily09		
292	新后勤本	0	DailyLevel/Dlevel11_01	BP_GameBaseMode	FightMap		BGM|Fight|Daily|Daily09		
									
301	tower01层	0	TowerLevel/Tower01/Dungeon_TLevel01	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower01		
302	tower02层	0	TowerLevel/Tower02/Dungeon_TLevel02	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower02		
303	tower03层	0	TowerLevel/Tower03/Dungeon_TLevel03	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower03		
304	tower04层	0	TowerLevel/Tower04/Dungeon_TLevel04	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower04		
305	！底下清理因为有追加，所以编号有乱序！tower05层a面	0	TowerLevel/Tower05/Dungeon_TLevel05a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower05		
306	tower05层b面	0	TowerLevel/Tower05/Dungeon_TLevel05b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower05		
307	tower06层a面	0	TowerLevel/Tower06/Dungeon_TLevel06a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower06		
308	tower06层b面	0	TowerLevel/Tower06/Dungeon_TLevel06b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower06		
309	tower07层a面	0	TowerLevel/Tower07/Dungeon_TLevel07a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower07		
310	tower07层b面	0	TowerLevel/Tower07/Dungeon_TLevel07b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower07		
311	tower08层a面	0	TowerLevel/Tower08/Dungeon_TLevel08a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower08		
312	tower08层b面	0	TowerLevel/Tower08/Dungeon_TLevel08b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower08		
313	tower09层a面	0	TowerLevel/Tower09/Dungeon_TLevel09a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower09		
314	tower09层b面	0	TowerLevel/Tower09/Dungeon_TLevel09b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower09		
315	tower10层a面	0	TowerLevel/Tower10/Dungeon_TLevel10a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower10		
316	tower10层b面	0	TowerLevel/Tower10/Dungeon_TLevel10b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower10		
317	tower11层a面	0	TowerLevel/Tower11/Dungeon_TLevel11a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower11		
318	tower11层b面	0	TowerLevel/Tower11/Dungeon_TLevel11b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower11		
319	tower12层a面	0	TowerLevel/Tower12/Dungeon_TLevel12a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower12		
320	tower12层b面	0	TowerLevel/Tower12/Dungeon_TLevel12b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower12		
321	tower13层a面	0	TowerLevel/Tower13/Dungeon_TLevel13a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower13		
322	tower13层b面	0	TowerLevel/Tower13/Dungeon_TLevel13b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower13		
323	tower14层a面	0	TowerLevel/Tower14/Dungeon_TLevel14a	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower14		
324	tower14层b面	0	TowerLevel/Tower14/Dungeon_TLevel14b	BP_TowerDungeonGameMode	TowerMap		BGM|Fight|Tower|Tower14		
325	新星开拓4期新海岛	0	PalLevel/Wilds02/OpenWorld/PalWild_02	BP_PalGameMode	FightMap		BGM|Fight|Activity|DLC03,DLC|Fight02,Battle|Off	Amb_2D|DLC3	
326	新星开拓建造模式1期	0	PalLevel/building/newstar_building01	BP_PalGameBuildMode	FightMap		BGM|UI|DLC09_Rich_Stage02	Amb_2D|DLC3	
