问卷ID	优先级(越大越优先)	互斥ID(同ID不可多次回答,100001为回归问卷)	问卷链接	调查表编号	密钥	回调地址	解锁条件(例{{1,1}})（1账号等级 2前置关卡 3获得某个道具 4日常本是否通关 5联机通关次数 8登陆天数大于 17登陆天数小于）	开始时间	结束时间	奖励道具列表	邮件标题	邮件内容	邮件发送人	邮件保存时间	大区限制	渠道限制	语言限制目前可填：{zh_CN,....}，不填则无限制
2010	4	2007	https://zh.surveymonkey.com/r/JBNBJZ6?ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202304111000]	[202304242300]	{{5,21,1,4,5}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30			{"zh_TW"}
2011	3	2011	https://zh.surveymonkey.com/r/J6M6D2H?lang=en&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,3}}	[202304111000]	[202304242300]	{{5,21,2,4,5},{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30			{"en_US"}
2012	3	2011	https://zh.surveymonkey.com/r/J6M6D2H?lang=ja&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,3}}	[202304111000]	[202304242300]	{{5,21,2,4,5},{5,21,1,4,5}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30			{"ja_JP"}
2013	3	2011	https://zh.surveymonkey.com/r/J6M6D2H?lang=ko&ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,3}}	[202304111000]	[202304242300]	{{5,21,2,4,5},{5,21,1,4,5}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30			{"ko_KR"}
2014	3	2011	https://zh.surveymonkey.com/r/J6M6D2H?ext=[ext_value]			https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,3}}	[202304111000]	[202304242300]	{{5,21,2,4,5},{5,21,1,4,5}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30			{"zh_TW"}
1004	5	1004	https://www.diaochapai.com/survey3810711			https://www.cbjq.com/show-7126-2-1.html	{{2,10101}}	[202304201000]	[202305102300]	{{5,21,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30			
11	5	11	https://www.diaochapai.com/survey/c4458493-4bf5-4c0b-9588-5bb49c18a3f1	c4458493-4bf5-4c0b-9588-5bb49c18a3f1	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,50155}}	[202304201000]	[202306022300]	{{5,21,1,4,1},{4,2,1,2,2}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,110,130}		
12	4	12	https://www.diaochapai.com/survey/6f82d29e-4d61-4945-b0d4-59207545283e	6f82d29e-4d61-4945-b0d4-59207545283e	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10208}}	[202304201000]	[202306022300]	{{5,21,2,4,1},{4,2,1,2,2}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,110,130}		
13	3	13	https://www.diaochapai.com/survey/270d3829-d7a9-400e-af49-3eea3d40c50d	270d3829-d7a9-400e-af49-3eea3d40c50d	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10412},{8,2}}	[202304201000]	[202306022300]	{{5,21,1,4,1},{4,2,1,2,4}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,110,130}		
14	2	14	https://www.diaochapai.com/survey/fd211159-0979-4c25-9370-f45ea9b99c5e	fd211159-0979-4c25-9370-f45ea9b99c5e	f5d250edf89bb2f68b871d509997c3a6	https://www.cbjq.com/show-7126-2-1.html	{{2,10612},{8,4}}	[202304201000]	[202306022300]	{{5,21,1,4,1},{4,2,1,2,4}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{1,3,4,5,6,10,110,130}		
																	
2015	9	2015	http://www.surveypie.com/survey/f92a5ad4-0577-4905-8b1a-3c1e86b8d1f4	f92a5ad4-0577-4905-8b1a-3c1e86b8d1f4	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"en_US"}
2016	9	2015	http://www.surveypie.com/survey/e58ca050-a50a-49fa-ba5f-795d7222bbaf	e58ca050-a50a-49fa-ba5f-795d7222bbaf	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"ja_JP"}
2017	9	2015	http://www.surveypie.com/survey/989bce31-52dc-4539-a313-f59a7e469de2	989bce31-52dc-4539-a313-f59a7e469de2	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"ko_KR"}
2018	9	2015	http://www.surveypie.com/survey/ddb1cec3-9b4e-4bc2-92ec-557a15c59217	ddb1cec3-9b4e-4bc2-92ec-557a15c59217	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"zh_TW"}
2019	9	2015	http://www.surveypie.com/survey/c6aff374-8247-4a92-8b4d-90d77a3662a0	c6aff374-8247-4a92-8b4d-90d77a3662a0	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"zh_CN"}
2020	9	2015	http://www.surveypie.com/survey/e651ab04-d897-445b-a2fd-1132230b3cdc	e651ab04-d897-445b-a2fd-1132230b3cdc	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"th_TH"}
2021	9	2015	http://www.surveypie.com/survey/85c87fbc-c46d-4900-8e37-55ccfeac5750	85c87fbc-c46d-4900-8e37-55ccfeac5750	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"id_ID"}
2022	9	2015	http://www.surveypie.com/survey/d67d6fea-e2c4-49f8-b513-dbd71f92e7c8	d67d6fea-e2c4-49f8-b513-dbd71f92e7c8	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"de_DE"}
2023	9	2015	http://www.surveypie.com/survey/a6e2f84e-e067-4109-a7fc-c008fbfa93cc	a6e2f84e-e067-4109-a7fc-c008fbfa93cc	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"fr_FR"}
2024	9	2015	http://www.surveypie.com/survey/7632c9cb-6f3b-4b9d-befd-3710754d8eb0	7632c9cb-6f3b-4b9d-befd-3710754d8eb0	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10109}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"es_ES"}
																	
																	
2025	8	2025	http://www.surveypie.com/survey/b34d677e-e9d1-419c-9ec6-62bcda1d1045	b34d677e-e9d1-419c-9ec6-62bcda1d1045	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"en_US"}
2026	8	2025	http://www.surveypie.com/survey/7f2a293b-2fef-43b8-bd78-2d220ed0cf58	7f2a293b-2fef-43b8-bd78-2d220ed0cf58	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"ja_JP"}
2027	8	2025	http://www.surveypie.com/survey/679461e5-aba5-4304-b9f9-05d89802b962	679461e5-aba5-4304-b9f9-05d89802b962	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"ko_KR"}
2028	8	2025	http://www.surveypie.com/survey/9877dbde-42ef-49b2-8914-5b2b861eab51	9877dbde-42ef-49b2-8914-5b2b861eab51	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"zh_TW"}
2029	8	2025	http://www.surveypie.com/survey/b1468c7a-c552-4810-a704-42478cc28c00	b1468c7a-c552-4810-a704-42478cc28c00	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"zh_CN"}
2030	8	2025	http://www.surveypie.com/survey/26083663-e839-4203-88b5-947af6d02167	26083663-e839-4203-88b5-947af6d02167	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"th_TH"}
2031	8	2025	http://www.surveypie.com/survey/7e2353cd-748b-4c9f-8659-206f0636b206	7e2353cd-748b-4c9f-8659-206f0636b206	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"id_ID"}
2032	8	2025	http://www.surveypie.com/survey/761a9f7d-981b-4cf2-a630-512794df05ab	761a9f7d-981b-4cf2-a630-512794df05ab	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"de_DE"}
2033	8	2025	http://www.surveypie.com/survey/e4e3c140-2881-4ece-83b7-eaa156340b06	e4e3c140-2881-4ece-83b7-eaa156340b06	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"fr_FR"}
2034	8	2025	http://www.surveypie.com/survey/ea9b08fa-1ea2-4a33-ab27-f9b3ba975ecf	ea9b08fa-1ea2-4a33-ab27-f9b3ba975ecf	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10208},{8,2}}	[202305301000]	[202306142300]	{{5,21,1,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"es_ES"}
																	
																	
2035	7	2035	http://www.surveypie.com/survey/cefc8a02-59fb-44ee-b8ed-5334f89c03ff	cefc8a02-59fb-44ee-b8ed-5334f89c03ff	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"en_US"}
2036	7	2035	http://www.surveypie.com/survey/c6911ca0-0704-4cc1-9845-57e38849dfc8	c6911ca0-0704-4cc1-9845-57e38849dfc8	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	アンケート調査のお礼	分析員、アンケート調査へのご協力ありがとうございます！アンケート調査の報酬をお受け取りください。	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"ja_JP"}
2037	7	2035	http://www.surveypie.com/survey/0fc8a494-f912-4bc5-9d8f-4d8626c9e5b6	0fc8a494-f912-4bc5-9d8f-4d8626c9e5b6	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	설문조사 보상	안녕하세요, 분석가님!이번 설문조사에 참여해주셔서 감사합니다. 설문조사 작성 완료 보상을 받아주세요!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"ko_KR"}
2038	7	2035	http://www.surveypie.com/survey/359c6316-c2fd-45d8-a7be-8b2e23df632a	359c6316-c2fd-45d8-a7be-8b2e23df632a	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	問卷填寫獎勵	分析員您好，感謝您參與本次的問卷調查，請收下問卷獎勵！	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"zh_TW"}
2039	7	2035	http://www.surveypie.com/survey/80bd4ba1-a8b8-4564-a68c-21ebe1e296cb	80bd4ba1-a8b8-4564-a68c-21ebe1e296cb	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	问卷填写奖励	分析员您好，感谢您参与本次的问卷调查，请收下问卷奖励！	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"zh_CN"}
2040	7	2035	http://www.surveypie.com/survey/f71db4f6-c0b9-492c-869c-64ad0c3c5c39	f71db4f6-c0b9-492c-869c-64ad0c3c5c39	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"th_TH"}
2041	7	2035	http://www.surveypie.com/survey/0488e632-d251-46c0-ba23-697790d1a622	0488e632-d251-46c0-ba23-697790d1a622	7fc4c610e9e99fb3ac5c5209bf08ce59	https://snowbreak.amazingseasun.com/show-421-11-1.html	{{2,10412},{8,5}}	[202305301000]	[202306142300]	{{5,21,2,4,5}}	Survey Completion Reward	Hello, Adjutant, and thank you for completing the survey. Please claim the reward!	系统	30	{21,22,23,25,210,211,220,221,230,231,240,241}		{"id_ID"}
