ID	对应关卡图标	备注	开启时间	结束时间	关卡类型(普通1 挑战2 无尽3 )	地图ID	战斗逻辑配置ID	解锁条件(1：账号等级；2：Level ID，3：是否拥有某道具，4：曜日本专用是否通关xx关卡)	下一关ID	获取积分上线	出场怪物信息{{怪物编号,等级(填0不显示等级)}}	怪物强度模板	Buffid {{buffID}，无尽关卡的数组将每日往后取一个}	关卡概念图	任务资源	索引到具体BOSS
6212	1001360	2期线性第2关	[202504281000]	[202505180400]	1	6212	1	{{2,6211}}	6213		{470121701,470121601,470100801}	23	{{1002}}	1803089	AlienDefense/AD02Normal02.AD02Normal02	
6213	1001359	2期线性第3关	[202504281000]	[202505180400]	1	6213	1	{{2,6212}}	6214		{470121704,470121204,470121304}	23	{{1004}}	1801016	AlienDefense/AD02Normal03.AD02Normal03	
6214	1001359	2期线性第4关	[202504281000]	[202505180400]	1	6214	1	{{2,6213}}	6215		{470121204,470121304,470121604}	23	{{1004}}	1801005	AlienDefense/AD02Normal04.AD02Normal04	
6215	1001362	2期线性第5关	[202504281000]	[202505180400]	1	6215	1	{{2,6214}}	6216		{470121203,470121303,470121503}	23	{{1003}}	1801000	AlienDefense/AD02Normal05.AD02Normal05	
6216	1001362	2期线性第6关	[202504281000]	[202505180400]	1	6216	1	{{2,6215}}	6217		{470121303,470121503,470130601}	23	{{1003}}	1803089	AlienDefense/AD02Normal06.AD02Normal06	
6217	1001358	2期线性第7关	[202504281000]	[202505180400]	1	6217	1	{{2,6216}}	6218		{470121705,470121205,470130601}	23	{{1019}}	1801016	AlienDefense/AD02Normal07.AD02Normal07	
6218	1001358	2期线性第8关	[202504281000]	[202505180400]	1	6218	1	{{2,6217}}	6219		{470121205,470121605,470121505}	23	{{1019}}	1801005	AlienDefense/AD02Normal08.AD02Normal08	
6219	1001364	2期线性第9关	[202504281000]	[202505180400]	1	6219	1	{{2,6218}}	6220		{470121302,470121502,470131001}	23	{{1001}}	1801016	AlienDefense/AD02Normal09.AD02Normal09	
6220	1001364	2期线性第10关	[202504281000]	[202505180400]	1	6220	1	{{2,6219}}			{470121302,470121602,470101301}	23	{{1001}}	1801005	AlienDefense/AD02Normal10.AD02Normal10	
6221	1001360	3期线性第1关	[202510130400]	[202511020400]	1	6221	1		6222		{470121701,470121201,470121601}	23	{{1002}}	1801000	AlienDefense/AD03Normal01.AD03Normal01	
6222	1001360	3期线性第2关	[202510130400]	[202511020400]	1	6222	1	{{2,6221}}	6223		{470121701,470121601,470100801}	23	{{1002}}	1803089	AlienDefense/AD03Normal02.AD03Normal02	
6223	1001359	3期线性第3关	[202510130400]	[202511020400]	1	6223	1	{{2,6222}}	6224		{470121704,470121204,470121304}	23	{{1004}}	1801016	AlienDefense/AD03Normal03.AD03Normal03	
6224	1001359	3期线性第4关	[202510130400]	[202511020400]	1	6224	1	{{2,6223}}	6225		{470121204,470121304,470121604}	23	{{1004}}	1801005	AlienDefense/AD03Normal04.AD03Normal04	
6225	1001362	3期线性第5关	[202510130400]	[202511020400]	1	6225	1	{{2,6224}}	6226		{470121203,470121303,470121503}	23	{{1003}}	1801000	AlienDefense/AD03Normal05.AD03Normal05	
6226	1001362	3期线性第6关	[202510130400]	[202511020400]	1	6226	1	{{2,6225}}	6227		{470121303,470121503,470130601}	23	{{1003}}	1803089	AlienDefense/AD03Normal06.AD03Normal06	
6227	1001358	3期线性第7关	[202510130400]	[202511020400]	1	6227	1	{{2,6226}}	6228		{470121705,470121205,470130601}	23	{{1019}}	1801016	AlienDefense/AD03Normal07.AD03Normal07	
6228	1001358	3期线性第8关	[202510130400]	[202511020400]	1	6228	1	{{2,6227}}	6229		{470121205,470121605,470121505}	23	{{1019}}	1801005	AlienDefense/AD03Normal08.AD03Normal08	
6229	1001364	3期线性第9关	[202510130400]	[202511020400]	1	6229	1	{{2,6228}}	6230		{470121302,470121502,470131001}	23	{{1001}}	1801016	AlienDefense/AD03Normal09.AD03Normal09	
6230	1001364	3期线性第10关	[202510130400]	[202511020400]	1	6230	1	{{2,6229}}			{470121302,470121602,470101301}	23	{{1001}}	1801005	AlienDefense/AD03Normal10.AD03Normal10	
6231	1001360	4期线性第1关	[202602120400]	[202603040400]	1	6231	1		6232		{470121701,470121201,470121601}	23	{{1002}}	1801000	AlienDefense/AD04Normal01.AD04Normal01	
6232	1001359	4期线性第2关	[202602120400]	[202603040400]	1	6232	1	{{2,6231}}	6233		{470121704,470121204,470121304}	23	{{1004}}	1803089	AlienDefense/AD04Normal02.AD04Normal02	
6233	1001362	4期线性第3关	[202602120400]	[202603040400]	1	6233	1	{{2,6232}}	6234		{470121203,470121303,470121503}	23	{{1003}}	1801016	AlienDefense/AD04Normal03.AD04Normal03	
6234	1001358	4期线性第4关	[202602120400]	[202603040400]	1	6234	1	{{2,6233}}	6235		{470121705,470121205,470130601}	23	{{1019}}	1801005	AlienDefense/AD04Normal04.AD04Normal04	
6235	1001364	4期线性第5关	[202602120400]	[202603040400]	1	6235	1	{{2,6234}}	6236		{470121302,470121502,470131001}	23	{{1001}}	1803146	AlienDefense/AD04Normal05.AD04Normal05	
6236	1001360	4期线性第6关	[202602120400]	[202603040400]	1	6236	1	{{2,6235}}			{470121701,470121601,470100801}	23	{{1002}}	1803145	AlienDefense/AD04Normal06.AD04Normal06	
																
6701	1001365	1期挑战第1关空中轰炸	[202502200400]	[202503050400]	2	6701	1		6702		{470121704,470121204,470121304,570121401,670160201}	23	{{1001,2001}}	1801004	AlienDefense/AD01Challenge01.AD01Challenge01	
6702	1001364	1期挑战第2关燃烧弹	[202502200400]	[202503050400]	2	6702	1	{{2,6701}}			{470121704,470121204,470121504,570100901,670160201}	23	{{1001,2002}}	1801004	AlienDefense/AD01Challenge02.AD01Challenge02	
6703	1001361	1期挑战第3关落雷	[202502200400]	[202503050400]	2	6703	1		6704		{470121702,470121202,470121502,570100101,670120501}	23	{{1002,2003}}	1801000	AlienDefense/AD01Challenge03.AD01Challenge03	
6704	1001360	1期挑战第4关电磁炮弹	[202502200400]	[202503050400]	2	6704	1	{{2,6703}}			{470121702,470121202,470121502,570111301,670120501}	23	{{1002,2004}}	1801000	AlienDefense/AD01Challenge04.AD01Challenge04	
6705	1001362	1期挑战第5关寒冰弹	[202502200400]	[202503050400]	2	6705	1		6706		{470121703,470121203,470131001,570101701,670120701}	23	{{1003,2005}}	1801003	AlienDefense/AD01Challenge05.AD01Challenge05	
6706	1001363	1期挑战第6关寒冰激光	[202502200400]	[202503050400]	2	6706	1	{{2,6705}}			{470121703,470121203,470131001,570110901,670120701}	23	{{1003,2006}}	1801003	AlienDefense/AD01Challenge06.AD01Challenge06	
6707	1001359	1期挑战第7关轨道激光	[202502200400]	[202503050400]	2	6707	1		6708		{470121704,470121204,470121504,570100101,670100201}	23	{{1005,2007}}	1801016	AlienDefense/AD01Challenge07.AD01Challenge07	
6708	1001358	1期挑战第8关引力球	[202502200400]	[202503050400]	2	6708	1	{{2,6707}}			{470121703,470121203,470131001,570100901,670100201}	23	{{1005,2008}}	1801016	AlienDefense/AD01Challenge08.AD01Challenge08	
6709	1001364	2期挑战第1关高热	[202505051000]	[202505180400]	2	6709	1				{470121702,470121201,470121303,570121401,670160201}	23	{{1001}}	1801000	AlienDefense/AD02Challenge01.AD02Challenge01	
6710	1001362	2期挑战第2关低温	[202505051000]	[202505180400]	2	6710	1				{470121704,470121505,470121602,570100901,670100201}	23	{{1003}}	1803089	AlienDefense/AD02Challenge02.AD02Challenge02	
6711	1001360	2期挑战第3关电击	[202505051000]	[202505180400]	2	6711	1				{470121701,470121205,470121502,570100101,670120501}	23	{{1002}}	1801016	AlienDefense/AD02Challenge03.AD02Challenge03	
6712	1001359	2期挑战第4关动能	[202505051000]	[202505180400]	2	6712	1				{470121601,470121202,470121303,570111301,670100201}	23	{{1004}}	1801005	AlienDefense/AD02Challenge04.AD02Challenge04	
6713	1001358	2期挑战第5关特异	[202505051000]	[202505180400]	2	6713	1				{470121504,470121203,470121605,570101701,670120701}	23	{{1019}}	1801000	AlienDefense/AD02Challenge05.AD02Challenge05	
6714	1001364	3期挑战第1关高热	[202510200400]	[202511020400]	2	6714	1				{470121702,470121201,470121303,570121401,670160201}	23	{{1001}}	1801000	AlienDefense/AD03Challenge01.AD03Challenge01	
6715	1001362	3期挑战第2关低温	[202510200400]	[202511020400]	2	6715	1				{470121704,470121505,470121602,570100901,670100201}	23	{{1003}}	1803089	AlienDefense/AD03Challenge02.AD03Challenge02	
6716	1001360	3期挑战第3关电击	[202510200400]	[202511020400]	2	6716	1				{470121701,470121205,470121502,570100101,670120501}	23	{{1002}}	1801016	AlienDefense/AD03Challenge03.AD03Challenge03	
6717	1001359	3期挑战第4关动能	[202510200400]	[202511020400]	2	6717	1				{470121601,470121202,470121303,570111301,670100201}	23	{{1004}}	1801005	AlienDefense/AD03Challenge04.AD03Challenge04	
6718	1001358	3期挑战第5关特异	[202510200400]	[202511020400]	2	6718	1				{470121504,470121203,470121605,570101701,670120701}	23	{{1019}}	1801000	AlienDefense/AD03Challenge05.AD03Challenge05	
6719	1001364	4期挑战第1关高热	[202602190400]	[202603040400]	2	6719	1				{470121702,470121201,470121303,570121401,670160201}	23	{{1001}}	1803089	AlienDefense/AD04Challenge01.AD04Challenge01	
6720	1001362	4期挑战第2关低温	[202602190400]	[202603040400]	2	6720	1				{470121704,470121505,470121602,570100901,670100201}	23	{{1003}}	1801016	AlienDefense/AD04Challenge02.AD04Challenge02	
6721	1001360	4期挑战第3关电击	[202602190400]	[202603040400]	2	6721	1				{470121701,470121205,470121502,570100101,670120501}	23	{{1002}}	1801005	AlienDefense/AD04Challenge03.AD04Challenge03	
6722	1001359	4期挑战第4关动能	[202602190400]	[202603040400]	2	6722	1				{470121601,470121202,470121303,570111301,670100201}	23	{{1004}}	1803146	AlienDefense/AD04Challenge04.AD04Challenge04	
6723	1001358	4期挑战第5关特异	[202602190400]	[202603040400]	2	6723	1				{470121504,470121203,470121605,570101701,670120701}	23	{{1019}}	1803145	AlienDefense/AD04Challenge05.AD04Challenge05	
																
6901		1期无尽第1关	[202502131000]	[202503050400]	3	6901	1	{{2,6210}}		65535	{470121701,470121201,470121501,570121401}	23	{{1001,1012},{1005,1016},{1008,1013},{1002,1011},{1006,1017},{1003,1010},{1008,1015},{1004,1009},{1007,1014},{1001,1012},{1005,1016},{1008,1013},{1002,1011},{1006,1017},{1003,1010},{1008,1015},{1004,1009},{1007,1014},{1001,1012},{1005,1016},{1008,1013}}	1801016	AlienDefense/AD01Endless01.AD01Endless01	
6902		2期速刷第1关	[202504281000]	[202505180400]	3	6902	1	{{2,6220}}		65535	{470121701,470121604,470100801,570110901,670100201}	23	{{1006},{1007},{1008}}	1801000	AlienDefense/AD02Endless01.AD02Endless01	
6903		2期速刷第2关	[202504281000]	[202505180400]	3	6903	1	{{2,6220}}		65535	{470121204,470121303,470131001,570100101,670160201}	23	{{1006},{1007},{1008}}	1803089	AlienDefense/AD02Endless02.AD02Endless02	
6904		2期速刷第3关	[202504281000]	[202505180400]	3	6904	1	{{2,6220}}		65535	{470121503,470121605,470101301,570111301,670120501}	23	{{1006},{1007},{1008}}	1801016	AlienDefense/AD02Endless03.AD02Endless03	
6905		2期速刷第4关	[202504281000]	[202505180400]	3	6905	1	{{2,6220}}		65535	{470121205,470121502,470130601,570101701,670120701}	23	{{1006},{1007},{1008}}	1801005	AlienDefense/AD02Endless04.AD02Endless04	
6906		3期不息守护第1关	[202510130400]	[202511020400]	3	6906	1	{{2,6230}}		65535	{470121701,470121604,470100801,570110901,670100201}	23	{{1006},{1007},{1008}}	1801000	AlienDefense/AD03Endless01.AD03Endless01	
6907		3期不息守护第2关	[202510130400]	[202511020400]	3	6907	1	{{2,6230}}		65535	{470121204,470121303,470131001,570100101,670160201}	23	{{1006},{1007},{1008}}	1803089	AlienDefense/AD03Endless02.AD03Endless02	
6908		3期不息守护第3关	[202510130400]	[202511020400]	3	6908	1	{{2,6230}}		65535	{470121503,470121605,470101301,570111301,670120501}	23	{{1006},{1007},{1008}}	1801016	AlienDefense/AD03Endless03.AD03Endless03	
6909		3期不息守护第4关	[202510130400]	[202511020400]	3	6909	1	{{2,6230}}		65535	{470121205,470121502,470130601,570101701,670120701}	23	{{1006},{1007},{1008}}	1801005	AlienDefense/AD03Endless04.AD03Endless04	
6910		4期不息守护第1关	[202602120400]	[202603040400]	3	6910	1	{{2,6236}}		65535	{470121701,470121604,470100801,570110901,670100201}	23	{{1006},{1007},{1008}}	1801000	AlienDefense/AD04Endless01.AD04Endless01	
6911		4期不息守护第2关	[202602120400]	[202603040400]	3	6911	1	{{2,6236}}		65535	{470121204,470121303,470131001,570100101,670160201}	23	{{1006},{1007},{1008}}	1803089	AlienDefense/AD04Endless02.AD04Endless02	
6912		4期不息守护第3关	[202602120400]	[202603040400]	3	6912	1	{{2,6236}}		65535	{470121503,470121605,470101301,570111301,670120501}	23	{{1006},{1007},{1008}}	1801016	AlienDefense/AD04Endless03.AD04Endless03	
6913		4期不息守护第4关	[202602120400]	[202603040400]	3	6913	1	{{2,6236}}		65535	{470121205,470121502,470130601,570101701,670120701}	23	{{1006},{1007},{1008}}	1801005	AlienDefense/AD04Endless04.AD04Endless04	
6914		4期不息守护第5关	[202602120400]	[202603040400]	3	6914	1	{{2,6236}}		65535	{470121704,470121505,470121602,570100901,670100201}	23	{{1006},{1007},{1008}}	1803146	AlienDefense/AD04Endless05.AD04Endless05	
6915		4期不息守护第6关	[202602120400]	[202603040400]	3	6915	1	{{2,6236}}		65535	{470121702,470121201,470121303,570121401,670120701}	23	{{1006},{1007},{1008}}	1803145	AlienDefense/AD04Endless06.AD04Endless06	
