活动ID（期数）	索引	所需积分	奖励
2	39	71000	{{4,3,1,1,6000}}
2	40	72500	{{4,1,26,1,200}}
2	41	74000	{{4,3,1,1,6000}}
2	42	75500	{{4,1,26,1,200}}
2	43	77000	{{5,29,12,1,10}}
2	44	78500	{{4,1,26,1,200}}
2	45	80000	{{4,3,1,1,6000}}
2	46	81500	{{4,1,26,1,200}}
2	47	83000	{{4,1,26,1,200}}
2	48	84500	{{4,1,26,1,300}}
2	49	86000	{{4,1,26,1,300}}
2	50	86500	{{4,1,26,1,400}}
			
3	1	3000	{{4,3,1,1,6000}}
3	2	4000	{{4,1,26,1,200}}
3	3	5000	{{5,29,16,1,10}}
3	4	6500	{{4,1,26,1,200}}
3	5	8000	{{4,3,1,1,6000}}
3	6	9500	{{4,1,26,1,200}}
3	7	11000	{{5,29,16,1,10}}
3	8	12500	{{4,1,26,1,200}}
3	9	14000	{{4,3,1,1,6000}}
3	10	15500	{{4,1,26,1,200}}
3	11	17000	{{5,29,16,1,10}}
3	12	18500	{{4,1,26,1,200}}
3	13	20000	{{4,3,1,1,6000}}
3	14	21500	{{4,1,26,1,200}}
3	15	24000	{{5,29,16,1,10}}
3	16	26500	{{4,1,26,1,200}}
3	17	29000	{{4,3,1,1,6000}}
3	18	31500	{{4,1,26,1,200}}
3	19	34000	{{5,29,16,1,10}}
3	20	36500	{{4,1,26,1,200}}
3	21	39000	{{4,3,1,1,6000}}
3	22	41500	{{4,1,26,1,200}}
3	23	44000	{{5,29,16,1,10}}
3	24	46500	{{4,1,26,1,200}}
3	25	49000	{{13,1,32,1,1}}
3	26	51500	{{4,1,26,1,200}}
3	27	53000	{{5,29,16,1,10}}
3	28	54500	{{4,1,26,1,200}}
3	29	56000	{{5,29,16,1,10}}
3	30	57500	{{4,1,26,1,200}}
3	31	59000	{{4,3,1,1,6000}}
3	32	60500	{{4,1,26,1,200}}
3	33	62000	{{4,3,1,1,6000}}
3	34	63500	{{4,1,26,1,400}}
3	35	65000	{{4,3,1,1,6000}}
3	36	66500	{{4,1,26,1,200}}
3	37	68000	{{5,29,16,1,10}}
3	38	69500	{{4,1,26,1,200}}
3	39	71000	{{4,3,1,1,6000}}
3	40	72500	{{4,1,26,1,200}}
3	41	74000	{{4,3,1,1,6000}}
3	42	75500	{{4,1,26,1,200}}
3	43	77000	{{5,29,16,1,10}}
3	44	78500	{{4,1,26,1,200}}
3	45	80000	{{4,3,1,1,6000}}
3	46	81500	{{4,1,26,1,200}}
3	47	83000	{{4,1,26,1,200}}
3	48	84500	{{4,1,26,1,400}}
3	49	86000	{{4,1,26,1,500}}
3	50	86500	{{4,1,26,1,700}}
			
4	1	3000	{{4,3,1,1,6000}}
4	2	4000	{{4,1,26,1,200}}
4	3	5000	{{5,29,19,1,10}}
4	4	6500	{{4,1,26,1,200}}
4	5	8000	{{4,3,1,1,6000}}
4	6	9500	{{4,1,26,1,200}}
4	7	11000	{{5,29,19,1,10}}
4	8	12500	{{4,1,26,1,200}}
4	9	14000	{{4,3,1,1,6000}}
4	10	15500	{{4,1,26,1,200}}
4	11	17000	{{5,29,19,1,10}}
4	12	18500	{{4,1,26,1,200}}
4	13	20000	{{4,3,1,1,6000}}
4	14	21500	{{4,1,26,1,200}}
4	15	24000	{{5,29,19,1,10}}
4	16	26500	{{4,1,26,1,200}}
4	17	29000	{{4,3,1,1,6000}}
4	18	31500	{{4,1,26,1,200}}
4	19	34000	{{5,29,19,1,10}}
4	20	36500	{{4,1,26,1,200}}
4	21	39000	{{4,3,1,1,6000}}
4	22	41500	{{4,1,26,1,200}}
4	23	44000	{{5,29,19,1,10}}
4	24	46500	{{4,1,26,1,200}}
4	25	49000	{{13,1,40,1,1}}
4	26	51500	{{4,1,26,1,200}}
4	27	53000	{{5,29,19,1,10}}
4	28	54500	{{4,1,26,1,200}}
4	29	56000	{{5,29,19,1,10}}
4	30	57500	{{4,1,26,1,200}}
4	31	59000	{{4,3,1,1,6000}}
4	32	60500	{{4,1,26,1,200}}
4	33	62000	{{4,3,1,1,6000}}
4	34	63500	{{4,1,26,1,400}}
4	35	65000	{{4,3,1,1,6000}}
4	36	66500	{{4,1,26,1,200}}
4	37	68000	{{5,29,19,1,10}}
4	38	69500	{{4,1,26,1,200}}
4	39	71000	{{4,3,1,1,6000}}
4	40	72500	{{4,1,26,1,200}}
4	41	74000	{{4,3,1,1,6000}}
4	42	75500	{{4,1,26,1,200}}
4	43	77000	{{5,29,19,1,10}}
4	44	78500	{{4,1,26,1,200}}
4	45	80000	{{4,3,1,1,6000}}
4	46	81500	{{4,1,26,1,200}}
4	47	83000	{{4,1,26,1,200}}
4	48	84500	{{4,1,26,1,400}}
4	49	86000	{{4,1,26,1,500}}
4	50	86500	{{4,1,26,1,700}}
