唯一Id	优先级（值越小优先级越高；1,2,3,4）	字符串索引	说话人	Wwise事件名	声音时间(手动导出)	临时时间	中文简体	非正式文案禁用翻译，对应模块的策划填写（1是，0否）	备注
		G02PF.7	里芙	Play_Vo_prg02_girl002_07	5.581564		啊，吾明白了，胆敢出现在吾面前的敌人是……		
		G02PF.8	里芙	Play_Vo_prg02_girl002_08	1.176916		泰坦。		
									
Girl.02aPF.1		G02aPF.1	里芙	Play_Vo_prg02a_girl002_01	4.102857		啊……雪可真大啊……		
		G02aPF.2	里芙	Play_Vo_prg02a_girl002_02	1.878163		是很适合我的战场。		
									
Girl.02aPF.2		G02aPF.3	里芙	Play_Vo_prg02a_girl002_03	5.756145		子弹没了？小腿肌肉失能，无法加速跑……		
		G02aPF.4	里芙	Play_Vo_prg02a_girl002_04	3.124512		我……还要战斗！		
		G02aPF.5	里芙	Play_Vo_prg02a_girl002_05	6.300521		这个信号是……事先放置的弹药箱？很好……		
									
Girl.02aPF.3		G02aPF.6	里芙	Play_Vo_prg02a_girl002_06	2.561746		泰坦！尽管来吧！		
		G02aPF.7	里芙	Play_Vo_prg02a_girl002_07	4.568005		我会用你们的力量，将你们完全毁灭……		
		G02aPF.8	里芙	Play_Vo_prg02a_girl002_08	1.542517		毁灭………………		
									
Girl.03PF.1		G03PF.1	妮塔	Play_Vo_prg03_girl003_01	3.216032		分析员！？你什么时候跟在我后面的！		
		G03PF.2	妮塔	Play_Vo_prg03_girl003_02	3.720748		……有人找你麻烦？等我马上到！		
									
Girl.03PF.2		G03PF.3	妮塔	Play_Vo_prg03_girl003_03	2.374603		混账东西别挡路！我赶时间！		
									
Girl.03PF.3		G03PF.4	妮塔	Play_Vo_prg03_girl003_04	3.638299		路被堵上了！那边那道门应该可以……		
		G03PF.5	妮塔	Play_Vo_prg03_girl003_05	1.762132		喂！钥匙给我！		
		G03PF.6	郊狼士兵				嘿嘿嘿，我可没有，我只知道备用钥匙放在这附近一个瓶子里。		
		G03PF.7	妮塔	Play_Vo_prg03_girl003_06	2.42907		……真有你的！		
									
Girl.03PF.4		G03PF.8	妮塔	Play_Vo_prg03_girl003_07	3.164581		找到了！起码那混蛋没骗我。		
		G03PF.9	妮塔	Play_Vo_prg03_girl003_08_1	2.616395		分析员你再撑一会儿！我这就来！		
									
Girl.04PF.1		G04PF.1	芙提雅	Play_Vo_prg04_girl004_01	3.947392		这种数量，根本就不构成威胁嘛……		
		G04PF.2	芙提雅	Play_Vo_prg04_girl004_02	1.4739		我上了噢！		
									
Girl.04PF.2		G04PF.3	芙提雅	Play_Vo_prg04_girl004_03	2.48941		怎么还有敌人？		
		G04PF.4	芙提雅	Play_Vo_prg04_girl004_04	2.836395		是因为刚才的战斗惊动了？		
									
Girl.04PF.3		G04PF.5	芙提雅	Play_Vo_prg04_girl004_05	8.76068		呼……哈……呼……有点……累了……		
		G04PF.6	芙提雅	Play_Vo_prg04_girl004_06	3.27093		还好……提前准备了辅助用无人机……		
		G04PF.7	芙提雅	Play_Vo_prg04_girl004_07	4.835556		但……希望不要有下一波了呀……		
									
Girl.04PF.4		G04PF.8	芙提雅	Play_Vo_prg04_girl004_08	3.63542		还还还有这么多泰坦！？		
		G04PF.9	芙提雅	Play_Vo_prg04_girl004_09	4.977233		体力有点跟不上了，但是……		
		G04PF.10	芙提雅	Play_Vo_prg04_girl004_10	4.015057		嗯？分析员你说……撤退？		
									
Girl.04aPF.1		G04aPF.1	芙提雅	Play_Vo_prg04a_girl004_01	3.38712		这种程度的就不要出来挡路了！		
		G04aPF.2	芙提雅	Play_Vo_prg04a_girl004_02	3.473084		不能来点儿更有挑战性的东西吗！？		
									
Girl.04aPF.2		G04aPF.3	芙提雅	Play_Vo_prg04a_girl004_03	2.70907		……新的敌人吗？		
		G04aPF.4	芙提雅	Play_Vo_prg04a_girl004_04	3.928322		但这种只用“文火模式”就能解决了呢……		
		G04aPF.5	芙提雅	Play_Vo_prg04a_girl004_05	2.919161		分析员，帮我找个大家伙吧~！		
									
Girl.04aPF.3		G04aPF.6	芙提雅	Play_Vo_prg04a_girl004_06_1	4.486984		还没完还没完，我的续航可是超强的哦！		
		G04aPF.7	芙提雅	Play_Vo_prg04a_girl004_07	4.04449		让你们见识一下什么是真正的猛火爆炒吧~！		
									
Girl.04bPF.1		G04bPF.1	芙提雅	Play_Vo_prg04b_girl004_01	2.731156		驰掣第一次实战测试开始。		2.3版本驰掣个人故事
		G04bPF.2	芙提雅	Play_Vo_prg04b_girl004_02	3.802472		分析员不用担心，你可以永远相信芙提雅老师！		2.3版本驰掣个人故事
									
Girl.04bPF.2		G04bPF.3	playername				芙提雅，身体状况如何？		2.3版本驰掣个人故事
		G04bPF.4	芙提雅	Play_Vo_prg04b_girl004_03	2.419955		当然没……		2.3版本驰掣个人故事
		G04bPF.5	芙提雅	Play_Vo_prg04b_girl004_04	2.029479		呜——		2.3版本驰掣个人故事
		G04bPF.6	芙提雅	Play_Vo_prg04b_girl004_05	4.59805		好吧，芙提雅老师的身体稍微有些奇怪……		2.3版本驰掣个人故事
		G04bPF.7	芙提雅	Play_Vo_prg04b_girl004_06	8.068027		趁芙提雅老师还能动，分析员快带我回实验室，现在是收集数据的最佳时刻……！		2.3版本驰掣个人故事
									
									
									
Girl.05PF.1		G05PF.1	茉莉安	Play_Vo_prg05_girl005_01	4.627959		敌人密度超出事前预计，分析员请小心。		
									
Girl.05PF.2		G05PF.2	茉莉安	Play_Vo_prg05_girl005_02	2.40907		分析员，危险！		
		G05PF.3	茉莉安	Play_Vo_prg05_girl005_03	0.801406		唔啊……		
									
Girl.05aPF.1		G05aPF.1	茉莉安	Play_Vo_prg05a_girl005_01_1	4.986054		这边吗？差点儿就冲过头了呢……		
		G05aPF.2	茉莉安	Play_Vo_prg05a_girl005_02	2.683129		请跟上我的速度哦，分析员。		
									
Girl.05aPF.2		G05aPF.3	茉莉安	Play_Vo_prg05a_girl005_03	1.355578		我还能更快。		
		G05aPF.4	茉莉安	Play_Vo_prg05a_girl005_04	1.844943		还远远没到极限呢！		
									
Girl.05aPF.3		G05aPF.5	茉莉安	Play_Vo_prg05a_girl005_05	2.361089		又来了吗……		
		G05aPF.6	茉莉安	Play_Vo_prg05a_girl005_06	5.026803		正好，上次还没玩过瘾呢……		
		G05aPF.7	茉莉安	Play_Vo_prg05a_girl005_07	3.243061		这次可要让我满足一下啊。		
									
Girl.06PF.1		G06PF.1	晴	Play_Vo_prg06_girl006_01	2.422268		新兵注意阵型，不要随意走位。		
		G06PF.2	晴	Play_Vo_prg06_girl006_02	1.533787		多看敌人方位指示！		
									
Girl.06PF.2		G06PF.3	晴	Play_Vo_prg06_girl006_03	2.59644		分析员你说什么？机械臂？		
		G06PF.4	晴	Play_Vo_prg06_girl006_04	2.287234		它没问题，我也很好。		
		G06PF.5	晴	Play_Vo_prg06_girl006_05	1.732494		很快就搞定这家伙！		
									
Girl.06aPF.2		G06aPF.1	晴	Play_Vo_prg06a_girl006_01	1.714853		我一定会证明……		
		G06aPF.2	晴	Play_Vo_prg06a_girl006_02	3.980091		向分析员……向所有人证明……		
									
Girl.06aPF.3		G06aPF.3	晴	Play_Vo_prg06a_girl006_03	6.229252		我不会……再让我的荣誉出现瑕疵。		
		G06aPF.4	提尔	Play_Vo_prg06a_girl006_04	5.023334		呵呵呵……那只是你借来的荣誉。		
		G06aPF.5	晴	Play_Vo_prg06a_girl006_05	0.774921		闭嘴！		
									
Girl.06aPF.4		G06aPF.6	提尔	Play_Vo_prg06a_girl006_06	4.417778		如果你坚持不住了，就交给我。		
		G06aPF.7	晴	Play_Vo_prg06a_girl006_07	1.425964		我让你闭嘴！		
		G06aPF.8	提尔	Play_Vo_prg06a_girl006_08	5.130771		呵呵呵……可怜的自尊心。		
									
Girl.07PF.1		G07PF.1	琴诺	Play_Vo_prg07_girl007_01_1	7.8		对不起，对不起，我不是故意的。不是我想做的！		
		G07PF.2	琴诺	Play_Vo_prg07_girl007_02	5.599048		莫尔索，怎么办，怎么办……？		
		G07PF.3	琴诺	Play_Vo_prg07_girl007_03	8.200953		我不行的，我不做的……我不要听命令！		
									
Girl.07PF.2		G07PF.4	里琴诺	Play_Vo_prg07_girl007_04_1	18.7		呵呵呵呵，你们这些蝼蚁，居然敢挑衅我？很好，很好！		
									
Girl.07aPF.1		G07aPF.1	琴诺	Play_Vo_prg007a_girl007_01	3.401905		琴诺，已经到达任务地点。		
		G07aPF.2	琴诺	Play_Vo_prg007a_girl007_02	4.101837		把它们都解决掉是吗？我明白了。		
		G07aPF.3	琴诺	Play_Vo_prg007a_girl007_03	4.877732		呼……那就，上吧。		
									
Girl.08PF.1		G08PF.1	芬妮	Play_Vo_prg08_girl008_01	3.84229		好！不论什么战场都要好好闪耀！		
									
Girl.08PF.2		G08PF.2	芬妮	Play_Vo_prg08_girl008_02	1.917823		还有多少人都一起上吧！		
		G08PF.3	芬妮	Play_Vo_prg08_girl008_03	1.289138		本小姐赶时间呢！		
									
Girl.08PF.3		G08PF.4	芬妮	Play_Vo_prg08_girl008_04	0.827937		哎呀！		
		G08PF.5	芬妮	Play_Vo_prg08_girl008_05	4.017551		糟糕……伤到了脚踝吗……		
		G08PF.6	芬妮	Play_Vo_prg08_girl008_06	4.327959		不过这种程度，才不会影响到本小姐！		
									
Girl.10PF.1		G10PF.1	肴	Play_Vo_prg10_girl010_01	2.8		无论如何，我们得穿过这里。		
		G10PF.2	肴	Play_Vo_prg10_girl010_02	3.6		我一给你信号，就开始跑，别管路上的敌人。		
		G10PF.3	肴	Play_Vo_prg10_girl010_03	2.4		现在，跑！		
									
Girl.10PF.2		G10PF.4	肴	Play_Vo_prg10_girl010_04	4.491474		你你你说啥？出口的门坏了要花点时间弄开？		
		G10PF.5	肴	Play_Vo_prg10_girl010_05	2.3		赶紧的啊别害咱们交代在这儿啊！		
									
Girl.10PF.3		G10PF.6	肴	Play_Vo_prg10_girl010_06	3.2		中大奖了！有泰坦封路！		
		G10PF.7	肴	Play_Vo_prg10_girl010_07	2.887188		没办法了只有拼了！		
									
Girl.10PF.4		G10PF.8	肴	Play_Vo_prg10_girl010_08	2.712812		跑！啥也别管，往出口跑！		
									
Girl.10aPF.1		G10aPF.1	芙提雅	Play_Vo_prg10a_girl004_01	5.656871		资料显示，类思念体相变为能量态会瞬间释放掉全部能量。		
		G10aPF.2	肴	Play_Vo_prg10a_girl010_01	1.549388		说人话！		
		G10aPF.3	芙提雅	Play_Vo_prg10a_girl004_02	2.849093		会爆炸！你千万小心！		
									
Girl.11PF.1		G11PF.1	恩雅	Play_Vo_prg11_girl011_01	4.394898		降临团的仪式……说不定会吸引来泰坦。		
		G11PF.2	恩雅	Play_Vo_prg11_girl011_02	1.447165		今天有得忙了呢。		
									
Girl.11PF.2		G11PF.3	恩雅	Play_Vo_prg11_girl011_03	1.352721		启动点设置完毕。		
		G11PF.4	恩雅	Play_Vo_prg11_girl011_04	3.431587		分析员，麻烦帮忙看看下一个坐标。		
									
Girl.11PF.3		G11PF.5	恩雅	Play_Vo_prg11_girl011_05	4.295352		大功告成，等会儿远程爆破，任务就完成了。		
		G11PF.6	恩雅	Play_Vo_prg11_girl011_06	4.498095		撤退的路线……分析员已经帮我规划好了吗……？		
		G11PF.7	恩雅	Play_Vo_prg11_girl011_07	1.77068		果然很可靠呢~！		
									
Girl.11aPF.1		G11aPF.1	恩雅	Play_Vo_prg011a_girl011_01	10.4139		果然还不适应新的战术套装，呼……你可以的，恩雅，这也是测试它的好机会。		
									
Girl.11aPF.2		G11aPF.2	恩雅	Play_Vo_prg011a_girl011_02	4.255624		还好，我对这一带还算熟悉。		
									
Girl.11aPF.3		G11aPF.3	恩雅	Play_Vo_prg011a_girl011_03	2.773946		我绝不会眼睁睁看着……在乎的人……		
									
Girl.12PF.1		G12PF.1	猫汐尔	Play_Vo_prg12_girl012_01	2.897846		这种战斗难度会不会太低了。		
Girl.12PF.2		G12PF.2	猫汐尔	Play_Vo_prg12_girl012_02	1.919433		我的计算不会有错。		
Girl.12PF.3		G12PF.3	猫汐尔	Play_Vo_prg12_girl012_03	3.579728		我说过，结局100%是胜利才对。		
									
Girl.12aPF.1		G12aPF.1	猫汐尔	Play_Vo_prg12a_girl012_01	2.363016		分析员那边貌似也开始行动了。		
									
Girl.12aPF.2		G12aPF.2	恐怖分子	Play_Vo_prg12a_npc027_01	3.040113		是世界树的天启者！拦住她！！		
		G12aPF.3	恐怖分子	Play_Vo_prg12a_npc027_02	2.87		别磨蹭了，赶快转移泰坦物质！		
		G12aPF.4	猫汐尔	Play_Vo_prg12a_girl012_02	2.954626		啊，果然藏了奇怪的东西喵。		
									
Girl.12aPF.3		G12aPF.5	恐怖分子	Play_Vo_prg12a_npc027_03	4.116372		看来行动失败了啊。		
		G12aPF.6	恐怖分子	Play_Vo_prg12a_npc027_04	3.34093		不过……至少要……		
		G12aPF.7	猫汐尔	Play_Vo_prg12a_girl012_03	1.03805		糟糕……		
									
Girl.13PF.1		G13PF.1	瑟瑞斯	Play_Vo_prb01_girl013_01_1	3.179887		目标地点附近敌人数量在持续增加。		
		G13PF.2	瑟瑞斯	Play_Vo_prb01_girl013_02	4.064603		没来得及撤离的流浪者都变成异化人了吗……		
									
Girl.13PF.2		G13PF.3	瑟瑞斯	Play_Vo_prb01_girl013_03	4.148209		接近目标点了，枪膛过热，但还能应付。		
									
Girl.13PF.3		G13PF.4	瑟瑞斯	Play_Vo_prb01_girl013_04_1	5.607279		呼……那里一定还保存着妮娜的……		
									
Girl.14PF.1		G14PF.1	辰星	Play_Vo_prb01_girl014_01_1	3.761338		污染增强，这里有泰坦出没的迹象。		
		G14PF.2	辰星	Play_Vo_prb01_girl014_02_3	3.68		里芙·贝斯特拉应该就在附近。		
									
Girl.14PF.2		G14PF.3	里芙	Play_Vo_prb01_girl014_07	3.048798		是你？多谢。		
		G14PF.4	辰星	Play_Vo_prb01_girl014_08	2.345488		没想到连你都会被困住。		
		G14PF.5	里芙	Play_Vo_prb01_girl014_09	4.059615		不知道为什么，力量突然消失了……		
		G14PF.6	辰星	Play_Vo_prb01_girl014_03	2.922676		已确认里芙·贝斯特拉的安全。		
		G14PF.7	辰星	Play_Vo_prb01_girl014_04	3.768004		继续在这个区域搜索芬妮·戈尔登。		
									
Girl.14PF.3		G14PF.8	芬妮	Play_Vo_prb01_girl014_10	3.649002		你可不要说出去！		
		G14PF.9	芬妮	Play_Vo_prb01_girl014_11	5.200476		本小姐才不会被区区泰坦困在这里……这只是意外！		
		G14PF.10	辰星	Play_Vo_prb01_girl014_05_2	1.25517		找到她了。		
		G14PF.11	辰星	Play_Vo_prb01_girl014_06	5.316667		通讯恢复了，根据安全部报告，目前应该只剩下妮塔没有归队。		
									
Girl.14aPF.1		G14aPF.1	辰星	Play_Vo_prg014a_girl014_01_1	1.613333		分析员？		
Girl.14aPF.1		G14aPF.2	辰星	Play_Vo_prg014a_girl014_01_2	3.143991		没有响应，是被屏蔽了么。		
Girl.14aPF.1		G14aPF.3	系统提示	Play_Vo_prg014a_system_01	6.376576		第一道试炼，<orange>天之试炼</>开始！		
									
Girl.14aPF.2		G14aPF.4	辰星	Play_Vo_prg014a_girl014_01_3	4.386667		我已经不是那个遇事躲起来的小女孩了。		
									
Girl.14aPF.3		G14aPF.5	系统提示	Play_Vo_prg014a_system_02	8.371292		恭喜辰星小姐，接下来是第二道试炼，你准备好了吗？		
									
Girl.14aPF.4		G14aPF.6	系统提示	Play_Vo_prg014a_system_03_1	6.583152		不愧是辰星小姐，看来地之试炼也无法难倒你。		
									
Girl.14aPF.5		G14aPF.7	系统提示	Play_Vo_prg014a_system_03_2	6.32966		第三道试炼，【人之试炼】才是真正的重点。		
Girl.14aPF.5		G14aPF.8	辰星	Play_Vo_prg014a_girl014_03_1	1.551996		那是……？		
Girl.14aPF.5		G14aPF.9	辰星	Play_Vo_prg014a_girl014_03_2	0.780658		……我？		
									
									
Girl.15PF.1		G15PF.1	凯茜娅	Play_Vo_prg015_girl015_01	5.012812		耶洛沙……深陷泥沼的冰霜巨人。		
		G15PF.2	凯茜娅	Play_Vo_prg015_girl015_02	4.958186		这里的每个人都趴在你这庞大的身躯上啃食。		
		G15PF.3	凯茜娅	Play_Vo_prg015_girl015_03	4.529456		那个女孩，真的能把你拯救出来吗？		
		G15PF.4	凯茜娅	Play_Vo_prg015_girl015_04	5.552472		呵，算了，还是先解决眼前的麻烦吧。		
									
Girl.16PF.1		16PF.1	伊切尔	Play_Vo_prg016_girl016_01	3.201769		这里是……梦……		
		16PF.2	巴伦支仪器士兵	Play_Vo_prg016_girl016_02	3.818479		喂，发现那个逃走的试验品了！围住她！		
									
Girl.16PF.2		16PF.3	远处的声音	Play_Story_Wolfhowling01	0		——		
