Id	备注	点名	生成半径	蓝图路径	类型	货币掉落量	共振率掉落量	掉落物	图标	地图最小显示比例	刷新类型(1:一次性内容;2:固定刷新;3:自定义百分比刷新;4:自定义数量刷新)	刷新参数:数量或者百分比	地图点类型(1:不带底板，2：带底板，6：传送，7：主线）	是否需要弹窗	是否需要日志记录
308	烹饪		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_044.OWInteraction_044_C		0	0		1009014	1	1		1	1	1
309	主线石板		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteractor_042.OWInteractor_042_C	PlatePoint	0	0		1009015	3	1		1	0	1
310	支线石板		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteractor_045.OWInteractor_045_C	PlatePoint	0	0		1009015	3	1		1	1	1
320	限时挑战	ui.Dlc3ExploreTip21	10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_TaskChallenge.OWInteraction_TaskChallenge_C	ChallengePoint	0	0		1009020	1	2		2	0	1
															
311	中型怪物宝箱		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteractor_039.OWInteractor_039_C	Dlc3Treasure	0	0	{{4,3,1,1,1280},{4,1,9,1,180}}	1009021	3	1		1	1	1
312	大型怪物宝箱	ui.Dlc3ExploreTip19	10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteractor_043.OWInteractor_043_C	Dlc3Treasure	0	0	{{4,3,2,1,20},{4,3,1,1,1000},{4,1,9,1,340}}	1009023	1	1		2	1	1
313	鱼点		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWFishPoint.OWFishPoint_C	FishPoint	0	0		1009019	1	1		2	1	1
314	任务引导点（主线）		1000000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWMissionPoint.OWMissionPoint_C	TaskPoint	0	0		1009017	1	1		7	1	
315	乘船关卡点		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteractor_041.OWInteractor_041_C		0	0			1	1		2	1	
316	气球点-低价值-攻击交互		10000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWInteraction_046.OWInteraction_046_C	Dlc3TreasureBase	0	0	{{4,1,9,1,100}}		3	1		1	0	1
317	任务引导点（支线）		1000000	/Game/Blueprints/LevelTask/Extend/OpenWorld/OWMissionPoint.OWMissionPoint_C	TaskPoint	0	0		1009018	1	1		7	1	
