格子Id	名字	提示	格子背景	文字颜色	名字	描述	图标Id	类型(1地形,2物件)	层级，最大支持3	显示在第几页，默认1	类名	高度偏移	缩放	格子大小	地块类型(walkable/block)	直接购买价格	升级价格	收取过路费	特效id(填特效表中的id)	默认旋转	是否可以交互	标签(start:起点,blockbox:阻挡箱子,box:箱子,treasurebox1:小宝箱,treasurebox2:大宝箱,onlyFront:只能正前方互动)，可以有多个	参数	状态0	状态1	模型路径	正常材质	灰模材质
2106	随机事件	随机事件	{242,241,128,255}	{20,0,0}	season_item.chess03_27	season_item.chess03_27.desc		2	1	2			{1,1,1}	{1,1}	walkable							random_event	4			/Game/Blueprints/Chess/dlc3/chess03_interact001_grid_hint_01.chess03_interact001_grid_hint_01_C		
2107	传送门	传送门	{241,133,208,255}	{200,25,0}	season_item.chess03_28	season_item.chess03_28.desc		2	1	2	class_transfer		{1,1,1}	{1,1}	walkable											/Game/Blueprints/Chess/dlc3/chess03_interact001_grid_hint_07.chess03_interact001_grid_hint_07_C		
2108	随机道具	随机道具	{241,133,208,255}	{0,0,0}	season_item.chess03_33	season_item.chess03_33.desc		2	1	3	class_random_item		{1,1,1}	{1,1}	walkable							random_item				/Game/Blueprints/Chess/dlc3/chess03_interact001_grid_hint_03.chess03_interact001_grid_hint_03_C		
																												
3001	休息事件		{205,133,63}	{0,0,0}	season_item.chess03_1	season_item.chess03_1.desc		2	3	2	class_telephone		{1,1,1}	{1,1}	walkable						1					/Game/Blueprints/Chess/dlc3/chess03_interact003_01_sm.chess03_interact003_01_sm_C		
3002	事件地面·医疗		{255,255,255,128}	{0,0,0}	season_item.chess03_2	season_item.chess03_2.desc		2	2	2	class_hospital		{1,1,1}	{1,1}	block						1					/Game/Blueprints/Chess/dlc3/chess03_interact011_01_sm.chess03_interact011_01_sm_C		
3006	道具·小炸弹		{255,255,255,128}	{0,0,0}	season_item.chess03_31	season_item.chess03_31.desc		2	2	2	class_bomb		{1,1,1}	{1,1}	walkable							landmine				/Game/Blueprints/Chess/dlc3/chess03_interact002_01_sm.chess03_interact002_01_sm_C		
3007	道具·土炸弹		{255,255,255,128}	{0,0,0}	season_item.chess03_30	season_item.chess03_30.desc		2	2	2	class_bomb		{1,1,1}	{1,1}	walkable							explosive				/Game/Blueprints/Chess/dlc3/chess03_interact009_01_sm.chess03_interact009_01_sm_C		
3010	道具·飞弹		{255,255,255,128}	{0,0,0}	season_item.chess03_22	season_item.chess03_22.desc		2	2	2	class_bomb		{1,1,1}	{1,1}	walkable						1	missile				/Game/Blueprints/Chess/dlc3/chess03_interact008_01_sm.chess03_interact008_01_sm_C		
3011	寻路方向		{75,75,75,255}	{200,200,200}				2	2	2	class_road_dir		{1,1,1}	{1,1}	walkable											/Game/Blueprints/Chess/survivors/empty_object.empty_object_C		
3013	路障·睡眠舱		{75,0,0,255}	{200,0,0}	season_item.chess03_29	season_item.chess03_29.desc		2	2	2	class_barrier		{1,1,1}	{1,1}	walkable											/Game/Blueprints/Chess/dlc3/chess03_interact013_01_sm.chess03_interact013_01_sm_C		
																												
4001	空地皮		{70,50,30}	{255,255,255}	season_item.chess03_3	season_item.chess03_3.desc		2	2	3	class_building		{1,1,1}	{1,1}	block	200					1					/Game/Blueprints/Chess/dlc3/chess03_interact004_01_sm.chess03_interact004_01_sm_C		
4002	普通房子1级		{100,80,60}	{255,255,255}	season_item.chess03_4;season_item.chess03_7	season_item.chess03_4.desc;season_item.chess03_7.desc		2	3	3	class_building		{1,1,1}	{1,1}	block	500	200	350			1					/Game/Blueprints/Chess/dlc3/chess03_interact007_01_sm.chess03_interact007_01_sm_C		
4003	普通房子2级		{100,80,60}	{255,255,255}	season_item.chess03_5;season_item.chess03_8	season_item.chess03_5.desc;season_item.chess03_8.desc		2	3	3	class_building		{1,1,1}	{1,1}	block	800	200	560			1					/Game/Blueprints/Chess/dlc3/chess03_interact007_02_sm.chess03_interact007_02_sm_C		
4004	普通房子3级		{100,80,60}	{255,255,255}	season_item.chess03_6;season_item.chess03_9	season_item.chess03_6.desc;season_item.chess03_9.desc		2	3	3	class_building		{1,1,1}	{1,1}	block	1200	200	840			1					/Game/Blueprints/Chess/dlc3/chess03_interact007_03_sm.chess03_interact007_03_sm_C		
4008	度假中心1级		{100,80,60}	{255,255,255}	season_item.chess03_10;season_item.chess03_13	season_item.chess03_10.desc;season_item.chess03_13.desc		2	3	3	class_building		{1,1,1}	{2,2}	block	2000		1400			1					/Game/Blueprints/Chess/dlc3/chess03_interact006_01_sm.chess03_interact006_01_sm_C		
4009	度假中心2级		{100,80,60}	{255,255,255}	season_item.chess03_11;season_item.chess03_14	season_item.chess03_11.desc;season_item.chess03_14.desc		2	3	3	class_building		{1,1,1}	{2,2}	block	2500	300	1750			1					/Game/Blueprints/Chess/dlc3/chess03_interact006_02_sm.chess03_interact006_02_sm_C		
4010	度假中心3级		{100,80,60}	{255,255,255}	season_item.chess03_12;season_item.chess03_15	season_item.chess03_12.desc;season_item.chess03_15.desc		2	3	3	class_building		{1,1,1}	{2,2}	block	3000	300	2100			1					/Game/Blueprints/Chess/dlc3/chess03_interact006_03_sm.chess03_interact006_03_sm_C		
4014	花园餐厅1级		{100,80,60}	{255,255,255}	season_item.chess03_16;season_item.chess03_19	season_item.chess03_16.desc;season_item.chess03_19.desc		2	3	3	class_building		{1,1,1}	{2,2}	block	2000		1400			1					/Game/Blueprints/Chess/dlc3/chess03_interact005_01_sm.chess03_interact005_01_sm_C		
4015	花园餐厅2级		{100,80,60}	{255,255,255}	season_item.chess03_17;season_item.chess03_20	season_item.chess03_17.desc;season_item.chess03_20.desc		2	3	3	class_building		{1,1,1}	{2,2}	block	2500	300	1750			1					/Game/Blueprints/Chess/dlc3/chess03_interact005_02_sm.chess03_interact005_02_sm_C		
4016	花园餐厅3级		{100,80,60}	{255,255,255}	season_item.chess03_18;season_item.chess03_21	season_item.chess03_18.desc;season_item.chess03_21.desc		2	3	3	class_building		{1,1,1}	{2,2}	block	3000	300	2100			1					/Game/Blueprints/Chess/dlc3/chess03_interact005_03_sm.chess03_interact005_03_sm_C		
																												
5001	底座1																									/Game/Blueprints/Chess/dlc3/chess03_interact014_01_sm.chess03_interact014_01_sm_C		
5002	底座2																									/Game/Blueprints/Chess/dlc3/chess03_interact014_02_sm.chess03_interact014_02_sm_C		
																												
6001	出生点		{128,128,128,200}	{240,240,0}				2	2		class_born		{1,0.1,1}	{1,1}	walkable							start				/Game/Blueprints/Chess/survivors/empty_object.empty_object_C		
