ID	备注	关卡类型(0、通常关,1、Boss关,2、剧情)	挑战次数限制	积分消耗	地图ID	BUFFID（可以多个）	解锁条件	体力消耗(包含进入和通关)	星级条件 {{1,300},{1,180},{2,2}}	出场怪物信息{{G,D,P,L}}	关联growintensity怪物强度模板	关卡详情是否显示怪物列表 0或不配显示奖励列表 1显示怪物列表		是否允许多重战斗	是否显示再次挑战	下一关ID	玩家经验值	角色经验值	队伍规则	首次达成星级奖励	首通掉落ID	固定掉落ID	随机掉落ID	UI展示物品{{G,D,P,L,N}}	UI展示随机物品{{G,D,P,L,N}}	UI展示首通物品{{G,D,P,L,N}}	Boss概念图	关卡概念图	任务资源	是否直接进入剧情（1直接进入）
40214	星期三-剧情3	2			50000		{{2,40213}}	{0,0}			1			0	0	40215	0	0		{}	{5001}					{{5,4,2,1,1}}		1801000	ActorTask/ATask_Girl002_PF03.ATask_Girl002_PF03	1
40215	里芙-行动_02	0	-1	2	40212		{{2,40214}}	{0,0}		{4001211,4001212}	1			0	0		0	0		{}	{5002}	{5001}		{{5,4,2,1,1}}		{{5,4,2,1,2}}		1801000	ActorTask/ATask_Girl002_02.ATask_Girl002_02	
40311	丽达-剧情1	2			50000			{0,0}			1			0	0	40312	0	0		{}	{5003}					{{5,4,3,1,1}}		1801000	ActorTask/ATask_Girl003_PF01.ATask_Girl003_PF01	1
40312	丽达-剧情2	2			50000		{{2,40311}}	{0,0}			1			0	0	40313	0	0		{}	{5003}					{{5,4,3,1,1}}		1801000	ActorTask/ATask_Girl003_PF02.ATask_Girl003_PF02	1
40313	妮塔-行动_01	0			40311		{{2,40312}}	{0,0}		{4001004,4001003,4001002,4001005}	1			0	0	40314	0	0	1103	{}	{5004}					{{5,4,3,1,2}}		1801000	ActorTask/ATask_Girl003_01.ATask_Girl003_01	
40314	丽达-剧情3	2			50000		{{2,40313}}	{0,0}			1			0	0	40315	0	0		{}	{5003}					{{5,4,3,1,1}}		1801000	ActorTask/ATask_Girl003_PF03.ATask_Girl003_PF03	1
40315	妮塔-行动_02	0	-1	2	40312		{{2,40314}}	{0,0}		{4001004,4001003,4001005,4002004}	1			0	0		0	0			{5004}	{5003}		{{5,4,3,1,1}}		{{5,4,3,1,2}}		1801000	ActorTask/ATask_Girl003_02.ATask_Girl003_02	
40411	普罗米-剧情1	2			50000			{0,0}			1			0	0	40412	0	0		{}	{5005}					{{5,4,4,1,1}}		1801000	ActorTask/ATask_Girl004_PF01.ATask_Girl004_PF01	1
40412	普罗米-剧情1	2			50000		{{2,40411}}	{0,0}			1			0	0	40413	0	0		{}	{5005}					{{5,4,4,1,1}}		1801000	ActorTask/ATask_Girl004_PF02.ATask_Girl004_PF02	1
40413	芙提雅-行动_01	0			40411		{{2,40412}}	{0,0}		{4001211,4001212,4001205}	1			0	0	40414	0	0	1104	{}	{5006}					{{5,4,4,1,2}}		1801000	ActorTask/ATask_Girl004_01.ATask_Girl004_01	
40414	普罗米-剧情1	2			50000		{{2,40413}}	{0,0}			1			0	0	40415	0	0		{}	{5005}					{{5,4,4,1,1}}		1801000	ActorTask/ATask_Girl004_PF03.ATask_Girl004_PF03	1
40415	芙提雅-行动_02	0	-1	2	40412		{{2,40414}}	{0,0}		{4001211,4001212}	1			0	0		0	0			{5006}	{5005}		{{5,4,4,1,1}}		{{5,4,4,1,2}}		1801000	ActorTask/ATask_Girl004_02.ATask_Girl004_02	
40511	茉莉安-剧情1	2			50000			{0,0}			1			0	0	40512	0	0		{}	{5019}					{{5,4,5,1,1}}		1801000	ActorTask/ATask_Girl051_PF01.ATask_Girl051_PF01	1
40512	茉莉安-剧情2	2			50000		{{2,40511}}	{0,0}			1			0	0	40513	0	0		{}	{5019}					{{5,4,5,1,1}}		1801000	ActorTask/ATask_Girl051_PF02.ATask_Girl051_PF02	1
40513	茉莉安-行动_01	0			40511		{{2,40512}}	{0,0}		{4001004,4001007,4002002,4001003,5002010}	1			0	0	40514	0	0	1105	{}	{5020}					{{5,4,5,1,2}}		1801000	ActorTask/ATask_Girl051_01.ATask_Girl051_01	
40514	茉莉安-剧情3	2			50000		{{2,40513}}	{0,0}			1			0	0	40515	0	0		{}	{5019}					{{5,4,5,1,1}}		1801000	ActorTask/ATask_Girl051_PF03.ATask_Girl051_PF03	1
40515	茉莉安-行动_02	0	-1	2	40512		{{2,40514}}	{0,0}		{4001007,4001003,4001004,5002010}	1			0	0		0	0		{}	{5020}	{5019}		{{5,4,5,1,1}}		{{5,4,5,1,2}}		1801000	ActorTask/ATask_Girl051_02.ATask_Girl051_02	
40521	雨燕-剧情1	2			50000			{0,0}			1			0	0	40522	0	0		{}	{5007}					{{5,4,5,2,1}}		1801000	ActorTask/ATask_Girl005_PF01.ATask_Girl005_PF01	1
40522	雨燕-剧情2	2			50000		{{2,40521}}	{0,0}			1			0	0	40523	0	0		{}	{5007}					{{5,4,5,2,1}}		1801000	ActorTask/ATask_Girl005_PF02.ATask_Girl005_PF02	1
40523	雨燕-行动_01	0			40521		{{2,40522}}	{0,0}		{4003004,4003003,4001004,4001007,4001003}	1			0	0	40524	0	0	1106	{}	{5008}					{{5,4,5,2,2}}		1801000	ActorTask/ATask_Girl005_01.ATask_Girl005_01	
40524	雨燕-剧情3	2			50000		{{2,40523}}	{0,0}			1			0	0	40525	0	0		{}	{5007}					{{5,4,5,2,1}}		1801000	ActorTask/ATask_Girl005_PF03.ATask_Girl005_PF03	1
40525	雨燕-行动_02	0	2	3	40522		{{2,40524}}	{0,0}		{4001007,4001002,4001004,4001003}	1			0	0		0	0		{}	{5008}	{5007}		{{5,4,5,2,1}}		{{5,4,5,2,2}}		1801000	ActorTask/ATask_Girl005_02.ATask_Girl005_02	
40611	晴-剧情1	2			50000			{0,0}			1			0	0	40612	0	0		{}	{5009}					{{5,4,6,1,1}}		1801000	ActorTask/ATask_Girl006_PF01.ATask_Girl006_PF01	1
40612	晴-剧情1	2			50000		{{2,40611}}	{0,0}			1			0	0	40613	0	0		{}	{5009}					{{5,4,6,1,1}}		1801000	ActorTask/ATask_Girl006_PF02.ATask_Girl006_PF02	1
40613	晴-行动_01	0			40611		{{2,40612}}	{0,0}		{4003106,4001104}	1			0	0	40614	0	0	1107		{5010}					{{5,4,6,1,2}}		1801000	ActorTask/ATask_Girl006_01.ATask_Girl006_01	
40614	晴-剧情1	2			50000		{{2,40613}}	{0,0}			1			0	0	40615	0	0		{}	{5009}					{{5,4,6,1,1}}		1801000	ActorTask/ATask_Girl006_PF03.ATask_Girl006_PF03	1
40615	晴-行动_02	0	-1	2	40612		{{2,40614}}	{0,0}		{500110901,4001108,4001105,4001103}	1			0	0		0	0		{}	{5010}	{5009}		{{5,4,6,1,1}}		{{5,4,6,1,2}}		1801000	ActorTask/ATask_Girl006_02.ATask_Girl006_02	
40711	琴诺-剧情1	2			50000			{0,0}			1			0	0	40712	0	0		{}	{5011}					{{5,4,7,1,1}}		1801000	ActorTask/ATask_Girl007_PF01.ATask_Girl007_PF01	1
40712	琴诺-剧情2	2			50000		{{2,40711}}	{0,0}			1			0	0	40713	0	0		{}	{5011}					{{5,4,7,1,1}}		1801000	ActorTask/ATask_Girl007_PF02.ATask_Girl007_PF02	1
40713	琴诺-行动_01	0			40711		{{2,40712}}	{0,0}		{4009013,4003004,4001005,4001017}	1			0	0	40714	0	0	1108	{}	{5012}					{{5,4,7,1,2}}		1801000	ActorTask/ATask_Girl007_01.ATask_Girl007_01	
40714	琴诺-剧情3	2			50000		{{2,40713}}	{0,0}			1			0	0	40715	0	0		{}	{5011}					{{5,4,7,1,1}}		1801000	ActorTask/ATask_Girl007_PF03.ATask_Girl007_PF03	1
40715	琴诺-行动_02	0	-1	2	40712		{{2,40714}}	{0,0}		{4001003,4001006,4001004,4001017}	1			0	0		0	0		{}	{5012}	{5011}		{{5,4,7,1,1}}		{{5,4,7,1,2}}		1801000	ActorTask/ATask_Girl007_02.ATask_Girl007_02	
40811	芬妮-剧情1	2			50000			{0,0}			1			0	0	40812	0	0		{}	{5013}					{{5,4,8,1,1}}		1801000	ActorTask/ATask_Girl008_PF01.ATask_Girl008_PF01	1
40812	芬妮-剧情2	2			50000		{{2,40811}}	{0,0}			1			0	0	40813	0	0		{}	{5013}					{{5,4,8,1,1}}		1801000	ActorTask/ATask_Girl008_PF02.ATask_Girl008_PF02	1
40813	芬妮-行动_01	0			40811		{{2,40812}}	{0,0}		{4001004,4001003,4001017}	1			0	0	40814	0	0	1109	{}	{5014}					{{5,4,8,1,2}}		1801000	ActorTask/ATask_Girl008_01.ATask_Girl008_01	
40814	芬妮-剧情3	2			50000		{{2,40813}}	{0,0}			1			0	0	40815	0	0		{}	{5013}					{{5,4,8,1,1}}		1801000	ActorTask/ATask_Girl008_PF03.ATask_Girl008_PF03	1
40815	芬妮-行动_02	0	-1	2	40812		{{2,40814}}	{0,0}		{4001003,4001006,4001004,4001017}	1			0	0		0	0		{}	{5014}	{5013}		{{5,4,8,1,1}}		{{5,4,8,1,2}}		1801000	ActorTask/ATask_Girl008_02.ATask_Girl008_02	
40221	狂猎-剧情1	2			50000			{0,0}			1			0	0	40222	0	0		{}	{5021}					{{5,4,2,2,1}}		1801000	ActorTask/ATask_Girl022_PF01.ATask_Girl022_PF01	1
40222	狂猎-剧情2	2			50000		{{2,40221}}	{0,0}			1			0	0	40223	0	0		{}	{5021}					{{5,4,2,2,1}}		1801000	ActorTask/ATask_Girl022_PF02.ATask_Girl022_PF02	1
40223	狂猎-行动_01	0			40221		{{2,40222}}	{0,0}		{4001211,4001212,5001207}	1			0	0	40224	0	0	1111	{}	{5022}					{{5,4,2,2,2}}		1801000	ActorTask/ATask_Girl022_01.ATask_Girl022_01	
40224	狂猎-剧情3	2			50000		{{2,40223}}	{0,0}			1			0	0	40225	0	0		{}	{5021}					{{5,4,2,2,1}}		1801000	ActorTask/ATask_Girl022_PF03.ATask_Girl022_PF03	1
40225	狂猎-行动_02	0	2	3	40222		{{2,40224}}	{0,0}		{5001207,4001211,4001212}	1			0	0		0	0		{}	{5022}	{5021}		{{5,4,2,2,1}}		{{5,4,2,2,2}}		1801000	ActorTask/ATask_Girl022_02.ATask_Girl022_02	
41011	肴-剧情1	2			50000			{0,0}			1			0	0	41012	0	0		{}	{5023}					{{5,4,10,1,1}}		1801000	ActorTask/ATask_Girl101_PF01.ATask_Girl101_PF01	1
41012	肴-剧情2	2			50000		{{2,41011}}	{0,0}			1			0	0	41013	0	0		{}	{5023}					{{5,4,10,1,1}}		1801000	ActorTask/ATask_Girl101_PF02.ATask_Girl101_PF02	1
41013	肴-剧情3	2			50000		{{2,41012}}	{0,0}			1			0	0	41014	0	0		{}	{5023}					{{5,4,10,1,1}}		1801000	ActorTask/ATask_Girl101_PF03.ATask_Girl101_PF03	1
41014	肴-行动_01	0			41011		{{2,41013}}	{0,0}		{4001211,4001212}	1			0	0	41015	0	0	1112	{}	{5024}					{{5,4,10,1,2}}		1801000	ActorTask/ATask_Girl101_01.ATask_Girl101_01	
41015	肴-剧情4	2			50000		{{2,41014}}	{0,0}			1			0	0	41016	0	0		{}	{5023}					{{5,4,10,1,1}}		1801000	ActorTask/ATask_Girl101_PF04.ATask_Girl101_PF04	1
41016	肴-行动_02	0	-1	2	41012		{{2,41015}}	{0,0}		{5001206,4001211,4001212}	1			0	0		0	0		{}	{5024}	{5023}		{{5,4,10,1,1}}		{{5,4,10,1,2}}		1801000	ActorTask/ATask_Girl101_02.ATask_Girl101_02	
41111	恩雅-剧情1	2			50000			{0,0}			1			0	0	41112	0	0		{}	{5025}					{{5,4,11,1,1}}		1801000	ActorTask/ATask_Girl111_PF01.ATask_Girl111_PF01	1
41112	恩雅-剧情2	2			50000		{{2,41111}}	{0,0}			1			0	0	41113	0	0		{}	{5025}					{{5,4,11,1,1}}		1801000	ActorTask/ATask_Girl111_PF02.ATask_Girl111_PF02	1
41113	恩雅-行动_01	0			41111		{{2,41112}}	{0,0}		{4001108,4001103,4001106,5002110}	1			0	0	41114	0	0	1113	{}	{5026}					{{5,4,11,1,2}}		1801000	ActorTask/ATask_Girl111_01.ATask_Girl111_01	
41114	恩雅-剧情3	2			50000		{{2,41113}}	{0,0}			1			0	0	41115	0	0		{}	{5025}					{{5,4,11,1,1}}		1801000	ActorTask/ATask_Girl111_PF03.ATask_Girl111_PF03	1
41115	恩雅-行动_02	0	-1	2	41112		{{2,41114}}	{0,0}		{4001106,5002110,4001108,4001102}	1			0	0		0	0		{}	{5026}	{5025}		{{5,4,11,1,1}}		{{5,4,11,1,2}}		1801000	ActorTask/ATask_Girl111_02.ATask_Girl111_02	
41211	猫汐尔-剧情1	2			50000			{0,0}			1			0	0	41212	0	0		{}	{5033}					{{5,4,12,1,1}}		1801000	ActorTask/ATask_Girl1211_PF01.ATask_Girl1211_PF01	1
41212	猫汐尔-剧情2	2			50000		{{2,41211}}	{0,0}			1			0	0	41213	0	0		{}	{5033}					{{5,4,12,1,1}}		1801000	ActorTask/ATask_Girl1211_PF02.ATask_Girl1211_PF02	1
41213	猫汐尔-剧情3	2			50000		{{2,41212}}	{0,0}			1			0	0	41214	0	0		{}	{5033}					{{5,4,12,1,1}}		1801000	ActorTask/ATask_Girl1211_PF03.ATask_Girl1211_PF03	1
41214	猫汐尔-行动_01	0			41211		{{2,41213}}	{0,0}		{4001211,4001213,5001209}	1			0	0	41215	0	0	1116	{}	{5034}					{{5,4,12,1,2}}		1801000	ActorTask/ATask_Girl1211_01.ATask_Girl1211_01	
41215	猫汐尔-剧情4	2			50000		{{2,41214}}	{0,0}			1			0	0	41216	0	0		{}	{5033}					{{5,4,12,1,1}}		1801000	ActorTask/ATask_Girl1211_PF04.ATask_Girl1211_PF04	1
41216	猫汐尔-行动_02	0	-1	2	41212		{{2,41215}}	{0,0}		{4003003,4003006,4003016,4002006,4001002,4001005,5002010}	1			0	0		0	0		{}	{5034}	{5033}		{{5,4,12,1,1}}		{{5,4,12,1,2}}		1801000	ActorTask/ATask_Girl1211_02.ATask_Girl1211_02	
41021	冬至-剧情1	2			50000			{0,0}			1			0	0	41022	0	0		{}	{5027}					{{5,4,10,2,1}}		1801000	ActorTask/ATask_Girl1021_PF01.ATask_Girl1021_PF01	1
41022	冬至-剧情2	2			50000		{{2,41021}}	{0,0}			1			0	0	41023	0	0		{}	{5027}					{{5,4,10,2,1}}		1801000	ActorTask/ATask_Girl1021_PF02.ATask_Girl1021_PF02	1
41023	冬至-剧情3	2			50000		{{2,41022}}	{0,0}			1			0	0	41024	0	0		{}	{5027}					{{5,4,10,2,1}}		1801000	ActorTask/ATask_Girl1021_PF03.ATask_Girl1021_PF03	1
41024	冬至-行动_01	0			41021		{{2,41023}}	{0,0}		{400121201,4001213,4001107,4003105,4001112,4003102,4001211,5001109}	1			0	0	41025	0	0	1117	{}	{5028}					{{5,4,10,2,2}}		1801000	ActorTask/ATask_Girl1021_01.ATask_Girl1021_01	
41025	冬至-剧情4	2			50000		{{2,41024}}	{0,0}			1			0	0	41026	0	0		{}	{5027}					{{5,4,10,2,1}}		1801000	ActorTask/ATask_Girl1021_PF04.ATask_Girl1021_PF04	1
41026	冬至-行动_02	0	2	3	41022		{{2,41025}}	{0,0}		{4001211,4001212,4001213,4001107,4003105,4001112,4003102,5001209}	1			0	0		0	0		{}	{5028}	{5027}		{{5,4,10,2,1}}		{{5,4,10,2,2}}		1801000	ActorTask/ATask_Girl1021_02.ATask_Girl1021_02	
41027	咎冠-剧情1	2			50000			{0,0}			1			0	0	41028	0	0		{}	{5029}					{{5,4,8,2,1}}		1801000	ActorTask/ATask_Girl1821_PF01.ATask_Girl1821_PF01	1
41028	咎冠-剧情2	2			50000		{{2,41027}}	{0,0}			1			0	0	41029	0	0		{}	{5029}					{{5,4,8,2,1}}		1801000	ActorTask/ATask_Girl1821_PF02.ATask_Girl1821_PF02	1
41029	咎冠-行动_01	0			41023		{{2,41028}}	{0,0}		{4001005,4003003,4003006,4003103,4001108,4001107,4001212,5001207}	1			0	0	41030	0	0	1118	{}	{5030}					{{5,4,8,2,2}}		1801000	ActorTask/ATask_Girl1821_01.ATask_Girl1821_01	
41030	咎冠-剧情3	2			50000		{{2,41029}}	{0,0}			1			0	0	41031	0	0		{}	{5029}					{{5,4,8,2,1}}		1801000	ActorTask/ATask_Girl1821_PF03.ATask_Girl1821_PF03	1
41031	咎冠-行动_02	0	2	3	41024		{{2,41030}}	{0,0}		{5001214,5001205,4001211,4001212,4001213}	1			0	0		0	0		{}	{5030}	{5029}		{{5,4,8,2,1}}		{{5,4,8,2,2}}		1801000	ActorTask/ATask_Girl1821_02.ATask_Girl1821_02	
40421	缄默-剧情1	2			50000			{0,0}			1			0	0	40422	0	0		{}	{5035}					{{5,4,4,2,1}}		1801000	ActorTask/ATask_Girl0421_PF01.ATask_Girl0421_PF01	1
40422	缄默-剧情2	2			50000		{{2,40421}}	{0,0}			1			0	0	40423	0	0		{}	{5035}					{{5,4,4,2,1}}		1801000	ActorTask/ATask_Girl0421_PF02.ATask_Girl0421_PF02	1
40423	缄默-行动_01	0			40421		{{2,40422}}	{0,0}		{4001211,4001213,4001212,5001101}	1			0	0	40424	0	0	1114	{}	{5036}					{{5,4,4,2,2}}		1801000	ActorTask/ATask_Girl0421_01.ATask_Girl0421_01	
40424	缄默-剧情3	2			50000		{{2,40423}}	{0,0}			1			0	0	40425	0	0		{}	{5035}					{{5,4,4,2,1}}		1801000	ActorTask/ATask_Girl0421_PF03.ATask_Girl0421_PF03	1
40425	缄默-行动_02	0	2	3	40422		{{2,40424}}	{0,0}		{4001213,5001207,5001205,4001212,4001211}	1			0	0		0	0		{}	{5036}	{5035}		{{5,4,4,2,1}}		{{5,4,4,2,2}}		1801000	ActorTask/ATask_Girl0421_02.ATask_Girl0421_02	
40121	辉夜-剧情1	2			50000			{0,0}			1			0	0	40122	0	0		{}	{5031}					{{5,4,1,2,1}}		1801000	ActorTask/ATask_Girl0121_PF01.ATask_Girl0121_PF01	1
40122	辉夜-剧情2	2			50000		{{2,40121}}	{0,0}			1			0	0	40123	0	0		{}	{5031}					{{5,4,1,2,1}}		1801000	ActorTask/ATask_Girl0121_PF02.ATask_Girl0121_PF02	1
40123	辉夜-行动_01	0			40121		{{2,40122}}	{0,0}		{4001213,4001212,5001214}	1			0	0	40124	0	0	1115	{}	{5032}					{{5,4,1,2,2}}		1801000	ActorTask/ATask_Girl0121_01.ATask_Girl0121_01	
40124	辉夜-剧情3	2			50000		{{2,40123}}	{0,0}			1			0	0	40125	0	0		{}	{5031}					{{5,4,1,2,1}}		1801000	ActorTask/ATask_Girl0121_PF03.ATask_Girl0121_PF03	1
40125	辉夜-行动_02	0	2	3	40122		{{2,40124}}	{0,0}		{4001211,4001212,4001213,5001207}	1			0	0		0	0		{}	{5032}	{5031}		{{5,4,1,2,1}}		{{5,4,1,2,2}}		1801000	ActorTask/ATask_Girl0121_02.ATask_Girl0121_02	
41411	姬辰星-剧情1	2			50000			{0,0}			1			0	0	41412	0	0		{}	{5037}					{{5,4,14,1,1}}		1801000	ActorTask/ATask_Girl11411_PF01.ATask_Girl11411_PF01	1
41412	姬辰星-剧情2	2			50000		{{2,41411}}	{0,0}			1			0	0	41413	0	0		{}	{5037}					{{5,4,14,1,1}}		1801000	ActorTask/ATask_Girl11411_PF02.ATask_Girl11411_PF02	1
41413	姬辰星-行动_01	0			41025		{{2,41412}}	{0,0}		{4001213,4001212,4001211,5002208}	1			0	0	41414	0	0	1119	{}	{5038}					{{5,4,14,1,2}}		1801000	ActorTask/ATask_Girl11411_01.ATask_Girl11411_01	
41414	姬辰星-剧情3	2			50000		{{2,41413}}	{0,0}			1			0	0	41415	0	0		{}	{5037}					{{5,4,14,1,1}}		1801000	ActorTask/ATask_Girl11411_PF03.ATask_Girl11411_PF03	1
41415	姬辰星-行动_02	0	-1	2	41026		{{2,41414}}	{0,0}		{4001212,4001213,5002208}	1			0	0		0	0		{}	{5038}	{5037}		{{5,4,14,1,1}}		{{5,4,14,1,2}}		1801000	ActorTask/ATask_Girl11411_02.ATask_Girl11411_02	
41421	云篆-剧情1	2			50000			{0,0}			1			0	0	41422	0	0		{}	{5041}					{{5,4,14,2,1}}		1801000	ActorTask/ATask_Girl11421_PF01.ATask_Girl11421_PF01	1
41422	云篆-剧情2	2			50000		{{2,41421}}	{0,0}			1			0	0	41423	0	0		{}	{5041}					{{5,4,14,2,1}}		1801000	ActorTask/ATask_Girl11421_PF02.ATask_Girl11421_PF02	1
41423	云篆-行动_01	0			41027		{{2,41422}}	{0,0}		{4001017,6001002}	1			0	0	41424	0	0	1121	{}	{5042}					{{5,4,14,2,2}}		1801000	ActorTask/ATask_Girl11421_01.ATask_Girl11421_01	
41424	云篆-剧情3	2			50000		{{2,41423}}	{0,0}			1			0	0	41425	0	0		{}	{5041}					{{5,4,14,2,1}}		1801000	ActorTask/ATask_Girl11421_PF03.ATask_Girl11421_PF03	1
41425	云篆-行动_02	0	2	3	41028		{{2,41424}}	{0,0}		{4002007,4002004,4001005}	1			0	0		0	0		{}	{5042}	{5041}		{{5,4,14,2,1}}		{{5,4,14,2,2}}		1801000	ActorTask/ATask_Girl11421_02.ATask_Girl11421_02	
41311	瑟瑞斯-剧情1	2			50000			{0,0}			1			0	0	41312	0	0		{}	{5039}					{{5,4,13,1,1}}		1801000	ActorTask/ATask_Girl11311_PF01.ATask_Girl11311_PF01	1
41312	瑟瑞斯-剧情2	2			50000		{{2,41311}}	{0,0}			1			0	0	41313	0	0		{}	{5039}					{{5,4,13,1,1}}		1801000	ActorTask/ATask_Girl11311_PF02.ATask_Girl11311_PF02	1
41313	瑟瑞斯-行动_01	0			41029		{{2,41312}}	{0,0}		{4001213,4001212,5001207,4001211}	1			0	0	41314	0	0	1120	{}	{5040}					{{5,4,13,1,2}}		1801000	ActorTask/ATask_Girl11311_01.ATask_Girl11311_01	
41314	瑟瑞斯-剧情3	2			50000		{{2,41313}}	{0,0}			1			0	0	41315	0	0		{}	{5039}					{{5,4,13,1,1}}		1801000	ActorTask/ATask_Girl11311_PF03.ATask_Girl11311_PF03	1
41315	瑟瑞斯-行动_02	0	-1	2	41030		{{2,41314}}	{0,0}		{4001211,4001212,4001213}	1			0	0		0	0		{}	{5040}	{5039}		{{5,4,13,1,1}}		{{5,4,13,1,2}}		1801000	ActorTask/ATask_Girl11311_02.ATask_Girl11311_02	
41621	藏锋-剧情1	2			50000			{0,0}			1			0	0	41622	0	0		{}	{5043}					{{5,4,6,2,1}}		1801000	ActorTask/ATask_Girl1621_PF01.ATask_Girl1621_PF01	1
41622	藏锋-剧情2	2			50000		{{2,41621}}	{0,0}			1			0	0	41623	0	0		{}	{5043}					{{5,4,6,2,1}}		1801000	ActorTask/ATask_Girl1621_PF02.ATask_Girl1621_PF02	1
41623	藏锋-行动01	0			41623		{{2,41622}}	{0,0}		{4001211,4001212,4001215,4001213,5001206}	1			0	0	41624	0	0	1621	{}	{5044}					{{5,4,6,2,2}}		1801000	ActorTask/ATask_Girl1621_01.ATask_Girl1621_01	
41624	藏锋-剧情3	2			50000		{{2,41623}}	{0,0}			1			0	0	41625	0	0		{}	{5044}					{{5,4,6,2,2}}		1801000	ActorTask/ATask_Girl1621_PF03.ATask_Girl1621_PF03	1
41625	藏锋-剧情4	2			50000		{{2,41624}}	{0,0}			1			0	0	41626	0	0		{}	{5043}					{{5,4,6,2,1}}		1801000	ActorTask/ATask_Girl1621_PF04.ATask_Girl1621_PF04	1
41626	藏锋-行动02	0	2	3	41626		{{2,41625}}	{0,0}		{4001211,4001212,4001215,4001213}	1			0	0		0	0		{}	{5044}	{5043}		{{5,4,6,2,1}}		{{5,4,6,2,2}}		1801000	ActorTask/ATask_Girl1621_02.ATask_Girl1621_02	
41627	猫汐尔-溯影-剧情1	2			50000			{0,0}			1			0	0	41628	0	0		{}	{5045}					{{5,4,12,2,1}}		1801000	ActorTask/ATask_Girl11221_PF01.ATask_Girl11221_PF01	1
41628	猫汐尔-溯影-剧情2	2			50000		{{2,41627}}	{0,0}			1			0	0	41629	0	0		{}	{5045}					{{5,4,12,2,1}}		1801000	ActorTask/ATask_Girl11221_PF02.ATask_Girl11221_PF02	1
41629	猫汐尔-溯影-行动01	0			41629		{{2,41628}}	{0,0}		{4001004,4001006,4001003,4001017}	1			0	0	41630	0	0	1622	{}	{5046}					{{5,4,12,2,2}}		1801000	ActorTask/ATask_Girl11221_01.ATask_Girl11221_01	
41630	猫汐尔-溯影-剧情3	2			50000		{{2,41629}}	{0,0}			1			0	0	41631	0	0		{}	{5045}					{{5,4,12,2,1}}		1801000	ActorTask/ATask_Girl11221_PF03.ATask_Girl11221_PF03	1
