ID（不可重复）	困难等级(1 普通)	角色	解锁条件（1 账号等级 2 前置关卡 3 获得某个道具 35 角色不为限时体验角色）	关卡列表	星级奖励 {{10,{{G,D,P,L,N},{G,D,P,L,N}}},{20,{{G,D,P,L,N},{G,D,P,L,N}}}}	开放时间	结束时间	类型（1:SR 2:SSR）	积分限制（只在第一行配总次数限制）	活动内容（1双倍掉落 2）	碎片从哪个活动来(填活动ID)	拼图活动期数	是否获取后再显示（填1为获取后显示）	角色
11811	1	{1,18,1,1}	{{3,1,18,1,1}}	{41675,41676,41677,41678,41679,41680}		[202408221000]	[209909191400]	2						龙舌兰
1531	1	{1,5,3,1}	{{3,1,5,3,1}}	{41681,41682,41683,41684,41685}		[202409260400]	[209909191400]	2						茉莉安·幽潮
11521	1	{1,15,2,1}	{{3,1,15,2,1}}	{41686,41687,41688,41689,41690,41691}		[202409260400]	[209909191400]	2						凯茜娅·朝翼
1431	1	{1,4,3,1}	{{3,1,4,3,1}}	{41692,41693,41694,41695,41696}		[202411071000]	[209909191400]	2						芙提雅
12011	1	{1,20,1,1}	{{3,1,20,1,1}}	{41697,41698,41699,41700,41701}		[202011071000]	[209909191400]	2						卜卜
11031	1	{1,10,3,1}	{{3,1,10,3,1}}	{41702,41703,41704,41705,41706}		[202502061000]	[209909191400]	2						肴-夜天光
11431	1	{1,14,3,1}	{{3,1,14,3,1}}	{41707,41708,41709,41710,41711}		[202501230400]	[209909191400]	2						辰星-琼弦
11131	1	{1,11,3,1}	{{3,1,11,3,1}}	{41712,41713,41714,41715,41716}		[202503061000]	[209909191400]	2						恩雅澜风
1321	1	{1,3,2,1}	{{3,1,3,2,1}}	{41717,41718,41719}		[202505011000]	[209909191400]	2			283		1	妮塔-悸响
12111	1	{1,21,1,1}	{{3,1,21,1,1}}	{41720,41721,41722,41723,41724,41725}		[202504170400]	[209909191400]	2						奈莉德
11821	1	{1,18,2,1}	{{3,1,18,2,1}}	{41726,41727,41728,41729,41730}		[202003061000]	[209909191400]	2						薇蒂雅天鹅座
11721	1	{1,17,2,1}	{{3,1,17,2,1}}	{41731,41732,41733,41734,41735}		[202507241000]	[209909191400]	2						苔丝绮幻
11531	1	{1,15,3,1}	{{3,1,15,3,1}}	{41736,41737,41738,41739,41740}		[202507100400]	[209909191400]	2						凯茜娅狂诗
12211	1	{1,22,1,1}	{{3,1,22,1,1}}	{41741,41742,41743,41744,41745}		[202508211000]	[209909191400]	2						克罗瑞娜
1841	1	{1,8,4,1}	{{3,1,8,4,1}}	{41746,41747,41748,41749,41750}		[202407110400]	[209909191400]	2						芬妮-澄意
11331	1	{1,13,3,1}	{{3,1,13,3,1}}	{41751,41752,41753,41754,41755}		[202405301000]	[209909191400]	2						瑟瑞斯悠游
12311	1	{1,23,1,1}	{{3,1,23,1,1}}	{41756,41757,41758,41759,41760}		[202511060400]	[209909191400]	2						米娅
1631	1	{1,6,3,1}	{{3,1,6,3,1}}	{41761,41762,41763}		[202511271000]	[209909191400]	2				1		晴.霆光
12021	1	{1,20,2,1}	{{3,1,20,2,1}}	{41764,41766,41765,41767,41768}		[202512180400]	[209909191400]	2						卜卜灵鉴
11231	1	{1,12,3,1}	{{3,1,12,3,1}}	{41769,41770,41771}		[202601011000]	[209909191400]	2				2		猫汐尔莲驱
1541	1	{1,5,4,1}	{{3,1,5,4,1}}	{41772,41773,41774,41775,41776}		[202602121000]	[209909191400]	2						茉莉安·宵鹰
1131	1	{1,1,3,1}	{{3,1,1,3,1}}	{41777,41778,41779,41780,41781,41782}		[202601290400]	[209909191400]	2						安卡希雅-时之重奏
12411	1	{1,24,1,1}	{{3,1,24,1,1}}	{41783,41784,41785,41786,41787}		[202605080400]	[209909191400]	2						胧嫣
1441	1	{1,4,4,1}	{{3,1,4,4,1}}	{41788,41789,41790}		[202605221000]	[209909191400]	2				3		芙提雅炬芯
1241	1	{1,2,4,1}	{{3,1,2,4,1}}	{41791,41792,41793,41794,41795}		[202407110400]	[209909191400]	2						里芙
11041	1	{1,10,4,1}	{{3,1,10,4,1}}	{41796,41797,41798}		[202502061000]	[209909191400]	2				4		肴
