id	名字	npc类型	模块的npcId	衣服id	类型2d/3d	模型缩放	角色Id	身体蓝图	脸部蓝图	身体和谐	最大转头数值限制	Spine图集	Spine骨骼
girl001	T安卡希雅	house	1		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskNpc001/BP_TaskNpc001.BP_TaskNpc001_C'	Blueprint'/Game/Blueprints/Plot/Character/TaskNpc001/Head/BP_Girl001_Head_Preview_Cartoon_01.BP_Girl001_Head_Preview_Cartoon_01_C'				
girl003	T妮塔	house	3		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskNpc003/BP_TaskNpc003.BP_TaskNpc003_C'	Blueprint'/Game/Blueprints/Plot/Character/TaskNpc003/Head/BP_Girl003_Head_Preview_Cartoon_01.BP_Girl003_Head_Preview_Cartoon_01_C'				
girl004b	T芙提雅驰掣	house	4		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskNpc004b/BP_TaskNpc004b.BP_TaskNpc004b_C'	Blueprint'/Game/Blueprints/Plot/Character/TaskNpc004b/Head/BP_Girl004b_Head_Preview_Cartoon_01.BP_Girl004b_Head_Preview_Cartoon_01_C'	SkeletalMesh'/Game/Characters/Girl/girl004b/girl004b_h_skm_a.girl004b_h_skm_a			
girl006a	T晴藏锋	house	6		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskNpc006a/BP_TaskNpc006a.BP_TaskNpc006a_C'	Blueprint'/Game/Blueprints/Plot/Character/TaskNpc006a/Head/BP_Girl006_Head_Preview_Cartoon_01.BP_Girl006_Head_Preview_Cartoon_01_C'				
girl007	T琴诺	house	7		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskNpc007/BP_TaskNpc007.BP_TaskNpc007_C'	Blueprint'/Game/Blueprints/Plot/Character/TaskNpc007/Head/BP_Girl007_Head_Preview_Cartoon_01.BP_Girl007_Head_Preview_Cartoon_01_C'				
girl011a	T恩雅羽蜕	house	11		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskNpc011a/BP_TaskNpc011a.BP_TaskNpc011a_C'	Blueprint'/Game/Blueprints/Plot/Character/TaskNpc011a/Head/BP_Girl011_Head_Preview_Cartoon_01.BP_Girl011_Head_Preview_Cartoon_01_C'				
girl015	T凯茜娅	house	15		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskNpc015/BP_TaskNpc015.BP_TaskNpc015_C'	Blueprint'/Game/Blueprints/Plot/Character/TaskNpc015/Head/BP_Girl015_Head_Preview_Cartoon_01.BP_Girl015_Head_Preview_Cartoon_01_C'	SkeletalMesh'/Game/Characters/Girl/girl015/girl015_body01_skm_a.girl015_body01_skm_a			
girl017	T苔丝	house	17		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskNpc017/BP_TaskNpc017.BP_TaskNpc017_C'	Blueprint'/Game/Blueprints/Plot/Character/TaskNpc017/Head/BP_Girl017_Head_Preview_Cartoon_01.BP_Girl017_Head_Preview_Cartoon_01_C'				
													
													
girl003_01a	W妮塔	house	3		3d			Blueprint'/Game/Blueprints/House/Character/npc003/BP_HouseNpc3_Suit60.BP_HouseNpc3_Suit60_C'	Blueprint'/Game/Blueprints/Plot/Character/HotSpring_Npc003_01a/Head/BP_Girl003_01aHead_Preview_Cartoon_01.BP_Girl003_01aHead_Preview_Cartoon_01_C'	SkeletalMesh'/Game/Characters/Girl/girl003_01a/girl003_01a_body01_skm_a.girl003_01a_body01_skm_a'			
girl010_01a	W肴	house	10		3d			Blueprint'/Game/Blueprints/House/Character/npc010/BP_HouseNpc10_Suit60.BP_HouseNpc10_Suit60_C'	Blueprint'/Game/Blueprints/Plot/Character/HotSpring_Npc010_01a/Head/BP_Girl010_01aHead_Preview_Cartoon_01.BP_Girl010_01aHead_Preview_Cartoon_01_C'	SkeletalMesh'/Game/Characters/Girl/girl010_01a/girl010_01a_body01_skm_a.girl010_01a_body01_skm_a'			
girl014_01a	W姬辰星	house	14		3d			Blueprint'/Game/Blueprints/House/Character/npc014/BP_HouseNpc14_Suit60.BP_HouseNpc14_Suit60_C'	Blueprint'/Game/Blueprints/Plot/Character/HotSpring_Npc014_01a/Head/BP_Girl014_01aHead_Preview_Cartoon_01.BP_Girl014_01aHead_Preview_Cartoon_01_C'	SkeletalMesh'/Game/Characters/Girl/girl014_01a/girl014_01a_body01_skm_a.girl014_01a_body01_skm_a'			
girl020a_02	A魔法卜卜	accom	20		3d		122002						
girl021a_02	A礼服奈丽德	accom	21		3d		122102						
													
girl010_01a_wq	W肴	house	10		3d		101000	Blueprint'/Game/Blueprints/Plot/Character/HotSpring_Npc010_01a/BP_HotSpring_Npc010_01a.BP_HotSpring_Npc010_01a_C'	Blueprint'/Game/Blueprints/Plot/Character/HotSpring_Npc010_01a/Head/BP_Girl010_01a_wq_Head_Preview_Cartoon.BP_Girl010_01a_wq_Head_Preview_Cartoon_C'	SkeletalMesh'/Game/Characters/Girl/girl010_01a/girl010_01a_body01_skm_a.girl010_01a_body01_skm_a			
girl014_01a_wq	W姬辰星	house	14		3d		101400	Blueprint'/Game/Blueprints/Plot/Character/HotSpring_Npc014_01a/BP_HotSpring_Npc014_01a.BP_HotSpring_Npc014_01a_C'	Blueprint'/Game/Blueprints/Plot/Character/HotSpring_Npc014_01a/Head/BP_Girl014_01a_wq_Head_Preview_Cartoon.BP_Girl014_01a_wq_Head_Preview_Cartoon_C'	SkeletalMesh'/Game/Characters/Girl/girl014_01a/girl014_01a_body01_skm_a.girl014_01a_body01_skm_a			
													
													
girl10a_03	O肴	house	10		3d			Blueprint'/Game/Blueprints/House/Character/ow010a_03/BP_ow010a_03.BP_ow010a_03_C'	Blueprint'/Game/Blueprints/House/Character/ow010a_03/Head/BP_Girl010_Head_Preview_Cartoon_01.BP_Girl010_Head_Preview_Cartoon_01_C'				
girl11_02	O恩雅	house	11		3d			Blueprint'/Game/Blueprints/House/Character/ow011_02/BP_ow011_02.BP_ow011_02_C'	Blueprint'/Game/Blueprints/House/Character/ow011_02/Head/BP_Girl011_Head_Preview_Cartoon_01.BP_Girl011_Head_Preview_Cartoon_01_C'				
girl12a_02	O猫汐尔	house	12		3d			Blueprint'/Game/Blueprints/House/Character/ow012a_02/BP_ow012a_02.BP_ow012a_02_C'	Blueprint'/Game/Blueprints/House/Character/ow012a_02/Head/BP_Girl012_Head_Preview_Cartoon_01.BP_Girl012_Head_Preview_Cartoon_01_C'				
girl14a_03	O辰星	house	14		3d			Blueprint'/Game/Blueprints/House/Character/ow014a_03/BP_ow014a_03.BP_ow014a_03_C'	Blueprint'/Game/Blueprints/House/Character/ow014a_03/Head/BP_Girl014_Head_Preview_Cartoon_01.BP_Girl014_Head_Preview_Cartoon_01_C'				
													
													
dlc2.npc202	O研究员	item			3d								
dlc2.npc403	O卡罗琳	item			3d								
dlc2.npc408	O安全部干员023	item			3d								
dlc2.npc401_1	O安全部干员817	item			3d								
dlc2.npc401_2	O安全部干员818	item			3d								
													
													
dlc3_npc406	O谜之无人机	item	406		3d								
dlc3_npc406_02	O谜之无人机2	item	406_02		3d								
dlc3_npc406_03	O谜之无人机3	item	406_03		3d								
dlc3_npc_interaction	？？？	item	407		3d								
dlc3_npc_interaction_2	互动触摸板	item	408		3d								
													
													
dlc5_TalkNpc_01	T被救的队友	item			3d								
													
dlc6_TalkNpc_01	T融合士兵	npc	20		3d								
dlc6_TalkNpc_02	T奥米茄亲卫	npc	21		3d								
dlc6_TalkNpc_03	T巴伦支仪器间谍	npc	22		3d								
dlc6_TalkNpc_04	T融合士兵	npc	23		3d								
dlc6_TalkNpc_05	T融合士兵	npc	24		3d								
													
dlc7_TalkNpc_01	T惊慌失措的男人	npc	25		3d								
dlc7_TalkNpc_02	T精神崩溃的女人	npc	26		3d								
dlc7_TalkNpc_03	T正在祈祷的男人	npc	27		3d								
													
dlc12_TalkNpc_01	T本地村民甲	npc	28		3d								
dlc12_TalkNpc_02	T恐惧的村民	npc	29		3d								
dlc12_TalkNpc_03	T疯癫的村民	npc	30		3d								
dlc12_TalkNpc_04	T慌乱的村民	npc	31		3d								
													
dlc25_TalkNpc_01	T新星开拓安保士兵	npc	32		3d								
dlc25_TalkNpc_02	T新星开拓被救士兵	npc	33		3d								
dlc25_TalkNpc_03	T新星开拓村民	npc	34		3d								
dlc25_TalkNpc_04	T尖尖头	npc	35		3d								
dlc25_TalkNpc_05	T方脑壳	npc	36		3d								
dlc25_TalkNpc_06	T尖尖头	npc	37		3d								
													
dlc27_TalkNpc_51	T葫芦	npc	51		3d								
dlc27_TalkNpc_52	T机器人	npc	52		3d								
													
dlc30_TalkNpc_01	T拉面仙人	item	1001		3d								
dlc30_TalkNpc_02	T尖尖耳	item	1002		3d			Blueprint'/Game/Blueprints/LevelTask/Extend/Pal/Build/BuildNpc.BuildNpc_C'					
dlc30_TalkNpc_03	T巡逻机器人	item	1003		3d								
dlc30_TalkNpc_04	T神秘球	item	1004		3d								
dlc30_TalkNpc_05	T透墨索斯	item	1005		3d								
dlc30_TalkNpc_06	T夏克威弗	item	1006		3d			Blueprint'/Game/Blueprints/LevelTask/Extend/Pal/Build/beachmanager3_1.beachmanager3_1_C'					
dlc30_TalkNpc_07	T卡比	item	1007		3d			Blueprint'/Game/Blueprints/LevelTask/Extend/Pal/Build/Tourists3_3.Tourists3_3_C'					
dlc30_TalkNpc_08	T卡洛提斯	item	1008		3d								
dlc30_TalkNpc_09	T沃诺	item	1009		3d								
dlc30_TalkNpc_10	T戈迪尔	item	1010		3d								
dlc30_TalkNpc_11	T林德拉	item	1011		3d								
dlc30_TalkNpc_12	T埃勒奥斯	item	1012		3d								
dlc30_TalkNpc_13	T乌尔贡	item	1013		3d								
dlc30_TalkNpc_14	T安卡希雅的赠礼	item	1014		3d			Blueprint'/Game/Blueprints/LevelTask/Extend/Pal/Build/cric4_1.cric4_1_C'					
NormalNpc_001	芙提雅小黄车	item	1015		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskItem001/NormalNpc_001.NormalNpc_001_C'					
NormalNpc_002	巨大礼物盒	item	1016		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskItem002/NormalNpc_002.NormalNpc_002_C'					
NormalNpc_003	小小礼物盒	item	1017		3d			Blueprint'/Game/Blueprints/Plot/Character/TaskItem003/NormalNpc_003.NormalNpc_003_C'					
													
													
spine01	测试Spine	spine			2d	0.5						/Game/Spine/Hero/Girl001/sp_girl001.sp_girl001-atlas	/Game/Spine/Hero/Girl001/sp_girl001.sp_girl001-data
spine_girl002a_q	Q狂猎	spine			2d							SpineAtlasAsset'/Game/Spine/Hero/Girl002a_01_q/sp_girl002a_01_q.sp_girl002a_01_q-atlas'	SpineSkeletonDataAsset'/Game/Spine/Hero/Girl002a_01_q/sp_girl002a_01_q.sp_girl002a_01_q-data'
spine_girl005a_q	Q雨燕	spine			2d							SpineAtlasAsset'/Game/Spine/Hero/Girl005a_01_q/sp_girl005a_01_q.sp_girl005a_01_q-atlas'	SpineSkeletonDataAsset'/Game/Spine/Hero/Girl005a_01_q/sp_girl005a_01_q.sp_girl005a_01_q-data'
spine_girl008a_q	Q咎冠	spine			2d							SpineAtlasAsset'/Game/Spine/Hero/Girl008a_01_q/sp_girl008a_01_q.sp_girl008a_01_q-atlas'	SpineSkeletonDataAsset'/Game/Spine/Hero/Girl008a_01_q/sp_girl008a_01_q.sp_girl008a_01_q-data'
spine_player002_q	Q分析员	spine			2d							SpineAtlasAsset'/Game/Spine/Hero/Npc405_01_q/npc405_01_q.npc405_01_q-atlas'	SpineSkeletonDataAsset'/Game/Spine/Hero/Npc405_01_q/npc405_01_q.npc405_01_q-data'
													
													
itemtest1	物件测试	item			3d			Blueprint'/Game/Blueprints/House/InteractItems/TestHouseConsole.TestHouseConsole_C					
itemtest2	物件测试	item			3d			/Game/Environment/09House/house_hall001_wj028/house_hall001_wj028_02_sm.house_hall001_wj028_02_sm					
item001	跑步机	item			3d			Blueprint'/Game/Blueprints/House/Furniture/girl004/house_girl004_interact009_01_bp.house_girl004_interact009_01_bp'					
item002	白色抱枕	item			3d			StaticMesh'/Game/Environment/09House/house_hall001_wj003/house_hall001_wj003_05_sm.house_hall001_wj003_05_sm'					
item003	蓝色咖啡杯	item			3d			StaticMesh'/Game/Environment/09House/house_hall001_interact001/house_hall001_interact001_01_sm.house_hall001_interact001_01_sm'					
item004	杯托盘	item			3d			StaticMesh'/Game/Environment/09House/house_hall001_interact002/house_hall001_interact002_01_sm.house_hall001_interact002_01_sm'					
item005	茶匙	item			3d			StaticMesh'/Game/Environment/09House/house_hall001_interact003/house_hall001_interact003_01_sm.house_hall001_interact003_01_sm'					
item006	方糖夹	item			3d			StaticMesh'/Game/Environment/09House/house_hall001_interact003/house_hall001_interact003_02_sm.house_hall001_interact003_02_sm'					
item007	红色调料瓶	item			3d			StaticMesh'/Game/Environment/09House/house_girl007_interact005/house_girl007_interact005_01_sm.house_girl007_interact005_01_sm'					
item008	白色调料瓶	item			3d			StaticMesh'/Game/Environment/09House/house_girl007_interact005/house_girl007_interact005_03_sm.house_girl007_interact005_03_sm'					
item009	黄色调料瓶	item			3d			StaticMesh'/Game/Environment/09House/house_girl007_interact005/house_girl007_interact005_02_sm.house_girl007_interact005_02_sm'					
item010	跑步机	item			3d			StaticMesh'/Game/Environment/09House/house_girl002_solo006/house_girl002_solo006_01_sm.house_girl002_solo006_01_sm'					
item011	泡面盒打开	item			3d			StaticMesh'/Game/Environment/09House/house_girl001_interact012/house_girl001_interact012_02_sm.house_girl001_interact012_02_sm'					
item012	可乐	item			3d			StaticMesh'/Game/Environment/09House/house_girl001_interact015/house_girl001_interact015_01_sm.house_girl001_interact015_01_sm'					
item013	热水壶	item			3d			StaticMesh'/Game/Environment/09House/house_hall001_wj025/house_hall001_wj025_02_sm.house_hall001_wj025_02_sm'					
item014	薯片	item			3d			StaticMesh'/Game/Environment/09House/house_girl001_interact016/house_girl001_interact016_01_sm.house_girl001_interact016_01_sm'					
item015	马卡龙	item			3d			StaticMesh'/Game/Environment/09House/house_girl008_interact007/house_girl008_interact007_07_sm.house_girl008_interact007_07_sm'					
item016	甜甜圈	item			3d			StaticMesh'/Game/Environment/09House/house_girl008_interact007/house_girl008_interact007_08_sm.house_girl008_interact007_08_sm'					
item017	拿破仑	item			3d			StaticMesh'/Game/Environment/09House/house_girl008_interact007/house_girl008_interact007_09_sm.house_girl008_interact007_09_sm'					
item018	草莓蛋糕	item			3d			StaticMesh'/Game/Environment/09House/house_girl008_interact007/house_girl008_interact007_10_sm.house_girl008_interact007_10_sm'					
item019	豆腐饭	item			3d			StaticMesh'/Game/Environment/09House/house_girl007_interact009/house_girl007_interact009_01_sm.house_girl007_interact009_01_sm'					
item020	蘸碟	item			3d			StaticMesh'/Game/Environment/09House/house_girl007_interact009/house_girl007_interact009_04_sm.house_girl007_interact009_04_sm'					
item021	扫地机器人	item			3d			StaticMesh'/Game/Environment/09House/house_girl001_solo004/house_girl001_solo004_01_sm.house_girl001_solo004_01_sm'					
item022	猫汐尔天平桌	item			3d			StaticMesh'/Game/Environment/09House/house_girl012_interact004/house_girl012_interact004_01_sm.house_girl012_interact004_01_sm'					
item023	猫汐尔天平	item			3d			StaticMesh'/Game/Environment/09House/house_girl012_interact004/house_girl012_interact004_02_sm.house_girl012_interact004_02_sm'					
													
													
													
10001	全员	text											
10002	莫尔索	text											
10003	卡罗琳	text											
10005	恒沙	text											
10006	超能战士妮塔	text											
10007	？？？	text											
10008	密室AI	text											
10009	众人	text											
