ID（13+枪械类型（1冲锋枪；2狙击枪；3霰弹枪；4手枪；5突击步枪；6弩）+编号参数（xxxxx)	//注释	定义（11=后勤 12=角色 13=武器 14=武器配件）	Logo	图标200*200	图标130*130	武器大图	枪厂背景
13110030	枯萎蔓延	13	140030600	140102902	140102904	140102901	140030601
13110031	瑰翼	13	140030700	140103002	140103004	140103001	140030701
13110032	冲锋枪SR临时	13	140030300	140103202	140103204	140103201	140030301
13110033	冲锋枪SSR临时	13	140030400	140103102	140103104	140103101	140030401
13110034	3.5冲锋枪SR临时	13	140030300	140103302	140103304	140103301	140030301
13110035	3.5冲锋枪SSR临时	13	140030300	140103402	140103404	140103401	140030301
							
13210001	初勇者	13	140030100	140200002	140200004	140200001	140030101
13210002	冬青木	13	140030400	140200402	140200404	140200401	140030401
13210003	深海呼唤	13	140030100	140200602	140200604	140200601	140030101
13210004	奥林匹斯	13	140030100	140200702	140200704	140200701	140030101
13210005	喧哗现场	13	140030100	140200202	140200204	140200201	140030101
13210006	黄蜂	13	140030100	140200102	140200104	140200101	140030101
13210007	湖中女神	13	140030400	140200802	140200804	140200801	140030401
13210008	甜甜灵魂	13	140030400	140201002	140201004	140201001	140030401
13210009	现代文明	13	140030400	140200902	140200904	140200901	140030401
13210010	朗姆风暴	13	140030200	140201202	140201204	140201201	140030201
13210011	虎鲸号角	13	140030100	140200302	140200304	140200301	140030101
13210012	夹心巧克力	13	140030400	140201102	140201104	140201101	140030401
13210013	太空骑手	13	140030200	140201302	140201304	140201301	140030201
13210014	钢之白桦林	13	140030600	140201402	140201404	140201401	140030601
13210015	魅惑爪痕	13	140030300	140200502	140200504	140200501	140030301
13210016	炙热年代	13	140030600	140201602	140201604	140201601	140030601
13210017	迷乱迪斯科	13	140030600	140201502	140201504	140201501	140030601
13210018	湿地公园	13	140030200	140201702	140201704	140201701	140030201
13210019	红锈	13	140030200	140201802	140201804	140201801	140030201
13210020	维京斧	13	140030600	140201902	140201904	140201901	140030601
13210021	结晶凿	13	140030300	140202002	140202004	140202001	140030301
13210022	王牌怪诞	13	140030500	140202102	140202104	140202101	140030501
13210023	梦幻捷径	13	140030500	140202202	140202204	140202201	140030501
13210024	极速烈闪	13	140030600	140202302	140202304	140202301	140030601
13210025	嵌合	13	140030400	140202402	140202404	140202401	140030401
13210026	真实之空	13	140030200	140202502	140202504	140202501	140030201
13210027	净空启迪	13	140030500	140202602	140202604	140202601	140030501
13210028	3.7连狙SSR临时	13	140030300	140202702	140202704	140202701	140030301
							
13310001	压路机	13	140030200	140300002	140300004	140300001	140030201
13310002	无礼之辈	13	140030300	140300402	140300404	140300401	140030301
13310003	瓦尔基里2056	13	140030300	140300602	140300604	140300601	140030301
13310004	小粮食	13	140030300	140300702	140300704	140300701	140030301
13310005	龙涎香	13	140030300	140300502	140300504	140300501	140030301
13310006	青金石	13	140030200	140300202	140300204	140300201	140030201
13310007	绿色卫士	13	140030200	140300102	140300104	140300101	140030201
13310008	太阳酬金	13	140030200	140300302	140300304	140300301	140030201
13310009	群鸟仇人	13	140030000	140300802	140300804	140300801	140030001
13310010	沉默的真相	13	140030500	140301202	140301204	140301201	140030501
13310011	机械警官	13	140030000	140301002	140301004	140301001	140030001
13310012	霓虹灯管	13	140030000	140300902	140300904	140300901	140030001
13310013	不协和音	13	140030200	140301402	140301404	140301401	140030201
13310014	大宝贝儿	13	140030200	140301302	140301304	140301301	140030201
13310015	红夜行	13	140030000	140301102	140301104	140301101	140030001
13310016	送葬者	13	140030200	140301502	140301504	140301501	140030201
13310017	岩蟒	13	140030200	140301702	140301704	140301701	140030201
13310018	冰原	13	140030200	140301802	140301804	140301801	140030201
13310019	紫花地丁	13	140030500	140301902	140301904	140301901	140030501
13310020	全体警戒	13	140030300	140302002	140302004	140302001	140030301
13310021	马尔贝克	13	140030200	140301602	140301604	140301601	140030201
13310022	正在播出	13	140030200	140302202	140302204	140302201	140030201
13310023	海洋童子军	13	140030100	140302102	140302104	140302101	140030101
13310024	镭射风虎	13	140030000	140302302	140302304	140302301	140030001
13310025	圣甲	13	140030500	140302402	140302404	140302401	140030501
13310026	王权连枷	13	140030200	140302502	140302504	140302501	140030201
13310027	晶棱	13	140030500	140302602	140302604	140302601	140030501
13310028	深渊幽灵	13	140030300	140302702	140302704	140302701	140030301
13310029	沼泽之主	13	140030000	140302802	140302804	140302801	140030001
13310030	紫棘	13	140030000	140302902	140302904	140302901	140030001
13310031	悠古节拍	13	140030200	140303002	140303004	140303001	140030201
13310032	爆裂甜蜜	13	140030500	140303102	140303104	140303101	140030501
13310033	织心秘语	13	140030300	140303202	140303204	140303201	140030301
							
13410001	倔强老者	13	140030000	140400202	140400204	140400201	140030001
13410002	烂橘子	13	140030000	140400002	140400004	140400001	140030001
13410003	星辰大海	13	140030000	140400102	140400104	140400101	140030001
13410004	小小工具	13	140030000	140400302	140400304	140400301	140030001
13410005	皮斯科	13	140030200	140400802	140400804	140400801	140030201
13410006	野蜂尾针	13	140030200	140401002	140401004	140401001	140030201
13410007	幸运时刻	13	140030200	140400902	140400904	140400901	140030201
13410008	玛萨拉酒	13	140030200	140401102	140401104	140401101	140030201
13410009	泥雪	13	140030500	140400402	140400404	140400401	140030501
13410010	天空墙	13	140030100	140401202	140401204	140401201	140030101
13410011	关键点	13	140030500	140400602	140400604	140400601	140030501
13410012	彩虹打火机	13	140030300	140400502	140400504	140400501	140030301
13410013	斯巴达	13	140030300	140401402	140401404	140401401	140030301
13410014	胜天半子	13	140030300	140401302	140401304	140401301	140030301
13410015	松林极光	13	140030000	140400702	140400704	140400701	140030001
13410016	荒野微笑	13	140030100	140401502	140401504	140401501	140030101
13410017	半根火炬	13	140030100	140401602	140401604	140401601	140030101
13410018	是！是！船长！	13	140030600	140401702	140401704	140401701	140030601
13410019	野性装修	13	140030600	140401802	140401804	140401801	140030601
13410020	普赛克16	13	140030600	140401902	140401904	140401901	140030601
13410021	用心棒	13	140030300	140402002	140402004	140402001	140030301
13410022	青麦饮料	13	140030100	140402802	140402304	140402301	140030101
13410023	街头丛林	13	140030100	140402102	140402104	140402101	140030101
13410024	铅雨	13	140030300	140402402	140402404	140402401	140030301
13410025	玫瑰之荣	13	140030100	140402502	140402504	140402501	140030101
13410026	渊光	13	140030200	140402602	140402604	140402601	140030201
13410027	澄叶	13	140030300	140402702	140402704	140402701	140030301
13410028	抓拍胜机	13	140030500	140402802	140402804	140402801	140030501
13410029	晚梅	13	140030100	140402902	140402904	140402901	140030101
13410030	流焰融金	13	140030200	140403002	140403004	140403001	140030201
13410031	左轮SR临时	13	140030000	140403102	140403104	140403101	140030001
13410032	左轮SSR临时	13	140030500	140403202	140403204	140403201	140030501
13410033	3.6左轮SSR临时	13	140030500	140403302	140403304	140403301	140030501
							
13510001	地基	13	140030100	140500002	140500004	140500001	140030101
13510002	怒不可遏	13	140030100	140500202	140500204	140500201	140030101
13510003	审判前夜	13	140030100	140500302	140500304	140500301	140030101
13510004	灰狗	13	140030700	140501202	140501204	140501201	140030701
13510005	冰冷沙丘	13	140030100	140500802	140500804	140500801	140030101
13510006	草莓蛋糕	13	140030100	140501002	140501004	140501001	140030101
13510007	楼道怪猫	13	140030100	140500902	140500904	140500901	140030101
13510008	热带洋流	13	140030700	140501402	140501404	140501401	140030701
13510009	9700	13	140030700	140501302	140501304	140501301	140030701
13510010	动脉音律	13	140030100	140501102	140501104	140501101	140030101
13510011	熔岩骨骼	13	140030700	140501502	140501504	140501501	140030701
13510012	荒野微笑	13	140030100	140500102	140500104	140500101	140030101
13510013	绝缘体	13	140030500	140500402	140500404	140500401	140030501
13510014	小黄鸭	13	140030400	140500602	140500604	140500601	140030401
13510015	腐肉便利店	13	140030400	140500502	140500504	140500501	140030401
13510016	一块广告牌	13	140030400	140500702	140500704	140500701	140030401
13510017	重锤	13	140030700	140501602	140501604	140501601	140030701
13510018	舒适圈	13	140030700	140501702	140501704	140501701	140030701
13510019	指示剂	13	140030700	140501802	140501804	140501801	140030701
13510020	纯黑花名册	13	140030700	140501902	140501904	140501901	140030701
13510021	灰垒	13	140030300	140502002	140502004	140502001	140030301
13510022	朱书断邪	13	140030100	140502102	140502104	140502101	140030101
13510023	像素时代	13	140030300	140502202	140502204	140502301	140030301
13510024	捕心先锋	13	140030400	140502302	140502304	140502201	140030401
13510025	龙卷风	13	140030700	140502402	140502404	140502401	140030701
13510026	晴海星埃	13	140030600	140502502	140502504	140502501	140030601
13510027	蛛网	13	140030500	140502602	140502604	140502601	140030501
13510028	夕潮	13	140030400	140502702	140502704	140502701	140030401
13510029	稳固色彩	13	140030100	140502802	140502804	140502801	140030101
13510030	坚者之心	13	140030400	140502902	140502904	140502901	140030401
13510031	鸣雷戒律	13	140030600	140503002	140503004	140503001	140030601
							
13610001	抵抗能力	13	140030000	140600002	140600004	140600001	140030001
13610002	龙胆	13	140030200	140600102	140600104	140600101	140030201
13610003	把风	13	140030300	140600102	140600104	140600101	140030301
13610004	海王星	13	140030400	140600202	140600204	140600201	140030401
							
13710001	最优解	13	140030600	140700002	140700004	140700001	140030601
13710002	通用公式	13	140030600	140700002	140700004	140700001	140030601
13710003	轮转辉光	13	140030100	140700102	140700104	140700101	140030101
13710004	九夜之冕	13	140030300	140700202	140700204	140700201	140030301
13710005	松纸剪影	13	140030700	140700302	140700304	140700301	140030701
13710006	薪烛明痕	13	140030600	140700402	140700404	140700401	140030601
13710007	3.6双持冲锋枪SR临时	13	140030700	140700502	140700504	140700501	140030701
13710008	3.6双持冲锋枪SSR临时	13	140030700	140700602	140700604	140700601	140030701
							
							
13810255	梅梢	13	140030100	140800002	140800002	140800001	140030101
13810001	战训	13	140030100	140800002	140800002	140800001	140030101
13810002	暗巷英雄	13	140030600	140800102	140800104	140800101	140030601
13810003	茜羽破空	13	140030100	140800202	140800204	140800201	140030101
							
13910255	泡泡机	13	140030400	140900002	140900004	140900001	140030401
13910001	视觉威慑	13	140030400	140900002	140900004	140900001	140030401
13910002	无限之日	13	140030500	140900102	140900104	140900101	140030501
13910003	速旋青雨	13	140030300	140900202	140900204	140900201	140030301
							
13120255	3.5飞剑N临时	13	140030000	141000002	141000004	141000001	140030001
13120001	3.5飞剑R临时	13	140030000	141000002	141000004	141000001	140030001
13120002	3.5飞剑SR临时	13	140030100	141000012	141000014	141000011	140030101
13120003	星渊月刃	13	140030100	141000022	141000024	141000021	140030101
							
131110255	3.7矛N临时	13		60110002	60110004	60110001	
131110001	3.7矛R临时	13		60110002	60110004	60110001	
131110002	3.7矛SR临时	13		60110102	60110104	60110101	
131110003	3.7矛SSR临时	13	140030500	60110202	60110204	60110201	140030501
