ID	描述	描述多语言	失败引导	特点	掉落道具的等级范围 + 索引/数值/概率	毁灭能量	扣除防线血量	是否默认隐身	低优先级对象	是否是空中怪物	Spline模式中是否允许攻击	血量	攻击	攻击范围
4811217	甲型异化人	farmwar_Mondes_1	farmwar_Mondes_1	{1,2}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,2},{2,2,1.6},{3,3,1.2},{4,100,0.8}}	500	0			1	farmwar.farmwar_vegHP_10	farmwar.farmwar_vegATK_10	farmwar.farmwar_vegAOE_10
4811310	啮咬球	farmwar_Mondes_2	farmwar_Mondes_2	{1,3}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,2},{2,2,1.6},{3,3,1.2},{4,100,0.8}}	500	0			1	farmwar.farmwar_vegHP_11	farmwar.farmwar_vegATK_11	farmwar.farmwar_vegAOE_11
4811508	水母	farmwar_Mondes_5	farmwar_Mondes_5	{1,7}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,1},{2,2,0.8},{3,3,0.6},{4,100,0.4}}	500	0			1	farmwar.farmwar_vegHP_12	farmwar.farmwar_vegATK_12	farmwar.farmwar_vegAOE_12
4812310	宝箱怪	farmwar_Mondes_12	farmwar_Mondes_12	{1,3,11}	{{{1,1},{2,5,0},{3,1,100}},{{2,2},{2,5,0},{3,1,100}},{{3,3},{2,5,0},{3,1,100}},{{4,100},{2,5,0},{3,1,100}}}	{{1,1,2},{2,2,1.6},{3,3,1.2},{4,100,0.8}}	500	0			1	farmwar.farmwar_vegHP_13	farmwar.farmwar_vegATK_13	farmwar.farmwar_vegAOE_13
4811412	吉诺拉搜救队（近战）	farmwar_Mondes_13	farmwar_Mondes_13	{1,3,8}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,10},{2,2,8},{3,3,6},{4,100,4}}	500	0			1	farmwar.farmwar_vegHP_14	farmwar.farmwar_vegATK_14	farmwar.farmwar_vegAOE_14
4811414	吉诺拉搜救队（步枪）	farmwar_Mondes_14	farmwar_Mondes_14	{3,4}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,8},{2,2,6.4},{3,3,4.8},{4,100,3.2}}	500	0			1	farmwar.farmwar_vegHP_15	farmwar.farmwar_vegATK_15	farmwar.farmwar_vegAOE_15
4811016	炽热投手	farmwar_Mondes_15	farmwar_Mondes_15	{4,12}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,9},{2,2,7.2},{3,3,5.4},{4,100,3.6}}	500	0	{19000015,19000016,19000017,19000018}		1	farmwar.farmwar_vegHP_16	farmwar.farmwar_vegATK_16	farmwar.farmwar_vegAOE_16
481130105	埃罗换皮	farmwar_Mondes_16	farmwar_Mondes_16	{4,7}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,6},{2,2,4.8},{3,3,3.6},{4,100,2.4}}	500	0			1	farmwar.farmwar_vegHP_17	farmwar.farmwar_vegATK_17	farmwar.farmwar_vegAOE_17
481191002	炸弹气球	farmwar_Mondes_17	farmwar_Mondes_17	{7,9,13}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,3},{2,2,2.4},{3,3,1.8},{4,100,1.2}}	500	0			1	farmwar.farmwar_vegHP_18	farmwar.farmwar_vegATK_18	farmwar.farmwar_vegAOE_18
5811117	播种使徒	farmwar_Mondes_18	farmwar_Mondes_18	{7,14}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,7},{2,2,5.6},{3,3,4.2},{4,100,2.8}}	500	0			1	farmwar.farmwar_vegHP_01	farmwar.farmwar_vegATK_01	farmwar.farmwar_vegAOE_01
4811306	滚石	farmwar_Mondes_19	farmwar_Mondes_19	{3,8,16}	{{{1,1},{2,5,15},{3,1,1}},{{2,2},{2,5,12},{3,1,0.8}},{{3,3},{2,5,9},{3,1,0.6}},{{4,100},{2,5,6},{3,1,0.4}}}	{{1,1,2},{2,2,1.6},{3,3,1.2},{4,100,0.8}}	500	0			1	farmwar.farmwar_vegHP_02	farmwar.farmwar_vegATK_02	farmwar.farmwar_vegAOE_02
5811001	炉子	farmwar_Mondes_20	farmwar_Mondes_20	{4,15,19}	{{{1,1},{2,50,15},{3,1,5}},{{2,2},{2,50,12},{3,1,4}},{{3,3},{2,50,9},{3,1,3}},{{4,100},{2,5,6},{3,1,2}}}	{{1,1,44},{2,2,35.2},{3,3,26.4},{4,100,17.6}}	2000	0			1	farmwar.farmwar_vegHP_03	farmwar.farmwar_vegATK_03	farmwar.farmwar_vegAOE_03
481160601	鬃狼运输机	farmwar_Mondes_21	farmwar_Mondes_21	{13,19}	{{{1,1},{2,50,15},{3,1,5}},{{2,2},{2,50,12},{3,1,4}},{{3,3},{2,50,9},{3,1,3}},{{4,100},{2,5,6},{3,1,2}}}	{{1,1,39},{2,2,31.2},{3,3,23.4},{4,100,15.6}}	2000	0			1	farmwar.farmwar_vegHP_04	farmwar.farmwar_vegATK_04	farmwar.farmwar_vegAOE_04
5811214	精英异化人	farmwar_Mondes_22	farmwar_Mondes_22	{8,17,19}	{{{1,1},{2,50,15},{3,1,5}},{{2,2},{2,50,12},{3,1,4}},{{3,3},{2,50,9},{3,1,3}},{{4,100},{2,5,6},{3,1,2}}}	{{1,1,37},{2,2,29.6},{3,3,22.2},{4,100,14.8}}	2000	1			1	farmwar.farmwar_vegHP_05	farmwar.farmwar_vegATK_05	farmwar.farmwar_vegAOE_05
6811302	透墨索斯	farmwar_Mondes_23	farmwar_Mondes_23	{8,14,18}	{{{1,1},{2,100,15},{3,1,5}},{{2,2},{2,100,12},{3,1,4}},{{3,3},{2,100,9},{3,1,3}},{{4,100},{2,100,6},{3,1,2}}}	{{1,1,187},{2,2,129.6},{3,3,112.2},{4,100,74.8}}	10000	0			1	farmwar.farmwar_vegHP_06	farmwar.farmwar_vegATK_06	farmwar.farmwar_vegAOE_06
