OutBuffId	OutLevel	适用植物基础类型(如果全部植物都会生效，填0，如果不是对植物生效填 -1 / 不填)	适用植物特殊类型 支持配置table	需要的植物基类	需要的植物特殊类型	SkillInfo	Modifier	CustomBuff	SpecialTag	BuffLevel	在商店中的价格	是否可以重复购买	备注	
100006	1	4					3900106			1	30		胡萝卜血量提高10% / 20% / 30%	
100006	2	4					3900106			2	30		胡萝卜血量提高10% / 20% / 30%	
100006	3	4					3900106			3	30		胡萝卜血量提高10% / 20% / 30%	
100007	1	5					3900107			1	30		南瓜血量提高10% / 20% / 30%	
100007	2	5					3900107			2	30		南瓜血量提高10% / 20% / 30%	
100007	3	5					3900107			3	30		南瓜血量提高10% / 20% / 30%	
100008	1	3					3900108			1	120		西兰花受到伤害后，攻击力提高100%，每次持续10秒（可持续触发）	
100009	1						3900109			1	60		立刻回复全部植物 20% / 35% / 50% 生命	
100009	2						3900109			2	60		立刻回复全部植物 20% / 35% / 50% 生命	
100009	3						3900109			3	60		立刻回复全部植物 20% / 35% / 50% 生命	
100010	1	0					3900110			1	60		植物受到的伤害转化为场上角色生命，持续60秒（单次效果）	
100011	1	0					3900111			1	60		立刻回复全部主角30%生命	
100012	1	1						9900016		1	60		辣椒生产量提高10% / 20% / 30%	
100012	2	1						9900016		2	60		辣椒生产量提高10% / 20% / 30%	
100012	3	1						9900016		3	60		辣椒生产量提高10% / 20% / 30%	
100013	1	2						9900002		1	30		玉米攻击间隔提高10% / 20% / 30%	
100013	2	2						9900002		2	30		玉米攻击间隔提高10% / 20% / 30%	
100013	3	2						9900002		3	30		玉米攻击间隔提高10% / 20% / 30%	
100014	1	3						9900002		1	30		西兰花攻击间隔提高10% / 20% / 30%	
100014	2	3						9900002		2	30		西兰花攻击间隔提高10% / 20% / 30%	
100014	3	3						9900002		3	30		西兰花攻击间隔提高10% / 20% / 30%	
100015	1	4						9900002		1	30		胡萝卜攻击间隔提高10% / 20% / 30%	
100015	2	4						9900002		2	30		胡萝卜攻击间隔提高10% / 20% / 30%	
100015	3	4						9900002		3	30		胡萝卜攻击间隔提高10% / 20% / 30%	
100016	1	0						9900003		1	60		所有植物栽培间隔提速25% / 50%	
100016	2	0						9900003		2	60		所有植物栽培间隔提速25% / 50%	
100017	1	0						9900004		1	60		所有植物价格下降10% / 20% / 30%	
100017	2	0						9900004		2	60		所有植物价格下降10% / 20% / 30%	
100017	3	0						9900004		3	60		所有植物价格下降10% / 20% / 30%	
100018	1	0						9900005		1	45		击杀敌人后获得的代币提高10% / 20% / 30%	
100018	2	0						9900005		2	45		击杀敌人后获得的代币提高10% / 20% / 30%	
100018	3	0						9900005		3	45		击杀敌人后获得的代币提高10% / 20% / 30%	
100019	1	3					3900149	9900015		1	60		西兰花攻击范围（半径）增大50%	
100020	1	2						9900007		1	60		玉米攻击范围增大30%	
100021	1	4						9900007		1	60		胡萝卜攻击范围增大30%	
100022	1	2	1				3900112			1	120		连发玉米单次攻击由1颗玉米子弹变为同时发射3颗玉米子弹（散射）	
100023	1	2	3				3900145			1	120		最高级冰冻玉米子弹附魔	
100024	1	2	5				3900114			1	120		最高级火焰玉米喷射的火焰变为2条（散射）	
100025	1	3					3900115	9900014		1	120		西兰花攻击范围（半径）扩大25%	
100026	1	3					3900146			1	120		西兰花攻击附魔	
100027	1	4					3900117			1	120		胡萝卜同时发射2颗导弹（同一直线）	
100028	1	4					3900118			1	120		胡萝卜同时发射3颗导弹（散射）	
100029	1	4					3900147			1	120		胡萝卜导弹附魔	
100030	1							9900005		1	45		代币获取量提高 10%/20%/30%	
100030	2							9900005		2	45		代币获取量提高 10%/20%/30%	
100030	3							9900005		3	45		代币获取量提高 10%/20%/30%	
100031	1							9900039		1	45		毁灭能量获取量提高 10%/20%/30%	
100031	2							9900039		2	45		毁灭能量获取量提高 10%/20%/30%	
100031	3							9900039		3	45		毁灭能量获取量提高 10%/20%/30%	
100032	1	1					3900293			1	60		辣椒死亡后赋予周围灼烧效果	
100033	1	2	{{1,4}}				3900291			1	120		多发玉米每次击杀敌人攻击力提高 5%，最多100%	
100034	1	2	4				3900289			1	60		3级多发玉米每次击杀敌人后 5 s内会射击会额外射出一发子弹，时间可刷新	
100035	1	2	{{2,5}}					9900017		1	60		火焰玉米可以对空攻击	
100036	1	2	{{3,6}}				3900288			1	120		寒冰玉米攻击有 10% 概率冰冻敌人	
100037	1	2	6				3900286			1	60		3级寒冰玉米攻击可以冰冻敌人，cd6秒	
100038	1	3					3900284			1	120		花菜攻击有15%概率使敌人晕眩 2s	
100039	1	3					3900115			1	60		花菜攻击范围提升 30%	
100040	1	3	1				3900282			1	120		升级花菜受伤会短暂提升攻击力 20% ，持续5s，最多叠加 200%	
100041	1	3	1				3900280			1	60		升级花菜每次攻击命中会立即回复 2% 生命值，击杀敌人额外回复 20% 生命值	
100042	1	5	1				3900279			1	60		铁壁南瓜每秒恢复自身0.5%的生命值	
100043	1	5	3				3900278			1	60		火焰南瓜攻击有10%概率引爆火焰buff，清除火焰buff，造成一次高额伤害	
100044	1	5	2				3900277			1	60		冰冻南瓜死亡后冻结周围 3*3 范围敌人	
100045	1	4	{{1,2}}					9900006		1	60		胡萝卜索敌范围增加50%	
100046	1	4	{{1,2}}				3900276			1	120		胡萝卜射速降低 10%，25% 概率击退敌人 2m	
100047	1	6					3900275			1	30		番茄攻击力提高 10%/20%/30%	
100047	2	6					3900275			2	30		番茄攻击力提高 10%/20%/30%	
100047	3	6					3900275			3	30		番茄攻击力提高 10%/20%/30%	
100048	1	6	1				3900273			1	60		暴躁番茄攻击给敌人施加火焰易伤，受到火焰伤害增加 15%	
100049	1	6	1				3900271			1	120		暴躁番茄引爆概率增加10%，引爆效果未清除敌人身上的火焰buff，造成高额伤害	
100050	1	6	2				3900269			1	120		稳重番茄攻击 20% 概率使敌人晕眩 2s	
100051	1	6	2				3900267			1	60		稳重番茄对处于晕眩或冰冻状态下的敌人造成伤害提高 30%	
100052	1	7					3900266			1	30		竹笋攻击力提高 10%/20%/30%	
100052	2	7					3900266			2	30		竹笋攻击力提高 10%/20%/30%	
100052	3	7					3900266			3	30		竹笋攻击力提高 10%/20%/30%	
100053	1	7	1				3900265			1	60		鹰眼竹笋每隔6秒，造成伤害提升200%	
100054	1	7	1				3900263			1	120		鹰眼竹笋每次击杀敌人攻击力提高 5%，最多100%	
100055	1	7	2				3900262			1	120		凛冽竹笋攻击冰冻状态下的敌人伤害 提高 60%	
100056	1	7	2					9900041		1	60		凛冽竹笋特工的攻击冷却时间降低20%	
100057	1	8						9900018		1	120		莲藕无飞行单位时也会攻击地面单位	
100058	1	8						9900019		1	60		莲藕提高攻击范围 10%	
100059	1	8					3900259			1	60		莲藕有15%概率造成伤害提升200%（全伤害提升）	
100060	1	8					3900257			1	120		莲藕每次击杀敌人攻击力提高 5%，最多100%	
100061	1	10					3900253			1	30		紫茄提高攻击力 10%/20%/30%	
100061	2	10					3900253			2	30		紫茄提高攻击力 10%/20%/30%	
100061	3	10					3900253			3	30		紫茄提高攻击力 10%/20%/30%	
100062	1	10	1				3900252			1	120		紫茄贤者普通攻击也能击退敌人1m	
100063	1	10	1				3900251			1	60		紫茄贤者普通攻击伤害提升20%	
100064	1	10	2				3900250			1	60		紫茄队长超级攻击和绝杀的伤害提升15%	
100065	1	10	2					9900020		1	120		紫茄队长击败敌人回复辣椒能量 25点	
100066	1						3900248			1			所有敌人受到灼烧伤害增加100%	
100067	1						3900247			1			迟缓状态下的敌人受到伤害增加 10%，冰冻状态下增加 20%	
100068	1						3900244			1			蔬菜生命值满时，受到伤害降低60%，未满时，每秒回复0.5%	
100069	1						3900242			1			蔬菜当前的攻击力超过40000时，有25%概率伤害提高400%	
100070	1							9900040		1			蔬菜CD降低80%，被铲除后返回种植时80%的能量	
190001	1	0					3900144			1			所有植物血量下降30%	
190002	1	0						9900012		1			辣椒能量获取下降50%	
190003	1	1						9900022		1			辣椒产出间隔提高50%	
190004	1							9900023		1			蔬菜的价格提升30%	
