OutBuffId	OutLevel	描述	适用植物类型	特定类别	SkillInfo	Modifier	CustomBuff	SpecialTag	BuffLevel
110033		辣椒炸弹伤害提高为25% / 30% / 35% / 40%					9900008		1
110034		僵尸代币道具数值提高40% / 50% / 80% / 100%					9900013		1
110035		【关卡策划修改】胡萝卜血量提高10%	4			3900138			1
110037	1	铁壁南瓜生命值提高10%	5	1		3900130			1
110038	1	所有番茄提升攻击力 10%	6			3900239			1
110039	1	所有番茄提升血量 10%	6			3900238			1
110040	1	所有番茄降低价格 10%	6				9900009		1
110041	1	所有番茄减少CD 10%	6				9900042		1
110042	1	稳重番茄提高燃烧伤害10%	6	1		3900237			1
110043	2	稳重番茄提高燃烧伤害10%	6	1		3900237			2
110044	1	暴躁番茄提升攻击力 10%	6	2		3900236			1
110045	1	暴躁番茄射速提升10%	6	2			9900024		1
110046	1	所有竹笋提升攻击力 10%	7			3900235			1
110047	1	所有竹笋提升血量 10%	7			3900234			1
110048	1	所有竹笋降低价格 10%	7				9900009		1
110049	1	所有竹笋减少CD 10%	7				9900042		1
110050	1	鹰眼竹笋提升攻击力 10%	7	1		3900232			1
110051	1	鹰眼竹笋攻击间隔缩短10%	7	1			9900024		1
110052	1	凛冽竹笋提升攻击力 10%	7	2		3900231			1
110053	1	凛冽竹笋攻击间隔缩短10%	7	2			9900024		1
110054	1	莲藕提升攻击力 10%	8			3900230			1
110055	1	莲藕提升血量 10%	8			3900229			1
110056	1	莲藕降低价格 10%	8				9900009		1
110057	1	莲藕减少CD 10%	8				9900042		1
110058	1	小菜咩提升生命值10%	9			3900228			1
110059	1	小菜咩降低价格 10%	9				9900009		1
110060	1	小菜咩降低价格 10%	9				9900009		1
110061	1	小菜咩减少CD 10%	9				9900042		1
110062	1	潜行小菜咩减少CD 10%	9	1			9900042		2
110063	1	偶像小菜咩加伤量提高 10%	9	2		3900207		1005	2
110064	1	侦探小菜咩提升血量 50%	9	3		3900227			1
110065	1	所有茄子提升攻击力 10%	10			3900226			1
110066	2	所有茄子提升攻击力 10%	10			3900226			2
110067	1	所有茄子减少CD 10%	10				9900042		1
110068	1	所有茄子血量 10%	10			3900299			1
110069	1	茄子贤者提升攻击力 10%	10	1		3900225			1
110070	1	茄子贤者减少CD 10%	10	1			9900042		2
110071	1	茄子队长提升攻击力 10%	10	2		3900224			1
110072	2	茄子队长减少CD 10%	10	2			9900042		2
110073	2	全屏冰冻提高冻结时间 15%					9900030		1
110074	1	全屏冰冻减少所需能量 10%					9900027		1
110075	3	全屏冰冻提高冻结时间 15%					9900030		2
110076	1	全屏燃烧减少所需能量 10%					9900028		1
110077	2	全屏燃烧提高燃烧伤害10%					9900031		1
110078	2	全屏燃烧减少所需能量 10%					9900028		2
110079	1	爆爆奖章倍率增加 20%					9900032		1
110080	1	爆爆奖章增加持续时间 10%					9900033		1
110081	2	爆爆奖章倍率增加 20%					9900032		2
110082	1	火焰玉米、火焰番茄伤害增加25%，对燃烧敌人的伤害增加25%	{2,6}	{{2,5},{1}}		3900213			1
110083	1	所有番茄伤害增加25%，可以对空	6			3900214	9900017		1
110084	1	冰冻玉米、冰冻竹笋伤害增加25%，对迟缓敌人伤害增加25%	{2,7}	{{3,6},{2}}		3900215			1
110085	1	所有番茄 所有番茄伤害增加40%	6			3900216			1
110086	1	花菜血量增加30%，攻击力增加25%	3			3900218			1
110087	1	花菜和南瓜生命值增加20%，每秒恢复0.5%最大生命值	{3,5}	{{0},{0}}		3900219			1
110088	1	莲藕隐身下伤害增加25%	8			3900220		1010	1
110089	1	莲藕攻击距离增加25%	8				9900037		1
110090	1	场上存在鹰眼竹笋时，多发玉米伤害增加25%，场上存在多发玉米时，鹰眼竹笋造成伤害增加25%。	{2,7}	{{4},{1}}				1004	1
110091	1	所有玉米价格降低25%	2				9900036		1
110092	1	胡萝卜攻击间隔减少40%，价格降低15%	4				9900035		1
110093	1	紫茄普通攻击伤害增加20%	10			3900222			1
110094	1	种植槽位 + 1							
110095	1	种植槽位 + 2							
110096	1	辣椒生产能力提升10%	1				9900001		1
110097	2	辣椒生产能力提升20%	1				9900001		2
110098	1	辣椒价格降低20%	1				9900009		1
110099	1	辣椒cd降低10%	1				9900010		1
110100	1	大辣椒生产能力提高10%	1	1			9900001		1
110101	2	大辣椒生产能力提高20%	1	1			9900001		2
110102	1	玉米射手攻击力提高5%	2			3900120			1
110103	1	玉米射手血量提高5%	2			3900121			1
110104	1	玉米射手价格降低20%	2				9900009		1
110105	1	玉米射手cd降低10%	2				9900010		1
110106	1	连发玉米射手射速提高5%	2	{{1,4}}			9900011		1
110107	1	连发玉米射手攻击提高5%	2	{{1,4}}		3900122			1
110108	1	冰冻玉米减速提高15%	2	{{3,6}}		3900295			1
110109	1	冰冻玉米减速提高30%	2	{{3,6}}		3900296			1
110110	1	火焰玉米灼烧提高15%	2	{{2,5}}		3900124			1
110111	2	火焰玉米灼烧提高30%	2	{{2,5}}		3900124			2
110112	1	西蓝花攻击提高5%	3			3900125			1
110113	1	西蓝花血量提高5%	3			3900126			1
110114	1	西蓝花价格降低20%	3				9900009		1
110115	1	西蓝花cd降低10%	3				9900010		1
110116	1	大西蓝花血量提高10%	3	1		3900128			1
110117	1	大西蓝花攻击提高20%	3	1		3900127			1
110118	1	南瓜血量提高20%	5			3900129			1
110119	1	南瓜价格降低20%	5				9900009		1
110120	1	南瓜cd降低10%	5				9900010		1
110121	1	【关卡策划修改】铁壁南瓜血量提高20%	5	1		3900130			1
110122	1	爆炸南瓜攻击提高15%	5	1		3900131			1
110123	1	火焰南瓜血量提高20%	5	3		3900132			1
110124	1	火焰南瓜灼烧伤害提高15%	5	3		3900133			1
110125	1	冰冻南瓜血量提高20%	5	2		3900134			1
110126	1	冰冻南瓜减速提高50%	5	2		3900152			1
110127	1	胡萝卜攻击提高5%	4			3900136			1
110128	1	【关卡策划修改】胡萝卜血量提高5%	4			3900137			1
110129	1	胡萝卜价格下降20%	4				9900009		1
110130	1	胡萝卜cd下降10%	4				9900010		1
110131	1	超级胡萝卜攻击提高20%	4	{{1,2}}		3900141			1
110132	1	辣椒炸弹伤害提高为25%					9900008		1
110132	2	辣椒炸弹伤害提高为30%					9900008		2
110132	3	辣椒炸弹伤害提高为35%					9900008		3
110132	4	辣椒炸弹伤害提高为40%					9900008		4
110136	1	【关卡策划修改】胡萝卜血量提高10%	4			3900138			1
