MonId	描述	UpVatPath	DownVatPath	植物类别	特定类别(0代表基类)	可升级对象	消耗资源	铲除返还资源百分比	种植冷却时间(s)	最大种植数量限制(-1代表没有限制)	是否主动攻击	索敌角度(相对于Forward)	空地攻击模式	基于敌人距离的攻击策略	是否俯仰	能量生成类型	能量生成量	技能冷却	感应距离最远(cm)	最近感应距离	光环类型	是否是一个寄生植物	人口消耗(默认为1)	是否是一次性爆炸植物
19000014	超级胡萝卜	Mon_807/BP_Vega_807c_VAT.BP_Vega_807c_VAT_C		4	2		400	30	20	30	1	60	1	0	1			4.33	5000	0				
19000015	南瓜	Mon_808/BP_Vega_808a_VAT.BP_Vega_808a_VAT_C		5		{19000016,19000017,19000018}	50	30	15	30				0				5	0	0				
19000016	铁壁南瓜	Mon_808/BP_Vega_808b_VAT.BP_Vega_808b_VAT_C		5	1		50	30	5	30				0				5	0	0				
19000017	冰冻南瓜	Mon_808/BP_Vega_808c_VAT.BP_Vega_808c_VAT_C		5	2		150	30	15	30	1	180		0				5	450	0				
19000018	火焰南瓜	Mon_808/BP_Vega_808d_VAT.BP_Vega_808d_VAT_C		5	3		150	30	15	30	1	180		0				5	450	0				
19000019	番茄基础版	Mon_809/BP_Vega_809a_VAT.BP_Vega_809a_VAT_C		6		{19000020,19000021}	100	30	5	30	1	30	0	1				0.8	6000	1000				
19000020	番茄变种1-爆炸番茄	Mon_809/BP_Vega_809b_VAT.BP_Vega_809b_VAT_C		6	1		150	30	15	30	1	30	0	0				0.8	6000					
19000021	番茄变种2-荷包蛋番茄	Mon_809/BP_Vega_809c_VAT.BP_Vega_809c_VAT_C		6	2		150	30	15	30	1	30	0	1				0.8	6000	1000				
19000022	竹笋基础版	Mon_812/BP_Vega_812d_VAT.BP_Vega_812d_VAT_C		7		{19000023,19000024}	200	30	5	30	1	60	1	0	1			3.8	6000					
19000023	精准竹笋	mon_810/BP_Vega_810b_VAT.BP_Vega_810b_VAT_C		7	1		350	30	15	30	1	60	1	2	1			3.8	6000					
19000024	冰冻竹笋	mon_810/BP_Vega_810c_VAT.BP_Vega_810c_VAT_C		7	2		350	30	15	30	1	60	1	0	1			3.8	6000					
19000025	莲藕	Mon_811/BP_Vega_811a_VAT.BP_Vega_811a_VAT_C		8			150	30	20	30	1	180	2	0	1				2400					
19000026	基础菜咩	Mon_812/BP_Vega_812a_VAT.BP_Vega_812a_VAT_C		9		{19000027,19000028,19000029}	250	30	5	30				0										
19000027	潜行菜咩	Mon_812/BP_Vega_812b_VAT.BP_Vega_812b_VAT_C		9	1		0	30	15	30				0							1			
19000028	加伤菜咩	Mon_812/BP_Vega_812c_VAT.BP_Vega_812c_VAT_C		9	2		0	30	15	30				0							2			
19000029	破隐菜咩	Mon_812/BP_Vega_812d_VAT.BP_Vega_812d_VAT_C		9	3		0	30	15	30				0							3			
19000030	茄子基础版	Mon_813/BP_Vega_813a_VAT.BP_Vega_813a_VAT_C		10		{19000031,19000032}	300	30	15	30	1	1	1	0	1			0.5	5000					
19000031	茄子-无消耗版	Mon_813/BP_Vega_813b_VAT.BP_Vega_813b_VAT_C		10	1		400	30	20	30	1	1	1	0	1			0.5	5000					
19000032	秒杀茄子	Mon_813/BP_Vega_813c_VAT.BP_Vega_813c_VAT_C		10	2		400	30	20	30	1	1	1	0	1			0.5	5000					
