ID	备注	定义（11=后勤 12=角色 13=武器 14=武器配件）	Logo	头像图标200*200	头像图标130*130	道具图标200*200	道具图标130*130	皮肤切图800*800	皮肤切图400*400	皮肤切图1888*1784	皮肤切图372*144
1705033	茉莉安-幽潮-绒尾迷梦	17	130340000	130340017	130340016	110200181	110200180	130340019	130340018	130340021	130340020
1705034	茉莉安-幽潮-甜蜜困扰	17	130340000	130340026	130340025	110200287	110200286	130340028	130340027	130340030	130340029
1705041	茉莉安-霄鹰（默认）	17	130520000	130520002	130520003			130520005	130520004		
1705042	茉莉安-霄鹰-纯白恋羽	17	130520000	130520010	130520009	110200383	110200382	130520012	130520011	130520014	130520013
1705043	茉莉安-霄鹰-新皮肤	17	130100000	130520020	130520019	110200423	110200422	130520022	130520021	130520024	130520023
1706011	鸣濑晴（默认）	17	130110000	130110002	130110003			130110004	130110005		
1706012	晴-不灭锋铭	17	130110000	130110008	130110007	110200363	110200362	130110010	130110009	130110012	130110011
1706021	晴-藏锋（默认）	17	130220000	130220002	130220003			130220004	130220005		
1706022	晴-藏锋-凛冽冬花	17	130220000	130080008	130080007	110200017	110200016	130220001	130220009	130220011	130220010
1706023	晴-藏锋-循风谍舞	17	130220000	130220014	130220013	110200047	110200046	130220016	130220015	130220018	130220017
1706031	晴-霆光（默认）	17	130490000	130490002	130490003			130490005	130490004		
1706032	晴-霆光-清光虔愿	17	130490000	130490010	130490009	110200347	110200346	130490012	130490011	130490014	130490013
1706033	晴-霆光-剑意逍遥	17	130490000	130490019	130490018	110200405	110200404	130490021	130490020	130490023	130490022
1707011	琴诺（默认）	17	130120000	130120002	130120003			130120004	130120005		
1707021	琴诺-悖谬（默认）	17	130270000	130270002	130270003			130270004	130270005		
1707022	琴诺-悖谬见习侍奉	17	130270000	130270008	130270007	110200063	110200062	130270010	130270009	130270012	130270011
1707023	琴诺-悖谬-静聆潮韵	17	130270000	130270014	130270013	110200101	110200100	130270016	130270015	130270018	130270017
1707024	琴诺-悖谬-清荷雅弈	17	130270000	130270029	130270028	110200155	110200154	130270031	130270030	130270033	130270032
1708011	芬妮（默认）	17	130130000	130130002	130130003			130130004	130130005		
1708012	芬妮-妄想新星	17	130130000	130130008	130130007	110200019	110200018	130130011	130130009	130130010	130130012
1708013	芬妮-不灭傲姿	17	130130000	130130014	130130013	110200049	110200048	130130017	130130015	130130016	130130018
1708014	芬妮-璨夜华彩	17	130130000	130130032	130130031	110200175	110200174	130130034	130130033	130130036	130130035
1708021	芬妮-咎冠（默认）	17	130180000	130180002	130180003			130180004	130180005		
1708022	芬妮-咎冠-蜂刺蔷薇	17	130180000	130180008	130180007	110200021	110200020	130180011	130180009	130180010	130180012
1708023	芬妮-咎冠-初晴金雪	17	130180000	130180014	130180013	110200037	110200036	130180017	130180015	130180016	130180018
1708024	芬妮-咎冠-甜蜜统治·出行	17	130180000	130180020	130180019	110200059	110200058	130180023	130180021	130180022	130180024
1708025	芬妮-咎冠-甜蜜统治	17	130180000	130180026	130180025	110200067	110200066	130180029	130180027	130180028	130180030
1708031	芬妮-辉耀（默认）	17	130310000	130310002	130310003			130310004	130310005		
1708032	芬妮-辉耀-绽于恋时	17	130310000	130310008	130310007	110200083	110200082	130310010	130310009	130310012	130310011
1708033	芬妮-辉耀-金狮舞瑞	17	130310000	130310021	130310020	110200173	110200172	130310023	130310022	130310025	130310024
1708034	芬妮-辉耀-疾速耀星	17	130310000	130310030	130310029	110200203	110200202	130310032	130310031	130310034	130310033
1708035	芬妮-辉耀-破焰傲绽	17	130310000	130310039	130310038	110200251	110200250	130310041	130310040	130310043	130310042
1708041	芬妮-澄意（默认）	17	130470000	130470002	130470003			130470005	130470004		
1708042	芬妮-澄意-夕晖蜜约	17	130470000	130470010	130470009	110200325	110200324	130470012	130470011	130470014	130470013
1708043	芬妮-澄意-颂夜欢歌	17	130470000	130470019	130470018	110200365	110200364	130470021	130470020	130470023	130470022
1708044	芬妮-澄意-轻纱暖寐	17	130470000	130470028	130470027	110200407	110200406	130470030	130470029	130470032	130470031
1710011	肴（默认）	17	130140000	130140002	130140003			130140004	130140005		
1710012	肴-工作宗旨	17	130140000	130140007	130140008	110200009	110200008	130140009	130140010	130140011	130140012
1710013	肴-不灭残辉	17	130140000	130140013	130140014	110200033	110200032	130140015	130140016	130140017	130140018
1710014	肴-生活宗旨	17	130140000	130140026	130140025	110200385	110200384	130140028	130140027	130140030	130140029
1710021	肴-冬至（默认）	17	130150000	130150002	130150003			130150004	130150005		
1710022	肴-冬至-雪岭焰行	17	130150000	130150013	130150014	110200041	110200040	130150016	130150015	130150018	130150017
1710023	肴-冬至-粼粼尾浪	17	130150000	130150007	130150008	110200031	110200030	130150010	130150009	130150012	130150011
1710024	肴-冬至-暧馨侍奉	17	130150000	130150023	130150024	110200207	110200206	130150026	130150025	130150028	130150027
1710031	肴-夜天光（默认）	17	130380000	130380002	130380003			130380004	130380005		
1710032	肴-夜天光-暖夜情醺	17	130380000	130380010	130380009	110200169	110200168	130380012	130380011	130380014	130380013
1710033	肴-夜天光-共待曙明	17	130380000	130380019	130380018	110200311	110200310	130380021	130380020	130380023	130380022
1710034	肴-夜天光-暖雾凝眸	17	130380000	130380028	130380027	110200349	110200348	130380030	130380029	130380032	130380031
1710041	肴-换装3（默认）	17	130560000	130560002	130560003			130560005	130560004		
1710042	肴-换装3-皮肤	17	130560000	130560010	130560009	110200439	110200438	130560012	130560011	130560014	130560013
1711011	恩雅（默认）	17	130160000	130160002	130160003			130160004	130160005		
1711012	恩雅-情迷炎日	17	130160000	130160007	130160008	110200025	110200024	130160010	130160009	130160012	130160011
1711013	恩雅-不灭柔情	17	130160000	130160014	130160013	110200409	110200408	130160016	130160015	130160018	130160017
1711021	恩雅-羽蜕（默认）	17	130280000	130280002	130280003			130280004	130280005		
1711022	恩雅-羽蜕-轻语疗法	17	130280000	130280008	130280007	110200061	110200060	130280010	130280009	130280012	130280011
1711023	恩雅-羽蜕-浅憩之处	17	130280000	130280014	130280013	110200103	110200102	130280016	130280015	130280018	130280017
1711024	恩雅-羽蜕-专属教练	17	130280000	130280020	130280019	110200117	110200116	130280022	130280021	130280024	130280023
1711031	恩雅-澜风（默认）	17	130400000	130400002	130400003			130400004	130400005		
1711032	恩雅-澜风-望云清咏	17	130400000	130400010	130400009	110200189	110200188	130400012	130400011	130400014	130400013
1711033	恩雅-澜风-秘密侍奉	17	130400000	130400019	130400018	110200291	110200290	130400021	130400020	130400023	130400022
1711034	恩雅-澜风-恋恋秋行	17	130400000	130400028	130400027	110200367	110200366	130400030	130400029	130400032	130400031
1712011	猫汐尔（默认）	17	130170000	130170002	130170003			130170004	130170005		
1712012	猫汐尔-魂灵缚痕	17	130170000	130170007	130170008	110200005	110200004	130170009	130170010	130170011	130170012
1712013	猫汐尔-不灭灵影	17	130170000	130170014	130170013	110200315	110200314	130170016	130170015	130170018	130170017
1712014	猫汐尔-魂灵缚痕重置	17	130170000	130170020	130170019	110200425	110200424	130170022	130170021	130170024	130170023
1712021	猫汐尔-溯影（默认）	17	130230000	130230002	130230003			130230004	130230005	130230001	
1712022	猫汐尔-溯影-灼阳假期	17	130230000	130230008	130230007	110200027	110200026	130230010	130230009	130230012	130230011
1712023	猫汐尔-溯影-喵步巧跃	17	130230000	130230014	130230013	110200069	110200068	130230016	130230015	130230018	130230017
1712031	猫汐尔-莲驱（默认）	17	130700000	130700002	130700003			130700005	130700004		
1712032	猫汐尔-莲驱-喵语祈念	17	130700000	130700010	130700009	110200369	110200368	130700012	130700011	130700014	130700013
1713011	瑟瑞斯（默认）	17	130200000	130200002	130200003			130200004	130200005		
1713013	瑟瑞斯-不灭恒忆	17	130200000	130200008	130200007	110200261	110200260	130200010	130200009	130200012	130200011
1713021	瑟瑞斯-瞬刻（默认）	17	130290000	130290002	130290003			130290004	130290005	130290001	
1713022	瑟瑞斯-瞬刻-须臾蹁跹	17	130290000	130290008	130290007	110200071	110200070	130290010	130290009	130290012	130290011
1713023	瑟瑞斯-瞬刻-瞬刻妩态	17	130290000	130290014	130290013	110200077	110200076	130290016	130290015	130290018	130290017
1713024	瑟瑞斯-瞬刻-斑斓水色	17	130290000	130290020	130290019	110200119	110200118	130290022	130290021	130290024	130290023
1713025	瑟瑞斯-瞬刻-纯白午后	17	130290000	130290029	130290028	110200171	110200170	130290031	130290030	130290033	130290032
1713031	瑟瑞斯-悠游（默认）	17	130480000	130480002	130480003			130480005	130480004		
1713032	瑟瑞斯-悠游-碧波浮游	17	130480000	130480010	130480009	110200329	110200328	130480012	130480011	130480014	130480013
1713033	瑟瑞斯-悠游-霄倾君怀	17	130480000	130480020	130480019	110200387	110200386	130480022	130480021	130480024	130480023
1714011	辰星（默认）	17	130190000	130190002	130190003			130190004	130190005		
1714012	辰星-不灭守望	17	130190000	130190008	130190007	110200115	110200114	130190010	130190009	130190012	130190011
1714021	辰星-云篆（默认）	17	130210000	130210002	130210003			130210004	130210005		
1714022	辰星-云篆-丹翎野鹤	17	130210000	130210007	130210008	110200011	110200010	130210009	130210010	130210011	130210018
1714023	辰星-云篆-波光倩影	17	130210000	130210012	130210013	110200029	110200028	130210014	130210015	130210017	130210016
1714024	辰星-云篆-点墨化龙	17	130210000	130210020	130210019	110200093	110200092	130210022	130210021	130210024	130210023
1714031	辰星-琼弦（默认）	17	130390000	130390002	130390003			130390004	130390005		
1714032	辰星-琼弦-欣描红妆	17	130390000	130390010	130390009	110200167	110200166	130390012	130390011	130390014	130390013
1714033	辰星-琼弦-慵倚花阴	17	130390000	130390019	130390018	110200271	110200270	130390021	130390020	130390023	130390022
1714034	辰星-琼弦-柔倚身畔	17	130390000	130390028	130390027	110200341	110200340	130390030	130390029	130390032	130390031
1715011	凯茜娅-蓝闪（默认）	17	130250000	130250002	130250003			130250004	130250005		
1715012	凯茜娅-蓝闪-远曲独舞	17	130250000	130250008	130250007	110200043	110200042	130250010	130250009	130250012	130250011
1715013	凯茜娅-蓝闪-日常出行	17	130250000	130250014	130250013	110200057	110200056	130250016	130250015	130250018	130250017
1715014	凯茜娅-蓝闪-贴身特助	17	130250000	130250020	130250019	110200073	110200072	130250022	130250021	130250024	130250023
1715015	凯茜娅-蓝闪-精练特助	17	130250000	130250026	130250025	110200079	110200078	130250028	130250027	130250030	130250029
1715016	凯茜娅-蓝闪-幽闪魅踪	17	130250000	130250041	130250040	110200161	110200160	130250043	130250042	130250045	130250044
1715021	凯茜娅-朝翼（默认）	17	130330000	130330002	130330003			130330004	130330005		
1715022	凯茜娅-朝翼-沐浪倦姿	17	130330000	130330008	130330007	110200099	110200098	130330010	130330009	130330012	130330011
1715023	凯茜娅-朝翼-秘密彩蛋	17	130330000	130330020	130330019	110200157	110200156	130330022	130330021	130330024	130330023
1715024	凯茜娅-朝翼-绮锦流韵	17	130330000	130330026	130330025	110200211	110200210	130330028	130330027	130330030	130330029
1715031	凯茜娅-狂诗（默认）	17	130440000	130440002	130440003			130440005	130440004		
1715032	凯茜娅-狂诗-星抚恋音	17	130440000	130440010	130440009	110200295	110200294	130440012	130440011	130440014	130440013
1715033	凯茜娅-狂诗-花间蝶踪	17	130440000	130440020	130440019	110200351	110200350	130440022	130440021	130440024	130440023
1716011	伊切尔-豹豹（默认）	17	130260000	130260002	130260003			130260004	130260005		
1716012	伊切尔-豹豹-迟到花蕾	17	130260000	130260008	130260007	110200053	110200052	130260010	130260009	130260012	130260011
1716013	伊切尔-豹豹-绒绒漫步	17	130260000	130260014	130260013	110200085	110200084	130260016	130260015	130260018	130260017
1716014	伊切尔-豹豹-捕猎演习	17	130260000	130260020	130260019	110200159	110200158	130260022	130260021	130260024	130260023
1717011	苔丝-魔术师（默认）	17	130240000	130240002	130240003			130240004	130240005		
1717012	苔丝-魔术师-流放欢愉	17	130240000	130240008	130240007	110200035	110200034	130240010	130240009	130240012	130240011
1717013	苔丝-魔术师-秘密约会	17	130240000	130240014	130240013	110200065	110200064	130240016	130240015	130240018	130240017
1717021	苔丝-绮幻（默认）	17	130450000	130450002	130450003			130450005	130450004		
1717022	苔丝-绮幻-恋如花舞	17	130450000	130450010	130450009	110200299	110200298	130450012	130450011	130450014	130450013
1717023	苔丝-绮幻-新皮肤	17	130240000	130450019	130450018	110200427	110200426	130450021	130450020	130450023	130450022
1718011	薇蒂雅-龙舌兰（默认）	17	130320000	130320002	130320003			130320004	130320005		
1718012	薇蒂雅-龙舌兰-翠翎倩姿	17	130320000	130320008	130320007	110200095	110200094	130320010	130320009	130320012	130320011
1718013	薇蒂雅-龙舌兰-舞夜与焰	17	130320000	130320019	130320018	110200185	110200184	130320021	130320020	130320023	130320022
1718021	薇蒂雅-天鹅座（默认）	17	130430000	130430002	130430003			130430005	130430004		
1718022	薇蒂雅-天鹅座-云端之邀	17	130430000	130430010	130430009	110200281	110200280	130430012	130430011	130430014	130430013
1718023	薇蒂雅-天鹅座-海境鲛梦	17	130430000	130430019	130430018	110200333	110200332	130430021	130430020	130430023	130430022
1720011	卜卜-小天师（默认）	17	130370000	130370002	130370003			130370004	130370005		
1720012	卜卜-小天师-元气愈养	17	130370000	130370010	130370009	110200215	110200214	130370012	130370011	130370014	130370013
1720013	卜卜-小天师-畅饮狂欢	17	130370000	130370019	130370018	110200303	110200302	130370021	130370020	130370023	130370022
1720014	卜卜-小天师-雨沁轻衫	17	130370000	130370031	130370030	110200317	110200316	130370033	130370032	130370035	130370034
1720021	卜卜-灵鉴（默认）	17	130600000	130600002	130600003			130600005	130600004		
1720022	卜卜-灵鉴-绮恋星灵	17	130600000	130600010	130600009	110200371	110200370	130600012	130600011	130600014	130600013
1720023	卜卜-灵鉴-新皮肤	17	130370000	130600022	130600021	110200429	110200428	130600024	130600023	130600026	130600025
1721011	奈莉德-冥河代理人（默认）	17	130420000	130420002	130420003			130420005	130420004		
1721012	奈莉德-冥河代理人-晨曦统令	17	130420000	130420010	130420009	110200219	110200218	130420012	130420011	130420014	130420013
1721013	奈莉德-冥河代理人-热沙激浪	17	130420000	130420019	130420018	110200337	110200336	130420021	130420020	130420023	130420022
1721014	奈莉德-冥河代理人-游闲心舒	17	130420000	130420029	130420028	110200389	110200388	130420031	130420030	130420033	130420032
1722011	克罗瑞娜-绯月（默认）	17	130460000	130460002	130460003			130460005	130460004		
1722012	克罗瑞娜-绯月-皎月幽祈	17	130460000	130460010	130460009	110200321	110200320	130460012	130460011	130460014	130460013
1723011	米娅-星彩（默认）	17	130500000	130500002	130500003			130500005	130500004		
1723012	米娅-星彩-暗空魅影	17	130500000	130500010	130500009	110200353	110200352	130500012	130500011	130500014	130500013
1723013	米娅-星彩-祥云徜戏	17	130500000	130500019	130500018	110200391	110200390	130500021	130500020	130500023	130500022
1724011	胧嫣-瑞狐（默认）	17	130540000	130540002	130500003			130540005	130540004		
1724012	胧嫣-瑞狐-珠光曳影	17	130540000	130540010	130540009	110200411	110200410	130540012	130540011	130540014	130540013
