Id	组Id	点名	位置	任务区域	怪物Id	所属设计区域	特殊奖励	任务ID(对应task开启时不刷）
57	912	mon09_12_1	{-19122.7,-18353.6,90.4}	0	4001004	9	0	
58	912	mon09_12_2	{-19017.7,-18258.6,90.4}	0	4001003	9	0	
59	913	mon09_13_1	{-20515.0,-10975.2,95.9}	0	4001006	9	0	
60	913	mon09_13_2	{-19725.6,-10655.0,96.5}	0	4001007	9	0	
61	914	mon09_14_2	{-12690.6,-6871.3,95.6}	0	400160601	9	0	
62	915	mon09_15_2	{-7490.6,-5731.3,95.6}	0	4003016	9	0	
63	916	mon09_16_3	{-15386.0,-17253.5,95.6}	0	4003013	9	0	
64	916	mon09_16_4	{-14800.8,-16854.8,354.3}	0	4003013	9	0	
65	901	mon09_1_3	{-15057.3,-2691.1,60.0}	0	4001017	9	0	
66	901	mon09_1_4	{-14713.9,-4538.9,1073.0}	0	4001006	9	0	
67	921	mon09_21_2	{-818.5,-6047.7,95.6}	0	5002010	9	0	
68	902	mon09_2_3	{-18955.8,-7445.0,112.5}	0	4001002	9	0	
69	902	mon09_2_4	{-19029.0,-8354.9,112.5}	0	4002002	9	0	
70	903	mon09_3_3	{-3312.6,-4893.5,420.0}	0	4002013	9	0	
71	903	mon09_3_4	{-4832.0,-4169.0,60.0}	0	4002013	9	0	
72	904	mon09_4_3	{-13769.3,-16145.6,95.6}	0	4007013	9	0	
73	904	mon09_4_4	{-13648.4,-15694.5,95.6}	0	4007013	9	0	
74	905	mon09_5_2	{-8801.4,-17343.2,418.4}	0	5001019	9	0	
75	906	mon09_6_2	{-12231.7,252.5,80.4}	0	4001006	9	0	
76	906	mon09_6_4	{-14471.1,1568.3,80.4}	0	4001007	9	0	
77	907	mon09_7_2	{-17212.7,-8710.1,-1370.0}	0	5001018	9	0	
78	908	mon09_8_3	{-17430.1,-14094.2,95.6}	0	4001017	9	0	
79	908	mon09_8_4	{-17005.1,-14003.5,95.6}	0	4008013	9	0	
80	909	mon09_9_3	{-8878.1,-3503.9,-869.6}	0	400160202	9	0	
81	909	mon09_9_4	{-10215.5,-3005.6,-887.4}	0	400160202	9	0	
