唯一Id	类型	Pos	Rot	区域	传送点	时间类型	自定义参数1	自定义参数2	自定义参数3
40	0	{-5185.5,-1272.5,655.9}	{0.0,0.0,0.0}	1	0	{-4963.7,-406.1,652.8,-90.0}	579	0	0
41	0	{-5029.0,-652.7,669.8}	{0.0,0.0,0.0}	1	0	{-3899.1,-939.7,648.3,-180.0}	580	0	0
42	0	{-5140.0,-847.5,692.6}	{0.0,0.0,0.0}	1	0	{-3896.9,-919.2,648.3,-180.0}	581	0	0
43	23	{-4811.9,5224.3,4660.0}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	603	1	0
44	23	{319.1,-470.7,1165.2}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	604	2	0
45	21	{-7072.9,1619.6,667.6}	{0.0,0.0,0.0}	1	0	{-5952.9,1619.6,535.9,-180.0}	523	0	0
46	21	{4657.1,2689.5,324.4}	{0.0,-90.0,0.0}	1	0	{4657.1,2129.5,408.2,90.0}	502	0	0
47	21	{1803.1,-6261.0,125.8}	{0.0,90.0,0.0}	1	0	{1803.1,-5401.0,150.9,-90.0}	503	0	0
48	0	{-29.0,9894.1,441.9}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	612	12	0
49	0	{2305.4,3430.9,599.8}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	613	12	0
50	0	{4928.0,1165.7,710.7}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	614	12	0
51	0	{-1180.2,-1360.3,62.2}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	615	12	0
52	0	{-6632.0,2425.7,827.9}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	616	12	0
53	0	{-5069.7,10047.2,168.7}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	617	12	0
54	22	{-4900.6,-1274.5,577.9}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	0	0	0
55	0	{-4771.6,-3124.2,496.0}	{0.0,0.0,0.0}	1	0	{-4771.6,-2264.2,648.3,-90.0}	665	0	0
56	0	{-4830.2,-54.9,642.3}	{0.0,0.0,0.0}	1	0	{-4830.2,1478.4,535.9,-90.0}	508	0	0
57	0	{-4830.2,-54.9,642.3}	{0.0,0.0,0.0}	1	0	{-4830.2,1479.5,535.9,-90.0}	662	0	0
58	0	{-4830.2,-54.9,642.3}	{0.0,0.0,0.0}	1	0	{-4830.2,1479.3,535.9,-90.0}	663	0	0
59	0	{-4830.2,-54.9,642.3}	{0.0,0.0,0.0}	1	0	{-4830.2,1477.7,535.9,-90.0}	664	0	0
60	0	{-2878.2,13112.7,252.9}	{0.0,-180.0,0.0}	1	0	{-2878.2,13112.7,252.9,-180.0}	646	10	0
61	0	{288.8,2099.2,466.6}	{0.0,-24.9,0.0}	1	0	{288.8,2099.2,466.6,-24.9}	647	10	0
62	0	{-6080.0,-4127.6,408.2}	{0.0,0.0,0.0}	1	0	{-6080.0,-4127.6,408.2,0.0}	648	10	0
63	0	{2741.9,-5390.9,70.8}	{0.0,90.0,0.0}	1	0	{2741.9,-5390.9,70.8,90.0}	649	10	0
64	1	{-2769.1,2784.7,455.7}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	577	0	0
65	7	{-2887.4,-5484.5,74.9}	{0.0,-180.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	586	7	72
66	7	{-591.4,4273.5,452.6}	{0.0,0.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	587	7	71
67	0	{-4752.8,-1196.1,652.1}	{0.0,93.8,0.0}	1	0	{-4904.3,1071.2,535.9,-86.2}	509	19	1
68	0	{-2162.8,8940.6,442.9}	{0.0,0.0,0.0}	1	0	{-1768.2,8940.6,442.9,-180.0}	533	19	41
69	0	{-237.0,2036.6,540.9}	{0.0,-139.9,0.0}	1	0	{-686.2,1658.7,551.0,40.1}	531	19	14
70	0	{-2036.7,-2467.8,279.0}	{0.0,-76.1,0.0}	1	0	{-1895.6,-3037.6,284.4,103.9}	532	19	45
71	0	{-4802.6,-3728.8,568.0}	{0.0,87.5,0.0}	1	0	{-4773.1,-3222.9,478.0,-92.5}	550	0	0
72	0	{-4212.5,-3395.2,568.0}	{0.0,143.1,0.0}	1	0	{-4598.9,-3096.5,478.0,-36.9}	546	0	0
73	0	{-5382.6,-3355.1,568.0}	{0.0,31.2,0.0}	1	0	{-4928.6,-3088.1,478.0,-148.8}	548	0	0
74	0	{-3302.3,4190.2,573.8}	{0.0,8.5,0.0}	1	0	{-2721.6,4276.5,535.9,-171.5}	501	19	11
75	0	{-382.6,192.7,464.9}	{0.0,90.0,0.0}	1	0	{-846.2,1402.4,535.9,-60.5}	511	2	0
76	0	{-3802.0,4914.4,497.0}	{0.0,-90.0,0.0}	1	0	{-3161.2,4912.8,580.0,180.0}	510	1	0
77	7	{-3803.5,-124.7,568.2}	{0.0,140.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	0	13	0
78	5	{12619.1,5221.8,400.4}	{0.0,0.0,0.0}	3	0	{6215.7,5346.2,408.2,0.0}	541	301	301
79	5	{19738.8,5677.5,34.0}	{0.0,0.0,0.0}	3	0	{14614.6,5677.5,480.5,0.0}	542	3101	3101
80	5	{58220.3,6414.0,193.4}	{0.0,0.0,0.0}	3	0	{58220.3,2575.3,186.9,0.0}	540	3123	3123
81	0	{18726.1,601.8,362.8}	{0.0,0.0,0.0}	3	0	{19357.5,601.8,378.2,-180.0}	609	0	0
82	0	{13871.0,6351.9,462.2}	{0.0,0.0,0.0}	3	0	{13871.0,5950.1,480.5,90.0}	562	0	0
83	0	{16330.9,638.8,462.2}	{0.0,0.0,0.0}	3	0	{16330.9,1108.2,480.5,-90.0}	563	0	0
84	0	{10869.7,3353.5,669.9}	{0.0,0.0,0.0}	3	0	{10869.7,3702.9,719.7,-90.0}	564	0	0
85	0	{7406.2,8620.0,257.1}	{0.0,0.0,0.0}	3	0	{8416.4,7890.0,280.3,130.0}	565	0	0
86	0	{14330.1,526.8,480.1}	{0.0,0.0,0.0}	3	0	{15657.1,526.8,480.5,-180.0}	566	0	0
87	0	{18840.8,3531.3,93.2}	{0.0,0.0,0.0}	3	0	{19391.5,3531.3,104.2,-180.0}	567	0	0
88	0	{7973.3,12056.3,155.0}	{0.0,0.0,0.0}	3	0	{8477.6,12056.3,191.5,-180.0}	568	0	0
89	0	{15847.8,4664.0,449.0}	{0.0,0.0,0.0}	3	0	{15094.6,4664.0,480.5,0.0}	569	0	0
90	0	{18487.3,2126.4,453.1}	{0.0,0.0,0.0}	3	0	{17839.3,2126.4,489.3,0.0}	570	0	0
91	0	{21279.5,5364.3,121.0}	{0.0,85.0,0.0}	3	0	{20928.6,5364.3,104.2,0.0}	611	0	0
92	0	{16848.0,4464.5,400.4}	{0.0,-90.0,0.0}	3	0	{21364.1,-12383.1,0.0,90.0}	596	0	0
93	0	{11816.8,7447.1,81.7}	{0.0,-180.0,0.0}	3	0	{19053.1,-9018.1,-359.7,90.0}	597	0	0
94	0	{20076.0,519.3,360.7}	{0.0,5.6,0.0}	3	0	{20076.0,519.3,378.3,5.6}	668	0	0
95	1	{58408.5,2249.9,106.9}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	610	0	0
96	0	{8747.4,307.4,825.8}	{0.0,92.2,0.0}	3	0	{8739.1,701.3,735.9,-87.8}	549	0	0
97	0	{20213.9,533.8,468.1}	{0.0,-176.5,0.0}	3	0	{19781.1,514.7,378.3,3.5}	551	0	0
98	0	{20345.6,2714.7,194.0}	{0.0,130.0,0.0}	3	0	{20085.5,3035.5,104.2,-50.0}	591	0	0
99	0	{12015.6,10558.8,370.1}	{0.0,-140.0,0.0}	3	0	{11709.3,10310.9,280.3,40.0}	592	0	0
100	23	{7809.5,-12092.0,4149.1}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	601	9	0
101	23	{1705.0,-14885.0,879.5}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	602	10	0
102	0	{7731.7,-5667.6,942.7}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	624	12	0
103	0	{12170.7,-10794.9,729.7}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	625	12	0
104	0	{6363.4,-7998.8,608.7}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	626	12	0
105	0	{3045.2,-10482.6,507.6}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	627	12	0
106	0	{-1984.5,-11616.5,351.2}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	628	12	0
107	0	{9965.7,-13697.3,697.5}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	629	12	0
108	0	{157.0,-10894.5,82.0}	{0.0,-180.0,0.0}	4	0	{157.0,-10894.5,82.0,-180.0}	650	10	0
109	0	{10601.9,-2308.2,408.8}	{0.0,-180.0,0.0}	4	0	{10601.9,-2308.2,408.8,-180.0}	651	10	0
110	0	{11245.7,-9638.8,406.3}	{0.0,-90.0,0.0}	4	0	{11245.7,-9638.8,406.3,-90.0}	652	10	0
111	0	{9514.1,-15108.0,125.8}	{0.0,90.0,0.0}	4	0	{9514.1,-15108.0,125.8,90.0}	653	10	0
112	1	{5141.5,-8532.1,64.0}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	576	0	0
113	7	{10701.0,-4865.1,129.9}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	584	7	75
114	7	{1989.7,-18059.2,71.6}	{0.0,0.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	585	7	76
115	0	{980.5,-11232.1,162.2}	{0.0,-61.6,0.0}	4	0	{1168.4,-11579.1,162.2,118.4}	536	19	44
116	0	{-971.9,-12996.7,139.2}	{0.0,0.0,0.0}	4	0	{-171.6,-12619.2,206.0,-157.6}	535	19	45
117	0	{5761.2,-10789.6,167.7}	{0.0,131.5,0.0}	0	0	{5123.8,-10069.2,206.0,-48.5}	534	19	46
118	0	{2677.2,-14224.7,208.5}	{0.0,0.0,0.0}	4	0	{2702.1,-13423.4,206.0,-90.0}	522	10	0
119	0	{6784.3,-11598.9,163.6}	{0.0,90.0,0.0}	4	0	{5958.9,-12269.6,206.0,-0.0}	521	9	0
120	7	{1948.3,-10964.1,82.0}	{0.0,90.0,0.0}	4	0	{0.0,0.0,0.0,0.0}	0	13	0
121	5	{-1975.6,4973.8,465.9}	{0.0,0.0,0.0}	1	0	{-1795.3,9434.7,442.9,-90.0}	512	101	101
122	5	{-2865.7,12247.2,252.3}	{0.0,0.0,0.0}	1	0	{-1854.0,6649.1,535.9,90.0}	516	1111	1111
123	5	{2966.0,1568.4,345.3}	{0.0,0.0,0.0}	1	0	{-3143.3,1568.4,535.9,0.0}	513	114	114
124	0	{-1288.7,5321.1,496.9}	{0.0,0.0,0.0}	1	0	{-1806.2,5321.1,535.9,0.0}	554	0	0
125	0	{-3240.9,3317.0,563.0}	{0.0,0.0,0.0}	1	0	{-3240.9,3777.1,580.0,-90.0}	555	0	0
126	0	{-1712.2,9535.6,552.2}	{0.0,0.0,0.0}	1	0	{-1712.2,9535.6,442.9,0.0}	514	0	0
127	0	{-5679.3,3330.7,669.8}	{0.0,0.0,0.0}	1	0	{-5285.3,3323.7,580.0,-180.0}	547	0	0
128	0	{-5856.7,-860.2,649.5}	{0.0,86.3,0.0}	1	0	{-5873.1,-270.8,648.3,-90.0}	553	19	22
129	5	{6269.2,-12825.9,163.9}	{0.0,0.0,0.0}	4	0	{1725.1,-7371.1,206.0,-90.0}	543	402	402
130	5	{1043.1,-13695.2,232.1}	{0.0,0.0,0.0}	4	0	{7923.6,-9063.1,144.2,-180.0}	544	404	404
131	0	{3361.4,-9513.6,172.6}	{0.0,0.0,0.0}	4	0	{3361.4,-8646.0,144.2,-90.0}	571	0	0
132	0	{3723.5,-14129.5,298.9}	{0.0,0.0,0.0}	4	0	{4232.0,-14129.5,206.0,-180.0}	572	0	0
133	0	{2580.9,-17994.3,109.1}	{0.0,0.0,0.0}	4	0	{2580.9,-17413.0,143.2,-90.0}	573	0	0
134	0	{9444.3,-14442.9,328.7}	{0.0,90.0,0.0}	4	0	{-4998.5,-23892.9,0.0,90.0}	593	0	0
135	0	{345.8,-1896.3,455.7}	{0.0,90.0,0.0}	1	0	{0.0,0.0,0.0,0.0}	594	0	0
136	0	{9455.1,-15745.2,233.0}	{0.0,180.0,0.0}	4	0	{9075.9,-15745.9,143.2,-0.0}	588	0	0
137	0	{-859.7,-11538.7,233.0}	{0.0,0.0,0.0}	4	0	{-465.8,-11545.7,143.2,-180.0}	589	0	0
138	23	{10488.5,2177.5,1983.5}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	598	8	0
139	23	{14556.8,8551.0,5255.9}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	599	6	0
140	23	{16578.3,-1022.0,4492.3}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	600	7	0
141	21	{12744.3,-2611.6,630.5}	{0.0,0.0,0.0}	3	0	{13404.3,-2611.6,710.7,-180.0}	504	0	0
142	0	{59558.0,3546.4,165.5}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	630	12	0
143	0	{55132.9,3826.8,428.0}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	631	12	0
144	0	{54690.4,8331.8,1466.1}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	632	12	0
145	0	{56057.7,10555.8,193.2}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	633	12	0
146	0	{8124.8,1652.2,668.9}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	634	12	0
147	0	{11679.9,11959.5,39.5}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	635	12	0
148	0	{18925.7,7685.2,196.1}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	636	12	0
149	0	{21463.3,2316.3,486.3}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	637	12	0
150	0	{18269.6,-1861.3,996.4}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	638	12	0
151	0	{14778.4,-2598.2,498.6}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	639	12	0
152	0	{12254.4,2194.1,897.7}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	640	12	0
153	0	{7442.9,5790.1,2230.1}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	641	12	0
154	0	{8148.9,9203.8,271.2}	{0.0,-130.3,0.0}	3	0	{8148.9,9203.8,271.2,-130.3}	654	10	0
155	0	{18324.1,7596.4,446.1}	{0.0,90.0,0.0}	3	0	{18324.1,7596.4,446.1,90.0}	655	10	0
156	0	{20368.7,6269.5,18.4}	{0.0,-45.0,0.0}	3	0	{20368.7,6269.5,18.4,-45.0}	656	10	0
157	0	{16333.7,4464.1,400.4}	{0.0,-180.0,0.0}	3	0	{16333.7,4464.1,400.4,-180.0}	657	10	0
158	0	{10731.8,422.4,655.8}	{0.0,0.0,0.0}	3	0	{10731.8,422.4,655.8,0.0}	658	10	0
159	0	{53771.5,7016.2,652.9}	{0.0,-180.0,0.0}	5	0	{53771.5,7016.2,652.9,-180.0}	659	10	0
160	0	{59835.5,8019.5,193.3}	{0.0,-180.0,0.0}	5	0	{59835.5,8019.5,193.3,-180.0}	660	10	0
161	0	{56366.2,4575.6,193.3}	{0.0,-64.0,0.0}	5	0	{56366.2,4575.6,193.3,-64.0}	661	10	0
162	1	{9762.4,6342.5,400.4}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	575	0	0
163	7	{9570.6,12336.1,31.5}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	582	7	73
164	7	{56765.9,10657.5,221.8}	{0.0,0.0,0.0}	5	0	{0.0,0.0,0.0,0.0}	583	7	74
165	0	{21060.4,4567.3,90.2}	{0.0,-143.5,0.0}	3	0	{20743.4,4332.4,104.2,36.5}	507	19	32
166	0	{15761.3,2401.4,480.5}	{0.0,160.0,0.0}	3	0	{15390.5,2536.4,480.6,-20.0}	526	19	43
167	0	{16028.3,6932.5,498.9}	{0.0,-138.1,0.0}	3	0	{15259.4,6910.9,498.9,1.0}	524	19	34
168	0	{19996.4,7032.9,88.5}	{0.0,0.0,0.0}	3	0	{20583.5,7032.9,87.0,-180.0}	525	19	33
169	0	{14932.2,337.2,401.7}	{0.0,0.0,0.0}	3	0	{15671.5,875.1,480.5,-90.0}	520	7	0
170	0	{14497.1,7324.3,423.5}	{0.0,-180.0,0.0}	3	0	{14847.5,6227.6,480.5,90.0}	518	6	0
171	0	{10037.2,3418.0,626.4}	{0.0,-180.0,0.0}	3	0	{10237.8,4032.1,709.7,-90.0}	519	8	0
172	7	{12815.6,6372.7,400.4}	{0.0,0.0,0.0}	3	0	{0.0,0.0,0.0,0.0}	0	13	0
