活动Id	排序	描述	图片	开启时间	结束时间	跳转	备注	每日弹的开启时间	每日弹的结束时间	弹出的次数(常规是每日,结合终身标记)	是否终身(限制次数,0默认否1是)	解锁条件(例{{{1,1}}})（1账号等级 2前置关卡 3获得某个道具）双{{}}隔开为或条件，单{}隔开为且条件	不弹条件(例{{1,1}})（1账号等级 2前置关卡 33拥有某个道具，14表示供应站中的ID）	7天不弹开关(0默认不显示1显示)	对应的界面	强制跳转（填1关闭时强制跳转	地区限制目前可填：0国内外,1国内,2海外
66	3		1602933	[202510161000]	[202510230400]	{8,4,1040}	瑟瑞斯-悠游-碧波浮游（皮肤）打脸图	[202510161000]	[202510230400]	1		{{{2,11429}},{{2,10104}}}	{{14,657},{14,1040}}				
																	
67	1		1603051	[202511060400]	[202511130400]		版本打脸图	[202511060400]	[202511130400]	1		{{{2,11429}},{{2,10104}}}					
68	2		1603044	[202511060400]	[202511130400]	{8,4,1043}	米娅星彩-暗空魅影（皮肤）打脸图	[202511060400]	[202511130400]	1		{{{2,11429}},{{2,10104}}}	{{14,661},{14,1043}}				
70	3		1603062	[202605080400]	[202606190400]	{15,390}	3.3适格启忆录晴霆光	[202605080400]	[202606190400]	1		{{{2,11429}},{{2,10104}}}	{{33,1,6,3,1}}		Invited2		
69	4		1603008	[202511271000]	[202512040400]	{8,4,1044}	晴霆光-清光虔愿（皮肤）打脸图	[202511271000]	[202512040400]	1		{{{2,11429}},{{2,10104}}}	{{14,662},{14,1044}}				
																	
39			1602161	[202309211000]	[204011021000]	{15,39}	海外专属活动			1	1	{{{2,11429}},{{2,10104}}}			ActivityCharge		2
																	
63			1602943				精锐入队打脸图			1	1		{{28,"202509250400"}}				
																	
71	3		1603105	[202601011000]	[202601290400]	{15,405}	3.4适格启忆录猫汐尔	[202601011000]	[202601290400]	1		{{{2,11429}},{{2,10104}}}	{{33,1,12,3,1}}			1	
72	1		1603092	[202512180400]	[202512250400]		版本打脸图	[202512180400]	[202512250400]	1		{{{2,11429}},{{2,10104}}}					
73	2		1603080	[202512180400]	[202512250400]	{8,4,1047}	卜卜灵鉴-绮恋星灵（皮肤）打脸图	[202512180400]	[202512250400]	1		{{{2,11429}},{{2,10104}}}	{{14,664},{14,1047}}				
74	4		1603082	[202601011000]	[202601080400]	{8,4,1048}	猫汐尔莲驱-喵语祈念（皮肤）打脸图	[202601011000]	[202601080400]	1		{{{2,11429}},{{2,10104}}}	{{14,665},{14,1048}}				
																	
75	1		1603173	[202601290400]	[202602050400]		版本打脸图	[202601290400]	[202602050400]	1		{{{2,11429}},{{2,10104}}}					
76	2		1603171	[202601290400]	[202602050400]	{8,4,1050}	安卡希雅时之重奏-缘音回响（皮肤）打脸图	[202601290400]	[202602050400]	1		{{{2,11429}},{{2,10104}}}	{{14,667},{14,1050}}				
77	3		1603129	[202602121000]	[202602190400]	{8,4,1051}	茉莉安霄鹰-纯白恋羽（皮肤）打脸图	[202602121000]	[202602190400]	1		{{{2,11429}},{{2,10104}}}	{{14,668},{14,1051}}				
																	
78	4		1603105	[202605221000]	[202606190400]	{15,602}	3.6适格启忆录芙提雅	[202605221000]	[202606190400]	1		{{{2,11429}},{{2,10104}}}	{{33,1,4,4,1}}		Invited2		
79	1		1603227	[202605080400]	[202605150400]		版本打脸图	[202605080400]	[202605150400]	1		{{{2,11429}},{{2,10104}}}					
80	2		1603212	[202605080400]	[202605150400]	{8,4,1054}	胧嫣瑞狐-珠光曳影（皮肤）打脸图	[202605080400]	[202605150400]	1		{{{2,11429}},{{2,10104}}}	{{14,671},{14,1054}}				
81	3		1603208	[202605221000]	[202605290400]	{8,4,1055}	芙提雅炬芯国主驾到（皮肤）打脸图	[202605221000]	[202605290400]	1		{{{2,11429}},{{2,10104}}}	{{14,672},{14,1055}}				
