关卡ID（5500-6500）	地图ID	局内阶段	RoomID	多诺探索层数ID	房间随机权重	房间类型	是否不传送门传送(1=不传送）	传送tag	是否传送到新阶段（是=1）	传送门tag（决定刷新哪批传送门）	是否为无尽模式结算点（1=是）	结算点（1=结算2=继续）	引导期间结算点（填写引导ID，引导未完成就继续执行）	任务期间结算点（填写任务ID，任务未完成就继续执行，引导限制优先）	交互点（配tag）	交互点类型（配置蓝图路径）	皮肤名	备注	AI导演Id	数值模板	房间Tag	逻辑地图	Task路径	房间BGM
6123	5501	1	3	4	100	9		104		Door104					Active104	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段1_区域3_奇遇战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch13/DonoDuelCatch13_3.DonoDuelCatch13_3	
6124	5501	1	3	4	100	7		104		Door104					Active104	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段1_区域3_奇遇_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch13/DonoDuelCatch13_4.DonoDuelCatch13_4	
6125	5501	1	3	4	100	5		104		Door104					Active104	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueRecover.BP_DonoRogueRecover	阶段1_区域3_恢复_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch13/DonoDuelCatch13_5.DonoDuelCatch13_5	
																								
6131	5501	1	4	5	1000	3	1		1	Door105				108			阶段1_区域4_BOSS关			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch11.DonoDuelCatch11	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch14/DonoDuelCatch14_1.DonoDuelCatch14_1	
																								
6211	5502	2	1	6	500	1		201		Door201							阶段2_区域1_普通战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch21/DonoDuelCatch21_1.DonoDuelCatch21_1	
6212	5502	2	1	6	200	2		201		Door201							阶段2_区域1_精英战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch21/DonoDuelCatch21_2.DonoDuelCatch21_2	
6213	5502	2	1	6	10	4		201		Door201							阶段2_区域1_代币战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch21/DonoDuelCatch21_3.DonoDuelCatch21_3	
6214	5502	2	1	6	50	8		201		Door201					Active201	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueTurntable.BP_DonoRogueTurntable	阶段2_区域1_游戏_无战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch21/DonoDuelCatch21_4.DonoDuelCatch21_4	
6215	5502	2	1	6	100	5		201		Door201					Active201	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueRecover.BP_DonoRogueRecover	阶段2_区域1_恢复_无战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch21/DonoDuelCatch21_5.DonoDuelCatch21_5	
6216	5502	2	1	6	0	6		201		Door201					Active201	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonCulture.BP_DonoRogueWonCulture	阶段2_区域1_技能_无战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch21/DonoDuelCatch21_6.DonoDuelCatch21_6	
																								
6221	5502	2	2	7	500	1		202		Door202							阶段2_区域2_普通战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch22/DonoDuelCatch22_1.DonoDuelCatch22_1	
6222	5502	2	2	7	200	2		202		Door202							阶段2_区域2_精英战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch22/DonoDuelCatch22_2.DonoDuelCatch22_2	
6223	5502	2	2	7	150	4		202		Door202							阶段2_区域2_代币战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch22/DonoDuelCatch22_3.DonoDuelCatch22_3	
6224	5502	2	2	7	50	9		202		Door202					Active202	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段2_区域2_奇遇战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch22/DonoDuelCatch22_4.DonoDuelCatch22_4	
6225	5502	2	2	7	30	8		202		Door202					Active202	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueTurntable.BP_DonoRogueTurntable	阶段2_区域2_游戏_无战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch22/DonoDuelCatch22_5.DonoDuelCatch22_5	
6226	5502	2	2	7	50	5		202		Door202					Active202	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueRecover.BP_DonoRogueRecover	阶段2_区域2_恢复_无战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch22/DonoDuelCatch22_6.DonoDuelCatch22_6	
6227	5502	2	2	7	0	6		202		Door202					Active202	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonCulture.BP_DonoRogueWonCulture	阶段2_区域2_技能_无战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch22/DonoDuelCatch22_7.DonoDuelCatch22_7	
																								
6241	5502	2	3	8	400	1		204		Door204							阶段2_区域3_普通战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_1.DonoDuelCatch24_1	
6242	5502	2	3	8	200	2		204		Door204							阶段2_区域3_精英战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_2.DonoDuelCatch24_2	
6243	5502	2	3	8	200	4		204		Door204							阶段2_区域3_代币战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_3.DonoDuelCatch24_3	
6244	5502	2	3	8	50	9		204		Door204					Active204	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段2_区域3_奇遇战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_4.DonoDuelCatch24_4	
6245	5502	2	3	8	50	7		204		Door204					Active204	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段2_区域3_奇遇_无战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_5.DonoDuelCatch24_5	
6246	5502	2	3	8	10	8		204		Door204					Active204	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueTurntable.BP_DonoRogueTurntable	阶段2_区域3_游戏_无战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_6.DonoDuelCatch24_6	
6247	5502	2	3	8	150	5		204		Door204					Active204	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueRecover.BP_DonoRogueRecover	阶段2_区域3_恢复_无战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_7.DonoDuelCatch24_7	
6248	5502	2	3	8	0	9		204		Door204					Active204	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonCulture.BP_DonoRogueWonCulture	阶段2_区域3_技能_无战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_8.DonoDuelCatch24_8	
6249	5502	2	3	8	400	12		204		Door204							阶段2_区域3_普通战斗_限时			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_9.DonoDuelCatch24_9	
6250	5502	2	3	8	200	13		204		Door204							阶段2_区域3_精英战斗_脆血			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch24/DonoDuelCatch24_10.DonoDuelCatch24_10	
																								
6251	5502	2	4	9	1000	3		205	1	Door205				201			阶段2_区域4_BOSS关			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch21.DonoDuelCatch21	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch25/DonoDuelCatch25_1.DonoDuelCatch25_1	
																								
6311	5503	3	1	10	400	1		301		Door301							阶段3_区域1_普通战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch31/DonoDuelCatch31_1.DonoDuelCatch31_1	
6312	5503	3	1	10	400	7		301		Door301					Active301	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段3_区域1_奇遇_无战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch31/DonoDuelCatch31_2.DonoDuelCatch31_2	
6313	5503	3	1	10	10	8		301		Door301					Active301	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueTurntable.BP_DonoRogueTurntable	阶段3_区域1_游戏_无战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch31/DonoDuelCatch31_3.DonoDuelCatch31_3	
6314	5503	3	1	10	50	5		301		Door301					Active301	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueRecover.BP_DonoRogueRecover	阶段3_区域1_恢复_无战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch31/DonoDuelCatch31_4.DonoDuelCatch31_4	
6315	5503	3	1	10	0	6		301		Door301					Active301	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonCulture.BP_DonoRogueWonCulture	阶段3_区域1_技能_无战斗			easy		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch31/DonoDuelCatch31_5.DonoDuelCatch31_5	
																								
6321	5503	3	2	11	300	1		302		Door302							阶段3_区域2_普通战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch32/DonoDuelCatch32_1.DonoDuelCatch32_1	
6322	5503	3	2	11	200	2		302		Door302							阶段3_区域2_精英战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch32/DonoDuelCatch32_2.DonoDuelCatch32_2	
6323	5503	3	2	11	200	4		302		Door302							阶段3_区域2_代币战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch32/DonoDuelCatch32_3.DonoDuelCatch32_3	
6324	5503	3	2	11	300	9		302		Door302					Active302	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段3_区域2_奇遇战斗			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch32/DonoDuelCatch32_4.DonoDuelCatch32_4	
6325	5503	3	2	11	300	12		302		Door302							阶段3_区域2_普通战斗_限时			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch32/DonoDuelCatch32_5.DonoDuelCatch32_5	
6326	5503	3	2	11	200	13		302		Door302							阶段3_区域2_精英战斗_脆血			normal		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch32/DonoDuelCatch32_6.DonoDuelCatch32_6	
																								
6341	5503	3	3	12	300	1		304		Door304							阶段3_区域3_普通战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch34/DonoDuelCatch34_1.DonoDuelCatch34_1	
6342	5503	3	3	12	200	2		304		Door304							阶段3_区域3_精英战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch34/DonoDuelCatch34_2.DonoDuelCatch34_2	
6343	5503	3	3	12	200	4		304		Door304							阶段3_区域3_代币战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch34/DonoDuelCatch34_3.DonoDuelCatch34_3	
6344	5503	3	3	12	300	9		304		Door304					Active304	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段3_区域3_奇遇战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch34/DonoDuelCatch34_4.DonoDuelCatch34_4	
6345	5503	3	3	12	300	12		304		Door304							阶段3_区域3_普通战斗_限时			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch34/DonoDuelCatch34_5.DonoDuelCatch34_5	
6346	5503	3	3	12	200	13		304		Door304							阶段3_区域3_精英战斗_脆血			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch34/DonoDuelCatch34_6.DonoDuelCatch34_6	
																								
6351	5503	3	4	13	500	8		305	1	Door305	1				Active305	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueTurntable.BP_DonoRogueTurntable	阶段3_区域4_游戏_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch35/DonoDuelCatch35_1.DonoDuelCatch35_1	
6352	5503	3	4	13	600	5		305	1	Door305	1				Active305	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueRecover.BP_DonoRogueRecover	阶段3_区域4_恢复_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch35/DonoDuelCatch35_2.DonoDuelCatch35_2	
6353	5503	3	4	13	0	6		305	1	Door305	1				Active305	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonCulture.BP_DonoRogueWonCulture	阶段3_区域4_技能_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch31.DonoDuelCatch31	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch35/DonoDuelCatch35_3.DonoDuelCatch35_3	
																								
6411	5504	4	1		1000	11		401		Door401		1					阶段4_区域1_BOSS关_厚血_结束			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch36/DonoDuelCatch36_1.DonoDuelCatch36_1	
6412	5504	4	1	14	1000	10		401		Door401		2					阶段4_区域1_BOSS关_厚血_无尽			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch36/DonoDuelCatch36_1.DonoDuelCatch36_1	
																								
6421	5504	4	2		350	1		401		Door401							阶段4_区域1_普通战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelCatch41/DonoDuelCatch41_1.DonoDuelCatch41_1	
6422	5504	4	2		250	2		401		Door401							阶段4_区域1_精英战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_2.DonoDuelCatch41_2	
6423	5504	4	2		150	4		401		Door401							阶段4_区域1_代币战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_3.DonoDuelCatch41_3	
6424	5504	4	2		50	9		401		Door401					Active401	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段4_区域1_奇遇战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_4.DonoDuelCatch41_4	
6425	5504	4	2		50	3		401		Door401							阶段4_区域1_BOSS关			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_5.DonoDuelCatch41_5	
6426	5504	4	2		50	7		401		Door401					Active401	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonder.BP_DonoRogueWonder	阶段4_区域1_奇遇_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_6.DonoDuelCatch41_6	
6427	5504	4	2		50	8		401		Door401					Active401	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueTurntable.BP_DonoRogueTurntable	阶段4_区域1_游戏_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_7.DonoDuelCatch41_7	
6428	5504	4	2		50	5		401		Door401					Active401	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueRecover.BP_DonoRogueRecover	阶段4_区域1_恢复_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_8.DonoDuelCatch41_8	
6429	5504	4	2		0	6		401		Door401					Active401	/Game/Blueprints/DonoDuel/Actors/BP_DonoRogueWonCulture.BP_DonoRogueWonCulture	阶段4_区域1_技能_无战斗			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_9.DonoDuelCatch41_9	
6430	5504	4	2		350	12		401		Door401							阶段4_区域1_普通战斗_限时			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_10.DonoDuelCatch41_10	
6431	5504	4	2		250	13		401		Door401							阶段4_区域1_精英战斗_脆血			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_11.DonoDuelCatch41_11	
6432	5504	4	2		50	14		401		Door401							阶段4_区域1_BOSS关_厚血			hard		/Game/Blueprints/LevelTask/Level/DonoDuel/DonoDuelCatch41.DonoDuelCatch41	/Game/Blueprints/LevelTask/Tasks/DonoDuel/DonoDuelcatch41/DonoDuelCatch41_12.DonoDuelCatch41_12	
