ID（141+x(枪械编号)+编号参数（xxxxx)	备注	定义（11=后勤 12=角色 13=武器 14=武器配件）	大图200*200	大图130*130
1412047	魅惑爪痕·弹匣	14	141204700	141204701
1412048	湿地公园	14	141204900	141204901
1412049	红锈	14	141205000	141205001
1412050	维京斧	14	141205100	141205101
1412051	结晶凿	14	141204800	141204801
1412052	王牌怪诞·弹匣	14	141205300	141205301
1412053	仙境通行·记录仪	14	141205200	141205201
1412054	SSR商店瞄准 连狙临时	14	141205400	141205401
1412055	SSR奖励下挂	14	141205600	141205601
1412056	SR奖励弹匣	14	141205500	141205501
1412057	SSR枪口连狙临时	14	141205700	141205701
1412058	SR枪口连狙临时	14	141205800	141205801
1412059	SSR瞄准连狙临时	14	141205900	141205901
1412060	SR枪口连狙临时DLC3.4	14	141206100	141206101
1412061	SSR弹夹连狙临时DLC3.4	14	141106000	141106001
1412062	SR模块连狙临时DLC3.7	14	141206300	141206301
1412063	SSR瞄准连狙临时DLC3.7	14	141206200	141206201
				
				
1413000	凌晨五点叛徒·瞄准镜	14	141300000	141300001
1413001	凌晨五点叛徒·电筒	14	141300100	141300101
1413002	凌晨五点叛徒·收束器	14	141300200	141300201
1413003	羟色胺·瞄准镜	14	141300300	141300301
1413004	羟色胺·挂件	14	141300400	141300401
1413005	羟色胺·抑制器	14	141300500	141300501
1413006	堇青石·瞄准镜	14	141300600	141300601
1413007	堇青石·辅助模块	14	141300700	141300701
1413008	堇青石·收束器	14	141300800	141300801
1413009	绿色卫士·瞄准镜	14	141300900	141300901
1413010	青金石·瞄准镜	14	141301000	141301001
1413011	太阳酬金·瞄准镜	14	141301100	141301101
1413012	龙涎香·照准仪	14	141301200	141301201
1413013	瓦尔基里2056·抑制器	14	141301300	141301301
1413014	小粮食·制退器	14	141301400	141301401
1413015	霓虹灯管·照准仪	14	141301500	141301501
1413016	红夜行·辅助模块	14	141301600	141301601
1413017	大宝贝儿·电筒	14	141301700	141301701
1413018	不协和音·照准仪	14	141301800	141301801
1413019	送葬者·消焰器	14	141301900	141301901
1413026	机械警官·瞄准镜	14	141302600	141302601
1413031	摄影师·瞄准镜	14	141303100	141303101
1413032	摄影师·电筒	14	141303200	141303201
1413033	摄影师·收束器	14	141303300	141303301
1413034	岩蟒	14	141303800	141303801
1413035	冰原	14	141303900	141303901
1413036	紫花地丁	14	141304000	141304001
1413037	全体警戒	14	141303400	141303401
1413038	正在播出	14	141304100	141304101
1413039	雷雨夜·抑制器	14	141303700	141303701
1413040	雷雨夜·瞄准镜	14	141303500	141303501
1413041	雷雨夜·制导模块	14	141303600	141303601
1413042	海洋童子军	14	141304100	141304101
1413043	镭射风虎·辅助模块	14	141304201	141304200
1413044	恶灵守护·瞄准镜	14	141304301	141304300
1413045	DLC8瑟瑞丝SSR专武-析出瞄准	14	141304601	141304600
1413046	DLC8瑟瑞丝SR专武-析出枪口	14	141304401	141304400
1413047	DLC8瑟瑞丝专武套装配件-侧下挂	14	141304501	141304500
1413048	SSR瞄准单管霰弹枪临时	14	141304900	141304901
1413049	SR枪口单管霰弹枪临时	14	141304800	141304801
1413050	SR模块单管霰弹枪临时	14	141304700	141304701
1413051	SSR瞄准单管霰弹枪临时恩雅2.6	14	141305200	141305201
1413052	SSR模块单管霰弹枪临时	14	141305000	141305001
1413053	SSR枪口单管霰弹枪临时	14	141305100	141305101
1413054	SSR模块单管霰弹枪临时	14	141305400	141305401
1413055	SR模块单管霰弹枪临时	14	141305300	141305301
1413056	SSR模块单管霰弹枪临时DLC3.3	14	141305700	141305701
1413057	SR瞄准单管霰弹枪临时DLC3.3	14	141305500	141305501
1413058	SR枪口单管霰弹枪临时DLC3.3	14	141305600	141305601
				
1414000	黑体·瞄准镜	14	141400000	141400001
1414001	黑体·电筒	14	141400100	141400101
1414002	黑体·加速线圈	14	141400200	141400201
1414003	黑体·弹匣	14	141400300	141400301
1414004	蓝移·瞄准镜	14	141400400	141400401
1414005	蓝移·照准仪	14	141400500	141400501
1414006	蓝移·枪口件	14	141400600	141400601
1414007	蓝移·弹匣	14	141400700	141400701
1414008	冰川·微型火控	14	141400800	141400801
1414009	冰川·制导模块	14	141400900	141400901
1414010	冰川·消焰器	14	141401000	141401001
1414011	冰川·弹巢	14	141401100	141401101
1414016	烂橘子·照准仪	14	141401600	141401601
1414017	剧毒尾针 ·消声器	14	141401700	141401701
1414018	玛萨拉酒·制导模块	14	141401800	141401801
1414023	小小工具·弹匣	14	141402300	141402301
1414025	星辰大海·弹匣	14	141402500	141402501
1414028	幸运时刻·瞄准镜	14	141402800	141402801
1414031	关键点·辅助模块	14	141403100	141403101
1414032	彩虹打火机·瞄准镜	14	141403200	141403201
1414033	松林极光·消声器	14	141403300	141403301
1414034	斯巴达·弹匣	14	141403400	141403401
1414035	胜天半子·照准仪	14	141403500	141403501
1414036	荒野微笑·瞄准镜	14	141403600	141403601
1414037	危险关系·瞄准镜	14	141403700	141403701
1414038	危险关系·照准仪	14	141403800	141403801
1414039	危险关系·消声器	14	141403900	141403901
1414040	危险关系·弹匣	14	141404000	141404001
1414041	是！是！船长！	14	141404200	141404201
1414042	野性装修	14	141404300	141404301
1414043	集中点	14	141405100	141405101
1414044	用心棒	14	141404100	141404101
1414045	铅雨·瞄准镜	14	141405200	141405201
1414046	青麦饮料	14	141405000	141405001
1414047	森林领主·消焰器	14	141404700	141404701
1414048	森林领主·瞄准镜	14	141404500	141404501
1414049	森林领主·弹匣（左轮）	14	141404800	141404801
1414050	森林领主·照准仪	14	141404600	141404601
1414051	街头丛林	14	141405000	141405001
1414052	铅雨·枪口	14	141405100	141405101
1414053	普赛克16·制导模块	14	141404400	141404401
1414054	黑脉桫椤·消声器	14	141405500	141405501
1414055	玫瑰之荣·消音器	14	141405300	141405301
1414056	渊光·辅助模块	14	141405400	141405401
1414057	澄叶·瞄准镜	14	141405600	141405601
1414058	抓拍胜机·枪口	14	141405800	141405801
1414059	顶尖补光·电筒	14	141405700	141405701
1414060	火鳞·瞄准镜	14	141406100	141406101
1414061	晚梅·弹匣	14	141405900	141405901
1414062	流焰融金·辅助模块	14	141406000	141406001
1414063	SR弹夹马格南手枪临时DLC3.2	14	141406200	141406201
1414064	SR瞄准马格南手枪临时DLC3.2	14	141406300	141406301
1414065	SSR模块马格南手枪临时DLC3.2	14	141406400	141406401
1414066	磁流效应·消音器	14	141406500	141406501
1414067	交感储能·弹匣	14	141406600	141406601
				
1415000	硫酸铜·瞄准镜	14	141500000	141500001
1415001	硫酸铜·照准仪	14	141500100	141500101
1415002	硫酸铜·消声器	14	141500200	141500201
1415003	硫酸铜·弹匣	14	141500300	141500301
1415004	氯化镍·瞄准镜	14	141500400	141500401
1415005	氯化镍·电筒	14	141500500	141500501
1415006	氯化镍·消声器	14	141500600	141500601
1415007	氯化镍·弹匣	14	141500700	141500701
1415008	双簧管·瞄准镜	14	141500800	141500801
1415009	双簧管·照准仪	14	141500900	141500901
1415010	双簧管·制退器	14	141501000	141501001
1415011	双簧管·弹匣	14	141501100	141501101
1415012	欢喜·辅助模块	14	141501200	141501201
1415013	怒不可遏·瞄准镜	14	141501300	141501301
1415014	审判前夜·记录仪	14	141501400	141501401
1415015	9700·弹匣	14	141501500	141501501
1415016	热带洋流·瞄准镜	14	141501600	141501601
1415017	熔岩骨骼·瞄准镜	14	141501700	141501701
1415023	草莓蛋糕·弹匣	14	141502300	141502301
1415024	楼道怪猫·消声器	14	141502400	141502401
1415026	动脉音律 ·听诊器	14	141502600	141502601
1415031	小黄鸭·辅助模块	14	141503100	141503101
1415032	腐肉便利店·消焰器	14	141503200	141503201
1415033	一块广告牌·弹匣	14	141503300	141503301
1415034	观测者·瞄准镜	14	141503400	141503401
1415035	观测者·制导模块	14	141503500	141503501
1415036	观测者·消焰器	14	141503600	141503601
1415037	观测者·弹匣	14	141503700	141503701
1415038	舒适圈	14	141504300	141504301
1415039	指示剂	14	141504400	141504401
1415040	纯黑花名册	14	141504500	141504501
1415041	灰垒	14	141503800	141503801
1415042	消防·消焰器	14	141504100	141504101
1415043	消防·瞄准镜	14	141503900	141503901
1415044	消防·弹匣	14	141504200	141504201
1415045	消防·电筒	14	141504000	141504001
1415046	朱书断邪	14	141504600	141504601
1415047	澄泥砚·辅助模块	14	141504700	141504701
1415048	像素时代·弹匣	14	141505000	141505001
1415049	捕心先锋·辅助模块	14	141504800	141504801
1415050	憧憬温度·弹匣	14	141504900	141504901
1415051	SSR瞄准突击步枪临时	14	141505300	141505301
1415052	SR枪口突击步枪临时	14	141505200	141505201
1415053	SR模块突击步枪临时	14	141505100	141505101
1415054	SSR瞄准突击步枪临时	14	141505600	141505601
1415055	SR弹夹突击步枪临时	14	141505400	141505401
1415056	SR瞄准突击步枪临时	14	141505500	141505501
1415057	SSR瞄准突击步枪临时	14	141206000	141206001
1415058	SR枪口突击步枪临时	14	141505700	141505701
1415059	SR模块突击步枪临时	14	141505800	141505801
1415060	SSR瞄准突击步枪临时DLC3.3	14	141506000	141506001
1415061	SR弹夹突击步枪临时DLC3.3	14	141505900	141505901
				
				
1416000	海王星·弓臂	14	141600010	141600011
1416001	风琴·箭筒	14	141600020	141600021
1416002	龙胆·瞄准	14	141600000	141600001
				
				
				
				
1417000	轮转辉光·辅助模块	14	141700000	141700001
1417001	轮转辉光·辅助模块	14	141700000	141700001
1417002	九夜之冕·扳机	14	141700010	141700011
1417003	洞悉者·消焰器	14	141700020	141700021
1417004	SR枪口双持冲锋枪临时DLC3.4	14	141700100	141700101
1417005	SR模块双持冲锋枪临时DLC3.4	14	141700110	141700111
1417006	SSR扳机双持冲锋枪临时DLC3.4	14	141700120	141700121
1417007	素影衔砂·扳机	14	141700130	141700131
1417008	朱映金霓·制退器	14	141700140	141700141
1417009	点绛唇·扳机	14	141700150	141700151
				
1418001	SSR配重弓临时	14	141800200	141800201
1418003	SR瞄具弓临时	14	141800100	141800101
1418002	SR握把弓临时	14	141800000	141800001
				
1419001	SSR弹夹加特林临时	14	141900200	141900201
1419002	SR握把加特林临时	14	141900000	141900001
1419003	SR模块加特林临时	14	141900100	141900101
				
				
14110001	SR握把飞剑临时DLC3.5	14	142000000	142000001
14110002	SR弹夹飞剑临时DLC3.5	14	142000100	142000101
14110003	SSR握把飞剑临时DLC3.5	14	142000200	142000201
				
				
14120001	SR枪口矛临时DLC3.7	14	61100100	61100101
14120002	SR配重矛临时DLC3.7	14	61100000	61100001
14120003	SSR枪口矛临时DLC3.7	14	61100200	61100201
