	注释	最佳射程提升	最远射程提升	破坏值百分比	硬直值加成	弹夹容量（固定值）	换弹时间加成	瞄准状态准确度	瞄准状态稳定性	准确度	稳定性		暴击率（霰弹枪）	更高镜头倍率	瞄准呼吸抖动		血量	攻击	防御		临界剧变速率提升	暴击伤害增幅	技能强度增幅	指挥值(%)	血量百分比	攻击百分比	防御百分比		距离衰减系数比率	能量获取效率	射速比率	单次子弹消耗	瞄准状态附加会心加成	瞄准状态附加暴击率	弱点加成（百分比数值）	移动速度
10183	青麦饮料									10.13							84																			
10184																																				
10185	街头丛林									10.13							84																			
10186																																				
10187	朱书断邪										24							11																		
																																				
10188	澄泥砚·辅助模块								40									15																		
																																				
10189	浅蓝触碰·枪口		13.5														84																			
10190	阳光水纹·枪口		13.5														84																			
10191	集中点			17														14																		
																																				
10192	合金真理·弹夹						7.13										80																			
10193	本相琥珀							22.5									113																			
																																				
10194	王牌怪诞·弹匣						7.5											9																		
10195	仙境通行·记录仪									12.75								14																		
																																				
10196	海王星·弓臂				13.5												127																			
10197	DLC5专武弩·SSR弩箭筒			18														20																		
10198	龙胆·瞄准										20.25							15																		
																																				
10199	镭射风虎										18							17																		
10200	恶灵守护									13.5								20																		
																																				
10201	善意陷阱·瞄准镜									12.75								14																		
10202	洁白之环·瞄准镜										20.25							10																		
10203	白夜别诗·制导模块							15										11																		
																																				
10204	黑脉桫椤·消声器		18															14																		
10205	玫瑰之荣·消音器	14.25																	3																	
10206	渊光·辅助模块								31.88									11																		
																																				
10207	王权连枷										19.13						134																			
10208	圣甲	14.25															120																			
10209	繁荣几何									13.5							169																			
																																				
10210	像素时代·弹匣										21.38								3																	
10211	捕心先锋·辅助模块									9								11																		
10212	捕心先锋·弹匣			18														14																		
10213	DLC9-R双持-SR枪口 临时																																			
10214	轮转辉光·辅助模块										21.38						120																			
10215	九夜之冕·扳机			12.75														16																		
10216	九夜之冕·消焰器	17																21																		
																																				
10217	净叶									10.13								10																		
10218	抓拍胜机			12														11																		
10219	顶尖补光										27							14																		
																																				
10220	亚特兰蒂斯												9					20																		
10221	冷锋							23.75										13																		
10222	深渊幽灵			12.75														16																		
10223	晶棱									11.25							113																			
10224	晴海星埃			12														11																		
10225	龙卷风										21.38								3																	
																																				
10226	折叠末日·瞄准镜										25.5							14																		
10227	极速烈闪·辅助模块			13.5														10																		
10228	梦幻捷径·弹匣										21.38							10																		
																																				
10229	火鳞									12								15																		
10230	晚梅			12.75													89																			
10231	流焰融金									9								11																		
																																				
10232	金喙·稳定器										24							23																		
10233	虹廊·弹匣									13.5									5																	
10234	正法·消焰器				13.5														3																	
10235	星熔靛夜·瞄准镜									9.56									4																	
10236	暗巷英雄·瞄准器				13.5													15																		
10237	茜羽破空·握把			12														17																		
																																				
10238	菱能视角										24							23																		
10239	沼泽之主·辅助模块								33.75								127																			
10240	紫棘·消焰器	12																17																		
																																				
10241	暗流·瞄准镜								45								113																			
10242	蛛网·弹匣						7.5												3																	
10243	苦潮·瞄准镜										18								4																	
10244	悠古节拍							15									141																			
10245	律息									12.75							178																			
																																				
10246	狙击瞄枪口		18															14																		
10247	嵌合			13.5													84																			
10248	真实之空									9								11																		
																																				
10249	纺织机·瞄准镜									12.75								14																		
10250	双钥·弹鼓			24														23																		
10251	无限之日·握把										20.25							15																		
10252	速旋青雨·辅助模块									9.56								16																		
10253	稳固色彩·制退器		13.5														84																			
10254	坚者之心·制导模块										19.13							11																		
																																				
10255	心冕·消焰器		18															14																		
10256	枯萎蔓延·弹匣						6											11																		
10257	瑰翼·瞄准镜							15										11																		
																																				
10258	完美结构·枪口				12.75													11																		
10259	净空炙星·瞄准镜							15										11																		
10260	远古螺旋·弹匣			12.75													89																			
10261	跃洋斑鳍·瞄准镜									10.13							84																			
10262	困境切割·瞄准镜							13.5										14																		
10263	游脊·										25.5						119																			
																																				
10264	传导之系·瞄准镜								42.5									14																		
10265	粉樱铭印·辅助模块									12.75								21																		
10266	爆裂甜蜜·瞄准镜									9.56								16																		
10267	织心秘语·制退器										18							17																		
10268	鸣雷戒律·弹匣						6.38											11																		
																																				
10269	松纸剪影·补偿器		12															17																		
10270	薪烛明痕·镭射模块									10.13								15																		
10271	灼芯流光·扳机						9											20																		
10272	净空启迪·制退器			12.75														11																		
10273	精械域·弹匣									13.5								14																		
																																				
10274	铁戒之刃·剑首									10.13								20																		
10275	星渊月刃·剑颚						6.38											21																		
10276	缀光·剑首			17														29																		
																																				
10277	绶礼荣辉·电筒									9.56								11																		
10278	棱光核心·弹匣				12													11																		
10279	多维界限·弹匣			18														14																		
																																				
10280	磁流效应·消音器										18						94																			
10281	交感储能·弹匣				17														5																	
10282	素影衔砂·扳机				15													14																		
10283	朱映金霓·镭射模块										19.13							16																		
10284	点绛唇·扳机									14.25								19																		
