ID	种类ID	备注	名称	品质	星级	图鉴Id(记录数据)	图标	占用形状ID	基础属性加成	主天赋类型	提供的天赋点	词缀生成范围	购买价格	卖出价格	随机和购买权重	地区限制目前可填：0国内外,1国内,2海外
1043	104	棋子	bagrogue.JigsawName104	3	3	18	1001304	2	{{"DefenceNum",100}}	6	{{6,3},{10,2}}	{{100,{2,2}}}	120	40	140	
1044	104	棋子	bagrogue.JigsawName104	4	4	19	1001304	2	{{"DefenceNum",200}}	6	{{6,4},{10,3}}	{{101,{2,3}}}	240	80	105	
1045	104	棋子	bagrogue.JigsawName104	5	5	20	1001304	2	{{"DefenceNum",400}}	6	{{6,5},{10,4}}	{{101,{3,3}}}	480	160	35	
1051	105	羽毛	bagrogue.JigsawName105	1	1	21	1001305	3	{{"DefenceNum",45}}	8	{{8,3}}	{{100,{1,1}}}	60	20	140	
1052	105	羽毛	bagrogue.JigsawName105	2	2	22	1001305	3	{{"DefenceNum",90}}	8	{{8,5}}	{{100,{1,2}}}	120	40	100	
1053	105	羽毛	bagrogue.JigsawName105	3	3	23	1001305	3	{{"DefenceNum",180}}	8	{{8,7}}	{{100,{2,2}}}	240	80	80	
1054	105	羽毛	bagrogue.JigsawName105	4	4	24	1001305	3	{{"DefenceNum",360}}	8	{{8,9}}	{{101,{3,3}}}	480	160	60	
1055	105	羽毛	bagrogue.JigsawName105	5	5	25	1001305	3	{{"DefenceNum",720}}	8	{{8,12}}	{{101,{4,4}}}	960	320	20	
1061	106	鹰爪	bagrogue.JigsawName106	1	1	26	1001306	3	{{"AttackNum",122}}	4	{{4,3}}	{{200,{1,1}}}	60	20	140	
1062	106	鹰爪	bagrogue.JigsawName106	2	2	27	1001306	3	{{"AttackNum",243}}	4	{{4,5}}	{{200,{1,2}}}	120	40	100	
1063	106	鹰爪	bagrogue.JigsawName106	3	3	28	1001306	3	{{"AttackNum",486}}	4	{{4,7}}	{{200,{2,2}}}	240	80	80	
1064	106	鹰爪	bagrogue.JigsawName106	4	4	29	1001306	3	{{"AttackNum",972}}	4	{{4,9}}	{{201,{3,3}}}	480	160	60	
1065	106	鹰爪	bagrogue.JigsawName106	5	5	30	1001306	3	{{"AttackNum",1944}}	4	{{4,12}}	{{201,{4,4}}}	960	320	20	
1071	107	剑齿虎牙齿	bagrogue.JigsawName107	1	1	31	1001307	4	{{"AttackNum",122}}	4	{{4,3}}	{{200,{1,1}}}	60	20	140	
1072	107	剑齿虎牙齿	bagrogue.JigsawName107	2	2	32	1001307	4	{{"AttackNum",243}}	4	{{4,5}}	{{200,{1,2}}}	120	40	100	
1073	107	剑齿虎牙齿	bagrogue.JigsawName107	3	3	33	1001307	4	{{"AttackNum",486}}	4	{{4,7}}	{{200,{2,2}}}	240	80	80	
1074	107	剑齿虎牙齿	bagrogue.JigsawName107	4	4	34	1001307	4	{{"AttackNum",972}}	4	{{4,9}}	{{201,{3,3}}}	480	160	60	
1075	107	剑齿虎牙齿	bagrogue.JigsawName107	5	5	35	1001307	4	{{"AttackNum",1944}}	4	{{4,12}}	{{201,{4,4}}}	960	320	20	
1081	108	方解石	bagrogue.JigsawName108	1	1	36	1001308	4	{{"DefenceNum",45}}	3	{{3,3}}	{{100,{1,1}}}	60	20	140	
1082	108	方解石	bagrogue.JigsawName108	2	2	37	1001308	4	{{"DefenceNum",90}}	3	{{3,5}}	{{100,{1,2}}}	120	40	100	
1083	108	方解石	bagrogue.JigsawName108	3	3	38	1001308	4	{{"DefenceNum",180}}	3	{{3,7}}	{{100,{2,2}}}	240	80	80	
1084	108	方解石	bagrogue.JigsawName108	4	4	39	1001308	4	{{"DefenceNum",360}}	3	{{3,9}}	{{101,{3,3}}}	480	160	60	
1085	108	方解石	bagrogue.JigsawName108	5	5	40	1001308	4	{{"DefenceNum",720}}	3	{{3,12}}	{{101,{4,4}}}	960	320	20	
1091	109	菊石	bagrogue.JigsawName109	1	1	41	1001309	5	{{"DefenceNum",50}}	2	{{2,4}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1092	109	菊石	bagrogue.JigsawName109	2	2	42	1001309	5	{{"DefenceNum",100}}	2	{{2,6}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1093	109	菊石	bagrogue.JigsawName109	3	3	43	1001309	5	{{"DefenceNum",200}}	2	{{2,9}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1094	109	菊石	bagrogue.JigsawName109	4	4	44	1001309	5	{{"DefenceNum",400}}	2	{{2,12}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1095	109	菊石	bagrogue.JigsawName109	5	5	45	1001309	5	{{"DefenceNum",800}}	2	{{2,15}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1101	110	月光石	bagrogue.JigsawName110	1	1	46	1001310	5	{{"HealthNum",1250}}	3	{{3,3},{9,1}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1102	110	月光石	bagrogue.JigsawName110	2	2	47	1001310	5	{{"HealthNum",2500}}	3	{{3,4},{9,2}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1103	110	月光石	bagrogue.JigsawName110	3	3	48	1001310	5	{{"HealthNum",5000}}	3	{{3,6},{9,3}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1104	110	月光石	bagrogue.JigsawName110	4	4	49	1001310	5	{{"HealthNum",10000}}	3	{{3,8},{9,4}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1105	110	月光石	bagrogue.JigsawName110	5	5	50	1001310	5	{{"HealthNum",20000}}	3	{{3,9},{9,6}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1111	111	钥匙	bagrogue.JigsawName111	1	1	51	1001311	6	{{"HealthNum",1250}}	7	{{7,4}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1112	111	钥匙	bagrogue.JigsawName111	2	2	52	1001311	6	{{"HealthNum",2500}}	7	{{7,6}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1113	111	钥匙	bagrogue.JigsawName111	3	3	53	1001311	6	{{"HealthNum",5000}}	7	{{7,9}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1114	111	钥匙	bagrogue.JigsawName111	4	4	54	1001311	6	{{"HealthNum",10000}}	7	{{7,12}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1115	111	钥匙	bagrogue.JigsawName111	5	5	55	1001311	6	{{"HealthNum",20000}}	7	{{7,15}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1121	112	登山镐	bagrogue.JigsawName112	1	1	56	1001312	6	{{"AttackNum",135}}	2	{{2,3},{8,1}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1122	112	登山镐	bagrogue.JigsawName112	2	2	57	1001312	6	{{"AttackNum",270}}	2	{{2,4},{8,2}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1123	112	登山镐	bagrogue.JigsawName112	3	3	58	1001312	6	{{"AttackNum",540}}	2	{{2,6},{8,3}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1124	112	登山镐	bagrogue.JigsawName112	4	4	59	1001312	6	{{"AttackNum",1080}}	2	{{2,8},{8,4}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1125	112	登山镐	bagrogue.JigsawName112	5	5	60	1001312	6	{{"AttackNum",2160}}	2	{{2,9},{8,6}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1131	113	怪诞虫化石	bagrogue.JigsawName113	1	1	61	1001313	7	{{"HealthNum",1250}}	8	{{8,3},{10,1}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1132	113	怪诞虫化石	bagrogue.JigsawName113	2	2	62	1001313	7	{{"HealthNum",2500}}	8	{{8,4},{10,2}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1133	113	怪诞虫化石	bagrogue.JigsawName113	3	3	63	1001313	7	{{"HealthNum",5000}}	8	{{8,6},{10,3}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1134	113	怪诞虫化石	bagrogue.JigsawName113	4	4	64	1001313	7	{{"HealthNum",10000}}	8	{{8,8},{10,4}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1135	113	怪诞虫化石	bagrogue.JigsawName113	5	5	65	1001313	7	{{"HealthNum",20000}}	8	{{8,9},{10,6}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1141	114	猛犸獠牙	bagrogue.JigsawName114	1	1	66	1001314	7	{{"AttackNum",135}}	4	{{4,4}}	{{200,{1,1}},{200,{1,1}}}	60	20	112	
1142	114	猛犸獠牙	bagrogue.JigsawName114	2	2	67	1001314	7	{{"AttackNum",270}}	4	{{4,6}}	{{200,{1,1}},{200,{1,1}}}	120	40	80	
1143	114	猛犸獠牙	bagrogue.JigsawName114	3	3	68	1001314	7	{{"AttackNum",540}}	4	{{4,9}}	{{200,{2,2}},{200,{1,1}}}	240	80	64	
1144	114	猛犸獠牙	bagrogue.JigsawName114	4	4	69	1001314	7	{{"AttackNum",1080}}	4	{{4,12}}	{{201,{2,3}},{201,{1,2}}}	480	160	48	
1145	114	猛犸獠牙	bagrogue.JigsawName114	5	5	70	1001314	7	{{"AttackNum",2160}}	4	{{4,15}}	{{201,{3,3}},{201,{2,2}}}	960	320	16	
1151	115	仙人掌	bagrogue.JigsawName115	1	1	71	1001315	9	{{"HealthNum",1250}}	1	{{1,3},{11,1}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1152	115	仙人掌	bagrogue.JigsawName115	2	2	72	1001315	9	{{"HealthNum",2500}}	1	{{1,4},{11,2}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1153	115	仙人掌	bagrogue.JigsawName115	3	3	73	1001315	9	{{"HealthNum",5000}}	1	{{1,6},{11,3}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1154	115	仙人掌	bagrogue.JigsawName115	4	4	74	1001315	9	{{"HealthNum",10000}}	1	{{1,8},{11,4}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1155	115	仙人掌	bagrogue.JigsawName115	5	5	75	1001315	9	{{"HealthNum",20000}}	1	{{1,9},{11,6}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1161	116	三页鳞	bagrogue.JigsawName116	1	1	76	1001316	8	{{"DefenceNum",50}}	1	{{1,4}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1162	116	三页鳞	bagrogue.JigsawName116	2	2	77	1001316	8	{{"DefenceNum",100}}	1	{{1,6}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1163	116	三页鳞	bagrogue.JigsawName116	3	3	78	1001316	8	{{"DefenceNum",200}}	1	{{1,9}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1164	116	三页鳞	bagrogue.JigsawName116	4	4	79	1001316	8	{{"DefenceNum",400}}	1	{{1,12}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1165	116	三页鳞	bagrogue.JigsawName116	5	5	80	1001316	8	{{"DefenceNum",800}}	1	{{1,15}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1171	117	闪电式犄角	bagrogue.JigsawName117	1	1	81	1001317	10	{{"DefenceNum",50}}	9	{{9,3},{6,1}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1172	117	闪电式犄角	bagrogue.JigsawName117	2	2	82	1001317	10	{{"DefenceNum",100}}	9	{{9,4},{6,2}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1173	117	闪电式犄角	bagrogue.JigsawName117	3	3	83	1001317	10	{{"DefenceNum",200}}	9	{{9,6},{6,3}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1174	117	闪电式犄角	bagrogue.JigsawName117	4	4	84	1001317	10	{{"DefenceNum",400}}	9	{{9,8},{6,4}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1175	117	闪电式犄角	bagrogue.JigsawName117	5	5	85	1001317	10	{{"DefenceNum",800}}	9	{{9,9},{6,6}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1181	118	枯木	bagrogue.JigsawName118	1	1	86	1001318	11	{{"HealthNum",1250}}	1	{{1,4}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1182	118	枯木	bagrogue.JigsawName118	2	2	87	1001318	11	{{"HealthNum",2500}}	1	{{1,6}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1183	118	枯木	bagrogue.JigsawName118	3	3	88	1001318	11	{{"HealthNum",5000}}	1	{{1,9}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1184	118	枯木	bagrogue.JigsawName118	4	4	89	1001318	11	{{"HealthNum",10000}}	1	{{1,12}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1185	118	枯木	bagrogue.JigsawName118	5	5	90	1001318	11	{{"HealthNum",20000}}	1	{{1,15}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
1191	119	勋章	bagrogue.JigsawName119	1	1	91	1001319	12	{{"DefenceNum",70}}	6	{{6,5}}	{{100,{1,1}},{100,{1,1}}}	90	30	140	
1192	119	勋章	bagrogue.JigsawName119	2	2	92	1001319	12	{{"DefenceNum",140}}	6	{{6,7}}	{{100,{1,1}},{100,{1,1}}}	180	60	100	
1193	119	勋章	bagrogue.JigsawName119	3	3	93	1001319	12	{{"DefenceNum",280}}	6	{{6,10}}	{{100,{2,2}},{100,{2,2}}}	360	120	80	
1194	119	勋章	bagrogue.JigsawName119	4	4	94	1001319	12	{{"DefenceNum",560}}	6	{{6,14}}	{{101,{2,3}},{101,{2,3}}}	720	240	60	
1195	119	勋章	bagrogue.JigsawName119	5	5	95	1001319	12	{{"DefenceNum",1120}}	6	{{6,18}}	{{101,{3,3}},{101,{3,3}}}	1440	480	20	
1201	120	十字镖	bagrogue.JigsawName120	1	1	96	1001320	12	{{"AttackNum",189}}	4	{{4,3},{2,2}}	{{200,{1,1}},{200,{1,1}}}	90	30	140	
1202	120	十字镖	bagrogue.JigsawName120	2	2	97	1001320	12	{{"AttackNum",378}}	4	{{4,4},{2,3}}	{{200,{1,1}},{200,{1,1}}}	180	60	100	
1203	120	十字镖	bagrogue.JigsawName120	3	3	98	1001320	12	{{"AttackNum",756}}	4	{{4,6},{2,4}}	{{200,{2,2}},{200,{2,2}}}	360	120	80	
1204	120	十字镖	bagrogue.JigsawName120	4	4	99	1001320	12	{{"AttackNum",1512}}	4	{{4,8},{2,6}}	{{201,{2,3}},{201,{2,3}}}	720	240	60	
1205	120	十字镖	bagrogue.JigsawName120	5	5	100	1001320	12	{{"AttackNum",3024}}	4	{{4,10},{2,8}}	{{201,{3,3}},{201,{3,3}}}	1440	480	20	
##1211	121	蘑菇	bagrogue.JigsawName121	1	1	101	1001321	13	{{"AttackNum",189}}	1	{{1,3},{5,2}}	{{100,{1,1}},{100,{1,1}}}	90	30	140	
##1212	121	蘑菇	bagrogue.JigsawName121	2	2	102	1001321	13	{{"AttackNum",378}}	1	{{1,4},{5,3}}	{{100,{1,1}},{100,{1,1}}}	180	60	100	
##1213	121	蘑菇	bagrogue.JigsawName121	3	3	103	1001321	13	{{"AttackNum",756}}	1	{{1,6},{5,4}}	{{100,{2,2}},{100,{2,2}}}	360	120	80	
##1214	121	蘑菇	bagrogue.JigsawName121	4	4	104	1001321	13	{{"AttackNum",1512}}	1	{{1,8},{5,6}}	{{101,{2,3}},{101,{2,3}}}	720	240	60	
##1215	121	蘑菇	bagrogue.JigsawName121	5	5	105	1001321	13	{{"AttackNum",3024}}	1	{{1,10},{5,8}}	{{101,{3,3}},{101,{3,3}}}	1440	480	20	
1221	122	红宝石	bagrogue.JigsawName122	1	1	106	1001322	14	{{"AttackNum",203}}	3	{{3,3},{8,3}}	{{100,{1,1}},{100,{1,1}},{100,{1,1}}}	90	30	175	
1222	122	红宝石	bagrogue.JigsawName122	2	2	107	1001322	14	{{"AttackNum",405}}	3	{{3,5},{8,4}}	{{100,{1,1}},{100,{1,1}},{100,{1,1}}}	180	60	125	
1223	122	红宝石	bagrogue.JigsawName122	3	3	108	1001322	14	{{"AttackNum",810}}	3	{{3,7},{8,5}}	{{100,{2,2}},{100,{1,1}},{100,{1,1}}}	360	120	100	
1224	122	红宝石	bagrogue.JigsawName122	4	4	109	1001322	14	{{"AttackNum",1620}}	3	{{3,9},{8,7}}	{{101,{2,3}},{101,{1,2}},{101,{1,2}}}	720	240	75	
1225	122	红宝石	bagrogue.JigsawName122	5	5	110	1001322	14	{{"AttackNum",3240}}	3	{{3,12},{8,8}}	{{101,{3,3}},{101,{2,2}},{101,{2,2}}}	1440	480	25	
1231	123	书籍	bagrogue.JigsawName123	1	1	111	1001323	15	{{"DefenceNum",75}}	10	{{10,3},{6,3}}	{{300,{1,1}},{300,{1,1}},{300,{1,1}}}	90	30	175	
1232	123	书籍	bagrogue.JigsawName123	2	2	112	1001323	15	{{"DefenceNum",150}}	10	{{10,5},{6,4}}	{{300,{1,1}},{300,{1,1}},{300,{1,1}}}	180	60	125	
1233	123	书籍	bagrogue.JigsawName123	3	3	113	1001323	15	{{"DefenceNum",300}}	10	{{10,7},{6,5}}	{{300,{2,2}},{300,{1,1}},{300,{1,1}}}	360	120	100	
1234	123	书籍	bagrogue.JigsawName123	4	4	114	1001323	15	{{"DefenceNum",600}}	10	{{10,9},{6,7}}	{{301,{2,3}},{301,{1,2}},{301,{1,2}}}	720	240	75	
1235	123	书籍	bagrogue.JigsawName123	5	5	115	1001323	15	{{"DefenceNum",1200}}	10	{{10,12},{6,8}}	{{301,{3,3}},{301,{2,2}},{301,{2,2}}}	1440	480	25	
1241	124	黄铁矿	bagrogue.JigsawName124	1	1	116	1001324	16	{{"DefenceNum",95}}	7	{{7,4},{9,3}}	{{100,{1,1}},{100,{1,1}},{100,{1,1}}}	120	40	105	
1242	124	黄铁矿	bagrogue.JigsawName124	2	2	117	1001324	16	{{"DefenceNum",190}}	7	{{7,6},{9,4}}	{{100,{1,1}},{100,{1,1}},{100,{1,1}}}	240	80	75	
1243	124	黄铁矿	bagrogue.JigsawName124	3	3	118	1001324	16	{{"DefenceNum",380}}	7	{{7,9},{9,5}}	{{100,{2,2}},{100,{2,2}},{100,{1,1}}}	480	160	60	
1244	124	黄铁矿	bagrogue.JigsawName124	4	4	119	1001324	16	{{"DefenceNum",760}}	7	{{7,11},{9,7}}	{{101,{2,3}},{101,{2,3}},{101,{1,2}}}	960	320	45	
1245	124	黄铁矿	bagrogue.JigsawName124	5	5	120	1001324	16	{{"DefenceNum",1520}}	7	{{7,14},{9,8}}	{{101,{3,3}},{101,{3,3}},{101,{2,2}}}	1920	640	15	
1251	125	芯片/魔方	bagrogue.JigsawName125	1	1	121	1001325	17	{{"HealthNum",3000}}	7	{{7,9}}	{{100,{1,1}},{100,{1,1}},{100,{1,1}}}	150	50	105	
1252	125	芯片/魔方	bagrogue.JigsawName125	2	2	122	1001325	17	{{"HealthNum",6000}}	7	{{7,13}}	{{100,{2,2}},{100,{1,1}},{100,{1,1}}}	300	100	75	
1253	125	芯片/魔方	bagrogue.JigsawName125	3	3	123	1001325	17	{{"HealthNum",12000}}	7	{{7,17}}	{{100,{3,3}},{100,{2,2}},{100,{2,2}}}	600	200	60	
1254	125	芯片/魔方	bagrogue.JigsawName125	4	4	124	1001325	17	{{"HealthNum",24000}}	7	{{7,22}}	{{101,{4,4}},{101,{2,3}},{101,{2,3}}}	1200	400	45	
1255	125	芯片/魔方	bagrogue.JigsawName125	5	5	125	1001325	17	{{"HealthNum",48000}}	7	{{7,27}}	{{101,{5,5}},{101,{3,3}},{101,{3,3}}}	2400	800	15	
1261	126	铜爪	bagrogue.JigsawName126	1	1	126	1001430	14	{{"AttackNum",54}}	11	{{11,3},{6,3}}	{{100,{1,1}},{100,{1,1}},{100,{1,1}}}	90	30	175	
1262	126	铜爪	bagrogue.JigsawName126	2	2	127	1001430	14	{{"AttackNum",108}}	11	{{11,5},{6,4}}	{{100,{1,1}},{100,{1,1}},{100,{1,1}}}	180	60	125	
1263	126	铜爪	bagrogue.JigsawName126	3	3	128	1001430	14	{{"AttackNum",216}}	11	{{11,7},{6,5}}	{{100,{2,2}},{100,{1,1}},{100,{1,1}}}	360	120	100	
1264	126	铜爪	bagrogue.JigsawName126	4	4	129	1001430	14	{{"AttackNum",432}}	11	{{11,9},{6,7}}	{{101,{2,3}},{101,{1,2}},{101,{1,2}}}	720	240	75	
1265	126	铜爪	bagrogue.JigsawName126	5	5	130	1001430	14	{{"AttackNum",864}}	11	{{11,12},{6,8}}	{{101,{3,3}},{101,{2,2}},{101,{2,2}}}	1440	480	25	
1271	127	铜指虎	bagrogue.JigsawName127	1	1	131	1001429	5	{{"AttackNum",203}}	11	{{11,4}}	{{100,{1,1}},{100,{1,1}}}	60	20	112	
1272	127	铜指虎	bagrogue.JigsawName127	2	2	132	1001429	5	{{"AttackNum",405}}	11	{{11,6}}	{{100,{1,1}},{100,{1,1}}}	120	40	80	
1273	127	铜指虎	bagrogue.JigsawName127	3	3	133	1001429	5	{{"AttackNum",810}}	11	{{11,9}}	{{100,{2,2}},{100,{1,1}}}	240	80	64	
1274	127	铜指虎	bagrogue.JigsawName127	4	4	134	1001429	5	{{"AttackNum",1620}}	11	{{11,12}}	{{101,{2,3}},{101,{1,2}}}	480	160	48	
1275	127	铜指虎	bagrogue.JigsawName127	5	5	135	1001429	5	{{"AttackNum",3240}}	11	{{11,15}}	{{101,{3,3}},{101,{2,2}}}	960	320	16	
