词缀ID	效果备注	描述	显示分组（同组合并数值显示）	描述中的数值	效果类型（1.buff 2.影响格子 3.物件数量 4.经验超上限 ）	SkillInfo（ID+等级）	SkillFix（ID+等级）	特殊效果参数（影响的对象 1自己 2相邻格子，影响的模块1基础属性 2所有天赋点 3主天赋点，影响的值）	ModifierInfo（ID+等级）
610	最大【流血】层数-3，每层伤害翻倍	bagrogue.RelicAffixDes10	34	{5}	1		{701100010}		
611	单次受到的伤害，最多不会超过最大生命的30%	bagrogue.RelicAffixDes11	35	{10}	1	{7011082,1}			
612	生命值低于50%时，获得相当于50%最大生命值的护盾，持续到战斗结束，每场战斗只能触发一次	bagrogue.RelicAffixDes12	36	{50}	1	{7011083,1}			
613	无需高热类型伤害，其他类型伤害也能触发【远古科技】	bagrogue.RelicAffixDes13	37		1		{720120001}		
614	【远古科技】不再触发炎爆，灼烧伤害提升至300%。	bagrogue.RelicAffixDes33	38	{300}	1		{720120002}		
615	【雷电】只对范围内最近的人造成伤害，但伤害翻倍	bagrogue.RelicAffixDes15	39		1		{701100003}		
616	【雷电】的触发间隔变更为{1}秒 (浮点数)	bagrogue.RelicAffixDes16	40	{2}	1		{701100004}		
617	对 BOSS 造成 低温伤害时，使其受到的伤害增加{1}%，持续10s。	bagrogue.RelicAffixDes34	41	{20}	1	{7201208,1}			
618	无需低温类型伤害，其他类型伤害也能触发【风雪】	bagrogue.RelicAffixDes18	42		1		{701100006}		
619	背包内每有一个【学者】物品，射击速度增加{1}%（出后面的效果，叠加层数由系统功能去做）	bagrogue.RelicAffixDes19	43	{10}	3			{10}	{7011104,1}
620	背包内每有一个【学者】物品，技能伤害增加{1}%（出后面的效果，叠加层数由系统功能去做）	bagrogue.RelicAffixDes20	44	{20}	3			{10}	{7011105,1}
621	生机的篆刻经验超过上限时，每超出1点，附属单位强度+1	bagrogue.RelicAffixDes21	45	{1.5}	4			{1}	{7201209,1}
622	甲胄的篆刻经验超过上限时，每超过1点，增加30点防御	bagrogue.RelicAffixDes22	46	{10}	4			{2}	{7201211,1}
623	背包中每有一个【锋刃】，射击伤害增加15%	bagrogue.RelicAffixDes23	47	{10}	3			{11}	{7201210,1}
624	风雪的篆刻经验超过上限时，每超出1点，低温类型伤害+1.5%	bagrogue.RelicAffixDes24	48	{1}	4			{8}	{7201214,1}
625	远古科技篆刻经验超过上限时，每超出1点，高热类型伤害+1.5%	bagrogue.RelicAffixDes25	49	{1}	4			{7}	{7201204,1}
626	闪电的篆刻经验超过上限时，每超过1点，电击类型伤害+1.5%	bagrogue.RelicAffixDes26	50	{1}	4			{9}	{7201215,1}
627	击败敌人时，15%概率掉落补给包：回自身生命值20%的血量	bagrogue.RelicAffixDes27	51	{20}	1	{7201209,1}			
628	神秘礼器的篆刻经验超过上限时，每超过1点，增加1%伤害	bagrogue.RelicAffixDes28	52	{1}	4			{6}	{7201217,1}
629	宝石的篆刻经验超过上限时，每超过1点，生命上限+1%	bagrogue.RelicAffixDes29	53	{1}	4			{3}	{7201218,1}
630	猎枪的篆刻经验超过上限时，每超过1点，暴击伤害增幅+2%	bagrogue.RelicAffixDes30	54	{1.5}	4			{4}	{7201219,1}
