组id	Id	备注	随机权重	事件名称	选项名称	选项描述	选项图标	选项类型（1.物件+物件品质范围  2.局内货币+数量 3.背包格子扩充+扩充格数 4.切换地图+路线ID 5.获取钥匙+钥匙数量 6.上锁物件+物件品质范围+钥匙数量 7.结算 8.斗技场）	选项内容	选项代价（buffid）	解锁结局	地区限制目前可填：0国内外,1国内,2海外
131	1328	扩充8格-代价6	1700	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	6		
141	1411	获得200金币-代价1	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	1		
141	1412	获得200金币-代价2	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	2		
141	1413	获得200金币-代价3	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	3		
141	1414	获得200金币-代价4	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	4		
141	1415	获得200金币-代价5	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	5		
141	1416	获得200金币-代价6	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	6		
141	1417	获得2-3级物件-代价1	560					1	{2,3}	1		
141	1418	获得2-3级物件-代价2	560					1	{2,3}	2		
141	1419	获得2-3级物件-代价3	560					1	{2,3}	3		
141	1420	获得2-3级物件-代价4	560					1	{2,3}	4		
141	1421	获得2-3级物件-代价5	560					1	{2,3}	5		
141	1422	获得2-3级物件-代价6	540					1	{2,3}	6		
141	1423	扩充9格-代价1	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{9}	1		
141	1424	扩充9格-代价2	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{9}	2		
141	1425	扩充9格-代价3	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{9}	3		
141	1426	扩充9格-代价4	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{9}	4		
141	1427	扩充9格-代价5	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{9}	5		
141	1428	扩充9格-代价6	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{9}	6		
151	1511	获得250金币-代价1	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	1		
151	1512	获得250金币-代价2	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	2		
151	1513	获得250金币-代价3	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	3		
151	1514	获得250金币-代价4	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	4		
151	1515	获得250金币-代价5	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	5		
151	1516	获得250金币-代价6	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	6		
151	1517	获得3-3级物件-代价1	560					1	{3,3}	1		
151	1518	获得3-3级物件-代价2	560					1	{3,3}	2		
151	1519	获得3-3级物件-代价3	560					1	{3,3}	3		
151	1520	获得3-3级物件-代价4	560					1	{3,3}	4		
151	1521	获得3-3级物件-代价5	560					1	{3,3}	5		
151	1522	获得3-3级物件-代价6	540					1	{3,3}	6		
151	1523	扩充10格-代价1	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	1		
151	1524	扩充10格-代价2	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	2		
151	1525	扩充10格-代价3	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	3		
151	1526	扩充10格-代价4	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	4		
151	1527	扩充10格-代价5	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	5		
151	1528	扩充10格-代价6	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	6		
161	1611	获得300金币-代价1	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	1		
161	1612	获得300金币-代价2	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	2		
161	1613	获得300金币-代价3	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	3		
161	1614	获得300金币-代价4	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	4		
161	1615	获得300金币-代价5	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	5		
161	1616	获得300金币-代价6	560	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	6		
161	1617	获得3-4级物件-代价1	560					1	{3,4}	1		
161	1618	获得3-4级物件-代价2	560					1	{3,4}	2		
161	1619	获得3-4级物件-代价3	560					1	{3,4}	3		
161	1620	获得3-4级物件-代价4	560					1	{3,4}	4		
161	1621	获得3-4级物件-代价5	560					1	{3,4}	5		
161	1622	获得3-4级物件-代价6	540					1	{3,4}	6		
161	1623	扩充12格-代价1	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	1		
161	1624	扩充12格-代价2	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	2		
161	1625	扩充12格-代价3	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	3		
161	1626	扩充12格-代价4	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	4		
161	1627	扩充12格-代价5	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	5		
161	1628	扩充12格-代价6	550	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	6		
201	2011	剧情1-选项1-货币	10000	bagrogue.StoryEvent1_1	bagrogue.StoryOption1_1	bagrogue.StoryDes1_1	110010331	2	{150}			
202	2021	剧情1-选项2-货币	10000	bagrogue.StoryEvent1_2	bagrogue.StoryOption1_2	bagrogue.StoryDes1_2	110010331	2	{180}			
203	2031	剧情1-选项3-格子	10000	bagrogue.StoryEvent1_3	bagrogue.StoryOption1_3	bagrogue.StoryDes1_3	1001295	3	{10}			
211	2111	剧情2-选项1-格子	10000	bagrogue.StoryEvent2_1	bagrogue.StoryOption2_1	bagrogue.StoryDes2_1	1001295	3	{10}			
212	2121	剧情2-选项2-货币	10000	bagrogue.StoryEvent2_2	bagrogue.StoryOption2_2	bagrogue.StoryDes2_2	110010331	2	{180}			
213	2131	剧情2-选项3-格子	10000	bagrogue.StoryEvent2_3	bagrogue.StoryOption2_3	bagrogue.StoryDes2_3	1001295	3	{12}			
221	2211	剧情3-选项1-格子	10000	bagrogue.StoryEvent3_1	bagrogue.StoryOption3_1	bagrogue.StoryDes3_1	1001295	3	{6}			
222	2221	剧情3-选项2-货币	10000	bagrogue.StoryEvent3_2	bagrogue.StoryOption3_2	bagrogue.StoryDes3_2	110010331	2	{250}			
223	2231	剧情3-选项3-货币	10000	bagrogue.StoryEvent3_3	bagrogue.StoryOption3_3	bagrogue.StoryDes3_3	110010331	2	{300}			
231	2311	剧情4-选项1-货币	10000	bagrogue.StoryEvent4_1	bagrogue.StoryOption4_1	bagrogue.StoryDes4_1	110010331	2	{250}			
232	2321	剧情4-选项2-格子	10000	bagrogue.StoryEvent4_2	bagrogue.StoryOption4_2	bagrogue.StoryDes4_2	1001295	3	{8}			
233	2331	剧情4-选项3-货币	10000	bagrogue.StoryEvent4_3	bagrogue.StoryOption4_3	bagrogue.StoryDes4_3	110010331	2	{350}			
301	3011	获得1-2级物件	3500					1	{1,2}			
301	3012	获得80金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{80}			
301	3013	获得85金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{85}			
301	3014	获得90金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{90}			
301	3015	扩充5格	1500	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{5}			
301	3016	获得150金币-代价1	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	1		
301	3017	获得150金币-代价2	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	2		
301	3018	获得150金币-代价3	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	3		
301	3019	获得150金币-代价4	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	4		
301	3020	获得150金币-代价5	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	5		
301	3021	获得150金币-代价6	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{150}	6		
301	3022	扩充7格-代价1	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{7}	1		
301	3023	扩充7格-代价2	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{7}	2		
301	3024	扩充7格-代价3	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{7}	3		
301	3025	扩充7格-代价4	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{7}	4		
301	3026	扩充7格-代价5	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{7}	5		
301	3027	扩充7格-代价6	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{7}	6		
301	3028	获得2-2级物件-代价1	166					1	{2,2}	1		
301	3029	获得2-2级物件-代价2	166					1	{2,2}	2		
301	3030	获得2-2级物件-代价3	166					1	{2,2}	3		
301	3031	获得2-2级物件-代价4	166					1	{2,2}	4		
301	3032	获得2-2级物件-代价5	166					1	{2,2}	5		
301	3033	获得2-2级物件-代价6	166					1	{2,2}	6		
311	3111	获得2-2级物件	3500					1	{2,2}			
311	3112	获得120金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{120}			
311	3113	获得125金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{125}			
311	3114	获得130金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{130}			
311	3115	扩充6格	1500	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{6}			
311	3116	获得200金币-代价1	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	1		
311	3117	获得200金币-代价2	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	2		
311	3118	获得200金币-代价3	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	3		
311	3119	获得200金币-代价4	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	4		
311	3120	获得200金币-代价5	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	5		
311	3121	获得200金币-代价6	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}	6		
311	3122	扩充8格-代价1	167	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	1		
311	3123	扩充8格-代价2	167	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	2		
311	3124	扩充8格-代价3	167	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	3		
311	3125	扩充8格-代价4	167	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	4		
311	3126	扩充8格-代价5	167	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	5		
311	3127	扩充8格-代价6	167	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}	6		
311	3128	获得2-3级物件-代价1	250					1	{2,3}	1		
311	3129	获得2-3级物件-代价2	250					1	{2,3}	2		
311	3130	获得2-3级物件-代价3	250					1	{2,3}	3		
311	3131	获得2-3级物件-代价4	250					1	{2,3}	4		
311	3132	获得2-3级物件-代价5	250					1	{2,3}	5		
311	3133	获得2-3级物件-代价6	250					1	{2,3}	6		
321	3211	获得2-2级物件	3500					1	{2,2}			
321	3212	获得160金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{160}			
321	3213	获得165金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{165}			
321	3214	获得170金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{170}			
321	3215	扩充8格	1500	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}			
321	3216	获得250金币-代价1	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	1		
321	3217	获得250金币-代价2	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	2		
321	3218	获得250金币-代价3	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	3		
321	3219	获得250金币-代价4	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	4		
321	3220	获得250金币-代价5	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	5		
321	3221	获得250金币-代价6	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}	6		
321	3222	扩充10格-代价1	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	1		
321	3223	扩充10格-代价2	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	2		
321	3224	扩充10格-代价3	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	3		
321	3225	扩充10格-代价4	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	4		
321	3226	扩充10格-代价5	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	5		
321	3227	扩充10格-代价6	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}	6		
321	3228	获得3-3级物件-代价1	166					1	{3,3}	1		
321	3229	获得3-3级物件-代价2	166					1	{3,3}	2		
321	3230	获得3-3级物件-代价3	166					1	{3,3}	3		
321	3231	获得3-3级物件-代价4	166					1	{3,3}	4		
321	3232	获得3-3级物件-代价5	166					1	{3,3}	5		
321	3233	获得3-3级物件-代价6	166					1	{3,3}	6		
331	3311	获得2-3级物件	3500					1	{2,2}			
331	3312	获得200金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}			
331	3313	获得205金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{205}			
331	3314	获得210金币	500	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{210}			
331	3315	扩充10格	1500	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}			
331	3316	获得300金币-代价1	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	1		
331	3317	获得300金币-代价2	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	2		
331	3318	获得300金币-代价3	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	3		
331	3319	获得300金币-代价4	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	4		
331	3320	获得300金币-代价5	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	5		
331	3321	获得300金币-代价6	167	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}	6		
331	3322	扩充12格-代价1	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	1		
331	3323	扩充12格-代价2	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	2		
331	3324	扩充12格-代价3	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	3		
331	3325	扩充12格-代价4	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	4		
331	3326	扩充12格-代价5	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	5		
331	3327	扩充12格-代价6	250	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}	6		
331	3328	获得3-4级物件-代价1	166					1	{3,4}	1		
331	3329	获得3-4级物件-代价2	166					1	{3,4}	2		
331	3330	获得3-4级物件-代价3	166					1	{3,4}	3		
331	3331	获得3-4级物件-代价4	166					1	{3,4}	4		
331	3332	获得3-4级物件-代价5	166					1	{3,4}	5		
331	3333	获得3-4级物件-代价6	166					1	{3,4}	6		
401	4011	获得2-2级物件	4000					1	{2,2}			
401	4012	获得120金币	3000	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{120}			
401	4013	扩充7格	3000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{7}			
411	4111	获得2-3级物件	4000					1	{2,3}			
411	4112	获得160金币	3000	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{160}			
411	4113	扩充8格	3000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}			
421	4211	获得3-3级物件	4000					1	{3,3}			
421	4212	获得200金币	3000	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}			
421	4213	扩充9格	3000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{9}			
431	4311	获得3-4级物件	10000					1	{3,4}			
431	4312	获得250金币	3000	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}			
431	4313	扩充10格	3000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}			
501	5011	获得2-3级物件	4000					1	{2,3}			
501	5012	获得160金币	3000	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{160}			
501	5013	扩充8格	3000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{8}			
511	5111	获得3-3级物件	4000					1	{3,3}			
511	5112	获得200金币	3000	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{200}			
511	5113	扩充9格	3000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{9}			
521	5211	获得3-4级物件	4000					1	{3,4}			
521	5212	获得250金币	3000	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{250}			
521	5213	扩充10格	3000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{10}			
531	5311	获得4-4级物件	10000					1	{4,4}			
531	5312	获得300金币	3000	bagrogue.CommonEvent1	bagrogue.CommonOption1	bagrogue.CommonDes1	110010331	2	{300}			
531	5313	扩充12格	3000	bagrogue.CommonEvent2	bagrogue.CommonOption2	bagrogue.CommonDes2	1001295	3	{12}			
601	6011	前往第二层战斗方向	4000	bagrogue.RoadoOption2	bagrogue.RoadoOption2	bagrogue.RoadoDes1		4	{221}			
601	6012	前往第二层战斗方向	4000	bagrogue.RoadoOption2	bagrogue.RoadoOption2	bagrogue.RoadoDes2		4	{221}			
602	6021	前往第二层奇遇方向	4000	bagrogue.RoadoOption3	bagrogue.RoadoOption3	bagrogue.RoadoDes3		4	{222}			
602	6022	前往第二层奇遇方向	4000	bagrogue.RoadoOption3	bagrogue.RoadoOption3	bagrogue.RoadoDes4		4	{222}			
603	6031	前往最终层1	4000	bagrogue.RoadoOption4	bagrogue.RoadoOption4	bagrogue.RoadoDes5		4	{231}			
604	6041	前往最终层2	4000	bagrogue.RoadoOption4	bagrogue.RoadoOption4	bagrogue.RoadoDes5		4	{232}			
301	3034	获取钥匙	500	bagrogue.CommonEvent3	bagrogue.CommonOption3	bagrogue.CommonDes3	110010651	5	{1}			
311	3134	获取钥匙	500	bagrogue.CommonEvent3	bagrogue.CommonOption3	bagrogue.CommonDes3	110010651	5	{1}			
321	3234	获取钥匙	300	bagrogue.CommonEvent3	bagrogue.CommonOption3	bagrogue.CommonDes3	110010651	5	{2}			
701	7011	剧情1-选项1-获取钥匙	4000	bagrogue.StoryEvent5_1	bagrogue.CommonOption3	bagrogue.StoryDes5_1	110010651	5	{1}			
702	7021	剧情1-选项2-扩充10格	10000	bagrogue.StoryEvent5_2	bagrogue.CommonOption2	bagrogue.StoryDes5_2	1001295	3	{10}			
703	7031	剧情1-隐藏选项-扩充12格	4000	bagrogue.StoryEvent5_3	bagrogue.CommonOption2	bagrogue.StoryDes5_3	1001295	3	{12}		{1}	
