ID	天赋类型	图标	等级	所需天赋点	天赋名称	天赋名称备注	技能描述	技能描述备注	技能数值	SkillInfo	SkillFix
46	10	1001275	1	4	bagrogue.TalentName10	沙漏	bagrogue.TalentDes10	分别获得10层【刃】效果和【盾】效果，每层【刃】效果使攻击力提升{1}%，每层【盾】效果使防御力提升{2}%；每次使用技能，1层【盾】效果转化为【刃】效果，每当受到伤害，则1层【刃】效果转化为【盾】效果	{1,1}	{7011054,1}	
47	10	1001275	2	10	bagrogue.TalentName10	沙漏	bagrogue.TalentDes10	分别获得10层【刃】效果和【盾】效果，每层【刃】效果使攻击力提升{1}%，每层【盾】效果使防御力提升{2}%；每次使用技能，1层【盾】效果转化为【刃】效果，每当受到伤害，则1层【刃】效果转化为【盾】效果	{2,2}	{7011054,2}	
48	10	1001275	3	16	bagrogue.TalentName10	沙漏	bagrogue.TalentDes10	分别获得10层【刃】效果和【盾】效果，每层【刃】效果使攻击力提升{1}%，每层【盾】效果使防御力提升{2}%；每次使用技能，1层【盾】效果转化为【刃】效果，每当受到伤害，则1层【刃】效果转化为【盾】效果	{3,3}	{7011054,3}	
49	10	1001275	4	22	bagrogue.TalentName10	沙漏	bagrogue.TalentDes10	分别获得10层【刃】效果和【盾】效果，每层【刃】效果使攻击力提升{1}%，每层【盾】效果使防御力提升{2}%；每次使用技能，1层【盾】效果转化为【刃】效果，每当受到伤害，则1层【刃】效果转化为【盾】效果	{4,4}	{7011054,4}	
50	10	1001275	5	30	bagrogue.TalentName10	沙漏	bagrogue.TalentDes10	分别获得10层【刃】效果和【盾】效果，每层【刃】效果使攻击力提升{1}%，每层【盾】效果使防御力提升{2}%；每次使用技能，1层【盾】效果转化为【刃】效果，每当受到伤害，则1层【刃】效果转化为【盾】效果	{5,5}	{7011054,5}	
51	11	1001454	1	6	bagrogue.TalentName11	冷兵器	bagrogue.TalentDes11	射击造成动能伤害时，施加<流血>，每秒造成攻击力{1}%的动能伤害，最多10层。	{25}	{7011092,1}	
52	11	1001454	2	14	bagrogue.TalentName11	冷兵器	bagrogue.TalentDes11	射击造成动能伤害时，施加<流血>，每秒造成攻击力{1}%的动能伤害，最多10层。	{50}	{7011092,2}	
53	11	1001454	3	22	bagrogue.TalentName11	冷兵器	bagrogue.TalentDes11	射击造成动能伤害时，施加<流血>，每秒造成攻击力{1}%的动能伤害，最多10层。	{75}	{7011092,3}	
54	11	1001454	4	30	bagrogue.TalentName11	冷兵器	bagrogue.TalentDes11	射击造成动能伤害时，施加<流血>，每秒造成攻击力{1}%的动能伤害，最多10层。	{100}	{7011092,4}	
55	11	1001454	5	40	bagrogue.TalentName11	冷兵器	bagrogue.TalentDes11	射击造成动能伤害时，施加<流血>，每秒造成攻击力{1}%的动能伤害，最多10层。	{125}	{7011092,5}	
