线路id	节点id	备注	位置	所属列	前置节点	事件类型（1.战斗 2.奇遇 3.商店 4.随机 5.最终boss 6.终局节点）	图标	关卡库	怪物强度等级	战斗后奖励的代币	战斗后选项数量和物件等级	战斗后生成圣物数	奇遇事件描述	奇遇事件描述备注	分支剧情标记	奇遇事件数量	奇遇事件组（多个对应）	商店Id	随机事件参数（类型、图标、概率）	节点通过奖励	速战消耗
2	2036	背包扩充	36	12	{2032}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,20}}	
2	2037	战斗-小怪	37	13	{2035}	1	1001288	3	128	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,20}}	
2	2039	宝箱	39	13	{2036}	2	1001292						bagrogue.AdventureDes4			1	{421}			{{4,1,25,2,20}}	
2	2041	剧情奇遇	41	14	{2037,2039}	2	1001291						bagrogue.AdventureDes103		{1,2,3}	3	{221,222,223}			{{4,1,25,2,20}}	
2	2044	战斗-boss	44	15	{2041}	1	1001289	5	134	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,25}}	
2	2046	商店	46	16	{2044}	3	1001297											3		{{4,1,25,2,25}}	
2	2048	奇遇	48	16	{2044}	2	1001296						bagrogue.AdventureDes1			3	{321,321,321}			{{4,1,25,2,25}}	
2	2050	战斗-小怪	50	17	{2046,2048}	1	1001288	3	140	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
2	2052	奇遇	52	18	{2050}	2	1001296						bagrogue.AdventureDes1			3	{321,321,321}			{{4,1,25,2,25}}	
2	2053	战斗-boss	53	18	{2050}	1	1001289	5	143	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,25}}	
2	2054	随机	54	18	{2050}	4	1001298	3	143	{{{4,1,25,1,180}}}	{3,{1,2}}		bagrogue.AdventureDes1			3	{321,321,321}	3	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,25}}	
2	2055	代价奖励	55	19	{2052,2052}	2	1001293						bagrogue.AdventureDes6			3	{161,161,161}			{{4,1,25,2,25}}	
2	2057	商店	57	19	{2053,2054}	3	1001297											4		{{4,1,25,2,25}}	
2	2059	剧情奇遇	59	20	{2055,2057}	2	1001291						bagrogue.AdventureDes104		{1,2,3}	3	{231,232,233}			{{4,1,25,2,25}}	
2	2061	大宝箱	61	21	{2059}	2	1001294						bagrogue.AdventureDes5			1	{531}			{{4,1,25,2,30}}	
2	2062	战斗-boss	62	21	{2059}	1	1001289	5	152	{{{4,1,25,1,420}}}	{3,{2,2}}									{{4,1,25,2,30}}	
2	2063	战斗-小怪	63	21	{2059}	1	1001288	4	152	{{{4,1,25,1,210}}}	{3,{2,2}}									{{4,1,25,2,30}}	
2	2064	战斗-boss	64	22	{2061,2062}	1	1001289	5	155	{{{4,1,25,1,420}}}	{3,{2,2}}									{{4,1,25,2,30}}	
2	2066	战斗-小怪	66	22	{2062,2063}	1	1001288	4	155	{{{4,1,25,1,210}}}	{3,{2,2}}									{{4,1,25,2,30}}	
2	2068	商店	68	23	{2064,2066}	3	1001297											4		{{4,1,25,2,30}}	
2	2071	结局	71	24	{2068}	5	1001290		161											{{4,1,25,2,50}}	
3	3002	战斗-小怪	2	1		1	1001288	1	100	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,5}}	
3	3004	奇遇	4	2	{3002}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,5}}	
3	3005	战斗-boss	5	2	{3002}	1	1001289	5	101	{{{4,1,25,1,240}}}	{3,{1,1}}									{{4,1,25,2,5}}	
3	3006	战斗-小怪	6	2	{3002}	1	1001288	1	101	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,5}}	
3	3007	战斗-小怪	7	3	{3004}	1	1001288	1	102	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,10}}	
3	3008	大宝箱	8	3	{3005}	2	1001294						bagrogue.AdventureDes5			1	{501}			{{4,1,25,2,10}}	
3	3009	随机	9	3	{3006}	4	1001298	1	102	{{{4,1,25,1,120}}}	{3,{1,1}}		bagrogue.AdventureDes1			3	{301,301,301}	1	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,10}}	
3	3011	背包扩充	11	4	{3007,3008,3009}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,10}}	
3	3013	战斗-小怪	13	5	{3011}	1	1001288	1	106	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,15}}	
3	3014	战斗-boss	14	5	{3011}	1	1001289	5	106	{{{4,1,25,1,240}}}	{3,{1,1}}									{{4,1,25,2,15}}	
3	3016	奇遇	16	6	{3013}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,15}}	
3	3017	商店	17	6	{3014}	3	1001297											1		{{4,1,25,2,15}}	
3	3018	随机	18	6	{3014}	4	1001298	1	108	{{{4,1,25,1,120}}}	{3,{1,1}}		bagrogue.AdventureDes1			3	{301,301,301}	1	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,15}}	
3	3020	剧情奇遇	20	7	{3016,3017,3018}	2	1001291						bagrogue.AdventureDes101		{1,2,3}	3	{201,202,203}			{{4,1,25,2,15}}	
3	3023	代价奖励	23	8	{3020}	2	1001293						bagrogue.AdventureDes6			3	{141,141,141}			{{4,1,25,2,15}}	
3	3024	战斗-小怪	24	8	{3020}	1	1001288	2	113	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,15}}	
3	3025	战斗-小怪	25	9	{3023}	1	1001288	2	116	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,20}}	
3	3026	战斗-boss	26	9	{3023}	1	1001289	5	116	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,20}}	
3	3027	战斗-小怪	27	9	{3024}	1	1001288	2	116	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,20}}	
3	3029	商店	29	10	{3025,3026,3027}	3	1001297											2		{{4,1,25,2,20}}	
3	3032	剧情奇遇	32	11	{3029}	2	1001291						bagrogue.AdventureDes102		{1,2,3}	3	{211,212,213}			{{4,1,25,2,20}}	
3	3034	战斗-小怪	34	12	{3032}	1	1001288	2	125	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,20}}	
3	3035	战斗-boss	35	12	{3032}	1	1001289	5	125	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,20}}	
3	3036	战斗-小怪	36	12	{3032}	1	1001288	3	125	{{{4,1,25,1,180}}}	{3,{1,1}}									{{4,1,25,2,20}}	
3	3037	随机	37	13	{3034}	4	1001298	3	128	{{{4,1,25,1,180}}}	{3,{1,2}}		bagrogue.AdventureDes1			3	{321,321,321}	3	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,20}}	
3	3038	商店	38	13	{3035}	3	1001297											3		{{4,1,25,2,20}}	
3	3039	背包扩充	39	13	{3036}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,20}}	
3	3040	代价奖励	40	14	{3037,3038}	2	1001293						bagrogue.AdventureDes6			3	{151,151,151}			{{4,1,25,2,20}}	
3	3041	战斗-boss	41	14	{3038}	1	1001289	5	131	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,20}}	
3	3042	宝箱	42	14	{3038,3039}	2	1001292						bagrogue.AdventureDes4			1	{421}			{{4,1,25,2,20}}	
3	3043	战斗-小怪	43	15	{3040}	1	1001288	3	134	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
3	3044	大宝箱	44	15	{3041}	2	1001294						bagrogue.AdventureDes5			1	{521}			{{4,1,25,2,25}}	
3	3045	战斗-小怪	45	15	{3042}	1	1001288	3	134	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
3	3047	剧情奇遇	47	16	{3043,3044,3045}	2	1001291						bagrogue.AdventureDes103		{1,2,3}	3	{221,222,223}			{{4,1,25,2,25}}	
3	3050	商店	50	17	{3047}	3	1001297											3		{{4,1,25,2,25}}	
3	3052	代价奖励	52	18	{3050}	2	1001293						bagrogue.AdventureDes6			3	{151,151,151}			{{4,1,25,2,25}}	
3	3054	战斗-小怪	54	18	{3050}	1	1001288	3	143	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
3	3055	战斗-boss	55	19	{3052}	1	1001289	5	146	{{{4,1,25,1,420}}}	{3,{2,2}}									{{4,1,25,2,25}}	
3	3057	大宝箱	57	19	{3054}	2	1001294						bagrogue.AdventureDes5			1	{531}			{{4,1,25,2,25}}	
3	3058	奇遇	58	20	{3055}	2	1001296						bagrogue.AdventureDes1			3	{331,331,331}			{{4,1,25,2,25}}	
3	3060	战斗-小怪	60	20	{3057}	1	1001288	4	149	{{{4,1,25,1,210}}}	{3,{2,2}}									{{4,1,25,2,25}}	
3	3062	剧情奇遇	62	21	{3058,3060}	2	1001291						bagrogue.AdventureDes104		{1,2,3}	3	{231,232,233}			{{4,1,25,2,30}}	
3	3064	战斗-小怪	64	22	{3062}	1	1001288	4	155	{{{4,1,25,1,210}}}	{3,{2,2}}									{{4,1,25,2,30}}	
3	3065	战斗-boss	65	22	{3062}	1	1001289	5	155	{{{4,1,25,1,420}}}	{3,{2,2}}									{{4,1,25,2,30}}	
3	3066	代价奖励	66	22	{3062}	2	1001293						bagrogue.AdventureDes6			3	{161,161,161}			{{4,1,25,2,30}}	
3	3068	商店	68	23	{3064,3065,3066}	3	1001297											4		{{4,1,25,2,30}}	
3	3071	结局	71	24	{3068}	5	1001290		161											{{4,1,25,2,50}}	
4	4002	战斗-小怪	2	1		1	1001288	1	100	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,5}}	
4	4004	战斗-boss	4	2	{4002}	1	1001289	5	101	{{{4,1,25,1,240}}}	{3,{1,1}}									{{4,1,25,2,5}}	
4	4005	战斗-小怪	5	2	{4002}	1	1001288	1	101	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,5}}	
4	4006	随机	6	2	{4002}	4	1001298	1	101	{{{4,1,25,1,120}}}	{3,{1,1}}		bagrogue.AdventureDes1			3	{301,301,301}	1	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,5}}	
4	4007	奇遇	7	3	{4004}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,10}}	
4	4008	背包扩充	8	3	{4005}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,10}}	
4	4009	战斗-boss	9	3	{4006}	1	1001289	5	102	{{{4,1,25,1,240}}}	{3,{1,1}}									{{4,1,25,2,10}}	
4	4010	代价奖励	10	4	{4007}	2	1001293						bagrogue.AdventureDes6			3	{131,131,131}			{{4,1,25,2,10}}	
4	4011	战斗-小怪	11	4	{4008}	1	1001288	1	104	{{{4,1,25,1,120}}}	{3,{1,1}}									{{4,1,25,2,10}}	
4	4012	大宝箱	12	4	{4009}	2	1001294						bagrogue.AdventureDes5			1	{501}			{{4,1,25,2,10}}	
4	4014	商店	14	5	{4010,4011,4012}	3	1001297											1		{{4,1,25,2,15}}	
4	4017	剧情奇遇	17	6	{4014}	2	1001291						bagrogue.AdventureDes101		{1,2,3}	3	{201,202,203}			{{4,1,25,2,15}}	
4	4019	战斗-小怪	19	7	{4017}	1	1001288	2	110	{{{4,1,25,1,150}}}	{3,{1,1}}									{{4,1,25,2,15}}	
4	4021	战斗-boss	21	7	{4017}	1	1001289	5	110	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,15}}	
4	4022	背包扩充	22	8	{4019}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,15}}	
4	4024	奇遇	24	8	{4021}	2	1001296	2	113	{{{4,1,25,1,150}}}	{3,{1,1}}		bagrogue.AdventureDes1			3	{311,311,311}			{{4,1,25,2,15}}	
4	4025	随机	25	9	{4022}	4	1001298	2	116	{{{4,1,25,1,150}}}	{3,{1,1}}		bagrogue.AdventureDes1			3	{311,311,311}	2	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,20}}	
4	4027	战斗-boss	27	9	{4024}	1	1001289	5	116	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,20}}	
4	4028	战斗-boss	28	10	{4025}	1	1001289	5	119	{{{4,1,25,1,300}}}	{3,{1,1}}									{{4,1,25,2,20}}	
4	4030	代价奖励	30	10	{4027}	2	1001293						bagrogue.AdventureDes6			3	{141,141,141}			{{4,1,25,2,20}}	
4	4032	剧情奇遇	32	11	{4028,4030}	2	1001291						bagrogue.AdventureDes102		{1,2,3}	3	{211,212,213}			{{4,1,25,2,20}}	
4	4034	奇遇	34	12	{4032}	2	1001296						bagrogue.AdventureDes1			3	{311,311,311}			{{4,1,25,2,20}}	
4	4036	商店	36	12	{4032}	3	1001297											2		{{4,1,25,2,20}}	
4	4037	商店	37	13	{4034}	3	1001297											3		{{4,1,25,2,20}}	
4	4039	战斗-boss	39	13	{4036}	1	1001289	5	128	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,20}}	
4	4040	战斗-boss	40	14	{4037}	1	1001289	5	131	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,20}}	
4	4042	宝箱	42	14	{4039}	2	1001292						bagrogue.AdventureDes4			1	{421}			{{4,1,25,2,20}}	
4	4044	剧情奇遇	44	15	{4040,4042}	2	1001291						bagrogue.AdventureDes103		{1,2,3}	3	{221,222,223}			{{4,1,25,2,25}}	
4	4047	战斗-boss	47	16	{4044}	1	1001289	5	137	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,25}}	
4	4049	战斗-小怪	49	17	{4047}	1	1001288	3	140	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
4	4050	战斗-boss	50	17	{4047}	1	1001289	5	140	{{{4,1,25,1,360}}}	{3,{1,2}}									{{4,1,25,2,25}}	
4	4051	战斗-小怪	51	17	{4047}	1	1001288	3	140	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
4	4052	战斗-小怪	52	18	{4049}	1	1001288	3	143	{{{4,1,25,1,180}}}	{3,{1,2}}									{{4,1,25,2,25}}	
4	4053	背包扩充	53	18	{4050}	2	1001295						bagrogue.AdventureDes2			1	{121}			{{4,1,25,2,25}}	
4	4054	商店	54	18	{4051}	3	1001297											3		{{4,1,25,2,25}}	
4	4055	商店	55	19	{4052}	3	1001297											4		{{4,1,25,2,25}}	
4	4056	大宝箱	56	19	{4053}	2	1001294						bagrogue.AdventureDes5			1	{531}			{{4,1,25,2,25}}	
4	4057	战斗-小怪	57	19	{4054}	1	1001288	4	146	{{{4,1,25,1,210}}}	{3,{2,2}}									{{4,1,25,2,25}}	
4	4059	剧情奇遇	59	20	{4055,4056,4057}	2	1001291						bagrogue.AdventureDes104		{1,2,3}	3	{231,232,233}			{{4,1,25,2,25}}	
4	4061	随机	61	21	{4059}	4	1001298	4	152	{{{4,1,25,1,210}}}	{3,{2,2}}		bagrogue.AdventureDes1			3	{331,331,331}	4	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,30}}	
4	4062	宝箱	62	21	{4059}	2	1001292						bagrogue.AdventureDes4			1	{431}			{{4,1,25,2,30}}	
4	4063	代价奖励	63	21	{4059}	2	1001293						bagrogue.AdventureDes6			3	{161,161,161}			{{4,1,25,2,30}}	
4	4064	战斗-小怪	64	22	{4061}	1	1001288	4	155	{{{4,1,25,1,210}}}	{3,{2,2}}									{{4,1,25,2,30}}	
4	4065	战斗-boss	65	22	{4062}	1	1001289	5	155	{{{4,1,25,1,420}}}	{3,{2,2}}									{{4,1,25,2,30}}	
4	4066	战斗-小怪	66	22	{4063}	1	1001288	4	155	{{{4,1,25,1,210}}}	{3,{2,2}}									{{4,1,25,2,30}}	
4	4068	商店	68	23	{4064,4065,4066}	3	1001297											4		{{4,1,25,2,30}}	
4	4071	结局	71	24	{4068}	5	1001290		161											{{4,1,25,2,50}}	
211	211002	战斗小怪（第一层前段-庭院）	2	1		1	1001288	10	100	{{{4,1,25,1,150}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
211	211004	奇遇1	4	2	{211002}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,50}}	
211	211005	奇遇1	5	2	{211002}	2	1001296						bagrogue.AdventureDes1			3	{301,301,301}			{{4,1,25,2,50}}	
211	211006	随机1	6	2	{211002}	2	1001298	10	101	{{{4,1,25,1,150}}}	{3,{1,2},{1}}		bagrogue.AdventureDes1			3	{301,301,301}	3	{{1,1001288,5000},{2,1001296,3000},{3,1001297,2000}}	{{4,1,25,2,50}}	
211	211007	战斗BOSS（第一层前段）	7	3	{211004}	1	1001289	5	102	{{{4,1,25,1,200}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
211	211009	战斗小怪（第一层前段-庭院）	9	3	{211005,211006}	1	1001288	10	102	{{{4,1,25,1,150}}}	{3,{1,2},{1}}									{{4,1,25,2,50}}	1
211	211011	圣物战斗	11	4	{211007,211009}	1	1001456	23	104	{{{4,1,25,1,180}}}		3								{{4,1,25,2,50}}	
211	211013	奇遇2	13	5	{211011}	2	1001296						bagrogue.AdventureDes1			3	{311,311,311}			{{4,1,25,2,50}}	
