库id	库备注	AffixID	效果备注	等级	随机权重
100	通用型-低级物件	58	射击伤害+3%	3	114
100	通用型-低级物件	59	射击伤害+4%	4	114
100	通用型-低级物件	60	射击伤害+5%	5	114
100	通用型-低级物件	61	非瞄准射击伤害+1.5%	1	86
100	通用型-低级物件	62	非瞄准射击伤害+3%	2	86
100	通用型-低级物件	63	非瞄准射击伤害+4.5%	3	86
100	通用型-低级物件	64	非瞄准射击伤害+6%	4	86
100	通用型-低级物件	65	非瞄准射击伤害+7.5%	5	86
100	通用型-低级物件	66	瞄准射击伤害+1.5%	1	86
100	通用型-低级物件	67	瞄准射击伤害+3%	2	86
100	通用型-低级物件	68	瞄准射击伤害+4.5%	3	86
100	通用型-低级物件	69	瞄准射击伤害+6%	4	86
100	通用型-低级物件	70	瞄准射击伤害+7.5%	5	86
100	通用型-低级物件	71	射击速度+1%	1	114
100	通用型-低级物件	72	射击速度+2%	2	114
100	通用型-低级物件	73	射击速度+3%	3	114
100	通用型-低级物件	74	射击速度+4%	4	114
100	通用型-低级物件	75	射击速度+5%	5	114
100	通用型-低级物件	76	换弹速度+1%	1	86
100	通用型-低级物件	77	换弹速度+2%	2	86
100	通用型-低级物件	78	换弹速度+3%	3	86
100	通用型-低级物件	79	换弹速度+4%	4	86
100	通用型-低级物件	80	换弹速度+5%	5	86
100	通用型-低级物件	81	常规能量恢复速度+2%	1	114
100	通用型-低级物件	82	常规能量恢复速度+4%	2	114
100	通用型-低级物件	83	常规能量恢复速度+6%	3	114
100	通用型-低级物件	84	常规能量恢复速度+8%	4	114
100	通用型-低级物件	85	常规能量恢复速度+10%	5	114
100	通用型-低级物件	86	附属单位强度+3	1	57
100	通用型-低级物件	87	附属单位强度+6	2	57
100	通用型-低级物件	88	附属单位强度+9	3	57
100	通用型-低级物件	89	附属单位强度+12	4	57
100	通用型-低级物件	90	附属单位强度+15	5	57
100	通用型-低级物件	501	自身提供的基础属性提升+1.1倍	1	50
100	通用型-低级物件	502	自身提供的基础属性提升+1.2倍	2	50
100	通用型-低级物件	503	自身提供的基础属性提升+1.3倍	3	50
100	通用型-低级物件	504	自身提供的基础属性提升+1.5倍	4	50
100	通用型-低级物件	511	自身提供的天赋点提升+1.1倍	1	63
100	通用型-低级物件	512	自身提供的天赋点提升+1.2倍	2	63
100	通用型-低级物件	513	自身提供的天赋点提升+1.3倍	3	63
100	通用型-低级物件	514	自身提供的天赋点提升+1.5倍	4	63
100	通用型-低级物件	521	自身提供的基础属性和天赋点提升+1.1倍	1	44
100	通用型-低级物件	522	自身提供的基础属性和天赋点提升+1.2倍	2	44
100	通用型-低级物件	523	自身提供的基础属性和天赋点提升+1.3倍	3	44
100	通用型-低级物件	524	自身提供的基础属性和天赋点提升+1.5倍	4	44
100	通用型-低级物件	531	使周围物件提供的基础属性提升+1.1倍	1	31
100	通用型-低级物件	532	使周围物件提供的基础属性提升+1.2倍	2	31
100	通用型-低级物件	533	使周围物件提供的基础属性提升+1.3倍	3	31
100	通用型-低级物件	534	使周围物件提供的基础属性提升+1.5倍	4	31
100	通用型-低级物件	541	使周围物件提供的天赋点提升+1.1倍	1	38
100	通用型-低级物件	542	使周围物件提供的天赋点提升+1.2倍	2	38
100	通用型-低级物件	543	使周围物件提供的天赋点提升+1.3倍	3	38
100	通用型-低级物件	544	使周围物件提供的天赋点提升+1.5倍	4	38
100	通用型-低级物件	551	使周围物件提供的基础属性和天赋点提升+1.1倍	1	25
100	通用型-低级物件	552	使周围物件提供的基础属性和天赋点提升+1.2倍	2	25
100	通用型-低级物件	553	使周围物件提供的基础属性和天赋点提升+1.3倍	3	25
100	通用型-低级物件	554	使周围物件提供的基础属性和天赋点提升+1.5倍	4	25
101	通用型-高级物件	1	生命值+1%	1	107
101	通用型-高级物件	2	生命值+2%	2	107
101	通用型-高级物件	3	生命值+3%	3	107
101	通用型-高级物件	4	生命值+4%	4	107
101	通用型-高级物件	5	生命值+5%	5	107
101	通用型-高级物件	6	攻击力+1%	1	133
101	通用型-高级物件	7	攻击力+2%	2	133
101	通用型-高级物件	8	攻击力+3%	3	133
101	通用型-高级物件	9	攻击力+4%	4	133
101	通用型-高级物件	10	攻击力+5%	5	133
101	通用型-高级物件	11	防御力+1%	1	80
101	通用型-高级物件	12	防御力+2%	2	80
101	通用型-高级物件	13	防御力+3%	3	80
101	通用型-高级物件	14	防御力+4%	4	80
101	通用型-高级物件	15	防御力+5%	5	80
101	通用型-高级物件	16	暴击率+1%	1	107
101	通用型-高级物件	17	暴击率+2%	2	107
101	通用型-高级物件	18	暴击率+3%	3	107
101	通用型-高级物件	19	暴击率+4%	4	107
101	通用型-高级物件	20	暴击率+5%	5	107
101	通用型-高级物件	21	暴击伤害增幅+2%	1	133
101	通用型-高级物件	22	暴击伤害增幅+4%	2	133
101	通用型-高级物件	23	暴击伤害增幅+6%	3	133
101	通用型-高级物件	24	暴击伤害增幅+8%	4	133
101	通用型-高级物件	25	暴击伤害增幅+10%	5	133
101	通用型-高级物件	26	技能急速+1	1	107
101	通用型-高级物件	27	技能急速+2	2	107
101	通用型-高级物件	28	技能急速+3	3	107
101	通用型-高级物件	29	技能急速+4	4	107
101	通用型-高级物件	30	技能急速+5	5	107
101	通用型-高级物件	31	技能伤害+1%	1	107
101	通用型-高级物件	32	技能伤害+2%	2	107
101	通用型-高级物件	33	技能伤害+3%	3	107
101	通用型-高级物件	34	技能伤害+4%	4	107
101	通用型-高级物件	35	技能伤害+5%	5	107
101	通用型-高级物件	36	常规技伤害+1.5%	1	80
101	通用型-高级物件	37	常规技伤害+3%	2	80
101	通用型-高级物件	38	常规技伤害+4.5%	3	80
101	通用型-高级物件	39	常规技伤害+6%	4	80
101	通用型-高级物件	40	常规技伤害+7.5%	5	80
101	通用型-高级物件	41	支援技伤害+1%	1	53
101	通用型-高级物件	42	支援技伤害+2%	2	53
101	通用型-高级物件	43	支援技伤害+3%	3	53
101	通用型-高级物件	44	支援技伤害+4%	4	53
101	通用型-高级物件	45	支援技伤害+5%	5	53
101	通用型-高级物件	46	爆发技伤害+1%	1	80
101	通用型-高级物件	47	爆发技伤害+2%	2	80
101	通用型-高级物件	48	爆发技伤害+3%	3	80
101	通用型-高级物件	49	爆发技伤害+4%	4	80
101	通用型-高级物件	50	爆发技伤害+5%	5	80
101	通用型-高级物件	51	爆发能量获取率+1%	1	80
101	通用型-高级物件	52	爆发能量获取率+2%	2	80
101	通用型-高级物件	53	爆发能量获取率+3%	3	80
101	通用型-高级物件	54	爆发能量获取率+4%	4	80
101	通用型-高级物件	55	爆发能量获取率+5%	5	80
101	通用型-高级物件	56	射击伤害+1%	1	107
101	通用型-高级物件	57	射击伤害+2%	2	107
101	通用型-高级物件	58	射击伤害+3%	3	107
101	通用型-高级物件	59	射击伤害+4%	4	107
101	通用型-高级物件	60	射击伤害+5%	5	107
101	通用型-高级物件	61	非瞄准射击伤害+1.5%	1	80
101	通用型-高级物件	62	非瞄准射击伤害+3%	2	80
101	通用型-高级物件	63	非瞄准射击伤害+4.5%	3	80
101	通用型-高级物件	64	非瞄准射击伤害+6%	4	80
101	通用型-高级物件	65	非瞄准射击伤害+7.5%	5	80
101	通用型-高级物件	66	瞄准射击伤害+1.5%	1	80
101	通用型-高级物件	67	瞄准射击伤害+3%	2	80
101	通用型-高级物件	68	瞄准射击伤害+4.5%	3	80
101	通用型-高级物件	69	瞄准射击伤害+6%	4	80
101	通用型-高级物件	70	瞄准射击伤害+7.5%	5	80
101	通用型-高级物件	71	射击速度+1%	1	107
101	通用型-高级物件	72	射击速度+2%	2	107
101	通用型-高级物件	73	射击速度+3%	3	107
101	通用型-高级物件	74	射击速度+4%	4	107
101	通用型-高级物件	75	射击速度+5%	5	107
101	通用型-高级物件	76	换弹速度+1%	1	80
101	通用型-高级物件	77	换弹速度+2%	2	80
101	通用型-高级物件	78	换弹速度+3%	3	80
101	通用型-高级物件	79	换弹速度+4%	4	80
101	通用型-高级物件	80	换弹速度+5%	5	80
101	通用型-高级物件	81	常规能量恢复速度+2%	1	107
101	通用型-高级物件	82	常规能量恢复速度+4%	2	107
101	通用型-高级物件	83	常规能量恢复速度+6%	3	107
101	通用型-高级物件	84	常规能量恢复速度+8%	4	107
101	通用型-高级物件	85	常规能量恢复速度+10%	5	107
101	通用型-高级物件	86	附属单位强度+3	1	53
101	通用型-高级物件	87	附属单位强度+6	2	53
101	通用型-高级物件	88	附属单位强度+9	3	53
101	通用型-高级物件	89	附属单位强度+12	4	53
101	通用型-高级物件	90	附属单位强度+15	5	53
101	通用型-高级物件	501	自身提供的基础属性提升+1.1倍	1	80
101	通用型-高级物件	502	自身提供的基础属性提升+1.2倍	2	80
101	通用型-高级物件	503	自身提供的基础属性提升+1.3倍	3	80
101	通用型-高级物件	504	自身提供的基础属性提升+1.5倍	4	80
101	通用型-高级物件	511	自身提供的天赋点提升+1.1倍	1	100
101	通用型-高级物件	512	自身提供的天赋点提升+1.2倍	2	100
101	通用型-高级物件	513	自身提供的天赋点提升+1.3倍	3	100
101	通用型-高级物件	514	自身提供的天赋点提升+1.5倍	4	100
101	通用型-高级物件	521	自身提供的基础属性和天赋点提升+1.1倍	1	70
101	通用型-高级物件	522	自身提供的基础属性和天赋点提升+1.2倍	2	70
101	通用型-高级物件	523	自身提供的基础属性和天赋点提升+1.3倍	3	70
101	通用型-高级物件	524	自身提供的基础属性和天赋点提升+1.5倍	4	70
101	通用型-高级物件	531	使周围物件提供的基础属性提升+1.1倍	1	50
101	通用型-高级物件	532	使周围物件提供的基础属性提升+1.2倍	2	50
101	通用型-高级物件	533	使周围物件提供的基础属性提升+1.3倍	3	50
101	通用型-高级物件	534	使周围物件提供的基础属性提升+1.5倍	4	50
101	通用型-高级物件	541	使周围物件提供的天赋点提升+1.1倍	1	60
101	通用型-高级物件	542	使周围物件提供的天赋点提升+1.2倍	2	60
101	通用型-高级物件	543	使周围物件提供的天赋点提升+1.3倍	3	60
101	通用型-高级物件	544	使周围物件提供的天赋点提升+1.5倍	4	60
101	通用型-高级物件	551	使周围物件提供的基础属性和天赋点提升+1.1倍	1	40
101	通用型-高级物件	552	使周围物件提供的基础属性和天赋点提升+1.2倍	2	40
101	通用型-高级物件	553	使周围物件提供的基础属性和天赋点提升+1.3倍	3	40
101	通用型-高级物件	554	使周围物件提供的基础属性和天赋点提升+1.5倍	4	40
200	射击型-低级物件	6	攻击力+1%	1	237
200	射击型-低级物件	7	攻击力+2%	2	237
200	射击型-低级物件	8	攻击力+3%	3	237
200	射击型-低级物件	9	攻击力+4%	4	237
200	射击型-低级物件	10	攻击力+5%	5	237
200	射击型-低级物件	16	暴击率+1%	1	189
200	射击型-低级物件	17	暴击率+2%	2	189
200	射击型-低级物件	18	暴击率+3%	3	189
200	射击型-低级物件	19	暴击率+4%	4	189
200	射击型-低级物件	20	暴击率+5%	5	189
200	射击型-低级物件	21	暴击伤害增幅+2%	1	237
200	射击型-低级物件	22	暴击伤害增幅+4%	2	237
200	射击型-低级物件	23	暴击伤害增幅+6%	3	237
200	射击型-低级物件	24	暴击伤害增幅+8%	4	237
200	射击型-低级物件	25	暴击伤害增幅+10%	5	237
200	射击型-低级物件	56	射击伤害+1%	1	189
200	射击型-低级物件	57	射击伤害+2%	2	189
200	射击型-低级物件	58	射击伤害+3%	3	189
200	射击型-低级物件	59	射击伤害+4%	4	189
200	射击型-低级物件	60	射击伤害+5%	5	189
200	射击型-低级物件	66	瞄准射击伤害+1.5%	1	142
200	射击型-低级物件	67	瞄准射击伤害+3%	2	142
200	射击型-低级物件	68	瞄准射击伤害+4.5%	3	142
200	射击型-低级物件	69	瞄准射击伤害+6%	4	142
200	射击型-低级物件	70	瞄准射击伤害+7.5%	5	142
200	射击型-低级物件	71	射击速度+1%	1	189
200	射击型-低级物件	72	射击速度+2%	2	189
200	射击型-低级物件	73	射击速度+3%	3	189
200	射击型-低级物件	74	射击速度+4%	4	189
200	射击型-低级物件	75	射击速度+5%	5	189
200	射击型-低级物件	76	换弹速度+1%	1	142
200	射击型-低级物件	77	换弹速度+2%	2	142
200	射击型-低级物件	78	换弹速度+3%	3	142
200	射击型-低级物件	79	换弹速度+4%	4	142
200	射击型-低级物件	80	换弹速度+5%	5	142
200	射击型-低级物件	1	生命值+1%	1	189
200	射击型-低级物件	2	生命值+2%	2	189
200	射击型-低级物件	3	生命值+3%	3	189
200	射击型-低级物件	4	生命值+4%	4	189
200	射击型-低级物件	5	生命值+5%	5	189
200	射击型-低级物件	11	防御力+1%	1	142
200	射击型-低级物件	12	防御力+2%	2	142
200	射击型-低级物件	13	防御力+3%	3	142
200	射击型-低级物件	14	防御力+4%	4	142
200	射击型-低级物件	15	防御力+5%	5	142
200	射击型-低级物件	61	非瞄准射击伤害+1.5%	1	142
200	射击型-低级物件	62	非瞄准射击伤害+3%	2	142
200	射击型-低级物件	63	非瞄准射击伤害+4.5%	3	142
200	射击型-低级物件	64	非瞄准射击伤害+6%	4	142
200	射击型-低级物件	65	非瞄准射击伤害+7.5%	5	142
200	射击型-低级物件	501	自身提供的基础属性提升+1.1倍	1	50
200	射击型-低级物件	502	自身提供的基础属性提升+1.2倍	2	50
200	射击型-低级物件	503	自身提供的基础属性提升+1.3倍	3	50
200	射击型-低级物件	504	自身提供的基础属性提升+1.5倍	4	50
200	射击型-低级物件	511	自身提供的天赋点提升+1.1倍	1	63
200	射击型-低级物件	512	自身提供的天赋点提升+1.2倍	2	63
200	射击型-低级物件	513	自身提供的天赋点提升+1.3倍	3	63
200	射击型-低级物件	514	自身提供的天赋点提升+1.5倍	4	63
200	射击型-低级物件	521	自身提供的基础属性和天赋点提升+1.1倍	1	44
200	射击型-低级物件	522	自身提供的基础属性和天赋点提升+1.2倍	2	44
200	射击型-低级物件	523	自身提供的基础属性和天赋点提升+1.3倍	3	44
200	射击型-低级物件	524	自身提供的基础属性和天赋点提升+1.5倍	4	44
200	射击型-低级物件	531	使周围物件提供的基础属性提升+1.1倍	1	31
200	射击型-低级物件	532	使周围物件提供的基础属性提升+1.2倍	2	31
200	射击型-低级物件	533	使周围物件提供的基础属性提升+1.3倍	3	31
200	射击型-低级物件	534	使周围物件提供的基础属性提升+1.5倍	4	31
200	射击型-低级物件	541	使周围物件提供的天赋点提升+1.1倍	1	38
200	射击型-低级物件	542	使周围物件提供的天赋点提升+1.2倍	2	38
200	射击型-低级物件	543	使周围物件提供的天赋点提升+1.3倍	3	38
200	射击型-低级物件	544	使周围物件提供的天赋点提升+1.5倍	4	38
200	射击型-低级物件	551	使周围物件提供的基础属性和天赋点提升+1.1倍	1	25
200	射击型-低级物件	552	使周围物件提供的基础属性和天赋点提升+1.2倍	2	25
200	射击型-低级物件	553	使周围物件提供的基础属性和天赋点提升+1.3倍	3	25
200	射击型-低级物件	554	使周围物件提供的基础属性和天赋点提升+1.5倍	4	25
201	射击型-高级物件	6	攻击力+1%	1	221
201	射击型-高级物件	7	攻击力+2%	2	221
201	射击型-高级物件	8	攻击力+3%	3	221
201	射击型-高级物件	9	攻击力+4%	4	221
201	射击型-高级物件	10	攻击力+5%	5	221
201	射击型-高级物件	16	暴击率+1%	1	177
201	射击型-高级物件	17	暴击率+2%	2	177
201	射击型-高级物件	18	暴击率+3%	3	177
201	射击型-高级物件	19	暴击率+4%	4	177
201	射击型-高级物件	20	暴击率+5%	5	177
201	射击型-高级物件	21	暴击伤害增幅+2%	1	221
201	射击型-高级物件	22	暴击伤害增幅+4%	2	221
201	射击型-高级物件	23	暴击伤害增幅+6%	3	221
201	射击型-高级物件	24	暴击伤害增幅+8%	4	221
201	射击型-高级物件	25	暴击伤害增幅+10%	5	221
201	射击型-高级物件	56	射击伤害+1%	1	177
201	射击型-高级物件	57	射击伤害+2%	2	177
201	射击型-高级物件	58	射击伤害+3%	3	177
201	射击型-高级物件	59	射击伤害+4%	4	177
201	射击型-高级物件	60	射击伤害+5%	5	177
201	射击型-高级物件	66	瞄准射击伤害+1.5%	1	133
201	射击型-高级物件	67	瞄准射击伤害+3%	2	133
201	射击型-高级物件	68	瞄准射击伤害+4.5%	3	133
201	射击型-高级物件	69	瞄准射击伤害+6%	4	133
201	射击型-高级物件	70	瞄准射击伤害+7.5%	5	133
201	射击型-高级物件	71	射击速度+1%	1	177
201	射击型-高级物件	72	射击速度+2%	2	177
201	射击型-高级物件	73	射击速度+3%	3	177
201	射击型-高级物件	74	射击速度+4%	4	177
201	射击型-高级物件	75	射击速度+5%	5	177
201	射击型-高级物件	76	换弹速度+1%	1	133
201	射击型-高级物件	77	换弹速度+2%	2	133
201	射击型-高级物件	78	换弹速度+3%	3	133
201	射击型-高级物件	79	换弹速度+4%	4	133
201	射击型-高级物件	80	换弹速度+5%	5	133
201	射击型-高级物件	1	生命值+1%	1	177
201	射击型-高级物件	2	生命值+2%	2	177
201	射击型-高级物件	3	生命值+3%	3	177
201	射击型-高级物件	4	生命值+4%	4	177
201	射击型-高级物件	5	生命值+5%	5	177
201	射击型-高级物件	11	防御力+1%	1	133
201	射击型-高级物件	12	防御力+2%	2	133
201	射击型-高级物件	13	防御力+3%	3	133
201	射击型-高级物件	14	防御力+4%	4	133
201	射击型-高级物件	15	防御力+5%	5	133
201	射击型-高级物件	61	非瞄准射击伤害+1.5%	1	133
201	射击型-高级物件	62	非瞄准射击伤害+3%	2	133
201	射击型-高级物件	63	非瞄准射击伤害+4.5%	3	133
201	射击型-高级物件	64	非瞄准射击伤害+6%	4	133
201	射击型-高级物件	65	非瞄准射击伤害+7.5%	5	133
201	射击型-高级物件	501	自身提供的基础属性提升+1.1倍	1	80
201	射击型-高级物件	502	自身提供的基础属性提升+1.2倍	2	80
201	射击型-高级物件	503	自身提供的基础属性提升+1.3倍	3	80
201	射击型-高级物件	504	自身提供的基础属性提升+1.5倍	4	80
201	射击型-高级物件	511	自身提供的天赋点提升+1.1倍	1	100
201	射击型-高级物件	512	自身提供的天赋点提升+1.2倍	2	100
201	射击型-高级物件	513	自身提供的天赋点提升+1.3倍	3	100
201	射击型-高级物件	514	自身提供的天赋点提升+1.5倍	4	100
201	射击型-高级物件	521	自身提供的基础属性和天赋点提升+1.1倍	1	70
201	射击型-高级物件	522	自身提供的基础属性和天赋点提升+1.2倍	2	70
201	射击型-高级物件	523	自身提供的基础属性和天赋点提升+1.3倍	3	70
201	射击型-高级物件	524	自身提供的基础属性和天赋点提升+1.5倍	4	70
201	射击型-高级物件	531	使周围物件提供的基础属性提升+1.1倍	1	50
201	射击型-高级物件	532	使周围物件提供的基础属性提升+1.2倍	2	50
201	射击型-高级物件	533	使周围物件提供的基础属性提升+1.3倍	3	50
201	射击型-高级物件	534	使周围物件提供的基础属性提升+1.5倍	4	50
201	射击型-高级物件	541	使周围物件提供的天赋点提升+1.1倍	1	60
201	射击型-高级物件	542	使周围物件提供的天赋点提升+1.2倍	2	60
201	射击型-高级物件	543	使周围物件提供的天赋点提升+1.3倍	3	60
201	射击型-高级物件	544	使周围物件提供的天赋点提升+1.5倍	4	60
201	射击型-高级物件	551	使周围物件提供的基础属性和天赋点提升+1.1倍	1	40
201	射击型-高级物件	552	使周围物件提供的基础属性和天赋点提升+1.2倍	2	40
201	射击型-高级物件	553	使周围物件提供的基础属性和天赋点提升+1.3倍	3	40
201	射击型-高级物件	554	使周围物件提供的基础属性和天赋点提升+1.5倍	4	40
300	技能型-低级物件	1	生命值+1%	1	157
300	技能型-低级物件	2	生命值+2%	2	157
300	技能型-低级物件	3	生命值+3%	3	157
300	技能型-低级物件	4	生命值+4%	4	157
300	技能型-低级物件	5	生命值+5%	5	157
300	技能型-低级物件	6	攻击力+1%	1	196
300	技能型-低级物件	7	攻击力+2%	2	196
300	技能型-低级物件	8	攻击力+3%	3	196
300	技能型-低级物件	9	攻击力+4%	4	196
300	技能型-低级物件	10	攻击力+5%	5	196
300	技能型-低级物件	11	防御力+1%	1	117
300	技能型-低级物件	12	防御力+2%	2	117
300	技能型-低级物件	13	防御力+3%	3	117
300	技能型-低级物件	14	防御力+4%	4	117
300	技能型-低级物件	15	防御力+5%	5	117
300	技能型-低级物件	16	暴击率+1%	1	157
300	技能型-低级物件	17	暴击率+2%	2	157
300	技能型-低级物件	18	暴击率+3%	3	157
300	技能型-低级物件	19	暴击率+4%	4	157
300	技能型-低级物件	20	暴击率+5%	5	157
300	技能型-低级物件	21	暴击伤害增幅+2%	1	196
300	技能型-低级物件	22	暴击伤害增幅+4%	2	196
300	技能型-低级物件	23	暴击伤害增幅+6%	3	196
300	技能型-低级物件	24	暴击伤害增幅+8%	4	196
300	技能型-低级物件	25	暴击伤害增幅+10%	5	196
300	技能型-低级物件	26	技能急速+1	1	157
300	技能型-低级物件	27	技能急速+2	2	157
300	技能型-低级物件	28	技能急速+3	3	157
300	技能型-低级物件	29	技能急速+4	4	157
300	技能型-低级物件	30	技能急速+5	5	157
300	技能型-低级物件	31	技能伤害+1%	1	157
300	技能型-低级物件	32	技能伤害+2%	2	157
300	技能型-低级物件	33	技能伤害+3%	3	157
300	技能型-低级物件	34	技能伤害+4%	4	157
300	技能型-低级物件	35	技能伤害+5%	5	157
300	技能型-低级物件	36	常规技伤害+1.5%	1	117
300	技能型-低级物件	37	常规技伤害+3%	2	117
300	技能型-低级物件	38	常规技伤害+4.5%	3	117
300	技能型-低级物件	39	常规技伤害+6%	4	117
300	技能型-低级物件	40	常规技伤害+7.5%	5	117
300	技能型-低级物件	41	支援技伤害+1%	1	78
300	技能型-低级物件	42	支援技伤害+2%	2	78
300	技能型-低级物件	43	支援技伤害+3%	3	78
300	技能型-低级物件	44	支援技伤害+4%	4	78
300	技能型-低级物件	45	支援技伤害+5%	5	78
300	技能型-低级物件	46	爆发技伤害+1%	1	117
300	技能型-低级物件	47	爆发技伤害+2%	2	117
300	技能型-低级物件	48	爆发技伤害+3%	3	117
300	技能型-低级物件	49	爆发技伤害+4%	4	117
300	技能型-低级物件	50	爆发技伤害+5%	5	117
300	技能型-低级物件	51	爆发能量获取率+1%	1	117
300	技能型-低级物件	52	爆发能量获取率+2%	2	117
300	技能型-低级物件	53	爆发能量获取率+3%	3	117
300	技能型-低级物件	54	爆发能量获取率+4%	4	117
300	技能型-低级物件	55	爆发能量获取率+5%	5	117
300	技能型-低级物件	81	常规能量恢复速度+2%	1	157
300	技能型-低级物件	82	常规能量恢复速度+4%	2	157
300	技能型-低级物件	83	常规能量恢复速度+6%	3	157
300	技能型-低级物件	84	常规能量恢复速度+8%	4	157
300	技能型-低级物件	85	常规能量恢复速度+10%	5	157
300	技能型-低级物件	86	附属单位强度+3	1	78
300	技能型-低级物件	87	附属单位强度+6	2	78
300	技能型-低级物件	88	附属单位强度+9	3	78
300	技能型-低级物件	89	附属单位强度+12	4	78
300	技能型-低级物件	90	附属单位强度+15	5	78
300	技能型-低级物件	501	自身提供的基础属性提升+1.1倍	1	50
300	技能型-低级物件	502	自身提供的基础属性提升+1.2倍	2	50
300	技能型-低级物件	503	自身提供的基础属性提升+1.3倍	3	50
300	技能型-低级物件	504	自身提供的基础属性提升+1.5倍	4	50
300	技能型-低级物件	511	自身提供的天赋点提升+1.1倍	1	63
300	技能型-低级物件	512	自身提供的天赋点提升+1.2倍	2	63
300	技能型-低级物件	513	自身提供的天赋点提升+1.3倍	3	63
300	技能型-低级物件	514	自身提供的天赋点提升+1.5倍	4	63
300	技能型-低级物件	521	自身提供的基础属性和天赋点提升+1.1倍	1	44
300	技能型-低级物件	522	自身提供的基础属性和天赋点提升+1.2倍	2	44
300	技能型-低级物件	523	自身提供的基础属性和天赋点提升+1.3倍	3	44
300	技能型-低级物件	524	自身提供的基础属性和天赋点提升+1.5倍	4	44
300	技能型-低级物件	531	使周围物件提供的基础属性提升+1.1倍	1	31
300	技能型-低级物件	532	使周围物件提供的基础属性提升+1.2倍	2	31
300	技能型-低级物件	533	使周围物件提供的基础属性提升+1.3倍	3	31
300	技能型-低级物件	534	使周围物件提供的基础属性提升+1.5倍	4	31
300	技能型-低级物件	541	使周围物件提供的天赋点提升+1.1倍	1	38
300	技能型-低级物件	542	使周围物件提供的天赋点提升+1.2倍	2	38
300	技能型-低级物件	543	使周围物件提供的天赋点提升+1.3倍	3	38
300	技能型-低级物件	544	使周围物件提供的天赋点提升+1.5倍	4	38
300	技能型-低级物件	551	使周围物件提供的基础属性和天赋点提升+1.1倍	1	25
300	技能型-低级物件	552	使周围物件提供的基础属性和天赋点提升+1.2倍	2	25
300	技能型-低级物件	553	使周围物件提供的基础属性和天赋点提升+1.3倍	3	25
300	技能型-低级物件	554	使周围物件提供的基础属性和天赋点提升+1.5倍	4	25
301	技能型-高级物件	1	生命值+1%	1	146
301	技能型-高级物件	2	生命值+2%	2	146
