资源索引ID	描述	资源路径
313	转移卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_13.icon_dlc03_richman_13
314	盗窃卡卡牌图标	Icon/DLC/DLC3/400/icon_dlc03_richman_14.icon_dlc03_richman_14
320	分析员立绘	Picture/DLC03/pic_dlc03_richman_05.pic_dlc03_richman_05
321	猫兮尔立绘	Picture/DLC03/pic_dlc03_richman_07.pic_dlc03_richman_07
322	辰星立绘	Picture/DLC03/pic_dlc03_richman_08.pic_dlc03_richman_08
323	芙提雅立绘	Picture/DLC03/pic_dlc03_richman_01.pic_dlc03_richman_01
324	安卡西娅立绘	Picture/DLC03/pic_dlc03_richman_02.pic_dlc03_richman_02
325	BOSS立绘	Picture/DLC03/pic_dlc03_richman_04.pic_dlc03_richman_04
326	恩雅立绘	Picture/DLC03/pic_dlc03_richman_06.pic_dlc03_richman_06
327	小金鱼立绘	Picture/DLC03/pic_dlc03_richman_03.pic_dlc03_richman_03
330	Boss头像130	Icon/PlayerHead/130/Frames/icon_playerhead_030_130_png.icon_playerhead_030_130_png
331	安卡西娅头像130	Icon/PlayerHead/130/Frames/icon_playerhead_031_130_png.icon_playerhead_031_130_png
332	芙提雅头像130	Icon/PlayerHead/130/Frames/icon_playerhead_032_130_png.icon_playerhead_032_130_png
333	恩雅头像130	Icon/PlayerHead/130/Frames/icon_playerhead_033_130_png.icon_playerhead_033_130_png
334	猫兮儿头像130	Icon/PlayerHead/130/Frames/icon_playerhead_034_130_png.icon_playerhead_034_130_png
335	小金鱼头像130	Icon/PlayerHead/130/Frames/icon_playerhead_035_130_png.icon_playerhead_035_130_png
336	辰星头像130	Icon/PlayerHead/130/Frames/icon_playerhead_036_130_png.icon_playerhead_036_130_png
337	分析员头像130	Icon/PlayerHead/130/Frames/icon_playerhead_037_130_png.icon_playerhead_037_130_png
340	Boss头像200	Icon/PlayerHead/200/icon_playerhead_030_200.icon_playerhead_030_200
341	安卡西娅头像200	Icon/PlayerHead/200/icon_playerhead_031_200.icon_playerhead_031_200
342	芙提雅头像200	Icon/PlayerHead/200/icon_playerhead_032_200.icon_playerhead_032_200
343	恩雅头像200	Icon/PlayerHead/200/icon_playerhead_033_200.icon_playerhead_033_200
344	猫兮儿头像200	Icon/PlayerHead/200/icon_playerhead_034_200.icon_playerhead_034_200
345	小金鱼头像200	Icon/PlayerHead/200/icon_playerhead_035_200.icon_playerhead_035_200
346	辰星头像200	Icon/PlayerHead/200/icon_playerhead_036_200.icon_playerhead_036_200
347	分析员头像200	Icon/PlayerHead/200/icon_playerhead_037_200.icon_playerhead_037_200
350	分析员	Picture/DLC03/pic_dlc03_richman02_05.pic_dlc03_richman02_05
351	猫兮尔	Picture/DLC03/pic_dlc03_richman02_07.pic_dlc03_richman02_07
352	辰星	Picture/DLC03/pic_dlc03_richman02_08.pic_dlc03_richman02_08
353	芙提雅	Picture/DLC03/pic_dlc03_richman02_01.pic_dlc03_richman02_01
354	安卡西娅	Picture/DLC03/pic_dlc03_richman02_02.pic_dlc03_richman02_02
355	BOSS透	Picture/DLC03/pic_dlc03_richman02_04.pic_dlc03_richman02_04
356	恩雅	Picture/DLC03/pic_dlc03_richman02_06.pic_dlc03_richman02_06
357	小金鱼	Picture/DLC03/pic_dlc03_richman02_03.pic_dlc03_richman02_03
400	金钱减少数字0	UI/DLC3Richman/Frames/gui_dlc03_other006_00_png.gui_dlc03_other006_00_png
401	金钱减少数字1	UI/DLC3Richman/Frames/gui_dlc03_other006_01_png.gui_dlc03_other006_01_png
402	金钱减少数字2	UI/DLC3Richman/Frames/gui_dlc03_other006_02_png.gui_dlc03_other006_02_png
403	金钱减少数字3	UI/DLC3Richman/Frames/gui_dlc03_other006_03_png.gui_dlc03_other006_03_png
404	金钱减少数字4	UI/DLC3Richman/Frames/gui_dlc03_other006_04_png.gui_dlc03_other006_04_png
405	金钱减少数字5	UI/DLC3Richman/Frames/gui_dlc03_other006_05_png.gui_dlc03_other006_05_png
406	金钱减少数字6	UI/DLC3Richman/Frames/gui_dlc03_other006_06_png.gui_dlc03_other006_06_png
407	金钱减少数字7	UI/DLC3Richman/Frames/gui_dlc03_other006_07_png.gui_dlc03_other006_07_png
408	金钱减少数字8	UI/DLC3Richman/Frames/gui_dlc03_other006_08_png.gui_dlc03_other006_08_png
409	金钱减少数字9	UI/DLC3Richman/Frames/gui_dlc03_other006_09_png.gui_dlc03_other006_09_png
410	金钱增加数字0	UI/DLC3Richman/Frames/gui_dlc03_other005_00_png.gui_dlc03_other005_00_png
411	金钱增加数字1	UI/DLC3Richman/Frames/gui_dlc03_other005_01_png.gui_dlc03_other005_01_png
412	金钱增加数字2	UI/DLC3Richman/Frames/gui_dlc03_other005_02_png.gui_dlc03_other005_02_png
413	金钱增加数字3	UI/DLC3Richman/Frames/gui_dlc03_other005_03_png.gui_dlc03_other005_03_png
414	金钱增加数字4	UI/DLC3Richman/Frames/gui_dlc03_other005_04_png.gui_dlc03_other005_04_png
415	金钱增加数字5	UI/DLC3Richman/Frames/gui_dlc03_other005_05_png.gui_dlc03_other005_05_png
416	金钱增加数字6	UI/DLC3Richman/Frames/gui_dlc03_other005_06_png.gui_dlc03_other005_06_png
417	金钱增加数字7	UI/DLC3Richman/Frames/gui_dlc03_other005_07_png.gui_dlc03_other005_07_png
418	金钱增加数字8	UI/DLC3Richman/Frames/gui_dlc03_other005_08_png.gui_dlc03_other005_08_png
419	金钱增加数字9	UI/DLC3Richman/Frames/gui_dlc03_other005_09_png.gui_dlc03_other005_09_png
501	结算第1	UI/DLC3Richman/Frames/gui_dlc03_bg008_06_png.gui_dlc03_bg008_06_png
502	结算第2	UI/DLC3Richman/Frames/gui_dlc03_bg008_07_png.gui_dlc03_bg008_07_png
503	结算第3	UI/DLC3Richman/Frames/gui_dlc03_bg008_08_png.gui_dlc03_bg008_08_png
504	结算第4	UI/DLC3Richman/Frames/gui_dlc03_bg008_09_png.gui_dlc03_bg008_09_png
505	标签蓝队	UI/DLC03/Frames/gui_dlc03_bg004_05_png.gui_dlc03_bg004_05_png
506	标签橙队	UI/DLC03/Frames/gui_dlc03_bg004_06_png.gui_dlc03_bg004_06_png
507	标签绿队	UI/DLC03/Frames/gui_dlc03_bg004_07_png.gui_dlc03_bg004_07_png
508	标签黄队	UI/DLC03/Frames/gui_dlc03_bg004_08_png.gui_dlc03_bg004_08_png
509	头像底图橙队	UI/DLC03/Frames/gui_dlc03_bg004_26_png.gui_dlc03_bg004_26_png
510	头像底图蓝队	UI/DLC03/Frames/gui_dlc03_bg004_27_png.gui_dlc03_bg004_27_png
511	头像底图黄队	UI/DLC03/Frames/gui_dlc03_bg004_28_png.gui_dlc03_bg004_28_png
512	头像底图绿队	UI/DLC03/Frames/gui_dlc03_bg004_29_png.gui_dlc03_bg004_29_png
513	资产条绿队	UI/DLC03/Frames/gui_dlc03_other003_03_png.gui_dlc03_other003_03_png
514	资产条黄队	UI/DLC03/Frames/gui_dlc03_other003_04_png.gui_dlc03_other003_04_png
515	资产条橙队	UI/DLC03/Frames/gui_dlc03_other003_05_png.gui_dlc03_other003_05_png
516	资产条蓝队	UI/DLC03/Frames/gui_dlc03_other003_06_png.gui_dlc03_other003_06_png
517	编队角标绿	UI/DLC3Richman/Frames/gui_dlc03_bg005_13_png.gui_dlc03_bg005_13_png
518	编队角标黄	UI/DLC3Richman/Frames/gui_dlc03_bg005_14_png.gui_dlc03_bg005_14_png
519	编队角标橙	UI/DLC3Richman/Frames/gui_dlc03_bg005_15_png.gui_dlc03_bg005_15_png
520	编队角标蓝	UI/DLC3Richman/Frames/gui_dlc03_bg005_16_png.gui_dlc03_bg005_16_png
601	dlc9遥控骰子	Icon/DLC/DLC09Richman/icon_dlc09_richman_01.icon_dlc09_richman_01
602	dlc9上台阶	Icon/DLC/DLC09Richman/icon_dlc09_richman_02.icon_dlc09_richman_02
603	dlc9爱心券	Icon/DLC/DLC09Richman/icon_dlc09_richman_04.icon_dlc09_richman_04
604	dlc9迪斯科球	Icon/DLC/DLC09Richman/icon_dlc09_richman_05.icon_dlc09_richman_05
605	dlc9气球	Icon/DLC/DLC09Richman/icon_dlc09_richman_09.icon_dlc09_richman_09
606	里芙鞋子	Icon/DLC/DLC09Richman/icon_dlc09_richmangame_01.icon_dlc09_richmangame_01
607	里芙狂猎鞋子	Icon/DLC/DLC09Richman/icon_dlc09_richmangame_02.icon_dlc09_richmangame_02
608	芬妮鞋子	Icon/DLC/DLC09Richman/icon_dlc09_richmangame_03.icon_dlc09_richmangame_03
609	芬妮咎冠鞋子	Icon/DLC/DLC09Richman/icon_dlc09_richmangame_04.icon_dlc09_richmangame_04
610	茉莉安鞋子	Icon/DLC/DLC09Richman/icon_dlc09_richmangame_05.icon_dlc09_richmangame_05
611	茉莉安雨燕鞋子	Icon/DLC/DLC09Richman/icon_dlc09_richmangame_06.icon_dlc09_richmangame_06
701	dlc9增加数字0	UI/DLC09Richman/Frames/gui_dlc09_99_other001_23_png.gui_dlc09_99_other001_23_png
702	dlc9增加数字1	UI/DLC09Richman/Frames/gui_dlc09_99_other001_14_png.gui_dlc09_99_other001_14_png
703	dlc9增加数字2	UI/DLC09Richman/Frames/gui_dlc09_99_other001_15_png.gui_dlc09_99_other001_15_png
704	dlc9增加数字3	UI/DLC09Richman/Frames/gui_dlc09_99_other001_16_png.gui_dlc09_99_other001_16_png
705	dlc9增加数字4	UI/DLC09Richman/Frames/gui_dlc09_99_other001_17_png.gui_dlc09_99_other001_17_png
706	dlc9增加数字5	UI/DLC09Richman/Frames/gui_dlc09_99_other001_18_png.gui_dlc09_99_other001_18_png
707	dlc9增加数字6	UI/DLC09Richman/Frames/gui_dlc09_99_other001_19_png.gui_dlc09_99_other001_19_png
708	dlc9增加数字7	UI/DLC09Richman/Frames/gui_dlc09_99_other001_20_png.gui_dlc09_99_other001_20_png
709	dlc9增加数字8	UI/DLC09Richman/Frames/gui_dlc09_99_other001_21_png.gui_dlc09_99_other001_21_png
710	dlc9增加数字9	UI/DLC09Richman/Frames/gui_dlc09_99_other001_22_png.gui_dlc09_99_other001_22_png
801	勇气	UI/DLC09Richman/Frames/gui_dlc09_99_icon008_02_png.gui_dlc09_99_icon008_02_png
802	学识	UI/DLC09Richman/Frames/gui_dlc09_99_icon008_01_png.gui_dlc09_99_icon008_01_png
803	体贴	UI/DLC09Richman/Frames/gui_dlc09_99_icon008_04_png.gui_dlc09_99_icon008_04_png
804	魅力	UI/DLC09Richman/Frames/gui_dlc09_99_icon008_05_png.gui_dlc09_99_icon008_05_png
805	灵巧	UI/DLC09Richman/Frames/gui_dlc09_99_icon008_03_png.gui_dlc09_99_icon008_03_png
901	狂猎立绘	Picture/DLC09Richman/pic_dlc09_richman_01.pic_dlc09_richman_01
902	咎冠立绘	Picture/DLC09Richman/pic_dlc09_richman_02.pic_dlc09_richman_02
903	雨燕立绘	Picture/DLC09Richman/pic_dlc09_richman_03.pic_dlc09_richman_03
		
1001	第1关loding	Picture/DLC03/pic_dlc03_fight001.pic_dlc03_fight001
1002	第2关loding	Picture/DLC03/pic_dlc03_fight002.pic_dlc03_fight002
1003	第3关loding	Picture/DLC03/pic_dlc03_fight003.pic_dlc03_fight003
1004	第4关loding	Picture/DLC03/pic_dlc03_fight004.pic_dlc03_fight004
1010	好运事件卡	Picture/DLC03/pic_dlc03_paper001.pic_dlc03_paper001
1011	坏运事件卡	Picture/DLC03/pic_dlc03_paper002.pic_dlc03_paper002
1012	酒馆事件卡	Picture/DLC03/pic_dlc03_paper003.pic_dlc03_paper003
1013	钓鱼事件卡	Picture/DLC03/pic_dlc03_paper004.pic_dlc03_paper004
1014	Boss事件卡	Picture/DLC03/pic_dlc03_paper005.pic_dlc03_paper005
1015	第1关章节图	Picture/DLC03/pic_dlc03_fight001.pic_dlc03_fight001
1016	第2关章节图	Picture/DLC03/pic_dlc03_fight002.pic_dlc03_fight002
1017	第3关章节图	Picture/DLC03/pic_dlc03_fight003.pic_dlc03_fight003
1018	第4关章节图	Picture/DLC03/pic_dlc03_fight004.pic_dlc03_fight004
		
2001	大富翁结局图-里芙	Picture/DLC09Richman/pic_dlc09_end001.pic_dlc09_end001
2002	大富翁结局图-茉莉安	Picture/DLC09Richman/pic_dlc09_end002.pic_dlc09_end002
2003	大富翁结局图-芬妮	Picture/DLC09Richman/pic_dlc09_end003.pic_dlc09_end003
2004	大富翁结局图-后宫	Picture/DLC09Richman/pic_dlc09_end004.pic_dlc09_end004
2005	大富翁结局图-魅魔	Picture/DLC09Richman/pic_dlc09_end005.pic_dlc09_end005
2006	大富翁结局图-工作狂	Picture/DLC09Richman/pic_dlc09_end006.pic_dlc09_end006
2007	大富翁结局图-人生巅峰	Picture/DLC09Richman/pic_dlc09_end007.pic_dlc09_end007
2008	大富翁结局图-勇气	Picture/DLC09Richman/pic_dlc09_end008.pic_dlc09_end008
2009	大富翁结局图-魅力	Picture/DLC09Richman/pic_dlc09_end009.pic_dlc09_end009
2010	大富翁结局图-体贴	Picture/DLC09Richman/pic_dlc09_end010.pic_dlc09_end010
2011	大富翁结局图-平凡	Picture/DLC09Richman/pic_dlc09_end011.pic_dlc09_end011
2012	大富翁事件图-问答	Picture/DLC09Richman/pic_dlc09_end012.pic_dlc09_end012
2013	大富翁事件图-贩卖机	Picture/DLC09Richman/pic_dlc09_end013.pic_dlc09_end013
2014	大富翁事件图-烛光晚餐	Picture/DLC09Richman/pic_dlc09_end014.pic_dlc09_end014
2015	大富翁事件图-飞车	Picture/DLC09Richman/pic_dlc09_end015.pic_dlc09_end015
2016	大富翁事件图-好运	Picture/DLC09Richman/pic_dlc03_paper001.pic_dlc03_paper001
