ID	注释	标题	描述	图标	正文	类别(1电子日志 2信息残片 3风物百景 4异相研究 5录音记录 6数据载体)	屏蔽困难模式	可以重复触发	语音字幕	分组	章节	关卡难度(2普通，3困难)	图鉴语音
20017	牧羊人小组5	20017_Name	20017_Desc	1500003	20017_Content	2		1	CH.11.fragment.10			5	
20018	牧羊人小组6	20018_Name	20018_Desc	1500003	20018_Content	2		1	CH.11.fragment.11			5	
20019	牧羊人小组7	20019_Name	20019_Desc	1500003	20019_Content	2		1	CH.11.fragment.12			5	
20020	牧羊人小组8	20020_Name	20020_Desc	1500003	20020_Content	2		1	CH.11.fragment.13			5	
20021	牧羊人小组9	20021_Name	20021_Desc	1500003	20021_Content	2		1	CH.11.fragment.14			5	
20022	牧羊人小组10	20022_Name	20022_Desc	1500003	20022_Content	2		1	CH.11.fragment.15			5	
20023	牧羊人小组-最终	20023_Name	20023_Desc	1500003	20023_Content	2		1	CH.11.fragment.16			5	
20024	砸彩蛋游戏	20024_Name	20024_Desc	1500003	20024_Content	2		1	CH.11.fragment.17			5	
													
													
30001	“创造者”雕像	30001_Name	30001_Desc	1500004	30001_Content	3	1				10101	1	
30002	缓冲区	30002_Name	30002_Desc	1500004	30002_Content	3	1				10101	1	
30003	地下铁	30003_Name	30003_Desc	1500004	30003_Content	3	1				10201	1	
30004	地下排水系统	30004_Name	30004_Desc	1500004	30004_Content	3	1				10207	1	
30005	第三隔离墙	30005_Name	30005_Desc	1500004	30005_Content	3	1				10305	1	
30006	外围隔离墙	30006_Name	30006_Desc	1500004	30006_Content	3	1				10910	1	
30007	棚户区	30007_Name	30007_Desc	1500004	30007_Content	3	1				10305	1	
30008	市场	30008_Name	30008_Desc	1500004	30008_Content	3	1				10306	1	
30009	峡谷	30009_Name	30009_Desc	1500004	30009_Content	3	1				10301	1	
30010	污染区	30010_Name	30010_Desc	1500004	30010_Content	3	1				10403	1	
30011	时代中央广场	30011_Name	30011_Desc	1500004	30011_Content	3	1				10405	1	
30012	降临团圣坛	30012_Name	30012_Desc	1500004	30012_Content	3	1				10707	1	
30013	天楼低区	30013_Name	30013_Desc	1500004	30013_Content	3	1				10802	1	
30015	英灵之路	30015_Name	30015_Desc	1500004	30015_Content	3	1				10711	1	
30016	天楼高区	30016_Name	30016_Desc	1500004	30016_Content	3	1				10702	1	
30017	深水区	30017_Name	30017_Desc	1500004	30017_Content	3	1				10501	1	
30018	泰古通达停机坪	30018_Name	30018_Desc	1500004	30018_Content	3	1				4001	4	
30019	无人运输车	30019_Name	30019_Desc	1500004	30019_Content	3	1				4003	4	
30020	明灯新仪摊位	30020_Name	30020_Desc	1500004	30020_Content	3	1				4004	4	
30021	迎客松的秘密	30021_Name	30021_Desc	1500004	30021_Content	3	1				4009	4	
30022	罹难者峡谷	30022_Name	30022_Desc	1500004	30022_Content	3	1				11204	1	
30023	钢铁厂楼群	30023_Name	30023_Desc	1500004	30023_Content	3	1				11206	1	
30024	地堡	30024_Name	30024_Desc	1500004	30024_Content	3	1				11225	1	
30025	发动机装配间	30025_Name	30025_Desc	1500004	30025_Content	3	1				11232	1	
30026	“风雪”号航天飞机	30026_Name	30026_Desc	1500004	30026_Content	3	1				11231	1	
													
40001	布里希加曼	40001_Name	40001_Desc	1500005	40001_Content	4	1				10212	1	
40002	泰坦物质	40002_Name	40002_Desc	1500005	40002_Content	4	1				10209	1	
40004	雪	40004_Name	40004_Desc	1500005	40004_Content	4	1				10401	1	
40005	树	40005_Name	40005_Desc	1500005	40005_Content	4	1				11006	1	
													
													
50001	无名者的录音	50001_Name	50001_Desc	1500000	50001_Content	5	1				11009	1	Play_Vo_record001
50002	失踪队员生前录音	50002_Name	50002_Desc	1500000	50002_Content	5	1				10402	1	Play_Vo_record004
50003	世界树通讯终端存储语音记录	50003_Name	50003_Desc	1500000	50003_Content	5	1				10204	1	Play_Vo_record003
50004	贝奥武夫中队通讯终端存储语音记录	50004_Name	50004_Desc	1500000	50004_Content	5	1				10504	1	Play_Vo_record002
50005	轻松的战斗	50005_Name	50005_Desc	1500000	50005_Content	5	1		CH.11.recording.01			5	CH.11.recording.01
50006	一通电话	50006_Name	50006_Desc	1500000	50006_Content	5	1		CH.11.recording.02			5	CH.11.recording.02
													
													
60001	安全部03小队	60001_Name	60001_Desc	1500002	60001_Content	6	1				10509	1	
60002	逐光者01	60002_Name	60002_Desc	1500002	60002_Content	6	1				10301	1	
60003	逐光者02	60003_Name	60003_Desc	1500002	60003_Content	6	1				10304	1	
60004	逐光者03	60004_Name	60004_Desc	1500002	60004_Content	6	1				10307	1	
60005	逐光者04	60005_Name	60005_Desc	1500002	60005_Content	6	1				10309	1	
60006	3月探索记录及生存物资规划	60006_Name	60006_Desc	1500002	60006_Content	6	1				10611	1	
60007	5月探索记录及生存物资规划	60007_Name	60007_Desc	1500002	60007_Content	6	1				10704	1	
60008	8月探索记录及生存物资规划	60008_Name	60008_Desc	1500002	60008_Content	6	1				10804	1	
60009	【数据删除】物资记录	60009_Name	60009_Desc	1500002	60009_Content	6	1				10810	1	
60010	狼嗥日志1	60010_Name	60010_Desc	1500002	60010_Content	1	1				10102	1	
60011	狼嗥日志2	60011_Name	60011_Desc	1500002	60011_Content	1	1				10103	1	
60012	狼嗥日志3	60012_Name	60012_Desc	1500002	60012_Content	1	1				10105	1	
60013	狼嗥日志4	60013_Name	60013_Desc	1500002	60013_Content	1	1				10108	1	
60014	狼嗥日志5	60014_Name	60014_Desc	1500002	60014_Content	1	1				10303	1	
60015	狼嗥日志8	60015_Name	60015_Desc	1500002	60015_Content	1	1				10603	1	
60016	“遗失”的个人终端	60016_Name	60016_Desc	1500002	60016_Content	6	1				4001	4	
60017	跳棋小队01	60017_Name	60017_Desc	1500002	60017_Content	6	1		CH.11.datacarrier.01			5	
60018	跳棋小队02	60018_Name	60018_Desc	1500002	60018_Content	6	1		CH.11.datacarrier.02			5	
60019	跳棋小队03	60019_Name	60019_Desc	1500002	60019_Content	6	1		CH.11.datacarrier.03			5	
60020	跳棋小队04	60020_Name	60020_Desc	1500002	60020_Content	6	1		CH.11.datacarrier.04			5	
60021	跳棋小队05	60021_Name	60021_Desc	1500002	60021_Content	6	1		CH.11.datacarrier.05			5	
60022	跳棋小队06	60022_Name	60022_Desc	1500002	60022_Content	6	1		CH.11.datacarrier.06			5	
60023	跳棋小队07	60023_Name	60023_Desc	1500002	60023_Content	6	1		CH.11.datacarrier.07			5	
60025	跳棋小队08	60025_Name	60025_Desc	1500002	60025_Content	6	1		CH.11.datacarrier.09			5	
60026	肯特博士01	60026_Name	60026_Desc	1500002	60026_Content	6	1		CH.11.datacarrier.10			5	
60027	肯特博士02	60027_Name	60027_Desc	1500002	60027_Content	6	1		CH.11.datacarrier.11			5	
60028	肯特博士03	60028_Name	60028_Desc	1500002	60028_Content	6	1		CH.11.datacarrier.12			5	
60029	肯特博士04	60029_Name	60029_Desc	1500002	60029_Content	6	1		CH.11.datacarrier.13			5	
60030	肯特博士05	60030_Name	60030_Desc	1500002	60030_Content	6	1		CH.11.datacarrier.14			5	
60031	肯特博士06	60031_Name	60031_Desc	1500002	60031_Content	6	1		CH.11.datacarrier.15			5	
60032	肯特博士07	60032_Name	60032_Desc	1500002	60032_Content	6	1		CH.11.datacarrier.16			5	
60033	肯特博士08	60033_Name	60033_Desc	1500002	60033_Content	6	1		CH.11.datacarrier.17			5	
60034	肯特博士09	60034_Name	60034_Desc	1500002	60034_Content	6	1		CH.11.datacarrier.18			5	
60035	宴会菜单	60035_Name	60035_Desc	1500002	60035_Content	6	1				11221	1	
60036	《钢铁与耶洛沙》其一	60036_Name	60036_Desc	1500002	60036_Content	6	1				11223	1	
60037	《钢铁与耶洛沙》其二	60037_Name	60037_Desc	1500002	60037_Content	6	1				11224	1	
60038	未发出的急报	60038_Name	60038_Desc	1500002	60038_Content	6	1				11226	1	
60039	未知的终端	60039_Name	60039_Desc	1500002	60039_Content	6	1				11227	1	
60040	公馆舞会录音	60040_Name	60040_Desc	1500002	60040_Content	6	1				11222	1	
60041	赫瓦雷纳士兵口供	60041_Name	60041_Desc	1500002	60041_Content	6	1				11228	1	
60042	遥远的星空	60042_Name	60042_Desc	1500002	60042_Content	6	1				11231	1	
60043	嘈杂的录音	60043_Name	60043_Desc	1500002	60043_Content	6	1				11232	1	
60044	012号调查报告	60044_Name	60044_Desc	1500002	60044_Content	6	1				11235	1	
60045	0号实验体研究记录	60045_Name	60045_Desc	1500002	60045_Content	6	1				11236	1	
60046	与肯特的会谈	60046_Name	60046_Desc	1500002	60046_Content	6	1				11237	1	
													
													
70001	接引使	70001_Name	70001_Desc		70001_Content	7							
70002	尤克特拉希尔	70002_Name	70002_Desc		70002_Content	7							
70003	天楼动乱	70003_Name	70003_Desc		70003_Content	7							
70004	米德加尔特	70004_Name	70004_Desc		70004_Content	7							
70005	生灵守护舱	70005_Name	70005_Desc		70005_Content	7							
70006	“树”	70006_Name	70006_Desc		70006_Content	7							
70007	俱卢	70007_Name	70007_Desc		70007_Content	7							
70008	奇迹都市	70008_Name	70008_Desc		70008_Content	7							
70009	清理部队	70009_Name	70009_Desc		70009_Content	7							
70010	泰坦	70010_Name			70010_Content	7							
70011	海姆达尔部队	70011_Name			70011_Content	7							
70012	零区	70012_Name			70012_Content	7							
70013	成年病	70013_Name			70013_Content	7							
70014	瓦尔基里游戏	70014_Name			70014_Content	7							
70015	槲寄生空间站	70015_Name			70015_Content	7							
70016	神格神经	70016_Name			70016_Content	7							
70017	董事会	70017_Name			70017_Content	7							
70018	郊狼	70018_Name			70018_Content	7							
70019	抑制剂	70019_Name			70019_Content	7							
70020	神格侵蚀	70020_Name			70020_Content	7							
70021	军方	70021_Name			70021_Content	7							
70022	注射弹	70022_Name			70022_Content	7							
70023	降临团	70023_Name			70023_Content	7							
70024	歌唱者系统	70024_Name			70024_Content	7							
70025	神格天启	70025_Name			70025_Content	7							
70026	逐光者	70026_Name			70026_Content	7							
70027	化身系统	70027_Name			70027_Content	7							
70028	埃达	70028_Name			70028_Content	7							
70029	雷吉乌斯	70029_Name			70029_Content	7							
70030	贝奥武夫中队	70030_Name			70030_Content	7							
70031	原型抑制剂	70031_Name			70031_Content	7							
70032	花园区	70032_Name			70032_Content	7							
70033	尤克特拉希尔	70033_Name			70033_Content	7							
70034	瓦尔哈拉	70034_Name			70034_Content	7							
70035	思念体	70035_Name			70035_Content	7							
70036	跳棋小队	70036_Name			70036_Content	7							
70037	第五研究所	70037_Name			70037_Content	7							
70038	黄色雾霭	70038_Name			70038_Content	7							
70039	三相转化	70039_Name			70039_Content	7							
70040	共振器	70040_Name			70040_Content	7							
70041	耶洛沙	70041_Name			70041_Content	7							
													
70043	奥斯维尔钢铁厂	70043_Name			70043_Content	7							
70044	永磁铁道	70044_Name			70044_Content	7							
70045	北风航天中心	70045_Name			70045_Content	7							
70046	格拉尼“灵蹄”	70046_Name			70046_Content	7							
70047	地堡	70047_Name			70047_Content	7							
70048	黑街	70048_Name			70048_Content	7							
70049	奥尔洛夫公馆	70049_Name			70049_Content	7							
70050	苏兹达尔火箭基地	70050_Name			70050_Content	7							
70051	第91隔离区	70051_Name			70051_Content	7							
70052	真神室女	70052_Name			70052_Content	7							
70053	醒世之尘	70053_Name			70053_Content	7							
70054	真神者	70054_Name			70054_Content	7							
70055	新地州	70055_Name			70055_Content	7							
70056	沃坦遗骸	70056_Name			70056_Content	7							
70057	白蜡高台	70057_Name			70057_Content	7							
70058	朔州	70058_Name			70058_Content	7							
70059	北庭卫	70059_Name			70059_Content	7							
70060	泰古通达北庭卫分部	70060_Name			70060_Content	7							
70061	神格缓释术	70061_Name			70061_Content	7							
70062	策展人	70062_Name			70062_Content	7							
70063	城市安保局	70063_Name			70063_Content	7							
70064	吉诺拉生物公司	70064_Name			70064_Content	7							
70065	演绎桌团	70065_Name			70065_Content	7							
70066	SpH-L12	70066_Name			70066_Content	7							
70067	世界树公司	70067_Name			70067_Content	7							
70068	黑室	70068_Name			70068_Content	7							
70069	同频锁	70069_Name			70069_Content	7							
70070	“丧钟”	70070_Name			70070_Content	7							
70071	湮灭炸药	70071_Name			70071_Content	7							
70072	绝望影像	70072_Name			70072_Content	7							
