事件ID	备注	事件标题	事件标题备注	选项1	选项1备注	选项1切换后文本	后飘文本	选项1说明	选项效果1（1=回血，2=消耗代币回复生命，3=消耗生命回复代币，4=获得buff(对应buff.txt)，5=获得代币,6=进入战斗(对应level.txt)，7=消耗代币获得buff(对应buff.txt)，8=回复行动力）	选项2	选项2备注	选项2切换后文本	后飘文本	选项2说明	选项效果2	选项3	选项3备注	选项3切换后文本	后飘文本	选项3说明	选项效果3
1311	图1-下路-11路点	rogue.random1311		rogue.random1311desc1			rogue.random1311switch1	常规技能使用间隔-	{4,1007}	rogue.random1311desc2			rogue.random1311switch2	爆发技能的伤害+	{4,1008}	rogue.random1311desc3			rogue.random1311switch3	战斗（货币+）	{6,4332}
2103	图2-上路-3路点	rogue.random2103		rogue.random2103desc1			rogue.random2103switch1	常规技伤害-，瞄准伤害+（独立乘区）	{4,3003}	rogue.random2103desc2			rogue.random2103switch2	弹匣第一发子弹伤害+	{4,2001}	rogue.random2103desc3			rogue.random2103switch3	回血	{1,25}
2106	图2-上路-6路点	rogue.random2106		rogue.random2106desc1			rogue.random2106switch1	暴击后恢复x生命，触发间隔y秒	{4,4004}	rogue.random2106desc2			rogue.random2106switch2	每损失x生命，提高y伤害（独立乘区）	{4,3006}	rogue.random2106desc3			rogue.random2106switch3	货币	{3,10,40}
2110	图2-上路-10路点	rogue.random2110		rogue.random2110desc1			rogue.random2110switch1	射击速度-，射击伤害+（独立乘区）	{4,3001}	rogue.random2110desc2			rogue.random2110switch2	使用常规技后暴击率+，持续n秒	{4,2003}	rogue.random2110desc3			rogue.random2110switch3	回血	{1,25}
2111	图2-上路-11路点	rogue.random2111		rogue.random2111desc1			rogue.random2111switch1	暴击率+	{4,1004}	rogue.random2111desc2			rogue.random2111switch2	换弹速度+	{4,1011}	rogue.random2111desc3			rogue.random2111switch3	战斗（货币+）	{6,4333}
2201	图2-中路-1路点	rogue.random2201		rogue.random2201desc1			rogue.random2201switch1	防御力+	{4,1010}	rogue.random2201desc2			rogue.random2201switch2	常规技能伤害+	{4,1005}	rogue.random2201desc3			rogue.random2201switch3	商店打折	{4,5001}
2205	图2-中路-5路点	rogue.random2205		rogue.random2205desc1			rogue.random2205switch1	受治疗效果+	{4,1009}	rogue.random2205desc2			rogue.random2205switch2	弹匣容量+	{4,1003}	rogue.random2205desc3			rogue.random2205switch3	战斗（货币+）	{6,4334}
2207	图2-中路-7路点	rogue.random2207		rogue.random2207desc1			rogue.random2207switch1	最大生命+	{4,1013}	rogue.random2207desc2			rogue.random2207switch2	受到伤害后恢复x生命，触发间隔y秒	{4,4006}	rogue.random2207desc3			rogue.random2207switch3	回血	{1,25}
2211	图2-中路-11路点	rogue.random2211		rogue.random2211desc1			rogue.random2211switch1	受到伤害降低-	{4,1012}	rogue.random2211desc2			rogue.random2211switch2	最大生命+	{4,1013}	rogue.random2211desc3			rogue.random2211switch3	货币	{3,10,40}
2306	图2-下路-6路点	rogue.random2306		rogue.random2306desc1			rogue.random2306switch1	生命-，常规技伤害+（独立乘区）	{4,3004}	rogue.random2306desc2			rogue.random2306switch2	爆发技能量获取效率+	{4,1006}	rogue.random2306desc3			rogue.random2306switch3	货币	{3,10,40}
2310	图2-下路-10路点	rogue.random2310		rogue.random2310desc1			rogue.random2310switch1	每损失x生命，提高y伤害（独立乘区）	{4,3006}	rogue.random2310desc2			rogue.random2310switch2	生命-,所有伤害+	{4,3005}	rogue.random2310desc3			rogue.random2310switch3	回血	{1,25}
2313	图2-下路-13路点	rogue.random2313		rogue.random2313desc1			rogue.random2313switch1	常规技能使用间隔-	{4,1007}	rogue.random2313desc2			rogue.random2313switch2	造成射击伤害后，技能伤害+，持续3秒，可叠30层	{4,4002}	rogue.random2313desc3			rogue.random2313switch3	战斗（货币+）	{6,4335}
3102	图3-上路-2路点	rogue.random3102		rogue.random3102desc1			rogue.random3102switch1	弹匣容量-，射击伤害+（独立乘区）	{4,3002}	rogue.random3102desc2			rogue.random3102switch2	换弹后，下n发子弹暴伤+	{4,2002}	rogue.random3102desc3			rogue.random3102switch3	回血	{1,25}
3105	图3-上路-5路点	rogue.random3105		rogue.random3105desc1			rogue.random3105switch1	生命-,所有伤害+	{4,3005}	rogue.random3105desc2			rogue.random3105switch2	射击速度-，射击伤害+（独立乘区）	{4,3001}	rogue.random3105desc3			rogue.random3105switch3	货币	{3,10,40}
3108	图3-上路-8路点	rogue.random3108		rogue.random3108desc1			rogue.random3108switch1	常规技伤害-，瞄准伤害+（独立乘区）	{4,3003}	rogue.random3108desc2			rogue.random3108switch2	暴击后射击伤害+，持续n秒，可叠5层	{4,2005}	rogue.random3108desc3			rogue.random3108switch3	回血	{1,25}
3203	图3-中路-3路点	rogue.random3203		rogue.random3203desc1			rogue.random3203switch1	受到伤害降低-	{4,1012}	rogue.random3203desc2			rogue.random3203switch2	爆发技能量获取效率+	{4,1006}	rogue.random3203desc3			rogue.random3203switch3	回血	{1,25}
3205	图3-中路-5路点	rogue.random3205		rogue.random3205desc1			rogue.random3205switch1	受治疗效果+	{4,1009}	rogue.random3205desc2			rogue.random3205switch2	暴击伤害+	{4,1002}	rogue.random3205desc3			rogue.random3205switch3	货币	{3,10,40}
3304	图3-下路-4路点	rogue.random3304		rogue.random3304desc1			rogue.random3304switch1	爆发技能的伤害+	{4,1008}	rogue.random3304desc2			rogue.random3304switch2	使用常规技后,恢复x生命，冷却时间y秒	{4,4003}	rogue.random3304desc3			rogue.random3304switch3	货币	{3,10,40}
